Orthogroup	Brassica_rapa	Cardamine_amara
OG0000013	XP_009108251.2, XP_033131804.1, XP_033131809.1, XP_033146254.1, XP_033139285.1	evm.model.RL_3.807, evm.model.RL_3.1357, evm.model.RL_4.820, evm.model.RL_2.791, evm.model.RL_6.523, evm.model.RL_4.704, evm.model.RL_2.641
OG0000013	XP_033138760.1, XP_009124167.1, XP_033134220.1, XP_033148484.1, XP_033131813.1, XP_009123338.2, XP_033131808.1, XP_033133991.1, XP_033131108.1, XP_033129945.1, XP_033143385.1, XP_033139571.1, XP_033143261.1, XP_033139051.1, XP_033134223.1, XP_033146993.1, XP_033147620.1, XP_009123559.2, XP_033129441.1	evm.model.RL_7.2034, evm.model.RL_2.725, evm.model.RL_2.397
OG0000014	XP_009107741.1	evm.model.RL_1.2917
OG0000014	XP_009128583.2, XP_033138826.1	evm.model.RL_3.2283
OG0000014	XP_033138570.1	evm.model.RL_7.2497
OG0000015	XP_033146229.1, XP_033139829.1	evm.model.RL_7.2535
OG0000015	XP_033143581.1, XP_018509525.1, XP_033143451.1	evm.model.RL_1.2714
OG0000019	XP_033128807.1	evm.model.RL_7.2531
OG0000019	XP_009117181.1, XP_033148528.1, XP_018509802.2, XP_009124475.1, XP_033144190.1	evm.model.RL_1.2654
OG0000019	XP_033136826.1, XP_033143864.1, XP_033143559.1, XP_033130890.1, XP_033128834.1	evm.model.RL_7.2268
OG0000020	XP_033134048.1	evm.model.RL_7.2127
OG0000020	XP_033134461.1	evm.model.RL_8.1178
OG0000020	XP_033142724.1, XP_033143202.1, XP_009135997.2, XP_009150787.2, XP_033135162.1, XP_033128356.1, XP_033144111.1, XP_033143832.1, XP_033140358.1	evm.model.RL_2.3364
OG0000021	XP_009119509.1, XP_009113517.1, XP_033146211.1, XP_033131873.1, XP_033142170.1, XP_033143214.1, XP_033146253.1	evm.model.RL_4.3275, evm.model.RL_5.2792
OG0000023	XP_009136778.1, XP_009136797.2	evm.model.RL_2.1848
OG0000023	XP_033143898.1	evm.model.RL_2.1849
OG0000023	XP_009136911.1	evm.model.RL_2.1831
OG0000023	XP_009139620.1	evm.model.RL_2.1843
OG0000023	XP_009137326.1, XP_009137327.1, XP_009108600.1	evm.model.RL_2.1842
OG0000023	XP_033142038.1	evm.model.RL_8.636
OG0000023	XP_009108168.1	evm.model.RL_8.624, evm.model.RL_8.626, evm.model.RL_8.623, evm.model.RL_8.630
OG0000023	XP_033144191.1	evm.model.RL_2.1829, evm.model.RL_2.1830
OG0000023	XP_009114807.1	evm.model.RL_2.1825.3.687c86e4
OG0000025	XP_018509211.2	evm.model.RL_2.3111
OG0000026	XP_009111790.1	evm.model.RL_2.467, evm.model.RL_1.1627, evm.model.RL_1.2710
OG0000026	XP_033134215.1, XP_033145240.1, XP_009131311.3, XP_033130741.1, XP_033133225.1, XP_033134481.1, XP_033135508.1, XP_033128962.1, XP_033129465.1, XP_009113561.2, XP_033130697.1, XP_033140694.1, XP_033139907.1, XP_033139909.1, XP_033141132.1	evm.model.RL_7.315
OG0000027	XP_033132209.1	evm.model.RL_5.2839
OG0000027	XP_009116539.1	evm.model.RL_7.603, evm.model.RL_7.580
OG0000028	XP_009119478.1	evm.model.RL_7.2004, evm.model.RL_7.2001, evm.model.RL_7.2002, evm.model.RL_7.4, evm.model.RL_5.3115
OG0000028	XP_009105534.2, XP_033129358.1, XP_009106480.1, XP_009102786.1, XP_009111952.1, XP_009118510.1, XP_009103430.1, XP_009103792.1, XP_033136629.1, XP_033138230.1, XP_033138123.1, XP_033128758.1, XP_009107501.2, XP_033129930.1, XP_009113849.2, XP_009124763.2, XP_009146105.1, XP_009115704.1, XP_033147848.1, XP_009130032.1, XP_009101982.1, XP_009151013.1, XP_033141106.1, XP_009145551.2, XP_009115654.1, XP_009132264.1, XP_009123077.2, XP_009121319.1, XP_033138742.1, XP_009145179.2, XP_009150817.2, XP_009138126.1, XP_009144174.1, XP_033141711.1, XP_033144745.1, XP_009137703.2, XP_009150036.1	evm.model.RL_4.1689
OG0000029	XP_033135931.1	evm.model.RL_4.797
OG0000029	XP_033130775.1	evm.model.RL_2.306
OG0000030	XP_033148072.1	evm.model.RL_5.2342
OG0000030	XP_009138234.2, XP_033131226.1	evm.model.RL_3.1268, evm.model.RL_5.2343, evm.model.RL_6.2258
OG0000031	XP_009112698.1	evm.model.RL_3.758
OG0000033	XP_009108047.1, XP_009109092.2, XP_009136929.1, XP_009137321.1	evm.model.RL_2.1834, evm.model.RL_2.1824
OG0000033	XP_033143795.1	evm.model.RL_2.1847, evm.model.RL_2.1846
OG0000033	XP_009137317.1	evm.model.RL_2.1820_evm.model.RL_2.1823
OG0000033	XP_033136442.1	evm.model.RL_8.413
OG0000034	XP_033143708.1, XP_033133157.1, XP_009145453.2, XP_033138396.1	evm.model.RL_5.2588
OG0000034	XP_033139273.1, XP_033139162.1	evm.model.RL_4.675
OG0000036	XP_033147285.1	evm.model.RL_5.2564
OG0000036	XP_033134311.1, XP_033143404.1, XP_033148539.1, XP_033138233.1, XP_033131792.1, XP_033138465.1, XP_033148531.1, XP_033145221.1, XP_033139492.1, XP_033134400.1, XP_033139188.1, XP_033137200.1, XP_033141098.1, XP_033130753.1, XP_033148815.1, XP_033134234.1, XP_033134349.1, XP_033131195.1, XP_033129412.1, XP_033131764.1, XP_033139241.1, XP_033134272.1, XP_033129427.1, XP_033131918.1, XP_033139143.1, XP_033131462.1, XP_033131993.1, XP_009145099.2, XP_033131591.1, XP_033143352.1, XP_033139240.1, XP_033148558.1, XP_009150325.2, XP_033133377.1, XP_033131067.1, XP_033136880.1	evm.model.RL_2.742, evm.model.RL_2.665
OG0000037	XP_033139739.1	evm.model.RL_3.518
OG0000040	XP_033138328.1, XP_033137984.1, XP_009141814.1	evm.model.RL_3.1121
OG0000042	XP_018512880.1	evm.model.RL_3.1074, evm.model.RL_8.1561, evm.model.RL_3.1047
OG0000042	XP_033148631.1	evm.model.RL_7.1972
OG0000042	XP_018513078.1	evm.model.RL_6.2221
OG0000043	XP_033129392.1	evm.model.RL_1.2849
OG0000043	XP_033142356.1	evm.model.RL_3.816
OG0000043	XP_033133347.1, XP_033148483.1, XP_033141137.1	evm.model.RL_2.394
OG0000044	XP_033147280.1, XP_033143224.1, XP_009114167.2, XP_033148557.1, XP_018512849.2, XP_033129976.1, XP_009129598.2, XP_033148784.1, XP_033131827.1, XP_033139854.1, XP_033131463.1, XP_033140741.1, XP_033146209.1, XP_033136827.1, XP_033147039.1, XP_033132745.1, XP_033146848.1, XP_033141133.1	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682
OG0000044	XP_033141811.1, XP_033147696.1, XP_009145895.1	evm.model.RL_3.633, evm.model.RL_7.2338, evm.model.RL_8.226, evm.model.RL_2.659
OG0000045	XP_033148599.1	evm.model.RL_7.883, evm.model.RL_8.1002
OG0000045	XP_033141109.1, XP_009111364.2, XP_009114439.1, XP_009109995.2, XP_033129467.1	evm.model.RL_1.930
OG0000046	XP_009140044.1	evm.model.RL_2.391
OG0000046	XP_033142550.1	evm.model.RL_2.1379
OG0000046	XP_009127512.1	evm.model.RL_3.1071, evm.model.RL_3.1072, evm.model.RL_3.1077
OG0000046	XP_009105243.1	evm.model.RL_3.1059, evm.model.RL_3.1065
OG0000046	XP_009140168.2	evm.model.RL_2.393
OG0000047	XP_033143282.1	evm.model.RL_2.1217
OG0000047	XP_033144765.1	evm.model.RL_7.1965, evm.model.RL_1.2799, evm.model.RL_1.325, evm.model.RL_5.3533, evm.model.RL_5.3697
OG0000052	XP_009119376.1, XP_009121616.2, XP_009118690.1	evm.model.RL_5.167
OG0000052	XP_009103279.2	evm.model.RL_8.2684
OG0000052	XP_018513039.2	evm.model.RL_6.1412
OG0000052	XP_009142068.2	evm.model.RL_8.741
OG0000053	XP_033139374.1, XP_033132002.1, XP_033134279.1, XP_033139086.1	evm.model.RL_1.2655
OG0000054	XP_033142357.1, XP_018510166.2, XP_033133480.1, XP_033147005.1, XP_033139689.1, XP_033136013.1, XP_033134954.1, XP_033139139.1, XP_033133474.1, XP_033146466.1, XP_009142118.2, XP_033146227.1, XP_033142442.1, XP_033147250.1, XP_009146086.3, XP_033133008.1, XP_033145348.1, XP_033133733.1, XP_009116216.2, XP_033134663.1, XP_033142529.1, XP_033131432.1, XP_009113835.2, XP_033144022.1, XP_033129213.1, XP_033128634.1, XP_033135782.1, XP_009130102.2, XP_033129833.1, XP_033136281.1, XP_018514499.2, XP_033135651.1, XP_033144006.1, XP_033145716.1, XP_033142399.1, XP_033140420.1, XP_009137187.2, XP_033131840.1, XP_009151508.2, XP_018509023.2, XP_033138604.1, XP_009117323.1, XP_033134470.1, XP_033147165.1, XP_033131882.1, XP_033142575.1, XP_033136842.1, XP_033144573.1, XP_033132171.1, XP_033130307.1, XP_033147946.1	evm.model.RL_1.2395
OG0000054	XP_033141862.1, XP_033141849.1	evm.model.RL_1.3123
OG0000056	XP_033148496.1, XP_033129519.1, XP_033128162.1, XP_033146737.1, XP_009145557.2, XP_033134361.1, XP_033128616.1, XP_009122875.1, XP_009115922.2, XP_033141779.1	evm.model.RL_2.634
OG0000058	XP_009138599.2, XP_033145680.1	evm.model.RL_6.762
OG0000059	XP_009132643.2	evm.model.RL_6.844
OG0000059	XP_033133942.1	evm.model.RL_7.2089
OG0000060	XP_033141193.1, XP_033133785.1, XP_033130752.1, XP_033140199.1, XP_033147116.1, XP_033132497.1, XP_033146481.1, XP_033142010.1, XP_033139569.1, XP_033138489.1, XP_033143386.1, XP_033143075.1, XP_033134221.1, XP_033136411.1, XP_033134991.1, XP_033137009.1, XP_033139491.1, XP_033141273.1, XP_033132844.1	evm.model.RL_3.1064, evm.model.RL_3.817, evm.model.RL_8.1029, evm.model.RL_7.1968
OG0000061	XP_009107884.2, XP_033132815.1, XP_033129160.1, XP_033139711.1, XP_033142712.1, XP_009107885.2, XP_009136781.1	evm.model.RL_6.2867, evm.model.RL_7.2504, evm.model.RL_7.1966, evm.model.RL_8.1041
OG0000062	XP_033138187.1, XP_033145404.1, XP_033140709.1, XP_033132651.1, XP_033140705.1	evm.model.RL_2.991, evm.model.RL_6.777
OG0000065	XP_009134880.2	evm.model.RL_3.828, evm.model.RL_2.702, evm.model.RL_4.719, evm.model.RL_7.2023, evm.model.RL_6.638, evm.model.RL_4.727
OG0000065	XP_033134685.1	evm.model.RL_2.685, evm.model.RL_5.2501
OG0000066	XP_009125303.1, XP_009114048.1, XP_009110843.1, XP_009131154.1, XP_009129719.2, XP_009112178.1	evm.model.RL_8.2622
OG0000067	XP_033144949.1, XP_033144954.1, XP_009122279.3, XP_033137765.1	evm.model.RL_7.2627
OG0000069	XP_009127653.1, XP_033133929.1	evm.model.RL_8.289
OG0000069	XP_009130609.1	evm.model.RL_1.2285
OG0000069	XP_009108668.2, XP_009139306.1, XP_009132645.2, XP_009122924.1, XP_033144992.1, XP_033143312.1	evm.model.RL_4.1093
OG0000070	XP_033139447.1	evm.model.RL_6.573
OG0000070	XP_033139530.1, XP_033129378.1, XP_033138989.1, XP_033129363.1	evm.model.RL_6.606
OG0000070	XP_033143392.1	evm.model.RL_1.3315
OG0000072	XP_033129717.1, XP_033139404.1, XP_033133988.1, XP_033135850.1, XP_033142467.1, XP_033139430.1, XP_033138987.1, XP_033134841.1, XP_018511390.2, XP_033134038.1	evm.model.RL_3.783
OG0000073	XP_018512047.1, XP_009134864.2	evm.model.RL_4.146, evm.model.RL_4.158.2.687c86cd, evm.model.RL_4.151, evm.model.RL_4.156
OG0000073	XP_009123255.2	evm.model.RL_6.501
OG0000073	XP_018510070.1	evm.model.RL_5.2720
OG0000073	XP_033128241.1	evm.model.RL_4.175
OG0000076	XP_033139477.1, XP_033135650.1	evm.model.RL_6.1653
OG0000077	XP_009101862.1	evm.model.RL_2.3381
OG0000078	XP_033148565.1, XP_033138831.1, XP_033140785.1, XP_033144149.1, XP_033135355.1, XP_033142711.1, XP_018512940.2, XP_033147279.1, XP_033143194.1, XP_033143619.1, XP_033148618.1, XP_033148616.1, XP_009119775.3	evm.model.RL_3.798
OG0000080	XP_009140814.1, XP_033145824.1	evm.model.RL_5.3416
OG0000081	XP_033129328.1	evm.model.RL_6.922
OG0000086	XP_033135741.1, XP_033136271.1, XP_033135743.1, XP_009124087.2, XP_009124650.2, XP_033135477.1, XP_033135744.1, XP_033135687.1, XP_033136269.1, XP_009124058.2, XP_033135742.1, XP_033136268.1, XP_033136272.1, XP_033135685.1, XP_033135749.1, XP_033135747.1, XP_033135746.1, XP_033136270.1, XP_033135748.1, XP_033134284.1, XP_033134283.1, XP_033135684.1, XP_033135688.1, XP_033135686.1, XP_033134282.1	evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410
OG0000087	XP_009150907.1	evm.model.RL_4.1345
OG0000087	XP_009141007.2, XP_009144365.1	evm.model.RL_6.1057
OG0000087	XP_009149954.2, XP_009150568.2	evm.model.RL_7.1685
OG0000087	XP_009121863.1	evm.model.RL_4.2360
OG0000087	XP_018514901.1	evm.model.RL_6.1567
OG0000087	XP_009123590.1, XP_009113926.1, XP_009101721.2	evm.model.RL_4.428
OG0000087	XP_009134084.2, XP_009108485.1, XP_009137158.2	evm.model.RL_2.1599
OG0000087	XP_009106234.1	evm.model.RL_3.1990
OG0000088	XP_009140910.1, XP_009140909.1, XP_009144708.1, XP_018509698.1, XP_033132378.1, XP_009145790.1, XP_009149894.1, XP_009113892.3, XP_009131995.2, XP_009116363.1, XP_033142283.1, XP_009119422.1	evm.model.RL_7.1629
OG0000088	XP_033147614.1, XP_009143939.1	evm.model.RL_8.1137
OG0000089	XP_009131124.2, XP_033138402.1, XP_009125344.2	evm.model.RL_4.2603
OG0000089	XP_009135599.1	evm.model.RL_1.1790.1.687c87ee
OG0000089	XP_009146646.1	evm.model.RL_1.1121
OG0000090	XP_009149503.1	evm.model.RL_5.1846
OG0000090	XP_009104691.1, XP_009106248.2, XP_009128146.1	evm.model.RL_3.2006
OG0000090	XP_033136464.1	evm.model.RL_7.2013, evm.model.RL_7.2546
OG0000090	XP_009123589.1	evm.model.RL_5.885
OG0000091	XP_033137946.1, XP_033148506.1, XP_033132966.1, XP_033137727.1, XP_033133706.1, XP_033130644.1, XP_033138320.1, XP_033134828.1, XP_033135499.1, XP_033134512.1, XP_033147054.1, XP_033129517.1, XP_033143445.1, XP_033146393.1, XP_033143677.1, XP_033139198.1, XP_033136415.1, XP_033134353.1, XP_033138755.1, XP_033141149.1, XP_033143319.1, XP_033128894.1, XP_033130640.1, XP_033143668.1, XP_033141419.1, XP_033133993.1, XP_033137249.1, XP_033138754.1, XP_033138330.1, XP_033140612.1, XP_033147189.1, XP_033129542.1, XP_033138315.1, XP_033143504.1, XP_033133746.1, XP_033148508.1, XP_033143443.1, XP_033129516.1, XP_033146386.1, XP_033143320.1, XP_033141422.1, XP_033137941.1, XP_033130638.1, XP_033134506.1, XP_033137725.1, XP_033138287.1, XP_033147048.1, XP_033133699.1, XP_033141217.1, XP_033145272.1, XP_033147178.1, XP_033129433.1, XP_033138180.1, XP_033133992.1, XP_033147184.1, XP_033139199.1, XP_033143447.1, XP_033140621.1, XP_033134045.1, XP_033138337.1, XP_033143514.1, XP_033129559.1	evm.model.RL_6.574
OG0000093	XP_009138966.1, XP_009138965.1	evm.model.RL_7.523
OG0000093	XP_009104131.1	evm.model.RL_7.525
OG0000096	XP_033134075.1	evm.model.RL_3.612
OG0000096	XP_018512146.1	evm.model.RL_4.275
OG0000097	XP_009110937.1, XP_033135887.1	evm.model.RL_8.394
OG0000099	XP_033135394.1	evm.model.RL_3.85
OG0000101	XP_033135321.1	evm.model.RL_3.344
OG0000101	XP_009140612.2	evm.model.RL_2.338
OG0000104	XP_033145187.1, XP_033131572.1	evm.model.RL_6.1001, evm.model.RL_6.1005, evm.model.RL_6.1006
OG0000104	XP_033146903.1	evm.model.RL_5.2109
OG0000104	XP_009135746.2	evm.model.RL_1.2055
OG0000105	XP_009137116.1, XP_033133953.1, XP_009136059.1, XP_033134262.1, XP_009137083.1, XP_033138770.1, XP_033148598.1	evm.model.RL_1.2669
OG0000105	XP_033131858.1, XP_009150028.1	evm.model.RL_6.453
OG0000106	XP_033146796.1	evm.model.RL_7.1393
OG0000107	XP_009111243.1	evm.model.RL_1.2019, evm.model.RL_1.2021, evm.model.RL_1.1929
OG0000108	XP_009150964.1	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166
OG0000108	XP_033144223.1, XP_009137095.2, XP_033143042.1	evm.model.RL_3.231
OG0000108	XP_033141220.1	evm.model.RL_1.3010
OG0000109	XP_033136189.1, XP_033128016.1	evm.model.RL_1.2946
OG0000110	XP_009116587.1, XP_018508692.1	evm.model.RL_7.1925
OG0000110	XP_033130960.1	evm.model.RL_7.432
OG0000111	XP_033136550.1	evm.model.RL_8.2409
OG0000113	XP_009113081.1, XP_033135475.1, XP_033135474.1	evm.model.RL_4.208
OG0000113	XP_033134179.1	evm.model.RL_2.339
OG0000116	XP_033143155.1, XP_033140094.1, XP_033144252.1, XP_033142122.1, XP_033128680.1, XP_033134536.1, XP_018509424.1, XP_033143756.1, XP_033139777.1, XP_033134845.1	evm.model.RL_5.1553
OG0000120	XP_033136614.1, XP_033135828.1	evm.model.RL_3.399, evm.model.RL_3.395
OG0000120	XP_033133710.1, XP_009107578.2, XP_033128024.1	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932
OG0000120	XP_009122928.1	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504
OG0000122	XP_033142107.1	evm.model.RL_5.2721
OG0000123	XP_033137383.1	evm.model.RL_5.1209
OG0000124	XP_009124883.1	evm.model.RL_3.893
OG0000124	XP_033130441.1, XP_009107043.1	evm.model.RL_4.540
OG0000125	XP_009131894.1, XP_009120626.1	evm.model.RL_4.1435
OG0000125	XP_009120513.1	evm.model.RL_8.2069
OG0000125	XP_009133865.1, XP_009103710.2, XP_009140934.1	evm.model.RL_6.979
OG0000126	XP_033143378.1, XP_033148321.1, XP_033128667.1, XP_033148285.1, XP_033143377.1, XP_033146924.1, XP_033148306.1, XP_033147791.1, XP_009121383.1, XP_033148593.1, XP_033148614.1, XP_033131093.1, XP_033148497.1, XP_033139481.1, XP_033136965.1, XP_009139315.2, XP_033135969.1, XP_009151987.2, XP_033131789.1	evm.model.RL_1.2513
OG0000126	XP_033148541.1, XP_009123429.1	evm.model.RL_6.543, evm.model.RL_3.859
OG0000127	XP_033137562.1	evm.model.RL_4.3345
OG0000127	XP_009122823.2	evm.model.RL_4.3343
OG0000127	XP_033147907.1	evm.model.RL_1.822
OG0000128	XP_009102138.1	evm.model.RL_3.654
OG0000128	XP_033143891.1	evm.model.RL_5.2370
OG0000130	XP_033139204.1, XP_033139206.1, XP_033130109.1, XP_033139257.1, XP_033139384.1, XP_033139288.1, XP_033139213.1, XP_033139243.1, XP_033139062.1, XP_033148890.1, XP_033139506.1, XP_033139372.1, XP_033139097.1, XP_033139064.1, XP_033143333.1, XP_033139363.1, XP_033138947.1, XP_033139543.1, XP_033139216.1, XP_033139341.1, XP_033139011.1, XP_033139146.1, XP_033139032.1, XP_033139381.1, XP_033138861.1, XP_033141145.1, XP_033131597.1, XP_033132016.1, XP_033139170.1, XP_033138937.1, XP_033138886.1, XP_033139214.1, XP_033141929.1, XP_033146982.1, XP_033130754.1	evm.model.RL_6.625, evm.model.RL_6.679, evm.model.RL_1.2657, evm.model.RL_2.717, evm.model.RL_7.2033, evm.model.RL_2.727, evm.model.RL_6.626, evm.model.RL_4.730, evm.model.RL_2.674, evm.model.RL_6.690, evm.model.RL_5.2485, evm.model.RL_6.704, evm.model.RL_2.679, evm.model.RL_6.643, evm.model.RL_4.724, evm.model.RL_5.2503, evm.model.RL_6.691, evm.model.RL_6.707
OG0000132	XP_009122979.1, XP_033134167.1, XP_033135118.1, XP_009134460.2, XP_009115039.1, XP_033132498.1, XP_009137034.2, XP_033135204.1	evm.model.RL_8.1179
OG0000135	XP_033148633.1	evm.model.RL_5.2242
OG0000135	XP_009140415.1, XP_018513882.1	evm.model.RL_4.523, evm.model.RL_3.1563
OG0000136	XP_033130821.1, XP_009132807.1	evm.model.RL_3.1028
OG0000137	XP_033137251.1, XP_009144927.1, XP_009139448.1, XP_009145189.1, XP_033139475.1, XP_009150285.1, XP_033144074.1, XP_009103633.1, XP_033128191.1, XP_033146613.1, XP_009144615.1	evm.model.RL_7.1543
OG0000137	XP_033145235.1	evm.model.RL_2.50
OG0000139	XP_033139417.1, XP_033139151.1, XP_033139496.1, XP_009123582.1, XP_033139112.1, XP_033139560.1, XP_033138953.1, XP_033138866.1, XP_033139320.1	evm.model.RL_6.1684
OG0000139	XP_033139082.1, XP_033139319.1, XP_033139091.1, XP_033139398.1, XP_033138913.1	evm.model.RL_8.982
OG0000140	XP_033142717.1	evm.model.RL_8.2003
OG0000142	XP_033148630.1	evm.model.RL_6.1033, evm.model.RL_6.1034
OG0000142	XP_033145172.1	evm.model.RL_6.1035
OG0000142	XP_009140985.1, XP_009140992.3	evm.model.RL_6.789, evm.model.RL_6.1159
OG0000143	XP_033139202.1, XP_033144231.1, XP_033143521.1, XP_033139540.1, XP_033141445.1, XP_033137454.1, XP_033128921.1	evm.model.RL_8.1036
OG0000143	XP_033141173.1	evm.model.RL_1.2794
OG0000144	XP_033132530.1, XP_018511928.1, XP_033134783.1, XP_033143848.1, XP_033146667.1	evm.model.RL_8.1451
OG0000145	XP_033135470.1, XP_033140902.1	evm.model.RL_2.934
OG0000145	XP_033137037.1, XP_033141981.1	evm.model.RL_8.608
OG0000147	XP_009150710.2	evm.model.RL_1.3091
OG0000147	XP_009109000.1	evm.model.RL_2.2536
OG0000147	XP_033141904.1, XP_009120261.2	evm.model.RL_8.1812
OG0000147	XP_009106729.2, XP_018508569.2	evm.model.RL_3.2406
OG0000147	XP_018513014.1	evm.model.RL_1.2583
OG0000147	XP_009117122.1	evm.model.RL_6.348
OG0000149	XP_033129346.1	evm.model.RL_7.1737
OG0000149	XP_009150292.1	evm.model.RL_7.1739
OG0000150	XP_033139673.1	evm.model.RL_7.1810
OG0000151	XP_009119874.1	evm.model.RL_8.1422
OG0000151	XP_009144093.1, XP_009109116.1	evm.model.RL_2.2307
OG0000151	XP_009135093.1, XP_009146989.1, XP_009123804.1	evm.model.RL_1.777
OG0000151	XP_009136334.1, XP_009121200.1	evm.model.RL_1.2853
OG0000151	XP_018510771.1, XP_018512593.2	evm.model.RL_8.1691
OG0000151	XP_009112816.1, XP_009112891.1	evm.model.RL_3.61
OG0000152	XP_033148198.1, XP_033147971.1, XP_033133696.1, XP_033144131.1, XP_033133396.1, XP_033147396.1, XP_033135350.1, XP_033148073.1, XP_033136129.1, XP_033148068.1, XP_033142141.1	evm.model.RL_7.117, evm.model.RL_2.778, evm.model.RL_2.919, evm.model.RL_5.2414, evm.model.RL_4.661, evm.model.RL_4.735, evm.model.RL_6.581, evm.model.RL_1.2711, evm.model.RL_2.713, evm.model.RL_2.777, evm.model.RL_6.572, evm.model.RL_8.1671, evm.model.RL_6.2907, evm.model.RL_4.1821, evm.model.RL_6.815, evm.model.RL_7.1603
OG0000154	XP_009110463.1, XP_009149047.1	evm.model.RL_6.951, evm.model.RL_5.1456
OG0000154	XP_033137307.1, XP_009122772.2, XP_009122774.3	evm.model.RL_2.489
OG0000155	XP_009143289.2, XP_009137650.1	evm.model.RL_2.2243
OG0000156	XP_009142347.1	evm.model.RL_4.1065
OG0000156	XP_018514087.1	evm.model.RL_8.1108, evm.model.RL_8.1107, evm.model.RL_6.2691
OG0000158	XP_009104904.1	evm.model.RL_2.2746
OG0000158	XP_033134979.1	evm.model.RL_6.58
OG0000161	XP_009127389.1	evm.model.RL_3.891
OG0000161	XP_033146830.1, XP_033146831.1	evm.model.RL_3.897
OG0000162	XP_009138832.1, XP_033145512.1, XP_009138923.1	evm.model.RL_4.640, evm.model.RL_2.640
OG0000162	XP_009143082.1	evm.model.RL_6.2628
OG0000164	XP_033129371.1	evm.model.RL_4.581, evm.model.RL_2.1488
