Orthogroup	Brassica_rapa	Noccaea_praecox
OG0000023	XP_009136791.2	Np005G283870
OG0000025	XP_033140823.1, XP_009127106.1	Np006G368440, Np006G358350, Np006G358300, Np003G181320, Np003G181370, Np006G358330, Np003G181400
OG0000025	XP_009119972.1	Np003G160480
OG0000025	XP_018509211.2, XP_009148196.2, XP_009105560.1, XP_009102308.1, XP_009133872.1, XP_009102299.1, XP_009133873.1	Np006G347410, Np006G369800, Np006G369660, Np006G353350, Np006G347480, Np006G353280, Np006G347370, Np003G146280, Np006G369850, Np006G370360
OG0000026	XP_033135937.1, XP_033130769.1, XP_009111790.1	Np002G101380, Np004G216210
OG0000026	XP_033134215.1, XP_033145240.1, XP_009131311.3, XP_033130741.1, XP_033133225.1, XP_033134481.1, XP_033135508.1, XP_033128962.1, XP_033129465.1, XP_009113561.2, XP_033130697.1, XP_033140694.1, XP_033139907.1, XP_033139909.1, XP_033141132.1	Np003G171320
OG0000027	XP_018512901.1	Np004G198060, Np004G198040
OG0000027	XP_033132209.1	Np004G214870, Np005G271730, Np004G214850
OG0000027	XP_009144063.2, XP_033148397.1, XP_018514372.2	Np004G215070
OG0000027	XP_009116539.1	Np001G057950, Np001G057940
OG0000028	XP_009119478.1	Np003G168060, Np003G175100, Np002G106380
OG0000028	XP_009107501.2, XP_033129930.1, XP_009113849.2, XP_009124763.2, XP_009146105.1, XP_009115704.1, XP_033147848.1, XP_009130032.1, XP_009101982.1	Np003G170790, Np003G189760, Np004G207130
OG0000029	XP_033130775.1	Np003G172500
OG0000029	XP_033140045.1, XP_033135195.1, XP_033133647.1, XP_033145942.1, XP_033134398.1, XP_033140589.1, XP_033146383.1, XP_033145514.1, XP_033137046.1	Np002G113330, Np005G304980
OG0000029	XP_033145454.1	Np004G242790, Np003G126680, Np003G167270
OG0000030	XP_033145843.1	Np006G347830
OG0000030	XP_033131887.1	Np002G096310
OG0000030	XP_009151481.2, XP_033141105.1, XP_033129573.1	Np003G173710, Np007G417840, Np007G402740, Np007G390810, Np007G423880
OG0000030	XP_009108258.2	Np006G330890
OG0000031	XP_009118081.1, XP_009110632.1, XP_033133748.1, XP_033134453.1	Np004G244900
OG0000031	XP_009140073.1	Np005G318980
OG0000033	XP_009136929.1	Np005G284050
OG0000033	XP_009137321.1	Np005G284060
OG0000033	XP_033135404.1, XP_009137324.1	Np005G283960, Np005G284080
OG0000033	XP_033137152.1	Np005G283820
OG0000033	XP_033143970.1	Np005G284140
OG0000033	XP_009137317.1	Np005G284160
OG0000034	XP_033130130.1	Np006G341510
OG0000034	XP_033146625.1, XP_033146692.1, XP_033139028.1	Np003G168290, Np001G007970
OG0000035	XP_033145289.1	Np002G092640, Np006G364470
OG0000035	XP_033145357.1, XP_009141214.1	Np006G356560
OG0000035	XP_033139568.1, XP_009127532.1	Np005G313520
OG0000036	XP_033147285.1	Np005G260660
OG0000036	XP_033148558.1, XP_009150325.2, XP_033133377.1, XP_033131067.1, XP_033136880.1	Np006G342170, Np003G136960, Np002G107350, Np007G403810
OG0000037	XP_009123417.1	Np001G045190
OG0000037	XP_033139739.1	Np002G110300, Np005G302190
OG0000038	XP_009115414.1	Np001G060270
OG0000039	XP_033136494.1, XP_009103023.3, XP_033143341.1, XP_033134335.1, XP_033136291.1, XP_018509861.2, XP_009150329.2, XP_033143233.1, XP_033134320.1, XP_018514427.2, XP_033134265.1, XP_009108248.2, XP_033145641.1, XP_033130157.1, XP_009102487.2, XP_033145284.1, XP_033133427.1, XP_033131941.1, XP_009151077.1, XP_009150004.1, XP_009148191.1, XP_009106504.1, XP_033129334.1, XP_033129458.1	Np005G289260, Np005G309180, Np003G166870, Np003G169960
OG0000040	XP_033131947.1	Np001G009070
OG0000040	XP_033131797.1	Np004G224970, Np004G224940
OG0000040	XP_009123103.2, XP_033146117.1, XP_033130762.1, XP_033145302.1, XP_009141585.2	Np007G407000
OG0000041	XP_033132315.1, XP_009129192.2	Np006G342650
OG0000041	XP_033135950.1	Np001G024330, Np002G096610, Np004G224690, Np002G098200, Np002G098220, Np002G100090, Np004G224910, Np001G026070, Np004G224180, Np002G107290, Np002G100540, Np004G224900, Np002G112700, Np004G229610, Np003G171480, Np002G102360, Np002G103630, Np003G170330, Np002G122190, Np006G350530
OG0000042	XP_018512880.1, XP_033148631.1	Np001G027800
OG0000042	XP_018513078.1	Np002G077920, Np004G191660, Np006G336410
OG0000043	XP_033129392.1	Np002G102430
OG0000044	XP_009129598.2, XP_033148784.1, XP_033131827.1, XP_033139854.1, XP_033131463.1, XP_033140741.1, XP_033146209.1, XP_033136827.1, XP_033147039.1, XP_033132745.1, XP_033146848.1, XP_033141133.1	Np003G163540, Np004G207950, Np005G303200, Np006G327150, Np007G408020, Np005G309290, Np004G218300, Np004G229000, Np007G403700, Np002G090130, Np006G327160, Np007G394210, Np006G353360, Np002G081200, Np004G217370, Np004G233430, Np002G100510
OG0000044	XP_033141811.1, XP_033147696.1, XP_009145895.1	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850
OG0000045	XP_009111088.1, XP_009124343.1	Np006G334530
OG0000045	XP_018512881.1	Np007G389140
OG0000046	XP_009151130.2, XP_009140101.2	Np005G314650
OG0000046	XP_009140044.1	Np005G313240
OG0000046	XP_033143336.1	Np002G093730
OG0000046	XP_033142550.1	Np005G292150
OG0000046	XP_009125066.1	Np007G386460
OG0000047	XP_009139668.1	Np005G282680
OG0000048	XP_033138094.1, XP_009126234.1, XP_033141462.1, XP_009126236.1, XP_009126230.1, XP_009131625.1, XP_009131629.1	Np003G145480
OG0000048	XP_009121030.1, XP_009121023.1, XP_009131631.1	Np003G145420
OG0000048	XP_009121020.1, XP_009121024.1, XP_009121026.2, XP_009121021.2	Np003G145400, Np003G145550
OG0000048	XP_009126237.2	Np003G145440
OG0000048	XP_009126228.2, XP_009126235.1, XP_009126238.1	Np003G145490, Np003G145410
OG0000049	XP_009120440.2, XP_033138682.1	Np002G120530
OG0000050	XP_009106514.2	Np007G402160
OG0000052	XP_009119376.1, XP_009121616.2, XP_009118690.1	Np004G255200, Np007G384340, Np003G131270, Np003G131300, Np003G131610, Np004G236020, Np004G259320, Np007G384920
OG0000052	XP_009142066.1	Np006G328530, Np006G328520
OG0000052	XP_018514205.1, XP_009113199.1	Np002G116790, Np002G107170, Np002G116330
OG0000052	XP_018513039.2	Np006G328590, Np006G328570, Np006G328580
OG0000052	XP_033148410.1, XP_009142840.1, XP_033138797.1, XP_033138543.1	Np003G173020
OG0000052	XP_009142068.2	Np006G328390, Np006G328410, Np006G328470
OG0000052	XP_033148423.1, XP_033147570.1, XP_033148413.1	Np006G328480
OG0000053	XP_009145037.2, XP_009111372.1, XP_009117179.1, XP_009103786.3	Np002G100500, Np004G233450, Np007G396260
OG0000053	XP_033139374.1, XP_033132002.1, XP_033134279.1, XP_033139086.1	Np006G348630, Np005G304720, Np005G288880, Np007G395450, Np003G166680, Np003G167380, Np005G287740
OG0000053	XP_009150809.1, XP_009124471.1, XP_033143409.1, XP_033134211.1, XP_033133426.1, XP_009101327.1	Np001G008270, Np001G039230, Np003G166770
OG0000053	XP_033134217.1	Np001G040210, Np005G311290, Np006G327430
OG0000055	XP_009149950.1	Np001G046730
OG0000055	XP_033135114.1, XP_009113108.1	Np002G119230
OG0000055	XP_009113405.2, XP_009105844.1	Np002G119520, Np002G119220, Np002G119170
OG0000055	XP_033144208.1, XP_018510029.1, XP_009105823.1	Np002G119390, Np002G118970, Np002G120090, Np002G120080, Np002G119490, Np002G119430, Np002G119510, Np002G118960, Np002G118940, Np002G119480
OG0000056	XP_033138069.1, XP_009111623.2, XP_009119460.3	Np005G318930, Np007G383650, Np004G211250, Np006G348520, Np002G077250, Np006G336260, Np004G217680, Np001G049030, Np002G079610, Np008G425610, Np001G065180, Np002G100230
OG0000056	XP_033148496.1, XP_033129519.1, XP_033128162.1, XP_033146737.1, XP_009145557.2, XP_033134361.1, XP_033128616.1, XP_009122875.1, XP_009115922.2, XP_033141779.1	Np006G356510, Np003G151080, Np003G158880, Np007G412270, Np005G282430
OG0000056	XP_009115740.1, XP_009140527.1, XP_009102269.1, XP_033133398.1	Np004G212730
OG0000057	XP_033128815.1	Np007G391720, Np007G393400
OG0000057	XP_033143242.1	Np007G392240, Np007G392300
OG0000057	XP_033148707.1	Np007G398210, Np010G435080, Np007G401600
OG0000057	XP_009121596.1, XP_033131219.1	Np006G333600, Np006G333860, Np003G187520
OG0000058	XP_009105612.1	Np001G012910, Np001G012900, Np001G012880, Np004G225930, Np004G243520
OG0000059	XP_009132643.2	Np001G044380
OG0000061	XP_033131829.1, XP_033133259.1, XP_018509212.1, XP_009149633.1	Np005G260230
OG0000062	XP_033134233.1	Np003G166860
OG0000062	XP_033129913.1, XP_033129645.1, XP_033132767.1, XP_033145242.1, XP_033131468.1, XP_033133429.1, XP_033128838.1, XP_033128695.1, XP_033128795.1, XP_033130871.1, XP_033146432.1, XP_033146434.1, XP_033139661.1, XP_033130432.1, XP_033133874.1, XP_033148881.1, XP_033129127.1, XP_033129128.1, XP_033136406.1, XP_033147269.1, XP_033131180.1, XP_033147836.1, XP_009121263.2, XP_033146531.1, XP_009122926.1	Np004G205130
OG0000064	XP_009101919.1	Np005G260880
OG0000065	XP_033134685.1	Np008G428560, Np008G428010
OG0000066	XP_009104699.1, XP_009131189.1, XP_009130061.1, XP_009125263.1, XP_018511751.1	Np005G262320
OG0000066	XP_009125303.1, XP_009114048.1, XP_009110843.1, XP_009131154.1, XP_009129719.2, XP_009112178.1	Np003G136710
OG0000067	XP_033144949.1, XP_033144954.1, XP_009122279.3, XP_033137765.1	Np005G315250, Np005G315220, Np005G316020, Np005G316030, Np005G315340
OG0000067	XP_009118007.2, XP_009117917.2, XP_033134926.1, XP_033134927.1, XP_009117999.2	Np003G134720, Np001G055610
OG0000067	XP_033144956.1, XP_009131006.1, XP_033144664.1, XP_033136756.1, XP_009130959.2, XP_009130957.1	Np003G144200
OG0000068	XP_018515237.2, XP_033129317.1, XP_033129319.1, XP_033148603.1, XP_033129460.1	Np002G089430
OG0000068	XP_009116357.1, XP_033134429.1, XP_018508195.2	Np003G152860, Np004G247010, Np001G023980, Np002G112070, Np007G393050, Np002G095360, Np006G328420, Np002G104000
OG0000069	XP_009130609.1	Np003G152400
OG0000070	XP_033139447.1	Np002G101130
OG0000070	XP_033139530.1, XP_033129378.1, XP_033138989.1, XP_033129363.1	Np002G097070, Np006G358640, Np002G099070
OG0000070	XP_033136169.1, XP_033145488.1	Np002G099020, Np002G110630
OG0000072	XP_033129717.1, XP_033139404.1, XP_033133988.1, XP_033135850.1, XP_033142467.1, XP_033139430.1, XP_033138987.1, XP_033134841.1, XP_018511390.2, XP_033134038.1	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330
OG0000072	XP_033129946.1, XP_033140615.1	Np001G034150
OG0000073	XP_033139620.1	Np006G330840
OG0000074	XP_033130333.1	Np004G229920, Np004G230020
OG0000074	XP_009103161.1, XP_009103162.1, XP_033130331.1	Np003G180910, Np003G184200
OG0000075	XP_018509924.1, XP_033135419.1	Np003G136640
OG0000075	XP_033135917.1, XP_018510505.2, XP_033134684.1, XP_018509673.2, XP_009121040.1, XP_009131723.1, XP_009112833.1, XP_009113469.1, XP_009129136.1, XP_033142692.1	Np007G378600
OG0000075	XP_009151202.1, XP_009151204.1	Np004G233640
OG0000076	XP_033138197.1	Np002G083960
OG0000076	XP_033139477.1, XP_033135650.1	Np007G423950
OG0000076	XP_009152006.1	Np001G021860
OG0000077	XP_033144015.1	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490
OG0000077	XP_033141207.1, XP_009124954.2, XP_009101861.1	Np006G360730
OG0000077	XP_009101862.1	Np005G261720
OG0000078	XP_033147814.1	Np005G290970, Np008G428930, Np007G401550, Np004G211330, Np002G116110, Np005G303350, Np002G089150, Np002G108660
OG0000078	XP_033148565.1	Np002G097240
OG0000078	XP_033140785.1, XP_033144149.1, XP_033135355.1, XP_033142711.1, XP_018512940.2, XP_033147279.1, XP_033143194.1, XP_033143619.1, XP_033148618.1, XP_033148616.1, XP_009119775.3	Np002G092810
OG0000079	XP_009132838.1, XP_009117247.1	Np001G064190
OG0000079	XP_009116567.1	Np007G389360
OG0000080	XP_009142554.1	Np005G289190
OG0000080	XP_009120970.2	Np006G321280, Np006G321720, Np003G146070
OG0000080	XP_033137465.1	Np003G179540, Np002G124540
OG0000080	XP_009141021.1, XP_009133838.1, XP_009144344.2	Np006G351210
OG0000080	XP_033145280.1	Np004G240560, Np006G328080
OG0000081	XP_033129328.1	Np001G010770
OG0000081	XP_018512837.1	Np003G176780, Np003G176800, Np003G176750
OG0000082	XP_009110495.1, XP_033131405.1, XP_033146528.1	Np001G045200
OG0000083	XP_009104914.1, XP_009127868.1	Np002G083710
OG0000084	XP_033145730.1, XP_033145267.1	Np006G365030, Np006G365010, Np006G365440, Np006G366050
OG0000084	XP_033146352.1, XP_033146353.1	Np006G366020
OG0000084	XP_009134223.1, XP_009140586.1	Np006G365060, Np006G365040
OG0000084	XP_033145760.1, XP_033145266.1	Np006G364950
OG0000087	XP_009150907.1	Np001G010980
OG0000087	XP_009141007.2, XP_009144365.1	Np006G350150, Np008G428160
OG0000087	XP_009151388.1, XP_009150241.1	Np005G287050
OG0000087	XP_009121863.1	Np003G139100
OG0000087	XP_009123590.1, XP_009113926.1, XP_009101721.2	Np001G039930
OG0000087	XP_009134084.2, XP_009108485.1, XP_009137158.2	Np005G287110
OG0000087	XP_009106234.1	Np002G077440
OG0000088	XP_009113892.3, XP_009131995.2, XP_009116363.1, XP_033142283.1	Np001G038910, Np001G038970
OG0000088	XP_009131797.1, XP_009120802.1	Np003G148700, Np003G148740
OG0000088	XP_033147614.1, XP_009143939.1	Np001G052870
OG0000089	XP_009131124.2, XP_033138402.1, XP_009125344.2	Np003G136030
OG0000089	XP_009146646.1	Np007G409340
OG0000089	XP_009150245.1	Np003G153120
OG0000090	XP_009149503.1	Np004G235330
OG0000090	XP_009104691.1, XP_009106248.2, XP_009128146.1	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610
OG0000090	XP_009147939.1	Np004G198850, Np004G198910, Np004G205910, Np001G035580, Np001G035610, Np001G035600
OG0000090	XP_009123589.1	Np007G389920
OG0000091	XP_033142439.1, XP_033134834.1, XP_033139200.1, XP_033147182.1, XP_033137728.1, XP_033131051.1, XP_033129377.1, XP_033140597.1, XP_033128916.1, XP_033138753.1, XP_033148509.1, XP_033143363.1	Np003G165480
OG0000093	XP_009138966.1, XP_009138965.1	Np001G063230
OG0000093	XP_033136042.1, XP_009116516.1, XP_033136014.1	Np005G317970
OG0000096	XP_033134075.1	Np002G112160
OG0000096	XP_009149053.2	Np001G038140
OG0000096	XP_033139970.1	Np001G038130
OG0000097	XP_009110937.1, XP_033135887.1	Np003G184990
OG0000097	XP_033136290.1, XP_009123588.2, XP_009122016.1, XP_009121678.1, XP_009121655.1, XP_009134336.2	Np003G184940
OG0000097	XP_009121666.1	Np003G185010
OG0000098	XP_009103983.2	Np002G116580
OG0000099	XP_009121822.3	Np002G113890
OG0000099	XP_009132579.1	Np002G123650, Np007G403740
OG0000099	XP_009124806.1, XP_033134181.1	Np003G166880, Np003G163580
OG0000099	XP_009112903.1	Np002G123540
OG0000099	XP_033129523.1	Np004G215640
OG0000099	XP_033135394.1	Np002G123530, Np004G215470
OG0000100	XP_033141060.1	Np002G083340
OG0000100	XP_033141777.1, XP_009101806.2	Np004G259020, Np011G435850, Np006G344690, Np005G295460
OG0000101	XP_009112782.1	Np002G111340
OG0000101	XP_009113265.2	Np004G206440
OG0000102	XP_033134130.1	Np006G343550, Np005G313300, Np007G377750, Np002G095410
OG0000102	XP_033147108.1, XP_033129771.1	Np001G022480
OG0000104	XP_009118428.1	Np004G251930
OG0000104	XP_033145187.1, XP_033131572.1	Np006G360060, Np006G360100
OG0000104	XP_033146903.1	Np004G195160
OG0000104	XP_009135746.2	Np007G381330
OG0000104	XP_009144873.1	Np004G195140
OG0000104	XP_009140956.1	Np006G360090
OG0000106	XP_033146796.1	Np007G372640
OG0000107	XP_033131954.1, XP_009113964.1	Np007G398440, Np007G418450
OG0000107	XP_009140112.1, XP_033142636.1	Np007G398420
OG0000107	XP_009107347.1, XP_009117328.1	Np007G380680
OG0000107	XP_009145683.1	Np005G305610
OG0000108	XP_009150964.1	Np001G011650, Np001G011550
OG0000108	XP_033144223.1, XP_009137095.2, XP_033143042.1, XP_009120753.1	Np004G259470
OG0000108	XP_033141220.1	Np001G011560
OG0000109	XP_033136189.1, XP_033128016.1	Np005G297110, Np007G411390, Np006G354610, Np002G087810, Np004G196100, Np003G179250, Np007G388320
OG0000109	XP_033147237.1	Np006G352360
OG0000110	XP_009104193.2	Np001G064490
OG0000110	XP_009116587.1, XP_018508692.1	Np001G064470
OG0000110	XP_033130960.1	Np001G064520
OG0000110	XP_009104190.1	Np001G064540
OG0000111	XP_033136550.1	Np001G006010
OG0000111	XP_033141227.1	Np001G006030
OG0000111	XP_009116244.2, XP_009116184.2, XP_009116245.1, XP_033137144.1, XP_018510613.1	Np001G058370
OG0000111	XP_009120157.1	Np003G157750
OG0000112	XP_033132773.1, XP_033133176.1, XP_033133177.1, XP_033132771.1, XP_033132770.1, XP_033132772.1, XP_033133178.1, XP_033133179.1, XP_033132774.1, XP_033142284.1, XP_009132628.1	Np003G184320
OG0000113	XP_009113081.1, XP_033135475.1, XP_033135474.1	Np007G416190
OG0000113	XP_033134179.1	Np002G123190
OG0000116	XP_033143155.1, XP_033140094.1, XP_033144252.1, XP_033142122.1, XP_033128680.1, XP_033134536.1, XP_018509424.1, XP_033143756.1, XP_033139777.1, XP_033134845.1	Np005G292090, Np005G294910, Np002G096290, Np002G092280, Np001G008260
OG0000118	XP_009102969.1, XP_009104069.1, XP_009121559.1, XP_009119630.1, XP_009116825.1	Np005G315460
OG0000118	XP_009133886.1, XP_033128640.1, XP_033146399.1, XP_033146035.1, XP_033129028.1	Np001G044480, Np005G313880
OG0000119	XP_009139373.1, XP_009111365.1, XP_009123003.1	Np007G421930, Np004G214240, Np005G280390, Np004G237460, Np004G208260
OG0000120	XP_033136614.1, XP_033135828.1	Np002G117060, Np002G116940
OG0000120	XP_033129712.1, XP_009151512.2	Np004G200990
OG0000120	XP_033133710.1, XP_009107578.2, XP_033128024.1	Np006G361280, Np003G165900, Np007G387790, Np007G387320, Np007G387280
OG0000120	XP_009122928.1	Np003G129250
OG0000122	XP_018512820.2, XP_033142009.1	Np003G157760
OG0000122	XP_033137394.1	Np003G157830
OG0000122	XP_033139827.1, XP_033139826.1, XP_033142107.1	Np001G056320
OG0000122	XP_018512817.1	Np003G157770
OG0000122	XP_033144567.1, XP_009132310.1	Np003G158000
OG0000123	XP_033137383.1	Np003G131420
OG0000123	XP_009124814.1, XP_009142142.1	Np005G279480
OG0000125	XP_009103877.2	Np006G337140
OG0000125	XP_009131894.1, XP_009120626.1	Np003G151060
OG0000125	XP_009120513.1	Np003G152340
OG0000125	XP_009133865.1, XP_009103710.2, XP_009140934.1	Np006G359820
OG0000126	XP_033143378.1, XP_033148321.1, XP_033128667.1, XP_033148285.1, XP_033143377.1, XP_033146924.1, XP_033148306.1, XP_033147791.1, XP_009121383.1, XP_033148593.1, XP_033148614.1, XP_033131093.1, XP_033148497.1, XP_033139481.1, XP_033136965.1, XP_009139315.2, XP_033135969.1, XP_009151987.2, XP_033131789.1	Np003G176980, Np005G260240
OG0000126	XP_033148541.1, XP_009123429.1	Np002G094910
OG0000127	XP_009122823.2	Np003G125840
OG0000127	XP_033147907.1	Np007G413710
OG0000130	XP_033139048.1, XP_033139478.1, XP_033139494.1, XP_033139149.1, XP_033139194.1, XP_033139164.1, XP_033139244.1, XP_033139010.1, XP_033138880.1	Np006G346500, Np002G110200, Np005G295250
OG0000131	XP_033146920.1, XP_033138821.1, XP_033148341.1, XP_033148327.1, XP_033136660.1, XP_033144705.1	Np003G174400
OG0000132	XP_009122979.1, XP_033134167.1, XP_033135118.1, XP_009134460.2, XP_009115039.1, XP_033132498.1, XP_009137034.2, XP_033135204.1	Np002G112470
OG0000135	XP_009128617.1, XP_033133940.1, XP_009124649.1, XP_033134200.1, XP_009102172.2, XP_033129239.1, XP_009144118.2, XP_033148633.1, XP_033146244.1, XP_009140415.1, XP_018513882.1	Np003G164400, Np004G199120, Np004G190020, Np006G371220
OG0000136	XP_009132807.1	Np002G086710
OG0000136	XP_033147599.1	Np005G312700
OG0000136	XP_009135925.1	Np005G302230
OG0000137	XP_033137251.1, XP_009144927.1, XP_009139448.1, XP_009145189.1, XP_033139475.1, XP_009150285.1, XP_033144074.1, XP_009103633.1, XP_033128191.1, XP_033146613.1, XP_009144615.1	Np007G418300, Np006G322470, Np001G014280, Np002G106500, Np001G031670, Np006G341350, Np005G298930
OG0000137	XP_033145235.1	Np005G318010
OG0000138	XP_009109503.1, XP_009140676.1	Np006G363920, Np006G363940, Np006G366950
OG0000138	XP_009129283.2, XP_018515342.1	Np001G018700
OG0000138	XP_009104951.1, XP_009105716.1, XP_009105715.2, XP_009105714.1	Np002G085290
OG0000138	XP_009151767.2	Np002G085240, Np002G085270, Np002G085250
OG0000139	XP_033139417.1, XP_033139151.1, XP_033139496.1, XP_009123582.1, XP_033139112.1, XP_033139560.1, XP_033138953.1, XP_033138866.1, XP_033139320.1	Np006G357120, Np005G298550
OG0000139	XP_033134250.1, XP_033138766.1, XP_033133921.1, XP_033131895.1, XP_033138936.1	Np007G401090, Np004G225080, Np008G427690, Np009G431920, Np006G350500
OG0000139	XP_033139081.1	Np002G105800, Np006G350020, Np008G427900, Np002G102560, Np002G103420, Np005G308710, Np006G349710, Np002G100680, Np002G106900, Np002G110150, Np002G103410, Np002G101570, Np005G297220, Np004G224550, Np004G224560
OG0000139	XP_033139319.1, XP_033139091.1, XP_033139398.1	Np001G031630, Np002G101140
OG0000140	XP_033141238.1	Np006G370470, Np006G370770
OG0000140	XP_033142717.1	Np003G153440
OG0000140	XP_009126729.2, XP_033141242.1, XP_009126731.2, XP_009145270.2, XP_033141241.1, XP_033141237.1	Np003G153920
OG0000140	XP_033142716.1, XP_009120430.1	Np003G153430, Np007G424390, Np003G153390
OG0000140	XP_009149959.1	Np001G046630
OG0000142	XP_033148630.1	Np006G360490
OG0000143	XP_009102953.1	Np004G210550
OG0000144	XP_018511598.1, XP_009144754.1	Np001G049380
OG0000145	XP_033137037.1	Np002G108950, Np007G417590
OG0000145	XP_033128661.1	Np004G215180
