Orthogroup	Brassica_rapa	Erysimum_linariifolium
OG0000019	XP_018509279.1	El004G213790
OG0000020	XP_033134461.1	El007G347970, El005G264160
OG0000020	XP_033134901.1, XP_033128608.1	El004G206630
OG0000021	XP_018510870.2, XP_033134016.1, XP_033145281.1, XP_033147757.1, XP_033143311.1, XP_033133957.1, XP_018509111.1	El001G064400
OG0000021	XP_009150818.1	El001G063330, El006G289540
OG0000021	XP_009119509.1, XP_009113517.1, XP_033146211.1, XP_033131873.1, XP_033142170.1, XP_033143214.1, XP_033146253.1	El005G277430, El007G325630
OG0000023	XP_009139620.1	El007G357800
OG0000023	XP_009137325.1	El003G162000
OG0000023	XP_009114807.1	El003G162130
OG0000025	XP_009127105.2, XP_033140818.1	El003G190320, El007G338170, El007G338190, El007G338230, El007G338200
OG0000025	XP_033138713.1	El007G339540, El007G339570
OG0000025	XP_009102299.1, XP_009133873.1	El007G342390, El007G340950
OG0000026	XP_009111790.1	El003G183480
OG0000026	XP_033131885.1, XP_033136819.1, XP_033130671.1, XP_033141177.1, XP_033134459.1, XP_009113566.2, XP_033133949.1, XP_033129389.1, XP_033143428.1, XP_033133947.1, XP_033139107.1, XP_009115887.2, XP_033131817.1, XP_033129312.1, XP_009108648.2	El007G356660
OG0000027	XP_033132209.1	El002G117730
OG0000027	XP_009144063.2, XP_033148397.1, XP_018514372.2	El002G117790, El002G117690, El002G117760, El002G117870, El002G117820
OG0000027	XP_009116539.1	El001G029050, El001G025570
OG0000028	XP_009119478.1	El004G212000, El004G211990, El007G348580, El007G334290, El007G365340, El007G351990
OG0000028	XP_009151013.1, XP_033141106.1, XP_009145551.2, XP_009115654.1, XP_009132264.1, XP_009123077.2, XP_009121319.1, XP_033138742.1, XP_009145179.2, XP_009150817.2, XP_009138126.1, XP_009144174.1	El001G018960, El002G114660, El007G326060
OG0000029	XP_033129539.1	El001G031910
OG0000029	XP_009123725.2	El001G044810
OG0000029	XP_033130775.1	El001G046730
OG0000029	XP_033145454.1	El007G356090, El006G308300, El003G165930, El002G089750
OG0000030	XP_009121228.1	El001G014970
OG0000030	XP_033148072.1	El005G265320, El003G181970
OG0000030	XP_033130759.1, XP_033136651.1, XP_033132456.1, XP_018515301.2, XP_033148584.1, XP_033143238.1	El007G346180
OG0000030	XP_009120611.1, XP_033129992.1, XP_033136099.1	El003G181960
OG0000030	XP_009108258.2	El002G136200
OG0000031	XP_009112698.1	El004G197790, El004G197660
OG0000031	XP_009140073.1	El003G192370
OG0000031	XP_009114567.1	El005G253470
OG0000031	XP_009142868.1	El003G157520
OG0000031	XP_009118532.1	El002G127940, El004G193990
OG0000033	XP_009108047.1, XP_009109092.2, XP_009136929.1, XP_009137321.1	El003G162140, El003G162150
OG0000033	XP_009128507.1	El005G273190
OG0000033	XP_033143970.1	El003G162180
OG0000033	XP_033136442.1	El001G004730
OG0000034	XP_009145453.2, XP_033138396.1	El002G123500
OG0000034	XP_033130130.1	El003G149900, El001G048010
OG0000035	XP_033145355.1, XP_018513876.1, XP_009146516.2, XP_018513390.1, XP_033145288.1, XP_009141229.2, XP_033145293.1, XP_009141452.3, XP_009141227.2, XP_033145356.1, XP_033145756.1, XP_033145751.1, XP_033145292.1, XP_018514111.1, XP_009141011.2	El001G043940
OG0000036	XP_033134311.1, XP_033143404.1, XP_033148539.1, XP_033138233.1, XP_033131792.1, XP_033138465.1, XP_033148531.1, XP_033145221.1, XP_033139492.1, XP_033134400.1, XP_033139188.1, XP_033137200.1, XP_033141098.1, XP_033130753.1, XP_033148815.1, XP_033134234.1, XP_033134349.1, XP_033131195.1, XP_033129412.1, XP_033131764.1, XP_033139241.1, XP_033134272.1, XP_033129427.1, XP_033131918.1, XP_033139143.1, XP_033131462.1, XP_033131993.1, XP_009145099.2, XP_033131591.1, XP_033143352.1	El006G311410, El002G122040, El002G126960
OG0000036	XP_033139240.1	El006G311420, El002G122030
OG0000037	XP_033134981.1	El004G202640
OG0000037	XP_018509044.1	El003G180470
OG0000038	XP_009137794.1	El007G360620, El007G360550, El007G360490, El007G360510, El007G360600, El007G360640
OG0000040	XP_033131947.1	El006G296490, El006G297130
OG0000040	XP_018510426.1, XP_009123103.2, XP_033146117.1, XP_033130762.1, XP_033145302.1, XP_009141585.2	El005G250180
OG0000040	XP_009145735.1	El005G257710
OG0000040	XP_033138328.1, XP_033137984.1, XP_009141814.1	El005G257410
OG0000041	XP_033135950.1	El004G204870, El005G265750, El007G355940, El001G013140, El002G131060
OG0000042	XP_018513078.1	El004G194460, El007G344540, El005G265850
OG0000043	XP_033132419.1, XP_033129392.1, XP_033133928.1, XP_033138981.1, XP_033139074.1, XP_033129466.1, XP_033148514.1, XP_033138762.1, XP_033138743.1, XP_033134275.1, XP_033145298.1, XP_033142356.1, XP_033133347.1, XP_033148483.1, XP_033141137.1	El007G350700
OG0000044	XP_009129598.2, XP_033148784.1, XP_033131827.1, XP_033139854.1, XP_033131463.1, XP_033140741.1, XP_033146209.1, XP_033136827.1, XP_033147039.1, XP_033132745.1, XP_033146848.1, XP_033141133.1	El006G308910, El006G308940
OG0000044	XP_033141811.1, XP_033147696.1, XP_009145895.1	El007G360870
OG0000045	XP_033143302.1, XP_009148796.1	El002G101480
OG0000045	XP_033148599.1	El004G208130
OG0000045	XP_018512881.1	El006G320830
OG0000046	XP_009151130.2, XP_009140101.2	El003G188710
OG0000046	XP_009140044.1	El003G186960, El003G186970
OG0000046	XP_033142550.1	El003G168460
OG0000046	XP_009127504.1	El004G216790
OG0000046	XP_009127512.1	El004G216850, El004G216660
OG0000046	XP_009105243.1	El004G216560, El004G216600
OG0000046	XP_009127507.1	El004G216520
OG0000046	XP_009140168.2	El003G186890
OG0000047	XP_018508607.1	El001G050090, El002G123400
OG0000047	XP_033143282.1	El004G204540, El001G049540, El007G364690
OG0000049	XP_033147559.1	El001G020690
OG0000049	XP_033143560.1	El007G333440
OG0000052	XP_009119376.1, XP_009121616.2, XP_009118690.1	El007G364450, El002G116290
OG0000052	XP_018513039.2	El006G286630
OG0000052	XP_033148410.1, XP_009142840.1, XP_033138797.1, XP_033138543.1	El006G286580
OG0000055	XP_009149950.1	El001G016330, El001G016310, El001G016300
OG0000056	XP_033138069.1, XP_009111623.2, XP_009119460.3	El003G171800, El004G200570
OG0000058	XP_009142124.1, XP_033141200.1	El001G046460
OG0000062	XP_033138187.1, XP_033145404.1, XP_033140709.1, XP_033132651.1, XP_033140705.1	El007G346680, El005G263100
OG0000064	XP_009101919.1	El003G142390
OG0000065	XP_033134685.1	El003G166430, El007G349160
OG0000066	XP_009125303.1, XP_009114048.1, XP_009110843.1, XP_009131154.1, XP_009129719.2, XP_009112178.1	El007G324780
OG0000067	XP_033144949.1, XP_033144954.1, XP_009122279.3, XP_033137765.1	El001G050000
OG0000067	XP_009118007.2, XP_009117917.2, XP_033134926.1, XP_033134927.1, XP_009117999.2	El005G274450, El007G348170
OG0000067	XP_033144956.1, XP_009131006.1, XP_033144664.1, XP_033136756.1, XP_009130959.2, XP_009130957.1	El001G059350
OG0000070	XP_033139530.1, XP_033129378.1, XP_033138989.1, XP_033129363.1	El007G351510
OG0000071	XP_033134634.1, XP_009138559.1, XP_009119936.1, XP_033141352.1, XP_033135598.1, XP_033135708.1, XP_033132990.1, XP_033134365.1, XP_033136535.1, XP_033138832.1	El002G129540
OG0000072	XP_033129717.1, XP_033139404.1, XP_033133988.1, XP_033135850.1, XP_033142467.1, XP_033139430.1, XP_033138987.1, XP_033134841.1, XP_018511390.2, XP_033134038.1	El003G180720
OG0000073	XP_009136811.1	El002G132380
OG0000073	XP_018510070.1	El007G365480
OG0000074	XP_033130333.1	El002G108920
OG0000074	XP_009115511.1	El002G109030
OG0000074	XP_033135734.1, XP_009115048.1, XP_009115516.1	El002G108840
OG0000076	XP_009115966.1, XP_033146756.1, XP_033146757.1, XP_033146252.1, XP_033145801.1	El001G023080
OG0000076	XP_009152006.1	El001G041500, El001G041490
OG0000077	XP_033141207.1, XP_009124954.2, XP_009101861.1	El003G143050, El006G313810, El003G143040
OG0000077	XP_009101862.1	El003G143090
OG0000078	XP_033148565.1, XP_033138831.1, XP_033140785.1, XP_033144149.1, XP_033135355.1, XP_033142711.1, XP_018512940.2, XP_033147279.1, XP_033143194.1, XP_033143619.1, XP_033148618.1, XP_033148616.1, XP_009119775.3	El008G368270, El008G368260
OG0000079	XP_018510392.1	El005G237320, El005G272390, El005G237310
OG0000079	XP_009116567.1	El007G357730
OG0000079	XP_018509949.2	El004G196920
OG0000080	XP_009120970.2	El002G131320, El002G131270
OG0000080	XP_033145280.1	El001G043770, El001G041340
OG0000081	XP_033129328.1	El004G231800, El001G044440
OG0000081	XP_009132885.2, XP_033144403.1	El006G319750
OG0000082	XP_009110495.1, XP_033131405.1, XP_033146528.1, XP_033144158.1, XP_018510014.1	El004G212430
OG0000083	XP_033133290.1	El007G352220, El007G352210
OG0000083	XP_009104914.1, XP_009127868.1	El004G223260
OG0000083	XP_009124082.1	El006G317480, El006G317520, El006G317460, El006G317530
OG0000084	XP_033145265.1	El006G313950
OG0000084	XP_009134223.1, XP_009140586.1	El006G316420
OG0000084	XP_033145760.1, XP_033145266.1	El006G316360, El006G316460, El006G316430, El006G316470, El006G316370, El006G316400
OG0000085	XP_033136961.1	El005G263080, El005G261930
OG0000086	XP_033135741.1, XP_033136271.1, XP_033135743.1, XP_009124087.2, XP_009124650.2, XP_033135477.1, XP_033135744.1, XP_033135687.1, XP_033136269.1, XP_009124058.2, XP_033135742.1, XP_033136268.1, XP_033136272.1, XP_033135685.1, XP_033135749.1, XP_033135747.1, XP_033135746.1, XP_033136270.1, XP_033135748.1, XP_033134284.1, XP_033134283.1, XP_033135684.1, XP_033135688.1, XP_033135686.1, XP_033134282.1	El002G123600, El004G210560
OG0000087	XP_009150907.1	El001G056180
OG0000087	XP_009141007.2, XP_009144365.1	El006G303330
OG0000087	XP_009151388.1, XP_009150241.1	El007G327940
OG0000087	XP_009149954.2, XP_009150568.2	El001G016250
OG0000087	XP_009121863.1	El001G069260
OG0000087	XP_018514901.1	El006G296420
OG0000087	XP_009123590.1, XP_009113926.1, XP_009101721.2	El007G360740
OG0000087	XP_009134084.2, XP_009108485.1, XP_009137158.2	El003G165170
OG0000087	XP_009106234.1	El004G228430
OG0000088	XP_009140910.1, XP_009140909.1, XP_009144708.1, XP_018509698.1	El007G357210
OG0000088	XP_009119422.1	El001G016960
OG0000088	XP_018508112.1	El001G016470
OG0000088	XP_009131797.1, XP_009120802.1	El001G059590
OG0000088	XP_033147614.1, XP_009143939.1	El001G059580
OG0000089	XP_009131124.2, XP_033138402.1, XP_009125344.2	El001G072250
OG0000089	XP_009145858.2, XP_009135599.1, XP_018513774.1	El002G133200
OG0000089	XP_009146646.1	El005G247910
OG0000090	XP_009149503.1	El002G104490, El003G181590
OG0000090	XP_009104691.1, XP_009106248.2, XP_009128146.1	El004G228750
OG0000090	XP_009123589.1	El002G093200
OG0000093	XP_009104130.1	El002G128830
OG0000093	XP_009104131.1	El001G029880
OG0000093	XP_033131129.1	El001G029840
OG0000096	XP_033134075.1	El004G205300
OG0000096	XP_009149053.2	El007G362690
OG0000096	XP_033139970.1	El007G362760
OG0000097	XP_009110937.1, XP_033135887.1	El001G004470
OG0000097	XP_033140146.1	El001G004450
OG0000097	XP_009140229.1	El001G004400
OG0000098	XP_033135443.1	El002G095770
OG0000099	XP_033135357.1	El004G194870, El001G011990, El004G194960, El004G194830, El004G194970, El004G204720, El004G194880, El004G194860, El006G303000, El004G214950, El004G214930
OG0000099	XP_033129523.1	El004G194890, El004G195030, El004G194980
OG0000100	XP_033141060.1	El004G206690, El006G309850, El007G331570, El004G203680, El006G309780, El001G004640, El001G030520, El001G030510
OG0000101	XP_009112782.1	El007G349760
OG0000101	XP_033135318.1	El001G010940
OG0000101	XP_009113265.2	El004G201590
OG0000102	XP_033134130.1	El006G302470
OG0000102	XP_033131783.1	El007G357340
OG0000104	XP_009118428.1	El002G090170
OG0000104	XP_033145187.1, XP_033131572.1	El006G304210
OG0000105	XP_009119485.2, XP_033141126.1, XP_009137046.1, XP_033131858.1, XP_009150028.1, XP_033132166.1, XP_033131743.1, XP_009118878.2, XP_009113856.1, XP_009144601.1, XP_009123474.1, XP_009110701.2, XP_009139671.2, XP_009140190.1, XP_033134358.1, XP_009113848.2, XP_009145726.1, XP_009150330.1, XP_009115110.2, XP_033139996.1, XP_009126886.2	El027G373450
OG0000106	XP_033146796.1	El001G010720, El005G256190, El005G255570
OG0000106	XP_009136113.1	El005G269060, El005G269030, El005G268940
OG0000107	XP_033131954.1, XP_009113964.1	El006G308310
OG0000107	XP_009140112.1, XP_033142636.1	El005G257790, El005G257800
OG0000107	XP_018514730.2	El005G257840
OG0000107	XP_009107347.1, XP_009117328.1	El003G184930, El003G187830, El007G362890
OG0000107	XP_009111243.1	El001G039680, El005G258940, El005G270120
OG0000108	XP_009150964.1	El007G364310, El007G323300, El001G009690, El006G281400
OG0000108	XP_033144223.1, XP_009137095.2, XP_033143042.1	El006G297420, El006G297320, El006G297490, El006G297230, El002G139550
OG0000109	XP_033136189.1, XP_033128016.1	El005G269730
OG0000109	XP_033147238.1	El001G018880
OG0000110	XP_009104193.2	El001G030790
OG0000110	XP_009116587.1, XP_018508692.1	El001G030780
OG0000111	XP_009144883.2	El003G187720, El001G009620, El003G183560
OG0000111	XP_009116244.2, XP_009116184.2, XP_009116245.1, XP_033137144.1, XP_018510613.1	El001G025790
OG0000112	XP_033142284.1, XP_009132628.1	El007G342990
OG0000114	XP_033142504.1, XP_033142547.1, XP_033142785.1, XP_009113973.2	El001G070430
OG0000114	XP_018508210.2	El004G206200, El004G206180, El004G205940, El004G206220
OG0000115	XP_033133352.1, XP_033137116.1, XP_009117684.2, XP_009138128.2, XP_018515327.2, XP_033135265.1, XP_009144129.1, XP_033138000.1, XP_033143489.1	El007G324900, El006G289920, El006G285120, El004G201560, El001G079750, El001G046700
OG0000115	XP_033145250.1, XP_033137256.1, XP_009106231.2, XP_009119135.2, XP_018508038.2, XP_033135408.1, XP_033137091.1	El002G106750, El002G138260, El007G348280
OG0000116	XP_033143155.1, XP_033140094.1, XP_033144252.1, XP_033142122.1, XP_033128680.1, XP_033134536.1, XP_018509424.1, XP_033143756.1, XP_033139777.1, XP_033134845.1	El006G309080, El005G266280, El003G181290, El002G126330, El004G208040, El003G160430, El001G048920, El007G350210, El004G213450, El001G046840, El004G209170, El001G081080, El007G335700, El004G218070
OG0000118	XP_009102969.1, XP_009104069.1, XP_009121559.1, XP_009119630.1, XP_009116825.1	El001G001700, El001G001530
OG0000118	XP_009133886.1, XP_033128640.1, XP_033146399.1, XP_033146035.1, XP_033129028.1	El002G084120
OG0000119	XP_009139373.1, XP_009111365.1, XP_009123003.1	El005G265760, El001G013130, El007G355930
OG0000120	XP_033136614.1, XP_033135828.1	El004G200260
OG0000120	XP_033133710.1, XP_009107578.2, XP_033128024.1	El007G345250, El007G346140, El006G307860
OG0000120	XP_009122928.1	El001G077920
OG0000121	XP_018512694.1, XP_009136015.2, XP_009140408.1, XP_009145568.2, XP_009132243.2, XP_009137728.2, XP_033143088.1, XP_033135941.1, XP_033131872.1, XP_009149576.1, XP_033131981.1, XP_033141234.1, XP_033132224.1, XP_033143039.1, XP_009107600.1, XP_033131876.1, XP_033148590.1, XP_033145709.1, XP_033148594.1, XP_033128204.1, XP_033141131.1, XP_033132198.1, XP_033134271.1, XP_033143308.1, XP_033143264.1, XP_033139997.1, XP_033143216.1, XP_033138779.1, XP_009121247.2, XP_033134061.1, XP_033134344.1, XP_009115950.1	El001G079760
OG0000121	XP_009103777.2, XP_018512879.2, XP_009144130.2	El004G201550, El003G176590, El007G324890
OG0000122	XP_033139821.1	El007G335590, El007G335600
OG0000123	XP_009109753.1	El002G113800
OG0000124	XP_033147807.1	El001G053440
OG0000124	XP_033130441.1, XP_009107043.1	El005G257490, El006G297400, El006G297570, El004G206660, El006G307600, El001G057860, El004G224160, El007G349980
OG0000124	XP_033138183.1	El005G241140, El004G213620
OG0000125	XP_009103877.2	El006G292880
OG0000125	XP_009131894.1, XP_009120626.1	El001G057350
OG0000125	XP_009120513.1	El001G015040, El007G331030
OG0000125	XP_009133865.1, XP_009103710.2, XP_009140934.1	El006G304720
OG0000127	XP_033147907.1, XP_033147905.1, XP_033131102.1, XP_033147889.1, XP_033145685.1	El001G001730
OG0000130	XP_033138885.1	El002G120060
OG0000132	XP_009122979.1, XP_033134167.1, XP_033135118.1, XP_009134460.2, XP_009115039.1, XP_033132498.1, XP_009137034.2, XP_033135204.1	El005G264200
OG0000132	XP_009115537.1, XP_018512844.2	El005G264210
OG0000133	XP_033129350.1, XP_033134137.1, XP_033133914.1, XP_009144918.2, XP_033131816.1, XP_033136624.1, XP_033148101.1	El003G179460
OG0000135	XP_009128617.1, XP_033133940.1, XP_009124649.1, XP_033134200.1, XP_009102172.2, XP_033129239.1, XP_009144118.2, XP_033148633.1, XP_033146244.1, XP_009140415.1, XP_018513882.1	El007G346110
OG0000136	XP_033147599.1	El004G209050, El004G209110
OG0000136	XP_009135925.1	El003G186400, El003G186460
OG0000137	XP_033137251.1, XP_009144927.1, XP_009139448.1, XP_009145189.1, XP_033139475.1, XP_009150285.1, XP_033144074.1, XP_009103633.1, XP_033128191.1, XP_033146613.1, XP_009144615.1	El002G124820, El003G184880
OG0000137	XP_033145235.1	El003G191580
OG0000138	XP_033131017.1	El004G229780
OG0000138	XP_009129283.2, XP_018515342.1	El001G045840
OG0000138	XP_009151767.2	El001G045810, El001G045830
OG0000140	XP_033142717.1	El007G332020
OG0000140	XP_009126729.2, XP_033141242.1, XP_009126731.2, XP_009145270.2, XP_033141241.1, XP_033141237.1	El007G332560, El007G332570, El007G332540
OG0000140	XP_033142716.1, XP_009120430.1	El007G332010, El007G332000
OG0000142	XP_033147142.1	El006G303740, El006G303770
OG0000142	XP_009123600.1	El001G049820, El006G303750
OG0000142	XP_033148630.1	El006G303760, El006G303820
OG0000142	XP_009140985.1, XP_009140992.3	El006G301970, El006G301960
OG0000143	XP_033141173.1	El003G186130
OG0000144	XP_033132530.1	El007G351410
OG0000144	XP_018513380.1	El006G293730
OG0000144	XP_018512770.1	El007G362000
OG0000145	XP_009145098.1, XP_033136922.1	El001G032460
OG0000145	XP_033135470.1, XP_033140902.1	El005G270970, El001G000710
OG0000145	XP_033137037.1	El001G043740
OG0000145	XP_033141981.1	El002G114960
OG0000146	XP_033144579.1, XP_033139637.1, XP_009127007.2	El007G336800
OG0000146	XP_009127005.1, XP_009111746.1	El007G336790
OG0000146	XP_009120051.1, XP_009132642.1	El007G336850
OG0000146	XP_033138715.1	El007G336810
OG0000146	XP_009132393.1	El007G336820
OG0000146	XP_018510146.1	El007G336890
OG0000146	XP_009127057.1	El007G336920
OG0000147	XP_009102205.2, XP_009112568.1	El005G277400
OG0000147	XP_009109000.1	El003G152940
OG0000147	XP_033141904.1, XP_009120261.2	El007G334350
OG0000147	XP_009106729.2, XP_018508569.2	El004G233720
OG0000147	XP_009128205.1	El001G047010
OG0000147	XP_018513014.1	El005G271430
OG0000147	XP_009117122.1	El006G316840
OG0000150	XP_009126896.3, XP_018511917.2	El006G312860
OG0000150	XP_033139673.1	El001G011280
OG0000150	XP_009140726.1	El001G014390, El001G014400
OG0000151	XP_009119874.1	El007G339860
OG0000151	XP_009144093.1, XP_009109116.1	El003G156070
OG0000151	XP_009135093.1, XP_009146989.1, XP_009123804.1	El005G243780
OG0000151	XP_009136334.1, XP_009121200.1	El005G273960
OG0000151	XP_018510771.1, XP_018512593.2	El007G336000
OG0000151	XP_009112816.1	El004G194600
OG0000152	XP_033139410.1, XP_033139486.1, XP_033139000.1, XP_033139409.1, XP_033139228.1, XP_018511352.1	El006G310290
OG0000152	XP_033148198.1, XP_033147971.1, XP_033133696.1, XP_033144131.1, XP_033133396.1, XP_033147396.1, XP_033135350.1, XP_033148073.1, XP_033136129.1, XP_033148068.1, XP_033142141.1	El003G177030
OG0000154	XP_009123001.2, XP_009136338.1	El006G314290, El006G314350
OG0000154	XP_033137307.1, XP_009122772.2, XP_009122774.3	El004G209500
OG0000155	XP_009133539.2, XP_018508817.2, XP_033130819.1, XP_033130815.1	El004G214530, El004G213730, El004G214590
OG0000155	XP_009134691.2	El003G164690
OG0000155	XP_009135203.2	El005G247790
OG0000155	XP_009150399.2, XP_009105221.2	El003G164700
OG0000156	XP_033146706.1	El001G032910
OG0000156	XP_009142347.1	El006G282820, El007G349010
OG0000156	XP_018514087.1	El002G121590, El006G282830
OG0000156	XP_009116769.1	El001G032920
OG0000157	XP_033143226.1	El005G238850
OG0000157	XP_009113644.3, XP_009115539.2, XP_033135169.1, XP_033135170.1, XP_033135012.1, XP_009135990.1, XP_033135900.1	El003G192550, El003G192860
OG0000158	XP_033141607.1	El001G047920, El001G050860
OG0000162	XP_009138832.1, XP_033145512.1, XP_009138923.1	El001G032200
OG0000162	XP_009104263.2	El005G268830
OG0000162	XP_009143082.1	El006G283560, El006G283550
OG0000164	XP_018513023.1	El003G154310, El003G154300
OG0000164	XP_018509849.2	El001G048350
OG0000164	XP_009109447.1	El003G143320
OG0000165	XP_009106792.1	El003G187390
OG0000165	XP_033143356.1	El006G319440
OG0000166	XP_009121367.1	El004G197940
OG0000167	XP_009132947.2	El003G166330
OG0000167	XP_033133256.1	El003G186190, El007G348790
OG0000167	XP_033138466.1	El003G166350
OG0000167	XP_009108433.1	El003G186120
OG0000168	XP_033129442.1	El002G109450, El006G282840
OG0000168	XP_033141698.1, XP_033134355.1, XP_009118886.2, XP_033129452.1, XP_018512128.2, XP_033129330.1, XP_009102097.1, XP_009117227.2	El007G366060, El007G366100
OG0000169	XP_033141673.1	El004G226750
OG0000169	XP_033128100.1, XP_033128105.1	El006G316110
OG0000171	XP_009127800.1, XP_033134622.1, XP_033130273.1, XP_009103171.1	El004G222060, El002G108810
OG0000171	XP_033137829.1	El001G066810
OG0000174	XP_033131805.1, XP_033128516.1, XP_033138985.1	El005G261670, El003G181040, El001G047190, El008G371470, El007G350780, El003G181660
OG0000175	XP_009138399.1, XP_009148517.1	El005G275350
OG0000175	XP_009110241.1	El002G104420
OG0000175	XP_009107160.1	El003G147420
OG0000175	XP_009112460.1, XP_009121076.1, XP_009124572.1	El003G146230
OG0000177	XP_033133384.1	El006G311500
OG0000177	XP_009110955.2, XP_009114814.1, XP_018509101.1, XP_033138772.1, XP_009123000.1, XP_033131339.1, XP_018509033.1, XP_033134390.1, XP_009138632.1, XP_033133909.1, XP_009110851.3	El004G208380, El005G239340, El002G123320, El001G053740, El007G348130
OG0000180	XP_033144867.1, XP_033144865.1, XP_033143704.1, XP_009137441.1, XP_018512413.1, XP_009150992.2	El006G317860
