Orthogroup	Brassica_rapa	Brassica_napus
OG0000002	XP_033136250.1, XP_033134280.1, XP_033139166.1	XP_048613404.1, XP_048611643.1, XP_048623756.1, XP_048615560.1, XP_048605535.1, XP_013674344.2, XP_048608675.1, XP_048605721.1, XP_048613199.1, XP_013721281.1, XP_048605601.1, XP_048599856.1, XP_048605621.1, XP_048623642.1, XP_013731515.1, XP_048604101.1, XP_048614819.1, XP_048613396.1, XP_013738897.2, XP_013669035.2, XP_048622678.1, XP_048623931.1, XP_048607224.1, XP_048605163.1, XP_048600552.1, XP_013650953.2
OG0000002	XP_033139102.1	XP_013689350.1, XP_048590889.1, XP_022575799.1, XP_048605884.1, XP_048611767.1, XP_048637575.1, XP_048596375.1
OG0000002	XP_033129376.1	XP_013745502.1
OG0000002	XP_033139223.1	XP_013699873.2, XP_013668901.1, XP_013733765.2
OG0000003	XP_033147287.1	XP_048630494.1
OG0000003	XP_018514447.1	XP_022553650.2, XP_022551562.1, XP_013650516.2, XP_048611467.1, XP_048622667.1, XP_013679209.2, XP_048613575.1, XP_013704463.1, XP_022549222.1, XP_048615663.1, XP_048596497.1, XP_013650417.1
OG0000003	XP_033148793.1	XP_048612037.1, XP_048604599.1, XP_013700336.2, XP_013709251.1
OG0000003	XP_018511976.2	XP_022567565.1
OG0000003	XP_009106784.1	XP_013723216.2
OG0000003	XP_033148226.1	XP_048599891.1
OG0000003	XP_033147058.1	XP_013745520.2
OG0000003	XP_033138856.1	XP_048611684.1, XP_048604999.1, XP_048605785.1, XP_048605458.1, XP_013717832.1
OG0000003	XP_033145199.1	XP_048627572.1
OG0000003	XP_033139537.1	XP_048627497.1, XP_048630683.1, XP_048627321.1, XP_048630695.1, XP_048628607.1, XP_048629617.1, XP_048619971.1
OG0000003	XP_009113007.1	XP_022552131.1, XP_013669317.2
OG0000003	XP_033144133.1, XP_033138943.1, XP_033138945.1	XP_048631220.1
OG0000003	XP_033139287.1, XP_033139528.1, XP_033141136.1, XP_033139526.1, XP_033139499.1, XP_033139354.1, XP_033139242.1, XP_033139222.1, XP_033138902.1, XP_033139368.1, XP_033139289.1, XP_033139427.1, XP_033139498.1, XP_033139424.1	XP_048628244.1, XP_048628243.1, XP_048628350.1, XP_048630864.1, XP_048628796.1, XP_048627881.1, XP_048628805.1, XP_048590783.1
OG0000003	XP_033134418.1	XP_048620014.1
OG0000003	XP_033139207.1, XP_033131095.1	XP_048593358.1, XP_048627912.1, XP_048629520.1, XP_048596408.1
OG0000003	XP_033139140.1, XP_033139380.1, XP_033139238.1	XP_048630520.1, XP_022557580.1
OG0000003	XP_033138944.1	XP_013688944.1, XP_048631221.1
OG0000003	XP_033139394.1, XP_033139482.1, XP_033139545.1	XP_048629910.1
OG0000003	XP_033139261.1	XP_013669098.1, XP_048611542.1
OG0000003	XP_033139353.1, XP_033138946.1, XP_033139489.1	XP_048628470.1
OG0000003	XP_033141152.1	XP_048628351.1
OG0000004	XP_009124577.2	XP_048593472.1, XP_048633069.1
OG0000004	XP_033130110.1	XP_048634043.1
OG0000004	XP_009123632.2	XP_048598122.1
OG0000004	XP_009150012.1	XP_048626290.1, XP_013709134.2
OG0000004	XP_009103531.2, XP_009114092.1	XP_048620167.1
OG0000004	XP_033147264.1	XP_048628328.1, XP_022573038.2, XP_013738903.1, XP_013723746.2, XP_048613577.1
OG0000004	XP_033130352.1, XP_033142720.1	XP_048629721.1, XP_048626338.1
OG0000004	XP_033134838.1	XP_013709295.1
OG0000004	XP_033142250.1	XP_013739852.2
OG0000004	XP_033131796.1, XP_033131803.1, XP_033131795.1	XP_048627721.1, XP_048620311.1, XP_022558258.1
OG0000004	XP_009140640.1	XP_048634122.1
OG0000004	XP_033144114.1, XP_033134243.1	XP_013658287.2
OG0000004	XP_033138224.1	XP_048605041.1
OG0000004	XP_033133402.1	XP_013689881.1
OG0000004	XP_033131337.1	XP_048623794.1
OG0000004	XP_033138739.1	XP_048620086.1
OG0000004	XP_033143353.1	XP_048613285.1
OG0000004	XP_033148733.1	XP_048629226.1, XP_048604979.1, XP_048595626.1
OG0000004	XP_033132135.1	XP_048591584.1
OG0000004	XP_033131005.1	XP_048593215.1
OG0000004	XP_033139405.1	XP_048593487.1
OG0000004	XP_033143342.1	XP_048611438.1, XP_022571217.1, XP_048593392.1, XP_048623644.1, XP_048605797.1, XP_048593344.1, XP_048613313.1, XP_048633060.1
OG0000004	XP_033132082.1	XP_048623952.1
OG0000004	XP_033136774.1	XP_048611432.1, XP_048622601.1, XP_013700421.1, XP_048633139.1
OG0000004	XP_033141150.1	XP_048608961.1
OG0000004	XP_033133908.1	XP_048594891.1, XP_013718382.2, XP_048615660.1, XP_048622886.1, XP_048604743.1
OG0000004	XP_033139542.1	XP_048637537.1
OG0000004	XP_033141135.1	XP_048615701.1, XP_048615546.1, XP_048624014.1
OG0000004	XP_033131653.1	XP_048623890.1, XP_048611535.1
OG0000004	XP_033143430.1	XP_048593475.1, XP_048623608.1, XP_013700585.1
OG0000004	XP_033147600.1	XP_048591490.1, XP_048633068.1
OG0000004	XP_033145007.1, XP_033136130.1, XP_033140697.1	XP_048606736.1, XP_048638523.1, XP_048613061.1, XP_048609142.1, XP_048624264.1, XP_048609510.1, XP_048604054.1, XP_048637040.1
OG0000004	XP_033146511.1	XP_048600258.1, XP_048601936.1, XP_048625046.1
OG0000004	XP_033134232.1	XP_048596553.1
OG0000004	XP_033135264.1, XP_033130565.1, XP_033138684.1, XP_033134820.1, XP_033148015.1	XP_048593220.1
OG0000004	XP_033131605.1, XP_033131962.1	XP_048590778.1, XP_048591563.1
OG0000004	XP_033143073.1	XP_048633725.1, XP_022570140.2, XP_048592847.1
OG0000005	XP_009142128.2	XP_013699684.2
OG0000005	XP_033143163.1	XP_048599618.1
OG0000005	XP_009102722.2	XP_013650490.2
OG0000005	XP_009113005.2	XP_013668599.2, XP_013669340.1
OG0000005	XP_033131870.1	XP_013658945.2, XP_048611304.1
OG0000005	XP_009129720.1, XP_009122880.1, XP_018513613.1	XP_048602704.1
OG0000005	XP_009147334.1	XP_013720458.1
OG0000005	XP_009117702.1	XP_048626877.1, XP_048594904.1, XP_013739148.2, XP_013713578.1
OG0000005	XP_009109961.2	XP_022548621.1
OG0000005	XP_009139324.1	XP_013674511.1
OG0000005	XP_033148561.1	XP_013658926.1
OG0000005	XP_033140104.1	XP_013673764.3
OG0000005	XP_033141066.1	XP_048622638.1
OG0000005	XP_033146099.1, XP_009137100.1	XP_013739679.2
OG0000005	XP_018515469.2	XP_013729746.2
OG0000005	XP_033130816.1	XP_048631460.1
OG0000005	XP_009148188.2	XP_048632940.1, XP_013645014.2
OG0000005	XP_018510720.2	XP_013713423.1
OG0000005	XP_009112590.1	XP_048596248.1
OG0000005	XP_033133437.1	XP_048613305.1, XP_013745364.2, XP_048610016.1, XP_048606207.1, XP_048622690.1, XP_048593354.1
OG0000005	XP_009127063.3	XP_048617358.1
OG0000005	XP_033131910.1	XP_048591522.1, XP_048621914.1
OG0000005	XP_009102787.1	XP_048613106.1
OG0000005	XP_033141202.1	XP_022557398.2, XP_048599189.1, XP_048615609.1, XP_013746138.2, XP_013751397.2, XP_022575814.1, XP_013739634.2, XP_013703270.2
OG0000005	XP_009107743.1	XP_013739903.1
OG0000005	XP_033128715.1	XP_048591512.1
OG0000005	XP_018515150.1	XP_048622755.1, XP_048631394.1, XP_013650434.2
OG0000005	XP_009117682.2	XP_048630058.1
OG0000005	XP_033146265.1	XP_048626850.1
OG0000005	XP_033134456.1	XP_013709689.1, XP_048605197.1, XP_048611727.1, XP_048596344.1
OG0000005	XP_033139816.1	XP_048637311.1, XP_048621840.1
OG0000005	XP_033141077.1	XP_048608242.1
OG0000005	XP_033132529.1	XP_048613553.1
OG0000006	XP_033136688.1	XP_048631659.1
OG0000006	XP_033140897.1	XP_048603250.1
OG0000006	XP_009103747.2	XP_048598904.1
OG0000006	XP_033133217.1, XP_033138322.1	XP_048620445.1
OG0000006	XP_009127425.2	XP_048610124.1
OG0000006	XP_033141185.1, XP_033139229.1	XP_048632505.1
OG0000006	XP_018513873.2	XP_048623319.1, XP_048600356.1, XP_048625945.1, XP_013723589.1, XP_022570193.2
OG0000006	XP_009128533.2	XP_048602106.1
OG0000006	XP_033137263.1	XP_048607511.1, XP_048632021.1
OG0000006	XP_033145152.1	XP_048597905.1, XP_048636872.1
OG0000006	XP_009144141.2, XP_033129678.1	XP_048591253.1
OG0000006	XP_033140024.1, XP_033141430.1, XP_009140704.1, XP_033134787.1	XP_048606696.1, XP_048617198.1
OG0000006	XP_033148049.1, XP_033137354.1, XP_033148175.1, XP_009151426.1	XP_048624591.1, XP_048624595.1
OG0000006	XP_033136152.1	XP_048602119.1
OG0000006	XP_033138823.1	XP_048615643.1
OG0000006	XP_033138798.1, XP_033143316.1	XP_048603704.1, XP_048596481.1
OG0000006	XP_018509939.2	XP_048610451.1
OG0000006	XP_033128792.1, XP_033147221.1, XP_033145376.1	XP_048612141.1, XP_048624568.1, XP_022549981.2, XP_022552001.1, XP_048601748.1, XP_048606946.1, XP_048609380.1, XP_048610801.1
OG0000006	XP_033146627.1	XP_013694123.2, XP_048595263.1
OG0000006	XP_009148795.2, XP_033136956.1	XP_048596256.1
OG0000006	XP_033147656.1	XP_048632513.1, XP_022548161.2
OG0000006	XP_033148586.1, XP_033143305.1, XP_033128729.1, XP_033145261.1, XP_033136521.1	XP_048605783.1
OG0000006	XP_033138843.1	XP_048608223.1
OG0000006	XP_033142517.1	XP_048610731.1
OG0000006	XP_033140906.1	XP_048608167.1
OG0000006	XP_033141011.1, XP_033142956.1	XP_048633194.1, XP_048595740.1, XP_048608477.1
OG0000006	XP_033140904.1, XP_033142476.1, XP_033144081.1, XP_033140537.1	XP_048595950.1
OG0000006	XP_033130701.1	XP_048591706.1
OG0000006	XP_033138324.1	XP_048599195.1
OG0000006	XP_033145377.1	XP_048633566.1
OG0000006	XP_033139980.1, XP_033141330.1	XP_022550583.2
OG0000006	XP_033145193.1, XP_033138181.1, XP_033143318.1, XP_033141627.1, XP_033133382.1, XP_033129473.1	XP_048611876.1
OG0000006	XP_033140161.1	XP_048604684.1, XP_048598045.1
OG0000006	XP_033144151.1	XP_048634673.1
OG0000006	XP_033145061.1, XP_033145057.1, XP_033139538.1, XP_033138178.1	XP_048598128.1
OG0000006	XP_033133272.1, XP_033135986.1	XP_048623622.1, XP_048623620.1
OG0000006	XP_033131606.1	XP_048592647.1, XP_022545293.2
OG0000006	XP_033143548.1	XP_048598665.1
OG0000006	XP_009144908.2	XP_048637663.1
OG0000006	XP_033135405.1	XP_022542942.2, XP_022546681.1, XP_048608453.1
OG0000006	XP_033135997.1, XP_033148269.1, XP_033133922.1, XP_009110769.2	XP_048635919.1
OG0000006	XP_009107562.2	XP_048615634.1
OG0000006	XP_033144206.1, XP_033143434.1, XP_018509717.2	XP_048636544.1
OG0000006	XP_009113464.2	XP_048595865.1
OG0000006	XP_009130602.2	XP_048606283.1
OG0000006	XP_033133980.1	XP_048605393.1, XP_022545844.2
OG0000006	XP_033132428.1	XP_048635111.1, XP_013720746.1, XP_048596555.1, XP_048605381.1, XP_048605321.1, XP_048602103.1
OG0000006	XP_033134788.1	XP_048613007.1, XP_048602202.1, XP_048617000.1, XP_013670433.2
OG0000006	XP_009120419.2	XP_048638605.1, XP_048637581.1
OG0000006	XP_018512011.2	XP_048608711.1, XP_048624937.1, XP_048600452.1, XP_048624466.1
OG0000006	XP_033141204.1	XP_048610413.1, XP_048602951.1
OG0000006	XP_009108642.2	XP_048606056.1
OG0000006	XP_033147435.1	XP_048595700.1, XP_048635061.1
OG0000006	XP_033128538.1	XP_048637522.1
OG0000006	XP_033140542.1	XP_048610064.1
OG0000006	XP_033131877.1	XP_048613014.1
OG0000006	XP_009129528.2	XP_048593388.1, XP_048609348.1, XP_048609347.1, XP_013665085.2
OG0000006	XP_033133945.1	XP_048613183.1
OG0000006	XP_033136681.1	XP_048631151.1
OG0000006	XP_033146098.1, XP_033133923.1	XP_048612104.1
OG0000006	XP_033132451.1, XP_033141771.1	XP_048602935.1
OG0000006	XP_033140064.1, XP_033134351.1	XP_048607098.1
OG0000006	XP_033129449.1	XP_048602894.1, XP_022557024.2
OG0000006	XP_033143046.1	XP_048597124.1
OG0000006	XP_033141483.1	XP_048632399.1
OG0000006	XP_033139072.1	XP_048629681.1
OG0000007	XP_009123079.1	XP_013709207.1
OG0000007	XP_009128546.1	XP_013739370.1, XP_048608217.1
OG0000007	XP_009119930.2	XP_013679168.1
OG0000007	XP_009139680.2	XP_048605509.1, XP_013726320.2
OG0000007	XP_033134315.1	XP_013689641.1
OG0000007	XP_033143372.1	XP_013658605.2
OG0000007	XP_033146231.1	XP_048637624.1
OG0000007	XP_033148554.1	XP_048624133.1, XP_013650931.1
OG0000007	XP_009127418.1	XP_013679317.2
OG0000007	XP_033128765.1	XP_022569685.1, XP_013674205.2, XP_048634083.1
OG0000007	XP_033146952.1	XP_013658983.1
OG0000007	XP_009108636.2	XP_013658904.1
OG0000007	XP_009140188.1	XP_013699864.2, XP_013673581.2, XP_048624114.1, XP_013689634.1, XP_013723992.2, XP_013694206.1, XP_048623693.1, XP_048624136.1, XP_048605578.1
OG0000007	XP_009150035.2	XP_048627392.1, XP_048606192.1, XP_013731064.2, XP_048608898.1, XP_048627245.1, XP_048596526.1, XP_013658564.2
OG0000007	XP_033148610.1	XP_013668733.2, XP_013659695.2, XP_013694544.2
OG0000007	XP_018514383.1	XP_048632958.1, XP_013660781.1
OG0000007	XP_009103419.1	XP_022553380.1
OG0000007	XP_009150816.2	XP_048634063.1, XP_048615667.1, XP_013654036.3, XP_013654011.2, XP_013646207.2, XP_048591502.1
OG0000007	XP_009103405.1	XP_013745771.2, XP_013690321.2, XP_048599593.1, XP_048599664.1
OG0000007	XP_033129351.1	XP_048637520.1
OG0000007	XP_009117187.1	XP_048628012.1, XP_048635094.1, XP_022565607.2
OG0000008	XP_033147243.1	XP_048628475.1, XP_048590797.1
OG0000008	XP_033145226.1	XP_048613386.1, XP_013726652.1
OG0000008	XP_018513989.2	XP_048615675.1, XP_048627521.1, XP_048600989.1, XP_013649895.1
OG0000008	XP_033139890.1, XP_033129084.1, XP_033145197.1	XP_048593291.1, XP_048637651.1, XP_048634041.1, XP_048599181.1, XP_048607915.1, XP_048607904.1
OG0000008	XP_033129879.1	XP_048603850.1
OG0000008	XP_033140569.1	XP_048622956.1
OG0000008	XP_033140184.1	XP_048621207.1
OG0000008	XP_033148559.1	XP_048628045.1
OG0000008	XP_033143621.1	XP_048605317.1, XP_048630259.1
OG0000008	XP_033141059.1	XP_013665093.3
OG0000008	XP_033143195.1	XP_048608588.1, XP_048609223.1
OG0000008	XP_033142381.1	XP_048605194.1, XP_048604578.1, XP_048619954.1
OG0000008	XP_033137451.1	XP_048619150.1, XP_048619082.1, XP_022565564.1
OG0000008	XP_033131033.1	XP_048606775.1
OG0000008	XP_033139686.1	XP_048634035.1
OG0000008	XP_033140769.1	XP_048605571.1, XP_048616724.1, XP_048607397.1
OG0000008	XP_033133054.1	XP_048606349.1, XP_013668737.2
OG0000008	XP_033128088.1	XP_048592900.1, XP_048615136.1, XP_048628393.1, XP_048604232.1
OG0000008	XP_033143622.1	XP_048634791.1, XP_013673836.1, XP_048592068.1
OG0000008	XP_033138353.1	XP_048634097.1, XP_048613323.1, XP_048608334.1, XP_048606350.1, XP_048601609.1, XP_048622948.1
OG0000008	XP_033131793.1	XP_048616725.1, XP_048606607.1
OG0000008	XP_033147955.1	XP_048614737.1, XP_048612049.1, XP_048620060.1, XP_013751877.2
OG0000008	XP_033146635.1	XP_048631227.1, XP_048602312.1, XP_048615107.1, XP_048625201.1
OG0000008	XP_009115858.3	XP_048597022.1, XP_013658616.2
OG0000008	XP_033131438.1	XP_048627537.1
OG0000010	XP_033133348.1	XP_048623789.1
OG0000010	XP_033134222.1	XP_048596327.1, XP_013665414.1, XP_048604997.1
OG0000010	XP_033141138.1	XP_048628579.1, XP_048623941.1, XP_048605628.1, XP_048611718.1, XP_013728551.1, XP_048605715.1, XP_048613231.1, XP_048611546.1
OG0000010	XP_033140198.1, XP_033138488.1, XP_033148585.1, XP_033133951.1	XP_048599790.1, XP_048611592.1, XP_048601692.1, XP_048628689.1
OG0000010	XP_033143861.1, XP_033137204.1	XP_022560075.1
OG0000010	XP_033138101.1	XP_048622787.1, XP_048617027.1
OG0000010	XP_033143393.1	XP_048605625.1, XP_048602259.1, XP_013689750.1
OG0000010	XP_033136960.1, XP_033131254.1	XP_048600541.1, XP_048600549.1, XP_048606235.1, XP_048611418.1, XP_048609705.1, XP_048622751.1
OG0000010	XP_033136067.1	XP_048629171.1, XP_048633056.1
OG0000011	XP_033139230.1	XP_013659705.2, XP_048599380.1, XP_048637426.1, XP_048624045.1
OG0000011	XP_033145505.1	XP_048605761.1, XP_013738651.1
OG0000011	XP_018512892.1	XP_013653955.2
OG0000011	XP_033132935.1	XP_022556483.2, XP_022552299.1, XP_048622694.1, XP_022552139.2, XP_013658487.1, XP_048623617.1, XP_048635024.1, XP_048599617.1, XP_048612614.1
OG0000011	XP_033143315.1	XP_048611936.1, XP_022570022.2, XP_048610411.1, XP_048613120.1, XP_022564313.2, XP_048615529.1, XP_048623978.1, XP_048598115.1, XP_013739031.1
OG0000011	XP_018508590.1	XP_048620274.1, XP_048630039.1, XP_013694905.1, XP_048599633.1, XP_013658351.1, XP_013700275.2
OG0000011	XP_033145249.1	XP_048623742.1, XP_022557706.2, XP_048605310.1, XP_013674260.2, XP_013673871.2, XP_013711594.2, XP_048599938.1, XP_048599866.1, XP_022556449.1, XP_013668512.1, XP_048604715.1, XP_022562514.1, XP_013721125.1, XP_048596352.1
OG0000011	XP_033148485.1	XP_013745969.2, XP_048596557.1
OG0000011	XP_033142991.1	XP_048599923.1, XP_048622827.1, XP_048637633.1, XP_013700423.1
OG0000011	XP_018512230.2, XP_033145320.1	XP_048605917.1, XP_048624119.1, XP_013665471.2
OG0000011	XP_009139681.1	XP_048638510.1, XP_013721574.1
OG0000011	XP_033134396.1	XP_048604660.1
OG0000011	XP_009140434.1, XP_009124217.1	XP_048604154.1
OG0000011	XP_033131837.1	XP_013728374.1, XP_013645682.2, XP_013694418.1, XP_013709710.2, XP_048598099.1, XP_048603651.1, XP_013679783.1, XP_022553787.2, XP_048612325.1, XP_048623773.1, XP_013704328.1
OG0000011	XP_009150017.2	XP_048611431.1, XP_013674395.2
OG0000012	XP_033131374.1	XP_048606561.1
OG0000012	XP_033147063.1	XP_048630516.1, XP_013679369.1
OG0000012	XP_033140796.1	XP_048623298.1, XP_048629573.1, XP_048598672.1, XP_048627969.1, XP_048605693.1
OG0000012	XP_033134299.1	XP_013723380.2, XP_048605575.1, XP_048611476.1, XP_022560072.2, XP_048592733.1, XP_048603765.1, XP_013695049.2, XP_048623277.1, XP_048613511.1
OG0000012	XP_033131417.1	XP_013668675.1
OG0000012	XP_033132125.1	XP_048596413.1, XP_048624078.1, XP_048599976.1
OG0000012	XP_033132919.1	XP_048596428.1, XP_048633208.1, XP_048604748.1, XP_048623272.1
OG0000012	XP_033130737.1	XP_022557755.2, XP_048605645.1, XP_048596310.1, XP_013694784.2, XP_048623788.1
OG0000012	XP_033139020.1	XP_013679472.1, XP_048630875.1, XP_048604176.1
OG0000012	XP_033139451.1, XP_033144175.1	XP_048637502.1
OG0000012	XP_009150011.2, XP_018509908.2	XP_013646143.2
OG0000012	XP_033146615.1	XP_022553364.1, XP_048613450.1
OG0000012	XP_033128492.1	XP_013709255.2
OG0000012	XP_018513679.2	XP_013694866.2, XP_013745892.1
OG0000012	XP_009139567.2	XP_048602192.1, XP_048603410.1, XP_048628529.1, XP_048628532.1, XP_048627388.1, XP_048616616.1
OG0000012	XP_033139271.1, XP_033139160.1	XP_013657490.1, XP_013674351.2, XP_013691298.1, XP_048614816.1, XP_048623324.1, XP_048630348.1, XP_048628908.1, XP_048624621.1, XP_048619695.1, XP_048614056.1, XP_022569354.1, XP_013734848.1, XP_013726622.1, XP_013691321.1, XP_013703519.1, XP_013708319.1, XP_022548061.2
OG0000012	XP_033134273.1	XP_022568711.1, XP_022557732.1
OG0000012	XP_033143287.1	XP_048605079.1, XP_048604933.1
OG0000012	XP_009107618.1	XP_048613462.1
OG0000012	XP_033132665.1	XP_022549155.2, XP_048615829.1
OG0000013	XP_009108251.2	XP_013700318.1, XP_048615689.1
OG0000013	XP_033131804.1, XP_033131809.1	XP_013713592.1, XP_048603843.1
OG0000013	XP_033146254.1	XP_048617046.1
OG0000013	XP_033139285.1	XP_048626973.1
OG0000013	XP_033134274.1, XP_033135796.1	XP_048605032.1
OG0000013	XP_033138760.1, XP_009124167.1	XP_013719470.1
OG0000013	XP_033134220.1	XP_013657845.1
OG0000013	XP_033148484.1	XP_013674358.1, XP_048611696.1, XP_013731674.1
OG0000013	XP_033131813.1	XP_048620209.1, XP_048622591.1, XP_048613189.1, XP_013680096.1, XP_048599805.1
OG0000013	XP_009123338.2	XP_048590782.1
OG0000013	XP_033131808.1	XP_013695068.1, XP_048611913.1
OG0000013	XP_033129945.1	XP_048637553.1
OG0000013	XP_033143385.1	XP_048613190.1, XP_048595147.1, XP_048611591.1, XP_013695057.1
OG0000013	XP_033139571.1	XP_048605855.1
OG0000013	XP_033134223.1	XP_048613405.1, XP_013721758.1, XP_048611835.1, XP_013689890.1
OG0000013	XP_033146993.1	XP_048627565.1
OG0000013	XP_033147620.1	XP_048598108.1
OG0000013	XP_033129441.1	XP_013720996.1, XP_013654288.1, XP_013688904.1, XP_048611534.1, XP_048599780.1
OG0000014	XP_033141144.1	XP_013654635.1, XP_013726049.1
OG0000014	XP_033139578.1	XP_048611538.1
OG0000014	XP_009107741.1	XP_048593366.1, XP_013658387.1, XP_013674050.1, XP_013673957.1, XP_013665229.1, XP_013729439.2
OG0000014	XP_009124358.2	XP_048613287.1, XP_048622935.1, XP_013709049.2, XP_013728258.2
OG0000014	XP_009117211.1	XP_048596513.1
OG0000014	XP_009150440.1	XP_013715021.2
OG0000014	XP_009144677.1	XP_048626508.1
OG0000014	XP_009150341.1	XP_013722901.1, XP_048623672.1, XP_013703493.2, XP_013713287.1, XP_013645645.2
OG0000014	XP_009150337.1	XP_048623583.1, XP_013645651.2
OG0000014	XP_033145286.1, XP_033138837.1	XP_048615803.1, XP_013709311.1
OG0000014	XP_033143354.1, XP_033139002.1	XP_013694537.1
OG0000014	XP_009124283.2, XP_009115282.1	XP_013694070.1, XP_013658466.1
OG0000014	XP_009128583.2	XP_013708671.1
OG0000014	XP_033138826.1	XP_048613067.1
OG0000014	XP_033148537.1, XP_033143577.1	XP_048629487.1, XP_048615614.1, XP_048622743.1, XP_048623549.1, XP_048611837.1, XP_048622934.1, XP_048619919.1
OG0000014	XP_033131958.1, XP_009119511.1, XP_033133218.1	XP_013654467.2
OG0000014	XP_033131415.1	XP_013688809.1
OG0000014	XP_033145180.1	XP_013658577.1
OG0000015	XP_033146964.1	XP_022553445.1
OG0000015	XP_033136397.1, XP_033137014.1	XP_048627782.1
OG0000015	XP_033138269.1, XP_009113103.2	XP_048595751.1
OG0000015	XP_033146229.1	XP_048613565.1, XP_048634846.1
OG0000015	XP_033139829.1	XP_048611773.1, XP_048616950.1, XP_048602698.1, XP_048622170.1
OG0000015	XP_033143451.1	XP_048611390.1
OG0000015	XP_018509062.1, XP_009118914.1	XP_048604728.1
OG0000015	XP_009145186.1	XP_048616951.1, XP_013751521.1
OG0000015	XP_033130405.1	XP_048613411.1, XP_048616944.1, XP_048599610.1, XP_048623763.1
OG0000015	XP_033131600.1	XP_048615659.1, XP_048596340.1, XP_048599755.1, XP_013689811.1, XP_022548659.1
OG0000017	XP_033139110.1	XP_048622511.1, XP_048606925.1
OG0000017	XP_033130670.1	XP_022570736.1, XP_048605556.1, XP_013654026.2
OG0000017	XP_033136846.1	XP_013700317.1
OG0000017	XP_009128749.2	XP_013709336.2
OG0000017	XP_033133948.1	XP_048615768.1, XP_013650781.2, XP_048638133.1, XP_022546268.1
OG0000017	XP_033131231.1, XP_033144078.1, XP_033148833.1	XP_048599243.1
