Orthogroup	Noccaea_praecox	Cochlearia_excelsa
OG0000004	Np005G2935000	g30683, g11402, g42267, g4097, g35533, g26378, g25248, g4110, g26383, g33093, g52754
OG0000004	Np004G2093200	g15895, g33141, g34291, g3426
OG0000004	Np007G3994400, Np005G2976000	g6262
OG0000005	Np006G3606800	g49126, g35025, g4314, g3006, g14436, g25221, g43590
OG0000005	Np006G3467000	g21085, g8878, g21778, g22562, g21750, g53237, g33681, g48434, g38758, g15439, g48097, g30184, g21769, g38943, g38685, g15405, g21658, g21626, g15483, g9357
OG0000005	Np003G1728300	g8861, g22053, g42458, g42535, g48454, g20472, g21554, g16181, g20634, g3529
OG0000005	Np007G4024700	g4552, g14576
OG0000005	Np006G3534100, Np006G3467500, Np006G3473300, Np006G3540100	g41900
OG0000005	Np001G0487000	g41972
OG0000005	Np006G3440400	g35024, g42611, g49127, g41144
OG0000005	Np006G3465300	g21883
OG0000005	Np003G1689900, Np005G2966500	g22475, g21100, g15220
OG0000005	Np009G4291700, Np008G4277700, Np001G0383300	g22045, g52507, g34171, g39040, g26581
OG0000005	Np012G4370200, Np004G2223900	g38647, g8887, g38787, g20781, g20429, g15199, g38927, g21070, g38625, g21166, g15225, g33699, g15167, g38944, g30416, g45939, g7984, g34641, g30595, g22591, g42464, g9347, g42519, g20942, g39056, g16442, g21798, g21724, g20611, g15105, g33817
OG0000005	Np003G1690000, Np009G4304700, Np011G4366100, Np011G4368000	g52529, g34186, g52750, g20522, g20506, g21234, g21565, g21201, g38763, g20998, g42487, g21045, g33957
OG0000005	Np004G2216500, Np004G2220500, Np004G2217900	g17328, g35826, g35008, g30488, g34187, g20543, g52364, g36810
OG0000005	Np003G1727100	g20023, g9605
OG0000005	Np005G2940800, Np006G3455900	g38749, g30982, g52986
OG0000005	Np009G4299700	g15294, g38775, g42420, g20721, g39054, g25312, g15593, g33983
OG0000005	Np003G1685100	g20377, g9593, g42395, g34569, g22532, g39129, g8465, g21266, g22559, g42483, g48250, g20618, g15722, g33484, g7968, g53646, g21207, g38606, g24932, g6068, g49093, g4528, g9435
OG0000005	Np001G0487100	g51377, g36656, g52100, g46847, g12379, g32106
OG0000007	Np003G1457500	g4218, g9032, g16483, g4033, g40546, g42738, g47006, g45886, g50470, g596, g49751
OG0000007	Np005G3131700	g47000, g11663, g32442, g35394, g34804
OG0000008	Np005G2918600, Np002G1026800	g26783
OG0000008	Np002G0964800	g27995, g37068, g26784, g43729, g49593, g4483
OG0000009	Np002G0805000	g2982
OG0000009	Np001G0414800, Np003G1742400, Np001G0151500, Np001G0364100	g50155, g5748, g1727
OG0000009	Np006G3596800, Np001G0374200, Np001G0291600	g39670, g22668, g25460, g181, g49313
OG0000009	Np001G0683200	g10580, g39986, g32058
OG0000009	Np003G1663900, Np001G0129200, Np003G1783000	g11275, g53238, g41488, g4401, g4394, g44957
OG0000009	Np002G0744000, Np002G0917100, Np003G1736600, Np001G0291400, Np001G0374300, Np001G0414900	g23979, g28647, g29131, g1512
OG0000010	Np002G1018800	g15022, g14901, g15539, g19841, g42303, g20606, g33714, g15185, g34110, g52334, g33597, g15139, g48281, g49134, g30554, g21911, g52785, g52795, g39132, g34256, g26344, g8973, g15374, g9568, g20351, g48394, g38843, g21340, g42358, g9498, g21178, g38836, g3896, g20405, g30491, g49266, g52761, g16183, g48423, g49262, g20533, g30634, g20379, g33952, g49208, g8287, g9380, g9346, g9348, g9437, g9461, g9351, g42539, g15491, g20432, g15470, g26432, g21583, g15316, g15469, g21308, g48349, g48187, g34199, g49256, g9148, g29874, g42552, g15446, g15285, g26513, g21569, g21900, g48184, g30144, g14704, g52613, g34512, g33917, g33799, g9600, g21182, g20425, g21309, g48451, g38909, g33857, g21537, g34175, g21773, g33854, g15366, g15295, g48455, g20321, g33959, g9237, g48878, g20890, g20900, g21635, g34174, g26390, g34172, g48137, g30495, g9418, g21737, g42502, g20413, g9438, g9422, g42547, g21665, g53336, g34560, g9385, g30577, g48389, g21788, g48441, g20983, g21768, g9565, g9501, g9598, g34139, g33835, g34116, g15292, g19906, g20348, g30167, g21938, g9533, g20358, g8545, g8682, g21384, g38760, g38958, g48391, g48359, g3569, g33789, g20493, g9416, g21686, g20049, g20453, g9109, g39050, g33787, g33783, g33896, g20446, g33859, g20338, g21194, g20342, g21157, g38965, g38724, g8977, g42377, g8587, g30637, g21615, g21019, g22148, g20609, g21642, g48352, g14998, g38747, g20357, g33790, g48506, g42516, g34183, g15449, g38732, g15305, g8856, g20371, g33633, g9387, g8854, g30494, g48871, g8881, g38708, g20380, g48879, g15235, g20402, g15343, g21189, g21786, g15291, g20532, g21195, g9326, g20328, g21167, g21790, g20091, g20386, g20367, g21705, g21548, g20329, g33791, g33750, g9530, g20426, g33848, g15450, g34176, g33823, g15260, g21571, g15254, g20424, g15317, g33843, g21310, g33800, g33855, g9601, g9360, g33940, g21210, g9503, g21689, g9588, g20495, g9554, g15367, g29870, g15282, g15296, g21623, g33763, g21576, g15365, g48393, g38620, g21774, g34185, g33858, g38904, g26433, g33897, g33741, g21838, g20414, g30120, g15392, g48366, g21734, g21160, g21745, g15460, g21006, g15698, g20512, g21716, g16184, g33756, g33851, g48424, g21735, g15236, g21538, g21052, g9488, g15270, g20430, g33715, g21586, g21738, g9146, g8952, g9154, g48450, g48504, g48542, g19849, g21433, g20550, g38733, g34018, g48514, g48456, g21807, g21767, g20385, g21174, g21169, g20375, g3567, g33759, g33798, g8677, g9062, g20901, g38694, g20507, g33916, g9513, g33820, g15341, g21763, g21151, g9514, g15513, g21155, g15303, g21318, g9405, g34138, g33930, g20337, g9361, g20332, g20445, g33797, g33937, g8547, g33782, g8463, g20319, g15430, g20346, g33788, g15228, g9531, g33753, g38966, g38991, g21222, g21183, g48522, g33915, g38957, g42378, g33864, g33892, g38906, g20372, g38899, g39052, g8841, g9261, g38907, g33958, g52495, g15194, g8839, g3897, g52796, g52786, g48223, g30576, g22050, g30635, g49199, g33803, g21165, g15347, g15283, g21800, g43375, g43376, g48378, g20384, g9599, g20324, g20343, g34142, g33872, g38746, g21614, g21899, g34047, g34118, g9484, g48227, g9487, g9564, g20642, g8949, g20454, g8488, g21287, g33912, g30107, g9087, g9127, g9106, g22009, g19907, g9562, g30118, g48533, g48123, g42553, g38902, g21179, g42426, g42566, g9236, g21687, g30166, g21939, g48541, g20902, g20125, g20376, g33358, g38900, g39180, g8007, g21008, g9512, g48509, g30705, g22146, g48430, g21175, g20144, g9415, g9523, g30123, g39049, g38920, g33786, g48473, g38842, g20984, g20555, g21413, g21638, g21916, g21568, g48358, g14724, g9057, g48385, g34060, g21747, g38723, g38722, g21736, g20409, g38942, g38910, g15307, g33833, g8974, g30633, g8979, g9111, g21748, g33795, g42506, g42503, g21675, g34646, g21051, g34094, g48118, g34579, g8831, g9252, g9164, g8935, g48372, g33765, g38838, g14711, g48390, g48388, g20531, g21811, g38741, g20345, g39036, g34214, g30496, g20898, g20897, g20899, g34212, g3894, g15685, g48469, g9500, g30122, g21288, g48544, g8450, g33842, g21622, g33953, g33944, g48351, g34179, g48350, g34584, g33730, g8589, g48478, g9406, g15314, g21400, g8834, g9258, g21161, g9522, g33732, g21879, g20123, g9306, g30337, g30600, g52757, g8917, g15489, g30608, g33607, g33845, g33618, g48875, g3564, g33757, g33778, g48382, g33735, g8681, g21385, g9364, g20140, g33919, g30645, g15373, g48870, g33764, g15377, g8301, g9574, g8330, g33821, g15490, g38908, g20457, g15369, g42391, g33933, g48547, g34059, g21223, g21661, g9592, g9119, g21172, g20540, g9499, g21764, g33939, g34105, g20612, g34257
OG0000011	Np001G0276300	g18071, g2721, g42559, g4725, g47538
OG0000011	Np004G2119600	g16592, g1020
OG0000011	Np004G2255700, Np001G0314400	g24216, g17795
OG0000011	Np001G0276200	g24975
OG0000012	Np002G0797700, Np008G4276800	g3436
OG0000014	Np002G0952400	g45670
OG0000014	Np004G2216700	g30067, g16305, g42652, g20317, g17636, g4255, g12079, g35691, g42926, g14081, g43840, g44712, g4140
OG0000014	Np001G0275400, Np002G0982600	g35163, g51018, g53893
OG0000014	Np001G0363000, Np006G3544600	g52403, g16010
OG0000014	Np006G3489900, Np006G3464500, Np005G2970200, Np006G3463500, Np001G0305700, Np005G2967900	g15648, g3344, g15533, g22676, g53459, g25144, g49032, g52662, g35616, g50919, g33646, g12078, g52545, g35669, g14831, g24737, g46898, g25054, g45988, g53995, g27320, g24931, g24782, g1434, g42927, g51017, g13624, g47253, g45228, g14612, g43201, g43093, g53227, g6177, g4257, g35984, g2095, g18595, g15004, g12644, g53953, g25610, g41826, g14315, g1435, g44036, g3444, g18386, g3924, g43038, g24783, g17330, g10083, g17957, g20318, g43877, g52305, g16685, g26742, g25224, g30068, g14080, g18103, g11525, g41336, g53461, g3729, g3878, g27931, g21347, g33516, g21561, g43841, g4698, g24841, g19968, g35457, g4281, g36237, g44064, g30053, g15860, g25878, g50939, g3050, g24630, g27919, g25736, g49808, g40898, g44711, g46753, g17634, g18274, g13740, g37170, g42723, g50987, g11187, g34943, g32917, g16004, g14815, g35744, g35846, g14356, g16078, g16306, g53882, g35355, g4138, g22487, g22288, g42653, g21439, g21148, g30713, g42688, g52575, g35661, g1379, g18846, g18000, g50963, g6129, g24133, g5069, g47267, g30755, g43741, g37171, g21529, g19673, g30054, g35755, g41485, g35087, g18651, g52427, g4943, g26611
OG0000014	Np009G4305300	g36351, g14316, g41825, g44037, g25611, g18847, g24842, g45989, g27951, g4696, g41767, g15819, g19859
OG0000015	Np007G4161000	g35685, g35700, g28764, g6769, g3173
OG0000015	Np001G0295000	g35711
OG0000015	Np001G0361200	g1865, g12584, g7633, g12284, g26669, g5447, g48096, g4042, g4014, g39164, g21912, g30179, g14948, g12283, g35471, g16154, g26107, g17276, g2986
OG0000015	Np001G0486700	g39566, g3152, g14756, g32935
OG0000015	Np005G2743900	g53567
OG0000015	Np007G4026300	g31975, g2748, g23354, g15603
OG0000015	Np007G4092100	g39565, g4758, g26125, g35684
OG0000015	Np007G4161100	g3315, g8210, g24633, g8709
OG0000016	Np002G0990700, Np002G0970700, Np006G3586500, Np007G3998400	g20467, g34722, g30434, g30429, g21277, g25157
OG0000016	Np002G1106400, Np002G0990200	g43401, g3658, g38750, g11415
OG0000016	Np002G0990500	g4159, g25159, g15828, g15815, g15878
OG0000016	Np007G3999600	g26416, g24990
OG0000016	Np002G1015800	g15924
OG0000016	Np002G1003300, Np001G0355900	g14663
OG0000016	Np008G4282100	g42778
OG0000018	Np003G1756100	g30334, g35739, g35715, g3557, g3800, g1406, g1731, g34303, g45124, g36592
OG0000018	Np007G3967900	g22151, g4429, g25015, g53118, g3760, g25775, g17839
OG0000018	Np007G4036300, Np002G0985200, Np005G3035000, Np005G2964000, Np002G1076400	g35215, g26838
OG0000020	Np005G2821900, Np005G2821200	g33390, g4583, g39315, g14557, g17020, g24610, g21115, g9914, g35675, g23910, g6802, g46328, g31759, g51013, g17279, g1555, g19143, g35267, g34284, g46224, g6170, g31341, g4158, g25001, g4232, g46949, g53154, g2974, g49408, g25430, g25192, g31804, g43284, g49587, g36899, g2975, g3672, g27829, g32994, g1556, g34853, g4345, g51012, g19142, g14558, g53153, g29187, g49407, g42003, g43352, g14036, g52007, g15607, g14750, g7898, g33120, g4343, g3057, g52970, g51052, g47797, g32655, g44074, g50650, g43479, g2953, g41998, g23595, g2979, g33121, g41997, g6214, g3359, g14581
OG0000020	Np003G1713100	g4186
OG0000021	Np002G1064200, Np002G0964900, Np003G1389200, Np005G3017500, Np007G3934300, Np003G1720200	g43760, g4386, g34956, g53077, g43442, g33130, g45148, g29629, g14568, g25751, g49590, g27681, g2213, g37069, g2331
OG0000022	Np005G3189900	g13269
OG0000023	Np006G3415000	g15662, g32787
OG0000023	Np002G1065700, Np005G3185500	g14801, g15067
OG0000023	Np002G1180000	g52731
OG0000023	Np004G2391200, Np010G4349100	g44912, g15122
OG0000023	Np005G3091400	g6328, g34729
OG0000024	Np004G1980700, Np004G1980500	g43450
OG0000024	Np002G0932100	g22601
OG0000024	Np004G2007800	g43469
OG0000024	Np001G0579500, Np001G0579400	g2269
OG0000024	Np004G2148800, Np004G2148600, Np005G2717400	g28294
OG0000025	Np006G3544700	g17280, g46637, g25246, g50791
OG0000026	Np002G1023700, Np003G1714900, Np004G2296200, Np002G1036400, Np006G3505400	g36073
OG0000026	Np001G0460600, Np001G0205400, Np002G1009300, Np006G3527300, Np001G0460700, Np003G1715000	g28599
OG0000027	Np003G1806500	g43193, g48946
OG0000027	Np005G2837400	g23897
OG0000030	Np001G0090700	g38367, g38376, g38372, g38380
OG0000030	Np004G2249500, Np004G2249800	g44631
OG0000031	Np002G0985700, Np005G2850000, Np006G3345400	g39351, g7244, g17718, g41293
OG0000032	Np004G2267500	g35299
OG0000032	Np008G4283700	g29531
OG0000032	Np002G1024100	g49592
OG0000032	Np004G2084400, Np005G3033400	g25930, g51375
OG0000032	Np002G0997600	g7451
OG0000032	Np004G2267700	g4129, g3254, g35284
OG0000034	Np005G2840600	g23911
OG0000034	Np005G2841700	g23912
OG0000035	Np002G0910400	g42054, g13304, g42055
OG0000038	Np007G3978400	g52808, g4079, g2142, g24601, g35064, g27484, g11495, g53049, g45065, g646, g17068, g32641, g23586, g32660, g28845, g7031, g2312, g28846, g47102, g2497, g15804, g27140, g23925, g51223, g44428, g9976, g51224, g38104, g14210, g42047, g25209, g47747, g6734, g25615, g24420, g4774, g23626, g25696, g39882, g12326, g11412, g40957, g32434, g14573, g41376, g31882, g40136, g45253, g37419, g28612, g6446, g6725, g47748, g41947, g41005, g50686, g35996, g4260, g4263, g41786, g23625, g41377, g32262, g25866, g37189, g19190, g1372, g23926, g16819, g41305, g17792, g36174, g23490, g16728, g27674, g23073, g13751, g22731, g33053, g2447, g33047, g45986, g32349, g28998, g22798, g37935, g41306, g11811, g6225, g5927, g53641, g37024
OG0000039	Np008G4259800	g9223, g15181, g22026
OG0000039	Np002G1180600	g15263, g21171, g20808
OG0000040	Np002G0854800	g49152
OG0000040	Np001G0278000	g17325, g27760, g45782, g40051, g35119, g45600, g54029, g3973, g3980
OG0000041	Np002G1205400	g18721, g29231, g45388, g14428, g28413, g13757, g46775, g3861, g44857, g32168, g43896, g24458, g6376, g12068, g19448, g4749, g6871, g36846, g47037, g23483, g11656, g27986, g5166, g12226, g50226, g46640, g41551, g45877, g11828
OG0000041	Np004G2543000	g12227
OG0000042	Np004G2298700	g41465, g35926
OG0000042	Np003G1737100	g6307, g53556
OG0000042	Np002G0963100	g27960, g26692, g47920, g599, g13492, g35927, g43602, g51339
OG0000042	Np006G3478400	g40104, g13786, g31186, g8826, g30544
OG0000043	Np004G2434100, Np001G0206600	g41487, g54206
OG0000043	Np005G2957000	g21290, g3846, g20451, g31368
OG0000043	Np002G0951900	g7022, g9694, g49667
OG0000043	Np003G1722000	g47671, g49147
OG0000043	Np002G0941700	g45898, g27089, g2884, g36624, g31230
OG0000043	Np003G1677700	g25655, g25290, g45657
OG0000043	Np006G3278600	g41011, g7365, g27084, g45147, g53496, g52677, g41215, g12586, g49668, g44739, g51696, g43133, g54203, g37825, g2882, g36623, g36921, g23517, g17259, g53258, g12603, g48335, g32580, g17864, g11388, g16325, g50585, g18242
OG0000043	Np006G3675100	g18797
OG0000043	Np002G1248100	g41214, g17678
OG0000043	Np001G0091300, Np002G1233300, Np003G1487200, Np002G1108100, Np005G2745100	g31229, g24493, g12585, g3844, g50586
OG0000046	Np004G2388700, Np001G0160700	g14749, g15027, g17910, g17917, g16165, g31981, g5572, g43446, g4490, g3382, g2931
OG0000046	Np002G0812000, Np006G3271700, Np002G0901300, Np007G3942200, Np006G3533700, Np004G2173800, Np007G4037000, Np003G1635500, Np004G2079600, Np005G3093000, Np006G3271600, Np007G4080200, Np005G3032100, Np004G2183100, Np004G2290100, Np002G1005100, Np004G2334400	g36166, g26196, g11589, g33267
OG0000047	Np002G1005500	g52952, g32980, g35708, g41922, g52704, g49046, g17789, g53468, g32719, g26176, g41624, g24203, g6965, g4623, g51888, g23943, g53874, g8174, g27898, g7014, g41621, g22371, g32817, g20824, g2573, g13889, g36360, g16589, g15986, g31363, g31930, g28207, g17439, g13543, g17255, g42785, g3145, g3176, g32951, g4540, g32755, g4562, g3738, g34925, g26172, g9204, g7013, g46294, g36204, g22170, g52845, g52827, g52953, g53253, g3120, g26684, g26774, g33014, g4289, g43014, g52389, g3625, g42749, g4222, g43518, g53610, g3146, g20823, g3147, g29255, g51007, g43600, g13036, g22171, g29247, g44943, g39409, g42786, g29246, g4560, g52374, g53624, g52388, g28206, g17256, g36732, g16465, g16464, g51006, g36203, g13544, g33250, g33281, g33287, g43013, g4288, g3177, g53505, g49130, g34774, g26169, g43232, g4221, g49129, g26173, g10874, g43519, g3479, g34451, g52846, g52828, g52839, g3624, g53822, g39938, g46293, g3737, g32568, g29256, g19401, g44942, g26771, g13890, g6966, g4624, g32714, g53873, g44165, g53254, g3119, g15987, g33359, g30235, g33013, g36953, g26773
OG0000048	Np006G3644800, Np002G0926400	g3814
OG0000049	Np002G0881800	g39408
OG0000049	Np005G2783300	g23617
OG0000049	Np005G3022000	g10090, g14278, g52663, g38089, g54294, g50424, g6550, g19935, g291, g27200, g12230
OG0000049	Np002G1103100	g54168, g7127
OG0000050	Np005G2619700	g44060, g31395
OG0000050	Np002G0988200, Np001G0256300, Np007G3953400	g44252
OG0000050	Np006G3570900	g3
OG0000050	Np001G0129000, Np001G0129100, Np001G0128800, Np004G2259400, Np004G2435300	g30921, g53630, g4397, g10583
OG0000050	Np001G0374100, Np006G3597400	g5874
OG0000050	Np004G1970300, Np005G2648800, Np001G0275100, Np006G3520500, Np001G0383800, Np003G1895000, Np008G4280900	g182
OG0000051	Np003G1730300	g37450
OG0000052	Np002G0839600	g1602, g3195
OG0000054	Np005G2924500	g48023, g2616, g35754, g20877, g16232, g25038, g8779, g34409, g14810, g30055
OG0000054	Np008G4269300	g33648, g43042, g25738, g35108, g25116, g46983, g27937, g18028, g11564, g50989, g18002
OG0000055	Np006G3336100, Np006G3338700, Np003G1875300	g27361
OG0000055	Np007G3923100, Np007G3922500	g700
OG0000055	Np007G4191600, Np007G4191200, Np005G2851900, Np007G3917300, Np007G3934100	g50182, g50184, g50186
OG0000056	Np005G3136000	g44206
OG0000058	Np004G2334500, Np006G3421900	g3196
OG0000058	Np006G3504600, Np003G1369700, Np006G3421800, Np002G1073600, Np007G4038100	g49100
OG0000059	Np001G0402100, Np005G3113000, Np006G3274400	g2480, g46139, g19260, g24166, g14493, g2184, g16902, g51200, g2153, g3380, g49418, g1735, g51079, g36530, g42562, g2712, g50347
OG0000060	Np005G3068800, Np004G2515700, Np006G3598500, Np003G1523200, Np003G1526800, Np001G0456200, Np004G2518200, Np006G3370300, Np001G0460200	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647
OG0000061	Np004G2504400, Np003G1460800, Np006G3212900, Np006G3217300	g41322
OG0000061	Np005G2786700	g13471
OG0000061	Np006G3280900	g50013
OG0000061	Np002G1245500	g23667
OG0000063	Np007G3777600	g4478
OG0000063	Np006G3435600	g4524
OG0000063	Np001G0224800	g19531, g26056, g44457, g37180
OG0000063	Np002G0954100	g17168
OG0000063	Np006G3435500	g23754, g41779, g40701
OG0000065	Np005G3146600	g46717
OG0000066	Np004G2500100, Np003G1367200	g29501, g45535
OG0000066	Np005G2623400, Np003G1374000, Np005G2623300, Np007G3771600, Np002G0777800	g5393
OG0000067	Np005G2826900	g53765, g43703, g25474, g28245, g45296, g49160, g47659
OG0000068	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600, Np001G0604000, Np001G0601600, Np001G0591700, Np001G0569900, Np001G0618200, Np003G1442200, Np003G1442100, Np001G0556100, Np001G0557000, Np001G0558400, Np006G3221500, Np006G3241700, Np006G3215500, Np005G2816600, Np006G3215800, Np003G1347300	g27956, g25385, g25390, g46783
OG0000069	Np006G3706900, Np006G3707500	g13531
OG0000069	Np006G3679100, Np006G3678800, Np004G1971900	g1465, g1180, g34298
OG0000069	Np006G3704200, Np006G3697500	g34297
OG0000070	Np007G3899300, Np001G0248800	g10675
OG0000070	Np004G2353400	g50123
OG0000070	Np001G0364300, Np001G0366000, Np001G0526100, Np001G0525900, Np002G0771400	g46242
OG0000074	Np001G0425700, Np002G0733000	g43483, g50927, g53476, g50930, g43482, g14513, g14502, g14522, g48940, g1489, g14333, g35046, g17909, g17916, g44092, g34969
OG0000075	Np006G3607400, Np003G1743500, Np003G1743600, Np003G1743200	g1450
OG0000075	Np005G2617300	g25975, g22716
OG0000075	Np004G2247300	g46525
OG0000076	Np001G0369900	g32307, g51190
OG0000077	Np001G0386200	g18473
OG0000077	Np001G0381300	g18408
OG0000077	Np001G0348700	g32644
OG0000077	Np002G1121700, Np001G0247700	g1538, g1535
OG0000077	Np002G1126100	g44008, g44007, g44009
OG0000078	Np007G4214700	g4945
OG0000078	Np003G1455000, Np003G1454200	g4944
OG0000079	Np004G2152100, Np004G2296400	g53126
OG0000080	Np002G1069800	g50113, g4633, g53808
OG0000081	Np004G2188400, Np004G2195900, Np004G2188800	g45295
OG0000081	Np007G3988300	g49162
OG0000081	Np005G2602400	g33350, g4665
OG0000082	Np005G3021900	g19934, g27203, g6552
OG0000082	Np001G0452000	g54030, g36211
OG0000082	Np005G2743400	g52877, g26306
OG0000083	Np003G1476800	g2639, g36782, g37302, g49748
OG0000084	Np007G3915500	g34382, g53309, g53168, g3736, g32908, g23756, g46165, g3226, g14426
OG0000086	Np005G3126500	g14687
OG0000086	Np002G0950000	g25067, g25040
OG0000086	Np005G3127100	g46770, g46768, g46769, g43995
OG0000089	Np001G0498100, Np001G0109800	g9991
OG0000089	Np005G2870600	g339, g2817, g9845
OG0000089	Np003G1391100	g5316
OG0000089	Np001G0399300	g11055, g40485
OG0000089	Np005G2871200	g24042
OG0000089	Np002G0774400	g46232
OG0000091	Np001G0389100, Np001G0389700	g11030, g40516
OG0000091	Np003G1487100	g28934, g28933
OG0000095	Np006G3650600, Np006G3650500, Np006G3650700, Np006G3654300, Np006G3649600, Np006G3660300, Np006G3649500, Np006G3649400, Np006G3650300, Np006G3650400, Np006G3654500, Np006G3650200, Np006G3660600	g51024
OG0000098	Np007G3899100	g11756
OG0000098	Np005G3053200, Np001G0115600	g41770
OG0000100	Np002G1237300	g13564
OG0000100	Np002G1231900	g35259, g34277, g40795
OG0000101	Np001G0306500	g35797, g4324, g3304, g41853
OG0000101	Np001G0036300	g48266, g6083, g12208, g35531
OG0000101	Np004G2428000, Np003G1266900	g52104, g1671
OG0000101	Np001G0589500, Np003G1682200, Np003G1683300	g31822, g37851
OG0000102	Np003G1849500, Np003G1850000	g45186
OG0000103	Np007G4123200	g25804, g34406, g16064, g52964, g34537, g43011, g34416, g4351, g52896, g26137, g52968, g16605, g4502, g33381, g30245, g53429, g35312, g35871, g24384, g11713, g11490, g627, g53857, g677, g11792, g4065, g18812, g4974, g1724, g36868, g22947, g53385, g35585, g53961, g25074, g41391, g174, g51854, g35452, g53324, g53804, g33380, g34405, g16452, g32834, g53191, g30244, g22182, g41865, g14562, g53428, g28957, g52805, g22183, g30246, g16455, g52963, g35453, g14262, g16606, g16453, g32833, g4421, g43835, g41891, g52967, g36311, g43664, g53386, g35584, g22946, g16547, g16540, g16523, g16532, g33382, g26138, g34261, g35243, g18813, g36312, g4975, g16267, g34417, g46725, g4503, g4417, g50768, g34515, g41866, g678, g41676, g26277, g16548, g16533, g16524, g33383, g41867, g53593, g52562, g35800, g53323, g52897, g4352, g4416, g52637, g679, g41675, g36864, g4976, g18814, g11793, g34529, g34527, g34536, g6183, g17356
OG0000105	Np002G0893200	g14267
OG0000105	Np007G4161900	g43820
OG0000105	Np002G1232000	g35258
OG0000106	Np006G3556500	g36881, g4591, g47125, g36375, g27012
OG0000107	Np007G3984300	g11936
OG0000107	Np007G3806900	g6693
OG0000107	Np007G4184500	g13363
OG0000108	Np006G3369500, Np001G0565800	g37225, g38077, g2333, g51658
OG0000108	Np003G1360400	g29544
OG0000108	Np007G3950400	g13323
OG0000109	Np002G1184600, Np005G2935200, Np007G4014300, Np005G2978600, Np006G3449000, Np003G1723900, Np003G1723300, Np003G1723600, Np011G4357100, Np002G1174400, Np008G4281000, Np002G1033400	g30198, g33477
OG0000110	Np002G0928100, Np002G0869900, Np002G0972400	g46791, g24881
OG0000114	Np002G1018000	g50797, g32639, g15993, g24938, g6351, g14468, g28182, g27531
OG0000116	Np002G1124800	g27853
OG0000116	Np003G1719700, Np004G2021800, Np003G1460300, Np005G3103800	g48680, g15046, g14763, g43457, g1389, g17894
OG0000116	Np004G1921200, Np001G0237100	g43452
OG0000117	Np004G2299300	g50301
OG0000118	Np007G4221800, Np007G4221900	g12809
OG0000120	Np002G0949100	g27841
OG0000121	Np005G2604800, Np006G3604300	g38498, g32974, g38499
OG0000122	Np003G1580100	g1066
OG0000123	Np003G1843300	g28315, g1342
OG0000125	Np004G2519400	g31072
OG0000125	Np004G1951500	g18497
OG0000125	Np004G1951600	g54244, g54237, g54238
