Orthogroup	Noccaea_praecox	Camelina_sativa
OG0000003	Np006G3523600	XP_019085582.1, XP_010495255.1, XP_010451229.1, XP_010445454.1, XP_010430851.1, XP_010445963.1, XP_010418736.1, XP_010425414.1, XP_010430719.1, XP_010463243.1, XP_010495605.1, XP_010474252.1, XP_010423438.1, XP_019087502.1, XP_010462838.1, XP_019089261.1, XP_019100972.1, XP_010435962.1, XP_010513407.1, XP_010463164.1, XP_019090146.1, XP_010473202.1
OG0000003	Np003G1349400	XP_019089220.1, XP_010473894.1, XP_010431475.1, XP_019095868.1, XP_010495447.1
OG0000003	Np003G1737800	XP_010446092.1
OG0000003	Np004G1991500, Np007G4180900	XP_010419047.1, XP_019087294.1
OG0000003	Np002G1201600, Np007G4024900, Np003G1475700	XP_019089103.1
OG0000004	Np005G2950600, Np010G4347300, Np007G4015400	XP_010484959.1, XP_019098112.1, XP_010451376.1, XP_010468186.1, XP_010501684.1
OG0000004	Np003G1676800	XP_019096757.1
OG0000004	Np004G2202000	XP_010424301.1
OG0000004	Np005G2935100	XP_010495705.2
OG0000004	Np004G2093200	XP_010445376.1
OG0000005	Np007G4024700	XP_010445304.1
OG0000005	Np006G3534100, Np006G3467500, Np006G3473300, Np006G3540100, Np001G0487000	XP_010484739.1
OG0000005	Np002G1022400, Np007G4025000	XP_010430868.1, XP_010495615.1, XP_019094583.1
OG0000005	Np006G3465300	XP_010412462.1, XP_010451773.2
OG0000005	Np003G1689900, Np005G2966500	XP_019082606.1, XP_019086332.1
OG0000005	Np001G0487100	XP_010412456.1
OG0000007	Np003G1457500	XP_019087471.1, XP_010468495.1, XP_010445987.1, XP_010463082.1, XP_010507576.1, XP_010436436.1, XP_019091129.1, XP_019094477.1, XP_019097408.1, XP_019094446.1, XP_010480912.1, XP_010501923.1, XP_010496849.2, XP_010436513.1, XP_010471152.1, XP_010468712.1, XP_010445003.1, XP_019085642.1, XP_019096041.1, XP_019096210.1, XP_019097221.1, XP_019088922.1, XP_010477729.2, XP_019094573.1, XP_019091014.1, XP_010446804.2, XP_010416297.2, XP_010445698.1, XP_010456622.1, XP_019087537.1, XP_010445750.1, XP_010424813.1, XP_010495224.1, XP_010418574.1, XP_010436820.1, XP_010474418.1, XP_010436701.1, XP_019100967.1, XP_010445262.1, XP_019087605.1, XP_010506961.1, XP_010489975.1, XP_010463458.1, XP_010496974.1, XP_010418941.1, XP_019087475.1, XP_019082563.1, XP_010481097.1, XP_010445969.1, XP_010418993.1, XP_010484977.1, XP_010418557.1, XP_010496147.1, XP_019084200.1, XP_010490462.1, XP_010485011.1, XP_010462584.1, XP_010485291.1, XP_010478660.1, XP_010500080.1, XP_019082601.1, XP_019090940.1, XP_019094917.1, XP_019093341.1, XP_019087695.1, XP_010470530.1, XP_019089183.1, XP_019101696.1, XP_019087470.1, XP_010513731.1, XP_010495913.1, XP_010507724.1, XP_010424263.1, XP_010501166.1, XP_019093691.1, XP_019083796.1, XP_010469173.1, XP_010444914.1, XP_010489639.1, XP_010501823.1, XP_010428435.1, XP_019099816.1, XP_010463256.1
OG0000008	Np005G2918600	XP_010490195.1
OG0000008	Np002G1026800	XP_010419054.1, XP_019093233.1, XP_010490230.2, XP_010468775.1
OG0000008	Np002G1031900, Np005G3077900	XP_010456611.1, XP_010469634.1, XP_010468583.2
OG0000008	Np002G0964800	XP_010484838.1, XP_010425247.1, XP_010480908.1, XP_010451894.1, XP_010423670.1, XP_010507012.1, XP_010424538.1, XP_019096484.1, XP_019085556.1, XP_019097562.1, XP_019098037.1, XP_010507054.1, XP_019087817.1, XP_010495527.1, XP_019087530.1, XP_010419093.1, XP_019096488.1, XP_010419095.1, XP_010480907.2, XP_010445523.1, XP_019089216.1, XP_019096478.1, XP_010445117.1, XP_019091029.1
OG0000008	Np001G0535300	XP_019099860.1, XP_010431254.1, XP_010507402.1, XP_010507400.1, XP_019101905.1, XP_010431252.2
OG0000009	Np005G2652900, Np004G2035600	XP_019085473.1
OG0000009	Np004G1970100	XP_019096542.1
OG0000009	Np004G2021700	XP_010481118.1
OG0000009	Np001G0275200	XP_010445339.1, XP_010474119.1
OG0000009	Np004G1970200	XP_019089129.1
OG0000009	Np001G0683200	XP_010424774.1, XP_019085342.1
OG0000009	Np003G1663900	XP_010474388.1, XP_010445324.1, XP_010418625.1
OG0000009	Np001G0129200, Np003G1783000	XP_010419080.1, XP_010506918.1, XP_019092367.1, XP_010412434.1, XP_019082570.1, XP_019093323.1, XP_010490288.1, XP_010473858.1, XP_019091186.1, XP_010512831.1, XP_010436807.1, XP_010423650.1, XP_010457037.1, XP_019086349.1, XP_019096504.1, XP_019092384.1, XP_010485041.1, XP_010436406.1, XP_010468814.1, XP_010495742.1, XP_010431090.1, XP_010468349.1
OG0000009	Np006G3566400	XP_010506896.1, XP_010507310.1, XP_019093287.1, XP_010495420.1, XP_010456726.1
OG0000009	Np002G0744000	XP_019089031.1
OG0000011	Np002G1062300, Np003G1667700	XP_010496928.1, XP_010501572.1, XP_019084218.1, XP_010497051.1, XP_010496929.1, XP_010456825.1, XP_010496981.1, XP_010480376.1, XP_010451291.1
OG0000011	Np001G0298900, Np004G2255700, Np001G0314400	XP_019087271.1
OG0000011	Np001G0276200	XP_019086294.1, XP_019087453.1, XP_010471647.1
OG0000014	Np002G0952400	XP_010470900.1
OG0000014	Np004G2216700	XP_019089243.1, XP_019085515.1, XP_019089188.1, XP_019085407.1, XP_019084314.1
OG0000015	Np007G4161000	XP_010412881.1, XP_010463160.1
OG0000015	Np005G2743900	XP_010420917.1, XP_019089071.1, XP_010462823.1, XP_019101915.1, XP_010490066.1, XP_010472228.1, XP_010490468.1, XP_010445504.1, XP_010481162.1
OG0000015	Np007G4026300	XP_010418862.1, XP_019084456.1, XP_019090265.1, XP_010497072.1, XP_010501828.1, XP_010496259.1
OG0000015	Np008G4270200	XP_010451702.1, XP_010497067.1, XP_010495723.1, XP_010430713.1, XP_010424221.1, XP_010497070.1, XP_019101930.1, XP_010481012.1, XP_010513208.1
OG0000016	Np003G1678900	XP_010418804.1
OG0000016	Np002G0990500	XP_019097468.1, XP_019089192.1
OG0000016	Np002G1015800, Np002G1086100, Np004G2184400	XP_019084262.1
OG0000016	Np002G1011300	XP_019101859.1, XP_010412662.1, XP_010412664.1, XP_010462765.1, XP_010496096.1, XP_019089253.1, XP_019092323.1, XP_019097462.1, XP_019089247.1
OG0000016	Np009G4311500	XP_010463195.1
OG0000018	Np007G3967900	XP_010461832.1
OG0000020	Np003G1663000	XP_019087487.1, XP_010473965.2, XP_010496135.2, XP_010417447.2, XP_010506998.1, XP_010419513.2, XP_010485084.1, XP_019093393.1, XP_010490144.2, XP_010445327.2
OG0000020	Np005G2821900, Np005G2821200	XP_010513440.1, XP_019085424.1, XP_019094593.1, XP_019085440.1, XP_010495727.1, XP_019085626.1, XP_019101996.1, XP_019086627.1
OG0000020	Np003G1713100	XP_019082585.1
OG0000021	Np002G1064200, Np002G0964900, Np003G1389200, Np005G3017500, Np007G3934300, Np003G1720200	XP_010518556.1, XP_010456610.1, XP_010446058.1, XP_010451363.1, XP_010431070.1, XP_019091017.1, XP_010445717.1, XP_010474695.1, XP_010507197.1, XP_010484803.1, XP_010456729.1, XP_010484820.1, XP_010496602.2
OG0000022	Np004G2449100	XP_019091381.1, XP_010476184.1, XP_010476252.1, XP_019094809.1, XP_019098970.1, XP_019090986.1, XP_010458712.1, XP_010462662.1, XP_010493846.1, XP_010494656.1
OG0000022	Np005G3189900	XP_010447152.1, XP_010436064.1
OG0000023	Np006G3415000	XP_019090144.1
OG0000023	Np002G1065700, Np005G3185500	XP_019083197.1, XP_010506933.1
OG0000023	Np002G1070000	XP_019085500.1
OG0000023	Np002G1103400	XP_010489845.1, XP_010473334.1, XP_010412528.1
OG0000023	Np004G2177800	XP_010419111.1, XP_010484854.1, XP_010475417.1, XP_010468248.1, XP_019097497.1, XP_010431497.1, XP_010495795.1
OG0000023	Np006G3543300, Np005G2842200, Np006G3594200, Np004G2178800	XP_010490106.1
OG0000023	Np003G1712400	XP_010480840.1, XP_010513121.1
OG0000023	Np006G3415100	XP_010495582.1, XP_019095592.1
OG0000023	Np007G4040200	XP_010451510.1
OG0000023	Np005G3091400	XP_010424636.1
OG0000023	Np004G2182900	XP_010417428.1, XP_010489881.1
OG0000024	Np002G0932100	XP_019082533.1
OG0000024	Np004G2150800	XP_010501685.1
OG0000024	Np001G0579500, Np001G0579400	XP_010431261.1, XP_010515603.1, XP_010504688.1, XP_010427639.1, XP_010427857.1, XP_010431427.1, XP_010427640.1, XP_010504689.1, XP_010427641.1, XP_019100391.1
OG0000025	Np003G1713300	XP_019100880.1, XP_010430821.1, XP_010495810.1, XP_019086251.1, XP_019096500.1, XP_010430881.1, XP_010451597.1, XP_010480550.1, XP_019085625.1, XP_010472603.1, XP_010513491.1, XP_019085450.1, XP_010507266.1, XP_019099615.1, XP_019094547.1, XP_010420286.1, XP_010425957.1, XP_019087697.1, XP_010484799.1, XP_010436691.1, XP_010490058.1
OG0000025	Np006G3544700	XP_010424792.1
OG0000025	Np003G1727000	XP_010495239.1, XP_010495240.1, XP_010507228.1
OG0000027	Np003G1806500	XP_010434897.1, XP_010455557.1, XP_010455558.1
OG0000027	Np005G2839100	XP_010442801.1
OG0000027	Np005G2841300	XP_010418084.1, XP_010439216.1
OG0000027	Np005G2840800	XP_019087878.1
OG0000027	Np005G2838800	XP_010451236.1
OG0000027	Np005G2840200	XP_010439207.1, XP_010451240.1, XP_010445190.1
OG0000028	Np003G1643200	XP_010450001.1, XP_010436592.1, XP_010440401.1, XP_019087714.1, XP_010436629.2, XP_010451562.1, XP_019089771.1, XP_010446183.1, XP_019095667.1
OG0000028	Np003G1814100, Np006G3583400, Np006G3684500, Np006G3583600, Np006G3583100, Np003G1813800, Np003G1813300	XP_010485121.1, XP_010446111.1, XP_019086647.1, XP_010482860.1, XP_010485122.1, XP_010485123.1, XP_010443019.1
OG0000028	Np006G3533600, Np006G3532900, Np006G3474900, Np006G3473800, Np006G3703700, Np006G3698600, Np003G1462900, Np006G3474200, Np006G3698100, Np006G3696700	XP_010446868.1, XP_019090606.1, XP_010452778.1, XP_019084603.1, XP_010444978.1
OG0000028	Np003G1604900	XP_019088142.1, XP_010446182.1, XP_010446112.1, XP_019088072.1, XP_010475515.1, XP_010475493.1, XP_010446106.1, XP_019095829.1, XP_010446107.1, XP_010475504.1, XP_010448142.1, XP_010446108.1
OG0000029	Np003G1708000, Np003G1897700, Np004G2071400	XP_010436410.1, XP_010451660.1
OG0000029	Np006G3568700	XP_019090727.1
OG0000030	Np001G0090700	XP_010462936.2, XP_010462910.2, XP_010477981.2, XP_019091238.1, XP_010499061.1
OG0000030	Np004G2249500, Np004G2249800	XP_010480422.1, XP_010419250.2, XP_010501558.2, XP_010412587.1, XP_019096260.1, XP_019096643.1
OG0000030	Np004G2250000	XP_010419025.2, XP_010489797.1, XP_019096559.1, XP_010468083.1
OG0000030	Np007G4070000	XP_010501254.1, XP_019096650.1, XP_010465220.1, XP_019096368.1
OG0000031	Np002G0985700	XP_010513198.1
OG0000032	Np004G2267500	XP_010419309.1
OG0000032	Np008G4283700	XP_010446026.1
OG0000032	Np004G2267700	XP_010436751.1, XP_010497251.1, XP_010412531.1, XP_019097480.1, XP_010484906.1, XP_010473639.1, XP_010446027.1
OG0000034	Np005G2840700, Np005G2840600	XP_010433941.1, XP_010439209.1, XP_010448753.1
OG0000034	Np005G2841400	XP_010418085.1, XP_010439218.1, XP_010448756.1
OG0000034	Np005G2839700, Np005G2840900	XP_010439226.1, XP_010439227.1
OG0000034	Np005G2841600	XP_010448758.1, XP_010439212.1, XP_010433932.1, XP_019089810.1
OG0000034	Np005G2841500	XP_010439220.1, XP_010448755.1, XP_010433938.1
OG0000038	Np007G3978400	XP_019095143.1, XP_019090009.1, XP_019091080.1, XP_010430794.1, XP_019089093.1, XP_010424680.1, XP_019087591.1, XP_010495210.1, XP_010474098.1, XP_010468682.1, XP_010463087.1, XP_019087298.1, XP_010507572.1, XP_010424302.1, XP_010419217.1, XP_010419216.1, XP_010501746.1, XP_019099665.1, XP_019084390.1, XP_019096545.1, XP_019091034.1, XP_019095603.1, XP_019085897.1, XP_019087357.1, XP_019095607.1, XP_019101803.1, XP_019087390.1, XP_019087389.1, XP_019101919.1, XP_019087577.1, XP_019095590.1, XP_019093290.1, XP_019087432.1, XP_019084251.1, XP_019098425.1, XP_019090156.1, XP_019096519.1, XP_019089825.1, XP_019082574.1, XP_019100874.1, XP_019091076.1, XP_019082567.1, XP_019087515.1, XP_019093356.1, XP_019100930.1, XP_019094577.1, XP_019097481.1, XP_019101903.1, XP_019097441.1, XP_019085229.1, XP_019085226.1, XP_019099619.1, XP_019086837.1, XP_019101577.1, XP_019093331.1, XP_010513551.1, XP_019099760.1, XP_019101814.1, XP_019092402.1, XP_019086449.1, XP_019087580.1, XP_019101789.1, XP_019101883.1, XP_019095636.1, XP_019095571.1, XP_019084237.1, XP_019101911.1, XP_019094528.1, XP_019099653.1, XP_019086048.1
OG0000039	Np002G1180600	XP_019100868.1, XP_019082678.1
OG0000040	Np001G0278000	XP_019090150.1, XP_019089979.1
OG0000040	Np003G1817100	XP_019085383.1, XP_019085329.1
OG0000040	Np006G3694800, Np006G3353400	XP_010490346.1, XP_010445623.1
OG0000041	Np004G2543000	XP_019099748.1, XP_019086118.1, XP_019086485.1, XP_019086302.1, XP_019096323.1, XP_010436786.1, XP_019087653.1, XP_019099719.1, XP_019099720.1
OG0000042	Np004G2298700	XP_010415464.1, XP_010456305.1
OG0000042	Np003G1737100	XP_019101232.1, XP_010468709.1
OG0000042	Np006G3478400	XP_010412790.1, XP_019084298.1, XP_019091192.1, XP_010463184.1, XP_010507036.1, XP_019093234.1, XP_010463124.1, XP_010473014.1, XP_010506923.1, XP_019095980.1, XP_019098840.1, XP_010412406.1
OG0000043	Np002G0951900	XP_010451890.1, XP_010468194.1, XP_010462654.1
OG0000043	Np006G3278600	XP_010473926.1, XP_010445335.1, XP_019091097.1, XP_010513759.1, XP_019087314.1
OG0000043	Np002G1248100	XP_019097453.1
OG0000046	Np004G2388700, Np001G0160700	XP_019091484.1
OG0000046	Np002G0812000, Np006G3271700, Np002G0901300, Np007G3942200, Np006G3533700, Np004G2173800, Np007G4037000, Np003G1635500, Np004G2079600, Np005G3093000, Np006G3271600, Np007G4080200, Np005G3032100, Np004G2183100, Np004G2290100, Np002G1005100, Np004G2334400	XP_010461751.1, XP_010502950.1, XP_010518653.2, XP_010412583.2, XP_010474317.1, XP_010490459.2, XP_010412458.2, XP_010495393.2, XP_019094411.1, XP_010507554.1, XP_010507003.1, XP_010451886.2, XP_019086303.1, XP_019097866.1, XP_019089513.1, XP_010435128.1, XP_019096471.1, XP_019094579.1, XP_010458616.1, XP_010495787.1, XP_019087961.1, XP_010502335.1
OG0000047	Np002G1005500	XP_010462614.1, XP_010430681.1, XP_010489839.1, XP_010424166.1, XP_010424066.1, XP_010445555.1, XP_010445888.1, XP_010490400.1, XP_010474460.1, XP_010513510.1, XP_010513511.1, XP_010474540.1, XP_010430682.1, XP_010468710.1
OG0000048	Np006G3565700	XP_010418688.1, XP_010473891.1, XP_010473899.1, XP_010510053.1, XP_010510047.1
OG0000049	Np001G0451900	XP_010445345.1, XP_010468354.1, XP_010463092.1
OG0000049	Np002G0881800	XP_019087549.1
OG0000049	Np002G1103100	XP_019085574.1, XP_019087633.1, XP_019099682.1, XP_019085817.1, XP_019085550.1, XP_019095478.1, XP_019099751.1, XP_010518640.1, XP_010412990.1, XP_019092365.1
OG0000050	Np005G2948800, Np006G3520600, Np001G0383900	XP_010495728.1, XP_019097515.1
OG0000050	Np004G1970300, Np005G2648800, Np001G0275100, Np006G3520500, Np001G0383800, Np003G1895000, Np008G4280900	XP_010463383.1
OG0000051	Np004G2552100, Np007G3843500, Np007G3849300, Np004G2593300, Np003G1312800, Np003G1313100, Np003G1316200, Np004G2360300	XP_010475218.1, XP_019098849.1, XP_019094361.1, XP_019094954.1, XP_010457379.1
OG0000051	Np002G1229200	XP_010419487.1, XP_010474608.1, XP_019085682.1
OG0000051	Np006G3285800, Np006G3285900, Np006G3286000	XP_019101976.1, XP_019100719.1, XP_010507704.1, XP_010508571.1, XP_019099792.1, XP_019099930.1, XP_019102077.1, XP_010489918.2, XP_019092650.1, XP_019101975.1, XP_019101079.1
OG0000051	Np003G1730300	XP_019100718.1, XP_019102056.1
OG0000051	Np006G3284800, Np006G3284200, Np006G3284000	XP_019100717.1, XP_019101979.1, XP_019099795.1, XP_019101978.1, XP_019100716.1, XP_019099796.1, XP_019100715.1, XP_019099797.1, XP_019100714.1, XP_019100713.1, XP_019099798.1, XP_019099883.1, XP_019101012.1, XP_010413016.2, XP_010413017.1
OG0000052	Np001G0218600	XP_010502638.1
OG0000052	Np007G4239500	XP_010418931.1
OG0000054	Np005G2924500	XP_010507141.1
OG0000054	Np008G4269300	XP_010501857.1, XP_010484908.1
OG0000055	Np006G3336100, Np006G3338700, Np003G1875300	XP_019092356.1
OG0000055	Np007G3923100, Np007G3922500	XP_010468237.1, XP_010466015.1, XP_010419774.1, XP_010468273.1, XP_010489926.1, XP_010507202.1, XP_010487805.1, XP_010465999.1, XP_019092636.1, XP_010456592.1
OG0000055	Np007G3753300	XP_019092372.1, XP_019089014.1, XP_019092647.1, XP_010490397.2, XP_010449648.2
OG0000056	Np002G1201900, Np002G1202000, Np002G1202100	XP_010430221.1
OG0000056	Np002G1191800, Np002G1192300, Np002G1195300	XP_010430223.1, XP_010418172.1, XP_010473414.1, XP_019082750.1, XP_010430231.1, XP_010473416.1, XP_010418173.1, XP_010430224.1, XP_010473415.1
OG0000056	Np005G3136000, Np001G0467300	XP_010426146.1, XP_010503309.1, XP_019084785.1, XP_010515018.1
OG0000058	Np004G2334500	XP_019086887.1, XP_010493433.1
OG0000058	Np006G3421900	XP_010496594.1
OG0000058	Np006G3423100, Np006G3422500, Np004G2183000, Np007G3942100	XP_010412459.1, XP_019098310.1, XP_019096550.1, XP_019086270.1, XP_019101868.1, XP_019100846.1, XP_019101359.1, XP_019093349.1, XP_010507005.2, XP_019090153.1, XP_019099752.1, XP_010495718.2, XP_010457035.1, XP_010472188.1, XP_010441848.1, XP_010445492.1, XP_010430898.2, XP_019093221.1
OG0000058	Np006G3504600	XP_019085657.1, XP_010445597.1
OG0000058	Np003G1369700, Np006G3421800, Np002G1073600, Np007G4038100	XP_010495691.1, XP_010456723.1, XP_010501541.1
OG0000059	Np001G0402100, Np005G3113000, Np006G3274400	XP_010415481.1
OG0000059	Np006G3486400, Np005G2888900, Np005G3047300, Np007G3954600, Np003G1666900, Np003G1673900, Np005G2877500	XP_019082768.1, XP_010424297.1, XP_010492076.1, XP_010480864.1, XP_010480807.1, XP_010421928.1, XP_019086245.1, XP_010454794.1, XP_010474415.1, XP_019093613.1, XP_019087039.1, XP_010445534.1, XP_019093612.1, XP_010483128.1, XP_010495455.1, XP_010467664.1, XP_019094598.1, XP_010513527.1, XP_010513525.1, XP_010436683.1, XP_010501879.1, XP_010444952.1, XP_010419243.1, XP_010445432.1, XP_010451388.1, XP_010451387.1, XP_010480860.1, XP_010418226.1, XP_010507751.1, XP_010418870.1, XP_010424397.1, XP_010485261.1, XP_010507491.1, XP_010501675.1, XP_010436657.1, XP_010474557.1, XP_010412778.1, XP_010501678.1, XP_010457038.1
OG0000059	Np003G1667800, Np001G0392300, Np001G0082700	XP_010424196.1, XP_019102427.1, XP_010456828.1, XP_010424751.1, XP_010456785.1
OG0000060	Np003G1523200	XP_010414487.1, XP_010414486.1, XP_010503249.1, XP_010455780.1, XP_010475557.1, XP_010457987.1, XP_010488030.1, XP_010426021.1, XP_010483612.1, XP_010443785.1, XP_010515874.1, XP_010487799.1, XP_010514915.1, XP_010483643.1, XP_010427032.1, XP_010457960.1, XP_010443740.1, XP_010504143.1, XP_010475534.1, XP_010514961.1, XP_010455395.1, XP_010510587.1, XP_010426070.1, XP_010503204.1
OG0000061	Np003G1795500	XP_019101969.1, XP_019083787.1
OG0000061	Np005G2786700	XP_010433411.2, XP_010445103.2, XP_010451164.1
OG0000061	Np006G3342300	XP_010436712.1, XP_019084383.1, XP_010452572.1
OG0000061	Np006G3280900	XP_010491240.1
OG0000061	Np005G3181500, Np005G3181600, Np002G1245500	XP_010510427.1
OG0000061	Np002G1245100, Np002G1245200	XP_010430593.1, XP_010441286.1, XP_010436072.1
OG0000062	Np002G0949000	XP_010513344.1
OG0000062	Np002G0953400	XP_010507126.1
OG0000062	Np002G0935900, Np001G0402000, Np007G4021600	XP_019094835.1, XP_010445890.1, XP_010424291.1, XP_019097384.1, XP_019092382.1, XP_010513205.1, XP_010513649.1
OG0000062	Np002G0991500	XP_010430727.1
OG0000063	Np007G3777600	XP_019082509.1, XP_019098391.1, XP_019101826.1, XP_019097369.1
OG0000063	Np005G3133100	XP_019087595.1, XP_019097514.1, XP_019098377.1, XP_019086584.1
OG0000063	Np006G3435600	XP_019098255.1, XP_019082506.1
OG0000063	Np002G0954100	XP_019085503.1, XP_019089052.1, XP_019086237.1, XP_019096554.1, XP_019086200.1, XP_019090121.1, XP_019095484.1, XP_019095597.1, XP_019086378.1, XP_019085320.1, XP_019093329.1, XP_019096445.1, XP_019090996.1, XP_019101850.1, XP_019087326.1, XP_019087327.1
OG0000063	Np006G3435500	XP_019094567.1, XP_019094508.1, XP_019095608.1
OG0000065	Np002G0937300	XP_010496110.1
OG0000065	Np005G3146600	XP_010441031.1, XP_019089248.1, XP_010435808.1
OG0000066	Np004G2505200, Np003G1367100, Np001G0031500, Np004G2500100, Np003G1367200	XP_010489841.1, XP_010475747.1, XP_010484375.1, XP_010514443.1, XP_010502711.1, XP_010444536.1, XP_010425488.1, XP_010458200.1, XP_010463183.1
OG0000066	Np007G3771600	XP_010419651.1, XP_010491788.1, XP_010431986.1, XP_010453132.1, XP_010437129.1, XP_010431988.1
OG0000067	Np005G2826900	XP_010436483.1
OG0000068	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600	XP_010423843.1, XP_019090686.1, XP_010423328.1, XP_010423367.1, XP_010452589.1, XP_019097301.1, XP_010490972.1, XP_010424780.1, XP_010452237.1, XP_019084545.1, XP_019097292.1
OG0000068	Np006G3221500, Np006G3241700, Np006G3215500, Np005G2816600, Np006G3215800	XP_019084672.1, XP_010491460.1
OG0000069	Np006G3706900, Np006G3707500	XP_010457739.1, XP_010485812.1, XP_010475324.1
OG0000069	Np006G3679100, Np006G3678800, Np004G1971900	XP_019087685.1, XP_010478135.1, XP_010444227.1, XP_010444236.1, XP_010484077.1, XP_019093841.1, XP_019093843.1, XP_010460670.1, XP_010444261.1, XP_019095680.1
OG0000069	Np006G3704200, Np006G3697500	XP_010485632.1
OG0000069	Np004G2374300, Np004G2572500, Np004G2541100, Np004G2541500	XP_019094910.1, XP_010457094.2
OG0000069	Np004G2313200, Np001G0593200, Np001G0592800, Np001G0596200, Np001G0586900, Np001G0599500	XP_010502444.1, XP_010474878.2
OG0000070	Np007G3899300, Np001G0248800	XP_010458359.1, XP_010475885.1, XP_010490823.1, XP_010425101.1, XP_010502325.1, XP_010514084.1, XP_010425103.1, XP_010506934.1, XP_010502326.1, XP_010514085.1
OG0000070	Np004G2353400	XP_010459699.1, XP_010477249.1, XP_010448526.1, XP_010438976.1, XP_010433736.1
OG0000070	Np004G1988500	XP_010413610.1, XP_019093586.1, XP_010512295.1
OG0000072	Np007G4034300, Np001G0214400, Np004G2135500, Np006G3592300, Np006G3546700, Np006G3482700	XP_010446292.1
OG0000073	Np005G2938000, Np001G0249200	XP_010513296.1
OG0000073	Np003G1524100	XP_019087245.1
OG0000074	Np001G0425700, Np002G0733000	XP_010471120.1, XP_019087687.1, XP_010480978.1, XP_010495562.1, XP_010463274.1, XP_010507355.1, XP_010497102.1, XP_010480731.1, XP_019097678.1, XP_010484876.1, XP_010469242.1, XP_019095568.1
OG0000075	Np005G2617300	XP_010437077.1, XP_019086095.1, XP_010446510.1
OG0000076	Np005G2608900	XP_019086777.1, XP_019088762.1, XP_010446406.1
OG0000077	Np001G0386200	XP_010431250.1
OG0000077	Np001G0381300	XP_010481626.1
OG0000077	Np001G0348700	XP_019097508.1, XP_010417196.1
OG0000077	Np002G1121700	XP_019101057.1
OG0000077	Np001G0247700	XP_010430698.1, XP_010489646.1, XP_010512993.2, XP_019099582.1, XP_010430699.1, XP_010518589.1, XP_010425134.1, XP_010425130.1
OG0000077	Np001G0381400	XP_010494467.1
OG0000078	Np007G4214700	XP_010485744.1, XP_010463847.1, XP_010514943.1, XP_019092533.1, XP_010485741.1
OG0000078	Np003G1454400	XP_019083866.1, XP_019097998.1
OG0000079	Np004G2051400	XP_010512845.1, XP_010415622.1, XP_019095296.1, XP_019090335.1, XP_019091163.1, XP_019082564.1, XP_019087463.1, XP_019093257.1
OG0000079	Np004G2152100, Np004G2296400, Np004G2253500	XP_010512724.1, XP_019100739.1, XP_019085561.1, XP_019099825.1, XP_019082800.1, XP_010455272.1, XP_010441029.1, XP_019092609.1, XP_010494915.2, XP_010495453.2, XP_010511426.1, XP_010494414.1
OG0000080	Np002G1104300	XP_010456792.1
OG0000080	Np004G2051300	XP_010481168.1
OG0000080	Np002G1069800	XP_010445813.1, XP_010419363.1, XP_010467673.1, XP_019096217.1, XP_019097482.1
OG0000080	Np003G1699800, Np003G1739700, Np005G2816500, Np005G2910900, Np002G1141300, Np006G3581700, Np006G3582100, Np002G0830100, Np003G1646000	XP_010418877.1
