Orthogroup	Noccaea_praecox	Eutrema_salsugineum
OG0000007	Np003G1457500	XP_024015267.1, XP_024013221.1, XP_024016233.1, XP_024004172.1, XP_024013856.1, XP_024015025.1, XP_024013606.1, XP_024006104.1, XP_024007990.1, XP_024004157.1, XP_024010052.1, XP_024008043.1, XP_024004924.1, XP_024004856.1, XP_024004074.1, XP_024014006.1, XP_024012322.1, XP_024012910.1, XP_024010245.1, XP_024016256.1, XP_024013573.1, XP_024016234.1, XP_024007956.1, XP_024014249.1, XP_024011210.1, XP_024004167.1, XP_024004498.1, XP_024016181.1, XP_024013999.1, XP_024004407.1, XP_024006094.1, XP_024004777.1, XP_024013813.1, XP_024012279.1, XP_024010251.1, XP_024008087.1, XP_024007934.1, XP_024013544.1, XP_024008877.1, XP_024004851.1, XP_024009378.1, XP_024009383.1, XP_024015931.1, XP_024004816.1, XP_024014990.1, XP_024008056.1, XP_024008023.1, XP_024013959.1, XP_024008092.1, XP_024004051.1, XP_024016262.1, XP_024004096.1, XP_024006097.1, XP_024011350.1, XP_024004963.1, XP_024013926.1, XP_024004117.1, XP_024013935.1, XP_024016848.1, XP_024013889.1, XP_024007769.1, XP_024013556.1, XP_024014247.1, XP_024016122.1
OG0000007	Np005G3131700	XP_006397474.2, XP_024004398.1, XP_024011387.1, XP_024013912.1, XP_024004241.1, XP_024005863.1, XP_024004112.1
OG0000008	Np005G2918600, Np002G1026800	XP_024013171.1, XP_024010288.1, XP_024007970.1
OG0000008	Np002G0964800	XP_024007971.1, XP_024011354.1
OG0000008	Np001G0535300	XP_024013173.1
OG0000009	Np006G3566400	XP_024007257.1, XP_024009950.1
OG0000009	Np002G0744000, Np002G0917100, Np003G1736600, Np001G0291400, Np001G0374300, Np001G0414900	XP_024011403.1, XP_024016212.1
OG0000011	Np001G0276300	XP_024003759.1, XP_024004876.1, XP_024016548.1
OG0000011	Np002G1062300, Np003G1667700	XP_024014025.1, XP_024013301.1, XP_024010379.1, XP_024013975.1, XP_024006589.1, XP_024006532.1, XP_024010647.1, XP_024011223.1, XP_024013321.1
OG0000011	Np001G0276200	XP_024013228.1
OG0000011	Np007G4050800, Np001G0276100	XP_024012731.1, XP_024004844.1, XP_024004832.1
OG0000012	Np003G1639500	XP_024013517.1
OG0000012	Np005G2960400, Np001G0263300, Np005G2658400	XP_024010663.1, XP_024004111.1, XP_024013978.1, XP_024006076.1, XP_024004769.1, XP_024016352.1, XP_006390305.1, XP_024008034.1, XP_024006880.1, XP_024004313.1, XP_024007964.1, XP_024013590.1, XP_024004088.1, XP_024013911.1, XP_024004169.1, XP_024005329.1, XP_024014256.1, XP_024004751.1, XP_024015027.1, XP_024011205.1, XP_024007772.1, XP_024013764.1, XP_024008044.1, XP_024010049.1, XP_024004131.1, XP_024006429.1, XP_024004872.1, XP_024011320.1, XP_024004073.1, XP_024004925.1, XP_024007953.1, XP_024015281.1, XP_024006278.1, XP_024006105.1, XP_024005001.1, XP_024006611.1, XP_024010628.1, XP_024009442.1, XP_024004156.1, XP_024011358.1, XP_024016363.1, XP_024009190.1, XP_024004052.1, XP_024010680.1, XP_024007768.1, XP_024004173.1
OG0000012	Np002G0797700, Np008G4276800	XP_024011250.1, XP_024011270.1, XP_024013668.1, XP_024016101.1, XP_024013382.1, XP_024010432.1, XP_024006682.1, XP_024016577.1, XP_024004056.1, XP_024005228.1, XP_024015282.1, XP_024013555.1, XP_024014250.1, XP_024006510.1, XP_024004043.1, XP_024016298.1, XP_024008037.1, XP_024013925.1
OG0000012	Np001G0263200	XP_024009752.1, XP_024004034.1, XP_024014463.1, XP_024013982.1, XP_024007975.1, XP_024004037.1, XP_024016238.1
OG0000014	Np002G0952400	XP_024013115.1, XP_024014009.1, XP_024005602.1, XP_024005000.1, XP_024015955.1
OG0000014	Np004G2216700	XP_024013164.1, XP_024015893.1, XP_024007899.1, XP_024010463.1
OG0000014	Np001G0275400, Np002G0982600	XP_024006470.1
OG0000015	Np001G0295000	XP_024006143.1
OG0000015	Np001G0486700	XP_024014590.1, XP_024006904.1
OG0000015	Np008G4270200	XP_024009420.1
OG0000016	Np002G0990700, Np002G0970700, Np006G3586500, Np007G3998400	XP_024010588.1
OG0000016	Np002G1106400, Np002G0990200	XP_024013310.1
OG0000016	Np002G0990500	XP_024009219.1
OG0000016	Np007G3999600	XP_024010546.1
OG0000016	Np002G1011300	XP_024011334.1, XP_024013809.1
OG0000018	Np007G3967900	XP_024010601.1
OG0000020	Np003G1663000	XP_024013930.1, XP_024006617.1, XP_024013145.1, XP_024005036.1, XP_024010660.1, XP_024013948.1, XP_024013964.1, XP_024013965.1, XP_006405034.2, XP_024010782.1, XP_024016366.1, XP_024009241.1, XP_024010575.1, XP_024013043.1, XP_024013056.1, XP_024010319.1, XP_024014443.1, XP_024006547.1, XP_024014425.1, XP_024007259.1, XP_024009794.1, XP_024011333.1, XP_024006565.1, XP_024013063.1, XP_024010757.1, XP_024016106.1, XP_024014812.1, XP_024015878.1, XP_024010923.1, XP_024016723.1, XP_024004986.1, XP_024015902.1
OG0000022	Np004G2449100	XP_006417199.1, XP_006417205.1, XP_006417216.1
OG0000022	Np005G3189900	XP_024014798.1
OG0000023	Np002G1065700, Np005G3185500	XP_024013410.1
OG0000023	Np002G1180000	XP_024009473.1
OG0000023	Np007G4015700, Np002G1103400	XP_024016113.1
OG0000023	Np006G3543300, Np005G2842200, Np006G3594200, Np004G2178800	XP_024007961.1, XP_024010549.1, XP_024014546.1, XP_024015958.1
OG0000023	Np003G1712400	XP_024006560.1
OG0000023	Np004G2391200, Np010G4349100	XP_024009936.1, XP_024006513.1
OG0000023	Np005G3091400	XP_024016167.1
OG0000024	Np004G1980700	XP_006393242.1, XP_006393240.1, XP_006393292.2, XP_006393291.1, XP_006393290.1, XP_006393293.1
OG0000024	Np004G1980500	XP_006393224.2
OG0000024	Np001G0579500, Np001G0579400	XP_024004275.1, XP_006402766.1
OG0000025	Np006G3544700	XP_024013062.1
OG0000025	Np003G1727000	XP_024006403.1, XP_024014257.1, XP_024015953.1, XP_024011323.1, XP_024014480.1, XP_024007296.1, XP_024013049.1, XP_024004954.1, XP_024012916.1, XP_024010763.1, XP_024014390.1, XP_024013392.1, XP_024014398.1, XP_024010323.1, XP_024011260.1, XP_024004142.1, XP_024015028.1, XP_024004413.1, XP_024014090.1, XP_024010651.1, XP_024009163.1, XP_024014222.1, XP_024015865.1, XP_024014393.1, XP_024004761.1, XP_024014962.1, XP_024010657.1, XP_024004987.1, XP_024006404.1, XP_024015864.1, XP_024007297.1, XP_024014500.1, XP_024012918.1
OG0000027	Np003G1806500	XP_024009838.1, XP_006396897.2
OG0000027	Np005G2837400	XP_006413557.1
OG0000027	Np005G2840800	XP_006413573.1
OG0000028	Np006G3533600, Np006G3532900, Np006G3474900, Np006G3473800, Np006G3703700, Np006G3698600, Np003G1462900, Np006G3474200, Np006G3698100, Np006G3696700	XP_006411607.2
OG0000029	Np003G1680700, Np003G1751100	XP_024004858.1
OG0000029	Np002G1063900	XP_024016120.1
OG0000030	Np001G0090700	XP_024008003.1
OG0000031	Np002G0985700	XP_024007913.1
OG0000031	Np005G2850000	XP_024014349.1, XP_024006862.1, XP_024006618.1, XP_024016129.1
OG0000032	Np004G2267700	XP_024004841.1, XP_024010402.1
OG0000034	Np005G2840700	XP_006413571.1
OG0000034	Np005G2840600	XP_024010975.1
OG0000034	Np005G2839700, Np005G2840900	XP_006413574.2
OG0000034	Np005G2838300	XP_006413566.2
OG0000034	Np005G2841500	XP_024004626.1
OG0000034	Np005G2841700	XP_006413576.1
OG0000035	Np004G2088100, Np005G3165600	XP_024010425.1, XP_024007977.1
OG0000035	Np002G1060000, Np001G0383600, Np002G0991100, Np005G2830800, Np002G1134400, Np004G2299800, Np002G1000600	XP_024007976.1, XP_024016141.1
OG0000035	Np002G0894300, Np002G1040100, Np006G3284300, Np007G3930600, Np002G0953600, Np003G1528700, Np001G0239800, Np002G1120800, Np004G2470200	XP_024004785.1, XP_024005785.1, XP_024004877.1, XP_024016694.1, XP_024016229.1, XP_024011093.1, XP_024010243.1, XP_024006613.1, XP_006409421.2, XP_024009313.1, XP_024006556.1, XP_024015936.1
OG0000035	Np002G0910400	XP_006393440.2
OG0000035	Np007G3930700	XP_024016804.1
OG0000038	Np007G3978400	XP_024013061.1, XP_024006448.1, XP_024011196.1
OG0000039	Np003G1689500, Np008G4259800, Np002G1180600	XP_024006661.1
OG0000040	Np001G0278000	XP_024004874.1, XP_024006081.1, XP_024004163.1
OG0000040	Np004G1916700, Np002G0779200	XP_024013326.1
OG0000041	Np002G1205400, Np004G2543000	XP_024011200.1
OG0000042	Np004G2298700	XP_024009659.1
OG0000042	Np003G1737100	XP_024009944.1
OG0000042	Np002G0963100	XP_024016200.1
OG0000042	Np006G3478400	XP_024006466.1
OG0000043	Np005G2957000, Np002G0951900	XP_024014240.1
OG0000046	Np004G2388700, Np001G0160700	XP_024015030.1
OG0000046	Np002G0812000, Np006G3271700, Np002G0901300, Np007G3942200, Np006G3533700, Np004G2173800, Np007G4037000, Np003G1635500, Np004G2079600, Np005G3093000, Np006G3271600, Np007G4080200, Np005G3032100, Np004G2183100, Np004G2290100, Np002G1005100, Np004G2334400	XP_006401889.2, XP_024011380.1, XP_006389862.1, XP_024013796.1, XP_024010208.1, XP_006403918.2, XP_024006486.1, XP_024009662.1, XP_024009472.1, XP_024009471.1, XP_024009726.1, XP_024010419.1
OG0000047	Np002G1005500	XP_024014421.1, XP_024011365.1
OG0000049	Np001G0451900	XP_024006537.1
OG0000049	Np005G3022000	XP_024009363.1
OG0000050	Np005G2619700	XP_024011305.1, XP_006403065.1, XP_006396164.1, XP_024016108.1, XP_024010449.1, XP_006414856.2
OG0000050	Np001G0129000, Np001G0129100, Np001G0128800, Np004G2259400, Np004G2435300	XP_024004962.1, XP_024006598.1
OG0000050	Np004G1970300, Np005G2648800, Np001G0275100, Np006G3520500, Np001G0383800, Np003G1895000, Np008G4280900	XP_024015913.1, XP_024007981.1
OG0000051	Np007G3849300, Np004G2593300	XP_006418389.2
OG0000051	Np003G1312800, Np003G1313100, Np003G1316200, Np004G2360300	XP_024008111.1
OG0000051	Np006G3285300, Np006G3285400	XP_006411503.1
OG0000051	Np002G1156400, Np002G1163000, Np002G1166000, Np002G1168200, Np002G1168100, Np002G1156700, Np002G1164000, Np002G1229200, Np002G1168000, Np002G1055900, Np002G1071800, Np002G1164200, Np002G1169900, Np002G1170000, Np002G1162800, Np002G1142800, Np002G1142700, Np002G1156800, Np002G1163400, Np002G1164100	XP_006392148.1, XP_024013725.1, XP_024013699.1
OG0000051	Np006G3284900	XP_024004231.1
OG0000051	Np003G1730300	XP_024004184.1
OG0000054	Np005G2924500	XP_024016309.1
OG0000055	Np007G3923100, Np007G3922500	XP_006398121.1, XP_006406735.1
OG0000055	Np007G3753300	XP_024016535.1
OG0000056	Np002G1194600, Np002G1195000, Np002G1194400, Np002G1189700, Np002G1195200, Np002G1194900, Np002G1189500, Np002G1201000, Np002G1189800, Np002G1194000, Np002G1200900	XP_024015483.1, XP_006391921.1, XP_006391923.1, XP_006391945.1, XP_024015433.1, XP_006391937.1, XP_006390854.1
OG0000056	Np002G1192400	XP_006391863.1, XP_024016712.1, XP_006391858.2
OG0000056	Np005G3136000	XP_006405761.2
OG0000058	Np004G2334500, Np006G3421900	XP_024013600.1
OG0000058	Np006G3423100, Np006G3422500, Np004G2183000, Np007G3942100	XP_024015982.1, XP_024013356.1, XP_024006629.1, XP_024016554.1, XP_024011207.1, XP_024014435.1, XP_024009368.1, XP_024014237.1, XP_024016380.1, XP_024011251.1, XP_024003653.1, XP_024009607.1, XP_024016240.1, XP_024016319.1, XP_024013206.1, XP_024011314.1, XP_024011360.1, XP_024010368.1, XP_024012295.1, XP_024009971.1, XP_024006803.1, XP_024006792.1, XP_024011140.1, XP_024013156.1
OG0000058	Np006G3504600	XP_024009371.1, XP_024012609.1
OG0000059	Np003G1667800, Np001G0392300, Np001G0082700	XP_024010626.1, XP_024006533.1, XP_024013675.1, XP_024009487.1, XP_024006590.1, XP_024012732.1, XP_024004843.1, XP_024004842.1, XP_024004831.1, XP_024004845.1, XP_024014239.1, XP_024013302.1, XP_024010380.1, XP_024013968.1, XP_024014568.1, XP_024004801.1, XP_024016568.1, XP_024013967.1, XP_024006276.1
OG0000059	Np004G2334600, Np002G1005000, Np007G3962700	XP_024016529.1, XP_024007942.1, XP_024010231.1, XP_024005865.1
OG0000060	Np003G1523200	XP_006417762.1, XP_006418920.1, XP_006400894.1, XP_006410944.1, XP_006403660.1, XP_006400928.1, XP_006418982.1, XP_006409907.1
OG0000061	Np004G2504400, Np003G1460800, Np006G3212900, Np006G3217300	XP_006400395.1
OG0000061	Np005G2786700	XP_006413201.2, XP_006413190.1
OG0000061	Np006G3342300	XP_006405882.1
OG0000061	Np006G3512200	XP_006410039.1
OG0000062	Np002G0958500	XP_024009412.1
OG0000062	Np002G0953400	XP_024016230.1, XP_024010222.1, XP_024006614.1, XP_024010315.1, XP_024006463.1, XP_024009419.1, XP_024011092.1, XP_024016359.1
OG0000062	Np002G0935900, Np001G0402000, Np007G4021600	XP_024004129.1, XP_024013428.1, XP_024010363.1, XP_024010298.1, XP_024010297.1, XP_024008041.1, XP_024010226.1, XP_024010620.1, XP_024016291.1, XP_024011215.1, XP_024013963.1, XP_024009617.1, XP_024010321.1, XP_024009248.1
OG0000062	Np002G0991500	XP_024011371.1, XP_024013346.1
OG0000065	Np005G3132500, Np005G3146600	XP_024014419.1
OG0000066	Np004G2505200, Np003G1367100, Np001G0031500, Np004G2500100, Np003G1367200	XP_006396911.1, XP_024012002.1, XP_006394194.1, XP_006394044.1
OG0000066	Np007G3771600	XP_024005718.1, XP_006399597.1, XP_006390289.1, XP_024005720.1
OG0000068	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600	XP_024014925.1
OG0000068	Np001G0604000, Np001G0601600, Np001G0591700, Np001G0569900, Np001G0618200, Np003G1442200, Np003G1442100	XP_024012324.1
OG0000068	Np001G0556100, Np001G0557000, Np001G0558400	XP_006413393.1
OG0000068	Np006G3221500, Np006G3241700, Np006G3215500, Np005G2816600, Np006G3215800	XP_006406656.1
OG0000068	Np003G1347300	XP_006399102.2
OG0000069	Np006G3706900, Np006G3707500	XP_006404944.1
OG0000069	Np002G1204500, Np002G1174500, Np004G2201300	XP_024006439.1
OG0000069	Np005G2913000, Np005G2913300, Np005G2926900, Np005G2926800, Np005G2912900, Np005G2946700, Np005G2913400	XP_024016442.1, XP_006390571.2
OG0000070	Np007G3899300, Np001G0248800	XP_006395735.1
OG0000070	Np004G2353400	XP_006416426.1
OG0000070	Np001G0364300, Np001G0366000, Np001G0526100, Np001G0525900, Np002G0771400	XP_006390250.1
OG0000070	Np001G0650300, Np001G0653200, Np007G3856900	XP_006402629.2
OG0000072	Np007G4041200, Np001G0368400, Np003G1731700, Np006G3587200, Np009G4327500, Np006G3447100, Np003G1510900, Np006G3565200	XP_024009686.1
OG0000072	Np007G4034300, Np001G0214400, Np004G2135500, Np006G3592300, Np006G3546700, Np006G3482700	XP_024004060.1, XP_024006592.1
OG0000072	Np002G0772500, Np004G2176900, Np006G3362700, Np002G0796100, Np001G0490300, Np008G4256100, Np001G0651800, Np002G1002300, Np005G3189400, Np007G3836600, Np006G3485300, Np004G2112600	XP_024014710.1
OG0000073	Np005G2938000, Np001G0249200	XP_024009376.1
OG0000073	Np003G1524100	XP_024009769.1, XP_024016097.1, XP_024007936.1
OG0000074	Np001G0425700, Np002G0733000	XP_024011308.1, XP_024014968.1, XP_024013779.1, XP_024009755.1, XP_024004927.1, XP_024009440.1, XP_024004144.1, XP_024016292.1, XP_024004802.1, XP_024016104.1, XP_024004866.1, XP_024016279.1, XP_024013158.1, XP_024016228.1, XP_024006624.1, XP_024007928.1, XP_024006149.1, XP_024013371.1, XP_024004022.1, XP_024009402.1, XP_024006141.1, XP_024010303.1, XP_024004054.1, XP_024007677.1, XP_024004756.1, XP_024008105.1, XP_024006609.1
OG0000075	Np006G3607400, Np003G1743500, Np003G1743600, Np003G1743200	XP_024009720.1, XP_024009721.1
OG0000075	Np005G3174400, Np005G3174600, Np005G3174500, Np005G3175000, Np005G3174200	XP_024014654.1
OG0000076	Np005G2608900	XP_006411683.1
OG0000076	Np001G0369900	XP_024004083.1, XP_024004092.1, XP_006410127.1, XP_024010259.1, XP_024010258.1, XP_006397052.1, XP_024010257.1, XP_024010383.1
OG0000077	Np001G0386200	XP_024004738.1
OG0000077	Np001G0381300	XP_006398175.2
OG0000077	Np001G0247700	XP_006395717.2, XP_006395727.1
OG0000077	Np002G1126100	XP_006392390.2
OG0000078	Np007G4214700	XP_024014979.1
OG0000078	Np003G1455000, Np003G1454200	XP_006400345.1
OG0000078	Np003G1454400	XP_006400347.1
OG0000078	Np003G1454100, Np003G1455600	XP_006400348.1
OG0000079	Np004G2051400	XP_006405230.2, XP_024010130.1
OG0000080	Np003G1699800, Np003G1739700, Np005G2816500, Np005G2910900, Np002G1141300, Np006G3581700, Np006G3582100, Np002G0830100, Np003G1646000	XP_024009590.1
OG0000081	Np004G2188400, Np004G2195900, Np004G2188800, Np007G3988300	XP_024014389.1, XP_024004223.1
OG0000081	Np005G2602400	XP_024014942.1, XP_024013908.1
OG0000086	Np005G3126500	XP_024014367.1
OG0000086	Np002G0950000	XP_006405821.2
OG0000086	Np005G3022400	XP_024014611.1, XP_006405827.1, XP_006405828.1, XP_006405825.1, XP_006405877.2
OG0000086	Np005G3127100	XP_024014475.1, XP_006405815.1
OG0000086	Np002G0867100	XP_006390991.1
OG0000089	Np001G0498100	XP_006404194.1
OG0000089	Np001G0109800	XP_006394642.1
OG0000089	Np001G0070200	XP_006404433.1, XP_006404432.1
OG0000089	Np006G3501600, Np008G4281600	XP_006410012.1
OG0000089	Np003G1391100	XP_006399740.1
OG0000089	Np001G0399300	XP_006403108.1
OG0000089	Np005G2871200	XP_006413842.1
OG0000089	Np002G0774400	XP_006390273.1
OG0000090	Np004G2177700, Np003G1831100	XP_024014096.1
OG0000090	Np005G2971200, Np007G4113900, Np006G3546200, Np003G1792600, Np004G1961100, Np002G0878100, Np007G3883300	XP_024009890.1
OG0000091	Np001G0389100, Np001G0389700	XP_006398110.2, XP_006398111.1
OG0000091	Np003G1487100	XP_024011446.1
OG0000095	Np006G3650500, Np006G3650700	XP_006405019.2
OG0000095	Np006G3649400	XP_024013951.1, XP_006405002.1, XP_024014179.1, XP_006391426.1
OG0000096	Np002G0789300, Np002G0783300, Np007G3906500, Np007G3813600, Np007G3828000, Np007G3827900, Np007G3802100, Np007G3815700, Np007G3816700, Np004G1968900, Np002G1192600, Np004G1989000, Np004G1955200, Np004G1945900, Np004G1963100, Np004G1955300	XP_006408882.1, XP_024014982.1
OG0000098	Np007G3899100	XP_024009712.1, XP_006403292.2
OG0000098	Np004G2594800	XP_006395726.1
OG0000098	Np001G0116500, Np001G0115500	XP_006404383.1, XP_006394690.1, XP_006414046.1
OG0000099	Np005G2972700, Np006G3467800, Np004G2293200, Np002G0982400, Np002G0982300	XP_024014024.1
OG0000099	Np004G2293300, Np006G3467900, Np001G0434000, Np008G4260400, Np003G1785300, Np002G1057600, Np009G4292900, Np007G4054500, Np002G0965600	XP_024010538.1, XP_024006512.1, XP_024009358.1, XP_024013236.1, XP_024005030.1, XP_024016364.1, XP_024010352.1, XP_024014533.1, XP_024015961.1, XP_024013956.1, XP_024014381.1, XP_024007256.1, XP_024010470.1, XP_024015875.1, XP_024014509.1, XP_024014232.1, XP_024013986.1, XP_024009252.1, XP_024010607.1, XP_024010395.1, XP_024010031.1, XP_024014629.1, XP_024013325.1, XP_024014548.1, XP_024010434.1, XP_024016114.1, XP_024010345.1, XP_024004944.1, XP_024010356.1, XP_024010388.1, XP_024004833.1, XP_024006477.1, XP_024013110.1, XP_024007293.1, XP_024015161.1, XP_024010460.1, XP_024011257.1, XP_024014290.1, XP_024006660.1, XP_024015857.1, XP_024016277.1, XP_024015873.1, XP_024009413.1, XP_024014523.1, XP_024014504.1, XP_024013395.1, XP_024005028.1, XP_024007270.1, XP_024014471.1, XP_024013048.1, XP_024010308.1, XP_024014886.1, XP_024009257.1, XP_024013208.1, XP_024004978.1, XP_024010416.1, XP_024009483.1, XP_024004023.1, XP_024009903.1, XP_024009316.1, XP_024013380.1, XP_024010296.1, XP_024015036.1, XP_024013216.1, XP_024015868.1, XP_024010240.1, XP_024016315.1
OG0000101	Np002G0736300	XP_024007307.1
OG0000101	Np001G0036300	XP_024013940.1
OG0000101	Np003G1682200, Np003G1683300	XP_024008063.1
OG0000101	Np007G3942800	XP_024004951.1
OG0000102	Np003G1850200	XP_006396592.1
OG0000102	Np003G1850000	XP_006417793.2
OG0000103	Np007G4123200	XP_024009392.1, XP_024014319.1, XP_024006500.1, XP_024004132.1, XP_024005026.1
OG0000106	Np007G3948900, Np006G3602200, Np004G2072600, Np004G2045400, Np003G1306400	XP_024004087.1
OG0000106	Np006G3556500	XP_024009972.1, XP_024010849.1
OG0000106	Np001G0513300, Np003G1588100, Np005G2609700, Np005G2802400, Np003G1396400, Np005G3054500, Np006G3285100	XP_024013941.1, XP_024004736.1, XP_024012932.1, XP_024005999.1
OG0000108	Np001G0565800	XP_006410952.1, XP_006403657.1
OG0000108	Np001G0462100	XP_006400969.1
OG0000108	Np007G4093400	XP_006407369.1
OG0000108	Np003G1360400	XP_006399464.1
OG0000108	Np007G3950400	XP_006406564.1
OG0000109	Np001G0341500	XP_024016626.1, XP_006414991.2
OG0000109	Np002G1184600, Np005G2935200, Np007G4014300, Np005G2978600, Np006G3449000, Np003G1723900, Np003G1723300, Np003G1723600, Np011G4357100, Np002G1174400, Np008G4281000, Np002G1033400	XP_024009711.1, XP_024010384.1, XP_024009792.1, XP_024009380.1, XP_024010244.1, XP_024014026.1, XP_024006561.1, XP_024013107.1, XP_024015896.1, XP_024009348.1, XP_024013914.1, XP_024009952.1, XP_024006596.1
OG0000110	Np002G1086700, Np005G2909800, Np002G1161200, Np004G2113400, Np005G3033600, Np002G0891500, Np007G4015500, Np008G4289300	XP_024004909.1, XP_024011414.1, XP_024009421.1, XP_024007906.1, XP_024004952.1, XP_024010478.1, XP_024006501.1, XP_024010281.1, XP_024010375.1, XP_024006421.1
OG0000111	Np005G3138900, Np001G0444800	XP_006391257.1, XP_006409739.1, XP_006409738.2, XP_006409778.1
OG0000114	Np002G1018000	XP_024014535.1
OG0000114	Np003G1744100	XP_024009390.1, XP_024014516.1, XP_024009469.1, XP_024011379.1, XP_024006494.1, XP_024006892.1, XP_024013367.1
OG0000116	Np002G1124800	XP_006404698.2, XP_006415357.2, XP_024006877.1
OG0000116	Np003G1719700, Np004G2021800, Np003G1460300, Np005G3103800	XP_024004957.1
OG0000117	Np004G2300400	XP_024008031.1
OG0000117	Np004G2300300	XP_024008246.1
OG0000117	Np004G2300200	XP_024008029.1, XP_024008030.1, XP_006416071.1
OG0000118	Np006G3383100	XP_024010220.1, XP_024009977.1, XP_006410257.2
OG0000118	Np007G4221800, Np007G4221900	XP_006408206.1
OG0000119	Np003G1836400	XP_024009951.1
OG0000120	Np002G0949100	XP_024013368.1
OG0000120	Np003G1769900, Np005G2602500	XP_024010260.1, XP_024014515.1, XP_024006138.1, XP_024016282.1
OG0000121	Np002G0954000, Np002G0904100, Np001G0559000, Np006G3382900, Np005G3087600, Np002G0877900, Np006G3278500, Np004G2331700, Np006G3451400	XP_024009270.1
OG0000121	Np005G2604800, Np006G3604300	XP_024013152.1
OG0000122	Np003G1578000	XP_024012533.1
OG0000122	Np003G1580100	XP_006401346.1
OG0000122	Np003G1578500	XP_006401333.2
OG0000123	Np003G1843300	XP_024011279.1, XP_024011277.1, XP_024011276.1, XP_024012457.1, XP_024012107.1
OG0000124	Np005G3180200	XP_024014203.1
OG0000124	Np005G2989500, Np003G1311000, Np002G1109100, Np007G3982000, Np006G3413600, Np006G3224800, Np007G4183000, Np001G0142800, Np001G0316700, Np002G1065100, Np002G1144900, Np004G2155800, Np006G3441600, Np005G2997800, Np003G1698400, Np004G2064900, Np003G1592200, Np001G0351400, Np002G0948800, Np005G2989400	XP_024011275.1, XP_024009428.1, XP_024006620.1, XP_024007267.1, XP_024015892.1, XP_024009781.1, XP_024013977.1, XP_024010413.1, XP_024005584.1, XP_024010662.1, XP_024011095.1, XP_024010391.1, XP_006409642.2, XP_024007266.1, XP_024011274.1, XP_024016583.1
OG0000125	Np004G1951700	XP_024006051.1
OG0000125	Np004G1951500	XP_006392987.1
OG0000125	Np004G1951600	XP_024006272.1
OG0000125	Np007G3813400	XP_006406282.1
OG0000126	Np006G3613200	XP_024016126.1
OG0000126	Np001G0262900, Np005G2929200	XP_024009117.1, XP_024009113.1
OG0000126	Np004G2191600	XP_024011103.1
OG0000127	Np003G1510700	XP_006400797.1
OG0000127	Np006G3371500	XP_006410934.1
OG0000127	Np001G0565000	XP_006403666.1
OG0000127	Np003G1523500	XP_006400898.1
OG0000127	Np006G3598300	XP_006409905.1
OG0000128	Np001G0645400	XP_024012970.1
OG0000128	Np001G0645200	XP_024009571.1
OG0000128	Np001G0644700	XP_006402712.2
OG0000128	Np001G0644900	XP_006402710.1
OG0000128	Np001G0644500	XP_006402715.1
