Orthogroup	Noccaea_praecox	Arabidopsis_arenosa
OG0000061	Np002G1245100, Np002G1245200	jg375, jg20934, jg12023
OG0000062	Np002G1076000, Np003G1765200, Np002G0953500, Np002G0958500	jg21178
OG0000062	Np002G0991500	jg32622
OG0000065	Np005G3146600	jg12464, jg12463
OG0000066	Np004G2500100, Np003G1367200	jg29279
OG0000066	Np005G2623400, Np003G1374000, Np005G2623300, Np007G3771600, Np002G0777800	jg4927
OG0000067	Np005G2826900	jg32532
OG0000068	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600	jg4186, jg4261, jg4260, jg24839, jg24838
OG0000068	Np006G3221500, Np006G3241700, Np006G3215500, Np005G2816600, Np006G3215800	jg4679
OG0000069	Np006G3706900, Np006G3707500	jg16351
OG0000069	Np007G3833600	jg28153, jg28151, jg15319, jg28979
OG0000069	Np004G2374300, Np004G2572500, Np004G2541100, Np004G2541500	jg28492
OG0000069	Np004G2313200, Np001G0593200, Np001G0592800, Np001G0596200, Np001G0586900, Np001G0599500	jg13227, jg16809
OG0000070	Np007G3899300, Np001G0248800	jg29403, jg28225, jg28226, jg13116, jg13115
OG0000070	Np004G2353400	jg16631, jg30544, jg4483
OG0000070	Np001G0364300, Np001G0366000, Np001G0526100, Np001G0525900, Np002G0771400	jg3251
OG0000070	Np004G1988500	jg16054
OG0000072	Np007G4041200, Np001G0368400, Np003G1731700, Np006G3587200, Np009G4327500, Np006G3447100, Np003G1510900, Np006G3565200	jg12110
OG0000072	Np007G4034300, Np001G0214400, Np004G2135500, Np006G3592300, Np006G3546700, Np006G3482700	jg7100, jg12084, jg27349, jg7332, jg11849
OG0000072	Np002G0772500, Np004G2176900, Np006G3362700, Np002G0796100, Np001G0490300, Np008G4256100, Np001G0651800, Np002G1002300, Np005G3189400, Np007G3836600, Np006G3485300, Np004G2112600	jg20178
OG0000072	Np003G1588900, Np007G4122700, Np005G2824400	jg25787
OG0000073	Np003G1524100	jg32034, jg11572, jg10937, jg20466, jg13828, jg30444, jg16551, jg24432, jg32702, jg1433, jg11779, jg26607
OG0000075	Np006G3607400, Np003G1743500, Np003G1743600, Np003G1743200	jg21647
OG0000075	Np005G2617300	jg8428
OG0000075	Np004G2247300	jg32683, jg20353
OG0000076	Np005G2608900	jg8362
OG0000077	Np001G0386200	jg20644
OG0000077	Np002G0927000	jg2240
OG0000077	Np002G1125900	jg1310
OG0000077	Np002G1121700	jg1247
OG0000077	Np001G0247700	jg13131
OG0000077	Np002G1126100	jg1249
OG0000078	Np007G4214700	jg24239, jg24236
OG0000078	Np003G1454400	jg5644, jg5634
OG0000079	Np004G2051400, Np004G2152100, Np004G2296400, Np004G2253500	jg7377
OG0000080	Np002G1104300, Np004G2051300	jg6819
OG0000080	Np002G1069800	jg21120
OG0000081	Np004G2188400, Np004G2195900, Np004G2188800, Np007G3988300	jg17678, jg24928, jg28032, jg1125, jg20814, jg32127, jg1799
OG0000081	Np005G2602400	jg26776, jg302, jg5265, jg31440, jg25892, jg12998, jg14036, jg6463
OG0000086	Np002G0950000	jg12259
OG0000086	Np005G3126400, Np005G3126800, Np005G3126700, Np005G3127000	jg12260
OG0000086	Np005G3127100	jg12281
OG0000086	Np002G0867100	jg2128, jg2129
OG0000089	Np001G0109800	jg6235
OG0000089	Np005G2870600	jg23223
OG0000089	Np006G3501600, Np008G4281600	jg17972
OG0000089	Np003G1391100	jg5068
OG0000089	Np001G0399300	jg20749
OG0000089	Np005G2871200	jg10485
OG0000089	Np002G0774400	jg3235
OG0000091	Np001G0389100, Np001G0389700	jg17633
OG0000091	Np003G1487100	jg5910
OG0000091	Np001G0528700	jg21695
OG0000095	Np006G3650500, Np006G3650700	jg17289
OG0000095	Np006G3649600	jg16989, jg17288
OG0000095	Np006G3660300	jg1743, jg16988, jg17290, jg17390, jg16997
OG0000095	Np006G3649400	jg17005, jg20640
OG0000095	Np006G3650300	jg16996
OG0000095	Np006G3650400, Np006G3654500, Np006G3650200, Np006G3660600	jg16995, jg17274, jg17286, jg17001, jg16991, jg16900, jg16897, jg16899
OG0000096	Np007G3952900, Np002G0789300, Np002G0783300, Np007G3906500, Np007G3813600, Np007G3828000, Np007G3827900, Np007G3802100, Np007G3815700, Np007G3816700, Np004G1968900, Np002G1192600, Np004G1989000, Np004G1955200, Np004G1945900, Np004G1963100, Np004G1955300	jg25957
OG0000096	Np007G3726500	jg27435
OG0000097	Np004G2027800	jg13803
OG0000098	Np007G3899100	jg27221, jg27229, jg27223, jg27264, jg27107
OG0000098	Np005G3053200, Np001G0115600	jg31283, jg17594, jg11987
OG0000098	Np004G2594800	jg2306
OG0000098	Np007G3793600	jg27471, jg27452
OG0000098	Np001G0116500, Np001G0115500	jg17595, jg31284, jg16872
OG0000098	Np002G0990300, Np002G0990900, Np002G0990400	jg17593, jg16875
OG0000100	Np002G1237300	jg1373, jg1405, jg472
OG0000100	Np004G2064500	jg1001
OG0000100	Np002G1231900	jg492, jg11338, jg777, jg27782
OG0000101	Np002G0868700, Np004G2067500, Np001G0489000, Np004G2252100, Np011G4358000, Np011G4357800, Np002G0736300, Np001G0306500, Np001G0036300, Np004G2254300, Np001G0349600, Np004G2428000, Np003G1266900, Np001G0589500, Np003G1682200, Np003G1683300, Np007G3942800, Np003G1683400	jg27510
OG0000102	Np003G1716100	jg7820
OG0000102	Np003G1850400	jg7815, jg7812, jg7813
OG0000102	Np003G1850200	jg7818, jg11552
OG0000102	Np003G1795300	jg7819
OG0000102	Np003G1849500, Np003G1850000	jg7810
OG0000103	Np007G4123200	jg33027
OG0000105	Np007G4161900	jg12808
OG0000105	Np003G1459200	jg12094
OG0000106	Np007G3948900, Np006G3602200, Np004G2072600, Np004G2045400, Np003G1306400	jg15329
OG0000106	Np001G0133000	jg727
OG0000106	Np001G0513300, Np003G1588100, Np005G2609700, Np005G2802400, Np003G1396400, Np005G3054500, Np006G3285100, Np004G1932400, Np002G1206600, Np002G0931500, Np004G2006800, Np006G3285600, Np006G3356100, Np002G0934000, Np001G0450200, Np001G0254300, Np001G0468300, Np003G1838400, Np002G1216700, Np001G0108100, Np004G2551200, Np004G1924900, Np003G1364100, Np004G1973500, Np001G0080600	jg17558, jg25723
OG0000107	Np007G3984500	jg17559, jg17556
OG0000107	Np005G3056200	jg26263
OG0000107	Np007G3984300	jg26159, jg26158
OG0000108	Np001G0565800	jg15311
OG0000108	Np001G0462100	jg14433, jg22870
OG0000108	Np003G1360400	jg4799
OG0000109	Np002G1184600, Np005G2935200, Np007G4014300, Np005G2978600, Np006G3449000, Np003G1723900, Np003G1723300, Np003G1723600, Np011G4357100, Np002G1174400, Np008G4281000, Np002G1033400	jg17478, jg27454, jg27058, jg17336, jg17450, jg13895, jg1859, jg2002, jg16476, jg16484, jg29790, jg9963, jg2091, jg11738, jg13945
OG0000110	Np002G0928100	jg9173
OG0000110	Np002G1086700, Np005G2909800, Np002G1161200, Np004G2113400, Np005G3033600, Np002G0891500, Np007G4015500, Np008G4289300	jg25795, jg13800, jg13799, jg25794
OG0000111	Np005G3154700	jg13696, jg13695, jg13697
OG0000111	Np005G3138900, Np001G0444800	jg3144
OG0000114	Np002G1018000	jg10774, jg6734, jg12947, jg16945, jg14091, jg21201, jg6956, jg16952, jg32081, jg32308, jg21203, jg10179, jg13973
OG0000114	Np003G1744100	jg6733
OG0000116	Np002G1124800	jg21091, jg22360, jg6813, jg6561
OG0000116	Np004G1921200, Np001G0237100	jg27190
OG0000116	Np007G3783600	jg32193
OG0000117	Np004G2300400	jg30934
OG0000117	Np004G2299300	jg30930
OG0000117	Np004G2300300	jg30938
OG0000117	Np004G2300200	jg30929
OG0000118	Np002G0786200	jg2028, jg2031, jg2038, jg2030, jg7426
OG0000118	Np004G1992500, Np006G3383100	jg24182, jg26523
OG0000118	Np007G4221800, Np007G4221900	jg7233
OG0000119	Np003G1836400	jg22962
OG0000119	Np001G0493200	jg14331, jg4290
OG0000120	Np003G1769900, Np005G2602500	jg32086, jg21202, jg10180, jg12955, jg6735, jg10767
OG0000122	Np003G1578000	jg31888
OG0000122	Np003G1578400	jg22505
OG0000122	Np003G1577700	jg32572
OG0000122	Np003G1578500	jg22508
OG0000123	Np003G1843300	jg21770
OG0000124	Np005G3180200	jg12674
OG0000124	Np007G3982000	jg27681
OG0000124	Np006G3413600, Np006G3224800, Np007G4183000, Np001G0142800, Np001G0316700, Np002G1065100, Np002G1144900, Np004G2155800, Np006G3441600, Np005G2997800, Np003G1698400, Np004G2064900, Np003G1592200, Np001G0351400, Np002G0948800, Np005G2989400	jg17603
OG0000125	Np006G3601100	jg17897
OG0000125	Np006G3600700	jg17884, jg17877
OG0000125	Np004G2519400	jg29111
OG0000125	Np004G1951700	jg33004
OG0000125	Np004G1951500	jg33352, jg33355, jg33354
OG0000125	Np004G1951600	jg33347
OG0000125	Np007G3813400	jg26323
OG0000126	Np006G3613200	jg17588
OG0000126	Np004G2155700, Np002G1082900, Np006G3480500, Np030G4400000, Np030G4398400	jg754
OG0000126	Np002G0902700	jg1156, jg1158
OG0000126	Np002G1171100, Np007G3882700	jg32822
OG0000126	Np001G0233600	jg27206, jg17305
OG0000126	Np005G2929200	jg1403
OG0000127	Np003G1510700	jg6123
OG0000127	Np001G0565000	jg15301
OG0000127	Np003G1523500	jg22931, jg14378
OG0000127	Np006G3598300	jg17851
OG0000128	Np001G0645400	jg15969
OG0000128	Np001G0644700	jg15959
OG0000128	Np001G0644900	jg15960
OG0000128	Np001G0644500	jg1161, jg11381
OG0000129	Np002G0866100	jg1820, jg1704, jg1821
OG0000129	Np005G3118200	jg1847
OG0000130	Np006G3485400	jg32651, jg20179
OG0000132	Np001G0583700	jg15428
OG0000132	Np001G0060300	jg23312
OG0000132	Np005G3117900, Np005G3137200, Np005G3137300, Np005G3137400	jg12398, jg12389, jg12393, jg12394, jg12395
OG0000134	Np003G1378400	jg20992, jg20995, jg20998, jg20997, jg20999, jg4953, jg20994
OG0000136	Np006G3676200, Np001G0351300, Np001G0200700	jg11601
OG0000137	Np003G1602200	jg22361
OG0000137	Np003G1829600	jg22358
OG0000137	Np003G1596700	jg32125, jg32130
OG0000137	Np003G1602000, Np003G1601500, Np003G1600700	jg22366, jg22365
OG0000137	Np003G1602100	jg22364
OG0000137	Np003G1602400	jg22363
OG0000140	Np005G2883300	jg13730, jg32189
OG0000140	Np001G0509300, Np001G0524900	jg14078, jg1761, jg1441
OG0000141	Np002G1165900	jg650, jg654, jg658, jg651, jg653
OG0000148	Np004G1960900, Np004G1960800	jg32882, jg32881, jg32883, jg33223
OG0000151	Np001G0586800	jg15448
OG0000151	Np006G3339200	jg19118
OG0000151	Np001G0586700	jg15447
OG0000151	Np001G0563500	jg15282
OG0000151	Np006G3374700	jg18884
OG0000151	Np003G1404000	jg5170
OG0000153	Np004G2521100	jg29098
OG0000154	Np004G1998200	jg5696, jg5697
OG0000154	Np004G1963300	jg33216
OG0000154	Np004G1963200	jg33213
OG0000155	Np002G0924800, Np007G3958500, Np003G1811300, Np003G1729400, Np004G2275700, Np004G2136600, Np006G3676300	jg11573, jg32701, jg22135, jg26608
OG0000157	Np006G3350500, Np003G1450700	jg12097
OG0000157	Np005G3104600, Np005G3104800, Np005G3107600	jg31636, jg31639
OG0000157	Np006G3343300	jg31916
OG0000158	Np005G2867000, Np005G2866500	jg8688
OG0000158	Np001G0700500	jg8653
OG0000158	Np003G1292700	jg10511
OG0000158	Np005G2956600	jg28264
OG0000158	Np001G0283500, Np001G0283800, Np001G0282900, Np007G4061200	jg7562, jg7551
OG0000158	Np004G2036800, Np004G2174600, Np004G1934200	jg11407
OG0000160	Np007G3739600	jg28078
OG0000160	Np005G2740000	jg9392
OG0000160	Np003G1560700	jg22635
OG0000160	Np007G3899700	jg27288
OG0000160	Np001G0430500	jg13954
OG0000160	Np002G0711700	jg3697
OG0000162	Np006G3577700	jg20943
OG0000162	Np001G0244800	jg26999, jg27000, jg27001
OG0000162	Np006G3578300	jg18412, jg18409, jg18408
OG0000164	Np002G1034300, Np002G1025700, Np008G4279000, Np002G1069100, Np002G1006800, Np006G3497200, Np005G3087200, Np002G1058100, Np006G3500300, Np005G2972300, Np002G1034200, Np002G1015700, Np002G1101600, Np006G3500400, Np004G2245600, Np004G2245700, Np003G1707900, Np007G4010900, Np004G2250900, Np008G4276900, Np009G4319300, Np006G3505100	jg6848, jg11792, jg7487, jg11793
OG0000164	Np004G2250800	jg27251
OG0000164	Np006G3450900	jg27250
OG0000164	Np001G0316300, Np002G1011400, Np002G1016200, Np001G0433600, Np005G2941300, Np004G2582200, Np001G0316200, Np001G0316100, Np002G1011500, Np004G2239900	jg6850
OG0000165	Np003G1813000, Np003G1781700, Np003G1822600, Np003G1800900, Np003G1781600, Np003G1801300, Np003G1801500, Np007G4108400	jg12066
OG0000166	Np007G3748700	jg17125
OG0000167	Np007G3808900	jg26298, jg26296, jg26297
OG0000167	Np007G3810100, Np007G3810500	jg26289, jg14328, jg14329, jg26290, jg26288
OG0000169	Np004G2522900	jg11594, jg11592
OG0000169	Np004G2006300, Np004G2270200, Np001G0564500	jg32767, jg32768, jg32765
OG0000170	Np001G0667900	jg16151
OG0000171	Np003G1641800	jg22050
OG0000171	Np007G3768900	jg27769
OG0000171	Np003G1582900	jg22463
OG0000173	Np005G2621400	jg8491, jg3298
OG0000173	Np001G0199900	jg13671, jg8611, jg8545, jg8547
OG0000174	Np002G1029900	jg21576, jg27974, jg7024, jg9836, jg1719, jg13725
OG0000175	Np003G1416000	jg5289
OG0000175	Np001G0685700, Np006G3217800	jg16299
OG0000176	Np007G4189400	jg16886, jg16884, jg16885
OG0000176	Np006G3654200	jg32007
OG0000176	Np002G0837300, Np002G0837100	jg2769
OG0000177	Np002G0868200, Np007G3897800, Np002G0760200	jg30663, jg8064, jg3362
OG0000178	Np003G1833700	jg7702
OG0000178	Np003G1835100	jg7704
OG0000178	Np003G1835200	jg7703
OG0000178	Np003G1834900, Np003G1834200	jg7705
OG0000182	Np001G0465800, Np003G1776200	jg31826, jg16158, jg16157
OG0000182	Np003G1557500, Np007G3723300	jg15586, jg15562
OG0000182	Np001G0532600, Np001G0532500	jg19013
OG0000183	Np005G3124900	jg2098
OG0000183	Np006G3615500	jg5984, jg17567
OG0000184	Np007G3824400, Np007G3829200	jg26412, jg26410, jg26411
OG0000184	Np007G3795700	jg26417, jg26418
OG0000185	Np001G0633400, Np001G0633500, Np004G2438100, Np004G2439800, Np004G2439100	jg29773
OG0000185	Np001G0026600, Np001G0030000, Np001G0688200	jg30591, jg31725, jg31727, jg31723, jg19265, jg23338
OG0000186	Np003G1587900	jg22413
OG0000188	Np007G4208500	jg24303
OG0000188	Np007G4202800, Np004G1955500	jg24346, jg24347
OG0000188	Np001G0338100	jg24349, jg24348
OG0000189	Np007G3769000	jg8854
OG0000189	Np002G0772800	jg3242
OG0000189	Np004G2354100	jg30537
OG0000192	Np003G1311400	jg647
OG0000192	Np004G2432400	jg29806
OG0000192	Np005G2794900	jg9826
OG0000192	Np004G2432200	jg14270
OG0000193	Np007G3913400	jg25724
OG0000195	Np007G3730700	jg12215
OG0000196	Np005G2929400, Np005G3188800	jg12778
OG0000197	Np004G2439300, Np002G1112700	jg10625, jg12243
OG0000197	Np005G2896400, Np001G0033100	jg10623
OG0000197	Np005G2896800	jg12242
OG0000197	Np004G2022400	jg10624
OG0000198	Np001G0273200, Np001G0273100	jg11388
OG0000198	Np006G3633600, Np003G1742600	jg29982, jg31686
OG0000198	Np004G2415000	jg29979
OG0000198	Np004G2414700	jg29981
OG0000198	Np005G2833600	jg13337
OG0000199	Np004G2471000, Np004G2469700, Np004G2471600, Np004G2469900, Np004G2460000	jg9442, jg5645, jg5642, jg9443, jg9444
OG0000200	Np004G2544000	jg28892
OG0000200	Np004G2120000	jg31430
OG0000200	Np004G2543900	jg28891
OG0000200	Np004G2143200, Np004G2141700, Np003G1654700	jg31559
OG0000200	Np004G2141600, Np004G2143500	jg31560, jg31558
OG0000202	Np007G3890500	jg7534, jg7536, jg7538, jg7531, jg7506, jg7999
OG0000202	Np007G3758700	jg2493
OG0000202	Np002G1149700	jg8000
OG0000202	Np007G3791900	jg7249
OG0000203	Np005G3179800	jg15863
OG0000203	Np001G0632300	jg15862
OG0000203	Np001G0631800	jg15861
OG0000205	Np009G4305400, Np002G1035400, Np010G4327900, Np004G2209100	jg11810, jg11812, jg11730
OG0000206	Np003G1786800	jg23550
OG0000209	Np003G1366500	jg4863, jg4865
OG0000210	Np006G3250000	jg19859
OG0000210	Np002G1162900	jg2036
OG0000210	Np006G3538900	jg2591
OG0000210	Np006G3639200	jg16105
OG0000211	Np007G4123300	jg23304
OG0000216	Np002G1121800	jg1267
OG0000216	Np001G0606300, Np001G0606400	jg15619
OG0000218	Np001G0082600, Np005G2949200, Np005G2921000, Np002G0962900, Np002G0922800	jg1481, jg1902, jg7083, jg15996, jg14689, jg6981
OG0000219	Np001G0161000	jg12179
OG0000219	Np002G0871700	jg28098
OG0000222	Np003G1700600	jg11917
OG0000224	Np002G1042200, Np004G2182200, Np002G1208000, Np002G0965300, Np009G4293100	jg11828
OG0000225	Np002G0730800	jg3554
OG0000225	Np002G0730400	jg2551
OG0000226	Np005G3168600	jg4068
OG0000226	Np005G3166700	jg4073
OG0000227	Np006G3524200, Np006G3524300	jg24479, jg24480, jg25056, jg25050, jg6481, jg6484
OG0000229	Np006G3473000	jg23298
OG0000229	Np002G1043000	jg32293
OG0000230	Np001G0641400	jg15921
OG0000232	Np006G3632500, Np007G3843600, Np001G0330000, Np002G0948700, Np004G2389900, Np006G3592000, Np005G2963500	jg13723
OG0000233	Np003G1335200, Np003G1335300	jg4598
OG0000233	Np003G1335400	jg4599
OG0000233	Np003G1335100	jg4597
OG0000233	Np003G1334700, Np003G1334800, Np003G1334900, Np005G2911800	jg4604, jg4594
OG0000234	Np003G1792500	jg19739
OG0000234	Np004G2055100	jg4032
OG0000235	Np005G3142900	jg19164
OG0000235	Np005G3191700, Np005G3191200	jg31240
OG0000236	Np007G3825300, Np007G3825800	jg26494
OG0000236	Np003G1773300	jg7281, jg7280
OG0000237	Np006G3664800, Np005G3024700	jg15213
OG0000237	Np007G3835000	jg26496
OG0000237	Np007G3814600	jg26333
OG0000238	Np002G0845300	jg2698
OG0000238	Np004G2309500	jg6718, jg6720
OG0000239	Np004G2128000, Np005G3094300, Np007G3909100, Np004G1948500, Np005G3117700, Np003G1657100, Np003G1411900, Np005G3036700, Np001G0216500, Np001G0293200, Np001G0630400, Np004G2156900, Np007G4040900, Np004G1948600, Np006G3651300, Np004G2333400, Np001G0292400	jg17673
OG0000241	Np005G2864100	jg10370
OG0000241	Np003G1837500	jg7735
OG0000242	Np007G4179600	jg24512, jg11645, jg21432
OG0000242	Np001G0141900	jg6565
OG0000243	Np004G2125700, Np004G2125900, Np004G2125000	jg31469
OG0000243	Np004G2125200	jg31473
OG0000243	Np004G2125800, Np004G2125100	jg31477
OG0000243	Np004G2125600	jg31471, jg31479, jg31470
OG0000244	Np003G1858400	jg7787
OG0000244	Np003G1858200, Np003G1858100, Np003G1857800	jg7884, jg7885, jg7892, jg7931, jg7886, jg7883
OG0000244	Np003G1848200, Np003G1848100	jg7893
OG0000246	Np006G3384100, Np003G1776100	jg18819
OG0000247	Np004G2545900	jg12382, jg9719, jg14818
OG0000247	Np004G2538200, Np003G1780900, Np003G1801100, Np003G1791800, Np003G1778100, Np003G1777900, Np003G1786000	jg31833
OG0000248	Np002G0857800	jg2620, jg2621, jg2622
OG0000248	Np002G0860000	jg12494, jg12493, jg2604, jg2603
OG0000249	Np002G1058300	jg11990
OG0000249	Np004G2068100, Np009G4325100, Np008G4270100, Np009G4325200, Np001G0129900, Np003G1744700	jg11991
OG0000250	Np003G1507100, Np003G1848500	jg7876
OG0000251	Np001G0226900	jg13318, jg13319
OG0000251	Np001G0491300, Np001G0226800, Np001G0226600	jg13320
OG0000251	Np003G1562200	jg22623
OG0000251	Np002G0877400, Np004G2306300	jg13316
OG0000253	Np002G0865000	jg1415
OG0000253	Np007G4134200	jg24871
OG0000253	Np003G1267200	jg3985
OG0000254	Np005G3023700, Np005G3023600	jg11135
OG0000255	Np006G3497300	jg1321
OG0000258	Np004G2182300	jg12130
OG0000258	Np004G2182400	jg17248, jg20584
OG0000258	Np004G2195200, Np002G1089200	jg7050
OG0000259	Np001G0461900	jg33082, jg33080, jg7439, jg28872, jg19336, jg1303, jg16868
OG0000259	Np007G3830200	jg26917, jg32916, jg17665, jg16978, jg983, jg985
OG0000262	Np004G2283300, Np002G1124100	jg543
OG0000262	Np003G1635900	jg7311
OG0000263	Np004G2041700	jg17561
OG0000265	Np005G3140200, Np007G4120400, Np002G0744800, Np002G0778500, Np003G1560300, Np004G1972500, Np006G3567500, Np004G2255600, Np001G0314500	jg1040, jg31936, jg18105, jg33104, jg20960, jg32961, jg25811
OG0000267	Np001G0402800	jg32731, jg13995
