Orthogroup	Noccaea_praecox	Arabidopsis_lyrata_NCBI
OG0000059	Np006G3486400, Np005G2888900, Np005G3047300, Np007G3954600, Np003G1666900, Np003G1673900, Np005G2877500	XP_020879890.1, XP_020878851.1, XP_020866756.1, XP_020881512.1, XP_020875242.1, XP_020886057.1, XP_020876759.1, XP_020874679.1, XP_020870695.1
OG0000059	Np003G1667800, Np001G0392300, Np001G0082700	XP_020875483.1, XP_020876486.1
OG0000060	Np003G1523200	XP_020868758.1, XP_002866359.2, XP_020879701.1, XP_020884530.1, XP_002864647.1, XP_020880298.1, XP_002862282.2, XP_020868710.1, XP_020880172.1
OG0000061	Np003G1795500	XP_020879494.1
OG0000061	Np005G2786700	XP_020873461.1
OG0000061	Np006G3342300	XP_020877006.1, XP_020874913.1
OG0000061	Np002G1245100, Np002G1245200	XP_020891333.1, XP_020888256.1
OG0000062	Np002G1076000, Np003G1765200, Np002G0953500, Np002G0958500	XP_020871212.1, XP_020876453.1
OG0000062	Np002G0991500	XP_020886023.1, XP_020874814.1, XP_020871169.1, XP_020878799.1
OG0000065	Np005G3146600	XP_020872917.1, XP_020872918.1
OG0000066	Np004G2505200, Np003G1367100, Np001G0031500, Np004G2500100, Np003G1367200	XP_002873454.1, XP_020867896.1, XP_002877046.2, XP_002894648.1, XP_020876762.1
OG0000066	Np007G3771600	XP_020875249.1, XP_020875248.1, XP_020876760.1
OG0000067	Np005G2826900	XP_020874420.1
OG0000068	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600	XP_020876030.1, XP_020876026.1, XP_020889396.1, XP_020889441.1
OG0000068	Np006G3221500, Np006G3241700, Np006G3215500, Np005G2816600, Np006G3215800	XP_002871317.2
OG0000069	Np006G3706900, Np006G3707500	XP_020880445.1
OG0000069	Np007G3833600	XP_002883980.2, XP_002893663.2, XP_020867217.1, XP_020868842.1
OG0000069	Np004G2374300, Np004G2572500, Np004G2541100, Np004G2541500	XP_020870187.1
OG0000069	Np004G2313200, Np001G0593200, Np001G0592800, Np001G0596200, Np001G0586900, Np001G0599500	XP_020882733.1
OG0000069	Np005G2913000, Np005G2913300, Np005G2926900, Np005G2926800	XP_020887402.1
OG0000070	Np007G3899300, Np001G0248800	XP_020867590.1, XP_002883942.1, XP_002875195.1, XP_002875194.1
OG0000070	Np004G2353400	XP_020885789.1, XP_002890373.1, XP_002887052.2
OG0000070	Np001G0364300, Np001G0366000, Np001G0526100, Np001G0525900, Np002G0771400	XP_020891141.1
OG0000070	Np004G1988500	XP_002878309.1
OG0000072	Np007G4034300, Np001G0214400, Np004G2135500, Np006G3592300, Np006G3546700, Np006G3482700	XP_020876164.1, XP_020889278.1
OG0000072	Np002G0772500, Np004G2176900, Np006G3362700, Np002G0796100, Np001G0490300, Np008G4256100, Np001G0651800, Np002G1002300, Np005G3189400, Np007G3836600, Np006G3485300, Np004G2112600	XP_020891624.1
OG0000073	Np003G1524100	XP_020866212.1, XP_020881839.1
OG0000074	Np001G0425700, Np002G0733000	XP_020874556.1
OG0000075	Np005G2617300	XP_002868917.2
OG0000076	Np005G2608900	XP_020872718.1
OG0000077	Np002G0927000	XP_020891534.1
OG0000077	Np001G0381300	XP_020869035.1
OG0000077	Np002G1125900	XP_002894680.1
OG0000077	Np002G1121700	XP_020891276.1
OG0000077	Np001G0247700	XP_020880678.1
OG0000078	Np007G4214700	XP_020887050.1
OG0000078	Np003G1454400	XP_020877805.1, XP_020877807.1
OG0000079	Np004G2051400, Np004G2152100, Np004G2296400, Np004G2253500	XP_020866196.1, XP_020866590.1, XP_020884659.1, XP_020866719.1, XP_020869681.1, XP_020880717.1, XP_020866201.1, XP_020881865.1, XP_020878083.1
OG0000080	Np002G1104300	XP_020866750.1
OG0000081	Np004G2188400, Np004G2195900, Np004G2188800, Np007G3988300	XP_020870247.1
OG0000081	Np005G2602400	XP_020879148.1, XP_020865942.1, XP_020889237.1, XP_002874062.1, XP_020882894.1
OG0000082	Np001G0452000	XP_020880759.1
OG0000082	Np005G2743400	XP_020878439.1
OG0000084	Np007G3915500	XP_020874751.1, XP_020876480.1
OG0000086	Np005G3126500	XP_002868825.1
OG0000086	Np005G3126400, Np005G3126800, Np005G3126700, Np005G3127000	XP_002870579.2
OG0000086	Np002G0867100	XP_020889890.1, XP_020889891.1
OG0000089	Np001G0109800	XP_020879374.1
OG0000089	Np005G2870600	XP_020871804.1
OG0000089	Np001G0070200	XP_020880680.1
OG0000089	Np006G3501600, Np008G4281600	XP_020883550.1
OG0000089	Np003G1391100	XP_002873559.1
OG0000089	Np001G0399300	XP_002863588.1
OG0000089	Np005G2871200	XP_020872103.1
OG0000089	Np002G0774400	XP_020890671.1
OG0000090	Np006G3523700	XP_020868126.1
OG0000091	Np001G0389100, Np001G0389700	XP_002880903.1
OG0000091	Np003G1487100	XP_020878730.1
OG0000091	Np001G0528700	XP_002864053.1
OG0000095	Np006G3650500, Np006G3650700	XP_020884025.1
OG0000095	Np006G3649600	XP_020884027.1
OG0000095	Np006G3660300	XP_020883521.1, XP_020884655.1, XP_002878787.2
OG0000095	Np006G3650300	XP_020885162.1
OG0000095	Np006G3650400, Np006G3654500, Np006G3650200, Np006G3660600	XP_002880755.1, XP_002880625.1, XP_002880565.1, XP_020884335.1
OG0000096	Np007G3952900, Np002G0789300, Np002G0783300, Np007G3906500, Np007G3813600, Np007G3828000, Np007G3827900, Np007G3802100, Np007G3815700, Np007G3816700, Np004G1968900, Np002G1192600, Np004G1989000, Np004G1955200, Np004G1945900, Np004G1963100, Np004G1955300	XP_020889406.1
OG0000096	Np007G3726500	XP_002872691.1
OG0000098	Np007G3899100	XP_002883751.1, XP_002883752.1, XP_020887764.1, XP_020889445.1
OG0000098	Np004G2594800	XP_020865728.1
OG0000098	Np007G3793600	XP_002883835.2
OG0000098	Np001G0116500, Np001G0115500	XP_002893476.1, XP_020869068.1, XP_020885549.1
OG0000100	Np002G1233700	XP_020890843.1
OG0000100	Np004G2064500	XP_002886645.1
OG0000100	Np002G1231900	XP_002887938.1, XP_020891283.1, XP_020891541.1, XP_020875192.1, XP_020890033.1, XP_020866259.1, XP_002886080.1, XP_020868270.1
OG0000101	Np003G1683400	XP_020883425.1
OG0000102	Np003G1716100	XP_020876465.1
OG0000102	Np003G1850400	XP_002874844.1
OG0000102	Np003G1850200	XP_020876795.1, XP_002865915.2
OG0000102	Np003G1795300	XP_002874852.1
OG0000102	Np003G1849500, Np003G1850000	XP_002874842.1
OG0000106	Np001G0513300, Np003G1588100, Np005G2609700, Np005G2802400, Np003G1396400, Np005G3054500, Np006G3285100, Np004G1932400, Np002G1206600, Np002G0931500, Np004G2006800, Np006G3285600, Np006G3356100, Np002G0934000, Np001G0450200, Np001G0254300, Np001G0468300, Np003G1838400, Np002G1216700, Np001G0108100, Np004G2551200, Np004G1924900, Np003G1364100, Np004G1973500, Np001G0080600	XP_020871478.1, XP_020889746.1
OG0000107	Np005G3056200	XP_002863839.1, XP_002870247.1
OG0000107	Np007G3984300	XP_002883228.1
OG0000108	Np001G0565800	XP_002879684.1, XP_020880453.1, XP_020883890.1
OG0000108	Np007G4093400	XP_020888275.1
OG0000108	Np003G1360400	XP_020876820.1
OG0000108	Np007G3950400	XP_020867828.1, XP_002883150.1
OG0000109	Np001G0341500	XP_020882760.1
OG0000109	Np002G1184600, Np005G2935200, Np007G4014300, Np005G2978600, Np006G3449000, Np003G1723900, Np003G1723300, Np003G1723600, Np011G4357100, Np002G1174400, Np008G4281000, Np002G1033400	XP_020890904.1, XP_020877271.1, XP_020882612.1, XP_020875736.1, XP_020885842.1, XP_020884945.1, XP_020877184.1, XP_020882660.1, XP_020866785.1, XP_020888645.1, XP_020871279.1, XP_020885342.1, XP_020881978.1, XP_020865755.1, XP_002877246.2, XP_020872649.1
OG0000110	Np002G1086700, Np005G2909800, Np002G1161200, Np004G2113400, Np005G3033600, Np002G0891500, Np007G4015500, Np008G4289300	XP_002879052.1, XP_002886934.1, XP_020866137.1, XP_002872380.1, XP_020876048.1, XP_002876861.2, XP_002886930.1, XP_002886812.1, XP_002894139.1, XP_002865673.1, XP_002866863.2
OG0000111	Np005G3154700	XP_002875482.1
OG0000111	Np005G3138900, Np001G0444800	XP_020865753.1
OG0000114	Np002G1018000	XP_020885335.1, XP_020881794.1, XP_020882022.1
OG0000116	Np002G1124800	XP_002893409.1, XP_020871442.1, XP_020883597.1
OG0000117	Np004G2300400	XP_002893298.1
OG0000117	Np004G2300300	XP_002893302.1
OG0000117	Np004G2300200	XP_002893290.1, XP_002893291.1
OG0000118	Np002G0786200	XP_020891300.1, XP_002888470.1, XP_020877537.1
OG0000118	Np004G1992500, Np006G3383100	XP_020888665.1, XP_002885502.1, XP_020886930.1
OG0000119	Np001G0493200	XP_020881834.1, XP_020876007.1
OG0000122	Np003G1578500	XP_020865748.1
OG0000123	Np003G1843300	XP_002864096.1
OG0000124	Np005G3180200	XP_020875630.1
OG0000125	Np004G2519400	XP_020870885.1
OG0000125	Np004G1951700	XP_020866497.1
OG0000125	Np004G1951500	XP_020870264.1, XP_020870260.1, XP_020870269.1
OG0000125	Np004G1951600	XP_020870262.1
OG0000125	Np007G3813400	XP_020886058.1
OG0000126	Np006G3613200	XP_020885553.1
OG0000126	Np002G0902700	XP_020888411.1
OG0000126	Np007G3882700	XP_020872581.1
OG0000126	Np004G2191600	XP_020871413.1
OG0000127	Np003G1510700	XP_002874101.1
OG0000127	Np006G3371500	XP_020885803.1
OG0000127	Np003G1523500	XP_020872447.1, XP_002864658.2, XP_020880863.1
OG0000127	Np006G3598300	XP_002879182.1
OG0000128	Np001G0644700	XP_020880511.1
OG0000128	Np001G0644900	XP_020880525.1
OG0000128	Np001G0644500	XP_020891638.1, XP_002870336.2, XP_020880503.1
OG0000129	Np002G0866100	XP_020890882.1
OG0000129	Np005G3118200	XP_020890883.1
OG0000129	Np001G0064000, Np001G0063300	XP_020884859.1
OG0000130	Np006G3485400	XP_002878891.2
OG0000132	Np001G0583700	XP_020880888.1
OG0000132	Np001G0060300	XP_020871481.1, XP_020883459.1
OG0000132	Np005G3117900, Np005G3137200, Np005G3137300, Np005G3137400	XP_020871248.1, XP_020872039.1, XP_020873181.1, XP_020875462.1
OG0000134	Np003G1378400	XP_020879464.1, XP_020879441.1, XP_002863119.2, XP_020875295.1, XP_020875315.1, XP_002873501.1
OG0000137	Np003G1600500	XP_002866093.1
OG0000137	Np003G1602200	XP_020872432.1, XP_020871893.1
OG0000137	Np003G1596700	XP_002891107.2
OG0000137	Np003G1602000, Np003G1601500, Np003G1600700	XP_020870474.1
OG0000137	Np003G1602100	XP_002866092.1
OG0000137	Np003G1602400	XP_020872008.1
OG0000140	Np001G0509300, Np001G0524900	XP_020890722.1
OG0000141	Np002G1165900	XP_020891049.1, XP_020891221.1
OG0000148	Np004G1960900, Np004G1960800	XP_020868378.1, XP_020868376.1
OG0000148	Np001G0107700	XP_020888855.1
OG0000150	Np002G1102100, Np006G3465100, Np005G2952600	XP_020889706.1, XP_020866739.1
OG0000151	Np001G0586800	XP_002878017.1
OG0000151	Np006G3339200	XP_002881649.1
OG0000151	Np001G0586700	XP_002878016.1
OG0000151	Np001G0563500	XP_020880621.1
OG0000151	Np006G3374700	XP_020884903.1
OG0000151	Np003G1404000	XP_002871574.1
OG0000153	Np004G2521100	XP_020866558.1
OG0000154	Np004G1998200	XP_020879595.1, XP_020877958.1
OG0000154	Np004G1963300	XP_020867950.1, XP_020867947.1
OG0000154	Np004G1963200	XP_020866200.1
OG0000157	Np006G3350500, Np003G1450700	XP_020889806.1
OG0000157	Np005G3104600, Np005G3104800, Np005G3107600	XP_020866682.1
OG0000158	Np005G2867000, Np005G2866500	XP_020873114.1
OG0000158	Np001G0700500	XP_002869017.2
OG0000158	Np003G1292700	XP_020873567.1, XP_020873647.1, XP_002869930.1
OG0000158	Np005G2956600	XP_020883421.1
OG0000158	Np001G0283500, Np001G0283800, Np001G0282900, Np007G4061200	XP_020877947.1
OG0000158	Np004G2036800, Np004G2174600, Np004G1934200	XP_002894673.1, XP_002868325.2
OG0000160	Np007G3739600	XP_020888881.1
OG0000160	Np005G2740000	XP_020872380.1
OG0000160	Np003G1560700	XP_020870964.1
OG0000160	Np007G3899700	XP_020889051.1
OG0000160	Np001G0430500	XP_020882578.1
OG0000160	Np002G0711700	XP_020890865.1
OG0000162	Np006G3577700	XP_002863691.1
OG0000162	Np007G3727700	XP_020888514.1
OG0000162	Np001G0244800	XP_002883663.1, XP_020887605.1
OG0000162	Np006G3578300	XP_002879439.1, XP_002879438.1
OG0000164	Np003G1679900, Np005G3087000, Np006G3688300, Np004G2138100, Np003G1793900	XP_020875554.1
OG0000165	Np002G1201100, Np002G1201400, Np002G1201300, Np002G1201200	XP_002883872.1
OG0000165	Np003G1813000, Np003G1781700, Np003G1822600, Np003G1800900, Np003G1781600, Np003G1801300, Np003G1801500, Np007G4108400	XP_002870492.1
OG0000166	Np007G3748700	XP_020885127.1
OG0000167	Np007G3808900	XP_020888465.1, XP_020886358.1, XP_020886753.1
OG0000167	Np007G3810100, Np007G3810500	XP_020886949.1, XP_020886948.1
OG0000169	Np004G2006300, Np004G2270200, Np001G0564500	XP_020868436.1, XP_002894040.2
OG0000169	Np004G2270300	XP_020883080.1
OG0000170	Np001G0667900	XP_002878356.2
OG0000171	Np003G1641800	XP_002865968.1
OG0000171	Np002G1239200	XP_002887912.1
OG0000171	Np007G3768900	XP_020888018.1
OG0000171	Np003G1582900	XP_020891046.1
OG0000171	Np005G2770300	XP_002867477.1
OG0000172	Np003G1644100, Np006G3712300, Np004G1991300, Np004G1900300	XP_020874182.1
OG0000173	Np005G2621400	XP_002868934.1
OG0000173	Np001G0199900	XP_002866926.1, XP_020872385.1, XP_020874945.1
OG0000174	Np002G1029900	XP_002877435.1, XP_020876203.1, XP_002885691.1, XP_020877212.1, XP_020866195.1
OG0000175	Np003G1416000	XP_002871626.1
OG0000176	Np007G4189400	XP_020883479.1, XP_020883055.1, XP_020882682.1, XP_020882656.1
OG0000176	Np002G0837300, Np002G0837100	XP_020891687.1
OG0000177	Np002G0868200, Np007G3897800, Np002G0760200	XP_020877970.1, XP_020869475.1
OG0000178	Np003G1833700	XP_002874799.1
OG0000178	Np003G1835100	XP_002872696.1
OG0000178	Np003G1835200	XP_020877648.1
OG0000178	Np003G1834900, Np003G1834200	XP_002872697.1
OG0000182	Np001G0465800, Np003G1776200	XP_020880330.1, XP_020880329.1
OG0000182	Np002G0821500	XP_020870824.1
OG0000182	Np003G1557500, Np007G3723300	XP_020880890.1
OG0000183	Np005G3124900	XP_002888498.1, XP_002870564.1
OG0000183	Np006G3615500	XP_020877395.1, XP_002879035.1
OG0000184	Np007G3824400, Np007G3829200	XP_020885996.1, XP_020886141.1
OG0000184	Np007G3795700	XP_002885573.2
OG0000185	Np001G0633400, Np001G0633500, Np004G2438100, Np004G2439800, Np004G2439100	XP_002886961.1
OG0000185	Np001G0026600, Np001G0030000, Np001G0688200	XP_020870626.1, XP_002891127.1, XP_002891130.1, XP_002862875.1, XP_002876919.1, XP_020869863.1
OG0000188	Np007G4202700	XP_020874302.1
OG0000188	Np007G4208500	XP_002884435.1
OG0000188	Np007G4202800, Np004G1955500	XP_020888830.1
OG0000188	Np001G0338100	XP_002882369.2, XP_002882368.1
OG0000189	Np005G2675300	XP_020873047.1
OG0000189	Np007G3769000	XP_002869113.1
OG0000189	Np002G0772800	XP_002887616.1
OG0000189	Np004G2354100	XP_020870471.1
OG0000192	Np005G2794900	XP_020873611.1
OG0000192	Np004G2432200	XP_002877382.2
OG0000193	Np007G3913400	XP_002885152.1
OG0000195	Np007G3730700	XP_020874961.1
OG0000197	Np004G2439300, Np002G1112700	XP_020872595.1
OG0000197	Np005G2896400, Np001G0033100	XP_020872593.1
OG0000197	Np005G2896800	XP_020872359.1
OG0000197	Np004G2022400	XP_002869981.2
OG0000198	Np001G0273200, Np001G0273100	XP_002870338.1, XP_020881007.1
OG0000198	Np006G3633600, Np003G1742600	XP_020869542.1, XP_002890920.1
OG0000198	Np004G2415000	XP_002892838.1, XP_020869981.1
OG0000198	Np004G2414700	XP_020869449.1
OG0000198	Np005G2833600	XP_020882067.1
OG0000199	Np007G3776000, Np007G3775100, Np006G3307800	XP_002891717.1
OG0000199	Np004G2471000, Np004G2469700, Np004G2471600, Np004G2469900, Np004G2460000	XP_020874321.1, XP_020877798.1, XP_002871796.1, XP_020874322.1, XP_020874320.1
OG0000200	Np004G2544000	XP_020870342.1
OG0000200	Np004G2543900	XP_020870343.1
OG0000200	Np004G2143200, Np004G2141700, Np003G1654700	XP_020870363.1
OG0000200	Np004G2141600, Np004G2143500	XP_020870362.1, XP_020870365.1
OG0000202	Np007G3890500	XP_020879031.1, XP_020876211.1, XP_020889753.1, XP_020877177.1, XP_020876186.1, XP_020877218.1
OG0000202	Np007G3758700	XP_020891504.1
OG0000203	Np005G3179800	XP_020880616.1
OG0000203	Np001G0632300	XP_020880586.1
OG0000203	Np001G0631800	XP_020880584.1
OG0000209	Np003G1366500	XP_002871416.1
OG0000210	Np006G3250000	XP_020882964.1, XP_020884580.1
OG0000210	Np002G1162900	XP_020891301.1
OG0000210	Np006G3639200	XP_020884667.1
OG0000211	Np007G4123400	XP_020866913.1
OG0000214	Np004G2167500	XP_020881499.1
OG0000215	Np007G4021500, Np002G1038000	XP_020874119.1, XP_020871428.1, XP_020866215.1, XP_020884668.1, XP_002870431.1, XP_020880707.1, XP_002863144.2, XP_002893840.2
OG0000215	Np002G0864000	XP_020869481.1
OG0000216	Np002G1121800	XP_020865893.1
OG0000216	Np001G0606300, Np001G0606400	XP_002876368.2
OG0000218	Np001G0082600, Np005G2949200, Np005G2921000, Np002G0962900, Np002G0922800	XP_020877744.1, XP_020872551.1, XP_020882165.1, XP_020881105.1
OG0000219	Np001G0161000	XP_020872035.1
OG0000219	Np002G0871700	XP_020887839.1
OG0000224	Np002G1042200, Np004G2182200, Np002G1208000, Np002G0965300, Np009G4293100	XP_020876947.1
OG0000225	Np002G0730800	XP_020890466.1
OG0000225	Np002G0730400	XP_020889768.1
OG0000227	Np006G3524200, Np006G3524300	XP_020886550.1, XP_020887062.1, XP_020888212.1, XP_020886582.1, XP_020877841.1
OG0000229	Np006G3473000	XP_002877248.2
OG0000229	Np002G1043000	XP_020866248.1, XP_002875577.1
OG0000230	Np001G0641400	XP_020880534.1
OG0000230	Np001G0642200	XP_020875151.1
OG0000233	Np003G1335200, Np003G1335300	XP_002873316.1
OG0000233	Np003G1335400	XP_020876210.1, XP_020876208.1
OG0000233	Np003G1335100	XP_002873315.1
OG0000233	Np003G1334700, Np003G1334800, Np003G1334900, Np005G2911800	XP_002873312.1, XP_020877613.1, XP_020876205.1
OG0000235	Np003G1886600, Np003G1804500	XP_020877394.1
OG0000235	Np005G3142900	XP_020885592.1, XP_020883752.1, XP_002862453.1, XP_002891517.1
OG0000235	Np005G3191700, Np005G3191200	XP_020868439.1, XP_002874400.1
OG0000236	Np002G0865900, Np002G0866200, Np002G0866000	XP_020886731.1
OG0000236	Np007G3825000	XP_020865699.1
OG0000236	Np003G1773300	XP_020878466.1, XP_020876131.1
OG0000237	Np006G3664800, Np005G3024700	XP_020881383.1
OG0000237	Np007G3814600	XP_002885438.2
OG0000238	Np002G0845300	XP_020872592.1, XP_002888798.1
OG0000238	Np004G2309500	XP_002872296.1, XP_002874413.1
OG0000241	Np005G2864100	XP_020873759.1
OG0000241	Np003G1837500	XP_002872711.1
OG0000242	Np007G4179600	XP_020871231.1
OG0000242	Np001G0141900	XP_020879188.1
