Orthogroup	Noccaea_praecox	Rorippa_islandica
OG0000016	Np007G3999600	Roisl.0209s0119.1.p
OG0000016	Np002G1015800	Roisl.0065s0009.1.p, Roisl.0111s0013.1.p
OG0000016	Np002G1086100	Roisl.0209s0020.1.p, Roisl.0210s2085.1.p
OG0000016	Np004G2184400	Roisl.0014s0097.1.p, Roisl.0037s0046.1.p, Roisl.0015s0198.1.p, Roisl.0008s0038.1.p, Roisl.0055s0054.1.p, Roisl.0021s0633.1.p, Roisl.0045s0102.1.p
OG0000016	Np002G1003300	Roisl.0204s0001.1.p, Roisl.0058s0101.1.p, Roisl.0087s0001.1.p, Roisl.0022s0047.1.p, Roisl.0194s0030.1.p, Roisl.0053s0109.1.p, Roisl.0184s0040.1.p, Roisl.0021s0642.1.p, Roisl.0066s0152.1.p, Roisl.0040s0045.1.p
OG0000016	Np001G0355900	Roisl.0059s0003.1.p, Roisl.0184s0029.1.p, Roisl.0075s0211.1.p, Roisl.0022s0020.1.p, Roisl.0209s0130.1.p, Roisl.0188s0136.1.p
OG0000016	Np002G0990600	Roisl.0087s0018.1.p, Roisl.0021s0624.1.p, Roisl.0191s0694.1.p
OG0000016	Np008G4282100	Roisl.0020s0190.1.p
OG0000020	Np005G2821900, Np005G2821200	Roisl.0025s0020.1.p, Roisl.0204s0053.1.p, Roisl.0066s0088.1.p, Roisl.0036s0054.1.p, Roisl.0040s0004.1.p, Roisl.0214s0552.1.p, Roisl.0194s0048.1.p
OG0000020	Np003G1713100	Roisl.0210s2188.1.p, Roisl.0083s0053.1.p
OG0000021	Np002G1064200, Np002G0964900, Np003G1389200, Np005G3017500, Np007G3934300, Np003G1720200	Roisl.0213s0355.1.p, Roisl.0006s0361.1.p, Roisl.0046s0769.1.p, Roisl.0066s0388.1.p, Roisl.0032s0086.1.p, Roisl.0005s0191.1.p, Roisl.0214s0300.1.p, Roisl.0072s0013.1.p, Roisl.0185s0094.1.p, Roisl.0188s0063.1.p, Roisl.0011s0031.1.p, Roisl.0191s0373.1.p
OG0000022	Np005G3189900	Roisl.0009s0109.1.p
OG0000024	Np004G1980700, Np004G1980500	Roisl.0015s0178.1.p
OG0000024	Np004G2150800	Roisl.0213s0365.1.p, Roisl.0213s0382.1.p, Roisl.0213s0370.1.p, Roisl.0213s0366.1.p, Roisl.0213s0367.1.p
OG0000024	Np001G0579500, Np001G0579400	Roisl.0026s0117.1.p, Roisl.0026s0135.1.p
OG0000024	Np004G2148800, Np004G2148600, Np005G2717400	Roisl.0011s0535.1.p, Roisl.0011s0534.1.p, Roisl.0006s0183.1.p
OG0000025	Np003G1727000	Roisl.0213s0858.1.p, Roisl.0022s0006.1.p
OG0000026	Np002G1023700, Np003G1714900, Np004G2296200, Np002G1036400, Np006G3505400, Np002G0982000, Np002G0982200, Np004G2241900, Np002G1073000, Np002G1127100, Np004G2249100, Np002G1005400, Np001G0243300, Np002G0966100, Np004G2247000, Np001G0260700, Np002G1000900, Np004G2249200, Np006G3466700, Np001G0460600, Np001G0205400, Np002G1009300, Np006G3527300, Np001G0460700, Np003G1715000	Roisl.0213s0871.1.p
OG0000027	Np003G1806500	Roisl.0213s0580.1.p, Roisl.0213s0582.1.p
OG0000027	Np005G2839100	Roisl.0184s0129.1.p
OG0000027	Np005G2841300	Roisl.0214s0896.1.p
OG0000027	Np005G2840800	Roisl.0008s0076.1.p
OG0000027	Np005G2840200	Roisl.0012s0193.1.p, Roisl.0008s0072.1.p
OG0000028	Np003G1643200	Roisl.0080s0376.1.p, Roisl.0075s0120.1.p, Roisl.0001s0071.1.p, Roisl.0075s0080.1.p, Roisl.0075s0121.1.p
OG0000028	Np006G3533600, Np006G3532900, Np006G3474900, Np006G3473800, Np006G3703700, Np006G3698600, Np003G1462900, Np006G3474200, Np006G3698100, Np006G3696700	Roisl.0008s0342.1.p
OG0000028	Np001G0479800, Np001G0480000	Roisl.0091s1124.1.p
OG0000028	Np007G3822800, Np007G3818000, Np007G3823400	Roisl.0024s0660.1.p
OG0000029	Np003G1680700, Np003G1751100	Roisl.0046s0705.1.p
OG0000030	Np001G0090700	Roisl.0213s0186.1.p
OG0000030	Np004G2249500, Np004G2249800	Roisl.0021s0166.1.p, Roisl.0091s0622.1.p, Roisl.0074s0641.1.p
OG0000030	Np004G2250000	Roisl.0046s0886.1.p
OG0000030	Np007G4070000	Roisl.0074s0618.1.p
OG0000031	Np002G0985700	Roisl.0020s0186.1.p
OG0000031	Np006G3345400	Roisl.0020s0022.1.p, Roisl.0184s0020.1.p, Roisl.0204s0107.1.p
OG0000032	Np004G2267500	Roisl.0021s0539.1.p
OG0000032	Np002G1024100	Roisl.0005s0192.1.p
OG0000034	Np005G2840700, Np005G2840600	Roisl.0008s0068.1.p
OG0000034	Np005G2841400	Roisl.0214s0895.1.p
OG0000034	Np005G2839700, Np005G2840900	Roisl.0008s0077.1.p
OG0000034	Np005G2841600	Roisl.0214s0904.1.p
OG0000034	Np005G2841500	Roisl.0019s0659.1.p
OG0000034	Np005G2841700	Roisl.0214s0905.1.p
OG0000035	Np004G2088100, Np005G3165600	Roisl.0213s0218.1.p
OG0000035	Np005G2830800, Np002G1134400, Np004G2299800	Roisl.0038s0018.1.p
OG0000035	Np002G0910400	Roisl.0214s0147.1.p
OG0000038	Np007G3978400	Roisl.0046s1475.1.p, Roisl.0209s0432.1.p, Roisl.0046s1474.1.p, Roisl.0055s0039.1.p, Roisl.0024s0539.1.p
OG0000040	Np001G0278000	Roisl.0008s0082.1.p, Roisl.0189s0061.1.p, Roisl.0189s0088.1.p, Roisl.0006s0287.1.p, Roisl.0082s0467.1.p
OG0000040	Np003G1817100, Np006G3694800, Np006G3353400	Roisl.0209s0055.1.p
OG0000040	Np004G1916700, Np002G0779200	Roisl.0008s0099.1.p, Roisl.0188s0108.1.p
OG0000041	Np002G1205400, Np004G2543000	Roisl.0046s0022.1.p
OG0000042	Np004G2161100, Np002G0961400	Roisl.0035s0107.1.p, Roisl.0012s0035.1.p
OG0000042	Np003G1737100	Roisl.0025s0035.1.p, Roisl.0048s0004.1.p
OG0000042	Np002G0963100	Roisl.0028s0881.1.p
OG0000043	Np003G1577100	Roisl.0213s0162.1.p
OG0000043	Np005G2957000	Roisl.0214s0265.1.p
OG0000043	Np002G0951900	Roisl.0082s0570.1.p, Roisl.0066s0301.1.p
OG0000043	Np001G0091300, Np002G1233300, Np003G1487200, Np002G1108100, Np005G2745100	Roisl.0013s0195.1.p
OG0000046	Np004G2388700, Np001G0160700	Roisl.0210s2226.1.p, Roisl.0200s0033.1.p, Roisl.0006s0046.1.p, Roisl.0082s0471.1.p, Roisl.0213s0356.1.p, Roisl.0209s0778.1.p, Roisl.0210s2175.1.p, Roisl.0029s0020.1.p, Roisl.0082s0470.1.p, Roisl.0189s0032.1.p, Roisl.0028s0924.1.p, Roisl.0184s0183.1.p, Roisl.0202s0007.1.p, Roisl.0200s0032.1.p, Roisl.0184s0227.1.p, Roisl.0029s0021.1.p, Roisl.0210s2176.1.p, Roisl.0213s0357.1.p, Roisl.0209s0777.1.p, Roisl.0189s0033.1.p
OG0000046	Np002G0812000, Np006G3271700, Np002G0901300, Np007G3942200, Np006G3533700, Np004G2173800, Np007G4037000, Np003G1635500, Np004G2079600, Np005G3093000, Np006G3271600, Np007G4080200, Np005G3032100, Np004G2183100, Np004G2290100, Np002G1005100, Np004G2334400	Roisl.0029s0014.1.p, Roisl.0005s0079.1.p, Roisl.0056s0010.1.p, Roisl.0208s0028.1.p, Roisl.0008s0152.1.p, Roisl.0045s0045.1.p, Roisl.0062s0016.1.p, Roisl.0198s0056.1.p, Roisl.0209s0245.1.p, Roisl.0005s0329.1.p, Roisl.0015s0173.1.p
OG0000047	Np002G1005500	Roisl.0029s0050.1.p, Roisl.0066s0352.1.p, Roisl.0038s0004.1.p, Roisl.0214s0886.1.p
OG0000048	Np006G3565700	Roisl.0214s0362.1.p
OG0000050	Np005G2948800, Np006G3520600, Np001G0383900	Roisl.0008s0345.1.p, Roisl.0025s0047.1.p
OG0000050	Np002G0988200	Roisl.0214s0827.1.p
OG0000050	Np001G0129000, Np001G0129100, Np001G0128800, Np004G2259400, Np004G2435300	Roisl.0020s0012.1.p, Roisl.0214s0245.1.p
OG0000050	Np004G1970300, Np005G2648800, Np001G0275100, Np006G3520500, Np001G0383800, Np003G1895000, Np008G4280900	Roisl.0082s0464.1.p
OG0000051	Np002G1163000	Roisl.0210s2097.1.p
OG0000051	Np002G1229200	Roisl.0082s0147.1.p
OG0000051	Np006G3285800, Np006G3285900, Np006G3286000	Roisl.0028s0722.1.p
OG0000051	Np003G1730300	Roisl.0189s0079.1.p
OG0000052	Np007G4239500	Roisl.0011s0479.1.p
OG0000055	Np006G3336100, Np006G3338700, Np003G1875300	Roisl.0053s0213.1.p, Roisl.0001s0543.1.p, Roisl.0210s1750.1.p, Roisl.0210s1827.1.p
OG0000055	Np007G3923100, Np007G3922500	Roisl.0074s0202.1.p, Roisl.0053s0284.1.p
OG0000055	Np007G3753300	Roisl.0066s0141.1.p, Roisl.0066s0140.1.p, Roisl.0028s0608.1.p
OG0000056	Np002G1194100	Roisl.0209s0767.1.p
OG0000056	Np002G0830700	Roisl.0209s0613.1.p, Roisl.0209s0764.1.p
OG0000056	Np002G1191800, Np002G1192300, Np002G1195300	Roisl.0209s0615.1.p, Roisl.0209s0596.1.p, Roisl.0209s0605.1.p
OG0000056	Np005G3136000, Np001G0467300	Roisl.0209s0402.1.p
OG0000059	Np001G0402100, Np005G3113000, Np006G3274400	Roisl.0019s0251.1.p
OG0000059	Np006G3486400, Np005G2888900, Np005G3047300, Np007G3954600, Np003G1666900, Np003G1673900, Np005G2877500	Roisl.0209s0123.1.p, Roisl.0214s0002.1.p
OG0000059	Np003G1667800, Np001G0392300, Np001G0082700	Roisl.0019s0008.1.p, Roisl.0027s0012.1.p, Roisl.0214s0427.1.p, Roisl.0018s0107.1.p, Roisl.0010s0148.1.p, Roisl.0214s0190.1.p
OG0000060	Np004G2515700, Np006G3598500	Roisl.0209s0337.1.p
OG0000060	Np001G0456200	Roisl.0091s1062.1.p
OG0000060	Np006G3370300	Roisl.0017s0101.1.p
OG0000061	Np006G3342300	Roisl.0002s0176.1.p, Roisl.0210s2205.1.p
OG0000061	Np002G1245500	Roisl.0033s0004.1.p
OG0000065	Np002G0937300	Roisl.0024s0070.1.p
OG0000065	Np005G3132500	Roisl.0213s0853.1.p
OG0000065	Np005G3146600	Roisl.0213s0852.1.p
OG0000066	Np004G2500100, Np003G1367200	Roisl.0024s0428.1.p
OG0000066	Np007G3771600	Roisl.0001s0457.1.p
OG0000068	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600	Roisl.0034s0163.1.p
OG0000069	Np006G3706900, Np006G3707500	Roisl.0115s0002.1.p
OG0000069	Np007G3833600	Roisl.0213s0875.1.p
OG0000069	Np002G1204500, Np002G1174500, Np004G2201300	Roisl.0017s0161.1.p
OG0000069	Np004G2374300, Np004G2572500, Np004G2541100, Np004G2541500	Roisl.0210s0292.1.p, Roisl.0188s0098.1.p
OG0000069	Np004G2313200, Np001G0593200, Np001G0592800, Np001G0596200, Np001G0586900, Np001G0599500	Roisl.0074s0568.1.p
OG0000069	Np005G2913000, Np005G2913300, Np005G2926900, Np005G2926800, Np005G2912900, Np005G2946700, Np005G2913400	Roisl.0055s0038.1.p
OG0000070	Np007G3899300, Np001G0248800	Roisl.0021s0078.1.p, Roisl.0011s0203.1.p, Roisl.0011s0205.1.p
OG0000070	Np004G2353400	Roisl.0007s0115.1.p
OG0000070	Np001G0364300, Np001G0366000, Np001G0526100, Np001G0525900, Np002G0771400	Roisl.0004s0297.1.p
OG0000074	Np001G0425700, Np002G0733000	Roisl.0054s0034.1.p
OG0000075	Np006G3607400, Np003G1743500, Np003G1743600, Np003G1743200	Roisl.0214s0076.1.p
OG0000075	Np005G2617300	Roisl.0001s0515.1.p, Roisl.0002s0267.1.p, Roisl.0002s0266.1.p, Roisl.0001s0513.1.p
OG0000075	Np004G2247300	Roisl.0046s0019.1.p
OG0000076	Np005G2608900	Roisl.0115s0707.1.p
OG0000077	Np001G0386200	Roisl.0012s0354.1.p
OG0000077	Np002G0927000	Roisl.0024s0105.1.p
OG0000077	Np001G0381300	Roisl.0005s0356.1.p, Roisl.0005s0357.1.p, Roisl.0005s0358.1.p, Roisl.0005s0330.1.p, Roisl.0213s0591.1.p, Roisl.0213s0589.1.p
OG0000077	Np002G1125900	Roisl.0214s0841.1.p, Roisl.0214s0839.1.p
OG0000077	Np002G1120200	Roisl.0214s0840.1.p
OG0000077	Np002G1121700	Roisl.0214s0808.1.p
OG0000077	Np001G0247700	Roisl.0011s0232.1.p, Roisl.0011s0236.1.p, Roisl.0011s0227.1.p, Roisl.0011s0212.1.p, Roisl.0011s0224.1.p, Roisl.0011s0218.1.p
OG0000077	Np002G1126100	Roisl.0214s0806.1.p
OG0000077	Np001G0381400	Roisl.0005s0364.1.p
OG0000078	Np007G4214700	Roisl.0016s0324.1.p
OG0000079	Np004G2152100, Np004G2296400	Roisl.0001s0523.1.p, Roisl.0115s0647.1.p, Roisl.0006s0142.1.p
OG0000079	Np004G2253500	Roisl.0214s0213.1.p, Roisl.0211s0009.1.p
OG0000079	Np004G2253600	Roisl.0091s0481.1.p, Roisl.0058s0024.1.p
OG0000081	Np005G2602400	Roisl.0206s0028.1.p, Roisl.0036s0071.1.p, Roisl.0209s0160.1.p, Roisl.0038s0020.1.p, Roisl.0020s0165.1.p
OG0000082	Np006G3323100	Roisl.0028s0038.1.p, Roisl.0056s0001.1.p, Roisl.0020s0081.1.p, Roisl.0214s0040.1.p
OG0000083	Np010G4344800, Np003G1476800	Roisl.0209s0532.1.p
OG0000084	Np007G3915500	Roisl.0189s0055.1.p
OG0000086	Np005G3126500	Roisl.0032s0023.1.p, Roisl.0032s0021.1.p, Roisl.0032s0018.1.p, Roisl.0032s0016.1.p
OG0000086	Np002G0950000	Roisl.0032s0025.1.p
OG0000086	Np005G3126400, Np005G3126800, Np005G3126700, Np005G3127000	Roisl.0214s0709.1.p
OG0000086	Np005G3127100	Roisl.0032s0015.1.p
OG0000089	Np001G0109800	Roisl.0210s2052.1.p
OG0000089	Np005G2870600	Roisl.0024s0139.1.p
OG0000089	Np001G0070200	Roisl.0209s0395.1.p
OG0000089	Np006G3501600, Np008G4281600	Roisl.0082s0748.1.p
OG0000089	Np003G1391100	Roisl.0210s0950.1.p
OG0000089	Np001G0399300	Roisl.0012s0263.1.p
OG0000089	Np005G2871200	Roisl.0091s0246.1.p
OG0000089	Np002G0774400	Roisl.0004s0314.1.p
OG0000090	Np004G2177700, Np003G1831100	Roisl.0072s0004.1.p, Roisl.0082s0485.1.p
OG0000090	Np005G2971200, Np007G4113900, Np006G3546200, Np003G1792600, Np004G1961100, Np002G0878100, Np007G3883300	Roisl.0214s0111.1.p, Roisl.0195s0023.1.p, Roisl.0020s0036.1.p
OG0000090	Np004G2304300	Roisl.0053s0434.1.p, Roisl.0115s0613.1.p, Roisl.0013s0212.1.p, Roisl.0005s0146.1.p, Roisl.0213s0677.1.p, Roisl.0055s0040.1.p, Roisl.0184s0124.1.p, Roisl.0209s0078.1.p, Roisl.0188s0027.1.p, Roisl.0210s2141.1.p, Roisl.0189s0077.1.p, Roisl.0048s0025.1.p, Roisl.0214s0266.1.p, Roisl.0037s0059.1.p, Roisl.0189s0230.1.p, Roisl.0029s0078.1.p, Roisl.0209s0509.1.p, Roisl.0214s0183.1.p, Roisl.0045s0052.1.p
OG0000091	Np003G1487100	Roisl.0070s0019.1.p, Roisl.0210s1772.1.p, Roisl.0210s1773.1.p
OG0000091	Np001G0528700	Roisl.0214s0193.1.p
OG0000095	Np006G3650500, Np006G3650700	Roisl.0214s0044.1.p, Roisl.0214s0043.1.p
OG0000095	Np006G3649600	Roisl.0214s0042.1.p
OG0000095	Np006G3660300	Roisl.0027s0067.1.p, Roisl.0214s0005.1.p, Roisl.0214s0003.1.p, Roisl.0214s0031.1.p, Roisl.0214s0037.1.p
OG0000095	Np006G3650400, Np006G3654500, Np006G3650200, Np006G3660600	Roisl.0053s0054.1.p, Roisl.0214s0035.1.p, Roisl.0023s0040.1.p, Roisl.0004s0005.1.p
OG0000096	Np007G3952900, Np002G0789300, Np002G0783300, Np007G3906500, Np007G3813600, Np007G3828000, Np007G3827900, Np007G3802100, Np007G3815700, Np007G3816700, Np004G1968900, Np002G1192600, Np004G1989000, Np004G1955200, Np004G1945900, Np004G1963100, Np004G1955300	Roisl.0028s0009.1.p, Roisl.0028s0010.1.p
OG0000096	Np007G3726500	Roisl.0074s0977.1.p
OG0000098	Np005G3053200, Np001G0115600	Roisl.0038s0014.1.p
OG0000098	Np004G2594800	Roisl.0050s0022.1.p, Roisl.0050s0026.1.p, Roisl.0050s0027.1.p
OG0000098	Np007G3793600	Roisl.0040s0006.1.p
OG0000098	Np001G0116500, Np001G0115500	Roisl.0006s0130.1.p, Roisl.0066s0082.1.p
OG0000098	Np002G0990300, Np002G0990900, Np002G0990400	Roisl.0038s0015.1.p, Roisl.0038s0016.1.p
OG0000100	Np002G1237300	Roisl.0050s0110.1.p, Roisl.0008s0047.1.p, Roisl.0008s0045.1.p, Roisl.0021s0634.1.p
OG0000100	Np004G2064500	Roisl.0214s0639.1.p
OG0000100	Np002G1231900	Roisl.0214s0220.1.p
OG0000101	Np003G1683400	Roisl.0062s0015.1.p, Roisl.0209s0004.1.p, Roisl.0115s0296.1.p, Roisl.0188s0009.1.p
OG0000102	Np003G1850200	Roisl.0082s0310.1.p, Roisl.0214s0910.1.p
OG0000102	Np003G1795300	Roisl.0082s0308.1.p
OG0000102	Np003G1849500, Np003G1850000	Roisl.0082s0306.1.p
OG0000105	Np002G0893200	Roisl.0005s0168.1.p
OG0000105	Np002G1232000	Roisl.0050s0109.1.p
OG0000105	Np003G1459200	Roisl.0006s0566.1.p
OG0000106	Np001G0133000	Roisl.0046s0419.1.p
