Orthogroup	Noccaea_praecox	Conringia_planisiliqua
OG0000008	Np002G0964800	CP5_g2806_DN2_SP0_c.t1
OG0000009	Np002G0805000	CP18_g12171_DN2_SP0_c.t1
OG0000009	Np001G0414800, Np003G1742400, Np001G0151500, Np001G0364100	CP9_g27891_DN2_SP0_c.t1
OG0000009	Np004G1970200	CP15_g34443_DN2_SP0_c.t1
OG0000009	Np007G3953500	CP1_g39903_DN2_SP0_c.t1, CP3_g15091_DN1_SP0_c.t1
OG0000009	Np003G1663900	CP12_g31672_DN2_SP0_c.t1
OG0000011	Np001G0276300	CP18_g11548_DN1_SP0_c.t1
OG0000011	Np001G0276200	CP15_g35899_DN2_SP0_c.t1
OG0000015	Np001G0295000, Np001G0361200	CP12_g31767_DN3_SP0_c.t1
OG0000015	Np001G0486700	CP3_g15512_DN1_SP0_c.t1
OG0000015	Np007G4026300	CP9_g27744_DN1_SP0_c.t1
OG0000015	Np007G4092100, Np007G4161100	CP31_g46711_DN2_SP0_c.t1, CP7_g44381_DN2_SP0_c.t1
OG0000016	Np008G4282100, Np002G1011300, Np009G4311500	CP24_g47422_DN2_SP0_c.t1
OG0000021	Np005G2819900, Np003G1499900, Np004G2262900, Np003G1806100, Np001G0282400, Np002G1064200, Np002G0964900, Np003G1389200, Np005G3017500, Np007G3934300, Np003G1720200	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1
OG0000023	Np006G3526600, Np006G3415000, Np002G1065700, Np005G3185500, Np002G1007500, Np002G0951100, Np002G1112500, Np002G1180000, Np002G1070000, Np007G4015700, Np002G1103400, Np004G2177800, Np006G3543300, Np005G2842200, Np006G3594200, Np004G2178800, Np003G1712400, Np006G3415100, Np004G2391200, Np010G4349100, Np007G4034700, Np005G2845400, Np003G1695200, Np006G3508300, Np007G4040200, Np005G3091400, Np004G2182900, Np006G3436400, Np002G1005200	CP35_g52033_DN3_SP0_c.t1
OG0000024	Np004G1980700, Np004G1980500	CP2_g48829_DN3_SP0_c.t1
OG0000024	Np001G0579500, Np001G0579400	CP3_g13494_DN2_SP0_c.t1
OG0000026	Np002G1023700, Np003G1714900, Np004G2296200, Np002G1036400, Np006G3505400	CP13_g20815_DN3_SP0_c.t1, CP2_g49593_DN1_SP0_c.t1, CP12_g31225_DN3_SP0_c.t1, CP47_g21233_DN3_SP0_c.t1, CP6_g8604_DN1_SP0_c.t1, CP98_g41597_DN1_SP0_c.t1, CP5_g3430_DN1_SP0_c.t1, CP53_g22292_DN1_SP0_c.t1, CP3_g16558_DN3_SP0_c.t1, CP5_g2206_DN2_SP0_c.t1, CP13_g20693_DN2_SP0_c.t1, CP5_g2172_DN3_SP0_c.t1, CP30_g10047_DN2_SP0_c.t1, CP12_g31518_DN3_SP0_c.t1, CP8_g52462_DN1_SP0_c.t1, CP6_g8834_DN3_SP0_c.t1, CP2_g50599_DN2_SP0_c.t1, CP5_g2195_DN2_SP0_c.t1, CP13_g20401_DN2_SP0_c.t1, CP6_g9301_DN3_SP0_c.t1, CP13_g20788_DN2_SP0_c.t1, CP31_g46751_DN2_SP0_c.t1, CP25_g55852_DN1_SP0_c.t1, CP14_g23533_DN3_SP0_c.t1, CP14_g23215_DN1_SP0_c.t1, CP31_g46690_DN3_SP0_c.t1, CP17_g5112_DN2_SP0_c.t1, CP6_g8299_DN3_SP0_c.t1, CP13_g20402_DN3_SP0_c.t1, CP1_g38785_DN3_SP0_c.t1, CP12_g31428_DN3_SP0_c.t1, CP15_g34701_DN3_SP0_c.t1, CP16_g55448_DN1_SP0_c.t1, CP12_g31561_DN3_SP0_c.t1, CP22_g17082_DN2_SP0_c.t1, CP2_g49627_DN3_SP0_c.t1, CP5_g2181_DN1_SP0_c.t1, CP13_g20683_DN3_SP0_c.t1, CP16_g55627_DN3_SP0_c.t1, CP25_g55794_DN2_SP0_c.t1, CP5_g3238_DN1_SP0_c.t1, CP17_g5496_DN3_SP0_c.t1, CP2_g50449_DN3_SP0_c.t1, CP17_g5596_DN2_SP0_c.t1, CP14_g23436_DN1_SP0_c.t1, CP21_g11163_DN2_SP0_c.t1, CP18_g12000_DN1_SP0_c.t1, CP2_g50743_DN2_SP0_c.t1, CP17_g5983_DN2_SP0_c.t1, CP6_g8924_DN2_SP0_c.t1, CP23_g21572_DN1_SP0_c.t1, CP17_g5297_DN2_SP0_c.t1, CP6_g7636_DN2_SP0_c.t1, CP14_g23306_DN1_SP0_c.t1
OG0000026	Np002G0982000, Np002G0982200, Np004G2241900, Np002G1073000, Np002G1127100, Np004G2249100, Np002G1005400, Np001G0243300, Np002G0966100, Np004G2247000, Np001G0260700, Np002G1000900, Np004G2249200, Np006G3466700	CP14_g23437_DN2_SP0_c.t1, CP12_g31707_DN3_SP0_c.t1, CP12_g31562_DN3_SP0_c.t1, CP17_g5595_DN2_SP0_c.t1
OG0000026	Np001G0460600, Np001G0205400, Np002G1009300, Np006G3527300, Np001G0460700, Np003G1715000	CP9_g27992_DN1_SP0_c.t1, CP15_g35167_DN2_SP0_c.t1, CP8_g52460_DN2_SP0_c.t1, CP9_g27945_DN1_SP0_c.t1, CP17_g5295_DN1_SP0_c.t1, CP18_g12003_DN1_SP0_c.t1, CP14_g23883_DN1_SP0_c.t1, CP15_g34866_DN2_SP0_c.t1, CP56_g20967_DN2_SP0_c.t1, CP12_g31227_DN2_SP0_c.t1, CP6_g8601_DN2_SP0_c.t1, CP1_g41347_DN1_SP0_c.t1, CP6_g9661_DN1_SP0_c.t1, CP13_g20695_DN2_SP0_c.t1, CP25_g55850_DN1_SP0_c.t1, CP16_g55449_DN3_SP0_c.t1, CP219_g10340_DN3_SP0_c.t1, CP1_g40152_DN3_SP0_c.t1, CP1_g38419_DN3_SP0_c.t1, CP2_g49629_DN3_SP0_c.t1, CP1_g40281_DN2_SP0_c.t1, CP12_g31175_DN2_SP0_c.t1, CP17_g5981_DN2_SP0_c.t1, CP12_g31566_DN2_SP0_c.t1, CP15_g35230_DN3_SP0_c.t1, CP21_g11165_DN2_SP0_c.t1, CP4_g26254_DN2_SP0_c.t1, CP25_g55796_DN1_SP0_c.t1, CP13_g20398_DN1_SP0_c.t1, CP17_g5856_DN1_SP0_c.t1, CP6_g7632_DN3_SP0_c.t1, CP16_g55625_DN3_SP0_c.t1, CP18_g12549_DN3_SP0_c.t1, CP5_g3431_DN3_SP0_c.t1, CP1_g41249_DN1_SP0_c.t1, CP102_g10409_DN2_SP0_c.t1, CP14_g23630_DN1_SP0_c.t1, CP13_g20685_DN1_SP0_c.t1, CP148_g19023_DN1_SP0_c.t1, CP103_g21015_DN2_SP0_c.t1, CP98_g41599_DN2_SP0_c.t1, CP3_g16126_DN1_SP0_c.t1, CP14_g23220_DN3_SP0_c.t1
OG0000028	Np003G1832500	CP10_g43844_DN3_SP0_c.t1
OG0000029	Np003G1680700	CP4_g26313_DN1_SP0_c.t1
OG0000029	Np003G1751100	CP6_g8507_DN1_SP0_c.t1, CP15_g35521_DN1_SP0_c.t1, CP3_g15880_DN1_SP0_c.t1
OG0000029	Np002G1063900	CP2_g49681_DN3_SP0_c.t1, CP1_g38511_DN1_SP0_c.t1, CP24_g47109_DN1_SP0_c.t1
OG0000029	Np006G3568700	CP4_g26137_DN1_SP0_c.t1
OG0000029	Np002G1054100, Np003G1452300	CP18_g12498_DN1_SP0_c.t1
OG0000030	Np001G0090700	CP11_g31940_DN3_SP0_c.t1
OG0000030	Np004G2249500, Np004G2249800	CP10_g43326_DN2_SP0_c.t1, CP13_g19590_DN2_SP0_c.t1
OG0000031	Np002G0985700	CP34_g51549_DN2_SP0_c.t1
OG0000031	Np005G2850000	CP15_g34657_DN1_SP0_c.t1, CP15_g34638_DN1_SP0_c.t1, CP15_g34584_DN1_SP0_c.t1, CP15_g34568_DN1_SP0_c.t1
OG0000032	Np004G2267500	CP8_g52855_DN2_SP0_c.t1, CP64_g21090_DN2_SP0_c.t1
OG0000032	Np004G2084400, Np005G3033400	CP1_g40427_DN2_SP0_c.t1
OG0000032	Np004G2267700	CP64_g21088_DN3_SP0_c.t1
OG0000035	Np004G2088000	CP1_g40831_DN3_SP0_c.t1, CP1_g40827_DN3_SP0_c.t1, CP4_g26547_DN1_SP0_c.t1
OG0000035	Np002G1060000, Np001G0383600, Np002G0991100	CP12_g31766_DN2_SP0_c.t1
OG0000035	Np005G2830800, Np002G1134400, Np004G2299800	CP1_g40960_DN1_SP0_c.t1
OG0000035	Np002G0910400	CP4_g26190_DN3_SP0_c.t1
OG0000035	Np005G2829500, Np004G2306200, Np004G2311400, Np004G2256500	CP7_g44169_DN2_SP0_c.t1, CP4_g26175_DN2_SP0_c.t1
OG0000038	Np007G3978400	CP26_g51222_DN2_SP0_c.t1, CP14_g22980_DN1_SP0_c.t1, CP29_g22118_DN1_SP0_c.t1, CP6_g8155_DN1_SP0_c.t1, CP6_g7770_DN1_SP0_c.t1, CP28_g33935_DN3_SP0_c.t1, CP15_g35533_DN1_SP0_c.t1, CP29_g22117_DN1_SP0_c.t1, CP8_g52351_DN2_SP0_c.t1, CP7_g44433_DN3_SP0_c.t1
OG0000039	Np003G1689500, Np008G4259800, Np002G1180600	CP24_g47137_DN2_SP0_c.t1
OG0000040	Np007G4208200	CP5_g2115_DN2_SP0_c.t1
OG0000041	Np002G1205400	CP14_g23587_DN3_SP0_c.t1, CP14_g22620_DN1_SP0_c.t1, CP1_g39917_DN2_SP0_c.t1, CP2_g50284_DN2_SP0_c.t1
OG0000041	Np004G2543000	CP34_g51569_DN2_SP0_c.t1, CP1_g39385_DN3_SP0_c.t1, CP1_g41374_DN2_SP0_c.t1
OG0000042	Np004G2298700	CP8_g52167_DN3_SP0_c.t1, CP5_g3067_DN2_SP0_c.t1, CP37_g11368_DN3_SP0_c.t1
OG0000042	Np004G2161100, Np002G0961400	CP26_g51211_DN3_SP0_c.t1
OG0000042	Np003G1737100	CP6_g9916_DN1_SP0_c.t1
OG0000042	Np006G3478400	CP8_g52519_DN1_SP0_c.t1
OG0000043	Np002G0951900	CP15_g35835_DN2_SP0_c.t1
OG0000043	Np006G3675100	CP1_g41084_DN2_SP0_c.t1
OG0000043	Np002G1248100	CP5_g1995_DN2_SP0_c.t1, CP14_g22990_DN1_SP0_c.t1
OG0000044	Np006G3308500	CP21_g10991_DN3_SP0_c.t1
OG0000046	Np004G2388700, Np001G0160700	CP15_g34716_DN3_SP0_c.t1
OG0000046	Np002G0812000, Np006G3271700, Np002G0901300, Np007G3942200, Np006G3533700, Np004G2173800, Np007G4037000, Np003G1635500, Np004G2079600, Np005G3093000, Np006G3271600, Np007G4080200, Np005G3032100, Np004G2183100, Np004G2290100, Np002G1005100, Np004G2334400	CP1_g39285_DN1_SP0_c.t1, CP8_g52809_DN3_SP0_c.t1
OG0000049	Np001G0451900	CP24_g47339_DN2_SP0_c.t1
OG0000049	Np002G1103100	CP1_g38898_DN1_SP0_c.t1, CP3_g16790_DN1_SP0_c.t1, CP1_g41262_DN3_SP0_c.t1
OG0000050	Np005G2948800, Np006G3520600, Np001G0383900	CP5_g3336_DN1_SP0_c.t1
OG0000050	Np001G0256300	CP4_g26837_DN2_SP0_c.t1, CP3_g16491_DN1_SP0_c.t1
OG0000050	Np007G3953400	CP1_g39907_DN2_SP0_c.t1
OG0000050	Np001G0129000, Np001G0129100, Np001G0128800, Np004G2259400, Np004G2435300, Np001G0374100, Np006G3597400	CP5_g3335_DN2_SP0_c.t1, CP3_g15241_DN1_SP0_c.t1, CP21_g11182_DN2_SP0_c.t1
OG0000051	Np006G3285300, Np006G3285400	CP4_g24481_DN3_SP0_c.t1
OG0000051	Np002G1163000	CP1_g36582_DN3_SP0_c.t1
OG0000051	Np002G1168200	CP2_g49248_DN2_SP0_c.t1
OG0000051	Np006G3284900	CP4_g24480_DN3_SP0_c.t1
OG0000051	Np003G1730300	CP4_g24479_DN3_SP0_c.t1
OG0000052	Np001G0218600, Np002G0839600	CP13_g19766_DN3_SP0_c.t1
OG0000055	Np006G3336100, Np006G3338700, Np003G1875300	CP12_g30730_DN2_SP0_c.t1
OG0000055	Np007G4191600, Np007G4191200, Np005G2851900	CP10_g42516_DN3_SP0_c.t1
OG0000055	Np007G3753300	CP10_g43729_DN2_SP0_c.t1
OG0000056	Np002G1201900, Np002G1202000, Np002G1202100	CP2_g49032_DN3_SP0_c.t1, CP2_g49030_DN3_SP0_c.t1
OG0000056	Np002G1191800, Np002G1192300, Np002G1195300	CP2_g49067_DN3_SP0_c.t1, CP2_g49076_DN3_SP0_c.t1, CP2_g49080_DN3_SP0_c.t1
OG0000056	Np002G1194600, Np002G1195000, Np002G1194400, Np002G1189700, Np002G1195200, Np002G1194900, Np002G1189500, Np002G1201000, Np002G1189800, Np002G1194000, Np002G1200900	CP2_g49078_DN3_SP0_c.t1, CP2_g49081_DN1_SP0_c.t1, CP2_g49073_DN2_SP0_c.t1
OG0000058	Np004G2334500, Np006G3421900	CP17_g5406_DN1_SP0_c.t1
OG0000058	Np006G3423100, Np006G3422500, Np004G2183000, Np007G3942100	CP13_g20701_DN3_SP0_c.t1
OG0000059	Np006G3486400, Np005G2888900, Np005G3047300, Np007G3954600, Np003G1666900, Np003G1673900, Np005G2877500	CP1_g38971_DN3_SP0_c.t1, CP20_g3949_DN2_SP0_c.t1
OG0000059	Np003G1667800, Np001G0392300, Np001G0082700	CP22_g17654_DN3_SP0_c.t1, CP4_g26576_DN3_SP0_c.t1
OG0000059	Np004G2334600, Np002G1005000, Np007G3962700	CP9_g27482_DN3_SP0_c.t1
OG0000060	Np003G1526800	CP3_g14842_DN3_SP0_c.t1
OG0000060	Np001G0456200	CP3_g14841_DN3_SP0_c.t1
OG0000060	Np004G2518200	CP4_g24977_DN3_SP0_c.t1
OG0000061	Np005G2892000	CP9_g28787_DN2_SP0_c.t1
OG0000062	Np002G0935900, Np001G0402000	CP27_g41852_DN3_SP0_c.t1, CP3_g15593_DN3_SP0_c.t1
OG0000062	Np007G4021600	CP5_g2505_DN3_SP0_c.t1, CP20_g4062_DN3_SP0_c.t1
OG0000062	Np002G0991500	CP1_g40964_DN3_SP0_c.t1
OG0000063	Np006G3435600	CP37_g11370_DN1_SP0_c.t1, CP5_g3265_DN3_SP0_c.t1
OG0000063	Np001G0224800	CP17_g5203_DN1_SP0_c.t1
OG0000063	Np002G0954100	CP14_g23887_DN2_SP0_c.t1, CP6_g8261_DN3_SP0_c.t1, CP4_g26203_DN2_SP0_c.t1
OG0000063	Np006G3435500	CP37_g11371_DN2_SP0_c.t1
OG0000065	Np005G3132500, Np005G3146600	CP5_g1580_DN2_SP0_c.t1
OG0000066	Np004G2505200, Np003G1367100, Np001G0031500, Np004G2500100, Np003G1367200	CP2_g49425_DN3_SP0_c.t1
OG0000067	Np005G2826900	CP17_g5644_DN3_SP0_c.t1, CP17_g5532_DN2_SP0_c.t1
OG0000068	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600	CP12_g31237_DN3_SP0_c.t1
OG0000069	Np006G3679100, Np006G3678800, Np004G1971900	CP2_g48010_DN3_SP0_c.t1
OG0000070	Np007G3899300	CP17_g5790_DN3_SP0_c.t1
OG0000070	Np004G2353400	CP7_g45746_DN3_SP0_c.t1
OG0000070	Np004G1989200, Np004G1988600, Np004G2059200, Np001G0355800, Np001G0356100, Np001G0356000	CP1_g38202_DN3_SP0_c.t1, CP1_g38197_DN2_SP0_c.t1
OG0000072	Np007G4041200, Np001G0368400, Np003G1731700, Np006G3587200, Np009G4327500, Np006G3447100, Np003G1510900, Np006G3565200	CP9_g27806_DN2_SP0_c.t1, CP6_g8758_DN1_SP0_c.t1, CP6_g9757_DN2_SP0_c.t1
OG0000072	Np004G2127400	CP23_g21606_DN1_SP0_c.t1, CP22_g17291_DN1_SP0_c.t1, CP22_g17221_DN2_SP0_c.t1, CP23_g21767_DN1_SP0_c.t1, CP23_g21733_DN3_SP0_c.t1, CP23_g21662_DN2_SP0_c.t1, CP23_g21854_DN3_SP0_c.t1, CP76_g27141_DN3_SP0_c.t1
OG0000072	Np002G0772500, Np004G2176900, Np006G3362700, Np002G0796100, Np001G0490300, Np008G4256100, Np001G0651800, Np002G1002300, Np005G3189400, Np007G3836600, Np006G3485300, Np004G2112600	CP2_g49697_DN3_SP0_c.t1
OG0000072	Np007G4122700	CP22_g17290_DN2_SP0_c.t1
OG0000072	Np005G2824400	CP3_g16601_DN1_SP0_c.t1
OG0000073	Np005G2938000, Np001G0249200	CP15_g34957_DN1_SP0_c.t1
OG0000073	Np003G1524100	CP6_g9730_DN1_SP0_c.t1, CP18_g12305_DN2_SP0_c.t1
OG0000075	Np003G1743500, Np003G1743600, Np003G1743200	CP8_g52237_DN3_SP0_c.t1
OG0000076	Np005G2608900	CP5_g77_DN1_SP0_c.t1
OG0000077	Np001G0386200	CP13_g20085_DN3_SP0_c.t1
OG0000077	Np001G0381300	CP13_g20036_DN3_SP0_c.t1, CP13_g20034_DN3_SP0_c.t1
OG0000077	Np002G1121700	CP2_g49683_DN2_SP0_c.t1
OG0000077	Np002G1126100	CP2_g49677_DN1_SP0_c.t1
OG0000077	Np001G0381400	CP13_g20039_DN3_SP0_c.t1
OG0000078	Np007G4214700	CP10_g42381_DN3_SP0_c.t1, CP10_g42379_DN1_SP0_c.t1
OG0000078	Np003G1455000, Np003G1454200	CP11_g32169_DN3_SP0_c.t1, CP11_g32166_DN3_SP0_c.t1
OG0000078	Np003G1454400, Np003G1454100, Np003G1455600	CP11_g32173_DN2_SP0_c.t1, CP11_g32163_DN2_SP0_c.t1
OG0000081	Np005G2602400	CP1_g40914_DN2_SP0_c.t1
OG0000082	Np005G2991300	CP15_g35761_DN3_SP0_c.t1
OG0000082	Np006G3323100	CP1_g38899_DN2_SP0_c.t1, CP3_g15632_DN1_SP0_c.t1, CP1_g41005_DN2_SP0_c.t1, CP2_g49995_DN3_SP0_c.t1, CP23_g21380_DN2_SP0_c.t1
OG0000082	Np001G0452000	CP14_g22602_DN1_SP0_c.t1
OG0000083	Np010G4344800, Np003G1476800	CP14_g23213_DN2_SP0_c.t1
OG0000084	Np007G3915500	CP17_g5202_DN3_SP0_c.t1, CP4_g26209_DN2_SP0_c.t1, CP6_g8210_DN1_SP0_c.t1, CP1_g40571_DN3_SP0_c.t1, CP3_g16299_DN1_SP0_c.t1, CP22_g17718_DN3_SP0_c.t1, CP15_g34661_DN2_SP0_c.t1, CP18_g12306_DN1_SP0_c.t1, CP17_g5842_DN2_SP0_c.t1, CP14_g23890_DN3_SP0_c.t1, CP1_g41162_DN3_SP0_c.t1, CP3_g15485_DN3_SP0_c.t1, CP15_g36117_DN3_SP0_c.t1, CP6_g7639_DN2_SP0_c.t1, CP18_g12133_DN2_SP0_c.t1, CP3_g15353_DN1_SP0_c.t1, CP94_g6387_DN3_SP0_c.t1
OG0000086	Np005G3022400	CP11_g31887_DN3_SP0_c.t1, CP271_g11211_DN3_SP0_c.t1, CP45_g22371_DN3_SP0_c.t1, CP20_g3814_DN1_SP0_c.t1, CP45_g22369_DN3_SP0_c.t1, CP5_g1838_DN3_SP0_c.t1, CP5_g1706_DN3_SP0_c.t1
OG0000089	Np001G0109800	CP2_g48308_DN3_SP8_c.t1
OG0000089	Np005G2870600	CP2_g48035_DN3_SP7_c.t1
OG0000089	Np001G0070200	CP3_g14713_DN3_SP4_c.t1
OG0000089	Np006G3501600, Np008G4281600	CP4_g25793_DN3_SP8_c.t1
OG0000089	Np003G1391100	CP11_g32707_DN3_SP8_c.t1
OG0000089	Np001G0399300	CP13_g20168_DN3_SP8_c.t1
OG0000089	Np005G2871200	CP6_g6768_DN3_SP8_c.t1
OG0000089	Np002G0774400	CP9_g29223_DN3_SP8_c.t1
OG0000090	Np005G2971200, Np007G4113900, Np006G3546200, Np003G1792600, Np004G1961100, Np002G0878100, Np007G3883300	CP5_g3314_DN2_SP0_c.t1, CP9_g27951_DN2_SP0_c.t1, CP3_g16738_DN1_SP0_c.t1, CP26_g51159_DN1_SP0_c.t1, CP3_g14976_DN2_SP0_c.t1, CP3_g15613_DN2_SP0_c.t1, CP2_g50412_DN2_SP0_c.t1, CP15_g34622_DN2_SP0_c.t1, CP15_g34582_DN1_SP0_c.t1, CP15_g34635_DN1_SP0_c.t1, CP15_g34653_DN3_SP0_c.t1, CP15_g34595_DN2_SP0_c.t1
OG0000090	Np006G3523700	CP12_g31417_DN2_SP0_c.t1, CP50_g6562_DN1_SP0_c.t1, CP1_g39886_DN2_SP0_c.t1, CP16_g55442_DN2_SP0_c.t1
OG0000095	Np006G3660300	CP16_g55090_DN3_SP0_c.t1, CP16_g55089_DN3_SP0_c.t1
OG0000095	Np006G3649400	CP16_g55165_DN2_SP0_c.t1
OG0000095	Np006G3650300	CP16_g55163_DN2_SP0_c.t1
OG0000098	Np007G3899100	CP17_g5784_DN1_SP0_c.t1
OG0000098	Np002G0990300, Np002G0990900, Np002G0990400	CP2_g48438_DN1_SP0_c.t1
OG0000099	Np005G2972700, Np006G3467800, Np004G2293200, Np002G0982400, Np002G0982300	CP18_g11891_DN2_SP0_c.t1, CP6_g9312_DN3_SP0_c.t1
OG0000100	Np004G2064500	CP2_g49326_DN3_SP0_c.t1
OG0000100	Np002G1231900	CP2_g48891_DN3_SP0_c.t1
OG0000100	Np002G1113500	CP2_g48894_DN3_SP0_c.t1
OG0000101	Np002G0868700, Np004G2067500, Np001G0489000, Np004G2252100, Np011G4358000, Np011G4357800, Np002G0736300, Np001G0306500, Np001G0036300, Np004G2254300, Np001G0349600, Np004G2428000, Np003G1266900, Np001G0589500, Np003G1682200, Np003G1683300, Np007G3942800, Np003G1683400	CP22_g17341_DN3_SP0_c.t1
OG0000105	Np002G0893200	CP20_g4043_DN3_SP0_c.t1
OG0000107	Np007G3984500	CP7_g44362_DN3_SP0_c.t1, CP7_g44349_DN3_SP0_c.t1
OG0000111	Np005G3154700	CP5_g1915_DN1_SP0_c.t1, CP5_g1912_DN2_SP0_c.t1, CP5_g1908_DN2_SP0_c.t1, CP5_g1919_DN2_SP0_c.t1, CP5_g1886_DN2_SP0_c.t1, CP5_g1935_DN3_SP0_c.t1, CP94_g6400_DN3_SP0_c.t1, CP5_g1897_DN2_SP0_c.t1, CP5_g1895_DN2_SP0_c.t1, CP5_g1905_DN3_SP0_c.t1
OG0000114	Np002G1018000	CP1_g39948_DN1_SP0_c.t1, CP1_g40795_DN2_SP0_c.t1, CP9_g27816_DN2_SP0_c.t1, CP17_g5831_DN3_SP0_c.t1, CP3_g15173_DN3_SP0_c.t1, CP13_g20753_DN3_SP0_c.t1, CP22_g17669_DN1_SP0_c.t1, CP3_g14115_DN3_SP0_c.t1, CP74_g56236_DN3_SP0_c.t1, CP95_g12691_DN3_SP0_c.t1, CP3_g14116_DN1_SP0_c.t1, CP22_g17668_DN1_SP0_c.t1, CP8_g52209_DN3_SP0_c.t1, CP18_g12092_DN3_SP0_c.t1, CP12_g30982_DN3_SP0_c.t1, CP7_g44473_DN2_SP0_c.t1, CP8_g52212_DN3_SP0_c.t1, CP17_g6028_DN3_SP0_c.t1, CP20_g4238_DN3_SP0_c.t1, CP7_g44474_DN2_SP0_c.t1, CP9_g27817_DN2_SP0_c.t1
OG0000114	Np003G1744100	CP1_g40794_DN1_SP0_c.t1
OG0000116	Np002G1124800	CP59_g6663_DN3_SP0_c.t1, CP44_g20908_DN3_SP0_c.t1, CP18_g12569_DN3_SP0_c.t1
OG0000116	Np003G1719700	CP15_g34919_DN3_SP0_c.t1
OG0000116	Np004G2021800	CP8_g52858_DN3_SP0_c.t1
OG0000116	Np003G1460300, Np005G3103800	CP25_g55998_DN3_SP0_c.t1
OG0000116	Np004G1921200, Np001G0237100	CP20_g3900_DN1_SP0_c.t1, CP2_g49406_DN2_SP0_c.t1
OG0000117	Np004G2300400	CP7_g45420_DN3_SP0_c.t1
OG0000117	Np004G2300300	CP7_g45419_DN3_SP0_c.t1
OG0000117	Np004G2300200	CP7_g45418_DN3_SP0_c.t1
OG0000119	Np003G1561600, Np003G1561700	CP8_g53726_DN3_SP0_c.t1
OG0000120	Np002G0949100	CP22_g17665_DN2_SP0_c.t1
OG0000120	Np003G1769900, Np005G2602500	CP6_g8634_DN3_SP0_c.t1, CP3_g14120_DN3_SP0_c.t1, CP18_g12087_DN3_SP0_c.t1, CP95_g12689_DN3_SP0_c.t1, CP9_g27971_DN3_SP0_c.t1, CP13_g20555_DN3_SP0_c.t1, CP20_g4294_DN3_SP0_c.t1
OG0000121	Np005G2842000, Np001G0527800, Np001G0451100, Np008G4283900, Np005G2906600, Np007G4117800, Np002G0941800, Np002G0951800, Np005G2957200, Np005G3191500, Np004G2402900	CP15_g35834_DN3_SP0_c.t1
OG0000121	Np002G0833400	CP12_g31136_DN1_SP0_c.t1
OG0000121	Np004G2331000, Np003G1581500	CP17_g5913_DN2_SP0_c.t1, CP17_g5918_DN2_SP0_c.t1
OG0000122	Np001G0563200	CP8_g53628_DN3_SP0_c.t1
OG0000122	Np003G1580100	CP8_g53621_DN3_SP0_c.t1, CP8_g53620_DN3_SP0_c.t1
