Orthogroup	Noccaea_praecox	Arabidopsis_lyrata_Rawat
OG0000035	Np005G2829500, Np004G2306200, Np004G2311400	AL2G19330, AL4G18050, AL1G57000, AL6G38880, AL6G49460
OG0000038	Np007G3978400	AL7G52690, AL3G36940, AL4G43300, AL2G17230, AL4G20860, AL3G40380, AL3G29370, AL3G42270, AL1G47700, AL6G40850, AL2G24190, AL2G32540, AL3G37700, AL7G41350, AL6G51820, AL6G35520, AL1G48000, AL109U10030, AL5G23080, AL4G27640, AL4G12180, AL2G24020, AL5G19730, AL2G18440, AL5G12950, AL2G20150, AL1G38790, AL3G17400, AL3G48900, AL9U10400, AL7G34140, AL7G50840, AL5G16610, AL8G26890, AL8G33470, AL6G34380, AL6G16840, AL7G52520, AL6G30230, AL3G51220, AL9U11250, AL3G29600, AL1G64180
OG0000040	Np006G3694800, Np006G3353400	AL677U10010
OG0000040	Np004G1916700, Np002G0779200	AL6G48140
OG0000041	Np002G1205400	AL6G37950
OG0000041	Np004G2543000	AL4G11230
OG0000042	Np004G2298700	AL1G54660
OG0000042	Np006G3478400	AL8G14180, AL1G42210
OG0000043	Np002G0941700	AL7G45030
OG0000043	Np003G1677700	AL983U10010
OG0000043	Np006G3675100	AL1G50370
OG0000043	Np002G1248100	AL8G19930
OG0000046	Np004G2388700, Np001G0160700	AL4G10770, AL5G16920, AL7G43910, AL3G42580
OG0000046	Np002G0812000, Np006G3271700, Np002G0901300, Np007G3942200, Np006G3533700, Np004G2173800, Np007G4037000, Np003G1635500, Np004G2079600, Np005G3093000, Np006G3271600, Np007G4080200, Np005G3032100, Np004G2183100, Np004G2290100, Np002G1005100, Np004G2334400	AL6G43460, AL8G24550, AL3G45110, AL3G45080, AL6G44180, AL8G21960, AL3G43290, AL1G51180, AL4G17640, AL3G40680, AL1G60090, AL7G41120, AL6G41380, AL1G53510, AL4G20190, AL3G44690, AL6G40760
OG0000049	Np001G0102300	AL5G38410
OG0000049	Np002G0881800	AL53U10030
OG0000049	Np005G3022000	AL1G56420, AL5G15730, AL1G55420, AL1G21830, AL9U10850, AL27U10010
OG0000049	Np002G1103100	AL3G45700, AL1G47310, AL9U11060, AL5G25180, AL1G24730, AL1G48300, AL1G50060
OG0000051	Np004G2552100, Np007G3843500, Np007G3849300, Np004G2593300, Np003G1312800, Np003G1313100, Np003G1316200, Np004G2360300	AL1G20340
OG0000051	Np002G1168200	nbis-gene-988
OG0000051	Np002G1229200	AL2G11470
OG0000051	Np002G1168000, Np002G1055900, Np002G1071800	AL3G20080
OG0000051	Np006G3285800, Np006G3285900, Np006G3286000	AL4G40920, AL4G40910, AL2G15770, AL4G40930
OG0000051	Np006G3284800, Np006G3284200, Np006G3284000	AL4G41000, AL4G41010, AL4G41020
OG0000052	Np001G0218600	AL5G15900
OG0000052	Np002G0839600	AL5G15910
OG0000055	Np006G3336100, Np006G3338700, Np003G1875300	nbis-gene-725, AL3G41130
OG0000055	Np007G3923100, Np007G3922500	AL3G30730, AL3G30470, AL3G38080, AL769U10010
OG0000055	Np005G2851900	AL4G21820
OG0000055	Np007G3753300	AL3G50860
OG0000056	Np002G1201900, Np002G1202000, Np002G1202100	AL2G13790, AL2G14110
OG0000056	Np002G1191800, Np002G1192300, Np002G1195300	AL2G14090, AL2G14060, AL2G14070, AL2G14080
OG0000056	Np005G3136000, Np001G0467300	AL5G26170
OG0000058	Np004G2334500, Np006G3421900	AL5G26550, AL920U10010
OG0000058	Np006G3423100, Np006G3422500, Np004G2183000, Np007G3942100	AL3G40670
OG0000059	Np006G3486400, Np005G2888900, Np005G3047300, Np007G3954600, Np003G1666900, Np003G1673900, Np005G2877500	AL8G40920, AL7G34190, AL2G10380, AL1G59190
OG0000059	Np003G1667800, Np001G0392300, Np001G0082700	AL5G34630
OG0000060	Np004G2515700, Np006G3598500	AL781U10020
OG0000060	Np003G1526800	AL8G36210
OG0000060	Np001G0456200	AL5G24600
OG0000061	Np003G1795500	nbis-gene-1510
OG0000061	Np005G2786700	AL7G25770
OG0000061	Np006G3342300	AL6G16510, AL7G46170
OG0000061	Np006G3280900	AL4G24650
OG0000062	Np002G0949000	AL704U10010
OG0000062	Np002G0953400	AL9U10060
OG0000062	Np002G0935900, Np001G0402000, Np007G4021600	AL8G40700, AL8G15100
OG0000063	Np001G0224800	AL60U10040
OG0000065	Np005G3146600	AL7G51420
OG0000066	Np003G1367100, Np001G0031500, Np004G2500100, Np003G1367200	AL6G20890
OG0000066	Np007G3771600	AL6G21580
OG0000068	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600	AL6G15310, AL6G14890, AL3G20260, AL3G20250, AL3G20240
OG0000068	Np006G3221500, Np006G3241700, Np006G3215500, Np005G2816600, Np006G3215800	AL6G18740
OG0000069	Np006G3706900, Np006G3707500	AL5G45620
OG0000069	Np006G3704200, Np006G3697500	AL1G10300, nbis-gene-18
OG0000069	Np007G3833600	AL3G48630, AL1G45330, AL1G16270
OG0000069	Np004G2374300, Np004G2572500, Np004G2541100, Np004G2541500	AL1G11090
OG0000069	Np004G2313200, Np001G0593200, Np001G0592800, Np001G0596200, Np001G0586900, Np001G0599500	AL4G13470
OG0000069	Np005G2913000, Np005G2913300, Np005G2926900, Np005G2926800	AL3G38360
OG0000070	Np007G3899300, Np001G0248800	AL1G20940, AL3G47920, AL5G12840, AL5G12830
OG0000070	Np004G2353400	AL4G11370, AL1G32980, AL2G24470
OG0000070	Np001G0364300, Np001G0366000, Np001G0526100, Np001G0525900, Np002G0771400	AL2G35960
OG0000070	Np004G1988500	AL5G42190
OG0000072	Np007G4034300, Np001G0214400, Np004G2135500, Np006G3592300, Np006G3546700, Np006G3482700	AL3G47230
OG0000072	Np003G1588900, Np007G4122700, Np005G2824400	AL8G11190
OG0000073	Np005G2938000, Np001G0249200	AL4G12860
OG0000073	Np003G1524100	AL5G31050, AL1G60290, AL5G25100
OG0000074	Np001G0425700, Np002G0733000	AL8G11830
OG0000075	Np006G3607400, Np003G1743500, Np003G1743600, Np003G1743200	AL8G23920
OG0000075	Np005G2617300	nbis-gene-1691
OG0000076	Np005G2608900	AL7G10840
OG0000077	Np002G0927000	AL2G25710
OG0000077	Np001G0381300	AL8G13900, AL8G13920
OG0000077	Np002G1125900	AL1G67300
OG0000077	Np001G0247700	AL5G12960
OG0000078	Np007G4214700	AL3G13710
OG0000078	Np003G1454400	AL6G29220, AL6G29120
OG0000079	Np004G2051400, Np004G2152100, Np004G2296400, Np004G2253500	AL3G51940, AL1G57050, AL5G16890, AL1G58560, AL1G58670, AL4G20020, AL1G30000, AL5G27080, AL8G14210
OG0000080	Np002G1104300	nbis-gene-244
OG0000081	Np004G2188400, Np004G2195900, Np004G2188800, Np007G3988300	AL2G21910
OG0000081	Np005G2602400	AL1G31420, AL8G29100, AL8G26420, AL6G33330
OG0000084	Np007G3915500	AL4G40730, AL347U10020, AL60U10030, AL6G44320, AL8G20470
OG0000086	Np005G3126500	AL7G53090
OG0000086	Np002G0950000	nbis-gene-1912
OG0000086	Np005G3126400, Np005G3126800, Np005G3126700, Np005G3127000	AL7G46850, AL7G46860
OG0000086	Np002G0867100	AL2G24590, AL2G24600
OG0000089	Np001G0109800	AL6G35120
OG0000089	Np005G2870600	AL8G39670
OG0000089	Np001G0070200	AL5G25960
OG0000089	Np006G3501600, Np008G4281600	AL4G24260
OG0000089	Np003G1391100	AL6G23060
OG0000089	Np001G0399300	AL8G15560
OG0000089	Np005G2871200	AL7G33260
OG0000089	Np002G0774400	AL2G35770
OG0000091	Np003G1487100	AL6G32010
OG0000091	Np001G0528700	AL8G24400
OG0000095	Np006G3650500, Np006G3650700	AL4G18560
OG0000095	Np006G3649600	AL4G18550
OG0000095	Np006G3660300	AL4G15530, nbis-gene-975, nbis-gene-1002, AL4G15600
OG0000095	Np006G3650300	AL4G14530, AL4G18570, AL4G15550
OG0000095	Np006G3650400, Np006G3654500, Np006G3650200, Np006G3660600	AL4G18510, AL4G15660, AL4G14510, AL4G14520
OG0000096	Np007G3952900, Np002G0789300, Np002G0783300, Np007G3906500, Np007G3813600, Np007G3828000, Np007G3827900, Np007G3802100, Np007G3815700, Np007G3816700, Np004G1968900, Np002G1192600, Np004G1989000, Np004G1955200, Np004G1945900, Np004G1963100, Np004G1955300	AL3G31580
OG0000096	Np007G3726500	AL3G22030
OG0000098	Np007G3899100	AL3G44020, AL3G44030, AL3G43980, AL3G44060, nbis-gene-805
OG0000098	Np004G2594800	AL2G26330
OG0000098	Np007G3793600	nbis-gene-844
OG0000098	Np001G0116500, Np001G0115500	AL1G41020, AL1G41000, AL1G41010, AL1G40990, AL4G14170
OG0000098	Np002G0990300, Np002G0990900, Np002G0990400	AL4G14150
OG0000099	Np005G2972700, Np006G3467800, Np004G2293200, Np002G0982400, Np002G0982300, Np004G2293300, Np006G3467900, Np001G0434000, Np008G4260400, Np003G1785300, Np002G1057600, Np009G4292900, Np007G4054500, Np002G0965600	AL4G17790, AL4G17810
OG0000100	Np002G1237300	AL2G11210
OG0000100	Np002G1233700	AL2G11240
OG0000100	Np004G2064500	AL2G16740
OG0000100	Np002G1231900	AL7G51590, AL2G11390, AL2G11380, AL2G11220, AL2G14410, AL1G66330, AL3G49580, AL1G65640
OG0000101	Np002G0736300, Np001G0306500, Np001G0036300, Np004G2254300, Np001G0349600, Np004G2428000, Np003G1266900, Np001G0589500, Np003G1682200, Np003G1683300, Np007G3942800	AL26U10050, AL3G41030
OG0000102	Np003G1716100	AL6G49150
OG0000102	Np003G1850400	AL6G49090, AL320U10020
OG0000102	Np003G1850200	AL9U10550, AL9U10540
OG0000102	Np003G1795300	AL6G49140
OG0000102	Np003G1849500, Np003G1850000	AL6G49050
OG0000103	Np007G4123200	AL5G15430, AL8G17400, AL1G30370, AL8G10040, AL265U10010, AL2G18280, AL6G36380
OG0000105	Np003G1459200	nbis-gene-1539
OG0000106	Np007G3948900, Np006G3602200, Np004G2072600, Np004G2045400, Np003G1306400	AL5G27290, AL1G43970, nbis-gene-561
OG0000106	Np001G0133000	AL2G13830
OG0000106	Np006G3556500, Np005G2719900, Np001G0513300, Np003G1588100, Np005G2609700, Np005G2802400, Np003G1396400, Np005G3054500, Np006G3285100, Np004G1932400, Np002G1206600, Np002G0931500, Np004G2006800, Np006G3285600, Np006G3356100, Np002G0934000, Np001G0450200, Np001G0254300, Np001G0468300, Np003G1838400, Np002G1216700, Np001G0108100, Np004G2551200, Np004G1924900, Np003G1364100, Np004G1973500, Np001G0080600	AL6G40690
OG0000107	Np005G3056200	AL8G20150, AL7G40290
OG0000107	Np007G3984300	AL3G33780, AL3G33770
OG0000108	Np006G3369500	AL4G34130
OG0000108	Np001G0565800	AL5G34730
OG0000108	Np001G0462100	AL5G25390, AL8G35810
OG0000108	Np007G4093400	AL3G23740
OG0000108	Np003G1360400	AL6G20220
OG0000108	Np007G3950400	AL1G56110
OG0000109	Np001G0341500	AL1G47060, AL4G15980
OG0000109	Np002G1184600, Np005G2935200, Np007G4014300, Np005G2978600, Np006G3449000, Np003G1723900, Np003G1723300, Np003G1723600, Np011G4357100, Np002G1174400, Np008G4281000, Np002G1033400	AL2G19590, AL6G46480, AL7G48370, AL4G13100, AL5G17500, AL8G26200, AL3G45860, AL1G49480, AL3G47220, AL5G17870, AL8G24560, AL7G45510, AL6G38840, AL6G52460, AL6G40590, AL1G47050, AL2G22030, AL8G22080, AL2G35490, AL5G20740, AL1G54140, AL2G22170, AL3G44280, AL7G53070, AL5G17840, AL7G34330, AL8G17600, AL170U10010, AL3G46660, AL8G20850, AL4G12360, AL5G10400, AL3G43610, AL4G17930, AL5G17970, AL9U10780
OG0000110	Np002G1086700, Np005G2909800, Np002G1161200, Np004G2113400, Np005G3033600, Np002G0891500, Np007G4015500, Np008G4289300	AL1G55630, AL7G11640, AL1G50710, AL4G20710, AL6G41920, AL8G21920, AL9U11500, AL2G19920, AL2G22250, AL5G12710
OG0000111	Np005G3154700	AL5G18800
OG0000111	Np005G3138900, Np001G0444800	AL2G34810
OG0000114	Np002G1018000	AL2G19090, AL2G20370, AL1G46930, AL8G13990, AL5G18470, AL5G18060, AL3G42080, AL4G18650, AL3G44910, nbis-gene-1272, nbis-gene-1271, AL1G50940
OG0000116	Np002G1124800	nbis-gene-997, AL1G35450, nbis-gene-1953, AL1G39460
OG0000116	Np004G1921200, Np001G0237100	AL6G43140
OG0000117	Np004G2300400	AL1G37400
OG0000117	Np004G2299300	AL1G37350
OG0000117	Np004G2300300	AL1G37440, AL1G37390
OG0000117	Np004G2300200	AL1G37330, AL1G37340
OG0000118	Np002G0786200	AL2G23590, AL2G23540, AL2G23600, AL6G44790
OG0000118	Np004G1992500, Np006G3383100	nbis-gene-757, AL3G37210
OG0000119	Np001G0493200	AL6G15230
OG0000120	Np003G1769900, Np005G2602500	AL3G44880, AL4G19050
OG0000121	Np005G2604800, Np006G3604300	AL2G20140, AL8G14910
OG0000123	Np003G1843300	AL8G25360
OG0000125	Np006G3600700	AL4G23510
OG0000125	Np004G2519400	AL1G17740
OG0000125	Np004G1951700	AL1G55940
OG0000125	Np004G1951500	AL1G59870
OG0000125	Np004G1951600	AL1G59850
OG0000126	Np006G3613200	AL4G20870
OG0000127	Np003G1510700	AL6G34020
OG0000127	Np003G1523500	AL189U10030, AL8G36480, AL5G24690
OG0000127	Np006G3598300	AL4G23250
OG0000128	Np001G0644700	AL5G41080
OG0000128	Np001G0644900	AL5G41090
OG0000128	Np001G0644500	AL2G18450, AL7G42310, AL5G41050
OG0000129	Np002G0866100	AL2G19870, nbis-gene-452
OG0000129	Np005G3118200	AL2G20180
OG0000130	Np006G3485400	AL3G43990
OG0000132	Np001G0583700	AL5G36020
OG0000132	Np005G3117900, Np005G3137200, Np005G3137300, Np005G3137400	AL315U10010, AL7G51940, AL7G52020, AL7G52000
OG0000134	Np003G1378400	AL8G17970, AL8G17980, AL20U10060, AL20U10050, AL20U10040, AL20U10020, AL6G21880
OG0000137	Np003G1600500	AL8G30930
OG0000137	Np003G1602300, Np003G1829600	AL8G30910
OG0000137	Np003G1596700	AL1G49040
OG0000137	Np003G1602000, Np003G1601500, Np003G1600700	AL8G30920
OG0000137	Np003G1602100	AL8G30900
OG0000137	Np003G1602400	AL8G30890
OG0000140	Np001G0509300, Np001G0524900	AL6G10840
OG0000141	Np002G1165900	AL2G13240
OG0000143	Np004G2289300	AL3G54050
OG0000148	Np004G1960900, Np004G1960800	AL1G54580, AL1G54620
OG0000148	Np001G0107700	AL3G17170
OG0000150	Np002G1102100, Np006G3465100, Np005G2952600	AL4G25960, AL4G15810
OG0000151	Np001G0586800	AL5G36220
OG0000151	Np006G3339200	AL4G36690
OG0000151	Np001G0586700	AL5G36210
OG0000151	Np001G0563500	AL5G34430
OG0000151	Np006G3374700	AL4G33730
OG0000151	Np003G1404000	AL6G24190
OG0000152	Np011G4358800	AL1G65830
OG0000152	Np003G1873800	AL1G66640
OG0000152	Np002G0970200	AL4G22930, AL177U10010
OG0000153	Np004G2521100	AL1G17600
OG0000154	Np004G1998200	AL6G29770, AL6G29780
OG0000154	Np004G1963300	AL1G58510
OG0000157	Np006G3350500, Np003G1450700	AL8G27960, AL1G29270
OG0000157	Np005G3104600, Np005G3104800, Np005G3107600	AL1G44860
OG0000158	Np002G0811900	nbis-gene-1710, AL2G28170
OG0000158	Np005G2867000, Np005G2866500	AL7G14590
OG0000158	Np003G1292700	AL7G32560, AL7G30180, AL7G33450
OG0000158	Np005G2956600	AL6G25220
OG0000158	Np001G0283500, Np001G0283800, Np001G0282900, Np007G4061200	AL6G46400
OG0000158	Np004G2036800, Np004G2174600, Np004G1934200	AL1G67080, AL7G42520
OG0000160	Np007G3739600	AL3G52950
OG0000160	Np005G2740000	AL7G22000
OG0000160	Np003G1560700	AL8G33330
OG0000160	Np007G3899700	AL3G44180
OG0000160	Np001G0430500	AL5G20850
OG0000160	Np002G0711700	AL2G40780
OG0000162	Np006G3577700	AL8G17590
OG0000162	Np007G3727700	AL3G42410
OG0000162	Np001G0244800	AL3G42400, AL3G42420
OG0000162	Np006G3578300	AL4G28810, AL4G28800
OG0000165	Np002G1201100, Np002G1201400, Np002G1201300, Np002G1201200	AL3G46810
OG0000165	Np003G1813000, Np003G1781700, Np003G1822600, Np003G1800900, Np003G1781600, Np003G1801300, Np003G1801500, Np007G4108400	AL7G45500
OG0000167	Np007G3808900	AL3G35160, AL3G35150
OG0000167	Np007G3810100, Np007G3810500	AL5G24180, AL3G35070
OG0000169	Np004G2522900	AL9U10990
OG0000169	Np004G2006300, Np004G2270200, Np001G0564500	AL1G53540, AL1G53520
OG0000169	Np004G2270300	AL9U11000
OG0000170	Np001G0667900	AL5G43250
OG0000171	Np003G1641800	AL8G28000
OG0000171	Np002G1239200	AL2G10770
OG0000171	Np007G3768900	AL3G49460
OG0000171	Np003G1582900	AL8G31780
OG0000171	Np005G2770300	AL7G24680
OG0000173	Np005G2621400	AL7G12140
OG0000173	Np001G0199900	AL7G12760, AL7G13600, AL7G12790
OG0000174	Np002G1029900	AL5G24470, AL6G38890, AL3G40990, AL6G49470, AL2G19320, AL4G18060, AL1G56990
OG0000175	Np003G1416000	AL6G25440
OG0000175	Np001G0685700	AL5G45050, AL2G23510
OG0000176	Np006G3654200	AL4G14280, AL57U10030
OG0000176	Np002G0837300, Np002G0837100	AL2G31040
OG0000177	Np002G0868200, Np007G3897800, Np002G0760200	AL6G51590, AL1G34280
OG0000178	Np003G1833700	AL6G47960
OG0000178	Np003G1835100	AL6G47980
OG0000178	Np003G1835200	AL6G47970
OG0000178	Np003G1834900, Np003G1834200	AL6G47990
OG0000182	Np001G0465800, Np003G1776200	AL5G43310, AL5G43300
OG0000182	Np002G0821500	AL1G58410
OG0000183	Np005G3124900	AL7G46650
OG0000183	Np006G3615500	AL6G32820, AL4G20560
OG0000184	Np007G3824400, Np007G3829200	AL3G36200, AL3G36210
OG0000184	Np007G3795700	nbis-gene-767
OG0000185	Np001G0633400, Np001G0633500, Np004G2438100, Np004G2439800, Np004G2439100	AL2G22820
OG0000185	Np001G0026600, Np001G0030000, Np001G0688200	AL1G11240, AL1G49370, AL1G49350, AL1G49380, AL108U10030, AL5G14060, AL8G40780
OG0000188	Np007G4202700	AL7G22270
OG0000188	Np007G4208500	AL3G14200
OG0000188	Np007G4202800, Np004G1955500	AL3G14700
OG0000188	Np001G0338100	AL3G14720, AL3G14710
OG0000189	Np005G2675300	AL7G15090
OG0000189	Np007G3769000	AL7G16200
OG0000189	Np002G0772800	AL2G35850
OG0000189	Np004G2354100	AL1G32900
OG0000192	Np003G1311400	AL2G13220
OG0000192	Np005G2794900	AL7G26670
OG0000193	Np007G3913400	AL3G29460
OG0000195	Np007G3730700	AL7G46380
OG0000196	Np005G2929400	AL7G47540
OG0000196	Np005G3188800	AL7G47550
OG0000197	Np004G2439300, Np002G1112700	AL7G34540, AL7G34550
OG0000197	Np005G2896400, Np001G0033100	AL7G34520
OG0000197	Np004G2022400	AL7G34530
OG0000198	Np001G0273200, Np001G0273100	AL7G42370, AL5G10550
OG0000198	Np006G3633600, Np003G1742600	AL1G27020, AL1G45410
OG0000198	Np004G2415000	AL1G26980, AL1G27000
OG0000198	Np004G2414700	AL1G27010
OG0000198	Np005G2833600	AL5G15240
OG0000199	Np007G3776000, Np007G3775100, Np006G3307800	AL1G61110
OG0000199	Np004G2471000, Np004G2469700, Np004G2471600, Np004G2469900, Np004G2460000	AL7G22480, AL6G29250, AL6G29230, AL7G22490, AL7G22500
OG0000200	Np004G2544000	AL1G15400
OG0000200	Np004G2543900	AL1G15390
OG0000200	Np004G2143200, Np004G2141700, Np003G1654700	AL1G44070
OG0000200	Np004G2141600, Np004G2143500	AL1G44060, AL1G44080
OG0000202	Np007G3890500	AL6G50950, AL6G45800, AL2G21130, AL6G42990, AL6G47610
OG0000202	Np007G3758700	AL2G28240
OG0000202	Np007G3791900	AL6G51540
OG0000203	Np005G3179800	AL5G40120
OG0000203	Np001G0632300	AL5G40110
OG0000203	Np001G0631800	AL5G40100
OG0000205	Np009G4305400, Np002G1035400, Np010G4327900, Np004G2209100	AL6G41080, AL6G41170, AL7G33750, AL2G20320, AL2G20330, AL3G54100, AL3G45590
OG0000206	Np003G1786800	AL4G21300
OG0000209	Np003G1366500	AL6G20830
OG0000210	Np006G3250000	AL4G23070, AL4G44040
OG0000210	Np002G1162900	AL2G23580
OG0000210	Np006G3639200	AL4G20750
OG0000211	Np007G4123300	AL7G52630
OG0000215	Np007G4021500, Np002G1038000	AL1G49470, AL9U10420
OG0000216	Np002G1121800	AL2G18850
OG0000216	Np001G0606300, Np001G0606400	AL5G37800
OG0000218	Np001G0082600, Np005G2949200, Np005G2921000, Np002G0962900, Np002G0922800	AL4G42280
OG0000219	Np001G0161000	AL7G49130, AL7G46120
OG0000219	Np002G0871700	AL3G52780
OG0000222	Np003G1707700, Np003G1700600, Np009G4299200	AL6G40720
OG0000225	Np002G0730800	AL2G39120
OG0000225	Np002G0730400	AL2G28790
OG0000227	Np006G3524200, Np006G3524300	AL3G16300, AL3G16310, AL3G22620, AL6G37850
OG0000229	Np002G1043000	AL1G65810, AL5G20810
OG0000230	Np001G0641400	AL5G40710
OG0000230	Np001G0642200	AL7G52220
