Orthogroup	Noccaea_praecox	Cardamine_hirsuta
OG0000078	Np007G4214700	CARHR077940
OG0000079	Np004G2152100, Np004G2296400	CARHR151670, CARHR119610
OG0000079	Np004G2253600	CARHR256350
OG0000081	Np004G2188400, Np004G2195900, Np004G2188800, Np007G3988300	CARHR217030
OG0000081	Np005G2602400	CARHR264280
OG0000086	Np005G3126500	CARHR214810
OG0000086	Np002G0950000	CARHR272990
OG0000086	Np005G3022400	CARHR214860
OG0000086	Np005G3126400, Np005G3126800, Np005G3126700, Np005G3127000	CARHR214830
OG0000086	Np005G3127100	CARHR214790, CARHR214760
OG0000089	Np001G0109800	CARHR189700
OG0000089	Np001G0070200	CARHR155480
OG0000089	Np006G3501600, Np008G4281600	CARHR122890
OG0000089	Np003G1391100	CARHR200860
OG0000089	Np001G0399300	CARHR178800
OG0000089	Np005G2871200	CARHR227450
OG0000089	Np002G0774400	CARHR069200
OG0000090	Np004G2304300	CARHR116840
OG0000091	Np003G1487100	CARHR192340, CARHR192330
OG0000091	Np001G0528700	CARHR262970
OG0000095	Np006G3650500, Np006G3650700	CARHR117030, CARHR118620
OG0000095	Np006G3649600	CARHR117020
OG0000095	Np006G3660300	CARHR116980, CARHR117870, CARHR117890, CARHR116700, CARHR116940
OG0000095	Np006G3650300	CARHR117880, CARHR117220
OG0000095	Np006G3650400, Np006G3654500, Np006G3650200, Np006G3660600	CARHR117860
OG0000096	Np007G3952900, Np002G0789300, Np002G0783300, Np007G3906500, Np007G3813600, Np007G3828000, Np007G3827900, Np007G3802100, Np007G3815700, Np007G3816700, Np004G1968900, Np002G1192600, Np004G1989000, Np004G1955200, Np004G1945900, Np004G1963100, Np004G1955300	CARHR094810, CARHR094850, CARHR094860, CARHR094840
OG0000096	Np007G3726500	CARHR101790
OG0000098	Np005G3053200, Np001G0115600	CARHR103960
OG0000098	Np004G2594800	CARHR046250
OG0000098	Np001G0116500, Np001G0115500	CARHR174970
OG0000098	Np002G0990300, Np002G0990900, Np002G0990400	CARHR253270
OG0000100	Np002G1237300	CARHR047460, CARHR047540
OG0000100	Np002G1231900	CARHR047470, CARHR047430, CARHR047580, CARHR047440, CARHR261260, CARHR047450, CARHR047060
OG0000100	Np002G1113500	CARHR047090, CARHR047300, CARHR047120
OG0000101	Np002G0868700	CARHR154270
OG0000101	Np001G0306500	CARHR287350
OG0000101	Np004G2254300, Np001G0349600	CARHR006250
OG0000101	Np001G0589500, Np003G1682200, Np003G1683300	CARHR183060
OG0000102	Np003G1850400	CARHR252070
OG0000102	Np003G1850200	CARHR252110, CARHR252090, CARHR252060
OG0000105	Np005G3160900	CARHR151550
OG0000105	Np002G0893000	CARHR175830, CARHR174830, CARHR175790
OG0000105	Np002G0893200	CARHR175310, CARHR289490, CARHR175270
OG0000105	Np002G1232000	CARHR047220
OG0000105	Np002G1229900	CARHR047590, CARHR048050, CARHR288100, CARHR047560, CARHR047570
OG0000106	Np001G0132900	CARHR082570
OG0000106	Np005G2719900	CARHR183910
OG0000106	Np001G0513300, Np003G1588100, Np005G2609700, Np005G2802400, Np003G1396400, Np005G3054500, Np006G3285100, Np004G1932400, Np002G1206600, Np002G0931500, Np004G2006800, Np006G3285600, Np006G3356100, Np002G0934000, Np001G0450200, Np001G0254300, Np001G0468300, Np003G1838400, Np002G1216700, Np001G0108100, Np004G2551200, Np004G1924900, Np003G1364100, Np004G1973500, Np001G0080600	CARHR055550
OG0000107	Np007G3984500	CARHR119260, CARHR119250
OG0000107	Np007G3984300	CARHR095650, CARHR095640, CARHR095620, CARHR055760
OG0000108	Np006G3369500	CARHR131960
OG0000108	Np001G0462100	CARHR285740
OG0000108	Np007G4093400	CARHR086670
OG0000108	Np003G1360400	CARHR203590
OG0000108	Np007G3950400	CARHR094190
OG0000111	Np005G3154700, Np005G3138900, Np001G0444800	CARHR148290
OG0000114	Np002G1018000	CARHR258830, CARHR283860
OG0000116	Np003G1460300, Np005G3103800	CARHR217650
OG0000116	Np001G0237100	CARHR101930
OG0000117	Np004G2300300	CARHR024100
OG0000118	Np007G4221800, Np007G4221900	CARHR133040, CARHR180020
OG0000119	Np003G1836400	CARHR118700, CARHR273840
OG0000119	Np001G0493200	CARHR150140, CARHR143200, CARHR207890
OG0000121	Np005G2954700, Np011G4358600, Np004G2590300, Np002G0965100, Np006G3634700	CARHR114800
OG0000121	Np002G0833400	CARHR054680, CARHR054690, CARHR181920
OG0000121	Np004G2331000, Np003G1581500	CARHR054110, CARHR100990
OG0000122	Np001G0563200	CARHR269740
OG0000122	Np003G1578000	CARHR036540, CARHR031780
OG0000122	Np003G1578400, Np003G1577700	CARHR033520, CARHR033430
OG0000122	Np003G1578500	CARHR269930
OG0000124	Np005G3180200	CARHR261370
OG0000124	Np005G2989500, Np003G1311000, Np002G1109100	CARHR259840
OG0000125	Np006G3601100	CARHR122240
OG0000125	Np004G2519400	CARHR007350
OG0000125	Np004G1951700	CARHR039100
OG0000125	Np004G1951500	CARHR041970, CARHR041980
OG0000125	Np007G3813400	CARHR097260
OG0000126	Np006G3613200	CARHR103200
OG0000126	Np002G1171100	CARHR289900, CARHR149350, CARHR290850, CARHR034350, CARHR144860
OG0000126	Np001G0233600	CARHR217430, CARHR184740
OG0000126	Np001G0262900	CARHR252010
OG0000126	Np005G2929200	CARHR098000, CARHR034340
OG0000127	Np003G1510700	CARHR190650
OG0000127	Np001G0565000	CARHR163570
OG0000127	Np003G1523500	CARHR273520
OG0000127	Np006G3598300	CARHR121850
OG0000128	Np001G0644700	CARHR169580
OG0000128	Np001G0644900	CARHR169600
OG0000128	Np001G0644500	CARHR169570
OG0000129	Np002G0866100	CARHR038520, CARHR038560, CARHR056630
OG0000129	Np001G0064000, Np001G0063300	CARHR275730
OG0000132	Np001G0583700	CARHR164880
OG0000132	Np001G0060300	CARHR277260
OG0000132	Np005G3117900, Np005G3137200, Np005G3137300, Np005G3137400	CARHR214020
OG0000132	Np001G0060100	CARHR213990, CARHR214010
OG0000134	Np003G1378400	CARHR202050
OG0000137	Np003G1600600	CARHR268710
OG0000137	Np003G1600500	CARHR268720
OG0000137	Np003G1602000, Np003G1601500, Np003G1600700	CARHR268700
OG0000137	Np003G1602100	CARHR268690
OG0000137	Np003G1602400	CARHR268680
OG0000140	Np001G0509300, Np001G0524900	CARHR146770
OG0000141	Np002G1165900	CARHR048210, CARHR049580, CARHR049710, CARHR049690, CARHR049380, CARHR049330, CARHR049720, CARHR049640, CARHR049340, CARHR049700, CARHR048830, CARHR049260
OG0000143	Np004G2289300	CARHR181670, CARHR183500
OG0000148	Np004G1960900, Np004G1960800	CARHR037710, CARHR037720, CARHR037850
OG0000150	Np002G1102100, Np006G3465100, Np005G2952600	CARHR217380, CARHR294480
OG0000151	Np001G0586800	CARHR165120
OG0000151	Np006G3339200	CARHR134140
OG0000151	Np001G0586700	CARHR165110
OG0000151	Np001G0563500	CARHR163410
OG0000151	Np006G3374700	CARHR132240
OG0000151	Np003G1404000	CARHR199860
OG0000153	Np004G2521100	CARHR007210, CARHR007190
OG0000154	Np004G1998200	CARHR121480
OG0000154	Np004G1963300, Np004G1963200	CARHR041490, CARHR040850
OG0000157	Np006G3350500, Np003G1450700	CARHR029970
OG0000158	Np002G0811900	CARHR113640
OG0000158	Np001G0700500	CARHR245230
OG0000158	Np003G1292700	CARHR210870
OG0000158	Np002G0811700	CARHR104280
OG0000158	Np002G0909800, Np002G0811800	CARHR150520
OG0000159	Np005G3080900	CARHR059430
OG0000160	Np007G3739600	CARHR109500
OG0000160	Np005G2740000	CARHR238090
OG0000160	Np003G1560700	CARHR271150
OG0000160	Np007G3899700	CARHR104060
OG0000160	Np001G0430500	CARHR153650
OG0000160	Np002G0711700	CARHR073860
OG0000162	Np004G2052000	CARHR162850
OG0000162	Np007G3727700	CARHR102790, CARHR102800, CARHR102820
OG0000162	Np001G0244500	CARHR145920
OG0000162	Np001G0244800	CARHR102810, CARHR103310
OG0000162	Np006G3578300	CARHR127190
OG0000163	Np006G3651700, Np002G0952300, Np002G0879200, Np007G3786700, Np007G3787500, Np002G1203300, Np001G0333500, Np003G1621000, Np001G0558600, Np007G3939100	CARHR259710, CARHR057870, CARHR288340
OG0000165	Np002G1201100, Np002G1201400, Np002G1201300, Np002G1201200	CARHR085710, CARHR085700, CARHR085180
OG0000166	Np004G1974000, Np001G0560100	CARHR067330
OG0000166	Np007G3748700	CARHR115420
OG0000167	Np007G3808900	CARHR097030
OG0000167	Np007G3810100, Np007G3810500	CARHR108190, CARHR108200, CARHR150060
OG0000169	Np004G2006300, Np004G2270200, Np001G0564500	CARHR219990
OG0000170	Np001G0660400	CARHR171330
OG0000170	Np006G3241500	CARHR140750
OG0000171	Np003G1641800	CARHR266340
OG0000171	Np002G1239200	CARHR046700
OG0000171	Np007G3768900	CARHR107000
OG0000171	Np003G1582900	CARHR269520
OG0000171	Np005G2770300	CARHR235660
OG0000173	Np005G2621400	CARHR246590
OG0000173	Np001G0199900	CARHR246290, CARHR146050
OG0000174	Np002G1029900	CARHR292260, CARHR102990
OG0000174	Np004G2082700, Np004G2374700, Np004G2142500, Np007G4219300, Np005G2804000	CARHR115250
OG0000175	Np003G1416000	CARHR198650
OG0000175	Np004G2480900, Np002G1160900	CARHR052550
OG0000175	Np001G0685700	CARHR142560
OG0000176	Np007G4189400	CARHR118040
OG0000176	Np006G3654200	CARHR291360, CARHR291330, CARHR121440
OG0000177	Np002G0868200, Np007G3897800, Np002G0760200	CARHR021670, CARHR181970
OG0000178	Np003G1833700	CARHR253020
OG0000178	Np003G1835100	CARHR250370
OG0000178	Np003G1835200	CARHR250360
OG0000178	Np003G1834900, Np003G1834200	CARHR252960
OG0000183	Np005G3124900	CARHR215030
OG0000183	Np006G3615500	CARHR119300
OG0000185	Np001G0026600, Np001G0030000, Np001G0688200	CARHR279920
OG0000188	Np007G4202700	CARHR078890
OG0000188	Np007G4202800, Np004G1955500	CARHR078870
OG0000189	Np005G2675300	CARHR244350
OG0000189	Np002G0772800	CARHR069390
OG0000189	Np004G2354100	CARHR020570
OG0000191	Np003G1529900, Np006G3490300, Np005G3031400, Np006G3490400, Np005G3031500, Np005G3157900, Np003G1298200, Np007G4044100, Np007G4035600	CARHR150970
OG0000192	Np003G1311400	CARHR233830
OG0000192	Np003G1314300	CARHR014030
OG0000192	Np004G2432400	CARHR014050
OG0000193	Np007G3913400	CARHR031320, CARHR091800, CARHR036940
OG0000193	Np004G2176400	CARHR091810
OG0000196	Np007G4161800	CARHR272920
OG0000196	Np005G3188800	CARHR288130, CARHR291940, CARHR213880
OG0000197	Np004G2439300, Np002G1112700	CARHR215070, CARHR051370
OG0000197	Np005G2896400, Np001G0033100	CARHR226280, CARHR226370
OG0000198	Np004G2415000	CARHR015470
OG0000198	Np004G2414700	CARHR015480
OG0000198	Np005G2833600	CARHR147290
OG0000199	Np007G3776000, Np007G3775100, Np006G3307800	CARHR063270, CARHR063300, CARHR163030, CARHR063260, CARHR063690, CARHR063700, CARHR263650
OG0000199	Np004G2471000, Np004G2469700, Np004G2471600, Np004G2469900, Np004G2460000	CARHR251110, CARHR215270
OG0000199	Np005G3095000	CARHR237670
OG0000200	Np004G2120400	CARHR005020
OG0000200	Np004G2143200, Np004G2141700, Np003G1654700	CARHR028750, CARHR037140
OG0000200	Np004G2141600, Np004G2143500	CARHR037150
OG0000202	Np007G3890500	CARHR250390, CARHR248840, CARHR250050, CARHR250400
OG0000203	Np005G3179800	CARHR168590, CARHR259860
OG0000203	Np001G0632300	CARHR168740
OG0000203	Np001G0631800	CARHR168690, CARHR168710
OG0000205	Np009G4305400, Np002G1035400, Np010G4327900, Np004G2209100	CARHR286250
OG0000205	Np007G3966500	CARHR105060, CARHR218440
OG0000209	Np003G1366500	CARHR202500
OG0000210	Np006G3250000	CARHR121990, CARHR140170
OG0000210	Np002G1162900	CARHR057970
OG0000210	Np001G0662300	CARHR170840
OG0000215	Np007G4021500, Np002G1038000	CARHR033990, CARHR055980, CARHR108830
OG0000216	Np002G1121800	CARHR054340
OG0000216	Np001G0606300, Np001G0606400	CARHR166590
OG0000219	Np001G0161000	CARHR123890
OG0000225	Np002G0730800	CARHR072290
OG0000225	Np002G0730400	CARHR072270, CARHR141370
OG0000226	Np005G3168600	CARHR209980
OG0000227	Np006G3524200, Np006G3524300	CARHR080100, CARHR085660, CARHR105470, CARHR039350, CARHR105510
OG0000229	Np006G3473000, Np003G1876400, Np002G1043000	CARHR004570
OG0000230	Np001G0641400	CARHR169400
OG0000232	Np004G2411800, Np006G3677000	CARHR174010, CARHR102280
OG0000233	Np003G1335200	CARHR205610
OG0000233	Np003G1335400	CARHR205600, CARHR205590, CARHR205580
OG0000234	Np003G1792500	CARHR139700
OG0000235	Np003G1445200	CARHR168030
OG0000235	Np005G3142900	CARHR133380
OG0000235	Np006G3375200	CARHR073970
OG0000236	Np002G0865900, Np002G0866200, Np002G0866000	CARHR062590, CARHR062610, CARHR102640
OG0000236	Np007G3825300, Np007G3825800	CARHR097950
OG0000236	Np007G3825000	CARHR000080, CARHR100230, CARHR102630
OG0000236	Np003G1773300	CARHR260580
OG0000237	Np006G3664800, Np005G3024700	CARHR043980, CARHR044120
OG0000237	Np007G3835000	CARHR098530
OG0000237	Np007G3814600	CARHR238210, CARHR097380
OG0000238	Np002G0845400	CARHR064100, CARHR064090
OG0000238	Np002G0845300	CARHR064110
OG0000238	Np004G2308900	CARHR292540
OG0000238	Np004G2309500	CARHR185670, CARHR023530, CARHR023500, CARHR023520, CARHR023510
OG0000239	Np004G2128000, Np005G3094300, Np007G3909100, Np004G1948500, Np005G3117700, Np003G1657100, Np003G1411900, Np005G3036700, Np001G0216500, Np001G0293200, Np001G0630400, Np004G2156900, Np007G4040900, Np004G1948600, Np006G3651300, Np004G2333400, Np001G0292400	CARHR218360
OG0000239	Np003G1674300, Np001G0362700, Np001G0271800, Np003G1818900, Np002G0913500, Np007G4007300, Np001G0271700	CARHR113140
OG0000241	Np005G2864100	CARHR228610
OG0000241	Np003G1837500	CARHR107520
OG0000242	Np007G4179600	CARHR119540, CARHR119080, CARHR180810, CARHR264270, CARHR101660, CARHR102130, CARHR102230, CARHR102520
OG0000242	Np001G0141900	CARHR175670
OG0000243	Np004G2125700, Np004G2125900, Np004G2125000	CARHR028800, CARHR028770, CARHR028900, CARHR028820, CARHR028850
OG0000243	Np004G2125200	CARHR028830
OG0000243	Np004G2125600	CARHR028880, CARHR028810
OG0000244	Np003G1858400	CARHR251320, CARHR252330, CARHR252290
OG0000244	Np003G1858200, Np003G1858100, Np003G1857800	CARHR251330, CARHR251340
OG0000246	Np006G3384100, Np003G1776100	CARHR131170, CARHR131180
OG0000246	Np005G3092400	CARHR131140, CARHR131130, CARHR131150, CARHR131160
OG0000247	Np004G2545900	CARHR291820, CARHR217360, CARHR263700
OG0000248	Np005G2610500	CARHR215600
OG0000248	Np002G0860000	CARHR263070, CARHR263080
OG0000249	Np004G2146500	CARHR219480
OG0000249	Np007G4050900, Np005G2822000	CARHR014080
OG0000250	Np003G1647300	CARHR252250
OG0000251	Np001G0226900	CARHR147300
OG0000251	Np001G0491300, Np001G0226800, Np001G0226600	CARHR147330
OG0000251	Np003G1562200	CARHR271060
OG0000252	Np002G0966500, Np002G1217000, Np002G1216400, Np002G1216900, Np002G1216600	CARHR048360, CARHR048350, CARHR048370
OG0000253	Np003G1267100, Np003G1271600	CARHR083800, CARHR083820, CARHR083810
OG0000253	Np002G1120300	CARHR210890
OG0000253	Np007G4134200	CARHR083850
OG0000253	Np006G3304500	CARHR229590
OG0000253	Np003G1267200	CARHR210880
OG0000254	Np005G3024300	CARHR290080
OG0000257	Np002G0772900	CARHR069370
OG0000259	Np001G0461900	CARHR135220, CARHR117790
OG0000259	Np007G3830200	CARHR093470, CARHR093450
OG0000262	Np003G1635900	CARHR046970
OG0000265	Np005G3140200, Np007G4120400, Np002G0744800, Np002G0778500, Np003G1560300, Np004G1972500, Np006G3567500, Np004G2255600, Np001G0314500	CARHR033470, CARHR263710, CARHR257150, CARHR159730, CARHR113850
OG0000268	Np005G2764400	CARHR181110
OG0000268	Np002G1065200	CARHR154180
OG0000269	Np003G1526500	CARHR273300
OG0000269	Np004G2521600	CARHR007130, CARHR007140, CARHR053220, CARHR122830
OG0000270	Np005G2730100	CARHR047950
OG0000270	Np002G1237700	CARHR046830
OG0000270	Np006G3619100	CARHR048540, CARHR048090
OG0000275	Np001G0244400	CARHR175770
OG0000275	Np005G2619800	CARHR041170, CARHR041160
OG0000275	Np004G1985300	CARHR185060, CARHR185040
OG0000277	Np007G3772100	CARHR243020, CARHR247840
OG0000277	Np005G2653400	CARHR106740
OG0000277	Np002G0777200	CARHR020400
OG0000278	Np005G3117100	CARHR215570, CARHR215560, CARHR215610, CARHR215640, CARHR215620, CARHR215650, CARHR215200
OG0000279	Np002G1141200, Np003G1803300	CARHR094510
OG0000279	Np005G3095700, Np001G0385400	CARHR031350, CARHR031360
OG0000282	Np006G3612000	CARHR229020, CARHR229730
OG0000282	Np005G2741000	CARHR229570
OG0000285	Np005G2879700	CARHR227980
OG0000286	Np003G1578100	CARHR178840, CARHR232240
OG0000286	Np005G2707100, Np005G2706600, Np005G2707500	CARHR175950, CARHR174900
OG0000294	Np002G1225100	CARHR058080, CARHR198380
OG0000295	Np004G2036300	CARHR035800
OG0000295	Np004G2551000	CARHR004430
OG0000295	Np004G2108200	CARHR223360
OG0000295	Np004G2108300	CARHR100860
OG0000296	Np003G1534000, Np007G4243900, Np003G1534400	CARHR285460, CARHR285480
OG0000296	Np003G1539300	CARHR272760, CARHR053670, CARHR272770
OG0000296	Np003G1534300	CARHR272750
OG0000298	Np004G2067300	CARHR033060
OG0000298	Np004G2066900, Np004G2067000	CARHR033100
OG0000298	Np001G0361700, Np004G2066800, Np004G2066700	CARHR033050
OG0000300	Np004G1944000	CARHR166000, CARHR264620, CARHR264630
OG0000301	Np001G0656600	CARHR139910, CARHR139920
OG0000301	Np006G3657800, Np006G3692300	CARHR096590
OG0000305	Np004G2040900, Np004G2390100	CARHR017730
OG0000307	Np007G3777700	CARHR220080, CARHR041320, CARHR219950, CARHR112870, CARHR216070, CARHR057800, CARHR216060, CARHR216110
OG0000308	Np001G0413700	CARHR180240
OG0000308	Np001G0413900, Np001G0413800, Np001G0414200, Np001G0414100	CARHR180280
OG0000309	Np005G3043400	CARHR274060
OG0000313	Np006G3319700	CARHR111260, CARHR135310, CARHR135320, CARHR111270
OG0000314	Np003G1725200	CARHR213600
OG0000314	Np004G2096300, Np002G0900000, Np001G0544400	CARHR006310
OG0000318	Np004G2401400	CARHR062760
OG0000321	Np004G1971000	CARHR040120
OG0000321	Np003G1478700	CARHR193110, CARHR193130
OG0000322	Np008G4268900, Np009G4291900, Np006G3488400, Np003G1896200, Np003G1887600, Np005G2608200, Np005G2608600, Np005G2607900	CARHR259720
OG0000323	Np004G2384300	CARHR018220
OG0000323	Np005G3167200	CARHR262010
OG0000325	Np004G2554700	CARHR004130
OG0000325	Np006G3577000	CARHR127110
OG0000325	Np004G2554500	CARHR004140
OG0000326	Np006G3247600, Np004G2144700, Np005G3048100	CARHR112590
OG0000326	Np002G0761200, Np007G4109700	CARHR112900
OG0000327	Np005G3168200	CARHR089970
OG0000329	Np005G3045800	CARHR220880
OG0000329	Np004G2324000, Np005G3144800, Np005G3144500	CARHR263560, CARHR263570
OG0000330	Np002G0817100, Np002G0817000	CARHR065890, CARHR065920, CARHR065910, CARHR065900
OG0000330	Np002G0817200	CARHR065880
OG0000331	Np003G1874800	CARHR249810
