Orthogroup	Noccaea_praecox	Euclidium_syriacum
OG0000048	Np006G3565700	ESY2_g33720_DN3_SP0_c0.t1, ESY2_g33725_DN2_SP0_c0.t1, ESY2_g33709_DN1_SP0_c0.t1, ESY2_g33707_DN3_SP0_c0.t1, ESY2_g33721_DN1_SP0_c0.t1, ESY20_g13338_DN3_SP0_c0.t1
OG0000048	Np002G0926400	ESY8_g58424_DN3_SP0_c0.t1, ESY8_g58362_DN3_SP0_c0.t1, ESY8_g58304_DN1_SP0_c0.t1
OG0000050	Np005G2948800, Np006G3520600, Np001G0383900	ESY11_g54389_DN1_SP0_c0.t1, ESY22_g40701_DN2_SP0_c0.t1
OG0000050	Np005G2619700	ESY1_g9981_DN2_SP0_c0.t1, ESY7_g19658_DN2_SP0_c17.t1, ESY3_g29149_DN1_SP0_c0.t1, ESY9_g45386_DN2_SP0_c0.t1, ESY21_g55697_DN2_SP0_c0.t1, ESY10_g15754_DN1_SP0_c0.t1
OG0000050	Np002G0988200, Np001G0256300, Np007G3953400, Np006G3570900	ESY3_g27878_DN2_SP0_c0.t1
OG0000051	Np004G2552100, Np007G3843500, Np007G3849300, Np004G2593300, Np003G1312800, Np003G1313100, Np003G1316200, Np004G2360300	ESY5_g5128_DN3_SP0_c0.t1
OG0000051	Np006G3285300, Np006G3285400	ESY5_g2704_DN3_SP0_c0.t1
OG0000051	Np002G1163000	ESY12_g51256_DN3_SP0_c0.t1
OG0000051	Np006G3285800, Np006G3285900, Np006G3286000	ESY12_g51336_DN3_SP0_c0.t1
OG0000051	Np006G3284900	ESY5_g2705_DN3_SP0_c0.t1
OG0000051	Np003G1730300	ESY5_g2706_DN3_SP0_c11.t1
OG0000051	Np006G3284800, Np006G3284200, Np006G3284000	ESY12_g51338_DN3_SP0_c0.t1
OG0000055	Np006G3336100, Np006G3338700, Np003G1875300	ESY2_g35826_DN2_SP0_c0.t1
OG0000055	Np007G3923100, Np007G3922500	ESY8_g59290_DN2_SP0_c0.t1, ESY16_g61649_DN2_SP0_c0.t1
OG0000055	Np007G4191600, Np007G4191200, Np005G2851900	ESY2_g35556_DN3_SP0_c0.t1
OG0000056	Np002G1194100	ESY2_g33665_DN2_SP0_c0.t1
OG0000056	Np002G1201900, Np002G1202000, Np002G1202100	ESY2_g33766_DN3_SP0_c0.t1
OG0000056	Np002G1191800, Np002G1192300, Np002G1195300	ESY2_g33775_DN1_SP0_c0.t1, ESY2_g33753_DN3_SP0_c0.t1, ESY2_g33752_DN3_SP0_c0.t1, ESY2_g33758_DN3_SP0_c0.t1, ESY2_g33773_DN1_SP0_c0.t1, ESY2_g33750_DN3_SP0_c0.t1, ESY2_g33772_DN2_SP0_c0.t1, ESY2_g33746_DN3_SP0_c0.t1
OG0000056	Np002G1192400	ESY2_g33667_DN3_SP0_c0.t1, ESY1_g11935_DN1_SP0_c0.t1, ESY16_g61941_DN3_SP0_c0.t1, ESY2_g33673_DN3_SP0_c0.t1, ESY4_g25972_DN2_SP0_c0.t1
OG0000056	Np005G3136000	ESY3_g31686_DN3_SP0_c0.t1
OG0000058	Np004G2334500, Np006G3421900	ESY15_g65727_DN2_SP0_c85.t1
OG0000058	Np006G3423100, Np006G3422500, Np004G2183000, Np007G3942100, Np006G3504600, Np003G1369700, Np006G3421800, Np002G1073600, Np007G4038100	ESY13_g56710_DN1_SP0_c0.t1
OG0000060	Np005G3068800	ESY7_g19007_DN3_SP0_c0.t1, ESY6_g48855_DN3_SP0_c0.t1
OG0000060	Np004G2515700, Np006G3598500	ESY8_g58877_DN3_SP0_c0.t1
OG0000060	Np004G2518200	ESY1_g11058_DN3_SP0_c0.t1
OG0000060	Np001G0460200	ESY5_g4464_DN2_SP0_c0.t1
OG0000061	Np003G1795500	ESY3_g29585_DN1_SP0_c98.t1
OG0000061	Np005G3181500, Np005G3181600, Np002G1245500	ESY10_g14355_DN2_SP0_c0.t1
OG0000062	Np002G0935900, Np001G0402000, Np007G4021600	ESY11_g52398_DN3_SP0_c0.t1, ESY9_g43856_DN2_SP0_c0.t1
OG0000062	Np002G0991500	ESY9_g44156_DN3_SP0_c0.t1
OG0000063	Np007G3777600, Np005G3133100, Np006G3435600, Np001G0224800, Np002G0954100, Np006G3435500	ESY17_g40075_DN1_SP0_c10.t1
OG0000066	Np004G2500100, Np003G1367200	ESY11_g54349_DN3_SP0_c0.t1
OG0000066	Np005G2623300, Np007G3771600	ESY2_g36068_DN3_SP8_c0.t1
OG0000067	Np005G2826900	ESY3_g28898_DN3_SP0_c0.t1
OG0000068	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600	ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14570_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1
OG0000068	Np001G0556100, Np001G0557000, Np001G0558400	ESY2_g35387_DN3_SP0_c0.t1
OG0000069	Np006G3704200, Np006G3697500	ESY6_g49560_DN2_SP0_c0.t1
OG0000069	Np004G2374300, Np004G2572500, Np004G2541100, Np004G2541500	ESY8_g58271_DN2_SP0_c9.t1
OG0000069	Np004G2313200, Np001G0593200, Np001G0592800, Np001G0596200, Np001G0586900, Np001G0599500	ESY10_g15831_DN1_SP0_c0.t1
OG0000069	Np005G2913000, Np005G2913300, Np005G2926900, Np005G2926800	ESY6_g49138_DN1_SP0_c0.t1
OG0000069	Np005G2912900, Np005G2946700, Np005G2913400	ESY4_g26861_DN3_SP0_c0.t1
OG0000070	Np007G3899300, Np001G0248800	ESY10_g14297_DN3_SP0_c35.t1, ESY3_g32095_DN2_SP0_c41.t1
OG0000070	Np004G1989200, Np004G1988600, Np004G2059200, Np001G0355800, Np001G0356100, Np001G0356000	ESY2_g37816_DN3_SP0_c0.t1, ESY2_g37886_DN2_SP0_c0.t1
OG0000070	Np001G0650300, Np001G0653200	ESY16_g62316_DN3_SP0_c41.t1, ESY16_g62036_DN3_SP0_c0.t1
OG0000070	Np007G3856900	ESY1_g11985_DN1_SP0_c74.t1
OG0000072	Np007G4041200, Np001G0368400, Np003G1731700, Np006G3587200, Np009G4327500, Np006G3447100, Np003G1510900, Np006G3565200	ESY7_g16117_DN2_SP0_c0.t1
OG0000072	Np007G4034300, Np001G0214400, Np004G2135500, Np006G3592300, Np006G3546700, Np006G3482700	ESY9_g44874_DN3_SP0_c0.t1, ESY6_g47138_DN1_SP0_c0.t1, ESY21_g55397_DN2_SP0_c0.t1, ESY9_g44731_DN3_SP0_c0.t1
OG0000072	Np002G0772500, Np004G2176900, Np006G3362700, Np002G0796100, Np001G0490300, Np008G4256100, Np001G0651800, Np002G1002300, Np005G3189400, Np007G3836600, Np006G3485300, Np004G2112600	ESY2_g37912_DN2_SP0_c0.t1
OG0000072	Np003G1588900, Np007G4122700, Np005G2824400	ESY15_g64467_DN1_SP0_c0.t1
OG0000073	Np005G2938000, Np001G0249200, Np003G1524100	ESY4_g22225_DN3_SP0_c0.t1, ESY3_g28765_DN1_SP0_c0.t1
OG0000075	Np005G2617300	ESY5_g3131_DN2_SP0_c0.t1, ESY4_g25989_DN2_SP0_c16.t1, ESY11_g54736_DN2_SP0_c70.t1, ESY20_g13256_DN2_SP0_c23.t1, ESY6_g46488_DN2_SP0_c0.t1, ESY8_g60763_DN2_SP0_c0.t1, ESY8_g60740_DN3_SP0_c0.t1
OG0000075	Np004G2247300	ESY1_g11598_DN2_SP0_c38.t1, ESY8_g60767_DN2_SP0_c0.t1, ESY3_g32315_DN3_SP0_c83.t1, ESY3_g32310_DN2_SP0_c12.t1, ESY3_g32312_DN1_SP0_c66.t1, ESY4_g26050_DN2_SP0_c0.t1
OG0000076	Np005G2608900	ESY4_g26855_DN3_SP0_c0.t1, ESY4_g26853_DN2_SP0_c0.t1
OG0000076	Np001G0369900	ESY4_g26372_DN3_SP0_c0.t1, ESY5_g4993_DN1_SP0_c0.t1, ESY5_g4992_DN1_SP0_c0.t1, ESY8_g59674_DN1_SP0_c0.t1, ESY2_g33376_DN3_SP0_c13.t1, ESY5_g4917_DN3_SP0_c0.t1, ESY2_g35407_DN2_SP0_c0.t1, ESY9_g42752_DN3_SP0_c0.t1, ESY2_g33366_DN2_SP0_c0.t1, ESY3_g31945_DN3_SP0_c0.t1, ESY4_g25882_DN2_SP0_c0.t1, ESY2_g34046_DN1_SP0_c0.t1, ESY4_g26532_DN1_SP0_c0.t1, ESY8_g59034_DN1_SP0_c0.t1, ESY4_g26353_DN2_SP0_c8.t1, ESY4_g25591_DN2_SP0_c0.t1, ESY2_g33380_DN1_SP0_c0.t1, ESY4_g26224_DN3_SP0_c0.t1, ESY6_g50584_DN1_SP0_c0.t1, ESY2_g33369_DN2_SP0_c0.t1
OG0000077	Np002G0927000	ESY16_g61756_DN3_SP0_c0.t1
OG0000079	Np007G3963000, Np004G2152000, Np004G2051400, Np004G2152100, Np004G2296400, Np004G2253500, Np004G2253600	ESY8_g59723_DN2_SP0_c0.t1
OG0000081	Np005G2602400	ESY9_g44119_DN3_SP0_c0.t1, ESY7_g18625_DN3_SP0_c96.t1
OG0000082	Np005G3021900	ESY16_g62439_DN1_SP0_c0.t1, ESY2_g37207_DN1_SP0_c0.t1, ESY13_g57896_DN2_SP0_c0.t1, ESY24_g33022_DN1_SP0_c64.t1
OG0000082	Np006G3323100	ESY3_g28725_DN2_SP0_c0.t1
OG0000084	Np004G2273500	ESY23_g105_DN2_SP0_c89.t1, ESY14_g20371_DN1_SP0_c0.t1
OG0000084	Np007G3915500	ESY9_g44313_DN1_SP0_c0.t1
OG0000086	Np005G3022400	ESY8_g59458_DN3_SP0_c0.t1
OG0000086	Np005G3126400, Np005G3126800, Np005G3126700, Np005G3127000	ESY10_g14581_DN2_SP0_c0.t1, ESY12_g50856_DN3_SP0_c0.t1
OG0000086	Np005G3127100	ESY7_g19367_DN1_SP0_c0.t1, ESY9_g43340_DN2_SP0_c0.t1, ESY9_g43341_DN3_SP0_c0.t1, ESY7_g19406_DN2_SP0_c0.t1, ESY7_g19368_DN2_SP0_c0.t1
OG0000086	Np002G0867100	ESY2_g35232_DN2_SP0_c0.t1
OG0000089	Np001G0109800	ESY6_g50131_DN3_SP8_c0.t1
OG0000089	Np006G3501600, Np008G4281600	ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58770_DN3_SP0_c0.t1
OG0000089	Np003G1391100	ESY7_g18326_DN3_SP8_c0.t1
OG0000089	Np001G0399300	ESY7_g16559_DN3_SP8_c0.t1
OG0000089	Np005G2871200	ESY9_g43361_DN3_SP8_c0.t1
OG0000089	Np002G0774400	ESY2_g34829_DN3_SP8_c0.t1
OG0000090	Np006G3523700, Np004G2304300	ESY26_g42317_DN1_SP0_c0.t1, ESY3_g30048_DN2_SP0_c0.t1, ESY2_g35989_DN3_SP0_c0.t1, ESY7_g17919_DN1_SP0_c0.t1, ESY6_g48406_DN3_SP0_c0.t1, ESY4_g24790_DN3_SP0_c0.t1, ESY6_g47216_DN3_SP0_c0.t1, ESY1_g12432_DN3_SP0_c0.t1, ESY2_g36671_DN2_SP0_c0.t1, ESY1_g7918_DN1_SP0_c0.t1, ESY8_g60387_DN3_SP0_c0.t1
OG0000095	Np006G3650500, Np006G3650700	ESY3_g31037_DN3_SP0_c0.t1, ESY3_g31041_DN2_SP0_c0.t1
OG0000095	Np006G3660300	ESY3_g31038_DN1_SP0_c0.t1
OG0000096	Np007G3952900, Np002G0789300, Np002G0783300, Np007G3906500, Np007G3813600, Np007G3828000, Np007G3827900, Np007G3802100, Np007G3815700, Np007G3816700, Np004G1968900, Np002G1192600, Np004G1989000, Np004G1955200, Np004G1945900, Np004G1963100, Np004G1955300	ESY6_g49250_DN3_SP0_c0.t1
OG0000096	Np007G3726500	ESY6_g49252_DN1_SP0_c0.t1, ESY11_g54414_DN1_SP0_c0.t1
OG0000098	Np007G3899100	ESY7_g16092_DN2_SP0_c0.t1, ESY7_g16160_DN2_SP0_c0.t1, ESY6_g50064_DN2_SP0_c0.t1, ESY5_g5060_DN3_SP0_c0.t1
OG0000098	Np005G3053200, Np001G0115600	ESY7_g18472_DN3_SP0_c0.t1
OG0000098	Np004G2594800	ESY11_g53834_DN2_SP0_c0.t1
OG0000098	Np007G3793600	ESY8_g58377_DN1_SP0_c0.t1, ESY8_g58376_DN2_SP0_c0.t1, ESY16_g62256_DN3_SP0_c0.t1, ESY8_g58375_DN1_SP0_c0.t1
OG0000098	Np001G0116500, Np001G0115500	ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1, ESY7_g17569_DN3_SP0_c0.t1
OG0000098	Np002G0990300, Np002G0990900, Np002G0990400	ESY11_g53833_DN2_SP0_c0.t1
OG0000100	Np002G1237300, Np002G1233700, Np004G2064500, Np002G1231900, Np002G1113500	ESY1_g11939_DN1_SP0_c0.t1
OG0000101	Np002G0868700, Np004G2067500, Np001G0489000, Np004G2252100, Np011G4358000, Np011G4357800, Np002G0736300, Np001G0306500, Np001G0036300, Np004G2254300, Np001G0349600, Np004G2428000, Np003G1266900, Np001G0589500, Np003G1682200, Np003G1683300, Np007G3942800, Np003G1683400	ESY13_g57677_DN1_SP0_c0.t1
OG0000102	Np003G1716100	ESY7_g16540_DN3_SP0_c0.t1
OG0000102	Np003G1850200	ESY7_g16536_DN3_SP0_c0.t1
OG0000102	Np003G1849800	ESY7_g16525_DN2_SP0_c0.t1
OG0000105	Np002G1229900	ESY5_g1810_DN2_SP0_c0.t1
OG0000105	Np003G1459200	ESY3_g32007_DN1_SP0_c0.t1, ESY7_g17046_DN1_SP0_c0.t1
OG0000106	Np001G0132900	ESY4_g24957_DN2_SP0_c25.t1
OG0000106	Np003G1632700	ESY3_g29783_DN3_SP0_c6.t1
OG0000107	Np007G3984500, Np005G3056200, Np007G3984300, Np007G3806900, Np007G4184500	ESY4_g23035_DN3_SP0_c29.t1
OG0000109	Np001G0341500	ESY9_g44457_DN2_SP0_c0.t1
OG0000109	Np002G1184600, Np005G2935200, Np007G4014300, Np005G2978600, Np006G3449000, Np003G1723900, Np003G1723300, Np003G1723600, Np011G4357100, Np002G1174400, Np008G4281000, Np002G1033400	ESY26_g42254_DN3_SP0_c0.t1, ESY15_g65580_DN3_SP0_c0.t1
OG0000110	Np002G0928100, Np002G0869900, Np002G0972400	ESY9_g43985_DN3_SP0_c0.t1
OG0000110	Np002G1086700, Np005G2909800, Np002G1161200, Np004G2113400, Np005G3033600, Np002G0891500, Np007G4015500, Np008G4289300	ESY6_g47757_DN3_SP0_c0.t1, ESY22_g40729_DN3_SP0_c0.t1
OG0000114	Np002G1018000	ESY1_g8020_DN3_SP0_c0.t1, ESY12_g51930_DN3_SP0_c0.t1, ESY1_g11590_DN2_SP0_c0.t1, ESY2_g38712_DN2_SP0_c0.t1
OG0000114	Np003G1744100	ESY1_g8018_DN1_SP0_c0.t1
OG0000116	Np002G1124800	ESY13_g57384_DN2_SP0_c0.t1, ESY9_g43004_DN2_SP0_c0.t1, ESY2_g38543_DN3_SP0_c0.t1, ESY17_g39177_DN3_SP0_c0.t1, ESY1_g6907_DN3_SP0_c10.t1, ESY13_g57117_DN3_SP0_c0.t1
OG0000116	Np003G1460300, Np005G3103800	ESY12_g51236_DN3_SP0_c0.t1
OG0000116	Np004G1921200, Np001G0237100	ESY6_g46511_DN2_SP0_c13.t1, ESY8_g59869_DN2_SP0_c0.t1
OG0000116	Np007G3783600	ESY11_g53666_DN2_SP0_c0.t1
OG0000118	Np002G0786200	ESY3_g32358_DN3_SP0_c0.t1
OG0000118	Np006G3383100	ESY5_g4943_DN1_SP0_c0.t1, ESY5_g4942_DN3_SP0_c0.t1, ESY11_g54074_DN3_SP0_c0.t1
OG0000118	Np007G4221800, Np007G4221900	ESY7_g16947_DN2_SP0_c0.t1
OG0000119	Np003G1836400	ESY6_g48892_DN3_SP0_c5.t1, ESY9_g42653_DN3_SP0_c4.t1
OG0000120	Np002G0949100	ESY1_g9428_DN3_SP0_c0.t1
OG0000120	Np003G1769900, Np005G2602500	ESY1_g8023_DN1_SP0_c0.t1
OG0000122	Np003G1577800	ESY6_g48222_DN3_SP0_c0.t1
OG0000122	Np003G1580100	ESY10_g15010_DN3_SP0_c0.t1
OG0000122	Np003G1577700	ESY2_g36290_DN3_SP0_c0.t1
OG0000123	Np003G1843300	ESY1_g10062_DN3_SP0_c100.t1, ESY1_g10061_DN3_SP0_c100.t1, ESY6_g49574_DN2_SP0_c100.t1
OG0000125	Np006G3601100	ESY8_g58834_DN3_SP0_c19.t1
OG0000125	Np004G1951700	ESY2_g37202_DN3_SP0_c14.t1
OG0000125	Np004G1951500	ESY1_g12339_DN3_SP0_c5.t1
OG0000127	Np003G1510700	ESY6_g48978_DN3_SP0_c0.t1, ESY6_g48979_DN3_SP0_c0.t1
