Orthogroup	Noccaea_praecox	Arabidopsis_thaliana
OG0000125	Np006G3600700	AT2G28960.2
OG0000125	Np004G2519400	AT1G07560.1
OG0000125	Np004G1951700	AT1G49100.1
OG0000125	Np004G1951500	AT1G51820.1, AT1G51850.2, AT1G51830.2
OG0000125	Np004G1951600	AT1G51805.1
OG0000125	Np007G3813400	AT3G21340.1
OG0000126	Np001G0233600	AT3G29638.1
OG0000126	Np004G2191600	AT2G19960.3
OG0000127	Np003G1510700	AT5G22880.1
OG0000127	Np006G3371500	AT2G37470.1
OG0000127	Np001G0565000	AT3G53650.1
OG0000127	Np003G1523500	AT5G59910.1, AT3G45980.1
OG0000127	Np006G3598300	AT2G28720.1
OG0000128	Np001G0645400	AT3G59270.1
OG0000128	Np001G0644700	AT3G59200.1
OG0000128	Np001G0644900	AT3G59210.1
OG0000128	Np001G0644500	AT1G58310.1, AT4G14103.2, AT4G14096.1
OG0000129	Np002G0866100	AT1G65120.2
OG0000129	Np005G3118200	AT1G65200.1
OG0000130	Np006G3485400	AT3G25270.1, AT2G04420.1, AT1G50160.1
OG0000132	Np001G0583700	AT3G54910.1
OG0000132	Np005G3117900, Np005G3137200, Np005G3137300, Np005G3137400	AT5G38590.2, AT5G38570.1, AT5G38565.1
OG0000134	Np003G1378400	AT5G11250.2
OG0000137	Np003G1600600	AT5G55370.1
OG0000137	Np003G1600500	AT5G55380.1
OG0000137	Np003G1602200	AT5G55330.1
OG0000137	Np003G1596700	AT1G34490.1, AT1G34520.1
OG0000137	Np003G1602000, Np003G1601500, Np003G1600700	AT5G55360.1
OG0000137	Np003G1602100	AT5G55350.1
OG0000137	Np003G1602400	AT5G55340.1
OG0000141	Np002G1165900	AT1G62630.1, AT1G63360.1, AT1G63350.2
OG0000148	Np004G1960900, Np004G1960800	AT1G47730.1, AT1G48060.1
OG0000151	Np001G0586800	AT3G55100.1
OG0000151	Np006G3339200	AT2G39350.1
OG0000151	Np001G0586700	AT3G55090.1
OG0000151	Np001G0563500	AT3G53510.1
OG0000151	Np006G3374700	AT2G37360.1
OG0000151	Np003G1404000	AT5G13580.1
OG0000153	Np004G2521100	AT1G07450.1
OG0000154	Np004G1998200	AT5G18510.1
OG0000154	Np004G1963300	AT1G50790.1
OG0000157	Np005G3104600, Np005G3104800, Np005G3107600, Np006G3343300	AT1G32660.1
OG0000158	Np002G0811900	AT4G36840.1
OG0000159	Np008G4256300, Np006G3412600, Np007G3979900, Np005G2983500, Np008G4256500	AT4G03728.1
OG0000160	Np007G3739600	AT2G18960.1
OG0000160	Np005G2740000	AT4G30190.2
OG0000160	Np003G1560700	AT5G57350.1
OG0000160	Np007G3899700	AT2G07560.1
OG0000160	Np001G0430500	AT3G42640.1
OG0000160	Np002G0711700	AT1G80660.1
OG0000162	Np007G3727700	AT2G04830.1
OG0000162	Np001G0244500	AT2G03610.1
OG0000162	Np001G0244800	AT2G04810.1, AT2G04840.1
OG0000163	Np006G3651700, Np002G0952300, Np002G0879200, Np007G3786700, Np007G3787500, Np002G1203300, Np001G0333500, Np003G1621000, Np001G0558600, Np007G3939100	AT2G06105.1
OG0000165	Np002G1201100, Np002G1201400, Np002G1201300, Np002G1201200	AT2G15010.1
OG0000165	Np003G1813000, Np003G1781700, Np003G1822600, Np003G1800900, Np003G1781600, Np003G1801300, Np003G1801500, Np007G4108400	AT5G36910.1
OG0000167	Np007G3808900	AT3G21170.1
OG0000167	Np007G3810100, Np007G3810500	AT3G21130.1, AT3G21120.1
OG0000169	Np004G2006300, Np004G2270200, Np001G0564500	AT1G47340.1, AT1G47350.1
OG0000169	Np004G2270300	AT1G47300.1
OG0000170	Np001G0660400	AT3G61035.1
OG0000170	Np006G3241500	AT1G33720.1
OG0000171	Np003G1641800	AT5G53300.1
OG0000171	Np002G1239200	AT1G64230.4
OG0000171	Np007G3768900	AT2G16740.1
OG0000171	Np003G1582900	AT5G56150.1
OG0000171	Np005G2770300	AT4G27960.2
OG0000172	Np003G1644100, Np006G3712300, Np004G1991300, Np004G1900300	AT2G02520.1, AT4G05095.1, AT3G25727.1
OG0000175	Np003G1416000	AT5G14670.1
OG0000178	Np003G1833700	AT4G04490.1
OG0000178	Np003G1835100	AT4G04510.2
OG0000178	Np003G1835200	AT4G04500.1
OG0000178	Np003G1834900, Np003G1834200	AT4G04540.1
OG0000182	Np001G0465800, Np003G1776200	AT3G61100.1, AT3G61090.1
OG0000183	Np002G0949900, Np001G0612700, Np005G3124900	AT1G66410.2, AT5G37780.3
OG0000183	Np006G3615500	AT5G21274.1, AT2G27030.3
OG0000184	Np007G3824400, Np007G3829200	AT4G20610.1, AT4G20630.1, AT4G20580.1, AT4G20640.1, AT4G20670.1, AT4G20620.1, AT4G20590.1, AT4G20600.1, AT4G20540.1, AT4G20645.1, AT4G20550.1, AT4G20560.1, AT4G20530.1, AT4G20570.1, AT3G21990.1, AT3G21980.1
OG0000184	Np007G3795700	AT3G22040.1
OG0000185	Np001G0026600, Np001G0030000, Np001G0688200	AT1G19060.1, AT1G02770.1
OG0000188	Np007G4202800, Np004G1955500	AT2G13630.1, AT3G04660.1
OG0000189	Np005G2675300	AT4G35950.1
OG0000189	Np007G3769000	AT4G35020.1
OG0000189	Np002G0772800	AT1G75840.1
OG0000189	Np004G2354100	AT1G20090.1
OG0000192	Np003G1311400	AT3G51210.1
OG0000192	Np003G1314300	AT5G43690.1
OG0000192	Np005G2794900	AT4G26280.1
OG0000192	Np004G2432200	AT3G45080.1, AT3G45070.2, AT2G27570.1
OG0000195	Np007G3730700	AT2G04680.1, AT5G37620.1
OG0000196	Np007G4161800	AT5G41540.1
OG0000197	Np005G2896800	AT5G37750.1, AT5G37440.1
OG0000197	Np004G2022400	AT4G19570.1
OG0000198	Np001G0273200, Np001G0273100	AT4G14060.1, AT2G01530.1
OG0000198	Np006G3633600, Np003G1742600	AT1G14960.1, AT1G30990.1
OG0000198	Np004G2415000	AT1G14930.1, AT1G14940.1
OG0000198	Np004G2414700	AT1G14950.1
OG0000198	Np005G2833600	AT3G26450.1, AT3G26460.1
OG0000199	Np004G2471000, Np004G2469700, Np004G2471600, Np004G2469900, Np004G2460000	AT4G29770.2, AT5G18065.1, AT5G18040.1, AT4G29760.1
OG0000200	Np004G2544000	AT1G05550.3
OG0000200	Np004G2543900	AT1G05540.1
OG0000200	Np004G2143200, Np004G2141700, Np003G1654700	AT1G30170.1
OG0000200	Np004G2141600, Np004G2143500	AT1G30160.2
OG0000202	Np007G3890500	AT4G02190.1, AT4G01910.1, AT4G01930.1, AT4G01740.1, AT4G01920.1, AT4G11550.1, AT4G11390.2, AT4G11540.1, AT4G01760.1
OG0000202	Np007G3758700	AT1G69150.1, AT3G43890.1
OG0000202	Np002G1149700	AT4G01925.1
OG0000202	Np007G3791900	AT4G09690.1, AT4G11547.1
OG0000203	Np005G3179800	AT3G58370.1
OG0000203	Np001G0632300	AT3G58360.1
OG0000203	Np001G0631800	AT3G58350.1
OG0000209	Np003G1366500	AT5G10340.1
OG0000210	Np006G3250000	AT2G28580.2, AT2G44930.1
OG0000215	Np007G4021500, Np002G1038000	AT2G06265.1, AT2G07505.1
OG0000216	Np002G1121800	AT1G57790.1
OG0000216	Np001G0606300, Np001G0606400	AT3G56470.1
OG0000225	Np002G0730800	AT1G78730.1
OG0000225	Np002G0730400	AT1G69630.1
OG0000227	Np006G3524200, Np006G3524300	AT3G05650.1, AT3G05660.1, AT3G11010.2, AT5G27060.2, AT3G11080.1, AT3G28890.1, AT5G25910.1, AT2G15042.1
OG0000229	Np006G3473000	AT2G29880.1
OG0000229	Np002G1043000	AT5G35540.1
OG0000230	Np001G0641400	AT3G58900.4
OG0000233	Np003G1335200, Np003G1335300	AT5G07550.1
OG0000233	Np003G1335400	AT5G07571.1, AT5G07560.1
OG0000233	Np003G1335100	AT5G07540.1
OG0000233	Np003G1334700, Np003G1334800, Np003G1334900, Np005G2911800	AT5G07510.1, AT5G07600.1, AT5G07520.1
OG0000234	Np003G1792500	AT2G44030.1, AT2G45406.1
OG0000235	Np003G1445200, Np003G1886600, Np003G1804500	AT3G25080.1
OG0000235	Np005G3191700, Np005G3191200	AT1G24388.1
OG0000236	Np002G0865900, Np002G0866200, Np002G0866000	AT1G69650.1
OG0000236	Np007G3825000	AT2G15710.1
OG0000236	Np003G1773300	AT3G22080.1
OG0000237	Np006G3664800, Np005G3024700	AT1G77650.1
OG0000237	Np007G3835000	AT3G22650.2
OG0000237	Np007G3814600	AT3G21410.1
OG0000238	Np002G0845300	AT1G70840.1
OG0000238	Np004G2309500	AT5G28000.1, AT5G28010.1
OG0000239	Np003G1674300, Np001G0362700, Np001G0271800, Np003G1818900, Np002G0913500, Np007G4007300, Np001G0271700	AT1G43145.1
OG0000241	Np005G2864100	AT4G21860.1
OG0000241	Np003G1837500	AT4G04830.1
OG0000242	Np007G4179600	AT5G48670.1
OG0000242	Np001G0141900	AT5G26630.1
OG0000243	Np004G2125700, Np004G2125900, Np004G2125000	AT1G29420.2, AT1G29510.1
OG0000243	Np004G2125200	AT1G29460.2, AT1G29500.1
OG0000243	Np004G2125600	AT1G29440.1, AT1G29430.1, AT5G27780.1
OG0000244	Np003G1858400	AT4G05230.1
OG0000244	Np003G1858200, Np003G1858100, Np003G1857800	AT4G03370.1, AT4G03360.1, AT4G02950.1, AT4G03350.1, AT4G02970.1
OG0000246	Np006G3384100, Np003G1776100	AT2G36790.1, AT2G36800.1
OG0000246	Np005G3092400	AT2G36760.1
OG0000247	Np004G2545900	AT5G38500.1, AT3G49610.1
OG0000247	Np004G2538200, Np003G1780900, Np003G1801100, Np003G1791800, Np003G1778100, Np003G1777900, Np003G1786000	AT1G32030.1
OG0000248	Np002G0857800	AT1G70120.1
OG0000248	Np002G0860000	AT5G39330.1, AT1G70020.1
OG0000249	Np008G4270100, Np009G4325200, Np001G0129900, Np003G1744700	AT1G43260.1
OG0000250	Np003G1507100, Np003G1848500	AT4G05320.2
OG0000250	Np003G1647300	AT4G02890.3
OG0000251	Np001G0226900	AT3G26300.1, AT3G26310.1
OG0000251	Np001G0491300, Np001G0226800, Np001G0226600	AT3G26330.1, AT3G26320.1
OG0000251	Np003G1562200	AT5G57260.1
OG0000253	Np002G0865000	AT1G56410.1
OG0000253	Np007G4134200	AT3G09440.1
OG0000253	Np003G1267200	AT5G02500.1
OG0000254	Np005G3023700, Np005G3023600	AT4G15680.1
OG0000255	Np007G4006000, Np008G4290400, Np007G4010300, Np006G3593600, Np003G1709200, Np005G2940900, Np005G2940700, Np004G2248500, Np007G4040600, Np006G3428900, Np003G1755900, Np002G0990800, Np009G4319500, Np002G0970800, Np011G4356100, Np006G3533100, Np003G1707800	AT1G42190.1
OG0000259	Np001G0461900	AT1G49610.1, AT3G03360.1, AT1G57690.1
OG0000265	Np005G3140200, Np007G4120400, Np002G0744800, Np002G0778500, Np003G1560300, Np004G1972500, Np006G3567500, Np004G2255600, Np001G0314500	AT5G15690.1, AT4G04775.1
OG0000269	Np003G1526500	AT5G59720.1
OG0000269	Np001G0459000, Np001G0458900	AT3G46230.1
OG0000269	Np004G2521600	AT1G07400.1, AT1G59860.1, AT2G29500.1
OG0000270	Np006G3619100	AT1G63320.1
OG0000275	Np001G0244400	AT4G39760.1
OG0000275	Np005G2619800	AT4G39753.1
OG0000275	Np004G1985300	AT5G28180.1, AT5G28160.1
OG0000277	Np007G3772100	AT4G34720.1, AT2G16510.1, AT4G38920.1
OG0000277	Np004G2355900	AT1G75630.2
OG0000278	Np005G3117100	AT5G37470.2, AT5G37460.1, AT5G37920.1, AT5G37430.1, AT5G37410.2, AT4G16530.1, AT5G37420.1
OG0000279	Np002G1141200, Np003G1803300	AT2G26030.4
OG0000279	Np005G3095700, Np001G0385400	AT5G44950.1
OG0000279	Np001G0386500	AT5G44970.1
OG0000282	Np006G3612000	AT4G22170.1
OG0000282	Np004G2027200, Np005G3148900, Np005G2741000	AT4G14165.1
OG0000284	Np005G2943000	AT5G19270.1
OG0000285	Np005G2879700	AT4G21380.1
OG0000286	Np003G1578100	AT3G10750.1
OG0000286	Np005G2707100, Np005G2706600, Np005G2707500	AT1G05080.1
OG0000286	Np003G1257000	AT5G44850.1
OG0000290	Np002G1240300	AT1G49920.1
OG0000292	Np001G0267600	AT4G29090.1
OG0000294	Np007G3931800, Np002G0947400	AT4G11590.1
OG0000294	Np002G1225100	AT1G31000.1
OG0000295	Np004G2551000	AT1G05005.1
OG0000295	Np004G2108300	AT3G11380.1, AT3G11350.1
OG0000296	Np003G1534000, Np007G4243900, Np003G1534400	AT5G59090.1, AT5G59120.1
OG0000296	Np003G1539300	AT5G58840.1, AT5G58820.1, AT5G58830.1
OG0000298	Np001G0361700, Np004G2066800, Np004G2066700	AT1G33590.2
OG0000300	Np004G1944000	AT3G56670.1
OG0000301	Np001G0656600	AT2G44630.1, AT2G44700.1
OG0000301	Np001G0664000	AT4G02310.1
OG0000304	Np004G2005100, Np004G2005300	AT5G48510.1, AT2G05330.1
OG0000304	Np003G1830800	AT2G40450.1
OG0000305	Np004G2040900, Np004G2390100	AT1G17150.1
OG0000307	Np007G3777700	AT1G51240.1, AT1G51250.1, AT1G51230.1, AT5G39493.1, AT1G09245.1
OG0000308	Np001G0413900, Np001G0413800, Np001G0414200, Np001G0414100	AT5G43370.1, AT5G43350.1
OG0000313	Np006G3363800, Np006G3363700	AT2G20620.1
OG0000316	Np007G4052400, Np007G4052300, Np002G1064100	AT3G14680.1, AT3G14640.2
OG0000321	Np004G1971000	AT1G04820.1
OG0000321	Np003G1478700	AT5G19770.1, AT5G19780.1
OG0000323	Np005G3167200	AT5G40100.1
OG0000323	Np004G2384500	AT1G72840.2, AT4G09430.1, AT5G48770.1
OG0000325	Np004G2554700	AT1G04750.1
OG0000325	Np006G3577000	AT2G33120.2
OG0000325	Np004G2554500	AT1G04760.1
OG0000326	Np006G3247600, Np004G2144700, Np005G3048100	AT2G03460.1
OG0000327	Np005G3168200	AT1G77570.1
OG0000328	Np007G3807700	AT3G21000.1
OG0000329	Np005G3045800	AT4G14630.1
OG0000330	Np002G0817100, Np002G0817000	AT1G72920.1, AT1G72940.1, AT1G72900.1, AT1G72930.1, AT1G72910.1, AT1G72950.1
OG0000330	Np002G0817200	AT1G72890.2
OG0000331	Np003G1874800	AT4G01850.1
OG0000331	Np007G3925500	AT3G17390.1
OG0000331	Np006G3382400	AT2G36880.1
OG0000332	Np002G1180900	AT1G61500.3
OG0000335	Np001G0491000, Np001G0490700	AT1G06630.1
OG0000336	Np004G2494000, Np002G1126300, Np004G2495700, Np002G1118200	AT1G09690.1, AT1G09590.1
OG0000339	Np001G0393100	AT4G20235.1
OG0000339	Np005G3086500	AT4G13310.1, AT4G13290.1
OG0000342	Np005G3060100, Np005G3059800	AT2G24510.1
OG0000344	Np007G3786100	AT1G11270.1
OG0000345	Np001G0410500	AT1G33850.1, AT5G09500.1, AT5G43640.1
OG0000345	Np003G1357300	AT5G09490.1
OG0000345	Np004G2560200	AT1G04270.1
OG0000346	Np001G0560600	AT3G53280.1
OG0000346	Np001G0228500, Np001G0228200, Np001G0228300	AT3G26200.1
OG0000346	Np004G1975800	AT3G53290.1
OG0000346	Np001G0561000	AT5G35715.1, AT3G53305.1, AT3G53300.1
OG0000347	Np001G0672700	AT3G61430.1
OG0000347	Np005G2837600	AT4G23400.1
OG0000347	Np004G2592100	AT1G01620.1
OG0000347	Np003G1893600	AT4G00430.1
OG0000348	Np001G0200000	AT3G28223.1, AT3G48220.1
OG0000349	Np003G1527400	AT5G59660.3
OG0000349	Np003G1526900	AT5G59680.1
OG0000350	Np007G3817600, Np007G3817500, Np007G3817800, Np007G3824500, Np007G3824300, Np007G3845500, Np007G3845200, Np007G3829000	AT3G29050.2, AT3G21920.2, AT3G21930.1, AT3G21910.1, AT3G21900.2
OG0000351	Np007G4098900, Np005G2793500, Np005G2793600, Np007G4098800	AT2G15660.1
OG0000355	Np003G1518500	AT5G60440.1
OG0000357	Np004G2131300, Np004G2131200	AT1G29930.1, AT1G29920.1, AT1G29910.1
OG0000359	Np003G1622800	AT5G54145.1
OG0000359	Np005G2774500, Np005G2774300	AT4G27652.1
OG0000361	Np004G1900200	AT5G32613.1
OG0000362	Np001G0541800, Np001G0386300, Np002G0787100, Np002G0996100	AT3G30730.2
OG0000362	Np004G2558000	AT3G30739.1
OG0000363	Np003G1299400	AT3G44970.1
OG0000363	Np004G1904600	AT1G55940.2
OG0000363	Np004G2083300	AT1G78490.1
OG0000364	Np006G3315100	AT2G40560.1, AT2G40500.1
OG0000365	Np004G2256300	AT1G26380.1, AT1G26410.1, AT1G26400.1, AT1G26420.1
OG0000367	Np002G0859300, Np002G0859700	AT5G35610.1
OG0000367	Np005G2934000	AT1G27250.1
OG0000368	Np001G0464200	AT3G46650.1
OG0000368	Np001G0464500, Np001G0465000, Np001G0464400	AT3G46720.1
OG0000369	Np007G3873300, Np007G3872900, Np007G3878000, Np003G1659100, Np006G3612900	AT5G49490.1, AT5G49420.1, AT5G38620.1
OG0000370	Np007G3881700	AT3G23950.1, AT3G23970.1
OG0000371	Np005G2999700	AT5G36080.1
OG0000371	Np003G1738900	AT1G35820.1, AT3G42870.1, AT3G30520.1
OG0000371	Np005G2999800	AT1G43720.1
OG0000376	Np002G1165500	AT1G60750.1
OG0000376	Np002G1164800, Np002G0907800	AT1G10810.1
OG0000376	Np002G1165400	AT1G60690.1
OG0000376	Np002G1165100	AT1G60710.1
OG0000377	Np005G2692900	AT4G37370.1
OG0000377	Np005G2692800	AT1G66540.1, AT4G37360.1, AT4G37340.1
OG0000377	Np005G2692500	AT4G37320.1
OG0000377	Np005G2692700	AT4G37330.1
OG0000379	Np001G0262000	AT2G02040.1
OG0000379	Np001G0572200	AT3G54140.1
OG0000379	Np001G0262300	AT2G02020.1
OG0000380	Np003G1532600	AT1G35850.1, AT5G59280.1, AT1G21620.1
OG0000380	Np003G1521100, Np003G1521000, Np001G0458000	AT5G60180.1, AT5G60110.1
OG0000381	Np002G0731800	AT1G78635.1, AT1G78640.1
OG0000381	Np006G3437400	AT2G33720.1
OG0000382	Np003G1866800	AT4G02420.1, AT4G02410.1
OG0000382	Np006G3368000	AT2G37710.1
OG0000383	Np006G3646200, Np006G3646100, Np004G2298600	AT1G23720.2
OG0000383	Np001G0576800, Np001G0576700, Np001G0576600, Np002G0976000	AT3G28550.1, AT3G54590.3, AT3G54580.1
OG0000384	Np001G0337300	AT5G46940.1, AT5G46970.1, AT5G46930.1
OG0000386	Np004G2069400	AT1G33960.2
OG0000386	Np004G2074600, Np004G2076900, Np004G2072700	AT1G33930.1
OG0000386	Np004G2078600, Np004G2071200	AT1G33870.1
OG0000386	Np004G2074700	AT1G33910.1
OG0000386	Np004G2078500, Np004G2079300, Np004G2073500, Np004G2071300, Np004G2074900	AT1G33900.1
OG0000388	Np007G3923800, Np007G3923600, Np007G3924100, Np007G3782200	AT3G17550.1
OG0000388	Np003G1624100, Np003G1624300	AT5G54210.1
OG0000388	Np001G0105800	AT5G23470.1, AT2G02290.1
OG0000388	Np007G3969000, Np007G3969100	AT2G04930.1, AT3G19595.1
OG0000389	Np004G2014700, Np004G2017900	AT5G56700.2, AT5G56690.1
OG0000389	Np005G3094800	AT2G26860.1
