Orthogroup	Noccaea_praecox	Arabis_alpina
OG0000028	Np003G1643200	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1
OG0000028	Np006G3533600, Np006G3532900, Np006G3474900, Np006G3473800, Np006G3703700, Np006G3698600, Np003G1462900, Np006G3474200, Np006G3698100, Np006G3696700, Np001G0479800, Np001G0480000, Np003G1832500, Np007G3822800, Np007G3818000, Np007G3823400	Aa_G123410.h1.t1, Aa_G71570.h1.t1, Aa_G123400.h1.t1
OG0000028	Np003G1604900	Aa_G553200.h1.t1
OG0000030	Np004G2250000	Aa_G152820.h1.t1
OG0000032	Np005G3033300, Np004G2084500, Np002G1024100, Np004G2084400, Np005G3033400	Aa_G209100.h1.t1
OG0000034	Np005G2840700, Np005G2840600	Aa_G782810.h1.t1, Aa_G619140.h1.t1
OG0000034	Np005G2840900	Aa_G191730.h1.t1
OG0000034	Np005G2841600	Aa_G191700.h1.t1
OG0000034	Np005G2841700	Aa_G191690.h1.t1
OG0000035	Np004G2088100, Np005G3165600	Aa_G44290.h1.t1
OG0000035	Np002G0894300	Aa_G417510.h1.t1
OG0000035	Np002G0910400	Aa_G9270.h1.t1
OG0000035	Np005G2829500, Np004G2306200, Np004G2311400, Np004G2256500	Aa_G246010.h1.t1
OG0000035	Np007G3930700	Aa_G195780.h1.t1
OG0000038	Np007G3978400	Aa_G117940.h1.t1
OG0000042	Np006G3478400	Aa_G273270.h1.t1, Aa_G517310.h1.t1, Aa_G660430.h1.t1, Aa_G361630.h1.t1, Aa_G569810.h1.t1, Aa_G61910.h1.t1
OG0000043	Np005G2957000, Np002G0951900	Aa_G30.h1.t1
OG0000046	Np002G0812000, Np006G3271700, Np002G0901300, Np007G3942200, Np006G3533700, Np004G2173800, Np007G4037000, Np003G1635500, Np004G2079600, Np005G3093000, Np006G3271600, Np007G4080200, Np005G3032100, Np004G2183100, Np004G2290100, Np002G1005100, Np004G2334400	Aa_G882110.h35.t1, Aa_G882110.h11.t1, Aa_G882110.h19.t1, Aa_G882110.h5.t1, Aa_G882110.h24.t1, Aa_G882110.h29.t1, Aa_G882110.h7.t1, Aa_G882110.h33.t1, Aa_G882110.h21.t1, Aa_G882110.h12.t1, Aa_G882110.h30.t1, Aa_G882110.h27.t1, Aa_G882110.h34.t1, Aa_G882110.h25.t1, Aa_G882110.h1.t1, Aa_G882110.h14.t1, Aa_G882110.h9.t1, Aa_G882110.h8.t1, Aa_G882110.h23.t1, Aa_G882110.h13.t1, Aa_G882110.h3.t1, Aa_G882110.h26.t1, Aa_G882110.h32.t1, Aa_G882110.h16.t1, Aa_G882110.h18.t1, Aa_G882110.h22.t1, Aa_G882110.h15.t1, Aa_G882110.h2.t1, Aa_G882110.h10.t1, Aa_G882110.h17.t1, Aa_G882110.h6.t1, Aa_G882110.h31.t1, Aa_G882110.h4.t1, Aa_G882110.h20.t1, Aa_G882110.h28.t1, Aa_G675110.h1.t1
OG0000047	Np002G1005500	Aa_G631350.h1.t1
OG0000048	Np006G3644800, Np002G0926400	Aa_G43710.h1.t1
OG0000050	Np001G0129000, Np001G0129100, Np001G0128800, Np004G2259400, Np004G2435300, Np001G0374100, Np006G3597400	Aa_G263310.h1.t1, Aa_G634370.h1.t1, Aa_G7430.h1.t1
OG0000051	Np004G2552100, Np007G3843500, Np007G3849300, Np004G2593300, Np003G1312800, Np003G1313100, Np003G1316200, Np004G2360300	Aa_G217710.h1.t1, Aa_G818500.h2.t1, Aa_G818500.h1.t1, Aa_G18920.h1.t1
OG0000051	Np006G3285300, Np006G3285400	Aa_G399340.h1.t1
OG0000051	Np002G1156400, Np002G1163000, Np002G1166000, Np002G1168200, Np002G1168100, Np002G1156700, Np002G1164000	Aa_G592860.h1.t1
OG0000051	Np002G1229200	Aa_G678670.h1.t1
OG0000051	Np006G3285800, Np006G3285900, Np006G3286000	Aa_G599340.h1.t1
OG0000051	Np006G3284800, Np006G3284200, Np006G3284000	Aa_G271540.h1.t1
OG0000052	Np002G0839600	Aa_G465260.h1.t1, Aa_G247990.h1.t1, Aa_G247980.h1.t1, Aa_G247970.h1.t1
OG0000055	Np007G3923100, Np007G3922500	Aa_G659190.h1.t1
OG0000055	Np007G4191600, Np007G4191200, Np005G2851900	Aa_G5070.h1.t1
OG0000056	Np002G1194100	Aa_G615080.h1.t1
OG0000056	Np002G1201900, Np002G1202000, Np002G1202100	Aa_G615090.h1.t1
OG0000056	Np002G1191800, Np002G1192300, Np002G1195300, Np002G1194600, Np002G1195000, Np002G1194400, Np002G1189700, Np002G1195200, Np002G1194900, Np002G1189500, Np002G1201000, Np002G1189800, Np002G1194000, Np002G1200900, Np002G1192400	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G643830.h1.t1, Aa_G594100.h1.t1
OG0000058	Np004G2334500	Aa_G444220.h1.t1
OG0000058	Np006G3423100, Np006G3422500, Np004G2183000, Np007G3942100, Np006G3504600, Np003G1369700, Np006G3421800, Np002G1073600, Np007G4038100	Aa_G527390.h1.t1
OG0000060	Np005G3068800	Aa_G448310.h5.t1
OG0000060	Np004G2515700, Np006G3598500	Aa_G448310.h7.t1
OG0000060	Np003G1523200	Aa_G805160.h1.t1, Aa_G781680.h1.t1, Aa_G781680.h2.t1, Aa_G318860.h6.t1, Aa_G33920.h6.t1, Aa_G550780.h8.t1, Aa_G375890.h5.t1, Aa_G257700.h8.t1, Aa_G33920.h4.t1, Aa_G33920.h1.t1, Aa_G367650.h6.t1, Aa_G448310.h2.t1, Aa_G550780.h3.t1, Aa_G33920.h5.t1, Aa_G375890.h2.t1, Aa_G33920.h7.t1, Aa_G197130.h2.t1, Aa_G197130.h8.t1, Aa_G375890.h8.t1, Aa_G33920.h3.t1, Aa_G375890.h4.t1, Aa_G257700.h1.t1, Aa_G257700.h2.t1, Aa_G197130.h5.t1, Aa_G197130.h1.t1, Aa_G367650.h2.t1, Aa_G448310.h4.t1, Aa_G550780.h2.t1, Aa_G257700.h5.t1, Aa_G33920.h8.t1, Aa_G318860.h1.t1, Aa_G257700.h4.t1, Aa_G33920.h2.t1, Aa_G197130.h6.t1, Aa_G318860.h2.t1, Aa_G318860.h5.t1, Aa_G448310.h8.t1, Aa_G448310.h1.t1, Aa_G367650.h4.t1, Aa_G375890.h3.t1, Aa_G375890.h1.t1, Aa_G197130.h7.t1, Aa_G367650.h8.t1, Aa_G367650.h7.t1, Aa_G318860.h8.t1, Aa_G550780.h1.t1, Aa_G550780.h4.t1, Aa_G367650.h1.t1
OG0000060	Np003G1526800	Aa_G550780.h5.t1
OG0000060	Np001G0456200	Aa_G375890.h7.t1
OG0000060	Np004G2518200	Aa_G448310.h3.t1
OG0000060	Np001G0460200	Aa_G257700.h3.t1
OG0000061	Np006G3342300	Aa_G235680.h1.t1, Aa_G329030.h1.t1, Aa_G84910.h1.t1
OG0000062	Np002G0949000	Aa_G288270.h1.t1
OG0000062	Np007G4021600	Aa_G8040.h1.t1
OG0000062	Np002G0991500	Aa_G417500.h1.t1
OG0000063	Np006G3435500	Aa_G998790.h1.t1
OG0000065	Np005G3146600	Aa_G120780.h1.t1, Aa_G120790.h1.t1, Aa_G508110.h1.t1
OG0000066	Np004G2505200, Np003G1367100, Np001G0031500, Np004G2500100, Np003G1367200	Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37410.h1.t1, Aa_G37430.h4.t1, Aa_G159180.h4.t1, Aa_G19080.h2.t1, Aa_G159190.h3.t1, Aa_G159180.h2.t1, Aa_G37410.h4.t1, Aa_G37430.h3.t1, Aa_G159180.h5.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G159190.h5.t1, Aa_G19080.h3.t1, Aa_G37430.h2.t1, Aa_G37430.h5.t1, Aa_G37410.h3.t1, Aa_G19080.h4.t1, Aa_G37410.h5.t1, Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1
OG0000066	Np007G3771600	Aa_G64790.h4.t1, Aa_G64790.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h2.t1, Aa_G503390.h4.t1, Aa_G64790.h2.t1, Aa_G64790.h3.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G432280.h4.t1, Aa_G503390.h2.t1, Aa_G503380.h3.t1, Aa_G432280.h1.t1, Aa_G503380.h1.t1, Aa_G503390.h3.t1, Aa_G486090.h1.t1
OG0000068	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600	Aa_G484940.h1.t1, Aa_G389030.h1.t1
OG0000068	Np001G0604000, Np001G0601600, Np001G0591700, Np001G0569900, Np001G0618200, Np003G1442200, Np003G1442100	Aa_G176470.h1.t1, Aa_G602860.h1.t1, Aa_G602850.h1.t1
OG0000068	Np006G3221500, Np006G3241700, Np006G3215500, Np005G2816600, Np006G3215800	Aa_G416390.h1.t1, Aa_G47520.h1.t1, Aa_G185620.h1.t1, Aa_G170400.h1.t1
OG0000069	Np007G3833600	Aa_G536480.h1.t1
OG0000069	Np005G2913000, Np005G2913300, Np005G2926900, Np005G2926800, Np005G2912900, Np005G2946700, Np005G2913400	Aa_G524570.h1.t1, Aa_G826060.h1.t1, Aa_G500310.h1.t1, Aa_G4440.h1.t1
OG0000070	Np007G3899300, Np001G0248800	Aa_G349430.h1.t1, Aa_G171980.h1.t1, Aa_G171960.h1.t1, Aa_G171970.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1
OG0000070	Np004G2353400	Aa_G433160.h1.t1, Aa_G266320.h1.t1
OG0000070	Np001G0364300, Np001G0366000, Np001G0526100, Np001G0525900, Np002G0771400	Aa_G410840.h1.t1
OG0000070	Np004G1989200, Np004G1988600, Np004G2059200, Np001G0355800, Np001G0356100, Np001G0356000	Aa_G273730.h1.t1
OG0000070	Np007G3856900	Aa_G349440.h1.t1, Aa_G349450.h1.t1
OG0000072	Np007G4041200, Np001G0368400, Np003G1731700, Np006G3587200, Np009G4327500, Np006G3447100, Np003G1510900, Np006G3565200	Aa_G652160.h1.t1, Aa_G44560.h1.t1, Aa_G531310.h1.t1, Aa_G227280.h1.t1, Aa_G160160.h1.t1
OG0000072	Np007G4034300, Np001G0214400, Np004G2135500, Np006G3592300, Np006G3546700, Np006G3482700	Aa_G505780.h1.t1
OG0000072	Np002G0772500, Np004G2176900, Np006G3362700, Np002G0796100, Np001G0490300, Np008G4256100, Np001G0651800, Np002G1002300, Np005G3189400, Np007G3836600, Np006G3485300, Np004G2112600	Aa_G880340.h1.t1, Aa_G204510.h1.t1, Aa_G233100.h1.t1, Aa_G9790.h1.t1
OG0000075	Np005G2617200, Np006G3607400, Np003G1743500, Np003G1743600, Np003G1743200	Aa_G374860.h1.t1, Aa_G374850.h1.t1
OG0000075	Np005G3174400, Np005G3174600, Np005G3174500, Np005G3175000, Np005G3174200	Aa_G374870.h1.t1
OG0000076	Np005G2608900	Aa_G137810.h1.t1
OG0000077	Np001G0247700	Aa_G683270.h1.t1
OG0000077	Np002G1126100	Aa_G161010.h1.t1
OG0000078	Np007G4214700	Aa_G339720.h1.t1
OG0000078	Np003G1454400	Aa_G253710.h1.t1
OG0000079	Np004G2051400	Aa_G160120.h1.t1
OG0000084	Np004G2273500	Aa_G128900.h1.t1
OG0000084	Np007G3915500	Aa_G263490.h1.t1, Aa_G315740.h1.t1, Aa_G680690.h1.t1, Aa_G370540.h1.t1, Aa_G460730.h1.t1, Aa_G1050160.h2.t1, Aa_G1050160.h1.t1
OG0000086	Np005G3126500	Aa_G108450.h1.t1
OG0000086	Np005G3127100, Np002G0867100	Aa_G703520.h1.t1
OG0000089	Np001G0109800	Aa_G630880.h1.t1
OG0000089	Np001G0070200	Aa_G409550.h1.t1, Aa_G88860.h1.t1
OG0000089	Np006G3501600, Np008G4281600	Aa_G199760.h1.t1
OG0000089	Np003G1391100	Aa_G256660.h1.t1
OG0000089	Np001G0399300	Aa_G103150.h1.t1
OG0000089	Np005G2871200	Aa_G580380.h1.t1
OG0000089	Np002G0774400	Aa_G656110.h1.t1
OG0000090	Np004G2177700, Np003G1831100	Aa_G663410.h1.t1
OG0000090	Np005G2971200, Np007G4113900, Np006G3546200, Np003G1792600, Np004G1961100, Np002G0878100, Np007G3883300	Aa_G84800.h1.t1, Aa_G329020.h1.t1
OG0000091	Np003G1487100, Np003G1487500	Aa_G15590.h1.t1
OG0000091	Np001G0528700	Aa_G15570.h1.t1
OG0000095	Np006G3650500, Np006G3650700	Aa_G54460.h1.t1
OG0000095	Np006G3660300	Aa_G271110.h1.t1
OG0000095	Np006G3649400	Aa_G155650.h1.t1
OG0000096	Np007G3942300, Np007G3952900, Np002G0789300, Np002G0783300, Np007G3906500, Np007G3813600, Np007G3828000, Np007G3827900, Np007G3802100, Np007G3815700, Np007G3816700, Np004G1968900, Np002G1192600, Np004G1989000, Np004G1955200, Np004G1945900, Np004G1963100, Np004G1955300, Np007G3726500	Aa_G32180.h1.t1
OG0000098	Np005G3053200	Aa_G539290.h1.t1
OG0000098	Np002G0990300, Np002G0990900, Np002G0990400, Np001G0127700	Aa_G70590.h1.t1, Aa_G539300.h1.t1
OG0000100	Np002G1231900	Aa_G65750.h1.t1, Aa_G65880.h1.t1, Aa_G65780.h1.t1, Aa_G65770.h1.t1, Aa_G65760.h1.t1
OG0000102	Np003G1716100	Aa_G577800.h1.t1
OG0000102	Np003G1850200	Aa_G132920.h1.t1
OG0000102	Np003G1850000	Aa_G42050.h1.t1
OG0000103	Np007G4123200	Aa_G210380.h1.t1, Aa_G865350.h1.t1, Aa_G384960.h1.t1
OG0000105	Np002G0893200	Aa_G710830.h1.t1
OG0000105	Np007G4161900	Aa_G440640.h1.t1, Aa_G771350.h1.t1, Aa_G302450.h1.t1, Aa_G276580.h1.t1
OG0000105	Np002G1232000	Aa_G616120.h1.t1
OG0000106	Np001G0132900	Aa_G308060.h1.t1, Aa_G1110880.h1.t1, Aa_G1110880.h3.t1, Aa_G1110880.h2.t1
OG0000106	Np003G1632700	Aa_G692990.h1.t1, Aa_G616190.h1.t1, Aa_G268590.h1.t1
OG0000106	Np006G3556500	Aa_G616180.h1.t1
OG0000106	Np001G0513300, Np003G1588100, Np005G2609700, Np005G2802400, Np003G1396400, Np005G3054500, Np006G3285100	Aa_G456270.h1.t1
OG0000106	Np004G1932400, Np002G1206600, Np002G0931500, Np004G2006800, Np006G3285600, Np006G3356100, Np002G0934000, Np001G0450200, Np001G0254300, Np001G0468300, Np003G1838400, Np002G1216700, Np001G0108100, Np004G2551200, Np004G1924900, Np003G1364100, Np004G1973500, Np001G0080600	Aa_G32140.h1.t1
OG0000107	Np007G4184500	Aa_G641990.h1.t1, Aa_G247880.h1.t1, Aa_G323940.h1.t1, Aa_G341070.h1.t1
OG0000108	Np001G0565800	Aa_G367680.h1.t1, Aa_G576740.h1.t1
OG0000108	Np001G0462100	Aa_G99370.h1.t1
OG0000108	Np007G4093400	Aa_G5290.h1.t1
OG0000108	Np003G1360400	Aa_G152880.h1.t1
OG0000110	Np002G1086700, Np005G2909800, Np002G1161200, Np004G2113400, Np005G3033600, Np002G0891500, Np007G4015500, Np008G4289300	Aa_G32020.h1.t1
OG0000114	Np002G1018000	Aa_G861160.h1.t1, Aa_G122790.h1.t1
OG0000114	Np003G1744100	Aa_G327480.h1.t1, Aa_G743610.h1.t1, Aa_G305670.h1.t1, Aa_G152040.h1.t1, Aa_G300900.h1.t1, Aa_G718680.h1.t1
OG0000116	Np002G1124800	Aa_G31310.h1.t1
OG0000116	Np003G1719700, Np004G2021800, Np003G1460300, Np005G3103800	Aa_G358570.h1.t1
OG0000116	Np001G0237100	Aa_G342720.h1.t1
OG0000117	Np004G2300400	Aa_G62240.h1.t1
OG0000117	Np004G2300200	Aa_G436170.h1.t1, Aa_G187350.h1.t1
OG0000120	Np002G0949100	Aa_G248300.h1.t1
OG0000121	Np004G2331000, Np003G1581500	Aa_G527420.h1.t1, Aa_G180200.h1.t1
OG0000122	Np001G0563200	Aa_G551010.h1.t1, Aa_G550960.h1.t1
OG0000122	Np003G1578400	Aa_G379620.h1.t1
OG0000122	Np003G1577700	Aa_G5880.h1.t1
OG0000122	Np003G1578500	Aa_G592740.h1.t1
OG0000125	Np004G2519400	Aa_G257560.h1.t1
OG0000125	Np004G1951700	Aa_G166390.h1.t1
OG0000127	Np003G1510700	Aa_G552180.h1.t1
OG0000127	Np006G3371500	Aa_G311330.h1.t1
OG0000127	Np003G1268100	Aa_G506920.h1.t1, Aa_G403520.h1.t1
OG0000127	Np003G1523500	Aa_G33880.h1.t1
OG0000127	Np006G3598300	Aa_G69270.h1.t1
OG0000128	Np001G0645400	Aa_G271300.h1.t1
OG0000128	Np001G0644700	Aa_G784880.h1.t1
OG0000128	Np001G0644900	Aa_G271260.h1.t1
OG0000128	Np001G0644500	Aa_G430920.h1.t1, Aa_G469560.h1.t1
OG0000129	Np002G0866100	Aa_G323510.h1.t1
OG0000129	Np001G0064000, Np001G0063300, Np001G0086000	Aa_G61470.h1.t1, Aa_G716440.h1.t1, Aa_G61530.h1.t1
OG0000132	Np001G0583700	Aa_G482030.h1.t1, Aa_G359110.h1.t1
OG0000132	Np005G3117900, Np005G3137200, Np005G3137300, Np005G3137400	Aa_G478490.h1.t1, Aa_G110070.h1.t1
OG0000132	Np001G0060200	Aa_G75250.h1.t1
OG0000132	Np001G0060100	Aa_G482020.h1.t1, Aa_G116920.h1.t1, Aa_G601860.h1.t1
OG0000132	Np005G3136900	Aa_G110080.h1.t1
OG0000134	Np003G1378400	Aa_G84490.h1.t1, Aa_G360810.h1.t1
OG0000137	Np003G1600500	Aa_G59090.h1.t1
OG0000137	Np003G1602300	Aa_G925390.h1.t1
OG0000137	Np003G1602000, Np003G1601500, Np003G1600700	Aa_G732190.h1.t1, Aa_G643460.h1.t1
OG0000137	Np003G1602400	Aa_G643480.h1.t1
OG0000140	Np005G2883300	Aa_G341600.h1.t1
OG0000141	Np002G1165900	Aa_G329600.h1.t1, Aa_G391060.h2.t1, Aa_G391060.h1.t1, Aa_G473800.h1.t1, Aa_G391080.h1.t1, Aa_G733890.h1.t1
OG0000150	Np002G1102100, Np006G3465100, Np005G2952600	Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G717270.h1.t1, Aa_G741540.h1.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1
OG0000151	Np001G0586800	Aa_G729400.h1.t1
OG0000151	Np006G3339200	Aa_G351720.h1.t1
OG0000151	Np001G0563500	Aa_G13900.h1.t1
OG0000151	Np006G3374700	Aa_G30120.h1.t1
OG0000151	Np003G1404000	Aa_G388320.h1.t1
OG0000153	Np004G2521100	Aa_G428890.h1.t1, Aa_G428910.h1.t1, Aa_G310600.h1.t1
OG0000154	Np004G1998200	Aa_G37000.h1.t1
OG0000154	Np005G3166500	Aa_G61460.h1.t1
OG0000154	Np004G1946000	Aa_G36900.h1.t1
OG0000155	Np007G3980100, Np003G1771100, Np003G1806600, Np003G1630300, Np003G1842800, Np002G0986800, Np003G1349300	Aa_G11930.h1.t1, Aa_G86920.h1.t1, Aa_G83970.h1.t1
OG0000158	Np001G0700500	Aa_G223250.h1.t1
OG0000158	Np002G0811700	Aa_G270230.h1.t1
OG0000159	Np003G1303600, Np003G1531700	Aa_G50020.h1.t1
OG0000160	Np007G3739600	Aa_G190130.h1.t1
OG0000160	Np005G2740000	Aa_G620370.h1.t1
OG0000160	Np003G1560700	Aa_G307400.h1.t1
OG0000160	Np007G3899700	Aa_G194510.h1.t1
OG0000160	Np001G0430500	Aa_G490420.h1.t1
OG0000160	Np002G0711700	Aa_G21590.h1.t1
OG0000162	Np006G3577700	Aa_G851370.h1.t1
OG0000162	Np001G0244600, Np007G3727700, Np001G0244500, Np001G0244800, Np006G3578300	Aa_G363640.h1.t1
OG0000163	Np006G3651700, Np002G0952300, Np002G0879200, Np007G3786700, Np007G3787500, Np002G1203300, Np001G0333500, Np003G1621000, Np001G0558600, Np007G3939100	Aa_G308560.h1.t1, Aa_G366470.h1.t1, Aa_G589080.h1.t1
OG0000164	Np001G0316300, Np002G1011400	Aa_G1007810.h1.t1, Aa_G1080960.h1.t1
OG0000165	Np002G1201100, Np002G1201400, Np002G1201300, Np002G1201200	Aa_G266430.h1.t1
OG0000165	Np003G1813000, Np003G1781700, Np003G1822600, Np003G1800900, Np003G1781600, Np003G1801300, Np003G1801500	Aa_G370290.h1.t1, Aa_G370300.h1.t1, Aa_G293040.h1.t1, Aa_G370270.h1.t1, Aa_G228400.h1.t1
OG0000166	Np004G1974000, Np001G0560100	Aa_G510600.h1.t1, Aa_G87240.h1.t1
OG0000169	Np004G2522900	Aa_G296310.h1.t1
OG0000170	Np001G0660400, Np001G0667900	Aa_G48820.h1.t1
OG0000170	Np006G3241500	Aa_G16090.h1.t1, Aa_G569190.h1.t1, Aa_G569190.h2.t1, Aa_G569190.h3.t1
OG0000171	Np003G1641800	Aa_G134060.h1.t1
OG0000171	Np002G1239200	Aa_G135580.h1.t1
OG0000171	Np007G3768900	Aa_G70150.h1.t1
OG0000171	Np003G1582900	Aa_G580840.h1.t1
OG0000171	Np005G2770300	Aa_G2000.h1.t1
OG0000175	Np004G2480900, Np002G1160900	Aa_G193050.h1.t1
OG0000176	Np002G0837300	Aa_G319560.h1.t1
OG0000176	Np002G0837100	Aa_G595900.h1.t1
OG0000178	Np003G1833700	Aa_G320630.h1.t1
OG0000182	Np001G0465800, Np003G1776200	Aa_G77300.h1.t1, Aa_G394610.h1.t1, Aa_G394570.h1.t1, Aa_G299160.h1.t1
OG0000182	Np002G0821500	Aa_G591560.h1.t1, Aa_G600540.h1.t1, Aa_G302260.h1.t1
OG0000182	Np003G1557500, Np007G3723300	Aa_G143210.h1.t1
OG0000183	Np002G0949900, Np001G0612700, Np005G3124900	Aa_G505900.h1.t1
OG0000183	Np001G0436300	Aa_G337660.h1.t1
OG0000183	Np006G3306600, Np003G1497800	Aa_G9100.h1.t1
OG0000185	Np001G0026600, Np001G0030000, Np001G0688200	Aa_G424840.h1.t1, Aa_G328640.h1.t1, Aa_G328640.h2.t1
OG0000188	Np007G4208500	Aa_G606990.h1.t1
OG0000188	Np001G0338100	Aa_G4330.h1.t1
OG0000189	Np005G2675300	Aa_G514660.h1.t1, Aa_G459730.h1.t1
OG0000189	Np007G3769000	Aa_G180380.h1.t1, Aa_G70160.h1.t1
OG0000189	Np002G0772800	Aa_G281740.h1.t1
OG0000191	Np006G3490400	Aa_G26980.h1.t1
OG0000192	Np003G1311400	Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G184310.h1.t1, Aa_G457510.h1.t1
OG0000193	Np004G2176400	Aa_G484150.h1.t1
OG0000195	Np007G3730700	Aa_G230200.h1.t1
OG0000196	Np007G4161800	Aa_G185160.h1.t1
OG0000196	Np005G3188800	Aa_G229810.h1.t1
OG0000197	Np004G2439300, Np002G1112700	Aa_G460250.h1.t1, Aa_G460270.h1.t1
OG0000197	Np005G2896800, Np005G2896900	Aa_G403160.h1.t1
OG0000197	Np004G2022400	Aa_G674860.h1.t1
OG0000198	Np001G0273200	Aa_G278170.h1.t1
OG0000198	Np004G2415000	Aa_G328840.h1.t1
OG0000198	Np004G2414700	Aa_G272200.h1.t1
OG0000198	Np005G2833600	Aa_G222140.h1.t1, Aa_G238450.h1.t1
OG0000199	Np007G3776000, Np007G3775100, Np006G3307800	Aa_G530530.h1.t1, Aa_G311720.h1.t1, Aa_G362380.h1.t1, Aa_G186410.h1.t1, Aa_G153710.h1.t1, Aa_G367870.h1.t1, Aa_G385540.h1.t1, Aa_G191200.h1.t1, Aa_G138220.h1.t1
OG0000199	Np004G2471000, Np004G2469700, Np004G2471600, Np004G2469900, Np004G2460000, Np005G3095000	Aa_G123140.h1.t1, Aa_G191220.h1.t1, Aa_G284830.h1.t1
