Orthogroup	Noccaea_praecox	Cardamine_glauca
OG0000070	Np001G0364300, Np001G0366000, Np001G0526100, Np001G0525900, Np002G0771400	Cg001G0322900, Cg001G0323200, Cg007G2530800
OG0000070	Np004G1989200, Np004G1988600, Np004G2059200, Np001G0355800, Np001G0356100, Np001G0356000	Cg006G1844100, Cg006G1844000, Cg006G1844200, Cg006G1840200, Cg006G1844300
OG0000072	Np007G4041200, Np001G0368400, Np003G1731700, Np006G3587200, Np009G4327500, Np006G3447100, Np003G1510900, Np006G3565200	Cg006G1870600, Cg007G2425100
OG0000072	Np007G4034300, Np001G0214400, Np004G2135500, Np006G3592300, Np006G3546700, Np006G3482700	Cg002G0615600, Cg003G0921700, Cg005G1721600, Cg006G1875000, Cg003G0891300, Cg006G1857400, Cg005G1716800, Cg005G1678100, Cg003G0771500, Cg003G0829500, Cg003G0793600, Cg004G1350300, Cg001G0334100
OG0000072	Np002G0772500, Np004G2176900, Np006G3362700, Np002G0796100, Np001G0490300, Np008G4256100, Np001G0651800, Np002G1002300, Np005G3189400, Np007G3836600, Np006G3485300, Np004G2112600	Cg007G2400700, Cg007G2408800
OG0000072	Np003G1588900, Np007G4122700, Np005G2824400	Cg005G1665600
OG0000074	Np001G0425700, Np002G0733000	Cg007G2434800
OG0000075	Np005G2617300	Cg001G0013900
OG0000076	Np005G2608900	Cg001G0007600
OG0000077	Np001G0381300	Cg005G1775900, Cg003G0758200
OG0000077	Np002G1121700	Cg007G2324000
OG0000077	Np001G0247700	Cg002G0678300
OG0000077	Np001G0381400	Cg008G2956300
OG0000078	Np007G4214700	Cg004G1099900
OG0000079	Np004G2051400	Cg004G1172300, Cg002G0672800
OG0000079	Np004G2152100, Np004G2296400, Np004G2253500	Cg010G2993500
OG0000080	Np002G1104300	Cg002G0578600, Cg002G0578900, Cg005G1663800
OG0000080	Np004G2051300	Cg004G1172200
OG0000080	Np002G1069800	Cg006G1882600
OG0000081	Np004G2188400, Np004G2195900, Np004G2188800, Np007G3988300	Cg003G0774600, Cg008G2921900
OG0000082	Np005G2991300, Np006G3323100	Cg002G0616100
OG0000083	Np010G4344800, Np003G1476800	Cg002G0678700
OG0000084	Np007G3915500	Cg007G2362900, Cg001G0292000, Cg006G1886500, Cg006G1886000, Cg003G0875600, Cg014G3052300, Cg004G1424800, Cg005G1657000
OG0000086	Np005G3126500	Cg001G0342500
OG0000086	Np005G3022400	Cg001G0341500
OG0000086	Np005G3127100	Cg001G0342600
OG0000089	Np001G0109800	Cg008G2794800
OG0000089	Np005G2870600	Cg003G1017300
OG0000089	Np001G0070200	Cg002G0558400
OG0000089	Np006G3501600, Np008G4281600	Cg005G1638200
OG0000089	Np003G1391100	Cg008G2689500
OG0000089	Np001G0399300	Cg008G2943700
OG0000089	Np005G2871200	Cg001G0195600
OG0000089	Np002G0774400	Cg007G2528700
OG0000090	Np005G2971200, Np007G4113900, Np006G3546200, Np003G1792600, Np004G1961100, Np002G0878100, Np007G3883300	Cg005G1668200, Cg005G1727600, Cg004G1388300, Cg006G1926600
OG0000090	Np006G3523700	Cg008G2920500
OG0000091	Np001G0389100, Np001G0389700	Cg005G1672400
OG0000091	Np003G1487100	Cg001G0362300, Cg008G2769400
OG0000091	Np001G0528700	Cg003G0829200, Cg003G0877100
OG0000095	Np006G3649600	Cg005G1739100
OG0000095	Np006G3650300	Cg005G1739400
OG0000096	Np007G3952900	Cg004G1260000
OG0000098	Np007G3899100	Cg004G1351900
OG0000098	Np004G2594800	Cg007G2258600, Cg007G2258500
OG0000098	Np001G0116500, Np001G0115500	Cg008G2823500
OG0000101	Np004G2067500, Np001G0489000, Np004G2252100, Np011G4358000, Np011G4357800, Np002G0736300, Np001G0306500, Np001G0036300, Np004G2254300, Np001G0349600, Np004G2428000, Np003G1266900, Np001G0589500, Np003G1682200, Np003G1683300, Np007G3942800	Cg007G2332400
OG0000102	Np003G1716100	Cg003G0864200, Cg003G0734200
OG0000102	Np003G1850400	Cg003G0734500
OG0000102	Np003G1850200	Cg003G0863700, Cg003G0734700, Cg003G0734400, Cg003G0864000
OG0000102	Np003G1795300	Cg003G0734600, Cg003G0863800
OG0000102	Np003G1849500, Np003G1850000	Cg003G0863600, Cg003G0734800
OG0000105	Np002G1232000	Cg007G2307400, Cg007G2331800
OG0000105	Np002G1229900	Cg007G2332200, Cg007G2332800
OG0000106	Np005G2719900	Cg007G2419200, Cg008G2833600
OG0000107	Np007G3984500	Cg005G1681600
OG0000107	Np007G3984300	Cg004G1267500, Cg004G1267300, Cg004G1267400
OG0000108	Np006G3369500, Np001G0565800	Cg005G1557400
OG0000108	Np001G0462100	Cg003G0983900, Cg002G0564200
OG0000108	Np007G4093400	Cg004G1180800
OG0000108	Np003G1360400	Cg008G2664600
OG0000108	Np007G3950400	Cg004G1253800
OG0000109	Np002G1184600, Np005G2935200, Np007G4014300, Np005G2978600, Np006G3449000, Np003G1723900, Np003G1723300, Np003G1723600, Np011G4357100, Np002G1174400, Np008G4281000, Np002G1033400	Cg008G2837900, Cg008G2837800
OG0000110	Np002G0928100	Cg002G0653700
OG0000116	Np004G2021800	Cg008G2902500, Cg008G2949800, Cg008G2949700, Cg008G2902600
OG0000116	Np003G1460300, Np005G3103800	Cg001G0293300, Cg001G0282800
OG0000117	Np004G2300400	Cg006G2029800
OG0000117	Np004G2299300	Cg006G2030500
OG0000117	Np004G2300300	Cg006G2029400
OG0000117	Np004G2300200	Cg006G2030600
OG0000119	Np001G0493200	Cg001G0041500
OG0000120	Np002G0949100	Cg008G2916400, Cg008G2816800, Cg007G2484100, Cg006G2020800, Cg004G1078700, Cg007G2342500
OG0000121	Np005G2954700, Np011G4358600, Np004G2590300, Np002G0965100, Np006G3634700	Cg002G0640900, Cg004G1362200
OG0000121	Np005G2842000, Np001G0527800, Np001G0451100, Np008G4283900, Np005G2906600, Np007G4117800, Np002G0941800, Np002G0951800, Np005G2957200, Np005G3191500, Np004G2402900	Cg007G2421400, Cg006G1860400
OG0000121	Np004G2331000, Np003G1581500	Cg008G2905000
OG0000122	Np003G1578500	Cg003G0800700
OG0000124	Np005G3180200	Cg001G0378100
OG0000124	Np005G2989500, Np003G1311000, Np002G1109100, Np007G3982000, Np006G3413600, Np006G3224800, Np007G4183000, Np001G0142800, Np001G0316700, Np002G1065100, Np002G1144900, Np004G2155800, Np006G3441600, Np005G2997800, Np003G1698400, Np004G2064900, Np003G1592200, Np001G0351400, Np002G0948800, Np005G2989400	Cg001G0298900
OG0000125	Np006G3601100	Cg005G1643500
OG0000125	Np004G2519400	Cg006G2188500
OG0000125	Np004G1951700	Cg006G1841400
OG0000125	Np004G1951500	Cg006G1817000, Cg006G1816500, Cg006G1816900, Cg006G1816400
OG0000125	Np007G3813400	Cg004G1281100
OG0000127	Np003G1510700	Cg008G2786000
OG0000127	Np006G3371500, Np001G0565000	Cg002G0489900
OG0000127	Np003G1523500	Cg003G0989900
OG0000127	Np006G3598300	Cg005G1647800
OG0000128	Np001G0644700	Cg002G0434700
OG0000128	Np001G0644900	Cg002G0434600
OG0000129	Np002G0866100	Cg007G2357000
OG0000129	Np005G3118200	Cg007G2390100
OG0000130	Np006G3485400	Cg003G0796500
OG0000132	Np001G0583700	Cg002G0477500
OG0000134	Np003G1378400	Cg008G2920900
OG0000137	Np003G1600600	Cg003G0942200
OG0000137	Np003G1600500	Cg003G0942300
OG0000137	Np003G1602000, Np003G1601500, Np003G1600700	Cg003G0942100
OG0000137	Np003G1602100	Cg003G0942000
OG0000137	Np003G1602400	Cg003G0941900
OG0000140	Np005G2883300	Cg006G2087500
OG0000140	Np001G0509300, Np001G0524900	Cg003G0810900
OG0000143	Np004G2289300	Cg002G0608200
OG0000151	Np001G0586800	Cg002G0475300
OG0000151	Np006G3339200	Cg005G1538800
OG0000151	Np001G0586700	Cg002G0475400
OG0000151	Np001G0563500	Cg002G0491600
OG0000151	Np006G3374700	Cg005G1560100
OG0000151	Np003G1404000	Cg008G2699500
OG0000153	Np004G2521100	Cg006G2190200
OG0000154	Np004G1963300, Np004G1963200	Cg006G1826400
OG0000157	Np005G3104600, Np005G3104800, Np005G3107600	Cg006G1966900
OG0000158	Np003G1292700	Cg008G2596700
OG0000158	Np001G0283500, Np001G0283800, Np001G0282900, Np007G4061200	Cg005G1695800
OG0000159	Np002G0996800	Cg007G2460000
OG0000160	Np007G3739600	Cg004G1426700
OG0000160	Np005G2740000	Cg001G0100800
OG0000160	Np003G1560700	Cg003G0963700
OG0000160	Np007G3899700	Cg004G1353700
OG0000160	Np002G0711700	Cg007G2573400
OG0000162	Np001G0244800	Cg004G1334900
OG0000162	Np006G3578300	Cg005G1601400
OG0000163	Np003G1731400, Np002G1026100	Cg007G2356000
OG0000165	Np003G1813000, Np003G1781700, Np003G1822600, Np003G1800900, Np003G1781600, Np003G1801300, Np003G1801500, Np007G4108400	Cg006G1858300
OG0000166	Np007G3748700	Cg036G3082400
OG0000170	Np001G0667900	Cg002G0419600
OG0000171	Np003G1641800	Cg003G0916500
OG0000171	Np002G1239200	Cg007G2262400
OG0000171	Np007G3768900	Cg004G1402700
OG0000171	Np003G1582900	Cg003G0949800
OG0000171	Np005G2770300	Cg001G0123300
OG0000173	Np005G2621400	Cg008G2861400, Cg008G2846800
OG0000173	Np001G0199900	Cg002G0675000, Cg001G0022300, Cg001G0022400
OG0000174	Np004G2073400, Np002G0998200, Np004G2311300, Np004G2306100, Np005G2829600, Np005G2992600, Np003G1659900, Np003G1696800, Np003G1769800	Cg003G0887300, Cg005G1647500
OG0000174	Np002G1029900	Cg007G2342000, Cg002G0629800, Cg002G0560800, Cg001G0362900, Cg003G0991500, Cg001G0283900, Cg007G2346200
OG0000175	Np003G1416000	Cg008G2710700
OG0000175	Np001G0685700	Cg002G0406800, Cg005G1457900
OG0000176	Np007G4189400	Cg005G1747600
OG0000178	Np003G1833700	Cg003G0742900, Cg003G0743000
OG0000178	Np003G1835100	Cg006G1925200
OG0000178	Np003G1835200	Cg006G1925100
OG0000183	Np005G3124900	Cg001G0339800
OG0000183	Np006G3615500	Cg005G1681400
OG0000185	Np001G0026600, Np001G0030000, Np001G0688200	Cg004G1440400, Cg003G1044200
OG0000188	Np007G4202800, Np004G1955500	Cg004G1107000
OG0000189	Np005G2675300	Cg001G0040600
OG0000189	Np002G0772800	Cg007G2529500
OG0000189	Np004G2354100	Cg006G2064800
OG0000191	Np006G3490300	Cg001G0299600
OG0000191	Np006G3490400	Cg007G2389300
OG0000192	Np003G1311400	Cg006G1993900
OG0000192	Np004G2432400	Cg006G1994000
OG0000192	Np004G2432200	Cg006G2127500
OG0000196	Np007G4161800	Cg001G0390600
OG0000196	Np005G3188800	Cg001G0387900, Cg001G0387800, Cg001G0388400
OG0000197	Np004G2022400	Cg001G0205400
OG0000198	Np004G2415000	Cg006G2114000
OG0000198	Np004G2414700	Cg006G2113800, Cg006G2113700
OG0000198	Np005G2833600	Cg002G0664200
OG0000199	Np007G3776000, Np007G3775100, Np006G3307800	Cg007G2470500, Cg007G2472200, Cg007G2392400, Cg002G0549200
OG0000199	Np004G2471000, Np004G2469700, Np004G2471600, Np004G2469900, Np004G2460000	Cg014G3034400, Cg008G2903900, Cg014G3034300, Cg003G0721100, Cg003G0721200, Cg014G3034200
OG0000199	Np005G3095000	Cg001G0105000
OG0000200	Np004G2544000	Cg006G2210500
OG0000200	Np004G2543900	Cg006G2210600
OG0000200	Np004G2143200, Np004G2141700, Np003G1654700	Cg006G1857600
OG0000200	Np004G2141600, Np004G2143500	Cg006G1857700
OG0000202	Np007G3890500	Cg003G0719400
OG0000203	Np005G3179800	Cg002G0441200
OG0000203	Np001G0632300	Cg002G0441400
OG0000203	Np001G0631800	Cg002G0441500
OG0000205	Np009G4305400, Np002G1035400, Np010G4327900, Np004G2209100, Np007G3966500	Cg006G1892500
OG0000209	Np003G1366500	Cg008G2670300, Cg008G2670600, Cg008G2677700
OG0000209	Np004G2336500	Cg008G2772200
OG0000210	Np006G3250000	Cg005G1646400, Cg005G1480200
OG0000210	Np001G0662300	Cg002G0423700
OG0000210	Np006G3639200	Cg002G0423600
OG0000215	Np002G0864000	Cg005G1678900, Cg002G0563200
OG0000216	Np002G1121800	Cg007G2323800
OG0000216	Np001G0487900, Np005G3139900, Np005G3139100, Np001G0606300, Np001G0606400	Cg001G0324000
OG0000222	Np009G4299200	Cg005G1700400
OG0000227	Np006G3524200, Np006G3524300	Cg004G1118500
OG0000229	Np003G1876400	Cg005G1664500
OG0000230	Np001G0642200	Cg001G0350800
OG0000233	Np003G1335200	Cg008G2647600
OG0000233	Np003G1335400	Cg008G2647700, Cg008G2647900, Cg008G2647800
OG0000233	Np003G1335100	Cg008G2647500
OG0000233	Np003G1334700, Np003G1334800, Np003G1334900, Np005G2911800	Cg008G2647300
OG0000234	Np003G1792500	Cg005G1484700
OG0000235	Np005G3142900	Cg005G1544000
OG0000235	Np006G3375200	Cg007G2571200, Cg007G2574000
OG0000236	Np007G3825300, Np007G3825800	Cg004G1287300
OG0000236	Np007G3825000	Cg001G0272600, Cg004G1311000, Cg004G1287200, Cg004G1333500
OG0000236	Np003G1773300	Cg003G0795800
OG0000237	Np006G3664800, Np005G3024700	Cg006G1842500
OG0000237	Np007G3814600	Cg001G0099500, Cg004G1282100
OG0000238	Np002G0845400	Cg007G2478500
OG0000238	Np002G0845300	Cg007G2478600
OG0000238	Np004G2308900	Cg002G0635600
OG0000238	Np004G2309500	Cg008G2832400, Cg006G2034900, Cg006G2035000
OG0000239	Np004G2128000, Np005G3094300, Np007G3909100, Np004G1948500, Np005G3117700, Np003G1657100, Np003G1411900, Np005G3036700, Np001G0216500, Np001G0293200, Np001G0630400, Np004G2156900, Np007G4040900, Np004G1948600, Np006G3651300, Np004G2333400, Np001G0292400	Cg002G0661500, Cg007G2316100, Cg006G2142800
OG0000239	Np003G1674300, Np001G0362700, Np001G0271800, Np003G1818900, Np002G0913500, Np007G4007300, Np001G0271700	Cg001G0354900, Cg008G2902200
OG0000241	Np005G2864100	Cg001G0185400
OG0000242	Np001G0141900	Cg008G2821600, Cg008G2821500, Cg008G2969100, Cg008G2968700, Cg005G1735200, Cg008G2969200, Cg008G2968900, Cg008G2969300, Cg008G2968800
OG0000244	Np003G1858400	Cg003G0869800, Cg003G0728000, Cg003G0861800, Cg003G0736400
OG0000244	Np003G1858200, Np003G1858100, Np003G1857800	Cg003G0728100, Cg003G0869700
OG0000245	Np004G2322800, Np006G3313100, Np003G1676900	Cg002G0636900, Cg005G1684200, Cg006G1978200, Cg002G0623900, Cg005G1684100, Cg002G0592000, Cg003G0881900, Cg001G0321000, Cg004G1345100, Cg007G2384600, Cg006G1796900, Cg007G2312200, Cg007G2309700, Cg008G2652600, Cg003G0760100, Cg002G0642100, Cg006G2201600, Cg006G1889200
OG0000246	Np006G3384100, Np003G1776100	Cg005G1566300
OG0000247	Np004G2545900	Cg001G0351600, Cg001G0351800
OG0000248	Np002G0857800	Cg007G2471500
OG0000249	Np004G2068100	Cg006G1934400
OG0000249	Np008G4270100, Np009G4325200, Np001G0129900, Np003G1744700	Cg004G1366500, Cg002G0640600
OG0000250	Np007G3953700	Cg003G0862700
OG0000250	Np003G1507100, Np003G1848500	Cg003G0735700
OG0000251	Np001G0226900	Cg002G0664000
OG0000251	Np001G0491300, Np001G0226800, Np001G0226600	Cg002G0663800
OG0000251	Np003G1562200	Cg003G0962700
OG0000252	Np002G0966500, Np002G1217000, Np002G1216400, Np002G1216900, Np002G1216600	Cg007G2272200
OG0000253	Np003G1267100, Np003G1271600	Cg004G1153800
OG0000253	Np002G1120300	Cg008G2596500
OG0000253	Np007G4134200	Cg004G1154100
OG0000253	Np003G1267200	Cg008G2596600
OG0000255	Np007G4006000, Np008G4290400, Np007G4010300, Np006G3593600, Np003G1709200, Np005G2940900, Np005G2940700, Np004G2248500, Np007G4040600, Np006G3428900, Np003G1755900, Np002G0990800, Np009G4319500, Np002G0970800, Np011G4356100, Np006G3533100	Cg007G2394100, Cg006G1865500, Cg006G1878100
OG0000257	Np002G0772900	Cg007G2529300
OG0000258	Np004G2182300	Cg002G0627900
OG0000258	Np004G2182400	Cg007G2370800, Cg001G0290400
OG0000259	Np007G3830200	Cg004G1246900
OG0000265	Np005G3140200, Np007G4120400, Np002G0744800, Np002G0778500, Np003G1560300, Np004G1972500, Np006G3567500, Np004G2255600, Np001G0314500	Cg005G1655600
OG0000268	Np005G2764400	Cg006G1966300, Cg006G1965600
OG0000269	Np003G1526500	Cg003G0987700
OG0000269	Np001G0459000, Np001G0458900	Cg002G0567300
OG0000269	Np004G2521600	Cg006G2190700, Cg006G1923700, Cg007G2309100, Cg005G1638700
OG0000274	Np002G1028400	Cg008G2846400, Cg003G0884300, Cg001G0366700, Cg008G2975700, Cg001G0331800
OG0000275	Np001G0244400	Cg003G1065200
OG0000275	Np004G1985300	Cg008G2833500
OG0000276	Np002G1070200, Np001G0402600	Cg005G1682300
OG0000276	Np007G4034600, Np007G3963500	Cg002G0614200
OG0000277	Np007G3772100	Cg001G0007500
OG0000277	Np002G0777200	Cg006G2066500
OG0000278	Np005G3117100	Cg001G0333000, Cg001G0333100, Cg001G0332700, Cg001G0332500, Cg001G0337400
OG0000282	Np006G3612000	Cg001G0182200, Cg001G0182000
OG0000283	Np005G2968000, Np003G1722900	Cg007G2481000, Cg004G1350900
OG0000283	Np006G3504200	Cg011G3015000
OG0000285	Np005G2879700	Cg001G0190700
OG0000285	Np004G2185500	Cg003G0706200, Cg014G3049300, Cg003G0711400, Cg014G3044400
OG0000286	Np003G1578100	Cg008G2943000, Cg006G1979100
OG0000286	Np006G3225600	Cg008G2943400
OG0000286	Np003G1257000	Cg001G0074700
OG0000290	Np002G1239600	Cg007G2262300
OG0000294	Np002G1225100	Cg007G2421800, Cg007G2421900, Cg007G2422200, Cg007G2422800, Cg008G2713400
OG0000295	Np004G2036300	Cg006G1876600
OG0000295	Np004G2108300	Cg004G1173400, Cg004G1317000
OG0000296	Np003G1534000, Np007G4243900, Np003G1534400	Cg008G2982100, Cg003G0982000, Cg003G0887600
OG0000296	Np003G1539300	Cg003G0978500
OG0000296	Np003G1534300	Cg003G0978400
OG0000297	Np003G1702400	Cg001G0284800
OG0000298	Np004G2066900, Np004G2067000	Cg006G1934800, Cg006G1935200
OG0000298	Np001G0361700, Np004G2066800, Np004G2066700	Cg006G1935400
OG0000300	Np004G1944000	Cg003G0899400
OG0000301	Np001G0656600	Cg005G1482700
OG0000301	Np006G3657800, Np006G3692300	Cg004G1274700
OG0000305	Np004G2040900, Np004G2390100	Cg006G2092900
OG0000307	Np007G3777700	Cg007G2271200
OG0000308	Np001G0413700	Cg008G2929200
OG0000308	Np001G0413900, Np001G0413800, Np001G0414200, Np001G0414100	Cg008G2928800, Cg008G2929000, Cg008G2928900
OG0000309	Np005G3043400	Cg003G0994700
OG0000312	Np002G1029400, Np001G0253500	Cg001G0335800, Cg006G1899900
OG0000313	Np006G3319700	Cg005G1528700
OG0000314	Np003G1698600	Cg002G0641200
OG0000314	Np003G1725200	Cg006G1940900
OG0000314	Np004G2096300	Cg008G2865300
OG0000314	Np002G0900000	Cg005G1640900
OG0000314	Np001G0544400	Cg002G0646700, Cg005G1640800
OG0000320	Np003G1684900, Np008G4290800, Np001G0290100, Np007G4043300, Np005G2969900	Cg007G2343200
OG0000320	Np008G4290700	Cg004G1332200
OG0000321	Np004G1971000	Cg004G1262800
OG0000321	Np003G1478700	Cg008G2763000
OG0000322	Np005G2608200, Np005G2608600, Np005G2607900	Cg003G0970300
OG0000323	Np004G2384500	Cg007G2498700, Cg007G2499000
OG0000325	Np004G2554700	Cg006G2219100
OG0000325	Np004G2554500	Cg006G2219000
OG0000327	Np005G3168200	Cg004G1211800
OG0000328	Np007G3808000	Cg004G1277600, Cg004G1277500
OG0000328	Np007G3807900	Cg004G1277100
OG0000328	Np007G3807800	Cg004G1277400
OG0000328	Np007G3807200	Cg004G1294800
OG0000328	Np007G3807400	Cg004G1277300
