Orthogroup	Noccaea_praecox	Capsella_rubella
OG0000050	Np004G1970300, Np005G2648800, Np001G0275100, Np006G3520500, Np001G0383800, Np003G1895000, Np008G4280900	XP_023643276.1
OG0000051	Np004G2552100, Np007G3843500, Np007G3849300, Np004G2593300, Np003G1312800, Np003G1313100, Np003G1316200, Np004G2360300	XP_006304062.1
OG0000051	Np003G1730300	XP_023640424.1
OG0000051	Np006G3284800, Np006G3284200, Np006G3284000	XP_023639525.1, XP_023640425.1, XP_023640455.1, XP_023640454.1
OG0000052	Np001G0218600	XP_023639245.1
OG0000052	Np002G0839600	XP_023638292.1
OG0000055	Np006G3336100, Np006G3338700, Np003G1875300	XP_006299228.1, XP_006300113.1
OG0000055	Np007G3923100, Np007G3922500	XP_023641570.1, XP_023642764.1
OG0000055	Np005G2851900	XP_006286657.2
OG0000055	Np007G3753300	XP_023641561.1
OG0000056	Np002G1201900, Np002G1202000, Np002G1202100	XP_006301237.2
OG0000056	Np002G1191800, Np002G1192300, Np002G1195300	XP_006301411.1, XP_006301193.1, XP_006301052.1, XP_006302254.2
OG0000056	Np005G3136000, Np001G0467300	XP_006292456.1
OG0000059	Np003G1667800, Np001G0392300, Np001G0082700	XP_023636099.1, XP_006290464.1
OG0000059	Np004G2334600, Np002G1005000, Np007G3962700	XP_023633025.1
OG0000060	Np003G1523200	XP_023638361.1, XP_006292099.1, XP_006295294.1, XP_006303455.1, XP_006292098.1, XP_006279505.1, XP_006303457.1
OG0000061	Np005G2786700	XP_023633781.1
OG0000061	Np006G3342300	XP_023634933.1, XP_006290130.1
OG0000061	Np002G1245500	XP_023640829.1
OG0000061	Np002G1245100, Np002G1245200	XP_023635299.1
OG0000062	Np002G1076000, Np003G1765200, Np002G0953500, Np002G0958500	XP_023633725.1
OG0000062	Np002G0991500	XP_023633353.1
OG0000065	Np002G0937300	XP_023644284.1
OG0000065	Np005G3146600	XP_006286236.1
OG0000066	Np004G2505200, Np003G1367100, Np001G0031500, Np004G2500100, Np003G1367200	XP_006301260.2, XP_006304637.1, XP_006292533.1
OG0000066	Np007G3771600	XP_006284727.1, XP_006288773.2, XP_006284722.1, XP_006302978.1
OG0000068	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600	XP_006289028.2, XP_006289556.2, XP_023637280.1
OG0000069	Np004G2374300, Np004G2572500, Np004G2541100, Np004G2541500	XP_006304155.1
OG0000069	Np004G2313200, Np001G0593200, Np001G0592800, Np001G0596200, Np001G0586900, Np001G0599500	XP_023645826.1
OG0000069	Np005G2913000, Np005G2913300, Np005G2926900, Np005G2926800, Np005G2912900, Np005G2946700, Np005G2913400	XP_006288439.1
OG0000070	Np007G3899300, Np001G0248800	XP_006305612.2, XP_006292236.1, XP_006292951.2, XP_006290298.1, XP_006292400.1, XP_006291986.1, XP_006292823.1, XP_006292249.1, XP_006292597.1, XP_006291940.1
OG0000070	Np004G2353400	XP_006304273.1
OG0000070	Np001G0364300, Np001G0366000, Np001G0526100, Np001G0525900, Np002G0771400	XP_006302938.1
OG0000070	Np004G1988500	XP_023637735.1
OG0000070	Np004G1989200, Np004G1988600, Np004G2059200, Np001G0355800, Np001G0356100, Np001G0356000	XP_006295429.1
OG0000073	Np003G1524100	XP_023644311.1
OG0000074	Np001G0425700, Np002G0733000	XP_023634274.1, XP_023636038.1, XP_023636039.1, XP_023638842.1
OG0000075	Np005G2617300	XP_006283916.1, XP_023635518.1
OG0000076	Np005G2608900	XP_023634774.1
OG0000077	Np001G0381300	XP_006280897.2
OG0000077	Np002G1121700	XP_023643297.1
OG0000077	Np001G0247700	XP_006292755.1, XP_006292566.2, XP_006292626.2, XP_006300965.2, XP_006290374.2, XP_023638325.1
OG0000077	Np001G0381400	XP_006281861.1
OG0000078	Np007G4214700	XP_006296650.2, XP_006298876.1
OG0000079	Np004G2152100, Np004G2296400, Np004G2253500	XP_023644218.1, XP_023645325.1
OG0000081	Np004G2188400, Np004G2195900, Np004G2188800, Np007G3988300	XP_023638026.1, XP_023634808.1, XP_023641960.1
OG0000081	Np005G2602400	XP_023634311.1
OG0000082	Np005G2991300, Np006G3323100	XP_023639594.1
OG0000086	Np005G3126500	XP_006285515.2, XP_006291706.2
OG0000086	Np002G0950000	XP_006284296.1
OG0000086	Np005G3126400, Np005G3126800, Np005G3126700, Np005G3127000	XP_006284253.1, XP_006288380.2
OG0000086	Np002G0867100	XP_023644121.1, XP_006302648.1, XP_023644277.1, XP_006302616.1
OG0000089	Np001G0109800	XP_006287738.1
OG0000089	Np005G2870600, Np001G0070200	XP_006292748.1, XP_006291122.1
OG0000089	Np006G3501600, Np008G4281600	XP_006294210.1
OG0000089	Np003G1391100	XP_006289933.1
OG0000089	Np001G0399300	XP_006281513.1
OG0000089	Np005G2871200	XP_006283733.1
OG0000089	Np002G0774400	XP_006302256.1
OG0000091	Np003G1487100	XP_023636467.1
OG0000091	Np003G1487500	XP_006279102.2
OG0000091	Np001G0528700	XP_023644362.1
OG0000095	Np006G3650500, Np006G3650700	XP_006295555.1, XP_006294228.1
OG0000095	Np006G3660300	XP_006294323.1
OG0000095	Np006G3650400, Np006G3654500, Np006G3650200, Np006G3660600	XP_006296376.2, XP_006295595.1, XP_006295861.1
OG0000096	Np007G3952900, Np002G0789300, Np002G0783300, Np007G3906500, Np007G3813600, Np007G3828000, Np007G3827900, Np007G3802100, Np007G3815700, Np007G3816700, Np004G1968900, Np002G1192600, Np004G1989000, Np004G1955200, Np004G1945900, Np004G1963100, Np004G1955300	XP_006297929.1
OG0000098	Np007G3899100	XP_023641898.1, XP_006297881.1
OG0000098	Np004G2594800	XP_006292655.1
OG0000098	Np001G0116500, Np001G0115500	XP_006305026.1
OG0000100	Np002G1237300	XP_023641940.1
OG0000100	Np002G1233700	XP_006301994.2
OG0000100	Np004G2064500	XP_006301998.2
OG0000100	Np002G1231900	XP_023643545.1, XP_023635628.1, XP_023643962.1, XP_023643838.1
OG0000102	Np003G1716100	XP_006288400.1
OG0000102	Np003G1850200	XP_023634256.1, XP_006289089.1, XP_006288348.1
OG0000102	Np003G1849500, Np003G1850000	XP_006288252.1
OG0000103	Np007G4123200	XP_023634325.1, XP_023632588.1
OG0000106	Np005G2719900	XP_023646042.1, XP_023644298.1
OG0000106	Np001G0513300, Np003G1588100, Np005G2609700, Np005G2802400, Np003G1396400, Np005G3054500, Np006G3285100, Np004G1932400, Np002G1206600, Np002G0931500, Np004G2006800, Np006G3285600, Np006G3356100, Np002G0934000, Np001G0450200, Np001G0254300, Np001G0468300, Np003G1838400, Np002G1216700, Np001G0108100, Np004G2551200, Np004G1924900, Np003G1364100, Np004G1973500, Np001G0080600	XP_006301047.2, XP_023643263.1
OG0000107	Np007G3984300	XP_006300030.1, XP_006297457.1
OG0000108	Np001G0565800	XP_006291303.1, XP_006294425.1
OG0000108	Np001G0462100	XP_006282193.1
OG0000108	Np007G4093400	XP_006297921.1
OG0000108	Np003G1360400	XP_006287952.1
OG0000108	Np007G3950400	XP_006297920.1
OG0000109	Np001G0341500	XP_023644486.1, XP_023637552.1
OG0000109	Np002G1184600, Np005G2935200, Np007G4014300, Np005G2978600, Np006G3449000, Np003G1723900, Np003G1723300, Np003G1723600, Np011G4357100, Np002G1174400, Np008G4281000, Np002G1033400	XP_023641886.1, XP_023633619.1, XP_023643495.1, XP_023633300.1, XP_023637389.1, XP_023634490.1, XP_023634624.1, XP_023633613.1
OG0000110	Np002G0928100	XP_023634352.1
OG0000110	Np002G1086700, Np005G2909800, Np002G1161200, Np004G2113400, Np005G3033600, Np002G0891500, Np007G4015500, Np008G4289300	XP_023644523.1, XP_023640339.1, XP_023633349.1, XP_023633346.1, XP_023644458.1, XP_023642819.1
OG0000111	Np005G3154700	XP_006289226.1, XP_006289953.1, XP_006289914.1
OG0000114	Np002G1018000	XP_006301152.1
OG0000117	Np004G2300400	XP_006304377.2, XP_006306553.1
OG0000117	Np004G2300300	XP_023632781.1
OG0000117	Np004G2300200	XP_006304618.2, XP_023644792.1
OG0000118	Np002G0786200	XP_006300909.1, XP_006301359.2, XP_006290202.1
OG0000119	Np003G1836400	XP_023633433.1, XP_006280698.1
OG0000119	Np001G0493200	XP_023638900.1
OG0000120	Np002G0949100	XP_023640343.1, XP_023640331.1, XP_023644467.1
OG0000120	Np003G1769900, Np005G2602500	XP_023644237.1, XP_023640332.1, XP_023639622.1
OG0000121	Np005G2954700, Np011G4358600, Np004G2590300, Np002G0965100, Np006G3634700	XP_006305928.1, XP_023638089.1
OG0000121	Np002G0954000, Np002G0904100, Np001G0559000, Np006G3382900, Np005G3087600, Np002G0877900, Np006G3278500, Np004G2331700, Np006G3451400	XP_006282338.2
OG0000121	Np005G2604800, Np006G3604300	XP_023633443.1, XP_023636052.1
OG0000121	Np002G0833400, Np004G2331000, Np003G1581500	XP_023638959.1
OG0000122	Np001G0563200	XP_006281892.1
OG0000122	Np003G1578000	XP_006306021.1
OG0000122	Np003G1580100, Np003G1578400, Np003G1577700, Np003G1578500	XP_023633416.1
OG0000123	Np003G1843300	XP_006282356.1, XP_006289168.1
OG0000124	Np005G3180200	XP_023635269.1
OG0000124	Np007G3982000	XP_023644078.1
OG0000124	Np006G3413600, Np006G3224800, Np007G4183000, Np001G0142800, Np001G0316700, Np002G1065100, Np002G1144900, Np004G2155800, Np006G3441600, Np005G2997800, Np003G1698400, Np004G2064900, Np003G1592200, Np001G0351400, Np002G0948800, Np005G2989400	XP_023638979.1
OG0000125	Np006G3601100	XP_006296171.1
OG0000125	Np006G3600700	XP_023639964.1
OG0000125	Np004G2519400	XP_023645280.1
OG0000125	Np004G1951700	XP_023645616.1
OG0000125	Np004G1951500	XP_023645225.1, XP_006306741.1
OG0000125	Np007G3813400	XP_006299926.1
OG0000126	Np006G3613200	XP_023640354.1
OG0000127	Np003G1510700	XP_006289049.1
OG0000127	Np003G1523500	XP_006281264.1, XP_006292858.1
OG0000128	Np001G0645400	XP_023639093.1
OG0000128	Np001G0644700	XP_006290900.1
OG0000128	Np001G0644900	XP_006291045.1
OG0000128	Np001G0644500	XP_006302146.1, XP_006282595.1
OG0000129	Np002G0866100	XP_023644190.1
OG0000129	Np005G3118200	XP_023644191.1
OG0000132	Np001G0583700	XP_006291215.1
OG0000132	Np005G3117900, Np005G3137200, Np005G3137300, Np005G3137400	XP_006283852.1, XP_023634364.1
OG0000132	Np001G0060200, Np001G0060100, Np005G3136900	XP_023634360.1
OG0000134	Np003G1378400	XP_023640588.1, XP_006282379.2, XP_006279879.2, XP_023640573.1, XP_006286802.2
OG0000136	Np006G3676200	XP_023638389.1
OG0000137	Np003G1600600	XP_006280761.2
OG0000137	Np003G1600500	XP_006280742.1
OG0000137	Np003G1602000, Np003G1601500, Np003G1600700	XP_023637930.1, XP_006281726.2
OG0000137	Np003G1602100	XP_006281991.1
OG0000137	Np003G1602400	XP_006281729.1
OG0000141	Np002G1165900	XP_006300715.1, XP_006301151.1, XP_006301217.1, XP_023644089.1, XP_006286837.2
OG0000143	Np004G2289300	XP_023644225.1
OG0000148	Np004G1960900, Np004G1960800	XP_023633110.1, XP_023644526.1, XP_006304868.2
OG0000151	Np001G0586800	XP_006292545.1
OG0000151	Np006G3339200	XP_006295608.1
OG0000151	Np001G0586700	XP_006292248.1
OG0000151	Np001G0563500	XP_006290640.1
OG0000151	Np006G3374700	XP_006295587.1
OG0000151	Np003G1404000	XP_006287124.2
OG0000153	Np004G2521100	XP_023639879.1
OG0000154	Np004G1998200	XP_023644539.1
OG0000154	Np004G1963300	XP_023645184.1
OG0000154	Np004G1963200	XP_006306758.1
OG0000157	Np006G3350500, Np003G1450700	XP_023634266.1, XP_006304655.2
OG0000158	Np002G0811900	XP_023635458.1
OG0000158	Np005G2867000, Np005G2866500	XP_006279441.2
OG0000158	Np001G0700500	XP_006285768.2
OG0000158	Np005G2956600, Np001G0506900, Np001G0492300, Np001G0486500	XP_006289701.2, XP_006289843.2
OG0000158	Np004G2036800, Np004G2174600, Np004G1934200	XP_006286216.2
OG0000160	Np007G3739600	XP_006296920.1
OG0000160	Np005G2740000	XP_006282542.1
OG0000160	Np003G1560700	XP_006282289.1
OG0000160	Np007G3899700	XP_006279406.1
OG0000160	Np001G0430500	XP_006279360.1
OG0000160	Np002G0711700	XP_023643729.1
OG0000162	Np004G2052000	XP_006292602.1
OG0000162	Np001G0244800	XP_006299665.1
OG0000162	Np006G3578300	XP_006295600.1, XP_006296378.1
OG0000164	Np003G1679900, Np005G3087000, Np006G3688300, Np004G2138100, Np003G1793900	XP_023642220.1, XP_023645695.1
OG0000165	Np002G1201100, Np002G1201400, Np002G1201300, Np002G1201200	XP_006284720.1
OG0000166	Np007G3748700	XP_023640242.1
OG0000167	Np007G3807500	XP_023634668.1
OG0000167	Np007G3808900	XP_006299157.1, XP_023642627.1
OG0000167	Np007G3810100, Np007G3810500	XP_023642656.1, XP_006299826.1
OG0000169	Np004G2006300, Np004G2270200, Np001G0564500	XP_023644508.1, XP_023644509.1
OG0000170	Np001G0667900	XP_006292819.2
OG0000170	Np006G3241500	XP_023641004.1, XP_006307271.1
OG0000171	Np003G1641800	XP_006281266.1
OG0000171	Np007G3768900	XP_006298751.1
OG0000171	Np003G1582900	XP_006281239.2
OG0000171	Np005G2770300	XP_006284700.1
OG0000173	Np005G2621400	XP_006284898.2, XP_023644326.1
OG0000173	Np001G0199900	XP_023634627.1, XP_006289268.1, XP_023637961.1
OG0000175	Np003G1416000	XP_023635842.1
OG0000176	Np007G4189400	XP_006293700.1, XP_006293701.1, XP_023639559.1, XP_006295969.1
OG0000176	Np002G0837300, Np002G0837100	XP_023643800.1
OG0000178	Np003G1833700	XP_006289433.1
OG0000178	Np003G1835100	XP_006286464.1
OG0000178	Np003G1835200	XP_006286371.1
OG0000178	Np003G1834900, Np003G1834200	XP_023635847.1, XP_006289234.1, XP_006286467.1
OG0000183	Np005G3124900	XP_006302967.1, XP_006284698.1
OG0000183	Np006G3615500	XP_006294957.1
OG0000184	Np007G3824400, Np007G3829200	XP_006299457.1, XP_023642625.1
OG0000184	Np007G3795700	XP_006299497.1, XP_023632990.1, XP_023642677.1, XP_006299827.1
OG0000185	Np001G0026600, Np001G0030000, Np001G0688200	XP_023640416.1
OG0000189	Np005G2675300	XP_023633909.1
OG0000189	Np007G3769000	XP_006282726.1
OG0000189	Np002G0772800	XP_006302850.1
OG0000189	Np004G2354100	XP_006305647.1
OG0000192	Np003G1314300	XP_006303793.1
OG0000192	Np004G2432200	XP_006292772.1
OG0000195	Np007G3730700	XP_006285706.1, XP_006284967.1
OG0000196	Np007G4161800	XP_023635062.1
OG0000197	Np004G2439300, Np002G1112700	XP_023635153.1, XP_023644224.1
OG0000197	Np005G2896400, Np001G0033100	XP_006285566.1
OG0000197	Np005G2896800	XP_023634326.1
OG0000197	Np004G2022400	XP_023633844.1
OG0000198	Np006G3633600, Np003G1742600	XP_023632818.1
OG0000198	Np004G2415000	XP_006305966.2
OG0000198	Np004G2414700	XP_006306087.1
OG0000198	Np005G2833600	XP_006291997.1, XP_023638678.1, XP_006291999.1, XP_023638990.1
OG0000199	Np007G3776000, Np007G3775100, Np006G3307800	XP_006303339.1, XP_006304149.1
OG0000199	Np004G2471000, Np004G2469700, Np004G2471600, Np004G2469900, Np004G2460000	XP_006293511.1, XP_006280936.1
OG0000199	Np005G3095000	XP_006294905.1
OG0000200	Np004G2543900	XP_006305980.1
OG0000200	Np004G2143200, Np004G2141700, Np003G1654700	XP_006305145.1
OG0000200	Np004G2141600, Np004G2143500	XP_006305143.1, XP_006303722.1
OG0000202	Np007G3890500	XP_006289397.1, XP_006289797.1, XP_006287235.1, XP_023636924.1, XP_006282887.2
OG0000202	Np007G3758700	XP_006301794.1
OG0000202	Np002G1149700	XP_023636108.1
OG0000202	Np007G3791900	XP_023636923.1
OG0000203	Np005G3179800	XP_006293093.1
OG0000203	Np001G0632300	XP_006292664.2
OG0000203	Np001G0631800	XP_023638587.1
OG0000205	Np009G4305400, Np002G1035400, Np010G4327900, Np004G2209100	XP_023640324.1, XP_023636059.1, XP_023634278.1, XP_023644457.1, XP_023644466.1, XP_023644460.1, XP_023634071.1, XP_023641994.1, XP_023636047.1, XP_023644478.1, XP_023634282.1, XP_023644465.1, XP_023640333.1, XP_023645651.1, XP_023634063.1, XP_023634058.1, XP_023636043.1
OG0000209	Np003G1366500	XP_006287874.1, XP_006296766.1
OG0000210	Np006G3250000	XP_006294103.1
OG0000210	Np002G1162900	XP_006302230.1
OG0000210	Np006G3538900	XP_006293283.1
OG0000214	Np004G2167500	XP_023638976.1
OG0000215	Np007G4021500, Np002G1038000	XP_006296786.1
OG0000216	Np002G1121800	XP_006302421.1
OG0000216	Np001G0606300, Np001G0606400	XP_006292358.1
OG0000218	Np001G0082600, Np005G2949200, Np005G2921000, Np002G0962900, Np002G0922800	XP_023643610.1, XP_023642575.1, XP_023632899.1, XP_023637419.1
OG0000227	Np006G3524200, Np006G3524300	XP_006296962.1, XP_006296942.1, XP_006296911.1, XP_023632678.1, XP_006286443.2
OG0000229	Np003G1876400	XP_006290232.2, XP_006281727.1
OG0000229	Np002G1043000	XP_006279442.1, XP_006304782.2
OG0000232	Np006G3632500, Np007G3843600, Np001G0330000, Np002G0948700, Np004G2389900, Np006G3592000, Np005G2963500	XP_023638083.1, XP_023641916.1, XP_023634272.1, XP_023634273.1
OG0000233	Np003G1335200, Np003G1335300	XP_006290020.1
OG0000233	Np003G1335400	XP_006286767.1
OG0000233	Np003G1334700, Np003G1334800, Np003G1334900, Np005G2911800	XP_006289542.2, XP_006289289.1
OG0000234	Np004G2055100	XP_023635829.1
OG0000235	Np003G1886600, Np003G1804500	XP_006288153.2, XP_006288152.1
OG0000235	Np005G3142900	XP_006305118.1, XP_023644533.1
OG0000236	Np002G0865900, Np002G0866200, Np002G0866000	XP_023644265.1
OG0000236	Np007G3825300, Np007G3825800	XP_006299722.2
OG0000236	Np007G3825000	XP_023642610.1
OG0000236	Np003G1773300	XP_006289606.1
OG0000237	Np007G3835000	XP_006296746.1
OG0000237	Np007G3814600	XP_006297875.1
OG0000238	Np002G0845300	XP_023644384.1
OG0000238	Np004G2309500	XP_006289231.1
OG0000241	Np005G2864100	XP_006284545.1
OG0000241	Np003G1837500	XP_006289215.1
OG0000242	Np007G4179600	XP_006298183.1
OG0000242	Np001G0141900	XP_006279117.1, XP_006286819.1, XP_006286567.1
OG0000243	Np004G2125200	XP_006304293.1, XP_006305771.1
OG0000243	Np004G2125800, Np004G2125100	XP_023632637.1
OG0000243	Np004G2125600	XP_023632576.1, XP_006305710.2, XP_006304552.1
OG0000244	Np003G1858400	XP_006286805.1, XP_006290182.1
OG0000244	Np003G1858200, Np003G1858100, Np003G1857800	XP_023636139.1, XP_006286807.1
OG0000244	Np003G1848200, Np003G1848100	XP_006289480.2
OG0000245	Np004G2322800, Np006G3313100, Np003G1676900	XP_023632652.1, XP_023637477.1, XP_023641896.1
OG0000246	Np001G0396200, Np006G3384400	XP_006295641.1
OG0000246	Np006G3384100, Np003G1776100	XP_006294087.1, XP_006294083.1
OG0000247	Np004G2545900	XP_006285568.2, XP_006279047.1
OG0000248	Np002G0857800	XP_006301741.2
OG0000248	Np002G0860000	XP_006284516.1, XP_023644302.1
OG0000250	Np007G4128700	XP_006285847.2
OG0000250	Np003G1507100, Np003G1848500	XP_006289516.1
OG0000250	Np003G1647300	XP_006299908.2
OG0000251	Np001G0226900	XP_006290957.1, XP_006290955.1
OG0000251	Np001G0491300, Np001G0226800, Np001G0226600	XP_006290953.1, XP_023638661.1
OG0000251	Np003G1562200	XP_006282010.1
OG0000251	Np002G0877400, Np004G2306300	XP_006292364.1, XP_006292423.1
OG0000252	Np002G0966500, Np002G1217000, Np002G1216400, Np002G1216900, Np002G1216600	XP_006300513.1, XP_006291286.1
OG0000253	Np007G4134200	XP_006297174.1
OG0000253	Np003G1267200	XP_006287234.1
OG0000254	Np005G3023600	XP_006284821.1
OG0000258	Np004G2182300	XP_023634267.1, XP_023636036.1, XP_023642569.1, XP_023644229.1, XP_023633341.1, XP_023634276.1, XP_023644464.1, XP_023638852.1, XP_023644468.1
OG0000258	Np004G2182400	XP_023632795.1
OG0000258	Np004G2195200, Np002G1089200	XP_023633336.1, XP_023640347.1
OG0000259	Np001G0461900	XP_023643302.1, XP_023639557.1
OG0000259	Np007G3830200	XP_006304817.2, XP_006306329.2, XP_023644499.1, XP_006304918.2, XP_006302259.2, XP_023643256.1
OG0000262	Np003G1635900	XP_023643964.1
OG0000265	Np005G3140200, Np007G4120400, Np002G0744800, Np002G0778500, Np003G1560300, Np004G1972500, Np006G3567500, Np004G2255600, Np001G0314500	XP_023634027.1, XP_023644471.1, XP_023638862.1, XP_023643543.1, XP_023636086.1, XP_023638866.1, XP_006300081.1
OG0000269	Np003G1526500	XP_006281238.1
OG0000269	Np001G0459000, Np001G0458900	XP_006291980.1
OG0000269	Np004G2521600	XP_023642855.1, XP_006303386.1, XP_006295138.1
OG0000270	Np006G3619100	XP_023644130.1
OG0000274	Np002G1028400	XP_023634435.1
OG0000275	Np001G0244400	XP_023633707.1
OG0000275	Np005G2619800	XP_006285590.2, XP_023639572.1
OG0000275	Np004G1985300	XP_023635808.1, XP_023643272.1
OG0000277	Np002G0777200	XP_023644770.1, XP_006302919.1
OG0000278	Np005G3117100	XP_006282573.1, XP_006286231.1, XP_006285685.1, XP_006283651.2, XP_006282490.1
