Orthogroup	Arabidopsis_arenosa	Cardamine_hirsuta
OG0000052	jg15188, jg15190	CARHR162550
OG0000052	jg15192	CARHR162560
OG0000052	jg15191	CARHR162510
OG0000052	jg20912	CARHR162500
OG0000052	jg14762	CARHR157840
OG0000052	jg20319	CARHR148050, CARHR278920, CARHR148010, CARHR065350
OG0000052	jg21516	CARHR162520, CARHR162530, CARHR292090
OG0000055	jg25886, jg26868	CARHR100810, CARHR107470, CARHR177430, CARHR192030
OG0000055	jg26780	CARHR100840
OG0000055	jg12073	CARHR108270
OG0000055	jg25759, jg25744	CARHR092150, CARHR092000
OG0000055	jg17788	CARHR149840
OG0000055	jg28057, jg28058	CARHR111010
OG0000055	jg27919	CARHR108730, CARHR108330, CARHR108320, CARHR107820, CARHR108260, CARHR135370
OG0000055	jg25830	CARHR092630, CARHR092620, CARHR213520
OG0000056	jg748	CARHR050320
OG0000056	jg721	CARHR049970
OG0000056	jg726	CARHR049990, CARHR050000
OG0000056	jg745	CARHR050280, CARHR049980, CARHR050290
OG0000056	jg746	CARHR050160
OG0000056	jg14491	CARHR155600
OG0000059	jg31675, jg32414	CARHR104020
OG0000059	jg1077, jg4817, jg25268, jg5943, jg32839, jg11480, jg33384, jg28178	CARHR286550, CARHR102470, CARHR152130
OG0000060	jg15309	CARHR273260
OG0000060	jg14419	CARHR132050
OG0000061	jg32915, jg32919, jg32548, jg32845, jg32861, jg32993	CARHR228580
OG0000061	jg1961, jg32859, jg32550, jg32843, jg32866, jg32855	CARHR270010
OG0000061	jg32841, jg32864, jg32857, jg32551	CARHR039590
OG0000061	jg25262, jg18012	CARHR123140
OG0000061	jg18005	CARHR123070
OG0000061	jg375, jg20934, jg12023	CARHR151510, CARHR219570
OG0000064	jg20978, jg20976, jg20985, jg20983, jg20984, jg20981, jg20982, jg20980, jg20974, jg20975, jg20973, jg20977, jg20979	CARHR054420, CARHR289730, CARHR289690
OG0000065	jg2192	CARHR059090
OG0000065	jg2154	CARHR059230, CARHR059320, CARHR124320
OG0000065	jg2209, jg2212, jg2195	CARHR059270, CARHR059250
OG0000065	jg2188, jg2193	CARHR059080
OG0000065	jg6601	CARHR214430
OG0000065	jg12333, jg12335	CARHR214340, CARHR214350
OG0000065	jg12464	CARHR263400
OG0000065	jg12463	CARHR263410
OG0000066	jg4871	CARHR279310
OG0000066	jg29279	CARHR279320, CARHR202900
OG0000066	jg3219, jg3220	CARHR068990
OG0000066	jg4927	CARHR246630, CARHR202310, CARHR246640
OG0000068	jg4186	CARHR210960
OG0000068	jg4088, jg4089, jg14390, jg14389, jg14204, jg4055	CARHR210190
OG0000068	jg4679	CARHR064230
OG0000070	jg29403	CARHR010350
OG0000070	jg28225, jg28226, jg13116, jg13115	CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500
OG0000070	jg16631, jg30544, jg4483	CARHR020650
OG0000070	jg3251	CARHR069500
OG0000070	jg21183	CARHR284690
OG0000070	jg8905	CARHR052170, CARHR288810
OG0000072	jg12160, jg21424, jg13720, jg16912	CARHR153090
OG0000072	jg7100, jg12084, jg27349, jg7332, jg11849	CARHR049910, CARHR219260, CARHR119870, CARHR260200
OG0000075	jg8424, jg8422, jg21647	CARHR247180
OG0000075	jg8428	CARHR247140
OG0000075	jg8426	CARHR247160
OG0000075	jg21500, jg21501	CARHR286190, CARHR286200, CARHR286160
OG0000075	jg21503	CARHR285960
OG0000075	jg20353	CARHR174400
OG0000076	jg8362	CARHR247830
OG0000076	jg18482	CARHR127180
OG0000077	jg20569	CARHR176890
OG0000077	jg1310	CARHR054510
OG0000077	jg13131	CARHR288740
OG0000077	jg13128	CARHR145640
OG0000077	jg29337	CARHR009640
OG0000078	jg24239	CARHR077940
OG0000078	jg5641, jg5643, jg5648, jg5639	CARHR194990, CARHR195030, CARHR195060, CARHR195010
OG0000079	jg7377	CARHR180710, CARHR151670, CARHR119610
OG0000081	jg17678, jg24928, jg28032, jg1125, jg20814, jg32127, jg1799	CARHR217030
OG0000081	jg5265, jg31440, jg25892, jg12998, jg14036, jg6463	CARHR264280
OG0000086	jg23234	CARHR276580
OG0000086	jg12259	CARHR272990
OG0000086	jg12260	CARHR214830
OG0000086	jg12265, jg12276	CARHR214870
OG0000086	jg12281	CARHR214790, CARHR214760
OG0000086	jg2126, jg2127	CARHR058600
OG0000089	jg6235	CARHR189700
OG0000089	jg14482	CARHR276490
OG0000089	jg17972	CARHR122890
OG0000089	jg5068	CARHR200860
OG0000089	jg20749	CARHR178800
OG0000089	jg10485	CARHR227450
OG0000089	jg18593	CARHR128920
OG0000089	jg30528	CARHR020480
OG0000089	jg3235	CARHR069200
OG0000091	jg14507	CARHR155740
OG0000091	jg5910	CARHR192340, CARHR192330
OG0000091	jg21695	CARHR262970
OG0000092	jg1807	CARHR225740
OG0000092	jg14356	CARHR286110
OG0000092	jg17518	CARHR035170
OG0000092	jg32487	CARHR152920, CARHR180590, CARHR261190
OG0000092	jg26653	CARHR293270
OG0000095	jg16984	CARHR116960, CARHR117230, CARHR116990
OG0000095	jg16989, jg17288	CARHR117020
OG0000095	jg16997	CARHR116940
OG0000095	jg16996	CARHR117880, CARHR117220
OG0000095	jg16900, jg16897, jg16899	CARHR117860
OG0000096	jg17695	CARHR266870
OG0000096	jg26888, jg26886	CARHR084920
OG0000096	jg25959, jg6741, jg26029, jg25961, jg6747, jg25960, jg6746, jg25966, jg12059, jg25964, jg25967, jg26027, jg26030, jg26079, jg27891	CARHR093690
OG0000096	jg25957	CARHR094810, CARHR094850, CARHR094860, CARHR094840
OG0000096	jg27435	CARHR159090, CARHR101800, CARHR101790, CARHR120380
OG0000096	jg14860	CARHR159080
OG0000098	jg27461, jg27465, jg16874, jg31283, jg17594, jg11987	CARHR103960
OG0000098	jg6405, jg1132	CARHR000040, CARHR188170
OG0000098	jg2306	CARHR046250
OG0000098	jg17595, jg31284	CARHR174970
OG0000098	jg17593	CARHR253270
OG0000100	jg472	CARHR047460, CARHR047540
OG0000100	jg476	CARHR047080
OG0000100	jg1396	CARHR055030
OG0000100	jg492	CARHR047580, CARHR047440, CARHR261260, CARHR047450
OG0000100	jg777	CARHR047060
OG0000100	jg515	CARHR048000, CARHR048030, CARHR048060, CARHR048070, CARHR048510
OG0000100	jg471	CARHR051270, CARHR051280, CARHR051250, CARHR047730, CARHR047100
OG0000100	jg475	CARHR047140
OG0000101	jg27510	CARHR154270, CARHR176810, CARHR287350, CARHR006250, CARHR183060, CARHR099970, CARHR036950
OG0000102	jg7815, jg7812, jg7813	CARHR252050, CARHR252070, CARHR252100
OG0000102	jg7818	CARHR252060
OG0000105	jg14191, jg14194	CARHR106060
OG0000105	jg12802, jg12815	CARHR288500
OG0000105	jg1379	CARHR047480
OG0000105	jg12426	CARHR263770
OG0000105	jg508	CARHR047550
OG0000105	jg12094	CARHR175180, CARHR153990, CARHR256480
OG0000106	jg17558, jg25723	CARHR055550
OG0000107	jg17559, jg17556	CARHR119260, CARHR119250
OG0000107	jg26161	CARHR095660
OG0000107	jg26159	CARHR095650
OG0000107	jg26158	CARHR095640
OG0000107	jg26157	CARHR095610
OG0000107	jg26163	CARHR097220, CARHR095680, CARHR095690, CARHR095670
OG0000108	jg14433, jg22870	CARHR285740
OG0000108	jg4799	CARHR203590
OG0000111	jg26895, jg27877, jg15265, jg13696, jg13695, jg13697, jg3144	CARHR148290
OG0000114	jg10774, jg6734, jg12947, jg16945, jg14091, jg21201, jg6956, jg16952, jg32081, jg32308, jg21203, jg10179, jg13973	CARHR258830, CARHR283860
OG0000114	jg6733	CARHR150440, CARHR283870, CARHR035130, CARHR286300, CARHR148220, CARHR118270, CARHR287300
OG0000115	jg32874, jg29546	CARHR155450
OG0000116	jg27190	CARHR101930
OG0000117	jg30923, jg30924	CARHR023950
OG0000117	jg30935, jg30933	CARHR024070
OG0000117	jg30938	CARHR024100
OG0000118	jg19043	CARHR101240, CARHR101220
OG0000118	jg19023, jg19021, jg19020	CARHR133050
OG0000118	jg12773	CARHR133070, CARHR133060
OG0000118	jg26630, jg26627, jg26631, jg26628	CARHR099660
OG0000118	jg7233	CARHR133040, CARHR180020
OG0000118	jg24304	CARHR078400, CARHR189820
OG0000118	jg26990	CARHR102680
OG0000119	jg22962	CARHR118700, CARHR273840
OG0000119	jg14325	CARHR059580, CARHR150110
OG0000119	jg17260, jg17259, jg17257	CARHR114860
OG0000119	jg14055	CARHR256190, CARHR263010
OG0000119	jg4290	CARHR143200, CARHR207890
OG0000119	jg14315, jg14316	CARHR150200
OG0000122	jg31888	CARHR036540, CARHR031780
OG0000122	jg22486	CARHR269730
OG0000122	jg22485	CARHR129080, CARHR031770, CARHR269910, CARHR269890
OG0000122	jg22505, jg32572	CARHR033520, CARHR033430
OG0000122	jg22508	CARHR269930
OG0000123	jg16607	CARHR274670
OG0000124	jg12674	CARHR261370
OG0000125	jg17897	CARHR122240
OG0000125	jg17896	CARHR122140
OG0000125	jg17890, jg17891, jg17887	CARHR122190
OG0000125	jg29111	CARHR007350
OG0000125	jg33004	CARHR039100
OG0000125	jg33352, jg33355	CARHR041970
OG0000125	jg33354	CARHR041980
OG0000125	jg26323	CARHR097260
OG0000125	jg33349	CARHR258870
OG0000126	jg27207	CARHR048790, CARHR257160
OG0000126	jg17369, jg17588	CARHR103200
OG0000126	jg32822	CARHR289900, CARHR149350, CARHR290850, CARHR034350, CARHR144860
OG0000126	jg27206, jg17305	CARHR217430, CARHR184740
OG0000126	jg27209	CARHR128510
OG0000126	jg1403	CARHR098000, CARHR034340
OG0000126	jg17368	CARHR116070, CARHR178380, CARHR257270
OG0000127	jg29136	CARHR007600
OG0000127	jg6123	CARHR190650
OG0000127	jg15301	CARHR163570
OG0000127	jg3993	CARHR210790
OG0000127	jg22931	CARHR273520
OG0000127	jg14383	CARHR154390
OG0000127	jg17851	CARHR121850
OG0000128	jg12826	CARHR169590, CARHR104610
OG0000128	jg20835	CARHR061820
OG0000128	jg27428, jg27424, jg15966	CARHR169630
OG0000128	jg15965	CARHR123020, CARHR061840
OG0000128	jg15959	CARHR169580
OG0000128	jg15960	CARHR169600
OG0000129	jg1820	CARHR038520, CARHR038560, CARHR056630
OG0000129	jg1822, jg1705, jg1715	CARHR056640
OG0000129	jg1832	CARHR056760, CARHR056690
OG0000129	jg33436, jg33435, jg23141, jg23140	CARHR275720, CARHR275710
OG0000129	jg17685, jg17683, jg17687	CARHR120250, CARHR120240, CARHR120610
OG0000129	jg1819	CARHR038530, CARHR038540, CARHR056610
OG0000130	jg25904	CARHR103120
OG0000130	jg12111	CARHR183650
OG0000130	jg17565	CARHR123710, CARHR043800
OG0000130	jg27977	CARHR183660
OG0000132	jg15428	CARHR164880
OG0000132	jg23313	CARHR277270
OG0000132	jg23312	CARHR277260
OG0000132	jg12398, jg12389, jg12393, jg12394, jg12395	CARHR214020
OG0000132	jg12396	CARHR214030
OG0000134	jg1329, jg1326, jg1330, jg1324, jg1320, jg1317, jg1319	CARHR054550, CARHR054640, CARHR054580
OG0000134	jg27419	CARHR151520
OG0000134	jg2013	CARHR106050
OG0000134	jg7114	CARHR077970, CARHR202010
OG0000134	jg20992, jg20995, jg20998, jg20997, jg20999, jg4953, jg20994	CARHR202050
OG0000137	jg22365	CARHR268700
OG0000137	jg22364	CARHR268690
OG0000137	jg22363	CARHR268680
OG0000138	jg16317	CARHR052000
OG0000138	jg15930	CARHR169360
OG0000138	jg15926	CARHR169320
OG0000138	jg15923	CARHR169270
OG0000138	jg15932	CARHR169390
OG0000140	jg14078, jg1761, jg1441	CARHR146770
OG0000141	jg29672	CARHR012600
OG0000141	jg29671	CARHR012590
OG0000141	jg29664	CARHR012520
OG0000141	jg11302	CARHR220850
OG0000141	jg12025	CARHR013070
OG0000141	jg650	CARHR048210
OG0000141	jg23265	CARHR048950, CARHR048730, CARHR048980, CARHR049220, CARHR049190, CARHR048930, CARHR049010, CARHR156260
OG0000143	jg20945	CARHR116230, CARHR285000
OG0000148	jg33221	CARHR040900
OG0000148	jg461	CARHR040920
OG0000148	jg32882, jg32881, jg32883	CARHR037710, CARHR037720, CARHR037850
OG0000151	jg15449	CARHR165130
OG0000151	jg15448	CARHR165120
OG0000151	jg19118	CARHR134140
OG0000151	jg15447	CARHR165110
OG0000151	jg15282	CARHR163410
OG0000151	jg18884	CARHR132240
OG0000151	jg5170	CARHR199860
OG0000153	jg18114	CARHR124170, CARHR124160
OG0000153	jg17940	CARHR122600, CARHR122610
OG0000153	jg17932	CARHR122560
OG0000153	jg17933	CARHR122540
OG0000153	jg29098	CARHR007190
OG0000154	jg33217, jg33218	CARHR040870
OG0000154	jg5696, jg5697	CARHR121480
OG0000154	jg11063	CARHR290670
OG0000154	jg33219	CARHR040880, CARHR041470
OG0000154	jg33216, jg33214, jg33213	CARHR041490, CARHR040850
OG0000154	jg1392, jg1393, jg33212	CARHR040760, CARHR040790, CARHR041510
OG0000157	jg31645	CARHR029980
OG0000157	jg12097	CARHR029970
OG0000158	jg8653	CARHR245230
OG0000158	jg10511	CARHR210870
OG0000160	jg28078	CARHR109500
OG0000160	jg9392	CARHR238090
OG0000160	jg22635	CARHR271150
OG0000160	jg27288	CARHR104060
OG0000160	jg13954	CARHR153650
OG0000160	jg3697	CARHR073860
OG0000160	jg16942	CARHR117520
OG0000161	jg6881	CARHR059960, CARHR284490
OG0000162	jg18404	CARHR127170
OG0000162	jg13155, jg13158	CARHR145900
OG0000162	jg13160	CARHR145910, CARHR145930
OG0000162	jg26999, jg27000, jg27001	CARHR102810, CARHR103310
OG0000162	jg18412, jg18409, jg18408	CARHR127190
OG0000163	jg1575, jg27445	CARHR058120, CARHR218430
OG0000166	jg21553	CARHR115410, CARHR183960
OG0000166	jg17125	CARHR115420
OG0000166	jg21554	CARHR067380
OG0000167	jg26901	CARHR096990
OG0000167	jg26298, jg26296, jg26297	CARHR097030
OG0000167	jg14328, jg14329	CARHR150060
OG0000167	jg26576, jg26577	CARHR099220
OG0000169	jg16530	CARHR042890, CARHR042510, CARHR043190, CARHR260050
OG0000169	jg16527	CARHR042900, CARHR041590
OG0000169	jg27591	CARHR043200, CARHR263740
OG0000169	jg32767, jg32768, jg32765	CARHR219990
OG0000170	jg19952	CARHR140800
OG0000170	jg16152	CARHR171350
OG0000170	jg19951	CARHR186310, CARHR140760
OG0000170	jg19948	CARHR140780, CARHR140790, CARHR140740
OG0000171	jg22050	CARHR266340
OG0000171	jg12793	CARHR046700
OG0000171	jg27769	CARHR107000
OG0000171	jg22463	CARHR269520
OG0000171	jg24782	CARHR082990
OG0000173	jg8491, jg3298	CARHR246590
OG0000173	jg8611	CARHR246290
OG0000174	jg21576, jg27974, jg7024, jg9836, jg1719, jg13725	CARHR292260, CARHR102990
OG0000174	jg20878, jg12954, jg1495, jg13634, jg13504	CARHR115250
OG0000175	jg5289	CARHR198650
OG0000175	jg16299	CARHR142560
OG0000176	jg16886, jg16884, jg16885	CARHR118040
OG0000176	jg32007	CARHR291360, CARHR291330, CARHR121440
OG0000176	jg2771	CARHR176300
OG0000176	jg2772	CARHR291340, CARHR292140
OG0000176	jg2773	CARHR291350, CARHR291370
OG0000177	jg30663	CARHR021670
OG0000177	jg3362	CARHR181970
OG0000178	jg7702	CARHR253020
OG0000178	jg7704	CARHR250370
OG0000178	jg7703	CARHR250360
OG0000178	jg7707	CARHR252970, CARHR263930
OG0000178	jg7705	CARHR252960
OG0000179	jg1145	CARHR284070
OG0000179	jg1072	CARHR283730
OG0000179	jg1085, jg1082, jg1074, jg1073, jg1075, jg1083	CARHR053540
OG0000179	jg1022	CARHR053290, CARHR283710, CARHR053930
OG0000182	jg15782, jg15779, jg32711, jg15778	CARHR167770
OG0000183	jg2098	CARHR215030
OG0000183	jg12245	CARHR058380
OG0000183	jg15648, jg15712, jg19387	CARHR136200
OG0000183	jg14060	CARHR191680, CARHR114540
OG0000183	jg17567	CARHR119300
OG0000184	jg26401	CARHR103600
OG0000184	jg26416, jg26419	CARHR097880
OG0000184	jg26421	CARHR097890
OG0000184	jg26423	CARHR097900
OG0000185	jg30960	CARHR087540, CARHR087530
OG0000185	jg31379, jg31377	CARHR028040
OG0000186	jg3970	CARHR211050
OG0000186	jg22416	CARHR269100
OG0000186	jg22417, jg22418	CARHR147550, CARHR269160
OG0000186	jg13067	CARHR145130
OG0000186	jg13066	CARHR145120
OG0000186	jg19241	CARHR050630
OG0000187	jg16584	CARHR112670, CARHR112680
OG0000187	jg30474	CARHR020040
OG0000188	jg5008, jg5007, jg5020, jg5022, jg5021	CARHR201470
OG0000189	jg15013	CARHR160880
OG0000189	jg3242	CARHR069390
OG0000189	jg30537	CARHR020570
OG0000192	jg647	CARHR233830
OG0000192	jg29806	CARHR014050, CARHR014060
OG0000193	jg25724	CARHR031320, CARHR091800, CARHR036940
OG0000193	jg25726, jg27497, jg27499, jg27501, jg21538, jg27017, jg25725	CARHR091790
OG0000193	jg32770	CARHR036380, CARHR036970
OG0000193	jg31894, jg31896	CARHR031880
OG0000195	jg28161	CARHR175700
OG0000195	jg6046	CARHR191180
OG0000195	jg22932	CARHR273570
OG0000196	jg12776	CARHR272920
OG0000196	jg12812, jg12806, jg12803, jg12809, jg12800, jg12817, jg12816, jg17734, jg12804, jg12810, jg12779	CARHR272910, CARHR213580, CARHR272900, CARHR287600, CARHR287570, CARHR212840, CARHR289150
OG0000196	jg12778	CARHR288390, CARHR291930, CARHR212850, CARHR212830, CARHR285160, CARHR291950, CARHR288120, CARHR287580, CARHR213590, CARHR288130, CARHR291940, CARHR213880, CARHR262360
OG0000197	jg12243	CARHR215070, CARHR051370
OG0000197	jg10623	CARHR226280, CARHR226370
OG0000198	jg12942	CARHR144080
OG0000198	jg29979	CARHR015470
OG0000198	jg29981	CARHR015480
OG0000198	jg13337	CARHR147290
OG0000199	jg33326, jg32894	CARHR063270, CARHR063300, CARHR163030, CARHR063260, CARHR063690, CARHR063700, CARHR263650
OG0000199	jg9442	CARHR251110, CARHR215270
OG0000200	jg31432	CARHR203250
OG0000200	jg31559	CARHR028750, CARHR037140
OG0000200	jg31560	CARHR037150
OG0000203	jg15851	CARHR168640
OG0000203	jg15863	CARHR168590, CARHR259860
OG0000203	jg15862	CARHR168740
OG0000203	jg15865	CARHR168770
OG0000203	jg15861	CARHR168690
OG0000209	jg21051, jg1344	CARHR014880, CARHR035940, CARHR010330
OG0000209	jg14429	CARHR014740, CARHR010320
OG0000209	jg4863, jg4865	CARHR202500
OG0000210	jg19859	CARHR140170
OG0000210	jg2236	CARHR059620
OG0000210	jg2036	CARHR057970
OG0000210	jg19860	CARHR069160, CARHR059610
OG0000215	jg12459, jg1615, jg32047, jg27336, jg20828, jg32156, jg32318	CARHR284710
OG0000216	jg7641	CARHR253820, CARHR253860, CARHR253850
OG0000216	jg7640	CARHR253870
OG0000216	jg7420	CARHR253840
OG0000216	jg1267	CARHR054340
OG0000216	jg15619	CARHR166590
OG0000219	jg12176, jg12633, jg12636	CARHR065380
OG0000219	jg17925	CARHR272960
OG0000219	jg12179	CARHR123890
OG0000225	jg16693	CARHR180390
OG0000225	jg3554	CARHR072290
OG0000225	jg2551	CARHR072270, CARHR141370
OG0000226	jg4069	CARHR058450
OG0000226	jg4074	CARHR029480
OG0000226	jg4068	CARHR209980
OG0000226	jg21365	CARHR176630
OG0000226	jg14255	CARHR118070, CARHR209970
OG0000226	jg7405	CARHR256020
OG0000227	jg24479	CARHR080100
OG0000227	jg25050	CARHR105470
OG0000227	jg6481, jg6484	CARHR039350
OG0000227	jg27543	CARHR105540
OG0000227	jg27540	CARHR105520
OG0000227	jg27541	CARHR105480
OG0000229	jg17464, jg1772	CARHR062190
OG0000229	jg23298, jg32293	CARHR004570
OG0000230	jg15911, jg15928	CARHR186450, CARHR286030
OG0000230	jg15921	CARHR169400
OG0000232	jg28047	CARHR122740
OG0000233	jg4598	CARHR205610
OG0000233	jg4599	CARHR205600, CARHR205590, CARHR205580
OG0000234	jg19739	CARHR139700
OG0000234	jg4032	CARHR095200
OG0000234	jg4031	CARHR095190
OG0000234	jg4033, jg4035, jg27620, jg33336, jg33337, jg33335	CARHR100580, CARHR100650, CARHR100570
OG0000234	jg4034	CARHR210300
OG0000235	jg19164	CARHR133380
OG0000236	jg2555	CARHR062600
OG0000236	jg26494	CARHR097950
OG0000236	jg7280	CARHR260580
OG0000237	jg15213	CARHR043980, CARHR044120
OG0000237	jg26496	CARHR098530
OG0000237	jg26333	CARHR238210, CARHR097380
OG0000238	jg2698	CARHR064110
OG0000238	jg2702	CARHR064140
OG0000238	jg6718	CARHR185670
OG0000238	jg6720	CARHR023530, CARHR023500, CARHR023520, CARHR023510
OG0000238	jg2707	CARHR064120
OG0000239	jg17673	CARHR218360
OG0000241	jg10370	CARHR228610
OG0000241	jg7735	CARHR107520
OG0000242	jg24512, jg11645, jg21432	CARHR119540, CARHR119080, CARHR180810, CARHR264270, CARHR101660, CARHR102130, CARHR102230, CARHR102520
OG0000242	jg6565	CARHR175670
OG0000243	jg31468	CARHR028760
OG0000243	jg31471, jg31479, jg31470	CARHR028880, CARHR028810
OG0000244	jg7793	CARHR252260, CARHR252270, CARHR252310, CARHR252320, CARHR252280
OG0000244	jg7788	CARHR252240
OG0000244	jg7787	CARHR251320, CARHR252330, CARHR252290
OG0000244	jg7884, jg7885, jg7892, jg7931, jg7886	CARHR251330
OG0000244	jg7883	CARHR251340
OG0000246	jg18819	CARHR131170, CARHR131180
OG0000246	jg18816	CARHR131110
OG0000246	jg18818, jg18817	CARHR131140, CARHR131130, CARHR131150, CARHR131160
OG0000247	jg12382	CARHR291820
OG0000247	jg9719	CARHR217360
OG0000247	jg14818	CARHR263700
OG0000247	jg26794, jg26858, jg26826	CARHR101580, CARHR101880, CARHR101530
OG0000248	jg2614	CARHR063140
OG0000248	jg2609, jg2612, jg2608	CARHR063130
OG0000248	jg12494, jg12493	CARHR263070
OG0000249	jg27200	CARHR033120
OG0000249	jg6559	CARHR029720
OG0000251	jg13318, jg13319	CARHR147300
OG0000251	jg13320	CARHR147330
OG0000251	jg22623	CARHR271060
OG0000252	jg9231	CARHR230420
OG0000252	jg571, jg570	CARHR048360, CARHR048350, CARHR048370
OG0000252	jg3420	CARHR071040
