Orthogroup	Arabidopsis_arenosa	Arabis_alpina
OG0000044	jg21834	Aa_G639660.h1.t1
OG0000044	jg20587	Aa_G208050.h1.t1
OG0000044	jg13687, jg20423	Aa_G89780.h1.t1, Aa_G403300.h1.t1, Aa_G208070.h1.t1
OG0000044	jg20412, jg20415	Aa_G313590.h1.t1
OG0000044	jg6091, jg1752, jg21037	Aa_G33030.h1.t1
OG0000044	jg21833	Aa_G173310.h1.t1, Aa_G620000.h1.t1, Aa_G197680.h1.t1, Aa_G173300.h1.t1, Aa_G685500.h1.t1, Aa_G565790.h1.t1, Aa_G902620.h1.t1, Aa_G685490.h1.t1, Aa_G628640.h1.t1, Aa_G295910.h1.t1, Aa_G628620.h1.t1, Aa_G565810.h1.t1, Aa_G173340.h1.t1, Aa_G715510.h1.t1
OG0000046	jg1572	Aa_G675110.h1.t1
OG0000048	jg20748, jg20747	Aa_G20510.h1.t1
OG0000048	jg18309, jg18271	Aa_G154560.h1.t1
OG0000048	jg33607	Aa_G7360.h1.t1, Aa_G393810.h1.t1, Aa_G274300.h1.t1
OG0000048	jg18210, jg18207	Aa_G584300.h1.t1
OG0000048	jg25048, jg18270	Aa_G312310.h1.t1
OG0000051	jg29349	Aa_G217710.h1.t1, Aa_G818500.h2.t1, Aa_G818500.h1.t1, Aa_G18920.h1.t1
OG0000051	jg19557	Aa_G399340.h1.t1
OG0000051	jg497	Aa_G678670.h1.t1
OG0000051	jg907	Aa_G599340.h1.t1
OG0000051	jg19561, jg19562, jg19563, jg19564	Aa_G271540.h1.t1
OG0000052	jg13389, jg13391	Aa_G465260.h1.t1, Aa_G247990.h1.t1, Aa_G247980.h1.t1, Aa_G247970.h1.t1
OG0000052	jg20913, jg15189	Aa_G521750.h1.t1
OG0000052	jg15039	Aa_G555640.h1.t1, Aa_G207450.h1.t1, Aa_G61370.h1.t1
OG0000052	jg21516	Aa_G521780.h1.t1, Aa_G61380.h1.t1
OG0000055	jg12073	Aa_G659190.h1.t1
OG0000055	jg17788	Aa_G5070.h1.t1
OG0000055	jg8147	Aa_G432690.h1.t1
OG0000056	jg748	Aa_G534290.h1.t1
OG0000056	jg743, jg747, jg744, jg745, jg746	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G643830.h1.t1, Aa_G594100.h1.t1
OG0000056	jg14491	Aa_G162440.h1.t1
OG0000058	jg16618	Aa_G444220.h1.t1
OG0000058	jg6976, jg13931, jg17384, jg1485, jg16419, jg27812, jg17098, jg11852, jg299, jg32415, jg1839, jg11724, jg1567, jg17278, jg1046, jg17522, jg31083, jg21000	Aa_G527390.h1.t1
OG0000060	jg22905, jg29120	Aa_G367650.h3.t1
OG0000060	jg14371	Aa_G197130.h4.t1
OG0000060	jg21249	Aa_G375890.h6.t1
OG0000060	jg22936	Aa_G318860.h3.t1
OG0000060	jg15309	Aa_G257700.h6.t1
OG0000060	jg14419	Aa_G550780.h7.t1
OG0000060	jg21260	Aa_G318860.h4.t1
OG0000061	jg32915, jg32919, jg32548, jg32845, jg32861, jg32993	Aa_G496010.h1.t1, Aa_G380720.h1.t1
OG0000062	jg32622, jg13871, jg7029	Aa_G417500.h1.t1
OG0000063	jg32522	Aa_G186650.h1.t1
OG0000065	jg2192, jg2154, jg2152, jg2189, jg2206, jg2209, jg2212, jg2195, jg2188, jg2193	Aa_G756440.h1.t1, Aa_G190950.h1.t1
OG0000065	jg6601	Aa_G439610.h1.t1
OG0000065	jg12331	Aa_G574220.h1.t1
OG0000065	jg12464	Aa_G120780.h1.t1, Aa_G120790.h1.t1, Aa_G508110.h1.t1
OG0000066	jg1404, jg13471, jg4871, jg4870, jg29279	Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37410.h1.t1, Aa_G37430.h4.t1, Aa_G159180.h4.t1, Aa_G19080.h2.t1, Aa_G159190.h3.t1, Aa_G159180.h2.t1, Aa_G37410.h4.t1, Aa_G37430.h3.t1, Aa_G159180.h5.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G159190.h5.t1, Aa_G19080.h3.t1, Aa_G37430.h2.t1, Aa_G37430.h5.t1, Aa_G37410.h3.t1, Aa_G19080.h4.t1, Aa_G37410.h5.t1, Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1
OG0000066	jg4927	Aa_G64790.h4.t1, Aa_G64790.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h2.t1, Aa_G503390.h4.t1, Aa_G64790.h2.t1, Aa_G64790.h3.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G432280.h4.t1, Aa_G503390.h2.t1, Aa_G503380.h3.t1, Aa_G432280.h1.t1, Aa_G503380.h1.t1, Aa_G503390.h3.t1, Aa_G486090.h1.t1
OG0000068	jg4186, jg4261, jg4260, jg24839, jg24838	Aa_G484940.h1.t1, Aa_G389030.h1.t1
OG0000068	jg4679	Aa_G416390.h1.t1, Aa_G47520.h1.t1, Aa_G185620.h1.t1, Aa_G170400.h1.t1
OG0000068	jg12213	Aa_G389060.h1.t1, Aa_G484910.h1.t1
OG0000069	jg28153, jg28151, jg15319, jg28979	Aa_G536480.h1.t1
OG0000069	jg11593, jg14067	Aa_G707760.h1.t1, Aa_G190520.h1.t1
OG0000069	jg15499	Aa_G396900.h1.t1
OG0000070	jg29403	Aa_G349430.h1.t1, Aa_G171980.h1.t1, Aa_G171960.h1.t1, Aa_G171970.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1
OG0000070	jg16631, jg30544, jg4483	Aa_G433160.h1.t1, Aa_G266320.h1.t1
OG0000070	jg3251	Aa_G410840.h1.t1
OG0000072	jg12110	Aa_G652160.h1.t1, Aa_G44560.h1.t1, Aa_G531310.h1.t1, Aa_G227280.h1.t1, Aa_G160160.h1.t1
OG0000072	jg7100, jg12084, jg27349, jg7332, jg11849	Aa_G505780.h1.t1
OG0000072	jg22195, jg8019	Aa_G159490.h1.t1, Aa_G742680.h1.t1
OG0000072	jg20178	Aa_G880340.h1.t1, Aa_G204510.h1.t1, Aa_G233100.h1.t1, Aa_G9790.h1.t1
OG0000075	jg8424, jg8422, jg21647	Aa_G374860.h1.t1, Aa_G374850.h1.t1
OG0000075	jg26472, jg32685, jg32682, jg32692, jg8427	Aa_G254660.h1.t1
OG0000075	jg8426	Aa_G136250.h1.t1
OG0000075	jg21503	Aa_G545910.h1.t1
OG0000076	jg8362	Aa_G137810.h1.t1
OG0000077	jg20569	Aa_G636230.h1.t1
OG0000077	jg20644	Aa_G362960.h1.t1, Aa_G122040.h1.t1
OG0000077	jg13131	Aa_G683270.h1.t1
OG0000077	jg29337	Aa_G160980.h1.t1
OG0000077	jg902, jg1249	Aa_G161010.h1.t1
OG0000078	jg24239, jg24236	Aa_G339720.h1.t1
OG0000078	jg24237	Aa_G339730.h1.t1
OG0000078	jg5644, jg5634	Aa_G85810.h1.t1, Aa_G253710.h1.t1, Aa_G253680.h1.t1
OG0000079	jg7377	Aa_G160120.h1.t1
OG0000086	jg12270	Aa_G220980.h1.t1, Aa_G221010.h1.t1, Aa_G483980.h1.t1, Aa_G221000.h1.t1
OG0000086	jg12265, jg12276, jg12266, jg12277, jg12281, jg2126, jg2127, jg2128, jg2129	Aa_G703520.h1.t1
OG0000089	jg6235	Aa_G630880.h1.t1
OG0000089	jg17972	Aa_G199760.h1.t1
OG0000089	jg5068	Aa_G256660.h1.t1
OG0000089	jg20749	Aa_G103150.h1.t1
OG0000089	jg10485	Aa_G580380.h1.t1
OG0000089	jg18593	Aa_G562810.h1.t1
OG0000089	jg30528, jg3235	Aa_G656110.h1.t1
OG0000091	jg14545, jg14558	Aa_G363940.h1.t1
OG0000091	jg14561	Aa_G425930.h1.t1, Aa_G89030.h1.t1
OG0000091	jg5910	Aa_G15590.h1.t1
OG0000091	jg21695	Aa_G15570.h1.t1
OG0000091	jg14562	Aa_G28350.h1.t1, Aa_G614510.h1.t1, Aa_G273740.h1.t1, Aa_G60310.h1.t1, Aa_G100900.h1.t1, Aa_G100900.h2.t1
OG0000092	jg1807	Aa_G542470.h1.t1
OG0000095	jg17289	Aa_G54460.h1.t1
OG0000095	jg17005, jg20640	Aa_G155650.h1.t1
OG0000096	jg25959, jg6741, jg26029, jg25961, jg6747, jg25960, jg6746, jg25966, jg12059, jg25964, jg25967, jg26027, jg26030, jg26079, jg27891, jg25957, jg27435	Aa_G32180.h1.t1
OG0000098	jg31283, jg17594, jg11987	Aa_G539290.h1.t1
OG0000098	jg7433, jg6404, jg6403, jg27222, jg27460, jg27464, jg17593, jg16875, jg6402, jg6418	Aa_G70590.h1.t1, Aa_G539300.h1.t1
OG0000100	jg492	Aa_G65760.h1.t1
OG0000101	jg27510	Aa_G154360.h1.t1, Aa_G160180.h1.t1
OG0000102	jg7820	Aa_G577800.h1.t1
OG0000102	jg7815, jg7812, jg7813	Aa_G405840.h1.t1, Aa_G42060.h1.t1, Aa_G405830.h6.t1, Aa_G405830.h1.t1, Aa_G405830.h5.t1, Aa_G405830.h3.t1, Aa_G405830.h2.t1, Aa_G405830.h4.t1, Aa_G405810.h1.t1, Aa_G120830.h1.t1, Aa_G233060.h1.t1, Aa_G261510.h1.t1, Aa_G25760.h1.t1
OG0000102	jg7810	Aa_G42050.h1.t1
OG0000105	jg12808	Aa_G440640.h1.t1, Aa_G771350.h1.t1, Aa_G302450.h1.t1, Aa_G276580.h1.t1
OG0000105	jg12094	Aa_G416120.h1.t1, Aa_G224170.h1.t1, Aa_G217250.h1.t1
OG0000106	jg17558, jg25723	Aa_G456270.h1.t1, Aa_G32140.h1.t1
OG0000106	jg28233	Aa_G264820.h1.t1
OG0000107	jg26157	Aa_G115060.h1.t1
OG0000107	jg26160, jg26163	Aa_G323960.h1.t1
OG0000108	jg15311	Aa_G367680.h1.t1, Aa_G576740.h1.t1
OG0000108	jg14433, jg22870	Aa_G99370.h1.t1
OG0000108	jg4799	Aa_G537640.h1.t1, Aa_G152880.h1.t1
OG0000108	jg19509, jg19508	Aa_G67360.h1.t1
OG0000110	jg25795, jg13800, jg13799, jg25794	Aa_G32020.h1.t1
OG0000114	jg10774, jg6734, jg12947, jg16945, jg14091, jg21201, jg6956, jg16952, jg32081, jg32308, jg21203, jg10179, jg13973	Aa_G361230.h1.t1, Aa_G861160.h1.t1, Aa_G122790.h1.t1
OG0000114	jg6733	Aa_G327480.h1.t1, Aa_G743610.h1.t1, Aa_G305670.h1.t1, Aa_G152040.h1.t1, Aa_G300900.h1.t1, Aa_G718680.h1.t1
OG0000115	jg29546	Aa_G264010.h1.t1
OG0000116	jg27190	Aa_G342720.h1.t1
OG0000117	jg30936	Aa_G349950.h1.t1
OG0000117	jg30922, jg30923, jg30924	Aa_G62330.h1.t1
OG0000117	jg30934	Aa_G62240.h1.t1
OG0000117	jg30929	Aa_G436170.h1.t1, Aa_G187350.h1.t1, Aa_G349960.h1.t1
OG0000119	jg14325	Aa_G251660.h1.t1
OG0000122	jg22486	Aa_G592730.h1.t1
OG0000122	jg22485	Aa_G247680.h1.t1, Aa_G379610.h1.t1, Aa_G625770.h1.t1
OG0000122	jg22505	Aa_G379620.h1.t1
OG0000122	jg32572	Aa_G5880.h1.t1
OG0000122	jg22508	Aa_G592740.h1.t1
OG0000125	jg29111	Aa_G257560.h1.t1
OG0000125	jg33004	Aa_G166390.h1.t1
OG0000127	jg6123	Aa_G552180.h1.t1
OG0000127	jg22931, jg14378	Aa_G33880.h1.t1
OG0000127	jg17851	Aa_G69270.h1.t1
OG0000128	jg12826	Aa_G112570.h1.t1
OG0000128	jg15969	Aa_G271300.h1.t1
OG0000128	jg20835	Aa_G469550.h2.t1, Aa_G469550.h1.t1, Aa_G271280.h1.t1
OG0000128	jg15959	Aa_G784880.h1.t1
OG0000128	jg15960	Aa_G271260.h1.t1
OG0000128	jg1161, jg11381	Aa_G430920.h1.t1, Aa_G469560.h1.t1
OG0000129	jg1820	Aa_G323510.h1.t1
OG0000129	jg33436, jg33435, jg23141, jg23140, jg17685, jg17683, jg17687, jg21823	Aa_G61470.h1.t1, Aa_G716440.h1.t1, Aa_G61530.h1.t1
OG0000130	jg12111, jg17565	Aa_G198530.h1.t1
OG0000130	jg20993, jg25905, jg11327	Aa_G9780.h1.t1
OG0000130	jg9592, jg14104, jg33081	Aa_G10940.h1.t1
OG0000132	jg15428	Aa_G482030.h1.t1, Aa_G359110.h1.t1
OG0000132	jg23313	Aa_G75240.h1.t1
OG0000132	jg12398, jg12389, jg12393, jg12394, jg12395	Aa_G478490.h1.t1, Aa_G110070.h1.t1
OG0000134	jg27021	Aa_G146320.h1.t1
OG0000134	jg1329, jg1326, jg1330, jg1324, jg1320, jg1317, jg1319	Aa_G146330.h1.t1
OG0000134	jg27419	Aa_G339770.h1.t1
OG0000134	jg4953	Aa_G84490.h1.t1
OG0000134	jg20994	Aa_G360810.h1.t1
OG0000136	jg13269	Aa_G1053460.h1.t1
OG0000136	jg159	Aa_G15110.h1.t1
OG0000137	jg22366, jg22365	Aa_G732190.h1.t1, Aa_G643460.h1.t1
OG0000137	jg22363	Aa_G643480.h1.t1
OG0000138	jg16315	Aa_G167750.h1.t1
OG0000138	jg15930	Aa_G154170.h1.t1
OG0000138	jg15926	Aa_G517130.h1.t1, Aa_G154110.h1.t1
OG0000138	jg15923	Aa_G175810.h1.t1, Aa_G175800.h1.t1
OG0000138	jg15939, jg15937	Aa_G244940.h1.t1
OG0000140	jg1149	Aa_G89750.h1.t1
OG0000140	jg6686	Aa_G394930.h1.t1
OG0000140	jg832	Aa_G292460.h1.t1, Aa_G151720.h1.t1, Aa_G688150.h1.t1
OG0000140	jg13730, jg32189	Aa_G752660.h1.t1, Aa_G17020.h1.t1, Aa_G217680.h1.t1, Aa_G112920.h1.t1, Aa_G370590.h1.t1, Aa_G234310.h1.t1, Aa_G908230.h1.t1, Aa_G650540.h1.t1, Aa_G341600.h1.t1
OG0000140	jg33822	Aa_G41930.h1.t1, Aa_G708810.h1.t1, Aa_G445230.h1.t1, Aa_G650260.h1.t1, Aa_G555610.h1.t1, Aa_G206620.h1.t1
OG0000140	jg7346	Aa_G197860.h1.t1
OG0000141	jg32280	Aa_G193750.h1.t1
OG0000141	jg29671	Aa_G124650.h1.t1, Aa_G366140.h1.t1
OG0000141	jg12025	Aa_G521440.h1.t1, Aa_G193720.h1.t1
OG0000141	jg650	Aa_G329600.h1.t1, Aa_G391060.h2.t1, Aa_G391060.h1.t1
OG0000141	jg654, jg658, jg651, jg653	Aa_G473800.h1.t1, Aa_G391080.h1.t1, Aa_G733890.h1.t1
OG0000141	jg23265	Aa_G492220.h1.t1
OG0000151	jg15449	Aa_G329140.h1.t1, Aa_G566620.h1.t1
OG0000151	jg15448	Aa_G729400.h1.t1
OG0000151	jg19118	Aa_G351720.h1.t1
OG0000151	jg15282	Aa_G13900.h1.t1
OG0000151	jg18884	Aa_G30120.h1.t1
OG0000151	jg5170	Aa_G388320.h1.t1
OG0000153	jg17934, jg17935	Aa_G49000.h1.t1, Aa_G235730.h1.t1
OG0000153	jg17932	Aa_G358520.h1.t1
OG0000153	jg17933	Aa_G35530.h1.t1
OG0000153	jg29098	Aa_G310600.h1.t1
OG0000154	jg5696, jg5697	Aa_G37000.h1.t1
OG0000154	jg11063	Aa_G507510.h1.t1, Aa_G507500.h1.t1
OG0000154	jg33219, jg33312	Aa_G406970.h1.t1, Aa_G434970.h1.t1, Aa_G462070.h1.t1, Aa_G434980.h1.t1
OG0000158	jg8653	Aa_G223250.h1.t1
OG0000160	jg28078	Aa_G190130.h1.t1
OG0000160	jg9392	Aa_G620370.h1.t1
OG0000160	jg22635	Aa_G307400.h1.t1
OG0000160	jg27288	Aa_G194510.h1.t1
OG0000160	jg13954	Aa_G490420.h1.t1
OG0000160	jg3697	Aa_G21590.h1.t1
OG0000160	jg16942	Aa_G41590.h1.t1
OG0000161	jg6881, jg12949, jg10772, jg12951	Aa_G172360.h1.t1
OG0000162	jg20943	Aa_G851370.h1.t1
OG0000162	jg18404, jg13164, jg13159, jg13157, jg5057, jg13161, jg13155, jg13158, jg13160, jg12338, jg12339, jg26999, jg27000, jg27001, jg18412, jg18409, jg18408	Aa_G363640.h1.t1
OG0000164	jg6850	Aa_G1007810.h1.t1, Aa_G1080960.h1.t1
OG0000165	jg12066	Aa_G370290.h1.t1, Aa_G370300.h1.t1, Aa_G293040.h1.t1, Aa_G370270.h1.t1, Aa_G228400.h1.t1
OG0000166	jg3072, jg21554	Aa_G792200.h1.t1
OG0000166	jg3074	Aa_G98930.h1.t1
OG0000166	jg3070	Aa_G98910.h1.t1
OG0000167	jg26294	Aa_G162040.h1.t1
OG0000169	jg11594, jg11592	Aa_G296310.h1.t1
OG0000170	jg16151	Aa_G48820.h1.t1
OG0000171	jg22050	Aa_G134060.h1.t1
OG0000171	jg12793	Aa_G688860.h1.t1
OG0000171	jg27769	Aa_G70150.h1.t1
OG0000171	jg22463	Aa_G580840.h1.t1
OG0000171	jg24782	Aa_G24370.h1.t1
OG0000173	jg8629	Aa_G139550.h1.t1, Aa_G187970.h1.t1, Aa_G187960.h1.t1
OG0000175	jg29462, jg30921, jg955	Aa_G473510.h1.t1, Aa_G473510.h2.t1
OG0000175	jg20125	Aa_G775400.h2.t1, Aa_G453040.h2.t1, Aa_G453040.h1.t1, Aa_G775400.h1.t1
OG0000176	jg32422	Aa_G74650.h1.t1
OG0000176	jg2771, jg2770, jg2772	Aa_G319580.h1.t1, Aa_G319590.h1.t1
OG0000176	jg2769	Aa_G319560.h1.t1, Aa_G595900.h1.t1
OG0000177	jg26900, jg30833	Aa_G60820.h1.t1, Aa_G835800.h1.t1
OG0000178	jg7702	Aa_G320630.h1.t1
OG0000182	jg31826, jg16158, jg16157	Aa_G77300.h1.t1, Aa_G394610.h1.t1, Aa_G394570.h1.t1, Aa_G299160.h1.t1
OG0000182	jg15782, jg15779, jg32711, jg15778, jg16268, jg15781	Aa_G22640.h1.t1, Aa_G167450.h1.t1
OG0000182	jg15586, jg15562, jg15559	Aa_G143210.h1.t1
OG0000183	jg2098, jg12245	Aa_G505900.h1.t1
OG0000184	jg26401	Aa_G310780.h1.t1
OG0000185	jg31725, jg31727, jg31723	Aa_G424840.h1.t1
OG0000185	jg19265	Aa_G328640.h1.t1, Aa_G328640.h2.t1
OG0000185	jg31379, jg31377	Aa_G464540.h1.t1, Aa_G464550.h1.t1
OG0000186	jg13066	Aa_G344900.h1.t1
OG0000186	jg760, jg19241	Aa_G218170.h1.t1
OG0000187	jg16584	Aa_G279240.h1.t1, Aa_G279230.h1.t1
OG0000187	jg18001, jg17979, jg17999, jg17980, jg18002, jg17981, jg17978	Aa_G279220.h1.t1, Aa_G773360.h1.t1, Aa_G279150.h1.t1
OG0000188	jg5008, jg5007, jg5020, jg5022, jg5021, jg24303	Aa_G606990.h1.t1
OG0000188	jg24349, jg24348	Aa_G4330.h1.t1
OG0000189	jg8854	Aa_G180380.h1.t1, Aa_G70160.h1.t1
OG0000189	jg3242	Aa_G281740.h1.t1
OG0000192	jg647	Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G184310.h1.t1, Aa_G457510.h1.t1
OG0000195	jg12215	Aa_G230200.h1.t1
OG0000195	jg6046	Aa_G459140.h1.t1
OG0000195	jg22932	Aa_G376620.h1.t1
OG0000196	jg12812, jg12806, jg12803, jg12809, jg12800, jg12817, jg12816, jg17734, jg12804, jg12810, jg12779	Aa_G574390.h1.t1, Aa_G84820.h1.t1
OG0000196	jg12778	Aa_G201160.h1.t1, Aa_G165200.h1.t1, Aa_G339760.h1.t1, Aa_G217260.h1.t1, Aa_G229750.h1.t1, Aa_G612790.h1.t1, Aa_G165270.h1.t1, Aa_G229810.h1.t1
OG0000197	jg10625, jg12243	Aa_G460250.h1.t1, Aa_G460270.h1.t1
OG0000197	jg12242	Aa_G403160.h1.t1
OG0000197	jg10624	Aa_G674860.h1.t1
OG0000198	jg12942	Aa_G509920.h1.t1
OG0000198	jg11388	Aa_G278170.h1.t1
OG0000198	jg29979	Aa_G328840.h1.t1
OG0000198	jg29981	Aa_G272200.h1.t1
OG0000198	jg13337	Aa_G222140.h1.t1, Aa_G238450.h1.t1
OG0000199	jg33326, jg32894	Aa_G530530.h1.t1, Aa_G311720.h1.t1, Aa_G362380.h1.t1, Aa_G186410.h1.t1, Aa_G153710.h1.t1, Aa_G367870.h1.t1, Aa_G385540.h1.t1, Aa_G191200.h1.t1, Aa_G138220.h1.t1
OG0000199	jg9442, jg5645, jg5642, jg9443, jg9444	Aa_G123140.h1.t1, Aa_G191220.h1.t1, Aa_G284830.h1.t1
OG0000200	jg31560, jg31558	Aa_G37370.h1.t1
OG0000201	jg32554	Aa_G427530.h1.t1, Aa_G703190.h1.t1, Aa_G900640.h1.t1, Aa_G337650.h1.t1, Aa_G556890.h1.t1, Aa_G455950.h1.t1, Aa_G38170.h1.t1, Aa_G297100.h1.t1, Aa_G254320.h1.t1, Aa_G734460.h1.t1, Aa_G210530.h1.t1, Aa_G528940.h1.t1, Aa_G155140.h1.t1, Aa_G400980.h1.t1, Aa_G182270.h1.t1, Aa_G869430.h1.t1, Aa_G906580.h1.t1, Aa_G584490.h1.t1, Aa_G17470.h1.t1, Aa_G947170.h1.t1, Aa_G319500.h1.t1, Aa_G265330.h1.t1, Aa_G473070.h1.t1, Aa_G989440.h1.t1, Aa_G818390.h1.t1, Aa_G802560.h1.t1, Aa_G412130.h1.t1, Aa_G2010.h1.t1, Aa_G502040.h1.t1, Aa_G630690.h1.t1, Aa_G177480.h1.t1, Aa_G350550.h1.t1, Aa_G46410.h1.t1, Aa_G106600.h1.t1, Aa_G634980.h1.t1, Aa_G907240.h1.t1
OG0000202	jg8001	Aa_G548600.h1.t1, Aa_G191580.h1.t1, Aa_G99550.h1.t1, Aa_G180050.h1.t1, Aa_G296350.h1.t1, Aa_G77280.h1.t1, Aa_G53200.h1.t1, Aa_G53180.h2.t1, Aa_G53180.h1.t1, Aa_G53180.h3.t1
OG0000202	jg7999	Aa_G71240.h1.t1
