Orthogroup	Arabidopsis_arenosa	Capsella_rubella
OG0000028	jg23433, jg23437	XP_006291347.1
OG0000028	jg23430	XP_006292343.1
OG0000028	jg14606, jg29584	XP_006299262.2
OG0000028	jg14605, jg28212	XP_023633414.1
OG0000029	jg1780, jg13951	XP_023633422.1
OG0000029	jg6737, jg11997	XP_023644241.1
OG0000029	jg26958, jg13640, jg2465	XP_023638860.1
OG0000029	jg2197	XP_023634002.1
OG0000030	jg26153, jg26152	XP_006296044.1
OG0000030	jg2274	XP_023644289.1
OG0000030	jg31203	XP_006303634.1
OG0000030	jg31202	XP_023632886.1, XP_023632793.1
OG0000030	jg1537, jg14799, jg17824, jg14802, jg14804	XP_006293126.1
OG0000030	jg29499	XP_006305030.1
OG0000030	jg25408	XP_006299109.2
OG0000030	jg25272	XP_006297854.1, XP_006297862.1, XP_006300177.2
OG0000031	jg21124	XP_023633361.1
OG0000032	jg27281, jg13794, jg27158, jg18577, jg19520, jg25717	XP_023632591.1
OG0000034	jg10203, jg10197	XP_006283285.1
OG0000034	jg10204	XP_023634692.1
OG0000034	jg10200	XP_006285944.1
OG0000034	jg10425	XP_023634856.1
OG0000034	jg8138	XP_023637378.1
OG0000034	jg10207	XP_023634678.1
OG0000034	jg10175	XP_006283273.1
OG0000034	jg10176	XP_023634701.1
OG0000034	jg10198	XP_006283283.1
OG0000034	jg10208	XP_023635576.1
OG0000035	jg32621, jg13872	XP_023633542.1, XP_023633652.1, XP_023639706.1
OG0000035	jg32484, jg7027, jg13873	XP_023640381.1, XP_023634177.1
OG0000042	jg11609, jg33373, jg12236, jg6978, jg26487, jg900, jg2222	XP_023634283.1
OG0000042	jg17129	XP_023644481.1
OG0000044	jg20417	XP_023638545.1
OG0000044	jg20420	XP_006282385.2
OG0000044	jg20443	XP_006281533.1
OG0000044	jg6091	XP_023636248.1
OG0000044	jg21037	XP_023634969.1
OG0000044	jg10924	XP_006282434.2
OG0000046	jg1035, jg17283, jg1573	XP_023641942.1, XP_023640348.1, XP_023636067.1, XP_006289233.2, XP_023638196.1
OG0000048	jg20748, jg20747	XP_023640387.1
OG0000048	jg18271	XP_023640514.1
OG0000048	jg740	XP_023643230.1, XP_023643229.1, XP_023636083.1, XP_006289868.2
OG0000050	jg19949, jg4268	XP_006299955.2
OG0000050	jg13499, jg21057, jg8024, jg14182, jg14025, jg21900, jg21898, jg13958, jg1166, jg11079	XP_023643276.1
OG0000051	jg29349	XP_006304062.1
OG0000051	jg19555	XP_023640868.1
OG0000051	jg19560	XP_023640424.1
OG0000051	jg19562, jg19563	XP_023639525.1
OG0000051	jg19564	XP_023640425.1, XP_023640455.1, XP_023640454.1
OG0000052	jg13388	XP_023639245.1
OG0000052	jg13389, jg13391	XP_023638292.1
OG0000052	jg1458, jg1459, jg1457	XP_006301891.2, XP_006301896.2
OG0000052	jg13393	XP_006293172.2
OG0000052	jg20913, jg15189	XP_006291114.1, XP_006291129.1
OG0000052	jg15188	XP_006293230.1
OG0000052	jg15190	XP_006290348.2
OG0000052	jg15192	XP_023638945.1, XP_023638947.1
OG0000052	jg15191	XP_023638946.1
OG0000052	jg15039	XP_006291090.1
OG0000052	jg14762	XP_006291102.1
OG0000052	jg14732	XP_006305853.1
OG0000052	jg14734, jg14739	XP_023641037.1, XP_023633372.1
OG0000052	jg14731, jg14730, jg14729	XP_023638561.1, XP_006293221.1
OG0000052	jg21516	XP_023638815.1
OG0000055	jg25886, jg26868	XP_006299228.1, XP_006300113.1
OG0000055	jg32786, jg26785	XP_006300080.1, XP_023641394.1, XP_006299259.1, XP_006301327.2
OG0000055	jg12035	XP_006292584.2
OG0000055	jg17788	XP_006286657.2
OG0000055	jg25908	XP_006299604.1
OG0000055	jg27919	XP_023641561.1
OG0000055	jg25830	XP_006299379.1
OG0000056	jg674	XP_006301460.1
OG0000056	jg748	XP_006302241.1
OG0000056	jg721	XP_006302237.1
OG0000056	jg726	XP_006300465.1, XP_006302243.1
OG0000056	jg743	XP_023643438.1
OG0000056	jg747	XP_006301411.1
OG0000056	jg745	XP_006301193.1
OG0000056	jg746	XP_006301052.1
OG0000056	jg14491	XP_006292456.1
OG0000058	jg6976, jg13931, jg17384, jg1485, jg16419, jg27812, jg17098, jg11852	XP_023636060.1
OG0000061	jg32915	XP_023645797.1
OG0000061	jg5088	XP_006287607.1
OG0000061	jg18014	XP_023640452.1
OG0000061	jg18005	XP_023640829.1
OG0000061	jg12023	XP_023635299.1
OG0000062	jg21178	XP_023633725.1
OG0000062	jg32622	XP_023633353.1
OG0000062	jg13871, jg7029	XP_023634169.1
OG0000064	jg20978, jg20976, jg20985, jg20983, jg20984, jg20981, jg20982, jg20980, jg20974, jg20975, jg20973, jg20977, jg20979	XP_006301177.1, XP_006279224.1, XP_006279222.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301373.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006301675.1, XP_006301967.1, XP_006281741.1
OG0000065	jg2192, jg2154, jg2152	XP_023644442.1
OG0000065	jg2195	XP_023643067.1
OG0000065	jg2193	XP_006300887.1
OG0000065	jg6601	XP_023637822.1
OG0000065	jg12337	XP_023638915.1
OG0000065	jg12333, jg12335	XP_006290703.1
OG0000065	jg12464	XP_006286236.1
OG0000066	jg1404, jg13471, jg4871, jg4870, jg29279	XP_006301260.2, XP_006304637.1, XP_006292533.1
OG0000066	jg4927	XP_006284727.1, XP_006288773.2, XP_006284722.1, XP_006302978.1
OG0000066	jg30515	XP_006304375.1
OG0000067	jg14037	XP_023634337.1
OG0000068	jg4186	XP_006289028.2
OG0000068	jg4261, jg4260	XP_006289556.2, XP_023637280.1
OG0000068	jg32039, jg24042, jg24037, jg24035	XP_023642606.1
OG0000068	jg22052, jg22033, jg22034	XP_023633398.1
OG0000068	jg4088	XP_006289558.2, XP_023637635.1
OG0000068	jg4089	XP_006286541.1
OG0000069	jg28492	XP_006304155.1
OG0000069	jg16809	XP_023645826.1
OG0000070	jg29403	XP_006305612.2
OG0000070	jg28225, jg28226, jg13116, jg13115	XP_006292236.1, XP_006292951.2, XP_006290298.1, XP_006292400.1, XP_006291986.1, XP_006292823.1, XP_006292249.1, XP_006292597.1, XP_006291940.1
OG0000070	jg16631, jg30544, jg4483	XP_006304273.1
OG0000070	jg3251	XP_006302938.1
OG0000070	jg21183	XP_023637791.1
OG0000070	jg16054	XP_023637735.1
OG0000070	jg8905	XP_006286731.1, XP_006289176.1, XP_006285109.1
OG0000072	jg12160, jg21424, jg13720, jg16912	XP_006282913.2, XP_023638967.1
OG0000073	jg32690	XP_023644828.1
OG0000073	jg7434	XP_023644313.1
OG0000073	jg16551, jg24432, jg32702	XP_023644311.1
OG0000074	jg16959	XP_023638088.1
OG0000075	jg8424, jg8422	XP_006285279.1
OG0000075	jg26472, jg32685, jg32682, jg32692, jg8427	XP_023635517.1
OG0000075	jg8428	XP_023635518.1
OG0000075	jg8425, jg7662, jg7663	XP_006286716.1
OG0000075	jg8426	XP_023634488.1
OG0000075	jg21500	XP_023633364.1, XP_006281030.1, XP_006280653.1
OG0000075	jg21501	XP_006281848.1
OG0000075	jg1000, jg934	XP_006301199.1
OG0000076	jg8362	XP_023634774.1
OG0000076	jg18482	XP_006295567.2
OG0000077	jg20644	XP_006281971.1
OG0000077	jg1247	XP_023643297.1
OG0000077	jg13131	XP_006292566.2, XP_006292626.2
OG0000077	jg13128	XP_006292790.1, XP_006293218.1
OG0000078	jg24239	XP_006296650.2
OG0000078	jg24236	XP_006298876.1
OG0000078	jg24237	XP_006300092.1
OG0000078	jg5641	XP_006289130.1
OG0000078	jg5639	XP_023636207.1
OG0000079	jg7377	XP_023644218.1, XP_023645325.1
OG0000081	jg17678, jg24928, jg28032, jg1125, jg20814, jg32127	XP_023638026.1, XP_023634808.1
OG0000081	jg1799	XP_023641960.1
OG0000081	jg26776, jg302, jg5265, jg31440, jg25892, jg12998, jg14036, jg6463	XP_023634311.1
OG0000086	jg23234	XP_023633444.1
OG0000086	jg12259	XP_006284296.1
OG0000086	jg12273, jg12262	XP_006285302.1, XP_006285318.2, XP_006284306.1, XP_023634328.1, XP_006285250.1
OG0000086	jg12260	XP_006284253.1
OG0000086	jg12266, jg12277	XP_006286814.1
OG0000086	jg2126	XP_006302255.2
OG0000086	jg2128	XP_006302648.1, XP_023644277.1
OG0000086	jg2129	XP_006302616.1
OG0000089	jg6235	XP_006287738.1
OG0000089	jg23223	XP_006292748.1, XP_006291122.1
OG0000089	jg17972	XP_006294210.1
OG0000089	jg5068	XP_006289933.1
OG0000089	jg20749	XP_006281513.1
OG0000089	jg10485	XP_006283733.1
OG0000089	jg30528	XP_006307490.1
OG0000089	jg3235	XP_006302256.1
OG0000091	jg14545, jg14558	XP_023637739.1
OG0000091	jg14559	XP_023639072.1
OG0000091	jg14563	XP_023639002.1
OG0000091	jg14230, jg14231	XP_006296540.2
OG0000091	jg5910	XP_023636467.1
OG0000091	jg21695	XP_023644362.1
OG0000092	jg32487	XP_023642043.1
OG0000092	jg26653	XP_023633335.1
OG0000095	jg17272	XP_006294389.1
OG0000095	jg16984	XP_006295399.1
OG0000095	jg17289	XP_006294228.1
OG0000095	jg17270, jg17392, jg16998, jg17271	XP_006294375.1, XP_006294370.2
OG0000095	jg16988	XP_006294323.1
OG0000095	jg16995, jg17274, jg17286, jg17001, jg16991	XP_006296376.2
OG0000095	jg16900	XP_006295595.1
OG0000095	jg16897, jg16899	XP_006295861.1
OG0000096	jg17690, jg17691, jg17695	XP_023640363.1, XP_006296370.1, XP_006296007.1
OG0000096	jg25959, jg6741, jg26029, jg25961, jg6747, jg25960, jg6746, jg25966, jg12059, jg25964, jg25967	XP_006297893.1
OG0000096	jg27891	XP_006299978.1
OG0000096	jg25957	XP_006297929.1
OG0000096	jg14860	XP_023638935.1
OG0000098	jg27107	XP_023641898.1, XP_006297881.1
OG0000098	jg2306	XP_006292655.1
OG0000098	jg17595, jg31284	XP_006305026.1
OG0000098	jg6402, jg6418	XP_006289986.1, XP_006289767.1
OG0000100	jg1373, jg1405, jg472	XP_023641940.1
OG0000100	jg476	XP_023643498.1
OG0000100	jg1396	XP_006301098.2, XP_023643317.1, XP_023643319.1, XP_023643315.1
OG0000100	jg1380, jg1381	XP_023644343.1
OG0000100	jg1001	XP_006301998.2
OG0000100	jg11338	XP_023635628.1
OG0000100	jg471	XP_023642309.1
OG0000100	jg475	XP_023643246.1
OG0000102	jg7820	XP_006288400.1
OG0000102	jg7814	XP_006289764.1, XP_006289669.1, XP_023644271.1, XP_006301748.2, XP_006301379.1
OG0000102	jg7815, jg7812, jg7813	XP_006285555.2
OG0000102	jg21543, jg7817	XP_006288542.1
OG0000102	jg7818	XP_006289089.1
OG0000102	jg11552	XP_006288348.1
OG0000102	jg7810	XP_006288252.1
OG0000105	jg14191, jg14194	XP_023639286.1
OG0000105	jg12802, jg12815	XP_006284602.1, XP_006285182.1
OG0000106	jg17558	XP_006301047.2
OG0000106	jg25723	XP_023643263.1
OG0000107	jg26161	XP_006299861.1
OG0000107	jg26159	XP_006297457.1
OG0000107	jg26163	XP_006289895.1
OG0000108	jg15311	XP_006291303.1, XP_006294425.1
OG0000108	jg14433, jg22870	XP_006282193.1, XP_006291307.1
OG0000108	jg4799	XP_006287952.1
OG0000108	jg19509	XP_006295441.1
OG0000108	jg19508	XP_006295821.1
OG0000109	jg17478	XP_023641886.1, XP_023633619.1
OG0000109	jg16476, jg16484, jg29790, jg9963, jg2091, jg11738, jg13945	XP_023633613.1
OG0000110	jg9173	XP_023634352.1
OG0000110	jg25795, jg13800, jg13799, jg25794	XP_023644523.1, XP_023640339.1, XP_023633349.1, XP_023633346.1, XP_023644458.1, XP_023642819.1
OG0000111	jg26895, jg27877, jg15265	XP_023638950.1, XP_023644251.1, XP_023643207.1, XP_006301030.1, XP_023634314.1, XP_006289239.1, XP_006289948.1, XP_006289559.1, XP_006285378.1
OG0000111	jg13696, jg13695, jg13697	XP_006289226.1, XP_006289953.1, XP_006289914.1
OG0000114	jg10774, jg6734, jg12947, jg16945, jg14091, jg21201, jg6956, jg16952, jg32081, jg32308, jg21203, jg10179, jg13973	XP_006301152.1
OG0000114	jg6733	XP_023640326.1, XP_023634652.1, XP_023640905.1, XP_023635195.1
OG0000117	jg30936	XP_006306513.2
OG0000117	jg30922	XP_006303770.1
OG0000117	jg30923, jg30924	XP_006304583.1
OG0000117	jg30934	XP_006304377.2
OG0000117	jg30937	XP_023632777.1
OG0000117	jg30935	XP_023644784.1
OG0000117	jg30933	XP_006303494.2
OG0000117	jg30938	XP_023632781.1
OG0000117	jg30929	XP_023644792.1
OG0000118	jg19023	XP_006290039.1
OG0000118	jg19021, jg19020	XP_023640365.1
OG0000118	jg2031	XP_006300909.1, XP_006301359.2
OG0000118	jg7426	XP_006290202.1
OG0000118	jg26630, jg26627, jg26631, jg26628	XP_023642688.1
OG0000119	jg22962	XP_023633433.1, XP_006280698.1
OG0000119	jg14325	XP_023638901.1
OG0000119	jg17260	XP_006296419.2
OG0000119	jg17259, jg17257	XP_006295986.2
OG0000119	jg14055	XP_006292836.2, XP_006292499.2, XP_023638877.1
OG0000119	jg14331, jg4290	XP_023638900.1
OG0000119	jg14315, jg14316	XP_006293090.1
OG0000119	jg14330, jg14326, jg14002	XP_023638772.1
OG0000119	jg14314	XP_006292851.1, XP_006292857.1
OG0000120	jg13974	XP_023640343.1, XP_023640331.1, XP_023644467.1
OG0000122	jg22488	XP_006281577.2
OG0000122	jg31888	XP_006306021.1
OG0000122	jg21685, jg22486	XP_023645912.1, XP_023633493.1
OG0000122	jg22485, jg22505, jg32572, jg22508	XP_023633416.1
OG0000123	jg21770	XP_006282356.1, XP_006289168.1
OG0000123	jg23040, jg29450	XP_006303711.1
OG0000124	jg12674	XP_023635269.1
OG0000124	jg27681	XP_023644078.1
OG0000124	jg17603	XP_023638979.1
OG0000125	jg17897	XP_006296171.1
OG0000125	jg17884, jg17877	XP_023639964.1
OG0000125	jg29111	XP_023645280.1
OG0000125	jg33004	XP_023645616.1
OG0000125	jg33352	XP_023645225.1
OG0000125	jg33355	XP_006306741.1
OG0000125	jg26323	XP_006299926.1
OG0000126	jg17588	XP_023640354.1
OG0000127	jg6123	XP_006289049.1
OG0000127	jg3993	XP_006286660.1
OG0000127	jg24874	XP_006298831.2
OG0000127	jg21256	XP_006304288.1
OG0000127	jg22931	XP_006281264.1
OG0000127	jg14378	XP_006292858.1
OG0000127	jg14383	XP_006292010.1
OG0000128	jg15969	XP_023639093.1
OG0000128	jg15966	XP_006291075.1
OG0000128	jg15965	XP_006291073.1
OG0000128	jg13485	XP_006291250.1
OG0000128	jg15959	XP_006290900.1
OG0000128	jg15960	XP_006291045.1
OG0000128	jg1161	XP_006302146.1
OG0000128	jg11381	XP_006282595.1
OG0000129	jg1820, jg1704, jg1821	XP_023644190.1
OG0000129	jg1832	XP_023644195.1
OG0000129	jg1847	XP_023644191.1
OG0000129	jg33436, jg33435	XP_023645120.1
OG0000129	jg23141, jg23140	XP_023635333.1
OG0000129	jg17685, jg17683	XP_023640860.1
OG0000129	jg17687	XP_023640089.1
OG0000129	jg1819	XP_023644193.1
OG0000130	jg9592, jg14104, jg33081	XP_023644493.1
OG0000132	jg15428	XP_006291215.1
OG0000132	jg7387, jg7388	XP_023637355.1
OG0000132	jg12398	XP_006283852.1
OG0000132	jg12389, jg12393, jg12394, jg12395	XP_023634364.1
OG0000132	jg12396	XP_023634360.1
OG0000134	jg27021	XP_023643595.1
OG0000134	jg1329, jg1326, jg1330, jg1324, jg1320, jg1317, jg1319	XP_023643303.1, XP_023643420.1
OG0000134	jg12354	XP_023634083.1
OG0000134	jg12353	XP_023634084.1
OG0000134	jg14178	XP_023641389.1
OG0000134	jg17682	XP_023640358.1
OG0000134	jg20992, jg20995, jg20998, jg20997, jg20999	XP_023640588.1, XP_006282379.2, XP_006279879.2, XP_023640573.1
OG0000134	jg20994	XP_006286802.2
OG0000136	jg11601	XP_023638389.1
OG0000137	jg22366, jg22365	XP_023637930.1, XP_006281726.2
OG0000137	jg22364	XP_006281991.1
OG0000137	jg22363	XP_006281729.1
OG0000137	jg21872	XP_006280772.1
OG0000138	jg16317	XP_006293105.1
OG0000138	jg15930	XP_023639085.1
OG0000138	jg15926	XP_006292673.2
OG0000138	jg15932	XP_023639081.1
OG0000138	jg16316	XP_006291171.1
OG0000138	jg15356	XP_006292487.1
OG0000140	jg13897	XP_023643336.1
OG0000140	jg14412, jg13729	XP_023633812.1
OG0000141	jg29672	XP_023644396.1
OG0000141	jg29671	XP_006306386.2
OG0000141	jg654, jg658, jg651, jg653	XP_006300715.1, XP_006301151.1, XP_006301217.1, XP_023644089.1, XP_006286837.2
OG0000142	jg14912	XP_023635716.1
OG0000143	jg11978	XP_023638858.1
OG0000148	jg32820	XP_023632926.1, XP_006279114.2, XP_006305969.2, XP_006303718.2
OG0000148	jg24959	XP_006297855.1
OG0000148	jg461	XP_023644303.1
OG0000148	jg32882, jg32881	XP_023633110.1
OG0000148	jg33223	XP_006304868.2
OG0000151	jg15449	XP_006290668.1
OG0000151	jg15448	XP_006292545.1
OG0000151	jg19118	XP_006295608.1
OG0000151	jg15447	XP_006292248.1
OG0000151	jg15282	XP_006290640.1
OG0000151	jg18884	XP_006295587.1
OG0000151	jg5170	XP_006287124.2
OG0000153	jg17928	XP_023639932.1
OG0000153	jg18114	XP_006294819.1
OG0000153	jg17940	XP_023640128.1
OG0000153	jg17932	XP_023639767.1, XP_023639968.1, XP_023639834.1, XP_023639909.1, XP_023640029.1
OG0000153	jg29098	XP_023639879.1
OG0000154	jg33217, jg33218	XP_006306278.1
OG0000154	jg5696, jg5697	XP_023644539.1, XP_023635872.1
OG0000154	jg11063	XP_023633661.1
OG0000154	jg33219	XP_006303205.1
OG0000154	jg33312	XP_006304379.1
OG0000154	jg33216, jg33214	XP_023645184.1
OG0000154	jg33213	XP_006306758.1
OG0000157	jg31598	XP_023645847.1
OG0000157	jg12097	XP_023634266.1, XP_006304655.2
OG0000157	jg31640	XP_006281807.1
OG0000157	jg32028	XP_006306236.1
OG0000157	jg31784	XP_023644416.1
OG0000158	jg8688	XP_006279441.2
OG0000158	jg8653	XP_006285768.2
OG0000158	jg16699, jg28264, jg5270, jg28263	XP_006289701.2, XP_006289843.2
OG0000158	jg11407	XP_006286216.2
OG0000160	jg28078	XP_006296920.1
OG0000160	jg9392	XP_006282542.1
OG0000160	jg22635	XP_006282289.1
OG0000160	jg27288	XP_006279406.1
OG0000160	jg13954	XP_006279360.1
OG0000160	jg3697	XP_023643729.1
OG0000160	jg16942	XP_006293643.2
OG0000161	jg6881	XP_023634397.1
OG0000161	jg12949, jg10772, jg12951	XP_023636868.1, XP_023636056.1, XP_023635040.1, XP_023632737.1, XP_023642374.1, XP_023645930.1, XP_023639647.1
OG0000162	jg18405	XP_006294455.1
OG0000162	jg18404	XP_006296229.1
OG0000162	jg13161	XP_023638032.1
OG0000162	jg13155, jg13158	XP_006292794.1
OG0000162	jg26999, jg27000, jg27001	XP_006299665.1
OG0000162	jg18412, jg18409	XP_006295600.1
OG0000162	jg18408	XP_006296378.1
OG0000165	jg12066	XP_006292033.1, XP_023633900.1, XP_023633896.1, XP_023633895.1, XP_006304794.1
OG0000166	jg17505	XP_006282538.1
OG0000166	jg17120	XP_023640595.1
OG0000166	jg17125, jg1552	XP_023640242.1
OG0000166	jg17119	XP_023639378.1
OG0000167	jg26894, jg26893, jg26896	XP_006300127.2
OG0000167	jg7365	XP_006286703.2
OG0000167	jg26298, jg26296	XP_006299157.1
OG0000167	jg26297	XP_023642627.1
OG0000167	jg26290	XP_023642656.1
OG0000167	jg26288	XP_006299826.1
OG0000169	jg16530	XP_023642400.1
OG0000169	jg16527, jg27591	XP_006304855.1, XP_023637223.1, XP_023638076.1, XP_006299871.1, XP_006299319.1
OG0000169	jg16764	XP_023641928.1, XP_023641931.1
OG0000169	jg32767, jg32768, jg32765	XP_023644508.1, XP_023644509.1
OG0000170	jg19952	XP_023640533.1
OG0000170	jg16152	XP_006293280.2
OG0000170	jg19951	XP_023640714.1
OG0000170	jg19948	XP_023639945.1
OG0000171	jg22050	XP_006281266.1
OG0000171	jg12793	XP_006284706.1
OG0000171	jg27769	XP_006298751.1
OG0000171	jg22463	XP_006281239.2
OG0000171	jg24782	XP_006298742.1
OG0000173	jg8430	XP_006282189.2
OG0000173	jg8491	XP_006284898.2, XP_023644326.1
OG0000173	jg8611	XP_006289268.1
OG0000174	jg20878	XP_023639187.1, XP_023634312.1, XP_023640329.1, XP_023644479.1, XP_006281259.1
OG0000175	jg29462, jg30921, jg955	XP_006302886.1
OG0000175	jg5289	XP_023635842.1
OG0000176	jg16886, jg16884	XP_006293700.1, XP_006293701.1, XP_023639559.1
OG0000176	jg16885	XP_006295969.1
OG0000176	jg2771	XP_023644310.1
OG0000176	jg2770	XP_006290619.2
OG0000176	jg2769	XP_023643800.1
OG0000177	jg30665	XP_006303914.1
OG0000178	jg7702	XP_006289433.1
OG0000178	jg7704	XP_006286464.1
OG0000178	jg7703	XP_006286371.1
OG0000178	jg7707	XP_006289092.1, XP_006289348.1, XP_023635846.1, XP_006287233.1
OG0000178	jg7705	XP_023635847.1, XP_006289234.1, XP_006286467.1
OG0000178	jg32186	XP_006286468.1
OG0000179	jg1145	XP_023643817.1
OG0000179	jg1353, jg1150, jg1143, jg1140	XP_006300342.1
OG0000179	jg1072	XP_006300788.1
OG0000179	jg1085, jg1082, jg1074, jg1073, jg1075, jg1083	XP_023643268.1
OG0000179	jg1022	XP_006300705.1
OG0000183	jg2098, jg12245	XP_006302967.1, XP_006284698.1
OG0000183	jg17567	XP_006294957.1
OG0000184	jg26401	XP_006299261.1
OG0000184	jg26402, jg26408	XP_023641351.1
OG0000184	jg26412	XP_006299457.1
OG0000184	jg26410	XP_023642625.1
OG0000184	jg26413	XP_023642639.1
OG0000184	jg26414	XP_006299892.1
OG0000184	jg26421	XP_023641352.1
OG0000184	jg26423	XP_023641851.1
OG0000184	jg26420	XP_006299354.1
OG0000184	jg26422	XP_006298376.1, XP_023641852.1
OG0000184	jg26417	XP_006299497.1
OG0000184	jg26418	XP_023632990.1, XP_023642677.1
OG0000185	jg26094	XP_023641274.1, XP_006298152.1
OG0000185	jg19265	XP_023640416.1
OG0000185	jg30960	XP_006305431.1
OG0000185	jg31379, jg31377	XP_023645963.1
OG0000186	jg22416	XP_006282024.1
OG0000186	jg13066	XP_006292502.1
OG0000186	jg760	XP_006279057.2, XP_023643827.1, XP_023643232.1
OG0000186	jg19241	XP_023632799.1
OG0000187	jg16584	XP_006296499.1
OG0000187	jg30474	XP_006304517.1
OG0000187	jg18001	XP_023640855.1, XP_006295478.1
OG0000187	jg17980, jg18002, jg17981	XP_023640926.1
OG0000187	jg17978	XP_023644474.1, XP_006295737.1
OG0000188	jg5008, jg5007, jg5020, jg5022, jg5021	XP_006289243.1, XP_006289137.1, XP_006286705.1
OG0000188	jg9422	XP_023633759.1
OG0000188	jg9421	XP_006299314.2
OG0000189	jg15013	XP_006293293.1
OG0000189	jg8854	XP_006282726.1
OG0000189	jg3242	XP_006302850.1
OG0000189	jg30537	XP_006305647.1
OG0000192	jg14270	XP_006292772.1
OG0000193	jg27499	XP_006299089.1, XP_006300124.1, XP_006299335.1
OG0000193	jg27017	XP_006300121.1, XP_006299527.1
OG0000193	jg25725	XP_023642703.1
OG0000193	jg32770	XP_006304962.1
OG0000193	jg31894, jg31896	XP_023633071.1
OG0000195	jg12215	XP_006285706.1, XP_006284967.1
OG0000195	jg6046	XP_006287222.1
