Orthogroup	Arabidopsis_arenosa	Eutrema_salsugineum
OG0000134	jg20992, jg20995, jg20998, jg20997, jg20999, jg4953, jg20994	XP_006399626.1
OG0000137	jg22361	XP_006401466.1
OG0000137	jg22366, jg22365	XP_006401462.1
OG0000137	jg22364	XP_006401463.2
OG0000137	jg22363	XP_006401465.2
OG0000137	jg21872	XP_006395415.1
OG0000138	jg16317	XP_006402375.2
OG0000138	jg15926	XP_024012920.1
OG0000138	jg15939, jg15937	XP_024016620.1
OG0000138	jg15356	XP_006402376.1, XP_006406628.2, XP_024015356.1
OG0000140	jg6686	XP_024010233.1, XP_024016314.1
OG0000140	jg12153, jg832, jg13730, jg32189, jg11305, jg33822, jg13897, jg21116, jg17372, jg8836, jg14078, jg1761, jg1441	XP_024009937.1
OG0000140	jg14412, jg13729	XP_024014271.1, XP_024011288.1
OG0000141	jg29677	XP_006417248.1
OG0000141	jg29672	XP_024008234.1
OG0000141	jg32280	XP_024009431.1
OG0000141	jg650, jg654, jg658, jg651, jg653	XP_024004548.1, XP_006391848.1
OG0000142	jg14912	XP_024006458.1, XP_024014815.1, XP_024008002.1, XP_024009941.1, XP_024013979.1, XP_024013304.1, XP_024013309.1, XP_024011242.1, XP_024014409.1, XP_024004086.1, XP_024010557.1, XP_024013929.1, XP_024013647.1, XP_024009747.1, XP_024009366.1, XP_024011259.1, XP_024009279.1, XP_024004932.1, XP_024006563.1, XP_024010230.1, XP_024014041.1, XP_024011248.1, XP_024014159.1, XP_024007750.1, XP_024013628.1, XP_024011100.1, XP_024009927.1, XP_024004122.1, XP_024013974.1, XP_024009749.1, XP_024012580.1, XP_024014391.1, XP_024014044.1, XP_024015910.1, XP_024007985.1
OG0000143	jg11978	XP_024010471.1
OG0000148	jg32820, jg24959	XP_006393424.2
OG0000148	jg461	XP_024004911.1
OG0000148	jg32882, jg32881, jg32883, jg33223	XP_024006236.1, XP_006393101.1, XP_006393087.2
OG0000148	jg5636	XP_006415686.2, XP_024008000.1, XP_006415657.1
OG0000151	jg15449	XP_006403491.1
OG0000151	jg15448	XP_006403492.1
OG0000151	jg19118	XP_006411161.1
OG0000151	jg15447	XP_006403493.1
OG0000151	jg15282	XP_006403679.1
OG0000151	jg18884	XP_006410918.1
OG0000151	jg5170	XP_006399852.1
OG0000153	jg17932	XP_006409977.2, XP_024003718.1, XP_024003707.1, XP_024003713.1, XP_024003669.1
OG0000153	jg17933	XP_024003801.1, XP_006409980.1
OG0000153	jg29098	XP_024008215.1
OG0000154	jg33217, jg33218, jg5696, jg5697	XP_006393107.1
OG0000154	jg11063	XP_024005670.1
OG0000154	jg33219, jg33312	XP_024006135.1
OG0000157	jg12097	XP_006418682.2, XP_024008597.1
OG0000157	jg31640	XP_006415425.1
OG0000158	jg8653	XP_006402964.2
OG0000158	jg16699, jg28264, jg5270, jg28263, jg7562, jg7551	XP_006397112.2
OG0000158	jg11407	XP_006390521.2, XP_024007853.1
OG0000160	jg28078	XP_006409094.1
OG0000160	jg9392	XP_024005341.1
OG0000160	jg22635	XP_024012572.1
OG0000160	jg27288	XP_006396088.1
OG0000160	jg13954	XP_006419170.1
OG0000160	jg3697	XP_006389820.1
OG0000160	jg16942	XP_006404985.2
OG0000161	jg6881, jg12949, jg10772, jg12951	XP_024013360.1
OG0000162	jg18405, jg20943	XP_006410456.1
OG0000162	jg18412, jg18409, jg18408	XP_024004125.1
OG0000163	jg1575	XP_024013090.1, XP_024013108.1
OG0000164	jg6848, jg11792, jg7487, jg11793	XP_024015078.1, XP_024013971.1, XP_024006436.1
OG0000164	jg6850	XP_024004032.1
OG0000167	jg26298, jg26296, jg26297	XP_024014991.1, XP_024006548.1
OG0000167	jg26289, jg14328, jg14329, jg26290, jg26288	XP_024015693.1
OG0000167	jg26576, jg26577	XP_024015423.1
OG0000169	jg32767, jg32768, jg32765	XP_024006540.1, XP_024006299.1, XP_024006462.1
OG0000170	jg16151	XP_024012911.1
OG0000170	jg19951	XP_024010825.1
OG0000170	jg19948	XP_006410182.1
OG0000171	jg22050	XP_006401722.1
OG0000171	jg12793	XP_006405318.1
OG0000171	jg27769	XP_006409398.1
OG0000171	jg22463	XP_006401372.1
OG0000171	jg24782	XP_006407751.1
OG0000173	jg8491	XP_006411787.1
OG0000173	jg8629	XP_006411932.1
OG0000173	jg8611	XP_024006800.1
OG0000173	jg8547	XP_006409103.1
OG0000174	jg21576, jg27974, jg7024, jg9836, jg1719, jg13725	XP_024009910.1, XP_024010843.1, XP_024010311.1, XP_024004523.1
OG0000174	jg20878	XP_024009367.1
OG0000175	jg5289	XP_024012404.1
OG0000176	jg16885	XP_006405511.2
OG0000176	jg32422	XP_024009012.1
OG0000176	jg2769	XP_024011615.1
OG0000177	jg30666, jg30667, jg30662, jg30668, jg30670, jg30665, jg26900, jg30833	XP_006416321.2
OG0000178	jg7702	XP_006396688.1
OG0000178	jg7704, jg7703	XP_006396683.2
OG0000178	jg7707	XP_024009811.1
OG0000178	jg7705	XP_024010194.1, XP_006396684.1
OG0000179	jg1022	XP_006392266.1
OG0000182	jg31826, jg16158, jg16157	XP_006402522.1, XP_006405778.1
OG0000182	jg15782, jg15779, jg32711, jg15778, jg16268, jg15781	XP_006418087.2
OG0000182	jg15586, jg15562	XP_006390108.2
OG0000183	jg2098, jg12245	XP_006391396.1, XP_006405835.1
OG0000183	jg5984, jg17567	XP_006408585.1
OG0000184	jg26412, jg26410, jg26411	XP_024014969.1
OG0000184	jg26422	XP_006406221.2, XP_006406220.1
OG0000184	jg26417, jg26418	XP_006391352.1
OG0000185	jg30960	XP_024008728.1
OG0000186	jg22416, jg22415, jg22417, jg22418	XP_006402068.1
OG0000186	jg22413	XP_006404845.1
OG0000186	jg13067, jg13066	XP_024006671.1
OG0000186	jg19241	XP_024003658.1, XP_024003647.1
OG0000187	jg16584	XP_006409848.1, XP_006413517.1, XP_006413085.1, XP_006401995.1, XP_006410218.1
OG0000187	jg18001, jg17979, jg17999, jg17980, jg18002, jg17981, jg17978	XP_024009084.1, XP_006396044.1
OG0000188	jg5008, jg5007, jg5020, jg5022, jg5021, jg24303	XP_006403294.1, XP_006413270.2
OG0000188	jg24346, jg24347	XP_006408167.1
OG0000188	jg24349, jg24348	XP_006408168.2
OG0000189	jg8854	XP_006409399.1
OG0000189	jg3242	XP_006390262.1
OG0000189	jg30537	XP_006416436.1
OG0000192	jg647	XP_006413192.2
OG0000192	jg29805	XP_006417123.1
OG0000192	jg29806	XP_024013225.1
OG0000193	jg32770	XP_006410830.1, XP_006415272.2
OG0000193	jg31894, jg31896	XP_024007938.1
OG0000195	jg12215	XP_006408884.1
OG0000196	jg12711	XP_006391246.2
OG0000196	jg12812, jg12806, jg12803, jg12809, jg12800, jg12817, jg12816, jg17734, jg12804, jg12810, jg12779	XP_006405333.1
OG0000196	jg12778	XP_024014729.1
OG0000197	jg10625, jg12243	XP_006413958.1
OG0000197	jg10623	XP_006393616.1
OG0000197	jg12242	XP_024004741.1, XP_006413960.1
OG0000197	jg10624	XP_006393695.2
OG0000198	jg12942	XP_006395886.1, XP_006395885.1
OG0000198	jg11388	XP_006395887.1
OG0000198	jg29982, jg31686, jg29979, jg29981, jg13337	XP_006413529.1
OG0000199	jg9442, jg5645, jg5642, jg9443, jg9444	XP_006412791.2, XP_006413298.1
OG0000200	jg31430	XP_006415606.2
OG0000200	jg28891	XP_006418015.2
OG0000200	jg31559	XP_006415505.2
OG0000200	jg31560, jg31558	XP_006415507.2
OG0000201	jg32554	XP_024009278.1
OG0000201	jg1346, jg24835	XP_024010263.1, XP_024010264.1
OG0000202	jg7999	XP_024009918.1
OG0000202	jg2493	XP_006398075.1
OG0000203	jg15851	XP_024012757.1
OG0000203	jg15863	XP_006405456.2
OG0000208	jg16962, jg32361, jg11759	XP_024013235.1
OG0000209	jg14429	XP_024006207.1
OG0000209	jg4863, jg4865	XP_024015726.1
OG0000210	jg19859	XP_024010855.1, XP_024004704.1
OG0000210	jg2036	XP_024012462.1
OG0000210	jg19860	XP_006395656.2
OG0000211	jg23304	XP_024009238.1, XP_024015927.1, XP_024011253.1, XP_024009718.1, XP_024009445.1, XP_024011236.1, XP_024010337.1, XP_024010096.1, XP_024009305.1
OG0000216	jg1267	XP_024016821.1
OG0000219	jg12176, jg12633, jg12636, jg14708, jg15293, jg14696, jg17925, jg12743, jg12179, jg12792, jg11871, jg11778, jg12608, jg12682, jg28098	XP_024009776.1, XP_006391273.1, XP_024005932.1, XP_024005928.1
OG0000221	jg11581	XP_024014198.1
OG0000221	jg11559	XP_024003652.1
