Orthogroup	Arabidopsis_arenosa	Noccaea_praecox
OG0000030	jg29499, jg25408, jg10900, jg11085	Np004G2249500, Np004G2249800
OG0000030	jg25272	Np004G2250000
OG0000030	jg738, jg25360	Np007G4070000
OG0000032	jg27281, jg13794, jg27158, jg18577, jg19520, jg25717	Np005G3033300, Np004G2084500, Np002G1024100, Np004G2084400, Np005G3033400
OG0000034	jg10193, jg10203, jg10197	Np005G2840700, Np005G2840600
OG0000034	jg10204	Np005G2841400
OG0000034	jg10200	Np005G2839700, Np005G2840900
OG0000034	jg10198	Np005G2841500
OG0000034	jg10202, jg10195	Np005G2841700
OG0000035	jg32621, jg13872	Np004G2088100, Np005G3165600
OG0000035	jg6998, jg7008, jg32675, jg6987, jg1581	Np002G0910400
OG0000035	jg13724, jg27973, jg27423, jg13741, jg10108, jg1332, jg28701, jg17048, jg13502	Np005G2829500, Np004G2306200, Np004G2311400
OG0000035	jg17311, jg27930	Np004G2256500
OG0000038	jg27503, jg21532, jg17779	Np007G3978400
OG0000040	jg17939	Np001G0278000
OG0000041	jg28661	Np002G1205400
OG0000042	jg33373	Np004G2298700
OG0000042	jg6977	Np003G1737100
OG0000042	jg33374, jg32294, jg32380	Np006G3478400
OG0000043	jg33537, jg17159	Np006G3675100
OG0000046	jg12140, jg13501, jg20886	Np004G2388700, Np001G0160700
OG0000046	jg29315, jg17523, jg14196, jg1035, jg17283, jg1573, jg1834, jg309, jg32416, jg1572, jg1555, jg21339	Np002G0812000, Np006G3271700, Np002G0901300, Np007G3942200, Np006G3533700, Np004G2173800, Np007G4037000, Np003G1635500, Np004G2079600, Np005G3093000, Np006G3271600, Np007G4080200, Np005G3032100, Np004G2183100, Np004G2290100, Np002G1005100, Np004G2334400
OG0000050	jg14086	Np005G2948800, Np006G3520600, Np001G0383900
OG0000050	jg19949, jg4268	Np005G2619700, Np002G0988200, Np001G0256300, Np007G3953400, Np006G3570900
OG0000050	jg1167, jg27469, jg7250, jg20411, jg7021, jg12231, jg18866, jg13112, jg13499, jg21057, jg8024, jg14182, jg14025, jg21900, jg21898, jg13958, jg1166, jg11079	Np004G1970300, Np005G2648800, Np001G0275100, Np006G3520500, Np001G0383800, Np003G1895000, Np008G4280900
OG0000051	jg29349	Np004G2552100, Np007G3843500, Np007G3849300, Np004G2593300, Np003G1312800, Np003G1313100, Np003G1316200, Np004G2360300
OG0000051	jg19557	Np006G3285300, Np006G3285400
OG0000051	jg497	Np002G1229200
OG0000051	jg24823	Np002G1168000, Np002G1055900, Np002G1071800
OG0000051	jg19553, jg19551, jg19550, jg907, jg19552, jg19554, jg18423	Np006G3285800, Np006G3285900, Np006G3286000
OG0000051	jg19560	Np003G1730300
OG0000051	jg19561, jg19562, jg19563, jg19564	Np006G3284800, Np006G3284200, Np006G3284000
OG0000052	jg13388, jg13390, jg13373	Np001G0218600
OG0000052	jg13389, jg13391	Np002G0839600
OG0000052	jg20319	Np007G4239500
OG0000055	jg25886, jg26868	Np006G3336100, Np006G3338700, Np003G1875300
OG0000055	jg26019, jg12073	Np007G3923100, Np007G3922500
OG0000055	jg17788	Np005G2851900
OG0000055	jg27919	Np007G3753300
OG0000056	jg747, jg744, jg745, jg746	Np002G1191800, Np002G1192300, Np002G1195300
OG0000056	jg14491	Np005G3136000, Np001G0467300
OG0000058	jg16618	Np004G2334500
OG0000059	jg1077, jg4817, jg25268, jg5943, jg32839, jg11480, jg33384, jg28178	Np006G3486400, Np005G2888900, Np005G3047300, Np007G3954600, Np003G1666900, Np003G1673900, Np005G2877500
OG0000059	jg27640, jg13837	Np003G1667800, Np001G0392300, Np001G0082700
OG0000061	jg32841, jg32864, jg32857, jg32551	Np003G1795500
OG0000061	jg12190	Np006G3342300
OG0000061	jg18012	Np006G3280900
OG0000061	jg18005	Np005G3181500, Np005G3181600, Np002G1245500
OG0000061	jg375, jg20934, jg12023	Np002G1245100, Np002G1245200
OG0000062	jg21178	Np002G1076000, Np003G1765200, Np002G0953500, Np002G0958500
OG0000062	jg32622	Np002G0991500
OG0000065	jg12464, jg12463	Np005G3146600
OG0000066	jg29279	Np004G2500100, Np003G1367200
OG0000066	jg4927	Np005G2623400, Np003G1374000, Np005G2623300, Np007G3771600, Np002G0777800
OG0000067	jg32532	Np005G2826900
OG0000068	jg4186, jg4261, jg4260, jg24839, jg24838	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600
OG0000068	jg4679	Np006G3221500, Np006G3241700, Np006G3215500, Np005G2816600, Np006G3215800
OG0000069	jg16351	Np006G3706900, Np006G3707500
OG0000069	jg28153, jg28151, jg15319, jg28979	Np007G3833600
OG0000069	jg28492	Np004G2374300, Np004G2572500, Np004G2541100, Np004G2541500
OG0000069	jg13227, jg16809	Np004G2313200, Np001G0593200, Np001G0592800, Np001G0596200, Np001G0586900, Np001G0599500
OG0000070	jg29403, jg28225, jg28226, jg13116, jg13115	Np007G3899300, Np001G0248800
OG0000070	jg16631, jg30544, jg4483	Np004G2353400
OG0000070	jg3251	Np001G0364300, Np001G0366000, Np001G0526100, Np001G0525900, Np002G0771400
OG0000070	jg16054	Np004G1988500
OG0000072	jg12110	Np007G4041200, Np001G0368400, Np003G1731700, Np006G3587200, Np009G4327500, Np006G3447100, Np003G1510900, Np006G3565200
OG0000072	jg7100, jg12084, jg27349, jg7332, jg11849	Np007G4034300, Np001G0214400, Np004G2135500, Np006G3592300, Np006G3546700, Np006G3482700
OG0000072	jg20178	Np002G0772500, Np004G2176900, Np006G3362700, Np002G0796100, Np001G0490300, Np008G4256100, Np001G0651800, Np002G1002300, Np005G3189400, Np007G3836600, Np006G3485300, Np004G2112600
OG0000072	jg25787	Np003G1588900, Np007G4122700, Np005G2824400
OG0000073	jg32034, jg11572, jg10937, jg20466, jg13828, jg30444, jg16551, jg24432, jg32702, jg1433, jg11779, jg26607	Np003G1524100
OG0000075	jg21647	Np006G3607400, Np003G1743500, Np003G1743600, Np003G1743200
OG0000075	jg8428	Np005G2617300
OG0000075	jg32683, jg20353	Np004G2247300
OG0000076	jg8362	Np005G2608900
OG0000077	jg20644	Np001G0386200
OG0000077	jg2240	Np002G0927000
OG0000077	jg1310	Np002G1125900
OG0000077	jg1247	Np002G1121700
OG0000077	jg13131	Np001G0247700
OG0000077	jg1249	Np002G1126100
OG0000078	jg24239, jg24236	Np007G4214700
OG0000078	jg5644, jg5634	Np003G1454400
OG0000079	jg7377	Np004G2051400, Np004G2152100, Np004G2296400, Np004G2253500
OG0000080	jg6819	Np002G1104300, Np004G2051300
OG0000080	jg21120	Np002G1069800
OG0000081	jg17678, jg24928, jg28032, jg1125, jg20814, jg32127, jg1799	Np004G2188400, Np004G2195900, Np004G2188800, Np007G3988300
OG0000081	jg26776, jg302, jg5265, jg31440, jg25892, jg12998, jg14036, jg6463	Np005G2602400
OG0000086	jg12259	Np002G0950000
OG0000086	jg12260	Np005G3126400, Np005G3126800, Np005G3126700, Np005G3127000
OG0000086	jg12281	Np005G3127100
OG0000086	jg2128, jg2129	Np002G0867100
OG0000089	jg6235	Np001G0109800
OG0000089	jg23223	Np005G2870600
OG0000089	jg17972	Np006G3501600, Np008G4281600
OG0000089	jg5068	Np003G1391100
OG0000089	jg20749	Np001G0399300
OG0000089	jg10485	Np005G2871200
OG0000089	jg3235	Np002G0774400
OG0000091	jg17633	Np001G0389100, Np001G0389700
OG0000091	jg5910	Np003G1487100
OG0000091	jg21695	Np001G0528700
OG0000095	jg17289	Np006G3650500, Np006G3650700
OG0000095	jg16989, jg17288	Np006G3649600
OG0000095	jg1743, jg16988, jg17290, jg17390, jg16997	Np006G3660300
OG0000095	jg17005, jg20640	Np006G3649400
OG0000095	jg16996	Np006G3650300
OG0000095	jg16995, jg17274, jg17286, jg17001, jg16991, jg16900, jg16897, jg16899	Np006G3650400, Np006G3654500, Np006G3650200, Np006G3660600
OG0000096	jg25957	Np007G3952900, Np002G0789300, Np002G0783300, Np007G3906500, Np007G3813600, Np007G3828000, Np007G3827900, Np007G3802100, Np007G3815700, Np007G3816700, Np004G1968900, Np002G1192600, Np004G1989000, Np004G1955200, Np004G1945900, Np004G1963100, Np004G1955300
OG0000096	jg27435	Np007G3726500
OG0000097	jg13803	Np004G2027800
OG0000098	jg27221, jg27229, jg27223, jg27264, jg27107	Np007G3899100
OG0000098	jg31283, jg17594, jg11987	Np005G3053200, Np001G0115600
OG0000098	jg2306	Np004G2594800
OG0000098	jg27471, jg27452	Np007G3793600
OG0000098	jg17595, jg31284, jg16872	Np001G0116500, Np001G0115500
OG0000098	jg17593, jg16875	Np002G0990300, Np002G0990900, Np002G0990400
OG0000100	jg1373, jg1405, jg472	Np002G1237300
OG0000100	jg1001	Np004G2064500
OG0000100	jg492, jg11338, jg777, jg27782	Np002G1231900
OG0000101	jg27510	Np002G0868700, Np004G2067500, Np001G0489000, Np004G2252100, Np011G4358000, Np011G4357800, Np002G0736300, Np001G0306500, Np001G0036300, Np004G2254300, Np001G0349600, Np004G2428000, Np003G1266900, Np001G0589500, Np003G1682200, Np003G1683300, Np007G3942800, Np003G1683400
OG0000102	jg7820	Np003G1716100
OG0000102	jg7815, jg7812, jg7813	Np003G1850400
OG0000102	jg7818, jg11552	Np003G1850200
OG0000102	jg7819	Np003G1795300
OG0000102	jg7810	Np003G1849500, Np003G1850000
OG0000103	jg33027	Np007G4123200
OG0000105	jg12808	Np007G4161900
OG0000105	jg12094	Np003G1459200
OG0000106	jg15329	Np007G3948900, Np006G3602200, Np004G2072600, Np004G2045400, Np003G1306400
OG0000106	jg727	Np001G0133000
OG0000106	jg17558, jg25723	Np001G0513300, Np003G1588100, Np005G2609700, Np005G2802400, Np003G1396400, Np005G3054500, Np006G3285100, Np004G1932400, Np002G1206600, Np002G0931500, Np004G2006800, Np006G3285600, Np006G3356100, Np002G0934000, Np001G0450200, Np001G0254300, Np001G0468300, Np003G1838400, Np002G1216700, Np001G0108100, Np004G2551200, Np004G1924900, Np003G1364100, Np004G1973500, Np001G0080600
OG0000107	jg17559, jg17556	Np007G3984500
OG0000107	jg26263	Np005G3056200
OG0000107	jg26159, jg26158	Np007G3984300
OG0000108	jg15311	Np001G0565800
OG0000108	jg14433, jg22870	Np001G0462100
OG0000108	jg4799	Np003G1360400
OG0000109	jg17478, jg27454, jg27058, jg17336, jg17450, jg13895, jg1859, jg2002, jg16476, jg16484, jg29790, jg9963, jg2091, jg11738, jg13945	Np002G1184600, Np005G2935200, Np007G4014300, Np005G2978600, Np006G3449000, Np003G1723900, Np003G1723300, Np003G1723600, Np011G4357100, Np002G1174400, Np008G4281000, Np002G1033400
OG0000110	jg9173	Np002G0928100
OG0000110	jg25795, jg13800, jg13799, jg25794	Np002G1086700, Np005G2909800, Np002G1161200, Np004G2113400, Np005G3033600, Np002G0891500, Np007G4015500, Np008G4289300
OG0000111	jg13696, jg13695, jg13697	Np005G3154700
OG0000111	jg3144	Np005G3138900, Np001G0444800
OG0000114	jg10774, jg6734, jg12947, jg16945, jg14091, jg21201, jg6956, jg16952, jg32081, jg32308, jg21203, jg10179, jg13973	Np002G1018000
OG0000114	jg6733	Np003G1744100
OG0000116	jg21091, jg22360, jg6813, jg6561	Np002G1124800
OG0000116	jg27190	Np004G1921200, Np001G0237100
OG0000116	jg32193	Np007G3783600
OG0000117	jg30934	Np004G2300400
OG0000117	jg30930	Np004G2299300
OG0000117	jg30938	Np004G2300300
OG0000117	jg30929	Np004G2300200
OG0000118	jg2028, jg2031, jg2038, jg2030, jg7426	Np002G0786200
OG0000118	jg24182, jg26523	Np004G1992500, Np006G3383100
OG0000118	jg7233	Np007G4221800, Np007G4221900
OG0000119	jg22962	Np003G1836400
OG0000119	jg14331, jg4290	Np001G0493200
OG0000120	jg32086, jg21202, jg10180, jg12955, jg6735, jg10767	Np003G1769900, Np005G2602500
OG0000122	jg31888	Np003G1578000
OG0000122	jg22505	Np003G1578400
OG0000122	jg32572	Np003G1577700
OG0000122	jg22508	Np003G1578500
OG0000123	jg21770	Np003G1843300
OG0000124	jg12674	Np005G3180200
OG0000124	jg27681	Np007G3982000
OG0000124	jg17603	Np006G3413600, Np006G3224800, Np007G4183000, Np001G0142800, Np001G0316700, Np002G1065100, Np002G1144900, Np004G2155800, Np006G3441600, Np005G2997800, Np003G1698400, Np004G2064900, Np003G1592200, Np001G0351400, Np002G0948800, Np005G2989400
OG0000125	jg17897	Np006G3601100
OG0000125	jg17884, jg17877	Np006G3600700
OG0000125	jg29111	Np004G2519400
OG0000125	jg33004	Np004G1951700
OG0000125	jg33352, jg33355, jg33354	Np004G1951500
OG0000125	jg33347	Np004G1951600
OG0000125	jg26323	Np007G3813400
OG0000126	jg17588	Np006G3613200
OG0000126	jg754	Np004G2155700, Np002G1082900, Np006G3480500, Np030G4400000, Np030G4398400
OG0000126	jg1156, jg1158	Np002G0902700
OG0000126	jg32822	Np002G1171100, Np007G3882700
OG0000126	jg27206, jg17305	Np001G0233600
OG0000126	jg1403	Np005G2929200
OG0000127	jg6123	Np003G1510700
OG0000127	jg15301	Np001G0565000
OG0000127	jg22931, jg14378	Np003G1523500
OG0000127	jg17851	Np006G3598300
OG0000128	jg15969	Np001G0645400
OG0000128	jg15959	Np001G0644700
OG0000128	jg15960	Np001G0644900
OG0000128	jg1161, jg11381	Np001G0644500
OG0000129	jg1820, jg1704, jg1821	Np002G0866100
OG0000129	jg1847	Np005G3118200
OG0000130	jg32651, jg20179	Np006G3485400
OG0000132	jg15428	Np001G0583700
OG0000132	jg23312	Np001G0060300
OG0000132	jg12398, jg12389, jg12393, jg12394, jg12395	Np005G3117900, Np005G3137200, Np005G3137300, Np005G3137400
OG0000134	jg20992, jg20995, jg20998, jg20997, jg20999, jg4953, jg20994	Np003G1378400
OG0000136	jg11601	Np006G3676200, Np001G0351300, Np001G0200700
OG0000137	jg22361	Np003G1602200
OG0000137	jg22358	Np003G1829600
OG0000137	jg32125, jg32130	Np003G1596700
OG0000137	jg22366, jg22365	Np003G1602000, Np003G1601500, Np003G1600700
OG0000137	jg22364	Np003G1602100
OG0000137	jg22363	Np003G1602400
OG0000140	jg13730, jg32189	Np005G2883300
OG0000140	jg14078, jg1761, jg1441	Np001G0509300, Np001G0524900
OG0000141	jg650, jg654, jg658, jg651, jg653	Np002G1165900
OG0000148	jg32882, jg32881, jg32883, jg33223	Np004G1960900, Np004G1960800
OG0000151	jg15448	Np001G0586800
OG0000151	jg19118	Np006G3339200
OG0000151	jg15447	Np001G0586700
OG0000151	jg15282	Np001G0563500
OG0000151	jg18884	Np006G3374700
OG0000151	jg5170	Np003G1404000
OG0000153	jg29098	Np004G2521100
OG0000154	jg5696, jg5697	Np004G1998200
OG0000154	jg33216	Np004G1963300
OG0000154	jg33213	Np004G1963200
OG0000155	jg11573, jg32701, jg22135, jg26608	Np002G0924800, Np007G3958500, Np003G1811300, Np003G1729400, Np004G2275700, Np004G2136600, Np006G3676300
OG0000157	jg12097	Np006G3350500, Np003G1450700
OG0000157	jg31636, jg31639	Np005G3104600, Np005G3104800, Np005G3107600
OG0000157	jg31916	Np006G3343300
OG0000158	jg8688	Np005G2867000, Np005G2866500
OG0000158	jg8653	Np001G0700500
OG0000158	jg10511	Np003G1292700
OG0000158	jg28264	Np005G2956600
OG0000158	jg7562, jg7551	Np001G0283500, Np001G0283800, Np001G0282900, Np007G4061200
OG0000158	jg11407	Np004G2036800, Np004G2174600, Np004G1934200
OG0000160	jg28078	Np007G3739600
OG0000160	jg9392	Np005G2740000
OG0000160	jg22635	Np003G1560700
OG0000160	jg27288	Np007G3899700
OG0000160	jg13954	Np001G0430500
OG0000160	jg3697	Np002G0711700
OG0000162	jg20943	Np006G3577700
OG0000162	jg26999, jg27000, jg27001	Np001G0244800
OG0000162	jg18412, jg18409, jg18408	Np006G3578300
OG0000164	jg6848, jg11792, jg7487, jg11793	Np002G1034300, Np002G1025700, Np008G4279000, Np002G1069100, Np002G1006800, Np006G3497200, Np005G3087200, Np002G1058100, Np006G3500300, Np005G2972300, Np002G1034200, Np002G1015700, Np002G1101600, Np006G3500400, Np004G2245600, Np004G2245700, Np003G1707900, Np007G4010900, Np004G2250900, Np008G4276900, Np009G4319300, Np006G3505100
OG0000164	jg27251	Np004G2250800
OG0000164	jg27250	Np006G3450900
OG0000164	jg6850	Np001G0316300, Np002G1011400, Np002G1016200, Np001G0433600, Np005G2941300, Np004G2582200, Np001G0316200, Np001G0316100, Np002G1011500, Np004G2239900
OG0000165	jg12066	Np003G1813000, Np003G1781700, Np003G1822600, Np003G1800900, Np003G1781600, Np003G1801300, Np003G1801500, Np007G4108400
OG0000166	jg17125	Np007G3748700
OG0000167	jg26298, jg26296, jg26297	Np007G3808900
OG0000167	jg26289, jg14328, jg14329, jg26290, jg26288	Np007G3810100, Np007G3810500
OG0000169	jg11594, jg11592	Np004G2522900
OG0000169	jg32767, jg32768, jg32765	Np004G2006300, Np004G2270200, Np001G0564500
OG0000170	jg16151	Np001G0667900
OG0000171	jg22050	Np003G1641800
OG0000171	jg27769	Np007G3768900
OG0000171	jg22463	Np003G1582900
OG0000173	jg8491, jg3298	Np005G2621400
OG0000173	jg13671, jg8611, jg8545, jg8547	Np001G0199900
OG0000174	jg21576, jg27974, jg7024, jg9836, jg1719, jg13725	Np002G1029900
OG0000175	jg5289	Np003G1416000
OG0000175	jg16299	Np001G0685700, Np006G3217800
OG0000176	jg16886, jg16884, jg16885	Np007G4189400
OG0000176	jg32007	Np006G3654200
OG0000176	jg2769	Np002G0837300, Np002G0837100
OG0000177	jg30663, jg8064, jg3362	Np002G0868200, Np007G3897800, Np002G0760200
OG0000178	jg7702	Np003G1833700
OG0000178	jg7704	Np003G1835100
OG0000178	jg7703	Np003G1835200
OG0000178	jg7705	Np003G1834900, Np003G1834200
OG0000182	jg31826, jg16158, jg16157	Np001G0465800, Np003G1776200
OG0000182	jg15586, jg15562	Np003G1557500, Np007G3723300
OG0000182	jg19013	Np001G0532600, Np001G0532500
OG0000183	jg2098	Np005G3124900
OG0000183	jg5984, jg17567	Np006G3615500
OG0000184	jg26412, jg26410, jg26411	Np007G3824400, Np007G3829200
OG0000184	jg26417, jg26418	Np007G3795700
OG0000185	jg29773	Np001G0633400, Np001G0633500, Np004G2438100, Np004G2439800, Np004G2439100
OG0000185	jg30591, jg31725, jg31727, jg31723, jg19265, jg23338	Np001G0026600, Np001G0030000, Np001G0688200
OG0000186	jg22413	Np003G1587900
OG0000188	jg24303	Np007G4208500
OG0000188	jg24346, jg24347	Np007G4202800, Np004G1955500
OG0000188	jg24349, jg24348	Np001G0338100
OG0000189	jg8854	Np007G3769000
OG0000189	jg3242	Np002G0772800
OG0000189	jg30537	Np004G2354100
OG0000192	jg647	Np003G1311400
OG0000192	jg29806	Np004G2432400
OG0000192	jg9826	Np005G2794900
OG0000192	jg14270	Np004G2432200
OG0000193	jg25724	Np007G3913400
OG0000195	jg12215	Np007G3730700
OG0000196	jg12778	Np005G2929400, Np005G3188800
OG0000197	jg10625, jg12243	Np004G2439300, Np002G1112700
OG0000197	jg10623	Np005G2896400, Np001G0033100
OG0000197	jg12242	Np005G2896800
OG0000197	jg10624	Np004G2022400
OG0000198	jg11388	Np001G0273200, Np001G0273100
OG0000198	jg29982, jg31686	Np006G3633600, Np003G1742600
OG0000198	jg29979	Np004G2415000
OG0000198	jg29981	Np004G2414700
OG0000198	jg13337	Np005G2833600
OG0000199	jg9442, jg5645, jg5642, jg9443, jg9444	Np004G2471000, Np004G2469700, Np004G2471600, Np004G2469900, Np004G2460000
OG0000200	jg28892	Np004G2544000
OG0000200	jg31430	Np004G2120000
OG0000200	jg28891	Np004G2543900
OG0000200	jg31559	Np004G2143200, Np004G2141700, Np003G1654700
OG0000200	jg31560, jg31558	Np004G2141600, Np004G2143500
OG0000202	jg7534, jg7536, jg7538, jg7531, jg7506, jg7999	Np007G3890500
OG0000202	jg2493	Np007G3758700
OG0000202	jg8000	Np002G1149700
OG0000202	jg7249	Np007G3791900
OG0000203	jg15863	Np005G3179800
OG0000203	jg15862	Np001G0632300
OG0000203	jg15861	Np001G0631800
OG0000205	jg11810, jg11812, jg11730	Np009G4305400, Np002G1035400, Np010G4327900, Np004G2209100
OG0000206	jg23550	Np003G1786800
OG0000209	jg4863, jg4865	Np003G1366500
OG0000210	jg19859	Np006G3250000
OG0000210	jg2036	Np002G1162900
OG0000210	jg2591	Np006G3538900
OG0000210	jg16105	Np006G3639200
OG0000211	jg23304	Np007G4123300
OG0000216	jg1267	Np002G1121800
OG0000216	jg15619	Np001G0606300, Np001G0606400
OG0000218	jg1481, jg1902, jg7083, jg15996, jg14689, jg6981	Np001G0082600, Np005G2949200, Np005G2921000, Np002G0962900, Np002G0922800
OG0000219	jg12179	Np001G0161000
OG0000219	jg28098	Np002G0871700
OG0000222	jg11917	Np003G1700600
OG0000224	jg11828	Np002G1042200, Np004G2182200, Np002G1208000, Np002G0965300, Np009G4293100
OG0000225	jg3554	Np002G0730800
OG0000225	jg2551	Np002G0730400
OG0000226	jg4068	Np005G3168600
OG0000226	jg4073	Np005G3166700
OG0000227	jg24479, jg24480, jg25056, jg25050, jg6481, jg6484	Np006G3524200, Np006G3524300
OG0000229	jg23298	Np006G3473000
OG0000229	jg32293	Np002G1043000
OG0000230	jg15921	Np001G0641400
OG0000232	jg13723	Np006G3632500, Np007G3843600, Np001G0330000, Np002G0948700, Np004G2389900, Np006G3592000, Np005G2963500
OG0000233	jg4598	Np003G1335200, Np003G1335300
OG0000233	jg4599	Np003G1335400
OG0000233	jg4597	Np003G1335100
OG0000233	jg4604, jg4594	Np003G1334700, Np003G1334800, Np003G1334900, Np005G2911800
OG0000234	jg19739	Np003G1792500
OG0000234	jg4032	Np004G2055100
OG0000235	jg19164	Np005G3142900
OG0000235	jg31240	Np005G3191700, Np005G3191200
OG0000236	jg26494	Np007G3825300, Np007G3825800
OG0000236	jg7281, jg7280	Np003G1773300
OG0000237	jg15213	Np006G3664800, Np005G3024700
OG0000237	jg26496	Np007G3835000
OG0000237	jg26333	Np007G3814600
OG0000238	jg2698	Np002G0845300
OG0000238	jg6718, jg6720	Np004G2309500
OG0000239	jg17673	Np004G2128000, Np005G3094300, Np007G3909100, Np004G1948500, Np005G3117700, Np003G1657100, Np003G1411900, Np005G3036700, Np001G0216500, Np001G0293200, Np001G0630400, Np004G2156900, Np007G4040900, Np004G1948600, Np006G3651300, Np004G2333400, Np001G0292400
OG0000241	jg10370	Np005G2864100
OG0000241	jg7735	Np003G1837500
OG0000242	jg24512, jg11645, jg21432	Np007G4179600
OG0000242	jg6565	Np001G0141900
OG0000243	jg31469	Np004G2125700, Np004G2125900, Np004G2125000
OG0000243	jg31473	Np004G2125200
OG0000243	jg31477	Np004G2125800, Np004G2125100
OG0000243	jg31471, jg31479, jg31470	Np004G2125600
OG0000244	jg7787	Np003G1858400
OG0000244	jg7884, jg7885, jg7892, jg7931, jg7886, jg7883	Np003G1858200, Np003G1858100, Np003G1857800
OG0000244	jg7893	Np003G1848200, Np003G1848100
OG0000246	jg18819	Np006G3384100, Np003G1776100
OG0000247	jg12382, jg9719, jg14818	Np004G2545900
OG0000247	jg31833	Np004G2538200, Np003G1780900, Np003G1801100, Np003G1791800, Np003G1778100, Np003G1777900, Np003G1786000
OG0000248	jg2620, jg2621, jg2622	Np002G0857800
OG0000248	jg12494, jg12493, jg2604, jg2603	Np002G0860000
OG0000249	jg11990	Np002G1058300
OG0000249	jg11991	Np004G2068100, Np009G4325100, Np008G4270100, Np009G4325200, Np001G0129900, Np003G1744700
OG0000250	jg7876	Np003G1507100, Np003G1848500
OG0000251	jg13318, jg13319	Np001G0226900
OG0000251	jg13320	Np001G0491300, Np001G0226800, Np001G0226600
OG0000251	jg22623	Np003G1562200
OG0000251	jg13316	Np002G0877400, Np004G2306300
OG0000253	jg1415	Np002G0865000
OG0000253	jg24871	Np007G4134200
OG0000253	jg3985	Np003G1267200
OG0000254	jg11135	Np005G3023700, Np005G3023600
OG0000255	jg1321	Np006G3497300
OG0000258	jg12130	Np004G2182300
OG0000258	jg17248, jg20584	Np004G2182400
OG0000258	jg7050	Np004G2195200, Np002G1089200
OG0000259	jg33082, jg33080, jg7439, jg28872, jg19336, jg1303, jg16868	Np001G0461900
OG0000259	jg26917, jg32916, jg17665, jg16978, jg983, jg985	Np007G3830200
OG0000262	jg543	Np004G2283300, Np002G1124100
OG0000262	jg7311	Np003G1635900
OG0000263	jg17561	Np004G2041700
OG0000265	jg1040, jg31936, jg18105, jg33104, jg20960, jg32961, jg25811	Np005G3140200, Np007G4120400, Np002G0744800, Np002G0778500, Np003G1560300, Np004G1972500, Np006G3567500, Np004G2255600, Np001G0314500
OG0000267	jg32731, jg13995	Np001G0402800
