Orthogroup	Arabidopsis_arenosa	Cardamine_glauca
OG0000077	jg13128	Cg002G0679200, Cg002G0679300
OG0000077	jg29337	Cg006G2167500
OG0000078	jg24239	Cg004G1099900
OG0000078	jg5639	Cg008G2744900, Cg008G2744200, Cg008G2744500
OG0000079	jg7377	Cg004G1172300, Cg002G0672800, Cg002G0570600, Cg010G2993500
OG0000080	jg6819	Cg002G0578600, Cg002G0578900, Cg005G1663800, Cg004G1172200
OG0000080	jg21120	Cg006G1882600
OG0000081	jg20814	Cg003G0774600, Cg008G2921900
OG0000086	jg12281	Cg001G0342600
OG0000089	jg6235	Cg008G2794800
OG0000089	jg23223	Cg003G1017300
OG0000089	jg17972	Cg005G1638200
OG0000089	jg5068	Cg008G2689500
OG0000089	jg20749	Cg008G2943700
OG0000089	jg10485	Cg001G0195600
OG0000089	jg18593	Cg005G1585200
OG0000089	jg30528	Cg006G2065500
OG0000089	jg3235	Cg007G2528700
OG0000091	jg14507	Cg002G0555900
OG0000091	jg17633	Cg005G1672400
OG0000091	jg5910	Cg001G0362300, Cg008G2769400
OG0000091	jg21695	Cg003G0829200, Cg003G0877100
OG0000092	jg2228	Cg003G0840800
OG0000095	jg16989, jg17288	Cg005G1739100
OG0000095	jg16996	Cg005G1739400
OG0000096	jg26888, jg26886	Cg001G0384700
OG0000096	jg25959, jg6741, jg26029, jg25961, jg6747, jg25960, jg6746, jg25966, jg12059, jg25964, jg25967, jg26027, jg26030, jg26079, jg27891	Cg004G1249200, Cg004G1257700, Cg004G1249300
OG0000096	jg25957	Cg004G1260000
OG0000098	jg27221, jg27229, jg27223, jg27264, jg27107	Cg004G1351900
OG0000098	jg2306	Cg007G2258600, Cg007G2258500
OG0000098	jg17595, jg31284	Cg008G2823500
OG0000100	jg1396	Cg007G2332300
OG0000100	jg471	Cg007G2290800
OG0000101	jg27510	Cg007G2332400
OG0000102	jg7820	Cg003G0864200, Cg003G0734200
OG0000102	jg7815, jg7812, jg7813	Cg003G0864100, Cg003G0734300, Cg003G0734500
OG0000102	jg7818	Cg003G0734400, Cg003G0864000
OG0000102	jg7819	Cg003G0734600, Cg003G0863800
OG0000102	jg7810	Cg003G0863600, Cg003G0734800
OG0000105	jg1379	Cg007G2332200, Cg007G2332800
OG0000107	jg17559, jg17556	Cg005G1681600
OG0000107	jg26161	Cg004G1267700
OG0000107	jg26159	Cg004G1267500
OG0000107	jg26157	Cg004G1267200
OG0000108	jg18920, jg15311	Cg005G1557400
OG0000108	jg14433, jg22870	Cg003G0983900
OG0000108	jg4799	Cg008G2664600
OG0000109	jg27058, jg17336, jg17450, jg13895	Cg008G2837900
OG0000110	jg9173	Cg002G0653700
OG0000111	jg26895, jg27877, jg15265	Cg003G0769600, Cg003G0769200, Cg003G0769000, Cg003G0769100, Cg003G0768800, Cg003G0768700, Cg003G0768900, Cg003G0768500, Cg003G0768100, Cg003G0769400, Cg003G0768000, Cg003G0767700, Cg006G1873400, Cg006G1939000, Cg006G1938900, Cg006G1938700, Cg013G3026300, Cg002G0596600
OG0000115	jg29546	Cg006G1927900, Cg008G2910800
OG0000117	jg30936	Cg006G2029700
OG0000117	jg30923, jg30924	Cg006G2031100
OG0000117	jg30934	Cg006G2029800
OG0000117	jg30937	Cg006G2029600
OG0000117	jg30930	Cg006G2030500
OG0000117	jg30935, jg30933	Cg006G2029900
OG0000117	jg30938	Cg006G2029400
OG0000117	jg30929	Cg006G2030600
OG0000119	jg17260, jg17259, jg17257	Cg005G1714200
OG0000119	jg14055	Cg002G0596700
OG0000119	jg4290	Cg001G0041500
OG0000119	jg14315, jg14316	Cg002G0574700
OG0000122	jg22508	Cg003G0800700
OG0000124	jg12674	Cg001G0378100
OG0000124	jg27681, jg17603	Cg001G0298900
OG0000125	jg17897	Cg005G1643500
OG0000125	jg17896	Cg005G1644900
OG0000125	jg17890, jg17891, jg17887	Cg005G1644600
OG0000125	jg29111	Cg006G2188500
OG0000125	jg33004	Cg006G1841400
OG0000125	jg33352, jg33355	Cg006G1816500
OG0000125	jg33354	Cg006G1816900, Cg006G1816400
OG0000125	jg26323	Cg004G1281100
OG0000127	jg29136	Cg006G2186100
OG0000127	jg6123	Cg008G2786000
OG0000127	jg15301	Cg002G0489900
OG0000127	jg3993	Cg008G2597500
OG0000127	jg22931	Cg003G0989900
OG0000127	jg14383	Cg002G0569500, Cg002G0569100
OG0000127	jg17851	Cg005G1647800
OG0000128	jg15966	Cg002G0434200
OG0000128	jg15959	Cg002G0434700
OG0000128	jg15960	Cg002G0434600
OG0000129	jg1820	Cg007G2357000
OG0000129	jg1832	Cg007G2412500, Cg007G2396400
OG0000129	jg1847	Cg007G2390100
OG0000129	jg33436, jg33435, jg23141, jg23140	Cg003G1010100, Cg003G1010200, Cg003G1010000
OG0000129	jg17685, jg17683, jg17687	Cg005G1662800, Cg005G1661800, Cg005G1660700, Cg005G1661700
OG0000129	jg21823	Cg003G0897000
OG0000129	jg1819	Cg008G2880200, Cg007G2357100
OG0000130	jg32651, jg20179	Cg003G0796500, Cg002G0592800
OG0000132	jg15428	Cg002G0477500
OG0000134	jg20992, jg20995, jg20998, jg20997, jg20999	Cg008G2920900
OG0000137	jg22365	Cg003G0942100
OG0000137	jg22364	Cg003G0942000
OG0000137	jg22363	Cg003G0941900
OG0000137	jg21872	Cg003G0901200
OG0000138	jg16317	Cg007G2299800
OG0000138	jg15932	Cg002G0558300, Cg002G0563500
OG0000138	jg15356	Cg002G0485200
OG0000140	jg12153	Cg003G0904200
OG0000140	jg832	Cg002G0686900
OG0000140	jg13730, jg32189	Cg006G2087500
OG0000140	jg21116	Cg006G1824700
OG0000140	jg14078, jg1761, jg1441	Cg003G0810900
OG0000141	jg23265	Cg007G2276000, Cg007G2276100
OG0000142	jg14912	Cg005G1593500
OG0000148	jg33221	Cg006G1825800
OG0000151	jg15449	Cg002G0475200
OG0000151	jg15448	Cg002G0475300
OG0000151	jg19118	Cg005G1538800
OG0000151	jg15447	Cg002G0475400
OG0000151	jg15282	Cg002G0491600
OG0000151	jg18884	Cg005G1560100
OG0000151	jg5170	Cg008G2699500
OG0000153	jg18114	Cg005G1625900
OG0000153	jg17940	Cg005G1641100
OG0000154	jg33217, jg33218	Cg006G1826100
OG0000154	jg11063	Cg001G0245400
OG0000154	jg33219	Cg006G1826000
OG0000154	jg33216, jg33214, jg33213	Cg006G1826400
OG0000157	jg31643	Cg006G1966200, Cg006G1965500
OG0000157	jg31636, jg31639	Cg006G1966900
OG0000158	jg10511	Cg008G2596700
OG0000158	jg7562, jg7551	Cg005G1695800
OG0000160	jg28078	Cg004G1426700
OG0000160	jg9392	Cg001G0100800
OG0000160	jg22635	Cg003G0963700
OG0000160	jg27288	Cg004G1353700
OG0000160	jg3697	Cg007G2573400
OG0000160	jg16942	Cg005G1742100
OG0000162	jg18405	Cg005G1601500
OG0000162	jg18404	Cg005G1601600
OG0000162	jg13160	Cg002G0675900, Cg002G0676200, Cg002G0676100
OG0000162	jg26999, jg27000, jg27001	Cg004G1334900
OG0000162	jg18412, jg18409, jg18408	Cg005G1601400
OG0000165	jg12066	Cg006G1858300
OG0000166	jg21553	Cg013G3025200, Cg013G3024600, Cg013G3024900
OG0000166	jg17505, jg17120, jg17125, jg1552, jg17119	Cg036G3082400
OG0000167	jg26576, jg26577	Cg004G1301000
OG0000170	jg19952	Cg005G1473800
OG0000170	jg16151	Cg002G0419600
OG0000170	jg19951	Cg005G1474000
OG0000171	jg22050	Cg003G0916500
OG0000171	jg12793	Cg007G2262400
OG0000171	jg27769	Cg004G1402700
OG0000171	jg22463	Cg003G0949800
OG0000171	jg24782	Cg004G1146700
OG0000173	jg8430	Cg001G0078900
OG0000173	jg8491, jg3298	Cg008G2861400, Cg008G2846800
OG0000173	jg8629	Cg001G0073600
OG0000173	jg13671	Cg002G0675000
OG0000173	jg8547	Cg001G0022300, Cg001G0022400
OG0000174	jg21576, jg27974, jg7024, jg9836, jg1719, jg13725	Cg007G2342000, Cg002G0629800, Cg002G0560800, Cg001G0362900, Cg003G0991500, Cg001G0283900, Cg007G2346200
OG0000175	jg5289	Cg008G2710700
OG0000175	jg16299	Cg002G0406800, Cg005G1457900
OG0000176	jg16886, jg16884	Cg005G1747600
OG0000176	jg2771	Cg008G2964200
OG0000176	jg2772	Cg007G2484200
OG0000177	jg30665	Cg006G2054600
OG0000178	jg7702	Cg003G0742900, Cg003G0743000
OG0000178	jg7704	Cg006G1925200
OG0000178	jg7703	Cg006G1925100
OG0000178	jg32186	Cg003G0802700, Cg003G0803500
OG0000179	jg1072	Cg007G2311400
OG0000182	jg16268	Cg002G0405500
OG0000182	jg15781	Cg002G0498500
OG0000183	jg2098	Cg001G0339800
OG0000183	jg15712	Cg002G0456600
OG0000183	jg19387	Cg005G1519300
OG0000183	jg14060	Cg008G2776300, Cg002G0596300
OG0000183	jg17567	Cg005G1681400
OG0000185	jg30591, jg31725, jg31727, jg31723, jg19265	Cg004G1440400
OG0000185	jg23338	Cg003G1044200
OG0000185	jg30960	Cg004G1189300
OG0000185	jg31379, jg31377	Cg006G1989500
OG0000186	jg19241	Cg007G2287600
OG0000187	jg16584	Cg005G1772000
OG0000187	jg30474	Cg006G2070900
OG0000187	jg18001, jg17979, jg17999, jg17980, jg18002, jg17981, jg17978	Cg005G1635300, Cg005G1635400, Cg005G1634600, Cg005G1634500, Cg005G1635600, Cg005G1635200, Cg005G1635700, Cg005G1635500
OG0000188	jg9421	Cg002G0576300, Cg004G1168000, Cg004G1167400, Cg004G1167900
OG0000188	jg24346, jg24347	Cg004G1107000
OG0000189	jg15013	Cg002G0515600
OG0000189	jg3242	Cg007G2529500
OG0000189	jg30537	Cg006G2064800
OG0000192	jg647	Cg006G1993900
OG0000192	jg29806	Cg006G1994000
OG0000192	jg14270	Cg006G2127500
OG0000193	jg25726, jg27497, jg27499, jg27501, jg21538, jg27017, jg25725	Cg004G1230500
OG0000193	jg32770	Cg006G1859600, Cg006G1859800, Cg006G1859900, Cg006G1859400
OG0000193	jg31894, jg31896	Cg006G1948300
OG0000195	jg28159	Cg007G2338500
OG0000195	jg22932	Cg003G0787700
OG0000196	jg12812, jg12806, jg12803, jg12809, jg12800, jg12817, jg12816, jg17734, jg12804, jg12810, jg12779	Cg001G0388500
OG0000196	jg12778	Cg001G0388000, Cg001G0388200, Cg001G0387900, Cg001G0387800, Cg001G0388400
OG0000197	jg10624	Cg001G0205400
OG0000197	jg23232, jg10620	Cg001G0205200
OG0000198	jg12942	Cg002G0692800
OG0000198	jg29979	Cg006G2114000
OG0000198	jg29981	Cg006G2113800, Cg006G2113700
OG0000198	jg13337	Cg002G0664200
OG0000199	jg33326, jg32894	Cg007G2470500, Cg007G2472200, Cg007G2392400, Cg002G0549200
OG0000199	jg9442	Cg014G3034400, Cg008G2903900
OG0000199	jg5645, jg5642	Cg014G3034300, Cg003G0721100, Cg003G0721200, Cg014G3034200
OG0000200	jg28892	Cg006G2210500
OG0000200	jg28891	Cg006G2210600
OG0000200	jg31559	Cg006G1857600
OG0000200	jg31560, jg31558	Cg006G1857700
OG0000203	jg15851	Cg002G0442000
OG0000203	jg15863	Cg002G0441200
OG0000203	jg15862	Cg002G0441400
OG0000203	jg15865	Cg002G0441100
OG0000203	jg15861	Cg002G0441500
OG0000205	jg11810, jg11812, jg11730	Cg006G1892500
OG0000208	jg21410, jg11762, jg17188, jg32157, jg21192, jg32818, jg12460, jg71, jg13677, jg27335, jg1616, jg20827, jg23855, jg27196, jg32317, jg32048, jg1612, jg27113, jg11473, jg11621, jg27114, jg11472, jg11622, jg8263, jg6904, jg13887, jg11691, jg25739, jg16962, jg32361, jg11759	Cg005G1738400, Cg007G2356100, Cg005G1738000
OG0000209	jg29693, jg29335, jg21051, jg1344	Cg006G2154400, Cg006G2158500, Cg006G1924600, Cg006G2158400
OG0000209	jg14429	Cg008G2968000
OG0000209	jg4863, jg4865	Cg008G2670300, Cg008G2670600, Cg008G2677700
OG0000210	jg19859	Cg005G1480200
OG0000210	jg19860	Cg005G1646200
OG0000216	jg7641	Cg003G0750100
OG0000216	jg7640	Cg003G0750300, Cg003G0750200
OG0000216	jg7421, jg7420, jg7418	Cg003G0750000
OG0000216	jg1267	Cg007G2323800
OG0000216	jg15619	Cg001G0324000
OG0000219	jg17925, jg12743	Cg001G0279900
OG0000221	jg11559	Cg002G0658400
OG0000226	jg7405	Cg003G0770400
OG0000227	jg24479	Cg004G1118500
OG0000227	jg27543, jg27540	Cg004G1376700, Cg004G1376500, Cg004G1376400, Cg004G1385200, Cg004G1377200
OG0000227	jg27541	Cg004G1376900
OG0000229	jg17464, jg1772	Cg001G0315200
OG0000230	jg15911, jg15928	Cg008G2846600, Cg008G2861200, Cg008G2861500
OG0000230	jg15922	Cg007G2290400
OG0000232	jg28047	Cg006G1824400
OG0000233	jg4598	Cg008G2647600
OG0000233	jg4599	Cg008G2647700, Cg008G2647900, Cg008G2647800
OG0000233	jg4597	Cg008G2647500
OG0000233	jg4604, jg4594	Cg008G2647300
OG0000234	jg19739	Cg005G1484700
OG0000234	jg4032	Cg004G1263300
OG0000234	jg4034	Cg008G2601400
OG0000235	jg19164	Cg005G1544000
OG0000236	jg2555	Cg007G2466600
OG0000236	jg26494	Cg004G1287300
OG0000236	jg7280	Cg003G0795800
OG0000237	jg15213	Cg006G1842500
OG0000237	jg26333	Cg001G0099500, Cg004G1282100
OG0000238	jg2698	Cg007G2478600
OG0000238	jg2702	Cg007G2478900
OG0000238	jg6718	Cg008G2832400
OG0000238	jg6720	Cg006G2034900, Cg006G2035000
OG0000238	jg2707	Cg007G2478700
OG0000239	jg17673	Cg002G0661500, Cg007G2316100, Cg006G2142800
OG0000241	jg10370	Cg001G0185400
OG0000241	jg10371	Cg001G0185500
OG0000242	jg6565	Cg008G2821600, Cg008G2821500, Cg008G2969100, Cg008G2968700, Cg005G1735200, Cg008G2969200, Cg008G2968900, Cg008G2969300, Cg008G2968800
OG0000244	jg7793	Cg003G0862300, Cg003G0736100, Cg003G0862100, Cg003G0861900, Cg003G0736300, Cg003G0736000, Cg003G0862400, Cg003G0735900
OG0000244	jg7787	Cg003G0869800, Cg003G0728000, Cg003G0861800, Cg003G0736400
OG0000244	jg7884, jg7885, jg7892, jg7931, jg7886	Cg003G0728100, Cg003G0869700
OG0000246	jg18819	Cg005G1566300
OG0000247	jg12382	Cg001G0351600, Cg001G0351800
OG0000247	jg26794, jg26858, jg26826	Cg003G0782000, Cg004G1322200, Cg004G1322700
OG0000248	jg2614	Cg007G2470700
OG0000248	jg2609, jg2612, jg2608	Cg007G2470600
OG0000248	jg2620, jg2621, jg2622	Cg007G2471500
OG0000249	jg11991	Cg006G1934400, Cg004G1366500, Cg002G0640600
OG0000249	jg6559	Cg007G2349500, Cg004G1391400
OG0000250	jg7876	Cg003G0735700
OG0000251	jg13318, jg13319	Cg002G0664000
OG0000251	jg13320	Cg002G0663800
OG0000251	jg22623	Cg003G0962700
OG0000251	jg13315	Cg002G0664100
OG0000252	jg9231	Cg001G0086600
OG0000252	jg571, jg570	Cg007G2272200
OG0000252	jg3420	Cg007G2546100
OG0000252	jg3422	Cg007G2546300, Cg007G2546200
OG0000253	jg25213	Cg004G1184700
OG0000253	jg24871	Cg004G1154100
OG0000253	jg3985	Cg008G2596600
OG0000254	jg11133, jg11132	Cg001G0249400, Cg001G0249700
OG0000256	jg25806	Cg004G1236700
OG0000257	jg3241	Cg008G2969000
OG0000257	jg20723	Cg007G2529400
OG0000258	jg12130, jg1478, jg27068	Cg002G0627900
OG0000258	jg17248, jg20584	Cg007G2370800, Cg001G0290400
OG0000259	jg26917	Cg004G1246900
OG0000262	jg454	Cg007G2264500, Cg007G2264400, Cg007G2264300
OG0000262	jg455, jg458, jg453, jg457	Cg007G2293500
OG0000269	jg22908	Cg003G0987700
OG0000269	jg14405, jg14407	Cg002G0567300
OG0000269	jg1015	Cg007G2309100
OG0000269	jg17967	Cg005G1638700
OG0000274	jg27362	Cg008G2846400, Cg003G0884300, Cg001G0366700, Cg008G2975700, Cg001G0331800
OG0000275	jg8473	Cg003G1065200
OG0000275	jg1129, jg6761, jg6771, jg6767, jg6769, jg6762, jg6770, jg1128	Cg008G2833500
OG0000277	jg8879	Cg001G0007500
OG0000277	jg30517	Cg006G2066500
OG0000278	jg12172	Cg001G0332400
OG0000278	jg12224	Cg001G0336600
OG0000278	jg12188, jg12186	Cg001G0333000, Cg001G0333100, Cg001G0332700
OG0000278	jg12174, jg10987, jg10984, jg12178, jg12175	Cg001G0332500, Cg001G0337400
OG0000279	jg20634, jg20628, jg20633, jg20631, jg20635	Cg003G0839100, Cg008G2952700, Cg008G2952600, Cg008G2952800, Cg008G2950400, Cg008G2950200, Cg008G2950100
OG0000282	jg33448	Cg001G0182200
OG0000282	jg10319, jg10323	Cg001G0182000
OG0000283	jg20347	Cg007G2481000, Cg004G1350900
OG0000284	jg10834	Cg005G1669400, Cg004G1304800, Cg003G0797700, Cg002G0455700
OG0000285	jg10428	Cg001G0190700
OG0000285	jg14971	Cg003G0706200, Cg014G3049300, Cg003G0711400, Cg014G3044400
OG0000285	jg9725	Cg001G0130400
OG0000286	jg20757, jg20756	Cg008G2943000
OG0000288	jg26083, jg31791, jg32749, jg10121	Cg007G2410200, Cg001G0295100, Cg008G2916600
OG0000289	jg18393, jg18428	Cg005G1600000
OG0000289	jg18343	Cg005G1602700
OG0000289	jg18344	Cg005G1606400, Cg001G0371200
OG0000289	jg17113	Cg013G3025500, Cg036G3082600
OG0000289	jg18387	Cg004G1374500
OG0000290	jg416, jg418	Cg007G2262300
OG0000290	jg12794	Cg001G0390300
OG0000291	jg27066, jg27067, jg27057	Cg004G1343300, Cg004G1337600
OG0000291	jg27048	Cg004G1343900, Cg004G1343800, Cg004G1343500
OG0000294	jg5391, jg5390, jg31107, jg31105, jg31104	Cg008G2721100
OG0000294	jg5315	Cg008G2713400
OG0000295	jg32824	Cg006G1876600
OG0000295	jg25083, jg31321	Cg006G1996000
OG0000295	jg25085, jg7398	Cg004G1173400, Cg004G1317000
OG0000296	jg22851, jg22847	Cg008G2982100, Cg003G0982000, Cg003G0887600
OG0000296	jg22801, jg21885, jg22800	Cg003G0978500
OG0000296	jg22798, jg22799	Cg003G0978400
OG0000297	jg12852, jg17414	Cg001G0284800
OG0000298	jg32012	Cg006G1935000
OG0000298	jg32008	Cg006G1935400
OG0000300	jg21853	Cg003G0899400
OG0000301	jg19826	Cg005G1482700
OG0000301	jg16118	Cg004G1274700
OG0000305	jg30239	Cg006G2092900
OG0000305	jg32496, jg19283, jg19279, jg7268	Cg005G1528100
OG0000308	jg20897, jg20895, jg20892, jg20894, jg20890, jg20896, jg20889	Cg008G2928800, Cg008G2929000, Cg008G2928900
OG0000309	jg22981	Cg003G0994700
OG0000312	jg6753, jg1649	Cg001G0335800, Cg006G1899900
OG0000314	jg17949	Cg006G1940900
OG0000314	jg21060	Cg005G1640900
OG0000318	jg3658	Cg007G2568100
OG0000318	jg2564, jg2563	Cg007G2467300
OG0000321	jg33127, jg33133	Cg004G1262800
OG0000321	jg5838, jg5839	Cg008G2763000
