Orthogroup	Arabidopsis_arenosa	Arabidopsis_lyrata_Rawat
OG0000027	jg10181	AL7G30160
OG0000027	jg10191	AL7G30270
OG0000027	jg7537, jg7533, jg7530	AL1G66280
OG0000027	jg10192	AL7G30280
OG0000027	jg10190	AL7G30260
OG0000028	jg22446	AL594U10010
OG0000028	jg22236	AL8G29750
OG0000028	jg22237	AL8G29760
OG0000028	jg22427, jg22428	AL236U10020
OG0000028	jg22250, jg22247	AL8G29780
OG0000028	jg23430	AL5G44140
OG0000028	jg22006	nbis-gene-2112
OG0000028	jg22007	nbis-gene-2113
OG0000028	jg22259	AL8G29920
OG0000028	jg22270, jg22279, jg22262	AL8G29950
OG0000029	jg1778	nbis-gene-1243
OG0000030	jg26153	AL3G33700
OG0000030	jg26152	AL275U10020, AL3G33320, AL3G33690
OG0000030	jg30787	AL1G35700
OG0000030	jg31203	AL1G40180
OG0000030	jg31202	AL1G40160, AL1G40170
OG0000030	jg25536	AL3G27510
OG0000030	jg11086	AL7G39300
OG0000030	jg14799	AL5G29320
OG0000030	jg17824	AL5G29310
OG0000030	jg14802	AL5G29340
OG0000030	jg2112	AL2G23050
OG0000030	jg29499	AL1G21870
OG0000030	jg25272	AL3G24770
OG0000030	jg738	AL3G25710
OG0000030	jg25360	AL3G25690
OG0000031	jg21124	AL6G36560
OG0000034	jg10193	AL7G30290
OG0000034	jg10206	AL7G30330
OG0000034	jg10426	AL7G32680
OG0000034	jg10425	AL7G32670
OG0000034	jg10207	AL7G30340
OG0000034	jg10202, jg10195	AL7G30310
OG0000034	jg10208	AL7G30350
OG0000035	jg7027	AL8G13010, AL8G34850, AL7G40470, AL7G45660, AL2G19470
OG0000035	jg1581	AL1G64690
OG0000035	jg11910	AL7G52740
OG0000035	jg27526	nbis-gene-1381
OG0000035	jg13724	AL2G19330, AL4G18050, AL1G57000
OG0000035	jg27973	AL6G38880
OG0000035	jg27423, jg13741, jg10108, jg1332, jg28701, jg17048, jg13502	AL6G49460
OG0000035	jg1081, jg11470, jg12280	AL782U10010
OG0000038	jg27503	AL2G17230, AL4G20860
OG0000038	jg21532	AL3G40380, AL3G29370
OG0000038	jg17779	AL3G42270, AL1G47700, AL6G40850, AL2G24190, AL2G32540, AL3G37700, AL7G41350
OG0000041	jg28661	AL6G37950
OG0000042	jg11609, jg33373, jg12236, jg6978	AL1G54660
OG0000042	jg26487, jg900	AL2G36380, AL7G36770, AL6G22280, AL6G40680
OG0000042	jg2222	AL8G23430
OG0000042	jg33374, jg32294	AL1G42210
OG0000043	jg33537, jg17159	AL1G50370
OG0000044	jg20418	AL8G11940
OG0000044	jg7084, jg7157	AL6G42230
OG0000044	jg20417	AL8G11930
OG0000044	jg13687, jg20423	AL5G18720
OG0000044	jg20419	AL8G11950
OG0000044	jg20443	AL8G12190
OG0000044	jg20416	AL8G11920
OG0000044	jg20412	AL8G11840
OG0000044	jg20415	AL8G11900
OG0000044	jg1752	AL2G19370
OG0000044	jg21037	AL8G18470
OG0000044	jg10924	AL7G37760
OG0000046	jg13501	AL5G16920
OG0000046	jg20886	AL7G43910, AL3G42580
OG0000046	jg29315	AL8G24550, AL3G45110, AL3G45080
OG0000046	jg17523	AL6G44180
OG0000046	jg14196	AL1G51180, AL4G17640
OG0000046	jg1035	AL4G20190, AL3G44690, AL6G40760
OG0000048	jg23606	AL8G43560
OG0000048	jg18309	AL4G27770
OG0000048	jg18271	AL4G27390
OG0000048	jg33607	AL1G62520
OG0000048	jg740	AL2G14000, AL2G14020
OG0000050	jg11604	AL1G24220
OG0000051	jg29349	AL1G20340
OG0000051	jg19555	AL4G40940
OG0000051	jg497	AL2G11470
OG0000051	jg24823	AL3G20080
OG0000051	jg19558	AL4G40960
OG0000051	jg19551	AL4G40920
OG0000051	jg19550	AL4G40910
OG0000051	jg907	AL2G15770
OG0000051	jg19554	AL4G40930
OG0000051	jg19561	AL4G41000
OG0000051	jg19562	AL4G41010
OG0000051	jg19564	AL4G41020
OG0000052	jg13388	AL5G15900
OG0000052	jg13389	AL5G15910
OG0000052	jg1458, jg1459	AL1G65610
OG0000052	jg20912	AL8G17190
OG0000052	jg15039	AL5G31970
OG0000052	jg14762	AL5G28950
OG0000052	jg14731, jg14730	AL5G28550
OG0000052	jg14729	AL5G28540
OG0000055	jg25886	nbis-gene-725
OG0000055	jg26868	AL3G41130
OG0000055	jg32786	nbis-gene-248
OG0000055	jg26785	AL3G40140
OG0000055	jg26196, jg26181	AL3G33990, AL3G34120
OG0000055	jg12073	AL769U10010
OG0000055	jg25753	AL3G29740
OG0000055	jg25759, jg25744	AL3G29670
OG0000055	jg17788	AL4G21820
OG0000055	jg8147	AL6G52510
OG0000055	jg28057	AL3G53160
OG0000055	jg28058	AL3G53140
OG0000055	jg27919	AL3G50860
OG0000055	jg25830	AL3G30370
OG0000056	jg674	AL2G13390
OG0000056	jg739	AL2G13990
OG0000056	jg748	AL2G14100
OG0000056	jg721	AL2G13770
OG0000056	jg726	AL2G13820
OG0000056	jg743	AL2G14050
OG0000056	jg747	AL2G14090
OG0000056	jg744	AL2G14060
OG0000056	jg745	AL2G14070
OG0000056	jg746	AL2G14080
OG0000056	jg14491	AL5G26170
OG0000058	jg16618	AL5G26550, AL920U10010
OG0000058	jg299, jg32415, jg1839	AL6G37450
OG0000058	jg11724, jg1567	AL6G45120
OG0000058	jg17278, jg1046	AL4G17610
OG0000058	jg17522	AL3G30200
OG0000058	jg31083, jg21000	AL1G60100
OG0000059	jg1077	AL8G40920
OG0000059	jg4817, jg25268, jg5943, jg32839, jg11480, jg33384	AL7G34190
OG0000059	jg28178	AL2G10380, AL1G59190
OG0000059	jg27640, jg13837	AL5G34630
OG0000060	jg22905, jg29120	AL1G18100
OG0000060	jg14371	AL4G23280
OG0000060	jg22936	AL5G25220
OG0000060	jg15309	AL5G34700
OG0000061	jg32915	AL1G55000
OG0000061	jg32919	AL1G55020
OG0000061	jg32548, jg32845, jg32861	AL1G54370
OG0000061	jg32993	AL1G25040, AL1G25030
OG0000061	jg32859, jg32550, jg32843, jg32866, jg32855	AL1G54400
OG0000061	jg5088	AL6G23340
OG0000061	jg32841, jg32864, jg32857, jg32551	AL6G23310, nbis-gene-1510
OG0000061	jg12190	AL7G46170
OG0000061	jg25262	AL3G24690
OG0000061	jg18012	AL4G24650
OG0000062	jg7029	AL7G40460, AL2G19460, AL8G34860, AL8G13000
OG0000063	jg32522	AL7G44340
OG0000064	jg1275, jg1269, jg1272, jg1271, jg1270, jg1273, jg1277, jg1280, jg1279, jg1274, jg1278, jg1276	nbis-gene-343, nbis-gene-349, nbis-gene-344, nbis-gene-348, nbis-gene-347, nbis-gene-1421, AL2G18870, nbis-gene-342, nbis-gene-435, nbis-gene-439, nbis-gene-434, nbis-gene-1420, nbis-gene-436, nbis-gene-440, nbis-gene-437, nbis-gene-1419, nbis-gene-438
OG0000064	jg20985	nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2027
OG0000064	jg20983	nbis-gene-2044
OG0000064	jg20980, jg20974, jg20975, jg20973	nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023
OG0000065	jg2209, jg2212	AL2G25320
OG0000065	jg2195	AL2G25210
OG0000065	jg2188	AL2G25180
OG0000065	jg2193	AL2G25200
OG0000065	jg12337	AL7G52590
OG0000065	jg12463	AL7G51420
OG0000066	jg1404, jg13471, jg4871	AL6G20900
OG0000066	jg4870, jg29279	AL6G20890
OG0000066	jg3219, jg3220	AL2G35590, AL6G41640
OG0000066	jg27126	AL2G35580
OG0000066	jg4927	AL7G12340, AL6G21580, AL7G12350
OG0000066	jg30515	AL1G32620
OG0000067	jg14038	AL3G45170
OG0000067	jg5264	AL1G31430
OG0000068	jg4261, jg4260	AL6G15310, AL6G14890
OG0000068	jg24839	AL3G20260
OG0000068	jg24838	AL3G20250, AL3G20240
OG0000068	jg32039	AL1G48230
OG0000068	jg24037, jg24035	AL3G11550
OG0000068	jg22052	AL8G28020
OG0000068	jg22033, jg22034	AL8G27750
OG0000068	jg4088	AL6G12890
OG0000068	jg4089	AL6G12860
OG0000068	jg14390, jg14389	AL5G24850
OG0000068	jg14204, jg4055	AL6G12550
OG0000068	jg4679	AL6G18740
OG0000069	jg16351	AL5G45620
OG0000069	jg28153, jg28151	AL3G48630
OG0000069	jg15319	AL1G45330
OG0000069	jg28979	AL1G16270
OG0000069	jg28492	AL1G11090
OG0000069	jg14067	AL5G21850
OG0000069	jg15499	AL5G36780
OG0000069	jg16809	AL4G13470
OG0000070	jg29403	AL1G20940
OG0000070	jg28225, jg28226	AL3G47920
OG0000070	jg13116	AL5G12840
OG0000070	jg13115	AL5G12830
OG0000070	jg16631, jg30544	AL4G11370
OG0000070	jg4483	AL2G24470
OG0000070	jg3251	AL2G35960
OG0000070	jg21183	AL8G19640
OG0000070	jg16054	AL5G42190
OG0000070	jg8905	AL7G16760
OG0000072	jg12160	AL8G19360
OG0000072	jg21424, jg13720, jg16912	AL8G19010
OG0000072	jg6475, jg20956	AL6G44140
OG0000072	jg7332, jg11849	AL3G47230
OG0000072	jg25787	AL8G11190
OG0000073	jg32034, jg11572, jg10937, jg20466, jg13828	AL5G31050
OG0000073	jg30444	AL1G60290
OG0000073	jg1433, jg11779, jg26607	AL5G25100
OG0000075	jg8424, jg8422	AL7G11590
OG0000075	jg21647	AL8G23920
OG0000075	jg32685	AL1G52760
OG0000075	jg32682	AL1G52750
OG0000075	jg32692	AL1G52780
OG0000075	jg8428	nbis-gene-1691
OG0000075	jg8425	AL7G11600
OG0000075	jg7662	AL6G47540
OG0000075	jg7663	AL6G47530
OG0000075	jg8426	AL7G11690
OG0000075	jg21500	AL34U10100, AL8G22340
OG0000075	jg21503	AL34U10110
OG0000075	jg1000	AL2G16730
OG0000075	jg934	AL2G16030
OG0000076	jg8362	AL7G10840
OG0000076	jg18482	AL4G29500
OG0000077	jg2240	AL2G25710
OG0000077	jg1310	AL1G67300
OG0000077	jg1261	AL2G18750
OG0000077	jg13128	AL5G12970, AL5G12940
OG0000077	jg29337	AL1G20220
OG0000077	jg902	AL2G15700
OG0000078	jg24236	AL3G13710
OG0000078	jg24237	AL3G13720
OG0000078	jg5644	AL6G29220
OG0000078	jg5634	AL6G29120
OG0000078	jg5643	AL6G29210, AL6G29240
OG0000078	jg5648	AL6G29180
OG0000078	jg5639	AL6G29190
OG0000079	jg7377	AL3G51940, AL1G57050, AL5G16890, AL1G58560, AL1G58670, AL4G20020, AL1G30000, AL5G27080, AL8G14210
OG0000080	jg6819	nbis-gene-244
OG0000081	jg17678	AL2G21910
OG0000081	jg5265	AL1G31420, AL8G29100
OG0000081	jg31440	AL8G26420
OG0000081	jg25892, jg12998	AL6G33330
OG0000086	jg23234	AL8G39760
OG0000086	jg12259	nbis-gene-1912
OG0000086	jg12273, jg12262	AL7G46870
OG0000086	jg12260	AL7G46850, AL7G46860
OG0000086	jg12270	nbis-gene-1913, AL7G53060
OG0000086	jg12265, jg12276	AL7G49470, AL7G47450
OG0000086	jg12266, jg12277	AL7G53110
OG0000086	jg2126, jg2127	AL2G24580
OG0000086	jg2128	AL2G24590
OG0000086	jg2129	AL2G24600
OG0000089	jg6235	AL6G35120
OG0000089	jg23223	AL8G39670
OG0000089	jg17972	AL4G24260
OG0000089	jg5068	AL6G23060
OG0000089	jg20749	AL8G15560
OG0000089	jg10485	AL7G33260
OG0000089	jg18593	AL4G30750
OG0000089	jg30528	AL1G32740
OG0000089	jg3235	AL2G35770
OG0000090	jg17424	AL1G50070
OG0000091	jg14507	AL5G26360, AL5G26350
OG0000091	jg14558	AL5G26810
OG0000091	jg14563	AL5G26870
OG0000091	jg14230, jg14231	AL5G23250
OG0000091	jg5910	AL6G32010
OG0000091	jg21695	AL8G24400
OG0000091	jg14562	AL5G26840, AL5G26860
OG0000091	jg27525	AL3G46650
OG0000092	jg1461, jg26673	AL3G40330
OG0000092	jg26653	AL8G24810
OG0000095	jg17272	AL4G18500
OG0000095	jg16984	AL4G15500
OG0000095	jg17289	AL4G18560
OG0000095	jg16989, jg17288	AL4G18550
OG0000095	jg17270, jg17392, jg16998, jg17271	AL4G15620
OG0000095	jg16988	AL4G15530
OG0000095	jg17390	nbis-gene-975
OG0000095	jg16997	AL4G15600
OG0000095	jg16996	AL4G14530, AL4G18570, AL4G15550
OG0000095	jg16995, jg17274	AL4G18510
OG0000095	jg17286, jg17001, jg16991	AL4G15660
OG0000095	jg16897	AL4G14510
OG0000095	jg16899	AL4G14520
OG0000096	jg17690	nbis-gene-1025
OG0000096	jg17691	AL4G22680
OG0000096	jg17695	AL4G22640
OG0000096	jg26888	AL3G41350
OG0000096	jg26886	AL3G41340
OG0000096	jg25959, jg6741	AL3G31600
OG0000096	jg26029, jg25961, jg6747	AL3G31620
OG0000096	jg25960, jg6746	AL3G31610
OG0000096	jg25966, jg12059, jg25964, jg25967	AL439U10010
OG0000096	jg26027, jg26030	AL3G32310
OG0000096	jg26079	AL3G32820
OG0000096	jg27891	AL3G50560
OG0000096	jg25957	AL3G31580
OG0000096	jg27435	AL3G22030
OG0000096	jg6740, jg25958	AL3G31590
OG0000097	jg11932, jg7619, jg7052, jg7054, jg27619, jg27677, jg21182, jg1858, jg13878, jg7238, jg7202	AL4G16170
OG0000097	jg11589, jg21181, jg2302	AL5G25560
OG0000097	jg17571	AL3G45200, AL1G53250, AL1G56270
OG0000098	jg27221	AL3G44020
OG0000098	jg27229	AL3G44030
OG0000098	jg27223	AL3G43980
OG0000098	jg27264	AL3G44060
OG0000098	jg27107	nbis-gene-805
OG0000098	jg2306	AL2G26330
OG0000098	jg27471	nbis-gene-844
OG0000098	jg17595	AL1G41020, AL1G41000, AL1G41010
OG0000098	jg31284	AL1G40990
OG0000098	jg16872	AL4G14170
OG0000098	jg7433	AL6G44880
OG0000098	jg6403	AL6G37020
OG0000098	jg16875	AL4G14150
OG0000098	jg6402, jg6418	AL6G37130
OG0000100	jg472	AL2G11210
OG0000100	jg1396	AL1G66260
OG0000100	jg1380, jg1381	AL1G66350
OG0000100	jg1001	AL2G16740
OG0000100	jg492	AL2G11380
OG0000100	jg777	AL2G14410
OG0000100	jg27782	AL3G49580
OG0000100	jg471	AL2G11260, AL2G11200
OG0000101	jg27510	AL26U10050, AL3G41030, AL6G10700, AL1G60890
OG0000102	jg7820	AL6G49150
OG0000102	jg7814	AL6G45160, AL6G49080, AL320U10010
OG0000102	jg7815	AL6G49090
OG0000102	jg7812, jg7813	AL320U10020
OG0000102	jg7817	AL6G49120
OG0000102	jg11552	AL9U10540
OG0000102	jg7819	AL6G49140
OG0000102	jg7810	AL6G49050
OG0000105	jg12094	nbis-gene-1539
OG0000106	jg15329	AL5G27290, AL1G43970, nbis-gene-561
OG0000106	jg727	AL2G13830
OG0000106	jg17558, jg25723	AL6G40690
OG0000106	jg28233	AL4G15570
OG0000107	jg26161	AL3G33810
OG0000107	jg26159	AL3G33780
OG0000107	jg26158	AL3G33770
OG0000107	jg26157	AL3G33760
OG0000107	jg26163	AL3G33830, AL3G42780
OG0000108	jg15311	AL5G34730
OG0000108	jg14433, jg22870	AL5G25390, AL8G35810
OG0000108	jg4799	AL6G20220
OG0000108	jg19509	AL4G40470
OG0000108	jg19508	AL4G40460
OG0000109	jg17478	AL2G19590, AL6G46480
OG0000109	jg16476, jg16484, jg29790, jg9963, jg2091, jg11738, jg13945	AL7G48370, AL4G13100, AL5G17500, AL8G26200, AL3G45860, AL1G49480, AL3G47220, AL5G17870, AL8G24560
OG0000110	jg13799, jg25794	AL7G11640, AL1G50710, AL4G20710, AL6G41920, AL8G21920, AL9U11500, AL2G19920, AL2G22250, AL5G12710
OG0000111	jg7195, jg7197, jg7196	AL6G41700, AL6G41690
OG0000111	jg7198	AL496U10010, AL6G51840, AL496U10020, AL6G51870
OG0000111	jg26895	AL5G34240
OG0000111	jg27877	AL3G50380
OG0000111	jg13696, jg13695, jg13697	AL5G18800
OG0000111	jg3144	AL2G34810
OG0000114	jg10774, jg6734, jg12947	AL2G19090
OG0000114	jg16945, jg14091	AL2G20370, AL1G46930, AL8G13990, AL5G18470, AL5G18060, AL3G42080, AL4G18650
OG0000114	jg21201, jg6956, jg16952, jg32081, jg32308	AL3G44910, nbis-gene-1272, nbis-gene-1271
OG0000114	jg21203	AL1G50940
OG0000114	jg6733	AL6G40550
OG0000115	jg32874, jg29546	AL7G53080
OG0000116	jg21091, jg22360	nbis-gene-997
OG0000116	jg6813, jg6561	AL1G35450, nbis-gene-1953
OG0000116	jg16608, jg16609	AL614U10020
OG0000116	jg17285, jg32306, jg32304, jg2010	nbis-gene-1246
OG0000116	jg27190	AL6G43140
OG0000117	jg30936	AL1G37420
OG0000117	jg30922	AL1G37270
OG0000117	jg30923, jg30924	AL1G37280
OG0000117	jg30934	AL1G37400
OG0000117	jg30937	AL1G37430
OG0000117	jg30930	AL1G37350
OG0000117	jg30935	AL1G37410
OG0000117	jg30938	AL1G37440
OG0000117	jg30929	AL1G37340
OG0000118	jg19019	AL4G35640
OG0000118	jg19023	AL4G35680
OG0000118	jg19021	AL4G35660
OG0000118	jg19020	AL4G35650
OG0000118	jg12773	AL7G47920
OG0000118	jg2031	AL2G23540
OG0000118	jg2038	AL2G23600
OG0000118	jg7426	AL6G44790
OG0000118	jg26523	AL3G37210
OG0000118	jg24305	AL685U10010, nbis-gene-652
OG0000118	jg26627	AL3G38540
OG0000118	jg26631	AL3G38550
OG0000119	jg14319	AL5G24110
OG0000119	jg17260	AL4G18370
OG0000119	jg17259	AL4G18360
OG0000119	jg17257	AL4G18340
OG0000119	jg14055	AL5G21720, AL5G21730
OG0000119	jg14324	AL5G24120
OG0000119	jg4290	AL6G15230
OG0000119	jg14313	AL5G24030
OG0000119	jg14316	AL5G24100
OG0000119	jg14327	AL5G24170
OG0000119	jg14314	nbis-gene-1302
OG0000120	jg32086, jg21202, jg10180	AL3G44880
OG0000120	jg12955, jg6735, jg10767	AL4G19050
OG0000122	jg22488	nbis-gene-2149
OG0000122	jg22486	AL8G32110
OG0000122	jg22485	AL8G31960
OG0000123	jg21770	AL8G25360
OG0000123	jg20712	AL4G19230
OG0000123	jg29450	nbis-gene-64
OG0000123	jg17599	nbis-gene-1017
OG0000123	jg27950, jg23041	AL8G37620
OG0000125	jg17884, jg17877	AL4G23510
OG0000125	jg29111	AL1G17740
OG0000125	jg33004	AL1G55940
OG0000125	jg33347	AL1G59850
OG0000126	jg17588	AL4G20870
OG0000127	jg29136	AL1G18070
OG0000127	jg6123	AL6G34020
OG0000127	jg3993	AL6G11840
OG0000127	jg24874	AL3G20660
OG0000127	jg22931	AL189U10030, AL8G36480
OG0000127	jg14378	AL5G24690
OG0000127	jg14383	AL5G24750
OG0000127	jg17851	AL4G23250
OG0000128	jg20835	AL8G16450
OG0000128	jg15964	AL5G41120
OG0000128	jg15965	AL5G41130
OG0000128	jg13485	AL5G16810, AL164U10020
OG0000128	jg15959	AL5G41080
OG0000128	jg15960	AL5G41090
OG0000128	jg1161	AL2G18450
OG0000128	jg11381	AL7G42310
OG0000129	jg1820	AL2G19870
OG0000129	jg1822, jg1705, jg1715	AL2G19970
OG0000129	jg1847	AL2G20180
OG0000129	jg33436, jg33435	AL1G60690
OG0000129	jg23141	AL8G38710
OG0000129	jg23140	AL8G38700
OG0000129	jg17685, jg17683	AL4G22760
OG0000129	jg17687	AL4G22720
OG0000129	jg21823	AL8G25830
OG0000129	jg1819	AL2G19840
OG0000130	jg33171	nbis-gene-2162
OG0000130	jg32651	AL3G43990
OG0000130	jg12111	nbis-gene-2009
OG0000130	jg27977	AL2G19800
OG0000132	jg15428	AL5G36020
OG0000132	jg7387	AL6G44360, AL6G44330
OG0000132	jg23313	AL8G40480
OG0000132	jg12398	AL315U10010, AL7G51940
OG0000132	jg12389	AL7G52020
OG0000132	jg12393	AL7G52000
OG0000134	jg1329, jg1326, jg1330, jg1324, jg1320, jg1317, jg1319	AL1G67280
OG0000134	jg2013	AL2G23230
OG0000134	jg12354	AL7G52360, AL7G52440, AL7G52310, AL7G52380, AL7G52410
OG0000134	jg12353	AL7G52290, AL686U10020
OG0000134	jg14178	AL5G22740
OG0000134	jg1323	AL4G22770
OG0000134	jg7114	AL1G52710
OG0000134	jg17682	AL4G22780
OG0000134	jg20706	AL8G15310
OG0000134	jg20995	AL8G17980, AL20U10060, AL20U10050
OG0000134	jg20998	AL20U10040
OG0000134	jg20997, jg20999	AL20U10020
OG0000134	jg4953	AL6G21880
OG0000137	jg22358	AL8G30910
OG0000137	jg22362	AL8G30880
OG0000137	jg32125, jg32130	AL1G49040
OG0000137	jg22366, jg22365	AL8G30920
OG0000137	jg22364	AL8G30900
OG0000137	jg22363	AL8G30890
OG0000138	jg16315	AL5G45240
OG0000138	jg15930	AL5G40800
OG0000138	jg15926	AL5G40760
OG0000138	jg15939	AL5G40870
OG0000138	jg15937	AL5G40860
OG0000138	jg15932	AL5G40850
OG0000138	jg16316	AL5G44820
OG0000138	jg15356	AL5G35200
OG0000140	jg16992	AL1G44310, AL6G40950
OG0000140	jg1149	nbis-gene-927
OG0000140	jg12153	AL8G35610, AL1G29430, AL2G32620
OG0000140	jg21116	AL5G19190
OG0000140	jg14078, jg1761, jg1441	AL6G10840
OG0000141	jg29672	AL1G23600
OG0000141	jg29671	AL1G23590
OG0000141	jg29664	AL1G23500
OG0000141	jg11302	AL7G41510
OG0000141	jg12025	AL1G23480
OG0000141	jg654, jg658, jg651, jg653	AL2G13240
OG0000143	jg11978, jg20945	AL3G54050
OG0000148	jg33221	nbis-gene-277
OG0000148	jg461	AL2G11100
OG0000148	jg32881	AL1G54580
OG0000148	jg32883	AL1G54620
OG0000148	jg5636	nbis-gene-1537
OG0000151	jg15451	AL5G36250
OG0000151	jg15449	AL5G36230
OG0000151	jg15448	AL5G36220
