Orthogroup	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI
OG0000044	jg20443	XP_020878609.1
OG0000044	jg20416	XP_002865186.1
OG0000044	jg20412	XP_020880043.1
OG0000044	jg20415	XP_020867167.1
OG0000044	jg1752	XP_020890887.1
OG0000044	jg21037	XP_002863747.1
OG0000044	jg10924	XP_020875361.1
OG0000046	jg13501, jg20886	XP_020885942.1
OG0000046	jg29315	XP_002883785.1
OG0000046	jg17523	XP_020880655.1
OG0000046	jg14196	XP_020882740.1, XP_002893924.2, XP_020870337.1
OG0000046	jg1035	XP_020872615.1, XP_020878672.1, XP_020882823.1
OG0000046	jg17283	XP_020877149.1
OG0000046	jg1573	XP_020879796.1, XP_020872313.1
OG0000046	jg1834	XP_020883604.1
OG0000046	jg309	XP_020876127.1
OG0000048	jg23606	XP_002864982.2
OG0000048	jg18309	XP_002881223.2
OG0000048	jg18271	XP_002879361.2
OG0000048	jg33607	XP_002894465.2
OG0000048	jg25048	XP_020886243.1
OG0000048	jg740	XP_002886496.1, XP_002886498.2
OG0000051	jg29349	XP_020868191.1
OG0000051	jg19557	XP_020885498.1
OG0000051	jg19555	XP_002881850.2
OG0000051	jg497	XP_002886390.1
OG0000051	jg24823	XP_002882601.1
OG0000051	jg19558	XP_020883122.1
OG0000051	jg19551	XP_020884766.1
OG0000051	jg19550	XP_020885237.1
OG0000051	jg907	XP_020890130.1
OG0000051	jg19560	XP_020883307.1
OG0000051	jg19561	XP_002881853.1
OG0000051	jg19562	XP_020883310.1
OG0000051	jg19563	XP_020883308.1
OG0000051	jg19564	XP_020883311.1
OG0000052	jg13388	XP_020882518.1
OG0000052	jg13373	XP_020882260.1
OG0000052	jg13389	XP_020881407.1
OG0000052	jg13391	XP_020881410.1, XP_020881406.1
OG0000052	jg1458, jg1459	XP_002894621.2
OG0000052	jg13394	XP_020881195.1
OG0000052	jg13393	XP_020881409.1
OG0000052	jg15188	XP_020881215.1
OG0000052	jg15190	XP_020881213.1
OG0000052	jg15192	XP_020881212.1
OG0000052	jg15191	XP_020881214.1
OG0000052	jg15039	XP_020880077.1
OG0000052	jg14762	XP_020882208.1
OG0000052	jg14733	XP_020879880.1
OG0000052	jg14732	XP_020879882.1
OG0000052	jg14734	XP_020879883.1
OG0000052	jg14739	XP_020879991.1
OG0000052	jg14731, jg14730	XP_020879878.1
OG0000052	jg14729	XP_020876149.1, XP_020879879.1
OG0000052	jg20319	XP_020886942.1
OG0000052	jg21516	XP_020879992.1
OG0000055	jg25886	XP_020889173.1
OG0000055	jg26785	XP_002883536.1
OG0000055	jg26196, jg26181	XP_020886775.1, XP_020888382.1, XP_020888884.1
OG0000055	jg12073	XP_002862289.1
OG0000055	jg25753	XP_020877906.1
OG0000055	jg25759, jg25744	XP_020889167.1
OG0000055	jg17788	XP_020883674.1
OG0000055	jg8147	XP_020876181.1
OG0000055	jg28057	XP_020886503.1
OG0000055	jg28058	XP_020887842.1
OG0000055	jg27919	XP_020886512.1
OG0000055	jg25830	XP_020889170.1
OG0000056	jg674	XP_002886466.1
OG0000056	jg739	XP_020890707.1
OG0000056	jg721	XP_002886488.1
OG0000056	jg726	XP_020865627.1
OG0000056	jg747	XP_020891225.1
OG0000056	jg745	XP_002888053.1
OG0000056	jg746	XP_020891223.1
OG0000056	jg14491	XP_020880767.1
OG0000058	jg16618	XP_020868066.1
OG0000058	jg17522, jg31083, jg21000	XP_020877514.1
OG0000059	jg1077	XP_020878851.1
OG0000059	jg4817, jg25268, jg5943, jg32839, jg11480, jg33384	XP_020866756.1, XP_020881512.1, XP_020875242.1, XP_020886057.1, XP_020876759.1, XP_020874679.1
OG0000059	jg27640, jg13837	XP_020875483.1
OG0000061	jg32915	XP_020868372.1
OG0000061	jg32548, jg32845, jg32861	XP_020870753.1
OG0000061	jg32993	XP_020869081.1, XP_020868711.1
OG0000061	jg32859, jg32550, jg32843, jg32866, jg32855	XP_020867733.1
OG0000061	jg5088	XP_002871528.2
OG0000061	jg32841, jg32864, jg32857, jg32551	XP_020878246.1, XP_020879494.1
OG0000061	jg12190	XP_020874913.1
OG0000061	jg25262	XP_020886448.1
OG0000061	jg18014	XP_020884191.1
OG0000061	jg18016, jg18020	XP_020885088.1
OG0000061	jg375	XP_020891333.1
OG0000061	jg20934	XP_020888256.1
OG0000062	jg21178	XP_020871212.1, XP_020876453.1
OG0000062	jg32622	XP_020886023.1, XP_020874814.1, XP_020871169.1, XP_020878799.1
OG0000064	jg1275, jg1269, jg1272, jg1271, jg1270, jg1273, jg1277, jg1280, jg1279, jg1274, jg1278, jg1276	XP_020865905.1, XP_020865795.1, XP_020869663.1, XP_002886749.1, XP_002886745.1, XP_002862361.1, XP_002886746.1, XP_002886752.2, XP_002886744.1, XP_020891241.1, XP_002886750.1, XP_002886748.1, XP_002862362.1, XP_002894696.1, XP_020891452.1, XP_002886747.1, XP_002862360.1
OG0000064	jg20985	XP_002862386.1, XP_002863710.1, XP_002862438.1, XP_002862385.1, XP_002863711.1, XP_020879695.1
OG0000064	jg20983	XP_002863799.1
OG0000064	jg20980, jg20974, jg20975, jg20973	XP_020885190.1, XP_002863708.1, XP_002863709.1, XP_002863706.1, XP_002863707.1, XP_002865487.1
OG0000065	jg2192	XP_020865720.1
OG0000065	jg2209, jg2212	XP_020865823.1
OG0000065	jg2195	XP_020865819.1
OG0000065	jg2188	XP_020865822.1
OG0000065	jg2193	XP_020865825.1
OG0000065	jg6601	XP_020876931.1
OG0000065	jg12330	XP_020873881.1
OG0000065	jg12337	XP_020873883.1
OG0000065	jg12331	XP_002868795.2
OG0000065	jg12464	XP_020872917.1
OG0000065	jg12463	XP_020872918.1
OG0000066	jg1404, jg13471, jg4871, jg4870, jg29279	XP_002873454.1, XP_020867896.1, XP_002877046.2, XP_002894648.1, XP_020876762.1
OG0000066	jg3219, jg3220	XP_020891413.1, XP_020877536.1
OG0000066	jg27126	XP_020891414.1, XP_020886001.1
OG0000066	jg4927	XP_020875249.1, XP_020875248.1, XP_020876760.1
OG0000066	jg30515	XP_020869687.1
OG0000067	jg20815, jg24929, jg28031, jg1126, jg17679	XP_020891542.1
OG0000067	jg32532	XP_020874420.1
OG0000067	jg6462, jg31439, jg5264	XP_020876559.1
OG0000067	jg14037	XP_020865924.1
OG0000068	jg4261, jg4260	XP_020876030.1, XP_020876026.1
OG0000068	jg24839	XP_020889396.1
OG0000068	jg24838	XP_020889441.1
OG0000068	jg32039	XP_020868524.1
OG0000068	jg24042	XP_020877300.1
OG0000068	jg24037, jg24035	XP_020886482.1
OG0000068	jg22052	XP_020871868.1
OG0000068	jg22033, jg22034	XP_002864221.1
OG0000068	jg4089	XP_020879355.1
OG0000068	jg14390, jg14389	XP_020881372.1
OG0000068	jg4679	XP_002871317.2
OG0000069	jg16351	XP_020880445.1
OG0000069	jg28153, jg28151	XP_002883980.2
OG0000069	jg15319	XP_002893663.2
OG0000069	jg28979	XP_020867217.1, XP_020868842.1
OG0000069	jg28492	XP_020870187.1
OG0000069	jg14067	XP_002877300.2
OG0000069	jg15499	XP_002878041.1
OG0000069	jg16809	XP_020882733.1
OG0000070	jg29403	XP_020867590.1
OG0000070	jg28225, jg28226	XP_002883942.1
OG0000070	jg13116	XP_002875195.1
OG0000070	jg13115	XP_002875194.1
OG0000070	jg16631, jg30544	XP_020885789.1
OG0000070	jg4483	XP_002887052.2
OG0000070	jg3251	XP_020891141.1
OG0000070	jg21183	XP_002863814.1
OG0000070	jg16054	XP_002878309.1
OG0000070	jg8905	XP_002867118.1
OG0000072	jg12160	XP_020891370.1
OG0000072	jg21424, jg13720, jg16912	XP_002865523.2
OG0000072	jg7100, jg12084, jg27349	XP_020876164.1
OG0000072	jg7332, jg11849	XP_020889278.1
OG0000072	jg20178	XP_020891624.1
OG0000073	jg1433, jg11779, jg26607	XP_020866212.1, XP_020881839.1
OG0000075	jg8424, jg8422	XP_002868913.1
OG0000075	jg32682	XP_002891313.1
OG0000075	jg32692	XP_002891316.2
OG0000075	jg8427	XP_020875509.1
OG0000075	jg8428	XP_002868917.2
OG0000075	jg8425	XP_002868914.1
OG0000075	jg7663	XP_002874784.1
OG0000075	jg8426	XP_020874617.1
OG0000075	jg21500	XP_020875017.1, XP_002863944.2
OG0000075	jg21503	XP_020875009.1
OG0000075	jg1000	XP_020890734.1
OG0000075	jg934	XP_020865611.1
OG0000076	jg8362	XP_020872718.1
OG0000076	jg18482	XP_020884728.1
OG0000077	jg20644	XP_020884560.1
OG0000077	jg2240	XP_020891534.1
OG0000077	jg1310	XP_002894680.1
OG0000077	jg1247	XP_020891276.1
OG0000077	jg1261	XP_020890791.1
OG0000077	jg13128	XP_020881582.1, XP_020881188.1
OG0000077	jg29337	XP_020868196.1
OG0000077	jg902	XP_020890121.1
OG0000078	jg24236	XP_020887050.1
OG0000078	jg24237	XP_020887049.1
OG0000078	jg5644	XP_020877805.1
OG0000078	jg5634	XP_020877807.1
OG0000078	jg5643	XP_020877812.1, XP_002873872.1
OG0000078	jg5648	XP_002873870.1
OG0000078	jg5639	XP_020877813.1
OG0000079	jg7377	XP_020866196.1, XP_020866590.1, XP_020884659.1, XP_020866719.1, XP_020869681.1, XP_020880717.1, XP_020866201.1, XP_020881865.1, XP_020878083.1
OG0000080	jg6819	XP_020866750.1
OG0000081	jg17678	XP_020870247.1
OG0000081	jg5265	XP_020879148.1, XP_020865942.1, XP_020889237.1
OG0000081	jg31440, jg25892, jg12998	XP_002874062.1
OG0000081	jg14036, jg6463	XP_020882894.1
OG0000086	jg23234	XP_002864819.1
OG0000086	jg12273, jg12262	XP_002870581.1
OG0000086	jg12260	XP_002870579.2
OG0000086	jg12270	XP_020872358.1, XP_002868822.1, XP_002868821.2
OG0000086	jg12265, jg12276	XP_002868577.1
OG0000086	jg12266, jg12277	XP_020874198.1
OG0000086	jg2126, jg2127	XP_020865653.1
OG0000086	jg2128	XP_020889890.1
OG0000086	jg2129	XP_020889891.1
OG0000089	jg6235	XP_020879374.1
OG0000089	jg23223	XP_020871804.1
OG0000089	jg17972	XP_020883550.1
OG0000089	jg5068	XP_002873559.1
OG0000089	jg20749	XP_002863588.1
OG0000089	jg10485	XP_020872103.1
OG0000089	jg18593	XP_002881356.1
OG0000089	jg30528	XP_020866480.1
OG0000089	jg3235	XP_020890671.1
OG0000091	jg14507	XP_002877545.1, XP_020880186.1
OG0000091	jg14558	XP_002875847.2
OG0000091	jg14563	XP_020880709.1
OG0000091	jg17633	XP_002880903.1
OG0000091	jg14230, jg14231	XP_020881827.1
OG0000091	jg5910	XP_020878730.1
OG0000091	jg21695	XP_002864053.1
OG0000091	jg14562	XP_020881863.1
OG0000091	jg27525	XP_020886823.1
OG0000095	jg17272	XP_002880754.1
OG0000095	jg16984	XP_020885291.1
OG0000095	jg17289	XP_020884025.1
OG0000095	jg16989, jg17288	XP_020884027.1
OG0000095	jg17270, jg17392, jg16998, jg17271	XP_002878788.1
OG0000095	jg16988	XP_020883521.1
OG0000095	jg16997	XP_002878787.2
OG0000095	jg16996	XP_020885162.1
OG0000095	jg16995, jg17274	XP_002880755.1
OG0000095	jg17286, jg17001, jg16991	XP_002880625.1
OG0000095	jg16897	XP_002880565.1
OG0000095	jg16899	XP_020884335.1
OG0000096	jg17691	XP_020884689.1
OG0000096	jg26888	XP_002885709.2
OG0000096	jg26886	XP_002885707.1
OG0000096	jg25959, jg6741	XP_002885251.1
OG0000096	jg26029, jg25961, jg6747	XP_020886661.1
OG0000096	jg25960, jg6746	XP_020889300.1
OG0000096	jg25966, jg12059, jg25964, jg25967	XP_020865803.1
OG0000096	jg26027, jg26030	XP_020886742.1
OG0000096	jg26079	XP_002883180.1
OG0000096	jg27891	XP_002884070.2
OG0000096	jg25957	XP_020889406.1
OG0000096	jg27435	XP_002872691.1
OG0000096	jg6740, jg25958	XP_020888942.1
OG0000097	jg17571	XP_020866184.1
OG0000098	jg27221	XP_002883751.1
OG0000098	jg27229	XP_002883752.1
OG0000098	jg27264	XP_020887764.1
OG0000098	jg27107	XP_020889445.1
OG0000098	jg2306	XP_020865728.1
OG0000098	jg27471	XP_002883835.2
OG0000098	jg17595	XP_002893476.1
OG0000098	jg31284	XP_020869068.1
OG0000098	jg16872	XP_020885549.1
OG0000098	jg7433	XP_020876145.1
OG0000098	jg6403	XP_020879189.1
OG0000098	jg6402, jg6418	XP_002874257.1
OG0000100	jg1396	XP_020867631.1
OG0000100	jg1380, jg1381	XP_020867629.1
OG0000100	jg1001	XP_002886645.1
OG0000100	jg492	XP_020891283.1
OG0000100	jg11338	XP_020875192.1
OG0000100	jg777	XP_020890033.1
OG0000100	jg27782	XP_002886080.1
OG0000100	jg471	XP_020891540.1, XP_002886379.1
OG0000101	jg27510	XP_020883425.1
OG0000102	jg7820	XP_020876465.1
OG0000102	jg7814	XP_002874669.1, XP_020877173.1, XP_020876443.1, XP_002862572.1
OG0000102	jg7815, jg7812, jg7813	XP_002874844.1
OG0000102	jg21543	XP_002863972.2
OG0000102	jg7817	XP_002874850.1
OG0000102	jg7818, jg11552	XP_002865915.2
OG0000102	jg7819	XP_002874852.1
OG0000102	jg7810	XP_002874842.1
OG0000106	jg17558	XP_020871478.1
OG0000106	jg25723	XP_020889746.1
OG0000107	jg26161	XP_020887921.1
OG0000107	jg26159	XP_002883228.1
OG0000107	jg26157	XP_002883226.2
OG0000107	jg26163	XP_020886789.1
OG0000108	jg15311	XP_002879684.1, XP_020880453.1, XP_020883890.1
OG0000108	jg14433, jg22870	XP_020882238.1, XP_020871933.1
OG0000108	jg4799	XP_020876820.1
OG0000108	jg19509	XP_002879968.1
OG0000108	jg19508	XP_002879967.1
OG0000109	jg17478	XP_020890904.1, XP_020877271.1, XP_020882612.1, XP_020875736.1, XP_020885842.1, XP_020884945.1, XP_020877184.1, XP_020882660.1
OG0000109	jg1859	XP_020866785.1
OG0000109	jg16476, jg16484, jg29790, jg9963, jg2091, jg11738, jg13945	XP_020888645.1, XP_020871279.1, XP_020885342.1, XP_020881978.1
OG0000110	jg25795, jg13800	XP_002866863.2
OG0000111	jg7195, jg7197, jg7196	XP_002874511.1, XP_002874510.1
OG0000111	jg7198	XP_002862417.1, XP_002874973.1, XP_002874975.1, XP_002862418.1
OG0000111	jg26895	XP_002876201.1
OG0000111	jg13696, jg13695, jg13697	XP_002875482.1
OG0000111	jg3144	XP_020865753.1
OG0000114	jg16945, jg14091	XP_020885335.1
OG0000114	jg21201, jg6956, jg16952, jg32081, jg32308	XP_020881794.1
OG0000114	jg13973	XP_020882022.1
OG0000114	jg6733	XP_020878269.1, XP_020886207.1
OG0000115	jg29546	XP_020889357.1
OG0000116	jg16608, jg16609	XP_020885057.1
OG0000117	jg30936	XP_020866886.1
OG0000117	jg30922	XP_020870031.1
OG0000117	jg30923, jg30924	XP_020869256.1
OG0000117	jg30934	XP_002893298.1
OG0000117	jg30937	XP_020869910.1
OG0000117	jg30935	XP_020866884.1
OG0000117	jg30938	XP_002893302.1
OG0000117	jg30929	XP_002893291.1
OG0000118	jg19019	XP_002881592.1
OG0000118	jg19043	XP_020882923.1
OG0000118	jg19023	XP_020882845.1
OG0000118	jg19021	XP_020882847.1
OG0000118	jg19020	XP_020885096.1
OG0000118	jg12773	XP_020875172.1
OG0000118	jg2031	XP_002888470.1
OG0000118	jg7426	XP_020877537.1
OG0000118	jg24182	XP_020888665.1
OG0000118	jg26523	XP_020886930.1
OG0000118	jg24305	XP_020886515.1
OG0000118	jg26627	XP_002885586.1
OG0000118	jg26631	XP_020888654.1
OG0000119	jg14325	XP_020881724.1
OG0000119	jg14319	XP_020881732.1
OG0000119	jg17260	XP_002878927.2
OG0000119	jg17259	XP_020885607.1
OG0000119	jg17257	XP_002878925.2
OG0000119	jg14055	XP_002875622.2
OG0000119	jg14324	XP_020881725.1
OG0000119	jg4290	XP_020876007.1
OG0000119	jg14313	XP_020881747.1
OG0000119	jg14315	XP_002877410.2
OG0000119	jg14316	XP_020881729.1
OG0000119	jg14330, jg14326, jg14002	XP_020881738.1
OG0000119	jg14327	XP_020881737.1
OG0000119	jg14314	XP_020881735.1
OG0000122	jg22487	XP_020879776.1
OG0000122	jg22509	XP_020866883.1
OG0000122	jg22486	XP_020871241.1
OG0000122	jg22485	XP_002864448.2
OG0000122	jg22508	XP_020865748.1
OG0000123	jg21770	XP_002864096.1
OG0000123	jg20712	XP_002863574.1
OG0000123	jg23040	XP_020882864.1
OG0000123	jg29450	XP_020868841.1
OG0000123	jg17599	XP_002879068.2
OG0000123	jg27950, jg23041	XP_002864712.1
OG0000123	jg16607	XP_002878578.1
OG0000124	jg12674	XP_020875630.1
OG0000125	jg17896	XP_020885175.1
OG0000125	jg17890, jg17891, jg17887	XP_020885247.1
OG0000125	jg29111	XP_020870885.1
OG0000125	jg33004	XP_020866497.1
OG0000125	jg33352	XP_020870264.1
OG0000125	jg33355	XP_020870260.1
OG0000125	jg33347	XP_020870262.1
OG0000125	jg26323	XP_020886058.1
OG0000125	jg33349	XP_020870266.1
OG0000126	jg17588	XP_020885553.1
OG0000126	jg1156, jg1158	XP_020888411.1
OG0000126	jg32822	XP_020872581.1
OG0000126	jg10194, jg10477	XP_020875868.1
OG0000127	jg29136	XP_020868538.1
OG0000127	jg6123	XP_002874101.1
OG0000127	jg3993	XP_002873061.1
OG0000127	jg24874	XP_020887259.1
OG0000127	jg21256	XP_020880339.1
OG0000127	jg22931	XP_020872447.1, XP_002864658.2
OG0000127	jg14378	XP_020880863.1
OG0000127	jg14383	XP_002877451.1
OG0000127	jg17851	XP_002879182.1
OG0000128	jg15964	XP_020879608.1
OG0000128	jg15966	XP_020879609.1
OG0000128	jg15965	XP_020879607.1
OG0000128	jg13485	XP_020882191.1
OG0000128	jg15959	XP_020880511.1
OG0000128	jg15960	XP_020880525.1
OG0000128	jg1161	XP_020891638.1
OG0000128	jg11381	XP_002870336.2
OG0000129	jg1820	XP_020890882.1
OG0000129	jg1822, jg1705, jg1715	XP_020890886.1
OG0000129	jg1847	XP_020890883.1
OG0000129	jg33436, jg33435	XP_020867988.1
OG0000129	jg23141	XP_002864761.1
OG0000129	jg23140	XP_020871006.1
OG0000129	jg17685, jg17683	XP_020885823.1
OG0000129	jg17687	XP_002879145.1
OG0000129	jg21823	XP_020889363.1
OG0000129	jg1819	XP_020890885.1
OG0000130	jg32651, jg20179	XP_002878891.2
OG0000130	jg27275	XP_020866161.1
OG0000132	jg15428	XP_020880888.1
OG0000132	jg7387	XP_020878937.1
OG0000132	jg7388	XP_020877053.1
OG0000132	jg23313	XP_020882481.1, XP_020882467.1
OG0000132	jg23312	XP_020871481.1, XP_020883459.1
OG0000132	jg12398	XP_020871248.1, XP_020872039.1
OG0000132	jg12393	XP_020873181.1
OG0000132	jg12395	XP_020875462.1
OG0000134	jg1329, jg1326, jg1330, jg1324, jg1320, jg1317, jg1319	XP_020866269.1
OG0000134	jg2013	XP_020865886.1
