Orthogroup	Arabidopsis_arenosa	Conringia_planisiliqua
OG0000035	jg11910, jg27526, jg7415, jg23144, jg12740, jg13724, jg27973, jg27423, jg13741, jg10108, jg1332, jg28701, jg17048, jg13502, jg17311, jg27930, jg1081, jg11470, jg12280	CP7_g44169_DN2_SP0_c.t1, CP4_g26175_DN2_SP0_c.t1
OG0000036	jg21340, jg1519	CP23_g21756_DN1_SP0_c.t1, CP23_g21716_DN1_SP0_c.t1
OG0000038	jg17779	CP14_g22980_DN1_SP0_c.t1
OG0000040	jg17939	CP335_g34390_DN1_SP0_c.t1, CP11_g31841_DN1_SP0_c.t1, CP3_g14924_DN2_SP0_c.t1, CP5_g1518_DN1_SP0_c.t1
OG0000041	jg28661	CP14_g22620_DN1_SP0_c.t1, CP1_g39917_DN2_SP0_c.t1, CP2_g50284_DN2_SP0_c.t1
OG0000042	jg11609, jg33373	CP8_g52167_DN3_SP0_c.t1, CP5_g3067_DN2_SP0_c.t1, CP37_g11368_DN3_SP0_c.t1
OG0000042	jg12236, jg6978	CP37_g11369_DN1_SP0_c.t1
OG0000042	jg6977	CP6_g9916_DN1_SP0_c.t1
OG0000043	jg33537, jg17159	CP1_g41084_DN2_SP0_c.t1
OG0000044	jg21039	CP13_g19860_DN2_SP0_c.t1
OG0000044	jg21834	CP13_g20691_DN1_SP0_c.t1
OG0000046	jg1035, jg17283, jg1573, jg1834, jg309, jg32416	CP8_g52809_DN3_SP0_c.t1
OG0000048	jg18309, jg18271	CP4_g25547_DN2_SP0_c.t1
OG0000048	jg33607	CP3_g14428_DN3_SP0_c.t1, CP12_g30253_DN2_SP0_c.t1, CP12_g30252_DN1_SP0_c.t1
OG0000048	jg18210, jg18207	CP4_g25641_DN3_SP0_c.t1, CP4_g25622_DN2_SP0_c.t1, CP13_g20135_DN3_SP0_c.t1
OG0000048	jg740	CP9_g29505_DN2_SP0_c.t1
OG0000050	jg11604	CP9_g27575_DN2_SP0_c.t1, CP1_g38613_DN1_SP0_c.t1
OG0000050	jg14086	CP5_g3336_DN1_SP0_c.t1
OG0000050	jg19949, jg4268	CP4_g26837_DN2_SP0_c.t1, CP3_g16491_DN1_SP0_c.t1, CP15_g34543_DN2_SP0_c.t1, CP1_g39907_DN2_SP0_c.t1
OG0000051	jg19557	CP4_g24481_DN3_SP0_c.t1
OG0000051	jg19560	CP9_g28198_DN3_SP0_c.t1, CP4_g24479_DN3_SP0_c.t1
OG0000052	jg13388, jg13390, jg13373, jg13389, jg13391, jg1458, jg1459, jg1457, jg13394, jg13392, jg13393	CP13_g19766_DN3_SP0_c.t1
OG0000052	jg20913, jg15189, jg15188, jg15190	CP3_g14092_DN3_SP0_c.t1
OG0000055	jg25886, jg26868	CP12_g30730_DN2_SP0_c.t1
OG0000055	jg26780	CP10_g42649_DN3_SP0_c.t1
OG0000055	jg26196, jg26181	CP12_g30848_DN3_SP0_c.t1
OG0000055	jg17788	CP10_g42516_DN3_SP0_c.t1
OG0000055	jg27919	CP10_g43729_DN2_SP0_c.t1
OG0000056	jg743	CP2_g49077_DN3_SP0_c.t1
OG0000056	jg747, jg744, jg745, jg746	CP2_g49067_DN3_SP0_c.t1
OG0000056	jg14491	CP2_g49031_DN3_SP0_c.t1
OG0000058	jg16618	CP17_g5406_DN1_SP0_c.t1
OG0000059	jg31675, jg32414	CP12_g31611_DN2_SP0_c.t1
OG0000059	jg1077, jg4817, jg25268, jg5943, jg32839, jg11480, jg33384, jg28178	CP1_g38971_DN3_SP0_c.t1, CP20_g3949_DN2_SP0_c.t1
OG0000059	jg27640, jg13837	CP22_g17654_DN3_SP0_c.t1, CP4_g26576_DN3_SP0_c.t1
OG0000060	jg21260, jg17853	CP8_g52772_DN3_SP0_c.t1
OG0000062	jg21178	CP24_g46981_DN1_SP0_c.t1, CP4_g26777_DN2_SP0_c.t1, CP18_g11589_DN2_SP0_c.t1, CP1_g40826_DN1_SP0_c.t1, CP7_g44165_DN3_SP0_c.t1, CP12_g31765_DN3_SP0_c.t1, CP6_g9071_DN2_SP0_c.t1
OG0000062	jg21177	CP4_g26549_DN1_SP0_c.t1
OG0000062	jg32622, jg13871, jg7029	CP1_g40964_DN3_SP0_c.t1
OG0000063	jg32522	CP21_g10524_DN1_SP0_c.t1
OG0000064	jg1275, jg1269, jg1272, jg1271, jg1270, jg1273, jg1277, jg1280, jg1279, jg1274, jg1278, jg1276, jg20978, jg20976, jg20985, jg20983, jg20984, jg20981, jg20982, jg20980, jg20974, jg20975, jg20973, jg20977, jg20979	CP18_g12051_DN1_SP0_c.t1
OG0000065	jg12331	CP5_g1666_DN1_SP0_c.t1
OG0000065	jg12464, jg12463	CP5_g1580_DN2_SP0_c.t1
OG0000066	jg13471, jg4871	CP4_g25642_DN3_SP0_c.t1
OG0000066	jg4870, jg29279	CP2_g49425_DN3_SP0_c.t1
OG0000067	jg20815, jg24929, jg28031, jg1126, jg17679, jg14038, jg32532, jg6462, jg31439, jg5264, jg14037	CP17_g5644_DN3_SP0_c.t1, CP17_g5532_DN2_SP0_c.t1
OG0000068	jg4186, jg4261, jg4260, jg24839, jg24838	CP12_g31237_DN3_SP0_c.t1
OG0000070	jg29403, jg28225, jg28226, jg13116, jg13115	CP17_g5790_DN3_SP0_c.t1
OG0000070	jg16631, jg30544, jg4483	CP7_g45746_DN3_SP0_c.t1
OG0000072	jg12110	CP6_g9757_DN2_SP0_c.t1
OG0000072	jg21612	CP5_g1872_DN1_SP0_c.t1, CP13_g20359_DN3_SP0_c.t1, CP15_g35743_DN2_SP0_c.t1, CP2_g50526_DN2_SP0_c.t1, CP18_g11730_DN1_SP0_c.t1, CP20_g3870_DN2_SP0_c.t1, CP28_g33939_DN2_SP0_c.t1, CP15_g36057_DN3_SP0_c.t1, CP17_g5132_DN3_SP0_c.t1, CP4_g26050_DN2_SP0_c.t1
OG0000072	jg6475, jg20956	CP6_g8612_DN2_SP0_c.t1, CP3_g16600_DN2_SP0_c.t1, CP35_g52086_DN1_SP0_c.t1, CP14_g22893_DN2_SP0_c.t1
OG0000072	jg20178	CP2_g49697_DN3_SP0_c.t1
OG0000072	jg25787	CP22_g17290_DN2_SP0_c.t1, CP3_g16601_DN1_SP0_c.t1, CP12_g31150_DN2_SP0_c.t1
OG0000073	jg32690	CP5_g2097_DN2_SP0_c.t1, CP18_g11666_DN2_SP0_c.t1, CP29_g22116_DN2_SP0_c.t1, CP8_g53133_DN1_SP0_c.t1, CP4_g26011_DN1_SP0_c.t1, CP15_g35379_DN3_SP0_c.t1
OG0000073	jg7033	CP6_g9731_DN1_SP0_c.t1
OG0000073	jg11572, jg10937, jg20466	CP6_g9730_DN1_SP0_c.t1
OG0000073	jg30444, jg16551, jg24432, jg32702, jg1433, jg11779, jg26607	CP18_g12305_DN2_SP0_c.t1
OG0000074	jg16959	CP12_g31536_DN1_SP0_c.t1
OG0000075	jg21647	CP8_g52237_DN3_SP0_c.t1
OG0000076	jg8362	CP5_g77_DN1_SP0_c.t1
OG0000076	jg18482	CP4_g25364_DN3_SP0_c.t1
OG0000077	jg20644	CP13_g20085_DN3_SP0_c.t1
OG0000077	jg1247	CP2_g49683_DN2_SP0_c.t1
OG0000077	jg13128	CP13_g19516_DN3_SP0_c.t1
OG0000077	jg902, jg1249	CP2_g49677_DN1_SP0_c.t1
OG0000078	jg24239	CP10_g42381_DN3_SP0_c.t1
OG0000078	jg24236	CP10_g42379_DN1_SP0_c.t1
OG0000078	jg24237	CP10_g42380_DN2_SP0_c.t1
OG0000078	jg5644, jg5634	CP11_g32173_DN2_SP0_c.t1, CP11_g32163_DN2_SP0_c.t1
OG0000081	jg26776, jg302, jg5265, jg31440, jg25892, jg12998, jg14036, jg6463	CP1_g40914_DN2_SP0_c.t1
OG0000086	jg12265, jg12276	CP29_g21947_DN3_SP0_c.t1
OG0000089	jg6235	CP2_g48308_DN3_SP8_c.t1
OG0000089	jg23223	CP2_g48035_DN3_SP7_c.t1
OG0000089	jg17972	CP4_g25793_DN3_SP8_c.t1
OG0000089	jg5068	CP11_g32707_DN3_SP8_c.t1
OG0000089	jg20749	CP13_g20168_DN3_SP8_c.t1
OG0000089	jg10485	CP6_g6768_DN3_SP8_c.t1
OG0000089	jg18593	CP4_g25265_DN3_SP6_c.t1
OG0000089	jg3235	CP9_g29223_DN3_SP8_c.t1
OG0000090	jg20882	CP13_g20454_DN2_SP0_c.t1, CP3_g15710_DN2_SP0_c.t1
OG0000095	jg17272	CP16_g55159_DN2_SP0_c.t1
OG0000095	jg1743, jg16988, jg17290, jg17390, jg16997	CP16_g55090_DN3_SP0_c.t1, CP16_g55089_DN3_SP0_c.t1
OG0000095	jg17005, jg20640	CP16_g55165_DN2_SP0_c.t1
OG0000095	jg16996	CP16_g55163_DN2_SP0_c.t1
OG0000096	jg26888, jg26886	CP12_g30984_DN3_SP0_c.t1, CP12_g30986_DN3_SP0_c.t1, CP12_g30930_DN3_SP0_c.t1
OG0000096	jg6740, jg25958	CP6_g7572_DN1_SP0_c.t1
OG0000097	jg21181	CP29_g22155_DN1_SP0_c.t1
OG0000097	jg2302	CP1_g40642_DN2_SP0_c.t1
OG0000098	jg27223	CP17_g5784_DN1_SP0_c.t1
OG0000098	jg27222, jg27460, jg27464, jg17593, jg16875	CP2_g48438_DN1_SP0_c.t1
OG0000100	jg1001	CP2_g49326_DN3_SP0_c.t1
OG0000100	jg492, jg11338, jg777, jg27782	CP2_g48891_DN3_SP0_c.t1
OG0000101	jg27510	CP22_g17341_DN3_SP0_c.t1
OG0000102	jg21543, jg7817	CP5_g1424_DN3_SP0_c.t1
OG0000105	jg14191, jg14194	CP12_g31635_DN1_SP0_c.t1
OG0000105	jg508	CP20_g4448_DN2_SP0_c.t1
OG0000107	jg17559, jg17556	CP7_g44362_DN3_SP0_c.t1, CP7_g44349_DN3_SP0_c.t1
OG0000111	jg7195, jg7197, jg7196, jg7198	CP6_g7513_DN2_SP0_c.t1, CP3_g14874_DN2_SP0_c.t1
OG0000111	jg13696, jg13695, jg13697	CP5_g1915_DN1_SP0_c.t1, CP5_g1912_DN2_SP0_c.t1, CP5_g1908_DN2_SP0_c.t1, CP5_g1919_DN2_SP0_c.t1, CP5_g1886_DN2_SP0_c.t1, CP5_g1935_DN3_SP0_c.t1, CP94_g6400_DN3_SP0_c.t1, CP5_g1897_DN2_SP0_c.t1, CP5_g1895_DN2_SP0_c.t1, CP5_g1905_DN3_SP0_c.t1
OG0000114	jg10774, jg6734, jg12947, jg16945, jg14091, jg21201, jg6956, jg16952, jg32081, jg32308, jg21203, jg10179, jg13973	CP1_g39948_DN1_SP0_c.t1, CP1_g40795_DN2_SP0_c.t1, CP9_g27816_DN2_SP0_c.t1, CP17_g5831_DN3_SP0_c.t1, CP3_g15173_DN3_SP0_c.t1, CP13_g20753_DN3_SP0_c.t1, CP22_g17669_DN1_SP0_c.t1, CP3_g14115_DN3_SP0_c.t1, CP74_g56236_DN3_SP0_c.t1, CP95_g12691_DN3_SP0_c.t1, CP3_g14116_DN1_SP0_c.t1, CP22_g17668_DN1_SP0_c.t1, CP8_g52209_DN3_SP0_c.t1, CP18_g12092_DN3_SP0_c.t1, CP12_g30982_DN3_SP0_c.t1, CP7_g44473_DN2_SP0_c.t1, CP8_g52212_DN3_SP0_c.t1, CP17_g6028_DN3_SP0_c.t1, CP20_g4238_DN3_SP0_c.t1, CP7_g44474_DN2_SP0_c.t1, CP9_g27817_DN2_SP0_c.t1
OG0000114	jg6733	CP18_g11868_DN3_SP0_c.t1, CP9_g27995_DN3_SP0_c.t1, CP75_g34149_DN3_SP0_c.t1, CP9_g27968_DN2_SP0_c.t1, CP9_g27996_DN3_SP0_c.t1, CP9_g28014_DN3_SP0_c.t1, CP9_g27949_DN3_SP0_c.t1, CP13_g20558_DN3_SP0_c.t1, CP18_g12093_DN3_SP0_c.t1, CP5_g2512_DN3_SP0_c.t1, CP8_g52210_DN3_SP0_c.t1, CP22_g17667_DN2_SP0_c.t1, CP12_g30983_DN3_SP0_c.t1, CP14_g23380_DN2_SP0_c.t1, CP7_g44106_DN2_SP0_c.t1, CP3_g15174_DN1_SP0_c.t1, CP2_g49797_DN1_SP0_c.t1, CP9_g27967_DN3_SP0_c.t1, CP1_g40794_DN1_SP0_c.t1
OG0000115	jg32874	CP25_g55879_DN1_SP0_c.t1
OG0000115	jg29546	CP29_g22137_DN2_SP0_c.t1
OG0000116	jg21091, jg22360, jg6813, jg6561	CP59_g6663_DN3_SP0_c.t1, CP44_g20908_DN3_SP0_c.t1, CP18_g12569_DN3_SP0_c.t1
OG0000116	jg16608, jg16609	CP14_g23531_DN3_SP0_c.t1, CP27_g41691_DN3_SP0_c.t1
OG0000116	jg6560	CP2_g50670_DN2_SP0_c.t1
OG0000116	jg27190	CP20_g3900_DN1_SP0_c.t1, CP2_g49406_DN2_SP0_c.t1
OG0000117	jg30922	CP7_g45432_DN3_SP0_c.t1
OG0000117	jg30923, jg30924	CP7_g45431_DN3_SP0_c.t1
OG0000117	jg30934	CP7_g45420_DN3_SP0_c.t1
OG0000117	jg30938	CP7_g45419_DN3_SP0_c.t1
OG0000117	jg30929	CP7_g45418_DN3_SP0_c.t1
OG0000120	jg13974	CP24_g46957_DN2_SP0_c.t1, CP13_g20756_DN1_SP0_c.t1
OG0000122	jg22508	CP8_g53627_DN3_SP0_c.t1
OG0000124	jg27681	CP6_g8263_DN1_SP0_c.t1, CP14_g23406_DN1_SP0_c.t1
OG0000124	jg17603	CP14_g23405_DN1_SP0_c.t1
OG0000125	jg17896	CP4_g25846_DN3_SP0_c.t1
OG0000126	jg17588	CP4_g26270_DN2_SP0_c.t1
OG0000127	jg6123	CP8_g54114_DN3_SP0_c.t1
OG0000127	jg15301	CP3_g13990_DN2_SP0_c.t1
OG0000127	jg24874	CP11_g33621_DN2_SP0_c.t1
OG0000127	jg22931	CP8_g54018_DN3_SP0_c.t1
OG0000127	jg14383	CP3_g14833_DN3_SP0_c.t1
OG0000127	jg17851	CP4_g25869_DN3_SP0_c.t1
OG0000128	jg15960	CP3_g13458_DN3_SP0_c.t1
OG0000129	jg1820	CP10_g42426_DN3_SP0_c.t1, CP14_g22722_DN3_SP0_c.t1
OG0000129	jg1847	CP9_g27597_DN3_SP0_c.t1, CP10_g43808_DN3_SP0_c.t1
OG0000129	jg33436, jg33435, jg23141, jg23140, jg17685, jg17683, jg17687, jg21823	CP2_g48114_DN3_SP0_c.t1
OG0000130	jg25904	CP127_g12823_DN1_SP0_c.t1
OG0000130	jg33171	CP3_g15569_DN2_SP0_c.t1, CP8_g54335_DN2_SP0_c.t1, CP2_g49673_DN2_SP0_c.t1
OG0000130	jg32651, jg20179	CP2_g49700_DN3_SP0_c.t1
OG0000134	jg27021, jg1329, jg1326, jg1330, jg1324, jg1320, jg1317, jg1319, jg27419, jg1248	CP12_g31654_DN3_SP0_c.t1
OG0000134	jg1323	CP12_g31633_DN3_SP0_c.t1
OG0000136	jg13269	CP14_g23760_DN1_SP0_c.t1
OG0000136	jg159	CP3_g15024_DN1_SP0_c.t1
OG0000137	jg22358	CP29_g22095_DN2_SP0_c.t1
OG0000138	jg16315	CP4_g26545_DN2_SP0_c.t1
OG0000140	jg16992, jg1149	CP12_g31007_DN2_SP0_c.t1
OG0000140	jg12153	CP2_g49134_DN3_SP0_c.t1, CP14_g23074_DN2_SP0_c.t1
OG0000140	jg832	CP5_g2106_DN1_SP0_c.t1
OG0000140	jg13730	CP12_g31264_DN1_SP0_c.t1
OG0000140	jg32189	CP12_g31008_DN1_SP0_c.t1
OG0000141	jg29672	CP1_g37531_DN2_SP0_c.t1
OG0000141	jg29671	CP1_g37530_DN3_SP0_c.t1
OG0000143	jg20945	CP33_g3610_DN1_SP0_c.t1
OG0000148	jg32820, jg24959	CP1_g38394_DN3_SP0_c.t1
OG0000148	jg461	CP8_g53130_DN2_SP0_c.t1
OG0000148	jg32882, jg32881, jg32883, jg33223	CP1_g38017_DN2_SP0_c.t1
OG0000148	jg5636	CP7_g45047_DN1_SP0_c.t1
OG0000148	jg33224	CP1_g38033_DN1_SP0_c.t1
OG0000154	jg5696, jg5697	CP1_g38036_DN1_SP0_c.t1, CP1_g38035_DN2_SP0_c.t1
OG0000154	jg11063	CP6_g7266_DN3_SP0_c.t1
OG0000154	jg33213	CP1_g38028_DN2_SP0_c.t1
OG0000157	jg31645	CP7_g44859_DN3_SP0_c.t1
OG0000157	jg12097	CP3_g13734_DN3_SP0_c.t1
OG0000158	jg5270, jg28263	CP4_g24795_DN1_SP0_c.t1
OG0000160	jg28078	CP10_g43624_DN3_SP8_c.t1
OG0000160	jg9392	CP5_g984_DN3_SP8_c.t1
OG0000160	jg22635	CP8_g53733_DN3_SP8_c.t1
OG0000160	jg27288	CP17_g5850_DN3_SP8_c.t1
OG0000160	jg3697	CP9_g29643_DN3_SP8_c.t1
OG0000160	jg16942	CP16_g55126_DN3_SP8_c.t1
OG0000161	jg6881, jg12949, jg10772, jg12951	CP2_g49800_DN1_SP0_c.t1
OG0000162	jg18405, jg20943	CP4_g25433_DN2_SP0_c.t1
OG0000162	jg18404	CP4_g25434_DN2_SP0_c.t1
OG0000163	jg1575, jg27445	CP26_g51269_DN2_SP0_c.t1
OG0000164	jg6848, jg11792, jg7487, jg11793	CP35_g52063_DN2_SP0_c.t1, CP5_g3147_DN2_SP0_c.t1, CP5_g3037_DN1_SP0_c.t1
OG0000164	jg27251	CP35_g52064_DN1_SP0_c.t1, CP15_g35652_DN2_SP0_c.t1, CP28_g34015_DN2_SP0_c.t1
OG0000164	jg26448, jg6518, jg6519	CP17_g5684_DN1_SP0_c.t1
OG0000164	jg27250	CP18_g11984_DN2_SP0_c.t1
OG0000166	jg21553	CP16_g55346_DN3_SP0_c.t1
OG0000166	jg17125	CP16_g55347_DN1_SP0_c.t1
OG0000167	jg26576, jg26577	CP12_g30688_DN2_SP0_c.t1
OG0000171	jg22050	CP8_g53294_DN3_SP8_c.t1
OG0000171	jg12793	CP19_g17855_DN3_SP6_c.t1
OG0000171	jg27769	CP10_g43893_DN3_SP8_c.t1
OG0000171	jg22463	CP8_g53599_DN3_SP8_c.t1
OG0000171	jg24782	CP10_g42832_DN3_SP8_c.t1
OG0000172	jg27127	CP21_g11066_DN3_SP0_c.t1
OG0000173	jg8491	CP5_g175_DN2_SP0_c.t1
OG0000175	jg5289	CP11_g32500_DN3_SP8_c.t1
OG0000175	jg16299	CP4_g24004_DN3_SP6_c.t1, CP3_g13159_DN3_SP8_c.t1
OG0000177	jg30663, jg8064, jg3362	CP9_g29342_DN3_SP0_c.t1
OG0000178	jg7707	CP11_g31843_DN3_SP0_c.t1
OG0000179	jg1096	CP2_g49358_DN1_SP0_c.t1
OG0000179	jg1072	CP2_g49352_DN3_SP0_c.t1
OG0000179	jg1085, jg1082, jg1074, jg1073, jg1075, jg1083	CP2_g49243_DN3_SP0_c.t1
OG0000179	jg1022	CP2_g49361_DN3_SP0_c.t1, CP2_g49359_DN3_SP0_c.t1, CP2_g49380_DN3_SP0_c.t1
OG0000182	jg31826, jg16158, jg16157	CP2_g49579_DN2_SP0_c.t1
OG0000182	jg15780	CP3_g13758_DN3_SP0_c.t1
OG0000183	jg2098	CP5_g1726_DN3_SP8_c.t1
OG0000183	jg15712	CP3_g13675_DN3_SP8_c.t1
OG0000183	jg17567	CP4_g26440_DN3_SP8_c.t1
OG0000187	jg18001, jg17979, jg17999, jg17980, jg18002, jg17981, jg17978	CP7_g44449_DN3_SP0_c.t1
OG0000189	jg8854	CP10_g43894_DN3_SP5_c.t1
OG0000189	jg3242	CP9_g29229_DN3_SP8_c.t1
OG0000189	jg30537	CP7_g45756_DN3_SP8_c.t1
OG0000192	jg647	CP1_g37670_DN3_SP0_c.t1, CP2_g49912_DN3_SP0_c.t1
OG0000192	jg29805	CP1_g37644_DN3_SP0_c.t1
OG0000192	jg9826	CP19_g18011_DN3_SP0_c.t1
OG0000193	jg25724	CP7_g44707_DN2_SP0_c.t1
OG0000193	jg32770	CP3_g15012_DN3_SP0_c.t1, CP3_g15010_DN3_SP0_c.t1, CP3_g15011_DN3_SP0_c.t1
OG0000195	jg28161	CP15_g34742_DN3_SP0_c.t1
OG0000196	jg12778	CP19_g17880_DN3_SP0_c.t1, CP19_g17875_DN3_SP0_c.t1
OG0000197	jg12242	CP6_g6856_DN2_SP0_c.t1
OG0000197	jg10624	CP1_g38811_DN2_SP0_c.t1, CP1_g38769_DN2_SP0_c.t1, CP1_g38820_DN1_SP0_c.t1
OG0000198	jg11388	CP13_g19662_DN3_SP0_c.t1, CP13_g19663_DN3_SP3_c.t1, CP13_g19661_DN2_SP8_c.t1
OG0000198	jg29982, jg31686	CP1_g37803_DN3_SP1_c.t1
OG0000198	jg29981	CP1_g37802_DN3_SP1_c.t1
OG0000198	jg13337	CP19_g18287_DN3_SP0_c.t1
OG0000199	jg9442, jg5645, jg5642, jg9443, jg9444	CP5_g930_DN3_SP0_c.t1
OG0000203	jg15862	CP3_g13515_DN3_SP0_c.t1
OG0000209	jg10637, jg29693, jg29335, jg21051, jg1344, jg14429	CP1_g37296_DN2_SP0_c.t1, CP1_g37302_DN2_SP0_c.t1
