Orthogroup	Arabidopsis_arenosa	Brassica_rapa
OG0000020	jg11431, jg27353	XP_033146803.1, XP_033138241.1, XP_033134460.1, XP_033147772.1
OG0000021	jg32225, jg20321, jg1978, jg701, jg3954, jg2029, jg15196, jg12414, jg15089, jg17083, jg11853, jg32267, jg1316, jg16332, jg27287, jg27179, jg32393, jg11989, jg32560, jg4400, jg26774	XP_033143299.1, XP_033131754.1, XP_009113298.1, XP_033135948.1, XP_033145970.1, XP_009108738.3, XP_033145198.1, XP_033128732.1, XP_033141182.1, XP_033129326.1
OG0000022	jg9770	XP_009142868.1
OG0000022	jg5495	XP_009121467.1
OG0000022	jg642	XP_009112698.1
OG0000022	jg29675, jg638	XP_009112701.1
OG0000022	jg29724	XP_033134453.1
OG0000022	jg29708, jg29704, jg29712	XP_033133748.1
OG0000022	jg29722, jg29734, jg29678, jg29676	XP_009118036.2, XP_009118081.1, XP_009110632.1, XP_033135466.1, XP_033138678.1
OG0000022	jg372	XP_009112843.1
OG0000022	jg12744	XP_009140073.1
OG0000022	jg25741	XP_009114567.1
OG0000024	jg17071	XP_018512901.1
OG0000024	jg18272	XP_033133295.1
OG0000024	jg27402, jg18984, jg31665, jg31668	XP_009144063.2, XP_018514372.2, XP_033148397.1
OG0000024	jg14278	XP_009116539.1
OG0000025	jg27352	XP_033131820.1, XP_033134321.1, XP_033134331.1, XP_033135247.1, XP_009150041.2, XP_018513355.1, XP_033128551.1, XP_018515043.1, XP_009149632.2, XP_033129389.1, XP_033133949.1, XP_009113566.2, XP_033141177.1, XP_033133947.1, XP_033131885.1, XP_033143428.1, XP_033139107.1, XP_009115887.2, XP_033134459.1, XP_033130671.1, XP_033136819.1, XP_009108648.2, XP_033129312.1
OG0000027	jg7521	XP_033142038.1
OG0000027	jg7523	XP_033142132.1
OG0000027	jg10174	XP_009136778.1, XP_009136797.2
OG0000027	jg10183	XP_009136911.1
OG0000027	jg10181	XP_033132923.1
OG0000027	jg10205, jg10191	XP_033144191.1
OG0000027	jg7537, jg7533, jg7530	XP_009108162.1
OG0000027	jg7526	XP_009108168.1
OG0000027	jg10190	XP_009136791.2
OG0000028	jg22443, jg22441, jg22952	XP_009101849.2, XP_033129787.1, XP_033138374.1
OG0000028	jg22250, jg22247, jg22219, jg12583, jg12582	XP_033140818.1, XP_009127105.2, XP_009127106.1, XP_033140823.1
OG0000028	jg8750	XP_009148196.2
OG0000028	jg8748	XP_018509211.2
OG0000028	jg4645, jg21837	XP_009105561.1, XP_009102299.1, XP_009133873.1
OG0000028	jg22006, jg22007	XP_033138713.1
OG0000028	jg22278, jg22269, jg22270, jg22279, jg22262	XP_033140827.1, XP_033140822.1
OG0000029	jg33138, jg30060, jg20837, jg1780, jg13951, jg6737, jg11997, jg26958, jg13640, jg2465, jg2197, jg27218, jg11460, jg13681, jg14797, jg11165, jg17461, jg12004, jg3965	XP_009103430.1, XP_009103792.1, XP_033136629.1, XP_009105534.2, XP_033129358.1, XP_009128619.2, XP_009102786.1, XP_009111952.1, XP_009106480.1, XP_009118510.1
OG0000029	jg21311	XP_009150036.1
OG0000030	jg26153, jg26152	XP_033144643.1, XP_033142641.1
OG0000030	jg30787, jg31203, jg31202, jg25536	XP_033129474.1, XP_033128828.1, XP_033131947.1
OG0000030	jg11086, jg11084	XP_009108389.1
OG0000030	jg1537, jg14799, jg17824, jg14802, jg14804	XP_033148474.1
OG0000030	jg2112	XP_033143643.1
OG0000030	jg25272	XP_018510426.1
OG0000030	jg738, jg25360	XP_033130762.1, XP_033145302.1, XP_033146117.1, XP_009123103.2, XP_009141585.2
OG0000031	jg21055	XP_033148609.1, XP_018512881.1, XP_009114439.1, XP_033134208.1
OG0000032	jg27281, jg13794, jg27158, jg18577, jg19520, jg25717	XP_033143621.1
OG0000034	jg10193, jg10203, jg10197	XP_009137321.1, XP_009136929.1
OG0000034	jg10204	XP_009136747.2
OG0000034	jg10200	XP_009137324.1, XP_033135404.1
OG0000034	jg10426	XP_009137188.1
OG0000034	jg10425	XP_009134716.1
OG0000034	jg10198	XP_033143970.1
OG0000034	jg10202, jg10195	XP_009137317.1
OG0000034	jg10208	XP_009108599.1
OG0000034	jg10177	XP_033143795.1
OG0000035	jg32621, jg13872	XP_033148603.1, XP_033129319.1, XP_033129317.1, XP_018515237.2, XP_033129460.1
OG0000036	jg21340	XP_033130947.1
OG0000038	jg27503	XP_033136961.1
OG0000040	jg17939	XP_018512880.1, XP_009112224.1, XP_033142288.1, XP_033128760.1, XP_009128563.1, XP_009150818.1
OG0000041	jg28661	XP_033138682.1, XP_009120440.2
OG0000042	jg33373	XP_033129992.1
OG0000042	jg26487, jg900, jg2222	XP_009108258.2
OG0000042	jg17129	XP_009138234.2, XP_033131226.1
OG0000042	jg6977	XP_033129573.1
OG0000043	jg17159	XP_033134364.1
OG0000044	jg20420	XP_033136809.1
OG0000044	jg20419	XP_009105239.1
OG0000044	jg20443, jg20442, jg20416	XP_018512047.1, XP_009134864.2
OG0000044	jg20415	XP_009128863.1
OG0000044	jg1752	XP_009123255.2
OG0000045	jg17429	XP_033142708.1, XP_009103472.2, XP_033139399.1, XP_033130736.1
OG0000048	jg20748, jg20747	XP_009125775.1
OG0000048	jg18309, jg18271	XP_009123149.2
OG0000048	jg18210, jg18207	XP_033137775.1, XP_033137778.1, XP_033146467.1, XP_033145502.1, XP_033148635.1, XP_033147829.1, XP_033146958.1, XP_009142442.1
OG0000048	jg25048	XP_009141452.3, XP_009141229.2, XP_033145293.1, XP_033145288.1, XP_009141227.2, XP_009146516.2, XP_018513390.1, XP_033145756.1, XP_033145751.1, XP_033145292.1, XP_018514111.1, XP_033145356.1, XP_009141011.2, XP_033145355.1, XP_009142302.1, XP_018513876.1
OG0000048	jg18270	XP_033147664.1
OG0000050	jg14086	XP_033128725.1
OG0000050	jg19949, jg4268	XP_033146215.1, XP_033146249.1, XP_033133626.1, XP_033144846.1, XP_033134003.1
OG0000051	jg29349	XP_009119376.1, XP_009121616.2, XP_009118690.1
OG0000051	jg19557	XP_009142066.1, XP_018513039.2
OG0000051	jg497, jg24823	XP_018514205.1, XP_009113199.1
OG0000051	jg19560	XP_009142840.1, XP_033138797.1, XP_033138543.1, XP_033148410.1
OG0000052	jg13388, jg13390, jg13373	XP_009152006.1
OG0000052	jg13389, jg13391	XP_033138197.1
OG0000052	jg1458, jg1459, jg1457, jg13394, jg13392, jg13393	XP_033139477.1, XP_033135650.1
OG0000052	jg20913, jg15189, jg15188, jg15190	XP_009115966.1, XP_033146756.1, XP_033146252.1, XP_033146757.1, XP_033145801.1
OG0000052	jg15039	XP_009114878.1
OG0000052	jg14729	XP_033129401.1
OG0000052	jg21516	XP_033146405.1
OG0000055	jg25886, jg26868	XP_009131379.2, XP_033144999.1, XP_009121596.1, XP_033131219.1
OG0000055	jg12073	XP_033143242.1
OG0000055	jg25753	XP_033139674.1
OG0000055	jg17788, jg8147	XP_009134817.1
OG0000055	jg28057, jg28058	XP_033128815.1
OG0000056	jg743	XP_009113405.2
OG0000056	jg14491	XP_009112692.1, XP_009113075.1, XP_009149950.1
OG0000058	jg16618	XP_033147285.1, XP_009114424.1
OG0000058	jg6976, jg13931, jg17384, jg1485, jg16419, jg27812, jg17098, jg11852	XP_033139240.1
OG0000059	jg1077, jg4817, jg25268, jg5943, jg32839, jg11480, jg33384, jg28178	XP_009150163.1, XP_033139086.1, XP_033134279.1, XP_033132002.1, XP_033139374.1
OG0000059	jg27640, jg13837	XP_009150809.1, XP_009124471.1, XP_033143409.1, XP_033134211.1, XP_033133426.1, XP_009101327.1
OG0000061	jg1961, jg32859, jg32550, jg32843, jg32866, jg32855	XP_009133988.1
OG0000061	jg32841, jg32864, jg32857, jg32551	XP_033137465.1
OG0000061	jg18012	XP_033145280.1
OG0000061	jg18005	XP_009133838.1
OG0000061	jg20934	XP_033134438.1
OG0000062	jg21178	XP_018509055.1
OG0000063	jg32522	XP_033134130.1
OG0000064	jg1275, jg1269, jg1272, jg1271, jg1270, jg1273, jg1277, jg1280, jg1279, jg1274, jg1278, jg1276, jg20978, jg20976, jg20985, jg20983, jg20984, jg20981, jg20982, jg20980, jg20974, jg20975, jg20973, jg20977, jg20979	XP_033134282.1, XP_033134283.1, XP_033136270.1, XP_033135749.1, XP_033135748.1, XP_033135746.1, XP_033135747.1, XP_033134284.1, XP_033135687.1, XP_033136269.1, XP_033135741.1, XP_033135477.1, XP_009124650.2, XP_033136272.1, XP_033136268.1, XP_009124058.2, XP_033135744.1, XP_033136271.1, XP_009124087.2, XP_033135742.1, XP_033135743.1, XP_033135685.1, XP_033135686.1, XP_033135684.1, XP_033135688.1
OG0000065	jg2154	XP_009127504.1
OG0000065	jg2152	XP_018509397.2
OG0000065	jg6601	XP_009125065.1
OG0000065	jg12337	XP_009140044.1
OG0000065	jg12331	XP_009140168.2
OG0000065	jg12464, jg12463	XP_009140101.2, XP_009151130.2
OG0000066	jg1404, jg13471, jg4871, jg4870, jg29279	XP_009125303.1, XP_009110843.1, XP_009112178.1, XP_009129719.2, XP_009114048.1, XP_009131154.1
OG0000066	jg4927	XP_009104699.1, XP_009125263.1, XP_009131189.1, XP_009130061.1, XP_018511751.1
OG0000067	jg14038, jg32532	XP_018508435.1
OG0000067	jg6462, jg31439, jg5264	XP_009127952.2
OG0000067	jg14037	XP_018508607.1
OG0000068	jg4186, jg4261, jg4260, jg24839, jg24838	XP_033137765.1, XP_009122279.3, XP_033144949.1, XP_033144954.1
OG0000069	jg16351	XP_018512413.1, XP_009105410.1
OG0000069	jg15499	XP_033146576.1
OG0000070	jg29403, jg28225, jg28226, jg13116, jg13115	XP_009123589.1, XP_033136464.1
OG0000070	jg16631, jg30544, jg4483	XP_009149503.1
OG0000070	jg3251	XP_009104691.1, XP_009106248.2, XP_009128146.1
OG0000072	jg12110	XP_009102269.1
OG0000072	jg20178	XP_009119460.3, XP_033138069.1, XP_009111623.2
OG0000072	jg25787	XP_033146737.1
OG0000073	jg32690	XP_033131948.1, XP_033141112.1, XP_009117227.2
OG0000073	jg7434	XP_009123855.2, XP_009151176.1, XP_009146107.2, XP_009145290.1, XP_033134421.1, XP_018512867.1, XP_018509809.1, XP_009140644.2
OG0000073	jg11572, jg10937, jg20466	XP_033144992.1, XP_033143312.1
OG0000073	jg13828	XP_009108668.2, XP_009139306.1, XP_009122924.1, XP_009132645.2
OG0000075	jg21647	XP_009101861.1, XP_033141207.1, XP_009124954.2, XP_009127369.1
OG0000075	jg8428	XP_009101862.1
OG0000075	jg32683	XP_033144015.1
OG0000076	jg8362	XP_009101919.1
OG0000077	jg1247	XP_033134075.1
OG0000077	jg1261	XP_033136168.1, XP_033134192.1
OG0000077	jg13131	XP_033141183.1
OG0000077	jg902, jg1249	XP_009148269.1
OG0000078	jg5640	XP_009131641.1
OG0000078	jg5641, jg5643, jg5648, jg5639	XP_009126231.2, XP_009131624.1, XP_009121025.2, XP_009131630.2, XP_009126229.1, XP_009131627.1
OG0000079	jg7377	XP_009128331.1, XP_033137616.1, XP_033144013.1, XP_033145947.1, XP_033147003.1, XP_033133869.1, XP_033132648.1, XP_009104162.1, XP_009128728.2, XP_033145258.1, XP_033141181.1, XP_033141130.1, XP_033129223.1, XP_033139099.1, XP_033129128.1, XP_033129127.1, XP_033147269.1, XP_033136406.1, XP_033148881.1, XP_033133874.1, XP_033130432.1, XP_033131180.1, XP_033147836.1, XP_009121263.2, XP_033146531.1, XP_009122926.1, XP_033143107.1, XP_033143236.1, XP_033136497.1, XP_033134319.1, XP_033147267.1, XP_009108250.2, XP_033148205.1, XP_033131034.1, XP_033129991.1, XP_033134219.1, XP_033145242.1, XP_033131468.1, XP_033139661.1, XP_033129913.1, XP_033128795.1, XP_033130871.1, XP_033146432.1, XP_033128838.1, XP_033133429.1, XP_033146434.1, XP_033128695.1, XP_033129645.1
OG0000081	jg26776, jg302, jg5265, jg31440, jg25892, jg12998, jg14036, jg6463	XP_018509212.1, XP_033131829.1, XP_033133259.1
OG0000086	jg12270	XP_009140166.1
OG0000086	jg12265, jg12276	XP_009139752.1
OG0000086	jg12281	XP_033147599.1
OG0000086	jg2128, jg2129	XP_009132807.1
OG0000089	jg6235	XP_009150907.1
OG0000089	jg23223	XP_009150241.1, XP_009151388.1
OG0000089	jg17972	XP_009144365.1, XP_009141007.2
OG0000089	jg5068	XP_009121863.1
OG0000089	jg20749	XP_009113926.1, XP_009101721.2
OG0000089	jg10485	XP_009123590.1
OG0000089	jg3235	XP_009106234.1
OG0000090	jg20882, jg6910	XP_033147238.1
OG0000090	jg17424	XP_033128016.1, XP_033136189.1
OG0000091	jg14545, jg14558	XP_009119422.1
OG0000091	jg17633	XP_009149894.1, XP_009113892.3, XP_009131995.2, XP_033142283.1, XP_009116363.1
OG0000091	jg14230, jg14231	XP_009144708.1, XP_018509698.1, XP_009140909.1, XP_009140910.1
OG0000091	jg5910	XP_009131797.1, XP_009120802.1
OG0000091	jg21695	XP_009143939.1, XP_033147614.1
OG0000092	jg32487	XP_009145085.2
OG0000092	jg1461, jg26673	XP_033131411.1, XP_033143949.1, XP_033143950.1, XP_009137270.1, XP_033140197.1
OG0000092	jg26653	XP_033136537.1
OG0000092	jg21355, jg7184	XP_033132217.1
OG0000095	jg17289	XP_009134223.1, XP_009140586.1
OG0000095	jg16989, jg17288	XP_033145266.1, XP_033145760.1
OG0000095	jg1743, jg16988, jg17290, jg17390, jg16997	XP_033146353.1, XP_033146352.1
OG0000095	jg17005, jg20640	XP_009151921.1, XP_009133951.1
OG0000095	jg16996	XP_033145265.1
OG0000095	jg16995, jg17274, jg17286, jg17001, jg16991	XP_033145267.1, XP_033145730.1
OG0000096	jg26888, jg26886	XP_009136113.1
OG0000096	jg14860	XP_033148466.1
OG0000097	jg11451, jg27712, jg11787	XP_009119485.2, XP_033141126.1, XP_009137046.1
OG0000097	jg11932, jg7619, jg7052, jg7054, jg27619, jg27677, jg21182, jg1858, jg13878, jg7238, jg7202	XP_033148598.1, XP_033138770.1, XP_033134262.1, XP_009137083.1, XP_009128751.1, XP_033133953.1, XP_009136059.1, XP_009115756.1
OG0000098	jg16874	XP_033141220.1
OG0000098	jg2306	XP_033144223.1, XP_009137095.2, XP_033143042.1
OG0000098	jg17595, jg31284, jg16872	XP_009150964.1, XP_009130073.1
OG0000100	jg1001	XP_009113265.2
OG0000100	jg492	XP_018509586.1
OG0000100	jg515	XP_033135340.1
OG0000100	jg471	XP_033135321.1, XP_033135318.1
OG0000101	jg27510	XP_009108043.1, XP_033129024.1, XP_033129539.1, XP_033135654.1, XP_009123725.2, XP_033143361.1, XP_033133927.1, XP_033145957.1, XP_033146383.1, XP_033140589.1, XP_033145942.1, XP_033134398.1, XP_033133647.1, XP_033135195.1
OG0000102	jg21543, jg7817	XP_009140229.1
OG0000102	jg7818, jg11552	XP_009121666.1
OG0000102	jg7810	XP_009134336.2, XP_009110937.1, XP_033135887.1
OG0000106	jg727	XP_033134365.1, XP_009106472.1, XP_033138832.1, XP_033136535.1, XP_009129265.1
OG0000107	jg17559, jg17556	XP_033131954.1, XP_009113964.1
OG0000107	jg26161	XP_018514730.2
OG0000107	jg26159	XP_009140112.1, XP_033142636.1
OG0000107	jg26157	XP_033147102.1
OG0000107	jg26160	XP_009136238.1, XP_009145675.1
OG0000107	jg26163	XP_009111243.1
OG0000108	jg18920, jg15311	XP_009133195.1, XP_009141678.2
OG0000108	jg4799	XP_033138402.1, XP_009131124.2, XP_009125344.2
OG0000109	jg16476, jg16484, jg29790, jg9963, jg2091, jg11738, jg13945	XP_033129717.1, XP_033139404.1, XP_033133988.1, XP_033135850.1, XP_033142467.1, XP_033139430.1, XP_033138987.1, XP_033134841.1
OG0000110	jg9173	XP_033143194.1, XP_033144149.1, XP_033135355.1, XP_033142711.1, XP_033140785.1, XP_009119775.3, XP_033143375.1, XP_033148618.1, XP_033148616.1, XP_033147279.1, XP_018512940.2, XP_033143619.1
OG0000110	jg25795, jg13800, jg13799, jg25794	XP_033147814.1
OG0000111	jg13696, jg13695, jg13697	XP_009102969.1, XP_009104069.1, XP_009121559.1, XP_009119630.1, XP_009116825.1
OG0000111	jg3144	XP_033128640.1, XP_033129028.1, XP_033146399.1, XP_033146035.1, XP_009133886.1
OG0000114	jg10774, jg6734, jg12947, jg16945, jg14091, jg21201, jg6956, jg16952, jg32081, jg32308, jg21203, jg10179, jg13973	XP_033145921.1
OG0000114	jg6733	XP_033146920.1, XP_033138821.1, XP_033144705.1, XP_033136660.1, XP_033148327.1, XP_033148341.1
OG0000115	jg29546	XP_009133161.1
OG0000116	jg21091, jg22360, jg6813, jg6561	XP_033143201.1, XP_009115039.1, XP_009137034.2, XP_033132498.1, XP_033135118.1, XP_033134167.1, XP_009134460.2, XP_009122979.1, XP_033135204.1, XP_033137857.1, XP_018510163.1, XP_018509848.2, XP_018511518.1, XP_018512844.2, XP_033134594.1
OG0000116	jg16608, jg16609	XP_009115537.1
OG0000117	jg30936	XP_009115511.1
OG0000117	jg30922	XP_033135734.1, XP_009115048.1, XP_009115516.1
OG0000117	jg30938	XP_033130333.1
OG0000117	jg30929	XP_033132544.1, XP_033132543.1, XP_009110093.1, XP_033132540.1, XP_009112003.1
OG0000118	jg19019, jg19043, jg19023, jg19021, jg19020, jg12773	XP_009113644.3, XP_009115539.2, XP_033135170.1, XP_033135169.1, XP_033135012.1, XP_009135990.1, XP_033135900.1
OG0000119	jg22962	XP_033138803.1
OG0000119	jg14325	XP_033139673.1
OG0000119	jg17260, jg17259, jg17257, jg14055, jg14324, jg14331, jg4290, jg14313, jg14315, jg14316	XP_009140726.1
OG0000119	jg14330, jg14326, jg14002	XP_009102480.1
OG0000119	jg14314	XP_033131888.1
OG0000122	jg22485	XP_033142107.1
OG0000122	jg22505	XP_033137394.1
OG0000122	jg32572	XP_033142009.1, XP_018512820.2
OG0000122	jg22508	XP_033139821.1
OG0000123	jg21770	XP_009132628.1, XP_033142284.1
OG0000124	jg12674	XP_033145235.1
OG0000124	jg27681	XP_009145189.1
OG0000124	jg17603	XP_033139475.1, XP_009150285.1, XP_033144074.1, XP_009103633.1, XP_009139448.1, XP_009144927.1, XP_033128191.1, XP_033146613.1, XP_009144615.1
OG0000125	jg17897	XP_033145187.1, XP_033131572.1
OG0000125	jg29111	XP_009118428.1
OG0000125	jg33004	XP_033146903.1
OG0000125	jg33352, jg33355, jg33354	XP_009144873.1
OG0000125	jg26323	XP_009135746.2, XP_018514690.2
OG0000126	jg17369, jg17588	XP_033134231.1
OG0000126	jg754	XP_033130693.1
OG0000126	jg1156, jg1158	XP_033148740.1
OG0000126	jg27206, jg17305	XP_033136403.1
OG0000126	jg10194, jg10477	XP_033148158.1
OG0000127	jg6123	XP_009120626.1, XP_009131894.1
OG0000127	jg15301	XP_009139383.1, XP_009116061.1
OG0000127	jg22931, jg14378	XP_009120513.1
OG0000127	jg17851	XP_009133865.1, XP_009140934.1, XP_009103710.2
OG0000128	jg15969	XP_009104190.1
OG0000128	jg15959	XP_009116587.1, XP_018508692.1
OG0000128	jg15960	XP_009104193.2
OG0000129	jg1820	XP_033146831.1, XP_033146830.1
OG0000129	jg1832	XP_033145048.1
OG0000129	jg1847	XP_009127389.1
OG0000129	jg33436, jg33435, jg23141, jg23140, jg17685, jg17683, jg17687, jg21823	XP_009130179.2, XP_009130183.1
OG0000130	jg32651, jg20179	XP_033138416.1
OG0000130	jg12111, jg17565, jg20993, jg25905, jg11327, jg9592, jg14104, jg33081	XP_009107043.1, XP_033130441.1
OG0000132	jg15428	XP_009116244.2, XP_009116245.1, XP_009116184.2, XP_033137144.1, XP_018510613.1
OG0000132	jg23313	XP_033136550.1
OG0000132	jg23312	XP_033141227.1
OG0000132	jg12398, jg12389, jg12393, jg12394, jg12395	XP_009144883.2
OG0000134	jg27021, jg1329, jg1326, jg1330, jg1324, jg1320, jg1317, jg1319, jg27419, jg1248	XP_018508210.2
OG0000134	jg17682	XP_033130500.1
OG0000134	jg4953	XP_033142785.1, XP_033142547.1, XP_009113973.2, XP_033142504.1
OG0000137	jg22358	XP_009127057.1
OG0000137	jg22366, jg22365	XP_033138715.1
OG0000137	jg22364	XP_009132393.1
OG0000137	jg22363	XP_009132642.1, XP_009120051.1
OG0000138	jg15939, jg15937	XP_018514807.1
OG0000138	jg15932	XP_033146362.1
OG0000140	jg6686	XP_018512005.1
OG0000140	jg12153, jg832	XP_009145081.1
OG0000140	jg13730, jg32189, jg11305, jg33822, jg13897, jg21116, jg17372, jg8836	XP_009114858.1
OG0000140	jg14412, jg13729	XP_018513794.1, XP_009111975.1, XP_033143251.1, XP_033133624.1, XP_033142267.1
OG0000141	jg29677	XP_009148793.2
OG0000141	jg29672	XP_033135443.1
OG0000141	jg29671	XP_018510931.2
OG0000141	jg29664, jg11302	XP_009110666.1
OG0000141	jg12025	XP_009118092.2, XP_033134902.1
OG0000142	jg14912	XP_033148576.1, XP_033134363.1, XP_033131825.1, XP_033148562.1, XP_033146245.1, XP_009113854.2, XP_009117188.2, XP_033136287.1, XP_033148575.1, XP_009105348.2, XP_033131790.1, XP_009150095.3, XP_033131028.1, XP_033134318.1, XP_033132285.1, XP_033133998.1, XP_033138784.1
OG0000148	jg32820, jg24959	XP_033136081.1, XP_009145753.1, XP_009113058.1, XP_009124318.1
OG0000148	jg5636	XP_033135481.1, XP_033133852.1
OG0000148	jg33224	XP_033129846.1
OG0000151	jg15449	XP_009116212.1, XP_009103951.1, XP_033146519.1
OG0000151	jg15448	XP_009139199.2
OG0000151	jg19118	XP_033148760.1
OG0000151	jg15447	XP_009139200.1
OG0000151	jg18884	XP_009141649.1
OG0000151	jg5170	XP_009121752.1
OG0000153	jg17928, jg17934, jg17935	XP_033147142.1
OG0000153	jg18114	XP_009140992.3, XP_009140985.1, XP_033147950.1, XP_018514500.2
OG0000153	jg17940	XP_033145172.1
OG0000153	jg17932	XP_009133859.1, XP_009123599.1, XP_009140991.1, XP_009140982.1
OG0000153	jg29098	XP_009118438.1
OG0000154	jg11063	XP_009107881.1
OG0000154	jg33219, jg33312	XP_018515541.1
OG0000154	jg33213	XP_033128714.1
OG0000155	jg11573, jg32701, jg22135, jg26608	XP_009106792.1
OG0000157	jg12097	XP_033130702.1, XP_033139818.1, XP_009140642.2, XP_009129819.1, XP_009129831.2
OG0000158	jg8688	XP_033136525.1
OG0000158	jg8653	XP_009104904.1
OG0000158	jg28264	XP_033134979.1
OG0000159	jg6891	XP_033136624.1, XP_033148101.1, XP_009144918.2, XP_033131816.1, XP_033133914.1, XP_033129350.1
OG0000160	jg28078	XP_009112568.1, XP_009102205.2
OG0000160	jg9392	XP_009137896.1, XP_009137895.2, XP_009128001.1, XP_009109000.1
OG0000160	jg22635	XP_033141904.1, XP_009120261.2
OG0000160	jg27288	XP_018513014.1
OG0000160	jg13954	XP_009128205.1
OG0000160	jg3697	XP_018508569.2, XP_009106729.2
OG0000160	jg16942	XP_009117122.1
OG0000161	jg12949, jg10772, jg12951	XP_033133352.1, XP_009117684.2, XP_033137116.1, XP_009138128.2, XP_018515327.2, XP_033135265.1, XP_009144129.1, XP_033138000.1, XP_033143489.1
OG0000162	jg18405, jg20943	XP_009132915.1
OG0000162	jg18404	XP_009143883.1
OG0000164	jg6848, jg11792, jg7487, jg11793	XP_033139081.1, XP_033145169.1
OG0000164	jg27251, jg26448, jg6518, jg6519, jg27250	XP_033134250.1, XP_033131895.1, XP_033133921.1, XP_033138766.1, XP_033138936.1
OG0000164	jg6850	XP_033138913.1, XP_033139398.1, XP_033139091.1, XP_033139319.1, XP_033139082.1
OG0000165	jg12066	XP_009134335.1, XP_009135150.1
OG0000166	jg17125	XP_009140600.1
OG0000166	jg3072, jg21554	XP_033131489.1, XP_033141680.1
OG0000166	jg3073	XP_033141673.1
OG0000167	jg26576, jg26577	XP_033131842.1
OG0000169	jg11594, jg11592, jg27660, jg27597, jg27661, jg27598, jg16530, jg13088, jg13092, jg13087, jg13090, jg16527, jg27591, jg16764	XP_033132763.1
OG0000170	jg16152	XP_009116769.1
OG0000170	jg16151	XP_033146706.1
OG0000170	jg19951	XP_009142347.1
OG0000171	jg22050	XP_009119874.1
OG0000171	jg27769	XP_009121200.1
OG0000171	jg22463	XP_018512593.2
OG0000171	jg24782	XP_009123804.1, XP_009146989.1, XP_009135093.1
OG0000173	jg8491	XP_009109432.1
OG0000173	jg8629	XP_033143325.1
OG0000174	jg20878	XP_009139373.1, XP_009111365.1, XP_009123003.1
OG0000174	jg12954	XP_009130013.1
OG0000175	jg5289	XP_033137829.1
OG0000175	jg20125	XP_009133804.2, XP_009118871.2, XP_009142560.1
OG0000175	jg16299	XP_033146739.1
OG0000176	jg24440	XP_009124082.1
OG0000176	jg2769	XP_009104914.1, XP_009127868.1
OG0000177	jg26900, jg30833	XP_033132885.1
OG0000177	jg30663, jg8064, jg3362	XP_009124585.1, XP_033147925.1
OG0000178	jg7702	XP_033136390.1
OG0000178	jg7704	XP_009134310.1
OG0000178	jg7703	XP_009134313.1
OG0000178	jg7707	XP_009114346.2, XP_009134304.1, XP_033142043.1, XP_033142131.1, XP_033136829.1, XP_009134308.2
OG0000178	jg7705	XP_033141427.1, XP_009144510.1
OG0000178	jg32186	XP_009114566.2, XP_009144506.1, XP_009144502.1
OG0000179	jg1022	XP_033143525.1
OG0000182	jg31826, jg16158, jg16157	XP_009116717.1
