Orthogroup	Arabidopsis_arenosa	Arabidopsis_thaliana
OG0000044	jg20443	AT5G46260.1
OG0000044	jg20442	AT5G46270.4
OG0000044	jg20416	AT1G31540.2, AT5G46490.2
OG0000044	jg6091	AT5G22690.2
OG0000044	jg10924	AT4G16890.1, AT4G16957.1, AT4G16857.2, AT4G16920.2, AT4G16860.1, AT4G16950.1
OG0000044	jg21833	AT5G51630.1
OG0000046	jg29315, jg17523, jg14196	AT3G31910.1, AT5G28810.1, AT2G10260.1
OG0000048	jg23606	AT5G65850.1
OG0000048	jg18210, jg18207	AT2G31470.1
OG0000048	jg25048	AT3G10990.1
OG0000051	jg19555	AT2G42460.1
OG0000051	jg19558	AT2G42470.1
OG0000051	jg907	AT2G42455.1
OG0000051	jg19560	AT2G42480.1
OG0000052	jg13388	AT3G26930.2
OG0000052	jg13373	AT3G26920.1
OG0000052	jg13389, jg13391	AT3G26922.1
OG0000052	jg1458, jg1459, jg1457	AT1G55030.2
OG0000052	jg13393	AT4G13965.1
OG0000052	jg20913, jg15189	AT4G00160.1, AT3G52680.1
OG0000052	jg15192	AT3G52690.1
OG0000052	jg15039	AT3G51530.1
OG0000052	jg14762	AT2G04230.1
OG0000052	jg14732	AT3G49030.1
OG0000052	jg14734	AT3G49040.1
OG0000052	jg14729	AT3G49020.1
OG0000052	jg21516	AT3G55670.1, AT3G49045.1
OG0000055	jg25886	AT3G19470.1
OG0000055	jg26868	AT3G22770.1
OG0000055	jg32786, jg26785	AT3G24580.1
OG0000055	jg26196, jg26181	AT3G23420.1
OG0000055	jg25753	AT3G16820.1
OG0000055	jg12035	AT5G36200.1
OG0000055	jg25759, jg25744	AT3G16740.1
OG0000055	jg28057, jg28058	AT2G18780.1
OG0000055	jg27919	AT2G17830.1, AT5G42460.1
OG0000055	jg25830	AT3G17320.1
OG0000056	jg748	AT1G61960.1
OG0000056	jg721	AT1G62150.1
OG0000056	jg726	AT1G62110.1, AT1G62085.1
OG0000056	jg743	AT1G61990.1
OG0000056	jg745	AT1G61980.1
OG0000056	jg746	AT1G61970.1
OG0000056	jg14491	AT3G46950.1
OG0000060	jg22905, jg29120	AT3G46320.1
OG0000060	jg21249	AT3G45930.1
OG0000060	jg29139	AT1G07820.1
OG0000060	jg21260, jg17853	AT5G59970.1
OG0000061	jg32919	AT1G48390.1
OG0000061	jg32859, jg32550, jg32843, jg32866, jg32855	AT1G48400.1
OG0000061	jg32841, jg32864, jg32857, jg32551	AT5G12450.1
OG0000061	jg18016, jg18020	AT2G29930.1
OG0000061	jg18005	AT2G29910.6
OG0000061	jg375	AT1G64540.1
OG0000061	jg12023	AT5G35995.1
OG0000064	jg1275, jg1269, jg1272, jg1271, jg1270, jg1273, jg1277, jg1280, jg1279, jg1274, jg1278, jg1276	AT3G44115.1, AT1G57760.1, AT1G45221.1, AT1G45215.1, AT1G45223.1, AT1G57777.1, AT1G57775.1, AT4G07515.1, AT4G08025.1
OG0000064	jg20978, jg20976, jg20985, jg20983, jg20984, jg20981, jg20982, jg20980, jg20974, jg20975, jg20973, jg20977, jg20979	AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT5G42955.1, AT5G42957.1, AT5G34882.1, AT3G30383.1, AT3G30385.1, AT3G30387.1
OG0000065	jg2189	AT1G66910.1
OG0000065	jg2209, jg2212	AT1G67000.1
OG0000065	jg2195	AT1G66930.2
OG0000065	jg2193	AT1G66920.2
OG0000065	jg12337	AT5G38260.1
OG0000065	jg12464	AT5G39030.1
OG0000065	jg12463	AT5G39020.1
OG0000066	jg13471, jg4871	AT3G27360.1
OG0000066	jg29279	AT1G09200.1
OG0000066	jg3219, jg3220	AT1G13370.1
OG0000066	jg27126	AT1G75600.1
OG0000066	jg4927	AT5G10980.1
OG0000066	jg30515	AT1G19890.1
OG0000068	jg24838	AT3G09160.1
OG0000068	jg22052, jg22033, jg22034	AT5G53700.1
OG0000068	jg4088	AT5G03495.1
OG0000068	jg4089	AT5G03480.1
OG0000069	jg16351	AT3G62850.1
OG0000069	jg28492	AT5G35640.1, AT1G01355.1
OG0000069	jg15499	AT5G39640.1
OG0000070	jg29403	AT1G10230.1
OG0000070	jg28225, jg28226	AT2G20160.1
OG0000070	jg13116	AT2G03190.1
OG0000070	jg13115	AT3G25650.1, AT2G03170.1
OG0000070	jg16631, jg30544	AT1G20140.1, AT2G25700.1
OG0000070	jg3251	AT1G75950.1
OG0000070	jg21183	AT5G42190.1
OG0000070	jg16054	AT3G60010.1
OG0000070	jg8905	AT4G34210.1
OG0000072	jg12160, jg21424, jg13720, jg16912	AT3G42140.1
OG0000073	jg16551, jg24432, jg32702	AT2G11035.1
OG0000075	jg8424, jg8422	AT4G39550.1
OG0000075	jg8427	AT4G39570.1
OG0000075	jg8428	AT4G39580.1
OG0000075	jg8426	AT4G39560.1
OG0000075	jg21500	AT5G49000.2
OG0000075	jg934	AT1G60570.1
OG0000076	jg8362	AT4G38940.1
OG0000077	jg20644	AT5G44900.1
OG0000077	jg1310	AT1G57670.1
OG0000077	jg1247	AT1G57850.1
OG0000077	jg1261	AT1G47370.1
OG0000077	jg13128	AT2G03030.1, AT2G03300.1
OG0000077	jg29337	AT1G09665.1
OG0000077	jg902	AT1G60320.1
OG0000077	jg1249	AT1G57830.1
OG0000078	jg24239	AT3G03850.1
OG0000078	jg24236	AT3G03830.1
OG0000078	jg24237	AT3G03840.1
OG0000078	jg5640	AT5G18030.1
OG0000078	jg5643	AT5G18050.1, AT5G18060.1
OG0000078	jg5648	AT5G18020.1
OG0000078	jg5639	AT5G18080.1, AT5G18010.1
OG0000079	jg7377	AT2G07190.1
OG0000081	jg24928	AT2G37125.1, AT1G48285.1
OG0000081	jg26776, jg302, jg5265, jg31440, jg25892, jg12998, jg14036, jg6463	AT3G30165.1
OG0000086	jg23234	AT5G62800.1
OG0000086	jg12260	AT5G37890.1
OG0000086	jg12270	AT5G37870.1, AT5G37900.1, AT5G37910.1
OG0000086	jg2126, jg2127	AT1G66610.1
OG0000086	jg2128	AT1G66620.1
OG0000086	jg2129	AT1G66630.1
OG0000089	jg6235	AT5G23860.1
OG0000089	jg23223	AT5G62700.1, AT5G62690.1
OG0000089	jg17972	AT2G29550.1
OG0000089	jg5068	AT5G12250.1
OG0000089	jg20749	AT5G44340.1
OG0000089	jg10485	AT4G20890.1
OG0000089	jg30528	AT1G20010.1
OG0000089	jg3235	AT1G75780.1
OG0000091	jg14507	AT3G47090.1, AT3G47580.1
OG0000091	jg14545, jg14558	AT3G47570.1
OG0000091	jg5910	AT5G20480.1
OG0000091	jg21695	AT5G39390.1
OG0000092	jg7106, jg7127, jg7132	AT3G29763.1
OG0000092	jg26653	AT1G19260.1, AT4G09660.1
OG0000095	jg1743, jg16988, jg17290, jg17390, jg16997	AT1G64840.1
OG0000095	jg16897, jg16899	AT2G24250.1
OG0000096	jg26888	AT3G25460.1
OG0000096	jg25959, jg6741	AT3G18320.1
OG0000096	jg26029, jg25961, jg6747, jg25960, jg6746	AT3G18330.1
OG0000096	jg26027, jg26030	AT3G18910.1
OG0000096	jg26079, jg27891	AT3G19410.1
OG0000096	jg27435	AT1G25141.1
OG0000096	jg14860	AT3G49980.2
OG0000096	jg6740, jg25958	AT4G09870.1
OG0000098	jg27452	AT2G14500.1
OG0000098	jg17595	AT1G27550.1
OG0000098	jg16872	AT2G24080.1
OG0000098	jg7433	AT4G10820.1
OG0000098	jg6403	AT5G25300.1
OG0000098	jg6402, jg6418	AT5G25290.1
OG0000100	jg476	AT1G63870.1
OG0000100	jg1396	AT1G56520.2, AT1G56510.1
OG0000100	jg1380, jg1381	AT1G56540.1
OG0000100	jg492	AT1G63740.2
OG0000100	jg11338	AT4G14370.2
OG0000100	jg27782	AT2G16870.1
OG0000100	jg471	AT1G63860.1
OG0000100	jg475	AT1G63880.1
OG0000102	jg7820	AT4G03635.1
OG0000102	jg7814	AT4G05470.1, AT4G05475.1
OG0000102	jg21543, jg7817	AT4G05497.1
OG0000102	jg7818, jg11552	AT5G52480.1
OG0000102	jg7810	AT4G05460.1
OG0000105	jg14191, jg14194	AT5G38344.1
OG0000106	jg17558	AT2G07760.1
OG0000106	jg28233	AT5G28823.1
OG0000107	jg17559	AT2G27010.1, AT2G27000.1
OG0000107	jg26263	AT3G20940.1, AT3G20950.1
OG0000107	jg26161	AT3G20140.1
OG0000107	jg26159	AT3G20080.1
OG0000107	jg26157	AT3G20100.1
OG0000107	jg26160	AT3G20130.1
OG0000107	jg26163	AT3G20090.2
OG0000108	jg18920, jg15311	AT3G53750.1, AT2G37620.1
OG0000108	jg14433, jg22870	AT3G46520.1
OG0000108	jg4799	AT5G09810.1
OG0000108	jg19509	AT2G42100.1
OG0000110	jg25795, jg13800, jg13799, jg25794	AT1G36510.1, AT3G32260.1
OG0000111	jg7195, jg7197, jg7196, jg7198	AT1G45063.1
OG0000111	jg26895, jg27877, jg15265	AT3G53330.1
OG0000111	jg13696, jg13695, jg13697	AT4G01380.1
OG0000114	jg10774, jg6734, jg12947, jg16945, jg14091, jg21201, jg6956, jg16952, jg32081, jg32308, jg21203, jg10179, jg13973	AT1G36970.1, AT4G05555.1, AT3G31560.1, AT1G36230.1, AT2G07280.1
OG0000117	jg30936	AT1G23670.2
OG0000117	jg30923, jg30924	AT1G23520.1
OG0000117	jg30934	AT1G23640.1
OG0000117	jg30930	AT1G23590.1
OG0000117	jg30935	AT1G23645.1
OG0000117	jg30938	AT1G23690.1
OG0000118	jg19043	AT2G38590.1
OG0000118	jg12773	AT5G41490.1
OG0000118	jg7426	AT4G10740.1
OG0000118	jg26523	AT3G22870.1
OG0000118	jg24305	AT3G04250.1
OG0000118	jg26630	AT3G25090.1
OG0000118	jg26627	AT3G23685.1
OG0000119	jg14325	AT3G45540.1
OG0000119	jg17260	AT2G26135.1
OG0000119	jg17259, jg17257	AT2G26130.1
OG0000119	jg14055	AT3G43750.1
OG0000119	jg14331, jg4290	AT2G16520.1
OG0000119	jg14313	AT3G45460.1
OG0000119	jg14315, jg14316	AT3G45480.1
OG0000119	jg14330, jg14326, jg14002	AT3G45555.1
OG0000122	jg22488	AT5G56325.1
OG0000122	jg31888	AT1G32375.1
OG0000122	jg21685	AT5G50270.1
OG0000123	jg21770	AT5G51105.1
OG0000123	jg20712	AT5G44495.1
OG0000123	jg27950, jg23041	AT5G42895.1, AT4G09545.1
OG0000123	jg16607	AT3G42565.1
OG0000125	jg17884, jg17877	AT2G28960.2
OG0000125	jg29111	AT1G07560.1
OG0000125	jg33004	AT1G49100.1
OG0000125	jg33352	AT1G51820.1
OG0000125	jg33355	AT1G51850.2
OG0000125	jg33347	AT1G51805.1
OG0000125	jg26323	AT3G21340.1
OG0000125	jg33349	AT1G51810.1
OG0000126	jg27207	AT1G35150.1
OG0000126	jg27206, jg17305	AT3G29638.1
OG0000126	jg27209	AT2G06500.1
OG0000127	jg6123	AT5G22880.1
OG0000127	jg15301	AT3G53650.1
OG0000127	jg3993	AT5G02570.1
OG0000127	jg24874	AT3G09480.1
OG0000127	jg21256	AT1G07790.1
OG0000127	jg22931	AT5G59910.1
OG0000127	jg14378	AT3G45980.1
OG0000127	jg14383	AT3G46030.1
OG0000127	jg17851	AT2G28720.1
OG0000128	jg15969	AT3G59270.1
OG0000128	jg15964	AT3G59230.1
OG0000128	jg15966	AT3G59250.1
OG0000128	jg15965	AT3G59240.1
OG0000128	jg15959	AT3G59200.1
OG0000128	jg15960	AT3G59210.1
OG0000128	jg1161	AT1G58310.1
OG0000128	jg11381	AT4G14103.2
OG0000129	jg1820	AT1G65120.2
OG0000129	jg1822, jg1705, jg1715	AT1G65130.1
OG0000129	jg1847	AT1G65200.1
OG0000129	jg33436, jg33435	AT1G52450.1, AT1G52430.1
OG0000129	jg23141	AT5G61950.1
OG0000129	jg23140	AT5G61940.2
OG0000129	jg17685, jg17683	AT2G27630.1
OG0000129	jg17687	AT2G27650.1
OG0000129	jg21823	AT5G51530.1
OG0000129	jg1819	AT1G65110.2
OG0000130	jg32651, jg20179	AT3G25270.1, AT2G04420.1, AT1G50160.1
OG0000130	jg27275	AT5G43755.1
OG0000130	jg17565	AT2G46460.1, AT1G47497.1
OG0000130	jg20993, jg25905, jg11327	AT2G11205.1
OG0000130	jg9592, jg14104, jg33081	AT1G27870.1, AT1G77815.1
OG0000132	jg15428	AT3G54910.1
OG0000132	jg7387	AT4G10420.1
OG0000132	jg7388	AT4G10400.1
OG0000132	jg12398	AT5G38590.2
OG0000132	jg12389, jg12393, jg12394, jg12395	AT5G38570.1
OG0000132	jg12396	AT5G38580.1
OG0000134	jg1329, jg1326, jg1330, jg1324, jg1320, jg1317, jg1319	AT1G57650.1
OG0000134	jg2013	AT1G65850.2
OG0000134	jg12353	AT5G38340.1
OG0000134	jg14178	AT3G25505.1
OG0000134	jg20706	AT5G44510.1
OG0000137	jg22361	AT5G55330.1
OG0000137	jg32125, jg32130	AT1G34490.1, AT1G34520.1
OG0000137	jg22365	AT5G55360.1
OG0000137	jg22364	AT5G55350.1
OG0000137	jg22363	AT5G55340.1
OG0000138	jg16317	AT3G62440.1
OG0000138	jg15930	AT3G58980.1
OG0000138	jg15926	AT3G58960.1
OG0000138	jg15923	AT3G58920.1
OG0000138	jg15356	AT3G54160.1
OG0000138	jg5387	AT5G15620.1
OG0000141	jg29672	AT1G12290.1
OG0000141	jg29671	AT1G12280.1
OG0000141	jg29664	AT1G12220.1
OG0000141	jg12025	AT1G12210.1
OG0000141	jg654, jg658, jg651, jg653	AT1G62630.1, AT1G63360.1
OG0000141	jg23265	AT5G63020.1
OG0000148	jg32820	AT1G47765.1
OG0000148	jg24959	AT3G10240.1
OG0000148	jg33221	AT1G50870.1
OG0000148	jg32882	AT1G47730.1
OG0000151	jg15451	AT3G55130.1
OG0000151	jg15449	AT3G55110.1
OG0000151	jg15448	AT3G55100.1
OG0000151	jg19118	AT2G39350.1
OG0000151	jg15447	AT3G55090.1
OG0000151	jg15282	AT3G53510.1
OG0000151	jg18884	AT2G37360.1
OG0000151	jg5170	AT5G13580.1
OG0000153	jg17934, jg17935	AT2G29330.1
OG0000153	jg18114	AT2G30670.1
OG0000153	jg17932	AT2G29310.1
OG0000153	jg17933	AT2G29300.2, AT2G29320.1
OG0000153	jg29098	AT1G07450.1
OG0000154	jg33217, jg33218	AT1G50830.1
OG0000154	jg5696, jg5697	AT5G18510.1
OG0000154	jg11063	AT4G16050.1
OG0000154	jg33312	AT1G51538.1
OG0000154	jg33216	AT1G50790.1
OG0000154	jg33214	AT1G50820.2
OG0000157	jg31643	AT1G30790.1
OG0000157	jg31636, jg31639, jg32028, jg31784, jg31916	AT1G32660.1
OG0000160	jg28078	AT2G18960.1
OG0000160	jg9392	AT4G30190.2
OG0000160	jg22635	AT5G57350.1
OG0000160	jg27288	AT2G07560.1
OG0000160	jg13954	AT3G42640.1
OG0000160	jg3697	AT1G80660.1
OG0000160	jg16942	AT2G24520.2
OG0000162	jg18405	AT2G33200.1
OG0000162	jg18404	AT2G33190.1
OG0000162	jg13159, jg13157	AT2G03560.1
OG0000162	jg12338, jg12339	AT5G38270.1
OG0000162	jg26999	AT2G04810.1
OG0000162	jg27001	AT2G04840.1
OG0000163	jg1575, jg27445	AT2G06105.1
OG0000165	jg12066	AT5G36910.1
OG0000166	jg17119	AT2G25470.3
OG0000166	jg3072	AT1G74180.1
OG0000166	jg3073	AT1G74190.1
OG0000167	jg7365	AT4G10190.1
OG0000167	jg26298, jg26296	AT3G21170.1
OG0000167	jg26289, jg14328, jg14329	AT3G21120.1
OG0000167	jg26576, jg26577	AT3G23260.1
OG0000169	jg27660, jg27597	AT2G16220.1
OG0000169	jg27598	AT2G16450.1, AT2G15640.1
OG0000169	jg13088, jg13092, jg13087, jg13090	AT2G02660.1, AT2G02890.1
OG0000169	jg16764	AT2G23160.1
OG0000169	jg32767	AT1G47340.1
OG0000169	jg32768	AT1G47350.1
OG0000170	jg19952	AT2G45580.1
OG0000170	jg16152	AT3G61040.1
OG0000170	jg19951	AT2G45570.1
OG0000170	jg19948	AT2G45560.1
OG0000171	jg22050	AT5G53300.1
OG0000171	jg12793	AT5G41700.4
OG0000171	jg27769	AT2G16740.1
OG0000171	jg22463	AT5G56150.1
OG0000171	jg24782	AT3G08690.1
OG0000174	jg20878	AT1G52603.1
OG0000174	jg12954	AT5G33393.1
OG0000174	jg1495	AT1G67235.1
OG0000175	jg5289	AT5G14670.1
OG0000175	jg20125	AT3G62290.1
OG0000176	jg24440	AT3G05370.1
OG0000176	jg2771	AT1G71390.2
OG0000176	jg2773	AT1G71400.1
OG0000177	jg30666, jg30667	AT1G21240.1
OG0000177	jg30668	AT1G21250.1
OG0000177	jg30665	AT1G21230.1
OG0000177	jg26900	AT3G25490.1
OG0000178	jg7702	AT4G04490.1
OG0000178	jg7704	AT4G04510.2
OG0000178	jg7703	AT4G04500.1
OG0000178	jg7707	AT4G04570.1
OG0000178	jg7705	AT4G04540.1
OG0000179	jg1148	AT1G58390.1
OG0000179	jg1353	AT1G58400.2
OG0000179	jg1150, jg1143	AT1G58410.1
OG0000182	jg16158	AT3G61100.1
OG0000182	jg16157	AT3G61090.1
OG0000183	jg2098, jg12245	AT1G66410.2, AT5G37780.3
OG0000183	jg15648, jg15712, jg19387	AT3G56800.1
OG0000183	jg5984	AT5G21274.1
OG0000183	jg17567	AT2G27030.3
OG0000184	jg26412	AT4G20610.1, AT4G20630.1, AT4G20580.1, AT4G20640.1, AT4G20670.1, AT4G20620.1, AT4G20590.1, AT4G20600.1, AT4G20540.1, AT4G20645.1, AT4G20550.1, AT4G20560.1, AT4G20530.1, AT4G20570.1, AT3G21990.1
OG0000184	jg26410	AT3G21980.1
OG0000184	jg26413	AT3G22000.1, AT4G20680.1
OG0000184	jg26414	AT3G22010.1
OG0000184	jg26416, jg26419	AT3G22030.1
OG0000184	jg26420	AT3G22050.1
OG0000184	jg26422	AT3G22020.1
OG0000184	jg26417, jg26418	AT3G22040.1
OG0000185	jg26094	AT3G19520.3
OG0000185	jg30591	AT1G19060.1
OG0000185	jg31725, jg31727, jg31723	AT1G02770.1
OG0000185	jg30960	AT1G23970.2, AT1G23950.2
OG0000185	jg31379, jg31377	AT1G27860.1, AT1G28500.1
OG0000186	jg21587	AT1G53340.2
OG0000186	jg3970	AT2G13895.1
OG0000186	jg22416	AT5G55800.1
OG0000186	jg22415	AT1G44050.1
OG0000186	jg22417, jg22418	AT5G46660.1
OG0000186	jg13067	AT2G02690.1, AT2G02700.1, AT2G02680.1
OG0000186	jg13066	AT2G02610.1, AT2G02640.1
OG0000186	jg760	AT1G61840.1
OG0000187	jg16584	AT2G21680.1
OG0000187	jg30474	AT1G19460.1, AT1G19470.1
OG0000187	jg18001	AT2G29780.1
OG0000187	jg17979, jg17999	AT2G29770.1
OG0000187	jg17980	AT2G29600.1
OG0000187	jg18002, jg17981	AT2G29800.1
OG0000187	jg17978	AT2G29860.1
OG0000188	jg9422	AT4G29970.1
OG0000188	jg9421	AT3G10790.1
OG0000188	jg24346, jg24347	AT3G04660.1
OG0000189	jg15013	AT3G51300.1
OG0000189	jg8854	AT4G35020.1
OG0000189	jg3242	AT1G75840.1
OG0000189	jg30537	AT1G20090.1
OG0000192	jg647	AT3G51210.1
OG0000192	jg29805	AT1G13420.1
OG0000192	jg9826	AT4G26280.1
OG0000192	jg14270	AT3G45080.1
OG0000193	jg27499	AT2G14710.1
OG0000193	jg25725	AT3G16580.1
OG0000193	jg32770	AT1G47390.1
OG0000193	jg31894, jg31896	AT1G32430.1
OG0000195	jg14467	AT3G46810.1
OG0000195	jg14468	AT3G46800.1
OG0000195	jg12215	AT5G37620.1
OG0000195	jg28161	AT2G19660.2
OG0000195	jg6046	AT5G22355.1
OG0000195	jg22932	AT4G01340.1, AT5G59920.1, AT4G01350.1
OG0000196	jg12776	AT5G41540.1
OG0000196	jg12711	AT5G40910.1
OG0000196	jg12812, jg12806, jg12803, jg12809, jg12800, jg12817, jg12816, jg17734, jg12804, jg12810	AT5G41750.1, AT5G41740.2
OG0000197	jg12242	AT5G37750.1, AT5G37440.1
OG0000197	jg10624	AT4G19570.1
OG0000197	jg10621, jg10622	AT4G19580.1
OG0000197	jg23232	AT5G62780.1
OG0000198	jg12942	AT2G01520.1
OG0000198	jg11388	AT4G14060.1
OG0000198	jg29982	AT1G14960.1
OG0000198	jg31686	AT1G30990.1
OG0000198	jg29979	AT1G14930.1
OG0000198	jg29981	AT1G14950.1
OG0000198	jg13337	AT3G26450.1, AT3G26460.1
OG0000199	jg33326	AT1G51670.1
OG0000199	jg32894	AT1G48180.1
OG0000199	jg9442	AT4G29770.2
OG0000199	jg5645	AT5G18065.1
OG0000199	jg5642	AT5G18040.1
OG0000199	jg9443, jg9444	AT4G29760.1
OG0000200	jg28892	AT1G05550.3
OG0000200	jg28891	AT1G05540.1
OG0000200	jg31559	AT1G30170.1
OG0000200	jg31560	AT1G30160.2
OG0000202	jg8001	AT4G02180.1
OG0000202	jg7534, jg7536	AT4G11550.1
OG0000202	jg7999	AT4G11390.2
OG0000202	jg2493	AT1G69150.1, AT3G43890.1
OG0000202	jg8000	AT4G01925.1
OG0000202	jg7249	AT4G09690.1, AT4G11547.1
OG0000203	jg15846, jg15848	AT3G58250.1
OG0000203	jg15851	AT3G58270.1
OG0000203	jg15863	AT3G58370.1
OG0000203	jg15862	AT3G58360.1
OG0000203	jg15865	AT3G58400.1
OG0000203	jg15861	AT3G58350.1
OG0000208	jg32361, jg11759	AT2G06425.1, AT4G04265.1
OG0000209	jg29693	AT1G12490.1
OG0000209	jg29335	AT1G09650.1
OG0000209	jg4863	AT5G10340.1
OG0000210	jg19859	AT2G44930.1
OG0000210	jg2236	AT1G67150.2
OG0000210	jg16104	AT3G60470.1
OG0000216	jg7641	AT4G00893.1
OG0000216	jg7640	AT4G12370.1
OG0000216	jg7421	AT4G10700.1, AT4G10660.1
OG0000216	jg7420	AT4G10695.1
OG0000216	jg1267	AT1G57790.1
OG0000216	jg15619	AT3G56470.1
OG0000219	jg15293, jg14696	AT3G48835.1
OG0000219	jg17925, jg12743	AT3G48840.1
OG0000219	jg12792	AT5G41690.1
OG0000219	jg12682	AT3G10845.1
OG0000225	jg3556	AT1G78760.1
OG0000225	jg12504, jg2076	AT1G66290.1
OG0000225	jg17554, jg2082, jg2084	AT1G66320.1, AT1G66640.1
OG0000225	jg2083, jg1979	AT1G66310.1
OG0000225	jg2081	AT1G66300.1
OG0000225	jg11400	AT4G13985.1
OG0000225	jg3554	AT1G78730.1
OG0000225	jg2551	AT1G69630.1
OG0000225	jg3555	AT1G78750.1
OG0000226	jg2101	AT1G66440.1
OG0000226	jg2102	AT1G66450.2
OG0000226	jg31434	AT1G29180.1
OG0000226	jg4069	AT3G26250.1, AT3G26240.1
OG0000226	jg21365	AT4G15070.1, AT5G48320.1
OG0000226	jg17810	AT2G28460.1
OG0000226	jg14255	AT5G37210.1, AT5G03355.1
OG0000226	jg7405	AT4G10560.1
OG0000226	jg732	AT1G62030.1
OG0000227	jg24479	AT3G05650.1
OG0000227	jg24480	AT3G05660.1
OG0000227	jg25056	AT3G11010.2, AT5G27060.2, AT3G11080.1
OG0000227	jg25050	AT3G28890.1
OG0000227	jg6481, jg6484	AT5G25910.1
OG0000227	jg27543	AT2G15080.1
OG0000229	jg17464, jg1772	AT5G28820.1
OG0000229	jg23298	AT2G29880.1
