Orthogroup	Arabidopsis_arenosa	Alyssum_gmelinii
OG0000030	jg26153, jg26152, jg2274	Ag014G2144800, Ag014G2145600, Ag014G2146200, Ag014G2146400, Ag014G2146900, Ag014G2147100, Ag014G2147000, Ag014G2146700, Ag014G2145800, Ag014G2145100, Ag014G2144300, Ag014G2147700
OG0000030	jg30787, jg31203, jg31202, jg25536	Ag014G1952600, Ag014G1958800, Ag014G1958700, Ag014G1965000, Ag042G4396900, Ag042G4397700, Ag042G4398200, Ag014G1952300, Ag014G1952400
OG0000030	jg25377, jg1071, jg1537, jg14799, jg17824, jg14802, jg14804, jg2112, jg25382	Ag014G2099300, Ag027G3062200, Ag014G1975300
OG0000030	jg25272	Ag013G1357800
OG0000031	jg21055	Ag012G1290800
OG0000032	jg27281, jg13794, jg27158, jg18577, jg19520, jg25717	Ag005G0786000
OG0000034	jg10193, jg10203, jg10197	Ag093G5459200, Ag033G3498700
OG0000034	jg10204	Ag093G5459500, Ag033G3498900
OG0000034	jg10200	Ag033G3477100, Ag052G4847100
OG0000034	jg10426, jg10425	Ag048G4579800
OG0000034	jg10175, jg10176	Ag033G3496000, Ag077G5324500
OG0000034	jg10202, jg10195, jg10208	Ag033G3500200, Ag093G5460400
OG0000034	jg10177	Ag033G3498800, Ag093G5459400
OG0000035	jg32621, jg13872	Ag061G5042200, Ag007G0851700, Ag007G0851600, Ag015G2256800, Ag031G3385600
OG0000035	jg6998, jg7008, jg32675, jg6987, jg1581	Ag093G5463700
OG0000040	jg26952	Ag039G4283900
OG0000042	jg11609	Ag046G4535300, Ag066G5171000, Ag024G2870100
OG0000042	jg33373	Ag007G0876900, Ag096G5474100
OG0000042	jg2222	Ag011G1070600
OG0000042	jg17129, jg6977	Ag023G2817300, Ag039G4253700, Ag002G0154100
OG0000042	jg33374, jg32294, jg32380	Ag009G0976800, Ag006G0824100
OG0000044	jg21039	Ag087G5424800
OG0000044	jg20417	Ag016G2313400
OG0000046	jg29315, jg17523, jg14196, jg1035, jg17283, jg1573, jg1834, jg309, jg32416, jg1572, jg1555, jg21339	Ag004G0691700
OG0000048	jg18309, jg18271	Ag013G1657300, Ag013G1657200, Ag013G1657100, Ag013G1657000, Ag013G1657400, Ag013G1658600, Ag013G1658500, Ag013G1651500, Ag013G1657700, Ag022G2632300
OG0000048	jg18210, jg18207	Ag034G3744100, Ag013G1648400, Ag016G2390700, Ag013G1573400, Ag013G1573000, Ag013G1626000, Ag013G1648500, Ag013G1647900
OG0000048	jg740	Ag032G3445200, Ag048G4573000
OG0000050	jg11604	Ag002G0166000
OG0000050	jg14086	Ag019G2535000, Ag013G1454200, Ag002G0129500, Ag014G1805000, Ag002G0202200, Ag015G2221900, Ag015G2264900, Ag025G2919100, Ag014G2113900
OG0000050	jg19949, jg4268	Ag016G2298800, Ag034G3860900, Ag015G2213900, Ag020G2565400, Ag003G0365400, Ag022G2666500, Ag013G1429800, Ag023G2797800, Ag078G5357100, Ag088G5430600, Ag006G0803400, Ag034G3970700, Ag066G5153700
OG0000050	jg1167, jg27469, jg7250, jg20411, jg7021, jg12231, jg18866, jg13112, jg13499, jg21057, jg8024, jg14182, jg14025, jg21900, jg21898, jg13958, jg1166, jg11079	Ag027G3020100, Ag013G1440200, Ag022G2649500, Ag066G5147200, Ag001G0043200, Ag024G2885900
OG0000051	jg29349	Ag034G3687900
OG0000051	jg19557	Ag003G0386300, Ag003G0378700, Ag003G0386600
OG0000051	jg19555	Ag003G0386800
OG0000051	jg19558	Ag003G0386200
OG0000051	jg907	Ag003G0387300
OG0000051	jg19554	Ag003G0387500
OG0000051	jg19560	Ag003G0385100, Ag003G0385000, Ag003G0384900
OG0000052	jg20319	Ag032G3434200, Ag032G3433000
OG0000055	jg25886, jg26868	Ag034G4065400
OG0000055	jg26019, jg12073	Ag014G2041700
OG0000055	jg25753, jg12035	Ag014G2041600
OG0000055	jg28057, jg28058	Ag014G2046500, Ag014G2046000, Ag014G2045800, Ag001G0027100
OG0000056	jg674	Ag002G0158500
OG0000056	jg14491	Ag002G0180000
OG0000058	jg16618	Ag001G0033300, Ag033G3511000, Ag006G0820100
OG0000058	jg6976, jg13931, jg17384, jg1485, jg16419, jg27812, jg17098, jg11852	Ag007G0902800, Ag002G0124000, Ag002G0117600, Ag027G3030700, Ag004G0691500
OG0000058	jg299, jg32415, jg1839, jg11724, jg1567, jg17278, jg1046, jg17522, jg31083, jg21000	Ag027G3040100, Ag048G4695000, Ag056G4940000
OG0000059	jg31675, jg32414	Ag038G4156200
OG0000060	jg14371	Ag034G3746900
OG0000060	jg14419	Ag004G0636900, Ag004G0629900
OG0000061	jg32915, jg32919, jg32548, jg32845, jg32861, jg32993	Ag025G2916200, Ag025G2916400, Ag025G2916000, Ag025G2915500, Ag025G2917200, Ag025G2915700, Ag025G2913000, Ag002G0098300
OG0000061	jg1961, jg32859, jg32550, jg32843, jg32866, jg32855	Ag007G0932800, Ag024G2852400, Ag002G0098400, Ag025G2913600
OG0000061	jg32841, jg32864, jg32857, jg32551	Ag025G2914700
OG0000061	jg18012	Ag013G1627600
OG0000061	jg18014	Ag034G4019600, Ag002G0211100, Ag048G4647300, Ag013G1624000, Ag013G1628000, Ag013G1629700, Ag013G1630400, Ag013G1630000, Ag013G1629500, Ag013G1629400, Ag013G1628500, Ag013G1600300, Ag013G1627700, Ag013G1626500, Ag013G1627000
OG0000061	jg20934	Ag056G4940400
OG0000062	jg21178	Ag033G3580500, Ag033G3643400, Ag090G5454300, Ag043G4453100, Ag023G2814500, Ag045G4510200
OG0000062	jg32622, jg13871, jg7029	Ag035G4080000, Ag066G5159400, Ag002G0144600, Ag003G0364100, Ag011G1174400
OG0000065	jg2189, jg2206, jg2209, jg2212, jg2195	Ag016G2372900, Ag016G2372400
OG0000066	jg1404, jg13471, jg4871	Ag004G0438400
OG0000066	jg29279	Ag034G3780100
OG0000066	jg4927	Ag013G1513800, Ag048G4702700, Ag011G1062400, Ag011G1062500
OG0000067	jg20815, jg24929, jg28031, jg1126, jg17679	Ag031G3153400, Ag034G4009600
OG0000067	jg14038	Ag013G1533100
OG0000067	jg14037	Ag007G0854100, Ag013G1533000
OG0000068	jg4186, jg4261, jg4260, jg24839, jg24838	Ag011G1073300, Ag011G1073200, Ag014G1989500, Ag011G1073900
OG0000069	jg16351	Ag048G4644300, Ag048G4643100
OG0000070	jg29403, jg28225, jg28226, jg13116, jg13115	Ag039G4215000
OG0000070	jg16631, jg30544, jg4483	Ag034G3976800
OG0000070	jg3251	Ag048G4685000
OG0000070	jg16054	Ag025G2960200, Ag025G2959800, Ag025G2962600, Ag025G2962700, Ag025G2947000, Ag025G2946300, Ag025G2959700, Ag025G2959400, Ag025G2974100, Ag025G2973400, Ag025G2973600, Ag025G2946200, Ag025G2946900
OG0000072	jg12110	Ag051G4812200
OG0000072	jg12160, jg21424, jg13720, jg16912, jg21612, jg6475, jg20956, jg7100, jg12084, jg27349, jg7332, jg11849	Ag039G4320700
OG0000072	jg22195, jg8019, jg20178	Ag067G5173800, Ag020G2570900, Ag011G1215000, Ag022G2752500, Ag011G1246100, Ag001G0081500, Ag033G3527000, Ag011G1215100, Ag039G4238000, Ag055G4918900, Ag039G4305000, Ag068G5225100
OG0000072	jg25787	Ag002G0206800
OG0000073	jg13268	Ag015G2241600
OG0000073	jg32690	Ag077G5319300
OG0000073	jg7434	Ag028G3078200
OG0000073	jg30965	Ag048G4568000, Ag034G3947900
OG0000075	jg8424, jg8422	Ag011G1157100, Ag011G1157200, Ag011G1157900, Ag011G1158100, Ag011G1157500, Ag011G1157400, Ag011G1157700, Ag011G1157800, Ag011G1157600, Ag048G4682200, Ag011G1050300, Ag011G1158000
OG0000075	jg26472, jg32685, jg32682, jg32692, jg8427	Ag011G1133100, Ag022G2654400
OG0000075	jg8426	Ag011G1119800, Ag011G1120100, Ag011G1120000
OG0000076	jg8362	Ag011G1037000
OG0000077	jg13131	Ag034G3937600, Ag034G3937000, Ag001G0019700, Ag025G2944900
OG0000077	jg902, jg1249	Ag002G0173900
OG0000078	jg24239, jg24236	Ag014G1809300, Ag014G1810300
OG0000078	jg24237	Ag014G1810400
OG0000079	jg7377	Ag013G1457500, Ag048G4621400, Ag034G3932500, Ag057G4952600, Ag031G3220200, Ag096G5473600, Ag004G0591700, Ag013G1365900, Ag011G1219700, Ag013G1389800, Ag004G0767900, Ag066G5147300, Ag018G2444300, Ag022G2658800
OG0000080	jg6819	Ag052G4837300, Ag013G1389600, Ag039G4333600, Ag057G4952500, Ag013G1421000
OG0000080	jg21120	Ag025G2955200, Ag031G3220300, Ag042G4408900, Ag025G2921000, Ag024G2850500, Ag007G0892400, Ag014G1963800, Ag013G1458800, Ag031G3395500, Ag011G1186400, Ag048G4623700
OG0000081	jg20814	Ag034G4022300
OG0000081	jg5265, jg31440, jg25892, jg12998, jg14036, jg6463	Ag019G2512100, Ag066G5159500, Ag002G0249600, Ag043G4447600, Ag014G2017300
OG0000086	jg12270	Ag039G4314100, Ag014G2067200, Ag014G2064700, Ag012G1307900, Ag014G2067300
OG0000086	jg12265, jg12276	Ag025G2922800
OG0000086	jg2128, jg2129	Ag036G4084000
OG0000089	jg6235	Ag004G0519800
OG0000089	jg17972	Ag013G1621300
OG0000089	jg5068	Ag013G1488000
OG0000089	jg20749	Ag016G2360800
OG0000089	jg10485	Ag033G3591100
OG0000089	jg18593	Ag023G2824600
OG0000089	jg3235	Ag048G4693300
OG0000090	jg20882	Ag062G5054300, Ag007G0888700
OG0000090	jg6910	Ag055G4921900
OG0000091	jg17633	Ag039G4278700, Ag006G0816700
OG0000091	jg5910	Ag004G0570300
OG0000095	jg17289	Ag016G2362700, Ag016G2305100, Ag024G2851600, Ag006G0800000, Ag016G2308200, Ag006G0799900
OG0000095	jg16996	Ag039G4205200
OG0000096	jg17690, jg17691, jg17695, jg26888, jg26886	Ag002G0154900
OG0000096	jg27435	Ag002G0165500
OG0000098	jg27221, jg27229, jg27223, jg27264, jg27107	Ag011G1254000, Ag011G1253500
OG0000098	jg16874	Ag013G1485800, Ag021G2621100
OG0000098	jg31283, jg17594, jg11987	Ag004G0531500
OG0000098	jg2306	Ag040G4345100
OG0000098	jg17595, jg31284	Ag004G0482500, Ag004G0482700, Ag014G2044400
OG0000100	jg472	Ag002G0106500
OG0000100	jg492	Ag002G0112700, Ag063G5079400
OG0000100	jg471	Ag063G5086400, Ag002G0116500
OG0000101	jg27510	Ag024G2897100, Ag015G2244100, Ag015G2195700, Ag037G4126400, Ag017G2433300, Ag013G1679700
OG0000102	jg7820	Ag016G2365600
OG0000102	jg21543, jg7817	Ag016G2365900, Ag016G2370500, Ag016G2369900
OG0000102	jg7819	Ag016G2370600
OG0000102	jg7810	Ag016G2392700, Ag016G2377000, Ag016G2370800
OG0000105	jg14191, jg14194	Ag011G1082400
OG0000105	jg12802, jg12815	Ag048G4578200
OG0000105	jg1379	Ag024G2859800, Ag002G0126400, Ag002G0126500, Ag013G1589800
OG0000105	jg12094	Ag048G4614100
OG0000107	jg17559, jg17556	Ag014G1858900
OG0000107	jg26161	Ag014G2149500
OG0000107	jg26159	Ag014G2149100
OG0000107	jg26160	Ag014G2149800
OG0000107	jg26163	Ag014G2150100
OG0000108	jg15311	Ag031G3385800, Ag039G4307100
OG0000108	jg14433, jg22870	Ag004G0614200, Ag004G0644200
OG0000108	jg4799	Ag052G4856100, Ag013G1537900
OG0000108	jg19509, jg19508	Ag003G0396500
OG0000109	jg17478, jg27454, jg27058, jg17336, jg17450, jg13895, jg1859, jg2002, jg16476, jg16484, jg29790, jg9963, jg2091, jg11738, jg13945	Ag029G3099600
OG0000115	jg32874, jg29546	Ag032G3465800
OG0000117	jg30936	Ag019G2506600, Ag018G2460700
OG0000117	jg30934	Ag018G2454400, Ag018G2459300
OG0000117	jg30937	Ag018G2459400
OG0000117	jg30938	Ag088G5431700
OG0000117	jg30929	Ag022G2713800, Ag018G2459500, Ag018G2459700, Ag078G5340800, Ag011G1218200, Ag033G3621900, Ag078G5340900
OG0000118	jg19019, jg19043, jg19023, jg19021, jg19020, jg12773	Ag078G5395500, Ag034G4070400, Ag002G0250500
OG0000118	jg2028, jg2031, jg2038, jg2030, jg7426	Ag072G5253200
OG0000119	jg22962	Ag004G0623100, Ag004G0623400
OG0000119	jg14325	Ag034G3967000
OG0000119	jg14055	Ag019G2548800, Ag013G1361500
OG0000119	jg14331, jg4290	Ag031G3224900
OG0000119	jg14330, jg14326	Ag013G1505800
OG0000122	jg22485	Ag011G1267200
OG0000122	jg22508	Ag004G0718500
OG0000124	jg27681	Ag049G4732800
OG0000125	jg17897	Ag013G1613200
OG0000125	jg17896	Ag013G1612600
OG0000125	jg29111	Ag034G3743800
OG0000125	jg33004	Ag001G0065100
OG0000125	jg33352, jg33355	Ag001G0066100
OG0000125	jg33354	Ag001G0065800
OG0000125	jg26323	Ag027G3062400
OG0000125	jg33349	Ag001G0065900
OG0000127	jg29136	Ag034G3746600
OG0000127	jg6123	Ag004G0605400
OG0000127	jg15301	Ag031G3386800, Ag039G4310500
OG0000127	jg22931, jg14378, jg14383, jg17851	Ag013G1609800
OG0000128	jg15969	Ag031G3245400, Ag031G3245300, Ag031G3245200
OG0000128	jg20835	Ag031G3351100
OG0000128	jg15966	Ag031G3245700, Ag031G3245600
OG0000128	jg15959	Ag031G3246800, Ag031G3247000, Ag031G3246900
OG0000128	jg15960	Ag031G3246700
OG0000128	jg1161, jg11381	Ag031G3249200, Ag031G3249100, Ag031G3248800, Ag031G3351900, Ag031G3350800, Ag031G3350000, Ag031G3350700, Ag002G0204500, Ag031G3349900
OG0000129	jg1820	Ag013G1553100, Ag013G1550500, Ag013G1552900, Ag016G2401500, Ag013G1550300
OG0000129	jg1832	Ag013G1673500, Ag013G1673600
OG0000130	jg32651, jg20179	Ag074G5269900
OG0000130	jg27275	Ag018G2457000
OG0000132	jg23313	Ag004G0468600, Ag004G0468500
OG0000132	jg12398, jg12389, jg12393, jg12394, jg12395	Ag039G4243000, Ag039G4243200, Ag039G4241900
OG0000134	jg4953	Ag013G1506600
OG0000136	jg13269	Ag002G0180300
OG0000137	jg22366, jg22365	Ag004G0742000
OG0000137	jg22364	Ag004G0742300
OG0000137	jg22363	Ag004G0742500, Ag004G0742600
OG0000137	jg21872	Ag039G4193200
OG0000138	jg15930	Ag031G3253900
OG0000138	jg15926	Ag033G3506400, Ag078G5363200
OG0000138	jg15937	Ag031G3319900, Ag031G3319600, Ag031G3253400, Ag031G3253300, Ag003G0293800
OG0000138	jg15932	Ag031G3253700, Ag031G3403500
OG0000138	jg16316	Ag031G3182800
OG0000138	jg15356	Ag031G3182200, Ag031G3182000, Ag039G4256800
OG0000140	jg1149	Ag027G3064900
OG0000140	jg6686	Ag002G0186700
OG0000140	jg832	Ag039G4233000
OG0000140	jg13730, jg32189	Ag014G2136000
OG0000140	jg14078, jg1761, jg1441	Ag038G4173300, Ag022G2672800, Ag033G3478700
OG0000140	jg14412, jg13729	Ag011G1144500
OG0000141	jg29677	Ag034G3821900
OG0000148	jg5636	Ag013G1622400, Ag034G3735700
OG0000151	jg15449	Ag031G3356400
OG0000151	jg15448	Ag031G3356700
OG0000151	jg19118	Ag039G4248200
OG0000151	jg15447	Ag031G3356800
OG0000151	jg15282	Ag031G3389200
OG0000151	jg18884	Ag039G4314300
OG0000151	jg5170	Ag013G1463800
OG0000153	jg17934, jg17935	Ag013G1617600, Ag013G1618100
OG0000153	jg18114	Ag013G1616400
OG0000153	jg17933	Ag013G1615700
OG0000154	jg33217, jg33218, jg5696, jg5697	Ag001G0045800
OG0000154	jg11063	Ag053G4872200
OG0000154	jg33219	Ag001G0045900
OG0000154	jg33216, jg33214, jg33213, jg1392, jg1393, jg33212	Ag001G0045400, Ag001G0045500, Ag001G0045200, Ag001G0045100, Ag001G0045300, Ag001G0049100, Ag002G0262200
OG0000155	jg11573, jg32701, jg22135, jg26608	Ag013G1584700
OG0000157	jg31640	Ag013G1747900, Ag014G2127200
OG0000157	jg31636, jg31639	Ag013G1573100, Ag013G1573300, Ag013G1572900, Ag013G1573200, Ag013G1510300, Ag013G1510500, Ag013G1510800, Ag013G1510100, Ag013G1750400, Ag013G1750900, Ag013G1750300, Ag013G1751200, Ag013G1750800, Ag013G1744300, Ag007G0933400, Ag022G2711500, Ag022G2708900, Ag013G1473500
OG0000157	jg31916	Ag046G4529800, Ag013G1572800
OG0000158	jg8653	Ag011G1092000
OG0000158	jg10511	Ag014G2168100, Ag027G3073200, Ag027G3072400
OG0000158	jg16699, jg28264, jg5270, jg28263, jg7562, jg7551, jg11407	Ag014G1900800
OG0000160	jg28078	Ag042G4405700
OG0000160	jg9392	Ag068G5221600
OG0000160	jg22635	Ag004G0692900
OG0000160	jg3697	Ag048G4572800
OG0000161	jg6881, jg12949, jg10772, jg12951	Ag015G2193300, Ag055G4906800
OG0000162	jg20943	Ag013G1672500
OG0000162	jg13164, jg13159, jg13157, jg5057, jg13161, jg13155, jg13158, jg13160, jg12338, jg12339	Ag011G1165200, Ag011G1165400, Ag011G1163300, Ag011G1163400, Ag011G1167300, Ag011G1167100, Ag011G1166900, Ag011G1222300
OG0000162	jg26999, jg27000, jg27001	Ag014G2098100
OG0000162	jg18412, jg18409, jg18408	Ag013G1672600
OG0000164	jg6848, jg11792, jg7487, jg11793	Ag025G2923700, Ag048G4709500
OG0000164	jg27251	Ag006G0821000
OG0000164	jg6850	Ag039G4325700
OG0000166	jg3074	Ag078G5376600
OG0000167	jg26294, jg26576, jg26577	Ag003G0383500, Ag003G0383700
OG0000169	jg11594, jg11592	Ag031G3259300, Ag031G3259700, Ag031G3259400, Ag027G3044600, Ag013G1504100, Ag013G1503900
OG0000170	jg16152	Ag031G3214400
OG0000170	jg16151	Ag031G3214600
OG0000170	jg19948	Ag003G0320000
OG0000171	jg22050	Ag020G2575200
OG0000171	jg27769	Ag044G4495800
OG0000171	jg22463	Ag004G0721800
OG0000171	jg24782	Ag014G1883300
OG0000173	jg8491	Ag011G1059500
OG0000173	jg8629	Ag060G4997300, Ag060G4996700, Ag060G4997500, Ag060G4997700, Ag060G4996200, Ag060G4997100, Ag022G2648900, Ag022G2648400, Ag022G2648200, Ag067G5186700, Ag011G1085300
OG0000173	jg13671	Ag011G1199300
OG0000173	jg8611, jg8545	Ag068G5224200, Ag068G5224000, Ag011G1085700
OG0000173	jg8547	Ag033G3597600
OG0000174	jg21576, jg27974, jg7024, jg9836, jg1719, jg13725	Ag064G5095900, Ag013G1514400, Ag004G0425200, Ag042G4401700, Ag072G5254600, Ag039G4257400, Ag014G1813500, Ag011G1172800
OG0000174	jg20878	Ag025G2929800
OG0000174	jg1495	Ag043G4452900
OG0000175	jg5289	Ag013G1441100
OG0000175	jg16299	Ag003G0294400, Ag012G1302600, Ag031G3188000
OG0000176	jg24440, jg16886, jg16884, jg16885	Ag014G1823200, Ag014G1822800, Ag014G1822900, Ag014G1823300, Ag014G1822700
OG0000176	jg32007	Ag014G1833200
OG0000177	jg30666, jg30667, jg30662, jg30668, jg30670, jg30665	Ag034G3998900, Ag034G3998500, Ag034G3998600
OG0000177	jg3362	Ag004G0483700
OG0000178	jg7702	Ag066G5142800
OG0000178	jg7704	Ag016G2366900, Ag016G2366600
OG0000178	jg7703	Ag016G2366000, Ag016G2366700
OG0000178	jg7707, jg7705, jg32186	Ag066G5144100, Ag066G5143400
OG0000182	jg15782, jg15779, jg32711, jg15778, jg16268, jg15781	Ag013G1406700
OG0000183	jg2098, jg12245	Ag061G5037800
OG0000183	jg15648, jg15712, jg19387	Ag031G3311200
OG0000183	jg5984, jg17567	Ag013G1588300
OG0000184	jg26401	Ag027G3048800
OG0000184	jg26412, jg26410, jg26411	Ag027G3048100
OG0000184	jg26422	Ag027G3047400
OG0000184	jg26417, jg26418	Ag027G3047200, Ag027G3046800
OG0000185	jg30960, jg31379, jg31377	Ag032G3420100
OG0000186	jg760	Ag039G4226500
OG0000186	jg19241	Ag031G3213700
OG0000187	jg18001, jg17979, jg17999, jg17980, jg18002, jg17981, jg17978	Ag034G3783000
OG0000188	jg5008, jg5007, jg5020, jg5022, jg5021, jg24303	Ag063G5067000, Ag002G0125500, Ag014G1815800
OG0000188	jg24346, jg24347	Ag014G1820500, Ag014G1820600, Ag011G1195700
OG0000188	jg24349, jg24348	Ag042G4428600, Ag042G4412400, Ag014G1989600
OG0000189	jg8854	Ag044G4495700
OG0000189	jg3242, jg30537	Ag048G4687900
OG0000192	jg647	Ag034G3846600, Ag050G4764200
OG0000193	jg32771, jg25724	Ag014G2033900
OG0000193	jg25726, jg27497, jg27499, jg27501, jg21538, jg27017, jg25725	Ag014G2035100, Ag014G2034500, Ag014G2034300, Ag014G2034200
OG0000193	jg32770	Ag014G2096100, Ag014G2096200, Ag014G2036800, Ag034G3813900
OG0000195	jg22932	Ag004G0630200
OG0000196	jg12778	Ag048G4576200, Ag048G4575400, Ag075G5300100, Ag011G1221400, Ag048G4578300, Ag078G5371100
OG0000197	jg10625, jg12243, jg10623	Ag001G0061800, Ag032G3452100, Ag033G3647000, Ag033G3646800
OG0000197	jg12242	Ag033G3647600, Ag033G3647500
OG0000198	jg12942	Ag039G4275700
OG0000198	jg11388	Ag027G3046500
OG0000198	jg29982, jg31686	Ag034G3876100, Ag034G3875700, Ag034G3875800, Ag034G3876300, Ag034G3876400
OG0000198	jg29979, jg29981	Ag034G3875600
OG0000198	jg13337	Ag034G3844000, Ag033G3487200, Ag077G5316000
OG0000199	jg33326, jg32894	Ag068G5227600, Ag031G3205000
OG0000200	jg28892	Ag034G3715300, Ag034G3715100, Ag034G3715600
OG0000200	jg31432, jg28891	Ag034G3715200, Ag034G3715500
OG0000200	jg31559, jg31560, jg31558	Ag034G3715400
OG0000202	jg8001	Ag022G2638600, Ag022G2638700, Ag022G2638400, Ag022G2633500, Ag022G2638100, Ag048G4675800
OG0000202	jg7534, jg7536, jg7538, jg7531, jg7506, jg7999	Ag019G2492100
OG0000202	jg7249	Ag048G4676700
OG0000203	jg15846, jg15848	Ag031G3273700, Ag031G3272800, Ag031G3272600, Ag070G5235400
OG0000203	jg15851	Ag031G3304300
OG0000203	jg15862	Ag031G3270000
OG0000203	jg15861	Ag031G3270800
OG0000206	jg23550	Ag003G0367500
OG0000208	jg21410, jg11762, jg17188, jg32157, jg21192, jg32818, jg12460, jg71, jg13677, jg27335, jg1616, jg20827, jg23855, jg27196, jg32317, jg32048, jg1612, jg27113, jg11473, jg11621, jg27114, jg11472, jg11622, jg8263, jg6904, jg13887, jg11691, jg25739, jg16962, jg32361, jg11759	Ag008G0951300, Ag029G3116900, Ag034G3931200, Ag013G1421500
OG0000209	jg21051, jg1344	Ag034G3863700
OG0000209	jg4863, jg4865	Ag013G1527000, Ag013G1527200, Ag013G1526500
OG0000210	jg19859	Ag003G0329800, Ag003G0330000
OG0000210	jg2236	Ag002G0166900
OG0000210	jg2036	Ag004G0616900
OG0000210	jg19860	Ag031G3221000
OG0000210	jg16104	Ag031G3221400, Ag031G3221100, Ag031G3221200
OG0000215	jg12459, jg1615, jg32047, jg27336, jg20828, jg32156, jg32318	Ag007G0896700
OG0000216	jg7640	Ag030G3133600
OG0000216	jg7421, jg7420	Ag030G3134000, Ag030G3134400, Ag030G3133900
OG0000216	jg1267	Ag002G0262400
OG0000216	jg15619	Ag031G3320500
