Orthogroup	Arabidopsis_arenosa	Rorippa_islandica
OG0000055	jg27919	Roisl.0066s0141.1.p, Roisl.0066s0140.1.p, Roisl.0028s0608.1.p
OG0000055	jg25830	Roisl.0074s0210.1.p
OG0000056	jg748	Roisl.0209s0766.1.p
OG0000056	jg721	Roisl.0209s0593.1.p
OG0000056	jg726	Roisl.0019s0013.1.p, Roisl.0209s0606.1.p, Roisl.0209s0600.1.p
OG0000056	jg745	Roisl.0209s0615.1.p, Roisl.0209s0596.1.p, Roisl.0209s0605.1.p
OG0000056	jg14491	Roisl.0209s0402.1.p
OG0000059	jg1077, jg4817, jg25268, jg5943, jg32839, jg11480, jg33384, jg28178	Roisl.0209s0123.1.p, Roisl.0214s0002.1.p
OG0000059	jg27640, jg13837	Roisl.0019s0008.1.p, Roisl.0027s0012.1.p, Roisl.0214s0427.1.p, Roisl.0018s0107.1.p, Roisl.0010s0148.1.p, Roisl.0214s0190.1.p
OG0000060	jg22936	Roisl.0080s0305.1.p
OG0000061	jg32915, jg32919, jg32548, jg32845, jg32861, jg32993	Roisl.0045s0092.1.p
OG0000061	jg18005	Roisl.0033s0063.1.p, Roisl.0033s0004.1.p
OG0000064	jg20978, jg20976, jg20985, jg20983, jg20984, jg20981, jg20982, jg20980, jg20974, jg20975, jg20973, jg20977, jg20979	Roisl.0214s0881.1.p, Roisl.0214s0876.1.p, Roisl.0214s0874.1.p, Roisl.0214s0875.1.p, Roisl.0214s0873.1.p, Roisl.0214s0877.1.p, Roisl.0214s0880.1.p, Roisl.0214s0867.1.p, Roisl.0214s0869.1.p, Roisl.0214s0872.1.p, Roisl.0214s0870.1.p, Roisl.0214s0868.1.p, Roisl.0214s0871.1.p, Roisl.0214s0879.1.p, Roisl.0214s0878.1.p, Roisl.0214s0820.1.p, Roisl.0214s0819.1.p, Roisl.0214s0817.1.p, Roisl.0214s0816.1.p, Roisl.0214s0823.1.p, Roisl.0214s0812.1.p, Roisl.0214s0814.1.p, Roisl.0214s0818.1.p, Roisl.0214s0822.1.p
OG0000065	jg2192, jg2154, jg2152	Roisl.0024s0085.1.p
OG0000065	jg2206	Roisl.0024s0082.1.p
OG0000065	jg2209, jg2212, jg2195	Roisl.0024s0073.1.p
OG0000065	jg2188, jg2193	Roisl.0024s0063.1.p
OG0000065	jg6601	Roisl.0046s0037.1.p, Roisl.0046s0036.1.p
OG0000065	jg12337	Roisl.0046s0029.1.p, Roisl.0046s0026.1.p
OG0000065	jg12331	Roisl.0046s0032.1.p
OG0000065	jg12464	Roisl.0213s0852.1.p
OG0000066	jg13471, jg4871	Roisl.0210s0757.1.p
OG0000066	jg29279	Roisl.0024s0428.1.p
OG0000066	jg4927	Roisl.0210s0812.1.p, Roisl.0001s0457.1.p
OG0000066	jg30515	Roisl.0007s0395.1.p
OG0000067	jg14038	Roisl.0214s0162.1.p
OG0000068	jg4186, jg4261, jg4260, jg24839, jg24838	Roisl.0034s0163.1.p
OG0000068	jg32039, jg24042, jg24037, jg24035	Roisl.0191s0458.1.p
OG0000068	jg32043	Roisl.0011s0290.1.p, Roisl.0011s0090.1.p, Roisl.0011s0092.1.p
OG0000068	jg22052, jg22033, jg22034	Roisl.0011s0041.1.p
OG0000068	jg4088, jg4089, jg14390, jg14389, jg14204, jg4055	Roisl.0030s0031.1.p, Roisl.0030s0062.1.p, Roisl.0030s0114.1.p, Roisl.0046s0004.1.p, Roisl.0030s0024.1.p, Roisl.0030s0025.1.p
OG0000069	jg16351	Roisl.0115s0002.1.p
OG0000069	jg15319	Roisl.0213s0875.1.p
OG0000069	jg28492	Roisl.0210s0292.1.p, Roisl.0188s0098.1.p
OG0000069	jg14067	Roisl.0013s0226.1.p
OG0000069	jg15499	Roisl.0046s1591.1.p
OG0000069	jg16809	Roisl.0074s0568.1.p
OG0000070	jg29403	Roisl.0021s0078.1.p
OG0000070	jg28225, jg28226, jg13116, jg13115	Roisl.0011s0203.1.p, Roisl.0011s0205.1.p
OG0000070	jg16631, jg30544, jg4483	Roisl.0007s0115.1.p
OG0000070	jg3251	Roisl.0004s0297.1.p
OG0000070	jg21183	Roisl.0075s0011.1.p
OG0000073	jg32690	Roisl.0045s0095.1.p, Roisl.0005s0073.1.p
OG0000075	jg21647	Roisl.0214s0076.1.p
OG0000075	jg8428	Roisl.0001s0513.1.p
OG0000075	jg8426	Roisl.0001s0516.1.p
OG0000075	jg21500, jg21501, jg21503	Roisl.0006s0180.1.p
OG0000075	jg32683, jg20353	Roisl.0046s0019.1.p
OG0000075	jg933	Roisl.0001s0335.1.p
OG0000076	jg8362	Roisl.0115s0707.1.p
OG0000076	jg18482	Roisl.0028s0782.1.p
OG0000077	jg20644	Roisl.0012s0354.1.p
OG0000077	jg2240	Roisl.0024s0105.1.p
OG0000077	jg1310	Roisl.0214s0841.1.p, Roisl.0214s0839.1.p
OG0000077	jg1247	Roisl.0214s0808.1.p
OG0000077	jg13128	Roisl.0214s0216.1.p, Roisl.0011s0228.1.p, Roisl.0011s0225.1.p, Roisl.0011s0220.1.p, Roisl.0011s0216.1.p, Roisl.0011s0221.1.p, Roisl.0011s0226.1.p, Roisl.0011s0219.1.p
OG0000077	jg29337	Roisl.0021s0004.1.p
OG0000077	jg902, jg1249	Roisl.0214s0806.1.p
OG0000078	jg24239	Roisl.0016s0324.1.p
OG0000078	jg5641, jg5643	Roisl.0210s1509.1.p, Roisl.0210s1512.1.p, Roisl.0210s1510.1.p
OG0000078	jg5648	Roisl.0210s1507.1.p, Roisl.0210s1503.1.p, Roisl.0210s1513.1.p
OG0000079	jg7377	Roisl.0115s0280.1.p, Roisl.0075s0090.1.p, Roisl.0001s0523.1.p, Roisl.0115s0647.1.p, Roisl.0006s0142.1.p, Roisl.0214s0213.1.p, Roisl.0211s0009.1.p
OG0000081	jg5265, jg31440, jg25892, jg12998, jg14036, jg6463	Roisl.0206s0028.1.p, Roisl.0036s0071.1.p, Roisl.0209s0160.1.p, Roisl.0038s0020.1.p, Roisl.0020s0165.1.p
OG0000086	jg23234	Roisl.0024s0148.1.p
OG0000086	jg12259	Roisl.0032s0025.1.p
OG0000086	jg12260	Roisl.0214s0709.1.p
OG0000086	jg12281	Roisl.0032s0015.1.p
OG0000086	jg2126, jg2127	Roisl.0024s0029.1.p
OG0000089	jg6235	Roisl.0210s2052.1.p
OG0000089	jg23223	Roisl.0024s0139.1.p
OG0000089	jg17972	Roisl.0082s0748.1.p
OG0000089	jg5068	Roisl.0210s0950.1.p
OG0000089	jg20749	Roisl.0012s0263.1.p
OG0000089	jg10485	Roisl.0091s0246.1.p
OG0000089	jg18593	Roisl.0028s0886.1.p
OG0000089	jg30528	Roisl.0007s0134.1.p
OG0000089	jg3235	Roisl.0004s0314.1.p
OG0000090	jg20882	Roisl.0184s0229.1.p
OG0000090	jg17424	Roisl.0204s0185.1.p, Roisl.0188s0033.1.p
OG0000091	jg14507	Roisl.0209s0425.1.p, Roisl.0214s0805.1.p
OG0000091	jg14545, jg14558	Roisl.0209s0467.1.p
OG0000091	jg5910	Roisl.0070s0019.1.p, Roisl.0210s1772.1.p, Roisl.0210s1773.1.p
OG0000091	jg21695	Roisl.0214s0193.1.p
OG0000091	jg14562	Roisl.0209s0470.1.p
OG0000091	jg27525	Roisl.0209s0421.1.p
OG0000092	jg1807	Roisl.0066s0386.1.p
OG0000092	jg14356	Roisl.0214s0403.1.p, Roisl.0195s0026.1.p, Roisl.0046s1255.1.p
OG0000092	jg17518	Roisl.0213s0052.1.p
OG0000092	jg32487	Roisl.0066s0385.1.p, Roisl.0204s0106.1.p
OG0000092	jg1461, jg26673	Roisl.0210s0404.1.p
OG0000092	jg2228	Roisl.0066s0112.1.p, Roisl.0091s0376.1.p
OG0000092	jg26653	Roisl.0056s0047.1.p, Roisl.0056s0055.1.p, Roisl.0115s0570.1.p
OG0000092	jg21355, jg7184	Roisl.0004s0347.1.p, Roisl.0015s0053.1.p, Roisl.0191s0468.1.p, Roisl.0032s0098.1.p
OG0000095	jg16989, jg17288	Roisl.0214s0042.1.p
OG0000095	jg16997	Roisl.0214s0037.1.p
OG0000095	jg16995, jg17274, jg17286, jg17001, jg16991	Roisl.0053s0054.1.p, Roisl.0214s0035.1.p
OG0000095	jg16900, jg16897, jg16899	Roisl.0004s0005.1.p
OG0000096	jg26888, jg26886	Roisl.0001s0531.1.p, Roisl.0074s0979.1.p
OG0000096	jg25959, jg6741, jg26029, jg25961, jg6747, jg25960, jg6746, jg25966, jg12059, jg25964, jg25967, jg26027, jg26030, jg26079, jg27891	Roisl.0074s0097.1.p, Roisl.0074s0096.1.p, Roisl.0021s0565.1.p
OG0000096	jg25957	Roisl.0028s0009.1.p, Roisl.0028s0010.1.p
OG0000096	jg27435	Roisl.0074s0977.1.p, Roisl.0204s0040.1.p
OG0000096	jg14860	Roisl.0029s0028.1.p, Roisl.0046s0939.1.p, Roisl.0046s0941.1.p, Roisl.0046s0938.1.p, Roisl.0046s0937.1.p
OG0000097	jg11451, jg27712, jg11787	Roisl.0023s0058.1.p, Roisl.0027s0058.1.p, Roisl.0184s0001.1.p, Roisl.0075s0145.1.p, Roisl.0185s0004.1.p, Roisl.0063s0044.1.p
OG0000097	jg11932, jg7619, jg7052, jg7054, jg27619, jg27677, jg21182, jg1858, jg13878, jg7238, jg7202	Roisl.0041s0023.1.p, Roisl.0020s0014.1.p
OG0000097	jg11589	Roisl.0045s0012.1.p, Roisl.0081s0001.1.p
OG0000097	jg21181	Roisl.0043s0036.1.p, Roisl.0012s0401.1.p, Roisl.0058s0018.1.p
OG0000097	jg13803	Roisl.0027s0139.1.p, Roisl.0014s0145.1.p, Roisl.0189s0105.1.p, Roisl.0064s0025.1.p, Roisl.0038s0046.1.p
OG0000098	jg27461, jg27465, jg16874, jg31283, jg17594, jg11987	Roisl.0038s0014.1.p
OG0000098	jg2306	Roisl.0050s0022.1.p, Roisl.0050s0026.1.p, Roisl.0050s0027.1.p
OG0000098	jg27471, jg27452	Roisl.0040s0006.1.p
OG0000098	jg17595, jg31284	Roisl.0006s0130.1.p
OG0000098	jg16872	Roisl.0066s0082.1.p
OG0000098	jg27222, jg27460, jg27464, jg17593, jg16875	Roisl.0038s0015.1.p, Roisl.0038s0016.1.p
OG0000100	jg1373	Roisl.0050s0110.1.p
OG0000100	jg1405	Roisl.0008s0047.1.p, Roisl.0008s0045.1.p, Roisl.0021s0634.1.p
OG0000100	jg1396	Roisl.0008s0042.1.p, Roisl.0008s0041.1.p, Roisl.0008s0048.1.p
OG0000100	jg1380, jg1381	Roisl.0214s0561.1.p
OG0000100	jg1001	Roisl.0214s0639.1.p
OG0000100	jg492	Roisl.0214s0220.1.p
OG0000100	jg471	Roisl.0209s0720.1.p, Roisl.0209s0070.1.p
OG0000100	jg475	Roisl.0010s0201.1.p
OG0000101	jg27510	Roisl.0062s0015.1.p, Roisl.0209s0004.1.p, Roisl.0115s0296.1.p, Roisl.0188s0009.1.p
OG0000102	jg7815, jg7812, jg7813	Roisl.0082s0311.1.p, Roisl.0082s0312.1.p
OG0000102	jg11552	Roisl.0214s0910.1.p
OG0000102	jg7819	Roisl.0082s0308.1.p
OG0000102	jg7810	Roisl.0082s0306.1.p
OG0000105	jg14191, jg14194	Roisl.0046s0013.1.p, Roisl.0045s0038.1.p
OG0000105	jg12802, jg12815	Roisl.0009s0041.1.p
OG0000105	jg12094	Roisl.0009s0283.1.p, Roisl.0006s0566.1.p
OG0000106	jg727	Roisl.0046s0419.1.p
OG0000107	jg26161	Roisl.0115s0327.1.p
OG0000107	jg26158	Roisl.0115s0324.1.p
OG0000108	jg18920, jg15311	Roisl.0017s0109.1.p
OG0000108	jg14433, jg22870	Roisl.0209s0353.1.p
OG0000108	jg4799	Roisl.0210s0691.1.p, Roisl.0037s0052.1.p, Roisl.0209s0106.1.p
OG0000108	jg19509, jg19508	Roisl.0028s0385.1.p, Roisl.0028s0408.1.p
OG0000110	jg9173	Roisl.0040s0028.1.p
OG0000111	jg7195, jg7197, jg7196, jg7198	Roisl.0015s0039.1.p
OG0000111	jg26895, jg27877, jg15265	Roisl.0009s0044.1.p, Roisl.0057s0030.1.p, Roisl.0057s0027.1.p
OG0000111	jg13696, jg13695, jg13697, jg3144	Roisl.0210s2207.1.p, Roisl.0013s0027.1.p
OG0000114	jg10774, jg6734, jg12947, jg16945, jg14091, jg21201, jg6956, jg16952, jg32081, jg32308, jg21203, jg10179, jg13973	Roisl.0195s0034.1.p, Roisl.0082s0484.1.p
OG0000114	jg6733	Roisl.0024s0009.1.p, Roisl.0053s0310.1.p, Roisl.0209s0095.1.p, Roisl.0006s0143.1.p, Roisl.0059s0001.1.p, Roisl.0184s0082.1.p, Roisl.0059s0002.1.p, Roisl.0184s0098.1.p, Roisl.0056s0052.1.p, Roisl.0179s0081.1.p
OG0000117	jg30922	Roisl.0191s0189.1.p
OG0000117	jg30923, jg30924	Roisl.0191s0191.1.p
OG0000117	jg30929	Roisl.0191s0196.1.p
OG0000118	jg19043	Roisl.0053s0176.1.p, Roisl.0053s0177.1.p, Roisl.0053s0178.1.p
OG0000118	jg19023, jg19021, jg19020	Roisl.0012s0130.1.p
OG0000118	jg12773	Roisl.0017s0203.1.p, Roisl.0017s0206.1.p
OG0000118	jg26630, jg26627, jg26631, jg26628	Roisl.0053s0217.1.p, Roisl.0053s0316.1.p
OG0000118	jg24304	Roisl.0006s0120.1.p, Roisl.0210s2038.1.p
OG0000118	jg26990	Roisl.0025s0059.1.p
OG0000119	jg22962	Roisl.0080s0250.1.p
OG0000119	jg17260, jg17259, jg17257	Roisl.0082s0489.1.p
OG0000119	jg14055	Roisl.0208s0010.1.p, Roisl.0021s0512.1.p
OG0000119	jg14315, jg14316	Roisl.0209s0256.1.p, Roisl.0209s0258.1.p
OG0000122	jg22486	Roisl.0080s0689.1.p
OG0000122	jg22505	Roisl.0080s0694.1.p
OG0000122	jg22508	Roisl.0080s0684.1.p
OG0000123	jg16607	Roisl.0080s0163.1.p
OG0000125	jg17897	Roisl.0082s0689.1.p
OG0000125	jg29111	Roisl.0091s1034.1.p
OG0000125	jg33004	Roisl.0013s0044.1.p
OG0000125	jg33352, jg33355	Roisl.0006s0236.1.p
OG0000125	jg33354	Roisl.0006s0238.1.p, Roisl.0006s0239.1.p
OG0000125	jg33347	Roisl.0213s0753.1.p
OG0000125	jg26323	Roisl.0115s0481.1.p, Roisl.0115s0480.1.p
OG0000126	jg27207	Roisl.0014s0012.1.p
OG0000126	jg17369, jg17588	Roisl.0021s0393.1.p, Roisl.0208s0044.1.p, Roisl.0208s0042.1.p, Roisl.0020s0136.1.p
OG0000126	jg1156, jg1158	Roisl.0021s0394.1.p
OG0000126	jg32822	Roisl.0082s0286.1.p, Roisl.0020s0135.1.p
OG0000126	jg27206, jg17305	Roisl.0184s0211.1.p
OG0000127	jg29136	Roisl.0091s1058.1.p
OG0000127	jg6123	Roisl.0210s1950.1.p
OG0000127	jg15301	Roisl.0046s1343.1.p
OG0000127	jg3993	Roisl.0034s0161.1.p
OG0000127	jg24874	Roisl.0079s0305.1.p
OG0000127	jg22931	Roisl.0080s0276.1.p
OG0000127	jg14383	Roisl.0209s0299.1.p, Roisl.0209s0304.1.p
