Orthogroup	Arabidopsis_arenosa	Raphanus_sativus
OG0000022	jg29722, jg29734, jg29678, jg29676	XP_018490861.1, XP_018490862.1, XP_018439418.1, XP_018436026.1, XP_018438506.1, XP_018438505.1, XP_018435012.1, XP_018491224.1, XP_018491225.1, XP_018485652.1, XP_018440869.1, XP_018451491.1, XP_018438507.1, XP_018440496.1, XP_018463937.1, XP_018451058.1, XP_018448229.1
OG0000022	jg12744	XP_018478989.1
OG0000022	jg25741	XP_018437843.1
OG0000023	jg1757, jg31920, jg12454	XP_018480111.1
OG0000024	jg17071	XP_018485466.1, XP_018482596.1
OG0000024	jg31712	XP_018458976.1, XP_018467451.1
OG0000024	jg31673	XP_018467644.1
OG0000024	jg27402, jg18984, jg31665, jg31668	XP_018436387.1
OG0000024	jg14278	XP_018487153.1
OG0000025	jg27352	XP_018435935.1, XP_018448760.1, XP_018471288.1, XP_018462638.1, XP_018443466.1, XP_018487867.1, XP_018463331.1, XP_018480029.1, XP_018487802.1, XP_018476186.1, XP_018475505.1, XP_018475511.1, XP_018435267.1
OG0000027	jg7521	XP_018476504.1, XP_018476512.1, XP_018454315.1
OG0000027	jg10174	XP_018468520.1, XP_018468522.1
OG0000027	jg7515	XP_018464962.1, XP_018461167.1, XP_018471375.1
OG0000027	jg10181	XP_018451933.1, XP_018448914.1
OG0000027	jg10205	XP_018448923.1, XP_018448922.1
OG0000027	jg7537, jg7533, jg7530	XP_018454312.1
OG0000027	jg7526	XP_018454316.1
OG0000027	jg10190	XP_018463400.1, XP_018480408.1
OG0000028	jg22446, jg11446, jg22442, jg22443, jg22441, jg22952	XP_018467289.1, XP_018480012.1
OG0000028	jg22236, jg22237	XP_018474185.1, XP_018475245.1, XP_018465891.1, XP_018474187.1
OG0000028	jg22427, jg22428	XP_018475306.1, XP_018475278.1
OG0000028	jg22250, jg22247, jg22219, jg12583, jg12582	XP_018474189.1, XP_018474190.1, XP_018466632.1, XP_018466593.1, XP_018466641.1, XP_018466603.1, XP_018469501.1, XP_018466579.1, XP_018466613.1, XP_018469209.1, XP_018469254.1, XP_018440554.1, XP_018440555.1, XP_018469276.1, XP_018469113.1, XP_018466902.1, XP_018466824.1, XP_018469469.1
OG0000028	jg8750	XP_018465681.1, XP_018448362.1
OG0000028	jg8748	XP_018448361.1, XP_018448364.1, XP_018435503.1
OG0000028	jg4645, jg21837	XP_018475791.1, XP_018475795.1
OG0000028	jg14606	XP_018462813.1
OG0000028	jg14605, jg28212	XP_018474193.1, XP_018474191.1, XP_018466544.1, XP_018480011.1
OG0000028	jg22006, jg22007	XP_018455496.1, XP_018454205.1
OG0000029	jg33138, jg30060, jg20837, jg1780, jg13951, jg6737, jg11997, jg26958, jg13640, jg2465, jg2197, jg27218, jg11460, jg13681, jg14797, jg11165, jg17461, jg12004, jg3965	XP_018462178.1, XP_018479617.1, XP_018480098.1, XP_018453783.1, XP_018479504.1, XP_018453703.1, XP_018435876.1, XP_018478239.1, XP_018461350.1, XP_018473938.1, XP_018479503.1, XP_018453702.1, XP_018435877.1, XP_018463848.1, XP_018463679.1, XP_018479419.1, XP_018462971.1, XP_018459455.1, XP_018479546.1, XP_018443548.1, XP_018473650.1, XP_018435416.1, XP_018473647.1, XP_018436157.1, XP_018464649.1, XP_018464671.1, XP_018475894.1, XP_018478725.1, XP_018460863.1, XP_018479047.1, XP_018472293.1, XP_018448729.1, XP_018459873.1, XP_018488169.1
OG0000029	jg21311	XP_018492516.1
OG0000029	jg32932	XP_018448641.1
OG0000029	jg1778	XP_018477751.1, XP_018453628.1, XP_018438621.1
OG0000030	jg26153, jg26152	XP_018435466.1, XP_018464547.1, XP_018443694.1
OG0000030	jg30787, jg31203, jg31202, jg25536	XP_018479424.1, XP_018466469.1, XP_018462013.1
OG0000030	jg1537, jg14799, jg17824, jg14802, jg14804	XP_018453970.1
OG0000030	jg2112	XP_018488225.1
OG0000030	jg25272	XP_018435374.1, XP_018435377.1, XP_018435375.1, XP_018435378.1
OG0000030	jg738, jg25360	XP_018482202.1, XP_018471303.1, XP_018481495.1, XP_018480537.1, XP_018481681.1, XP_018479916.1
OG0000031	jg21124	XP_018462035.1, XP_018463620.1, XP_018467340.1, XP_018435482.1, XP_018443707.1, XP_018487726.1
OG0000031	jg21055	XP_018459624.1, XP_018448790.1, XP_018466792.1
OG0000032	jg21068, jg27281, jg13794, jg27158, jg18577, jg19520, jg25717	XP_018482431.1
OG0000034	jg10193, jg10203, jg10197	XP_018483350.1, XP_018468503.1
OG0000034	jg10204	XP_018468506.1, XP_018468517.1
OG0000034	jg10200	XP_018436206.1, XP_018483352.1
OG0000034	jg10426	XP_018484117.1, XP_018484118.1
OG0000034	jg8138	XP_018465156.1, XP_018456565.1
OG0000034	jg10198	XP_018483344.1
OG0000034	jg10202, jg10195, jg10208	XP_018448921.1, XP_018448031.1
OG0000034	jg10177	XP_018468505.1, XP_018467312.1
OG0000035	jg32621, jg13872	XP_018460300.1, XP_018453765.1, XP_018464702.1, XP_018460797.1, XP_018464171.1, XP_018448429.1, XP_018448430.1, XP_018485080.1, XP_018460632.1
OG0000035	jg11910, jg27526, jg7415, jg23144, jg12740, jg13724, jg27973, jg27423, jg13741, jg10108, jg1332, jg28701, jg17048, jg13502, jg17311, jg27930, jg1081, jg11470, jg12280	XP_018480985.1
OG0000038	jg27503	XP_018450137.1, XP_018454140.1, XP_018467413.1, XP_018459367.1
OG0000038	jg17779	XP_018480059.1
OG0000040	jg17939	XP_018458944.1, XP_018443654.1, XP_018467788.1, XP_018463761.1, XP_018435590.1
OG0000042	jg6977	XP_018467598.1, XP_018463824.1
OG0000042	jg33374, jg32294, jg32380	XP_018435669.1
OG0000044	jg21039	XP_018464129.1, XP_018440463.1
OG0000044	jg21834	XP_018466419.1
OG0000044	jg20420	XP_018474392.1, XP_018457475.1
OG0000044	jg20443, jg20442, jg20416	XP_018440461.1, XP_018440462.1
OG0000044	jg20415	XP_018441634.1
OG0000044	jg1752	XP_018444272.1
OG0000046	jg12140, jg13501, jg20886	XP_018472630.1
OG0000046	jg29315, jg17523, jg14196, jg1035, jg17283, jg1573, jg1834, jg309, jg32416, jg1572, jg1555, jg21339	XP_018453758.1, XP_018453757.1, XP_018473919.1, XP_018463059.1
OG0000048	jg20748, jg20747	XP_018436807.1
OG0000048	jg18210, jg18207	XP_018467221.1, XP_018487960.1, XP_018443410.1, XP_018444815.1, XP_018442224.1, XP_018463243.1, XP_018479860.1, XP_018463443.1, XP_018436316.1, XP_018436315.1, XP_018434883.1
OG0000048	jg25048	XP_018482068.1, XP_018479796.1, XP_018479876.1, XP_018481878.1, XP_018484946.1, XP_018481942.1, XP_018490100.1, XP_018484944.1, XP_018465213.1, XP_018477245.1, XP_018484943.1, XP_018484945.1, XP_018484942.1, XP_018477397.1, XP_018479871.1, XP_018477265.1, XP_018483420.1, XP_018478113.1, XP_018479866.1
OG0000048	jg18270	XP_018466188.1
OG0000048	jg740	XP_018453414.1
OG0000050	jg11604	XP_018462198.1
OG0000050	jg14086	XP_018479391.1, XP_018460528.1, XP_018479861.1
OG0000050	jg19949, jg4268	XP_018467601.1, XP_018488190.1, XP_018436128.1, XP_018487633.1, XP_018443603.1, XP_018443602.1, XP_018459618.1
OG0000050	jg1167, jg27469, jg7250, jg20411, jg7021, jg12231, jg18866, jg13112, jg13499, jg21057, jg8024, jg14182, jg14025, jg21900, jg21898, jg13958, jg1166, jg11079	XP_018479406.1
OG0000051	jg29349	XP_018493126.1
OG0000051	jg19557	XP_018482785.1, XP_018482784.1, XP_018473989.1
OG0000051	jg497, jg24823	XP_018435533.1, XP_018438374.1, XP_018463100.1, XP_018455750.1, XP_018463099.1
OG0000051	jg19553, jg19551, jg19550, jg907, jg19552, jg19554, jg18423	XP_018473990.1, XP_018465828.1
OG0000051	jg19560	XP_018436547.1, XP_018436548.1, XP_018436546.1, XP_018436545.1, XP_018436438.1, XP_018436441.1
OG0000052	jg13388, jg13390, jg13373	XP_018479392.1, XP_018479394.1, XP_018479395.1, XP_018481202.1
OG0000052	jg1458, jg1459, jg1457, jg13394, jg13392, jg13393	XP_018454118.1
OG0000052	jg20913, jg15189, jg15188, jg15190	XP_018440341.1, XP_018440340.1, XP_018436949.1
OG0000052	jg15192, jg15191, jg20912	XP_018454062.1
OG0000052	jg15039	XP_018433197.1, XP_018454367.1, XP_018454366.1
OG0000052	jg14729	XP_018493248.1
OG0000055	jg25886, jg26868	XP_018474315.1, XP_018475877.1, XP_018475876.1, XP_018460442.1, XP_018475208.1, XP_018448356.1, XP_018469080.1, XP_018460063.1
OG0000055	jg17788, jg8147	XP_018489800.1
OG0000055	jg28057, jg28058	XP_018435448.1, XP_018464098.1, XP_018440394.1
OG0000055	jg25908	XP_018489423.1, XP_018464956.1
OG0000056	jg743	XP_018458632.1
OG0000056	jg14491	XP_018456965.1, XP_018435121.1
OG0000058	jg16618	XP_018467931.1, XP_018487493.1
OG0000059	jg1077, jg4817, jg25268, jg5943, jg32839, jg11480, jg33384, jg28178	XP_018438980.1
OG0000059	jg27640, jg13837	XP_018469270.1, XP_018438946.1, XP_018480125.1, XP_018490555.1
OG0000061	jg1961, jg32859, jg32550, jg32843, jg32866, jg32855	XP_018469367.1, XP_018471384.1, XP_018467960.1, XP_018457588.1
OG0000061	jg32841, jg32864, jg32857, jg32551	XP_018464627.1
OG0000061	jg25262, jg18012	XP_018467401.1
OG0000061	jg375, jg20934	XP_018487822.1
OG0000062	jg21178	XP_018466668.1, XP_018453901.1, XP_018461903.1, XP_018458652.1, XP_018487526.1, XP_018462640.1, XP_018463607.1, XP_018464509.1
OG0000063	jg32522	XP_018487874.1
OG0000064	jg1275, jg1269, jg1272, jg1271, jg1270, jg1273, jg1277, jg1280, jg1279, jg1274, jg1278, jg1276, jg20978, jg20976, jg20985, jg20983, jg20984, jg20981, jg20982, jg20980, jg20974, jg20975, jg20973, jg20977, jg20979	XP_018459458.1, XP_018459460.1, XP_018459461.1, XP_018459459.1, XP_018458876.1, XP_018458874.1, XP_018465641.1, XP_018465640.1, XP_018458875.1, XP_018458873.1
OG0000065	jg2154	XP_018461745.1, XP_018470308.1
OG0000065	jg2189	XP_018445374.1, XP_018470553.1, XP_018470311.1
OG0000065	jg2206	XP_018442725.1
OG0000065	jg6601	XP_018483048.1, XP_018483050.1, XP_018464170.1
OG0000065	jg12330	XP_018460569.1
OG0000065	jg12337	XP_018479670.1
OG0000065	jg12331	XP_018463906.1, XP_018458891.1, XP_018461818.1
OG0000065	jg12464, jg12463	XP_018481866.1, XP_018462609.1, XP_018479313.1, XP_018464676.1, XP_018481217.1
OG0000066	jg1404, jg13471, jg4871, jg4870, jg29279	XP_018433979.1, XP_018456938.1, XP_018470662.1, XP_018439713.1, XP_018448989.1, XP_018445234.1, XP_018448990.1, XP_018470661.1, XP_018456939.1
OG0000066	jg4927	XP_018474475.1, XP_018468122.1, XP_018468121.1, XP_018447173.1, XP_018443026.1, XP_018450392.1, XP_018442730.1, XP_018474474.1
OG0000067	jg14038, jg32532	XP_018448865.1
OG0000067	jg14037	XP_018436246.1, XP_018436236.1
OG0000068	jg4186, jg4261, jg4260, jg24839, jg24838	XP_018442371.1, XP_018442368.1, XP_018443375.1, XP_018442366.1, XP_018444607.1, XP_018446006.1, XP_018472777.1, XP_018465626.1, XP_018474335.1
OG0000069	jg16351	XP_018458214.1, XP_018435567.1, XP_018479283.1, XP_018458190.1
OG0000070	jg29403, jg28225, jg28226, jg13116, jg13115	XP_018439895.1, XP_018455246.1
OG0000070	jg16631, jg30544, jg4483	XP_018435343.1
OG0000070	jg3251	XP_018446355.1, XP_018446357.1, XP_018446912.1, XP_018446910.1, XP_018448900.1
OG0000070	jg15233, jg8905	XP_018475135.1
OG0000072	jg12160, jg21424, jg13720, jg16912	XP_018458408.1
OG0000072	jg21612	XP_018483541.1, XP_018438781.1
OG0000072	jg20178	XP_018453574.1
OG0000073	jg32690	XP_018459767.1, XP_018461176.1, XP_018435690.1, XP_018464209.1, XP_018474076.1, XP_018443369.1, XP_018435645.1, XP_018466991.1, XP_018487884.1, XP_018487997.1, XP_018436409.1
OG0000073	jg7434	XP_018466035.1, XP_018479807.1, XP_018479806.1, XP_018464863.1, XP_018435628.1, XP_018435716.1, XP_018453603.1, XP_018479700.1, XP_018461244.1, XP_018448444.1, XP_018488025.1, XP_018459279.1, XP_018474107.1, XP_018461598.1, XP_018465876.1, XP_018453526.1, XP_018453814.1, XP_018448666.1, XP_018488029.1, XP_018448543.1, XP_018435276.1
OG0000073	jg7033	XP_018464388.1
OG0000073	jg13828	XP_018448749.1, XP_018436121.1
OG0000075	jg21647	XP_018467919.1, XP_018459482.1, XP_018471019.1, XP_018453598.1
OG0000075	jg8428	XP_018481197.1, XP_018459483.1
OG0000076	jg8362	XP_018480217.1
OG0000077	jg20644	XP_018455183.1
OG0000077	jg1247	XP_018438135.1
OG0000077	jg13131	XP_018435698.1
OG0000077	jg902, jg1249	XP_018468968.1
OG0000078	jg5644, jg5634	XP_018474944.1
OG0000078	jg5641, jg5643, jg5648, jg5639	XP_018468001.1, XP_018475082.1, XP_018467409.1, XP_018475059.1, XP_018475741.1, XP_018474955.1, XP_018475088.1, XP_018474996.1
OG0000079	jg7377	XP_018465529.1, XP_018466131.1, XP_018462783.1, XP_018480069.1, XP_018435592.1, XP_018448733.1, XP_018487595.1, XP_018474104.1, XP_018448192.1, XP_018462658.1, XP_018464512.1, XP_018487875.1, XP_018464755.1, XP_018435990.1, XP_018464130.1, XP_018448824.1, XP_018473838.1, XP_018454571.1, XP_018435964.1, XP_018467728.1, XP_018453714.1, XP_018453700.1, XP_018435546.1, XP_018444405.1, XP_018448694.1, XP_018448697.1, XP_018463788.1, XP_018443589.1, XP_018448758.1, XP_018465298.1, XP_018481702.1, XP_018448633.1, XP_018458820.1, XP_018435507.1, XP_018482195.1
OG0000080	jg6819	XP_018473795.1, XP_018435995.1
OG0000081	jg17678, jg24928, jg28032, jg1125, jg20814, jg32127, jg1799	XP_018436245.1
OG0000081	jg26776, jg302, jg5265, jg31440, jg25892, jg12998, jg14036, jg6463	XP_018463440.1, XP_018467536.1, XP_018436146.1
OG0000086	jg12270	XP_018481064.1
OG0000086	jg12265, jg12276	XP_018444904.1
OG0000086	jg2128, jg2129	XP_018456777.1, XP_018456775.1, XP_018475756.1
OG0000089	jg6235	XP_018477697.1, XP_018484582.1
OG0000089	jg23223	XP_018492627.1, XP_018440532.1
OG0000089	jg17972	XP_018440871.1
OG0000089	jg5068	XP_018476501.1, XP_018446020.1
OG0000089	jg20749	XP_018439894.1, XP_018456689.1, XP_018457306.1, XP_018483831.1
OG0000089	jg3235	XP_018446239.1, XP_018463490.1
OG0000090	jg20882, jg6910	XP_018474003.1
OG0000091	jg17633	XP_018441615.1, XP_018436160.1, XP_018442302.1, XP_018442307.1, XP_018476975.1, XP_018460254.1, XP_018475641.1, XP_018443675.1
OG0000091	jg14230, jg14231	XP_018482085.1, XP_018483277.1
OG0000091	jg5910	XP_018474898.1, XP_018446823.1
OG0000091	jg14562	XP_018476976.1, XP_018436103.1
OG0000092	jg26653	XP_018455197.1
OG0000092	jg21355, jg7184	XP_018479902.1
OG0000095	jg17289	XP_018478409.1, XP_018478874.1
OG0000095	jg16989, jg17288	XP_018479774.1, XP_018464217.1, XP_018479773.1
OG0000095	jg1743, jg16988, jg17290, jg17390, jg16997	XP_018458821.1, XP_018482330.1
OG0000095	jg17005, jg20640	XP_018473675.1
OG0000095	jg16996	XP_018458817.1, XP_018436175.1
OG0000096	jg27435	XP_018466022.1
OG0000096	jg14860	XP_018462071.1
OG0000096	jg6740, jg25958	XP_018467758.1
OG0000097	jg11451, jg27712, jg11787	XP_018465971.1, XP_018461688.1, XP_018479564.1, XP_018443677.1, XP_018453668.1, XP_018487712.1, XP_018454015.1, XP_018435942.1, XP_018479474.1, XP_018465550.1, XP_018473967.1
OG0000097	jg11932, jg7619, jg7052, jg7054, jg27619, jg27677, jg21182, jg1858, jg13878, jg7238, jg7202	XP_018436062.1, XP_018466577.1, XP_018487861.1, XP_018473792.1, XP_018458509.1, XP_018467581.1, XP_018473595.1
OG0000097	jg21181	XP_018475691.1
OG0000097	jg13803	XP_018459726.1
OG0000098	jg2306	XP_018443647.1, XP_018461538.1, XP_018467732.1
OG0000098	jg17595, jg31284, jg16872	XP_018477065.1
OG0000098	jg7433, jg6404, jg6403, jg27222, jg27460, jg27464, jg17593, jg16875, jg6402, jg6418	XP_018482705.1
OG0000100	jg472	XP_018453997.1, XP_018453999.1
OG0000100	jg1001	XP_018454733.1, XP_018453995.1
OG0000100	jg492	XP_018455681.1
OG0000100	jg11338	XP_018436752.1
OG0000100	jg515	XP_018454730.1, XP_018466158.1
OG0000100	jg471	XP_018453994.1
OG0000101	jg27510	XP_018476055.1, XP_018479572.1, XP_018461557.1, XP_018479181.1, XP_018448389.1, XP_018465075.1, XP_018484396.1, XP_018484394.1, XP_018459100.1, XP_018456076.1, XP_018448626.1, XP_018479413.1, XP_018460740.1, XP_018453636.1, XP_018443713.1, XP_018453516.1
OG0000102	jg21543, jg7817	XP_018478798.1
OG0000102	jg7818, jg11552	XP_018455932.1, XP_018456414.1, XP_018456413.1, XP_018456412.1, XP_018455931.1
OG0000102	jg7819	XP_018473576.1
OG0000102	jg7810	XP_018451515.1, XP_018489433.1, XP_018486652.1, XP_018486669.1, XP_018474049.1
OG0000106	jg15329	XP_018454225.1
OG0000106	jg727	XP_018467032.1, XP_018479497.1, XP_018448376.1, XP_018474012.1, XP_018443565.1, XP_018454001.1
OG0000106	jg17558, jg25723	XP_018483022.1, XP_018435770.1, XP_018482722.1
OG0000107	jg17559, jg17556	XP_018474063.1, XP_018435236.1
OG0000107	jg26159	XP_018489727.1, XP_018489629.1, XP_018488234.1, XP_018486234.1
OG0000107	jg26158	XP_018486571.1, XP_018467025.1
OG0000107	jg26160	XP_018487289.1, XP_018466393.1, XP_018489514.1
OG0000107	jg26163	XP_018440339.1, XP_018435080.1, XP_018436775.1
OG0000108	jg18920, jg15311	XP_018476215.1, XP_018441209.1
OG0000108	jg4799	XP_018439577.1, XP_018439439.1, XP_018445204.1, XP_018476330.1, XP_018471220.1
OG0000109	jg16476, jg16484, jg29790, jg9963, jg2091, jg11738, jg13945	XP_018487761.1, XP_018481572.1, XP_018481855.1, XP_018464035.1, XP_018463274.1, XP_018448709.1, XP_018466706.1, XP_018454380.1, XP_018477453.1, XP_018459917.1
OG0000110	jg9173	XP_018446222.1, XP_018443582.1, XP_018437386.1, XP_018490507.1, XP_018450345.1, XP_018448613.1, XP_018435333.1, XP_018487390.1, XP_018443586.1, XP_018479534.1, XP_018479536.1, XP_018461540.1, XP_018459043.1, XP_018461034.1, XP_018466255.1, XP_018461038.1, XP_018461378.1, XP_018459049.1, XP_018459132.1, XP_018462373.1, XP_018482546.1, XP_018438837.1, XP_018459131.1, XP_018482527.1, XP_018438608.1, XP_018462371.1, XP_018450716.1
OG0000111	jg13696, jg13695, jg13697	XP_018470802.1
OG0000111	jg3144	XP_018479437.1, XP_018436418.1, XP_018473888.1
OG0000114	jg10774, jg6734, jg12947, jg16945, jg14091, jg21201, jg6956, jg16952, jg32081, jg32308, jg21203, jg10179, jg13973	XP_018456273.1
OG0000114	jg6733	XP_018482325.1
OG0000116	jg21091, jg22360, jg6813, jg6561	XP_018453807.1, XP_018465674.1, XP_018482519.1, XP_018474057.1, XP_018455509.1, XP_018463276.1, XP_018475460.1, XP_018459183.1, XP_018448437.1, XP_018462607.1, XP_018440840.1, XP_018470517.1
OG0000116	jg16608, jg16609	XP_018449700.1, XP_018461081.1, XP_018460820.1, XP_018489717.1
OG0000116	jg27190	XP_018453443.1
OG0000116	jg32193	XP_018457046.1
OG0000117	jg30936	XP_018484078.1
OG0000117	jg30922	XP_018442248.1, XP_018475190.1, XP_018463580.1, XP_018474776.1, XP_018483556.1, XP_018449780.1, XP_018449779.1
OG0000117	jg30938	XP_018434385.1
OG0000117	jg30929	XP_018461550.1, XP_018449778.1, XP_018449606.1, XP_018449776.1, XP_018449605.1, XP_018461549.1, XP_018461548.1, XP_018449734.1, XP_018449777.1, XP_018448289.1, XP_018448292.1, XP_018461551.1, XP_018456410.1, XP_018454087.1, XP_018455073.1
OG0000118	jg19019, jg19043, jg19023, jg19021, jg19020, jg12773	XP_018491246.1, XP_018488077.1, XP_018438578.1, XP_018442744.1, XP_018491336.1, XP_018485751.1, XP_018486403.1, XP_018488302.1, XP_018482093.1
OG0000119	jg14325	XP_018435717.1
OG0000119	jg17260, jg17259, jg17257, jg14055, jg14324, jg14331, jg4290, jg14313, jg14315, jg14316	XP_018479792.1
OG0000122	jg21685	XP_018482341.1
OG0000122	jg22485	XP_018473651.1
OG0000122	jg22505	XP_018453563.1
OG0000122	jg32572	XP_018487691.1
OG0000122	jg22508	XP_018468941.1
OG0000123	jg21770	XP_018474158.1, XP_018474157.1, XP_018435443.1, XP_018435960.1
OG0000124	jg12674	XP_018467348.1
OG0000124	jg27681	XP_018458453.1
OG0000124	jg17603	XP_018467814.1, XP_018436023.1, XP_018459692.1, XP_018464236.1, XP_018480034.1, XP_018466176.1, XP_018453630.1, XP_018444526.1, XP_018489729.1, XP_018470137.1
OG0000125	jg17897	XP_018478791.1, XP_018437245.1, XP_018462942.1
OG0000125	jg29111	XP_018493580.1, XP_018487612.1
OG0000125	jg33004	XP_018485742.1
OG0000125	jg33352, jg33355, jg33354	XP_018486058.1
OG0000125	jg33347	XP_018476295.1
OG0000125	jg26323	XP_018485989.1, XP_018488966.1
OG0000126	jg27207	XP_018464668.1
OG0000126	jg17588	XP_018465786.1
OG0000126	jg27206, jg17305	XP_018448241.1, XP_018448597.1
OG0000127	jg6123	XP_018442304.1, XP_018463483.1, XP_018464380.1
OG0000127	jg15301	XP_018485557.1, XP_018478149.1
OG0000127	jg21256	XP_018467984.1, XP_018462477.1
OG0000127	jg17851	XP_018441606.1, XP_018478084.1, XP_018472875.1
OG0000128	jg15969	XP_018444638.1
OG0000128	jg13485	XP_018491569.1
OG0000128	jg15959	XP_018489183.1, XP_018442568.1, XP_018459990.1
OG0000128	jg15960	XP_018459995.1
OG0000128	jg1161, jg11381	XP_018487764.1, XP_018461995.1
OG0000129	jg1820	XP_018491243.1, XP_018491241.1
OG0000129	jg1847	XP_018461987.1
OG0000129	jg33436, jg33435, jg23141, jg23140, jg17685, jg17683, jg17687, jg21823	XP_018438997.1, XP_018435583.1, XP_018439597.1, XP_018439599.1, XP_018435186.1
OG0000130	jg11471	XP_018436417.1
OG0000130	jg32651, jg20179	XP_018461102.1
OG0000130	jg27275	XP_018462836.1, XP_018436459.1, XP_018476031.1, XP_018453429.1, XP_018453427.1
OG0000132	jg15428	XP_018490205.1, XP_018464835.1, XP_018486610.1, XP_018465554.1, XP_018489158.1, XP_018489931.1, XP_018465557.1, XP_018490414.1
OG0000132	jg23312	XP_018435564.1, XP_018466320.1
OG0000132	jg12398, jg12389, jg12393, jg12394, jg12395	XP_018492037.1
OG0000132	jg12396	XP_018474558.1
OG0000134	jg27021, jg1329, jg1326, jg1330, jg1324, jg1320, jg1317, jg1319, jg27419, jg1248	XP_018438959.1, XP_018438956.1
OG0000134	jg17682	XP_018445292.1, XP_018445311.1
OG0000137	jg22358	XP_018473981.1, XP_018464800.1
OG0000137	jg22362	XP_018466399.1
OG0000137	jg22366, jg22365	XP_018469497.1, XP_018452341.1, XP_018454603.1
OG0000137	jg22363	XP_018454803.1
OG0000138	jg15939, jg15937	XP_018490818.1
OG0000140	jg12153	XP_018458943.1
OG0000140	jg14412, jg13729	XP_018458517.1, XP_018458792.1, XP_018473841.1, XP_018459691.1, XP_018443404.1, XP_018443408.1
OG0000141	jg29672	XP_018485467.1
OG0000141	jg29671	XP_018440872.1
OG0000141	jg12025	XP_018489435.1
OG0000141	jg650, jg654, jg658, jg651, jg653	XP_018454446.1, XP_018454444.1
OG0000142	jg14912	XP_018473960.1, XP_018436404.1, XP_018461694.1, XP_018465976.1, XP_018476410.1, XP_018463928.1
OG0000148	jg32820, jg24959	XP_018476586.1, XP_018490337.1, XP_018438679.1, XP_018438702.1, XP_018438172.1, XP_018466105.1, XP_018435825.1
OG0000148	jg32882, jg32881, jg32883, jg33223	XP_018488107.1
OG0000148	jg5636	XP_018448313.1, XP_018474230.1, XP_018474217.1, XP_018474222.1, XP_018448315.1, XP_018448325.1, XP_018448316.1, XP_018448324.1, XP_018450320.1, XP_018448317.1, XP_018448320.1, XP_018460562.1, XP_018460564.1
OG0000148	jg33224	XP_018477961.1, XP_018477938.1
OG0000151	jg15449	XP_018491621.1, XP_018443657.1, XP_018481788.1
OG0000151	jg15448	XP_018483151.1
OG0000151	jg19118	XP_018439853.1
OG0000151	jg15447	XP_018481215.1
OG0000151	jg18884	XP_018478165.1, XP_018478354.1
OG0000151	jg5170	XP_018445846.1
