Orthogroup	Arabidopsis_arenosa	Brassica_oleracea
OG0000021	jg25715	XP_013594507.1, XP_013631302.1
OG0000022	jg9770	XP_013590021.1
OG0000022	jg5495	XP_013611057.1
OG0000022	jg642	XP_013606456.1
OG0000022	jg29675, jg638	XP_013606166.1
OG0000022	jg29724	XP_013601047.1
OG0000022	jg29722, jg29734, jg29678, jg29676	XP_013601836.1, XP_013605059.1, XP_013600826.1, XP_013605038.1, XP_013605927.1, XP_013600508.1, XP_013601046.1, XP_013599992.1
OG0000022	jg29711	XP_013604688.1
OG0000022	jg12744	XP_013635968.1
OG0000022	jg25741	XP_013609571.1
OG0000023	jg12454	XP_013617060.1
OG0000024	jg17071	XP_013597425.1
OG0000024	jg27402, jg18984, jg31665, jg31668	XP_013632478.1
OG0000024	jg14278	XP_013605203.1
OG0000025	jg27352	XP_013613890.1, XP_013615021.1, XP_013631055.1, XP_013639470.1, XP_013624796.1, XP_013608134.1, XP_013633125.1, XP_013622540.1, XP_013607923.1, XP_013617624.1, XP_013623937.1, XP_013589161.1, XP_013589474.1, XP_013624039.1, XP_013625401.1, XP_013633137.1, XP_013617519.1, XP_013589471.1, XP_013624655.1, XP_013624950.1, XP_013617179.1, XP_013594903.1, XP_013626805.1, XP_013632787.1, XP_013617500.1, XP_013633014.1, XP_013589304.1, XP_013589043.1, XP_013607489.1, XP_013601110.1, XP_013630835.1, XP_013607866.1, XP_013633381.1, XP_013617480.1
OG0000027	jg7521	XP_013608654.1
OG0000027	jg7523	XP_013624060.1
OG0000027	jg10174	XP_013598807.1
OG0000027	jg10183	XP_013598658.1
OG0000027	jg10181	XP_013626010.1
OG0000027	jg10205, jg10191	XP_013625142.1
OG0000027	jg7537, jg7533, jg7530	XP_013617506.1
OG0000027	jg7526	XP_013608656.1
OG0000027	jg10190	XP_013598637.1
OG0000028	jg22443, jg22441, jg22952	XP_013597573.1, XP_013621193.1, XP_013608141.1, XP_013596721.1, XP_013597575.1
OG0000028	jg22250, jg22247, jg22219, jg12583, jg12582	XP_013619743.1, XP_013619793.1, XP_013617023.1, XP_013636546.1, XP_013618838.1, XP_013617013.1, XP_013617012.1, XP_013619638.1, XP_013620896.1, XP_013615558.1
OG0000028	jg8750	XP_013614694.1, XP_013624781.1, XP_013626875.1
OG0000028	jg8748	XP_013614695.1, XP_013624780.1, XP_013624779.1
OG0000028	jg4645, jg21837	XP_013589428.1, XP_013589429.1, XP_013615643.1, XP_013614785.1, XP_013626289.1
OG0000028	jg22278, jg22269, jg22270, jg22279, jg22262	XP_013617015.1, XP_013617014.1
OG0000029	jg33138, jg30060, jg20837, jg1780, jg13951, jg6737, jg11997, jg26958, jg13640, jg2465, jg2197, jg27218, jg11460, jg13681, jg14797, jg11165, jg17461, jg12004, jg3965	XP_013639358.1, XP_013607940.1, XP_013594529.1, XP_013632897.1, XP_013589092.1, XP_013600973.1, XP_013600972.1, XP_013617164.1, XP_013617163.1, XP_013633388.1, XP_013632483.1, XP_013601217.1, XP_013617192.1, XP_013613525.1, XP_013607906.1, XP_013624878.1, XP_013632925.1, XP_013633078.1, XP_013615203.1, XP_013624064.1, XP_013623917.1, XP_013624131.1
OG0000029	jg21311	XP_013589171.1, XP_013614958.1, XP_013594720.1, XP_013615262.1, XP_013594302.1
OG0000029	jg1778	XP_013617097.1
OG0000030	jg26153, jg26152	XP_013608319.1, XP_013628311.1, XP_013628312.1
OG0000030	jg30787, jg31203, jg31202, jg25536	XP_013594890.1, XP_013594892.1, XP_013593712.1, XP_013589720.1, XP_013589717.1
OG0000030	jg2112	XP_013624262.1
OG0000030	jg25272	XP_013634175.1, XP_013615698.1, XP_013593493.1
OG0000030	jg738, jg25360	XP_013633602.1
OG0000031	jg21124	XP_013632387.1, XP_013632408.1, XP_013623671.1
OG0000031	jg21055	XP_013614946.1, XP_013601644.1
OG0000034	jg10193, jg10203, jg10197	XP_013595252.1, XP_013595253.1, XP_013598717.1
OG0000034	jg10204	XP_013598740.1, XP_013598782.1
OG0000034	jg10200	XP_013595246.1, XP_013595249.1
OG0000034	jg10426	XP_013594180.1
OG0000034	jg10425	XP_013598071.1
OG0000034	jg10198	XP_013595245.1
OG0000034	jg10202, jg10195	XP_013593131.1
OG0000034	jg10208	XP_013626222.1
OG0000034	jg10177	XP_013598684.1, XP_013598676.1
OG0000035	jg32621, jg13872	XP_013636991.1, XP_013607885.1, XP_013618965.1
OG0000038	jg27503	XP_013632932.1, XP_013617219.1
OG0000038	jg17779	XP_013589056.1
OG0000040	jg17939	XP_013624186.1, XP_013608414.1, XP_013589706.1, XP_013624696.1, XP_013632514.1, XP_013601198.1, XP_013617894.1, XP_013600988.1, XP_013632963.1, XP_013594938.1, XP_013601900.1, XP_013617173.1, XP_013617799.1
OG0000041	jg10344	XP_013615307.1
OG0000042	jg33373	XP_013632940.1, XP_013639621.1
OG0000042	jg26487, jg900, jg2222	XP_013589127.1, XP_013624490.1
OG0000042	jg17129	XP_013594980.1, XP_013624692.1
OG0000042	jg6977	XP_013601612.1, XP_013639620.1
OG0000042	jg33374, jg32294, jg32380	XP_013598956.1
OG0000044	jg20443, jg20442, jg20416	XP_013628727.1
OG0000044	jg20415	XP_013611210.1
OG0000044	jg1752	XP_013608422.1
OG0000045	jg17429	XP_013594661.1
OG0000046	jg29315, jg17523, jg14196, jg1035, jg17283, jg1573, jg1834, jg309, jg32416, jg1572, jg1555, jg21339	XP_013633177.1
OG0000048	jg20748, jg20747	XP_013634025.1
OG0000048	jg18210, jg18207	XP_013610681.1, XP_013633506.1, XP_013633508.1, XP_013632602.1, XP_013634597.1, XP_013634026.1
OG0000048	jg25048	XP_013635430.1, XP_013635523.1, XP_013635377.1, XP_013635414.1, XP_013585248.1, XP_013632139.1, XP_013634956.1, XP_013633670.1, XP_013635604.1, XP_013635413.1, XP_013635393.1, XP_013635714.1
OG0000050	jg11604	XP_013607678.1
OG0000050	jg13853	XP_013613937.1
OG0000050	jg19949, jg4268	XP_013594629.1, XP_013601399.1, XP_013617744.1, XP_013594969.1, XP_013624450.1, XP_013617867.1, XP_013583376.1, XP_013589145.1, XP_013583387.1, XP_013615022.1, XP_013617828.1, XP_013633342.1, XP_013632973.1, XP_013639275.1
OG0000050	jg1167, jg27469, jg7250, jg20411, jg7021, jg12231, jg18866, jg13112, jg13499, jg21057, jg8024, jg14182, jg14025, jg21900, jg21898, jg13958, jg1166, jg11079	XP_013624813.1
OG0000051	jg29349	XP_013609148.1, XP_013623987.1, XP_013601904.1
OG0000051	jg19557	XP_013635946.1, XP_013623985.1
OG0000051	jg497, jg24823	XP_013589464.1, XP_013610001.1
OG0000051	jg907	XP_013623984.1
OG0000051	jg19560	XP_013610546.1
OG0000052	jg13388, jg13390, jg13373	XP_013594927.1, XP_013594267.1
OG0000052	jg1458, jg1459, jg1457, jg13394, jg13392, jg13393	XP_013610604.1
OG0000052	jg20913, jg15189, jg15188, jg15190	XP_013615703.1, XP_013630964.1
OG0000052	jg15192, jg15191, jg20912	XP_013607524.1
OG0000055	jg25886, jg26868	XP_013623695.1, XP_013623796.1, XP_013628424.1, XP_013606594.1, XP_013593729.1
OG0000055	jg17788, jg8147	XP_013627468.1
OG0000055	jg28057, jg28058	XP_013609840.1
OG0000055	jg25908	XP_013615287.1, XP_013614020.1
OG0000056	jg743	XP_013631517.1
OG0000056	jg14491	XP_013615259.1, XP_013588767.1, XP_013611134.1, XP_013628196.1
OG0000058	jg16618	XP_013595076.1, XP_013611257.1, XP_013589048.1, XP_013617878.1
OG0000058	jg6976, jg13931, jg17384, jg1485, jg16419, jg27812, jg17098, jg11852	XP_013627147.1
OG0000059	jg1077, jg4817, jg25268, jg5943, jg32839, jg11480, jg33384, jg28178	XP_013610732.1, XP_013627758.1, XP_013597073.1
OG0000059	jg27640, jg13837	XP_013601178.1, XP_013585552.1, XP_013585426.1, XP_013597521.1, XP_013605214.1, XP_013604150.1, XP_013628178.1, XP_013615848.1, XP_013585461.1
OG0000061	jg1961, jg32859, jg32550, jg32843, jg32866, jg32855	XP_013615973.1
OG0000061	jg32841, jg32864, jg32857, jg32551	XP_013615702.1
OG0000061	jg18012	XP_013633314.1
OG0000061	jg18005	XP_013635264.1
OG0000061	jg375, jg20934	XP_013639701.1
OG0000062	jg21178	XP_013594854.1, XP_013616821.1, XP_013589102.1, XP_013607943.1
OG0000062	jg21177	XP_013611276.1
OG0000064	jg1275, jg1269, jg1272, jg1271, jg1270, jg1273, jg1277, jg1280, jg1279, jg1274, jg1278, jg1276, jg20978, jg20976, jg20985, jg20983, jg20984, jg20981, jg20982, jg20980, jg20974, jg20975, jg20973, jg20977, jg20979	XP_013610623.1, XP_013607250.1, XP_013610669.1, XP_013607249.1, XP_013607956.1, XP_013607248.1, XP_013607251.1, XP_013610335.1, XP_013610576.1, XP_013610543.1, XP_013610675.1, XP_013610622.1
OG0000065	jg2154	XP_013603316.1
OG0000065	jg2189	XP_013616106.1, XP_013620167.1
OG0000065	jg6601	XP_013592178.1
OG0000065	jg12337	XP_013636750.1
OG0000065	jg12331	XP_013634420.1
OG0000065	jg12464, jg12463	XP_013635767.1
OG0000066	jg1404, jg13471, jg4871, jg4870, jg29279	XP_013606481.1, XP_013621521.1, XP_013609086.1, XP_013631332.1, XP_013599938.1, XP_013637372.1, XP_013618388.1
OG0000066	jg4927	XP_013587978.1, XP_013629194.1, XP_013612748.1, XP_013612488.1, XP_013607869.1
OG0000066	jg30515	XP_013627996.1
OG0000067	jg14038	XP_013617582.1
OG0000067	jg32532	XP_013623105.1, XP_013632497.1
OG0000067	jg14037	XP_013625005.1, XP_013632722.1
OG0000068	jg4186, jg4261, jg4260, jg24839, jg24838	XP_013610551.1, XP_013611652.1, XP_013606907.1, XP_013623793.1, XP_013626885.1
OG0000069	jg16351	XP_013617969.1, XP_013590488.1, XP_013609088.1
OG0000070	jg29403, jg28225, jg28226, jg13116, jg13115	XP_013620477.1, XP_013596659.1, XP_013610618.1
OG0000070	jg16631, jg30544, jg4483	XP_013628560.1
OG0000070	jg3251	XP_013591920.1, XP_013588434.1, XP_013616229.1
OG0000072	jg21612	XP_013608083.1
OG0000072	jg7100, jg12084, jg27349, jg7332, jg11849	XP_013596572.1, XP_013614874.1
OG0000072	jg20178	XP_013632615.1
OG0000072	jg25787, jg12109	XP_013624988.1
OG0000073	jg32690	XP_013622648.1, XP_013589645.1, XP_013632880.1, XP_013601628.1, XP_013617021.1, XP_013632987.1, XP_013607595.1, XP_013632443.1, XP_013633273.1, XP_013600985.1
OG0000073	jg7434	XP_013632654.1, XP_013623950.1, XP_013589302.1, XP_013623829.1, XP_013632353.1, XP_013624286.1, XP_013626150.1, XP_013624344.1, XP_013633316.1, XP_013639441.1, XP_013639777.1, XP_013608552.1, XP_013608116.1, XP_013624277.1, XP_013601182.1
OG0000073	jg11572, jg10937, jg20466	XP_013624080.1
OG0000073	jg13828	XP_013623944.1
OG0000073	jg30444, jg16551, jg24432, jg32702, jg1433, jg11779, jg26607	XP_013617425.1
OG0000074	jg16959	XP_013632365.1, XP_013594389.1, XP_013627465.1, XP_013594307.1
OG0000075	jg21647	XP_013596173.1, XP_013602527.1, XP_013622394.1, XP_013618964.1, XP_013619645.1
OG0000075	jg8428	XP_013596175.1
OG0000076	jg8362	XP_013598018.1
OG0000077	jg20644	XP_013613462.1
OG0000077	jg1247	XP_013630204.1
OG0000077	jg13131	XP_013619910.1
OG0000077	jg13128	XP_013594901.1
OG0000077	jg902, jg1249	XP_013586946.1
OG0000078	jg5644, jg5634	XP_013621464.1, XP_013616580.1
OG0000078	jg5640	XP_013626494.1
OG0000078	jg5641, jg5643, jg5648, jg5639	XP_013621006.1, XP_013626763.1, XP_013621468.1, XP_013621008.1, XP_013616647.1, XP_013627003.1
OG0000079	jg7377	XP_013624970.1, XP_013594646.1, XP_013614132.1, XP_013616960.1, XP_013617303.1, XP_013624135.1, XP_013633128.1, XP_013589234.1, XP_013617072.1, XP_013628163.1, XP_013607582.1, XP_013633006.1, XP_013624630.1, XP_013639297.1, XP_013634828.1, XP_013583409.1, XP_013639827.1, XP_013588116.1, XP_013594953.1, XP_013624305.1, XP_013614606.1, XP_013617685.1, XP_013617550.1, XP_013617194.1, XP_013639436.1, XP_013623727.1, XP_013594276.1, XP_013589590.1, XP_013583246.1, XP_013617780.1, XP_013633220.1, XP_013607786.1, XP_013608501.1, XP_013624109.1, XP_013594551.1, XP_013639155.1, XP_013624409.1, XP_013583323.1, XP_013594743.1, XP_013601442.1, XP_013631864.1, XP_013589277.1, XP_013639764.1, XP_013583349.1, XP_013589235.1, XP_013624731.1, XP_013591028.1, XP_013584961.1, XP_013624775.1, XP_013594486.1
OG0000080	jg6819	XP_013588982.1, XP_013617440.1, XP_013589052.1, XP_013632928.1, XP_013594990.1, XP_013617302.1, XP_013589233.1
OG0000081	jg17678, jg24928, jg28032, jg1125, jg20814, jg32127, jg1799	XP_013628529.1
OG0000081	jg26776, jg302, jg5265, jg31440, jg25892, jg12998, jg14036, jg6463	XP_013607575.1
OG0000086	jg12260	XP_013634315.1
OG0000086	jg12270	XP_013633763.1
OG0000086	jg2128, jg2129	XP_013588679.1
OG0000089	jg6235	XP_013598457.1
OG0000089	jg23223	XP_013629292.1, XP_013629087.1, XP_013629400.1
OG0000089	jg17972	XP_013637001.1, XP_013636732.1
OG0000089	jg5068	XP_013611442.1
OG0000089	jg20749	XP_013620476.1, XP_013612217.1, XP_013598244.1
OG0000089	jg3235	XP_013592047.1
OG0000090	jg20882, jg6910	XP_013617680.1
OG0000091	jg17633	XP_013629613.1, XP_013613460.1, XP_013612884.1, XP_013610320.1, XP_013626983.1, XP_013626981.1, XP_013626986.1, XP_013630073.1, XP_013626984.1, XP_013626980.1
OG0000091	jg14230, jg14231	XP_013603553.1
OG0000091	jg5910	XP_013627653.1, XP_013607358.1
OG0000091	jg21695	XP_013631070.1
OG0000092	jg32487	XP_013594390.1
OG0000092	jg1461, jg26673	XP_013607846.1
OG0000095	jg17289	XP_013631674.1
OG0000095	jg16989, jg17288	XP_013633256.1, XP_013635632.1, XP_013632293.1, XP_013633255.1
OG0000095	jg1743, jg16988, jg17290, jg17390, jg16997	XP_013635569.1, XP_013637583.1
OG0000095	jg17005, jg20640	XP_013596948.1, XP_013625121.1
OG0000096	jg26888, jg26886	XP_013627644.1
OG0000096	jg14860	XP_013631403.1
OG0000096	jg6740, jg25958	XP_013627729.1
OG0000097	jg11451, jg27712, jg11787	XP_013617946.1, XP_013624642.1, XP_013608000.1, XP_013583464.1, XP_013614438.1, XP_013617683.1, XP_013623805.1
OG0000097	jg11932, jg7619, jg7052, jg7054, jg27619, jg27677, jg21182, jg1858, jg13878, jg7238, jg7202	XP_013617536.1, XP_013624772.1, XP_013607854.1, XP_013617063.1, XP_013594282.1, XP_013624545.1, XP_013633159.1, XP_013624287.1, XP_013623812.1, XP_013600961.1, XP_013607963.1, XP_013617668.1, XP_013589437.1, XP_013594358.1, XP_013633439.1, XP_013594631.1
OG0000097	jg21181	XP_013607815.1, XP_013624040.1
OG0000097	jg2302	XP_013624466.1, XP_013631439.1
OG0000097	jg13803	XP_013617595.1, XP_013594393.1, XP_013583479.1, XP_013624054.1, XP_013633046.1, XP_013624764.1, XP_013588870.1, XP_013624168.1
OG0000098	jg2306	XP_013614188.1, XP_013615334.1
OG0000098	jg17595, jg31284, jg16872	XP_013617934.1
OG0000100	jg1001	XP_013606369.1
OG0000100	jg492	XP_013611228.1, XP_013611226.1, XP_013608605.1
OG0000100	jg471	XP_013608606.1, XP_013613878.1, XP_013607667.1
OG0000101	jg27510	XP_013589176.1, XP_013589271.1, XP_013624507.1, XP_013617829.1, XP_013624934.1, XP_013610927.1, XP_013583311.1, XP_013632868.1, XP_013617801.1, XP_013610406.1, XP_013624005.1, XP_013619420.1, XP_013583402.1, XP_013589621.1, XP_013623791.1, XP_013589094.1, XP_013628656.1, XP_013617674.1, XP_013624184.1, XP_013613615.1, XP_013594545.1, XP_013624641.1, XP_013619135.1, XP_013589292.1, XP_013604948.1, XP_013632998.1, XP_013639602.1, XP_013617812.1, XP_013589208.1, XP_013633393.1, XP_013624245.1, XP_013608320.1, XP_013607798.1, XP_013624505.1, XP_013632493.1
OG0000102	jg21543, jg7817	XP_013631333.1
OG0000102	jg7810	XP_013623936.1, XP_013623935.1, XP_013599827.1, XP_013584794.1
OG0000105	jg12094	XP_013610280.1
OG0000106	jg15329	XP_013607816.1
OG0000106	jg727	XP_013632067.1, XP_013583432.1, XP_013601660.1, XP_013627752.1, XP_013623769.1, XP_013639850.1, XP_013601846.1, XP_013589425.1, XP_013608108.1, XP_013617814.1, XP_013601674.1, XP_013601356.1, XP_013639677.1, XP_013614231.1, XP_013633210.1, XP_013614876.1
OG0000106	jg17558, jg25723	XP_013617293.1, XP_013623159.1, XP_013624755.1, XP_013624609.1
OG0000107	jg26159	XP_013635068.1, XP_013624257.1
OG0000107	jg26158	XP_013623726.1
OG0000107	jg26157	XP_013586700.1
OG0000107	jg26160	XP_013615032.1, XP_013583762.1
OG0000107	jg26163	XP_013639727.1
OG0000108	jg18920, jg15311	XP_013617448.1, XP_013629514.1, XP_013636515.1, XP_013636180.1
OG0000108	jg14433, jg22870	XP_013623319.1
OG0000108	jg4799	XP_013591456.1, XP_013611822.1, XP_013629368.1, XP_013620685.1
OG0000109	jg16476, jg16484, jg29790, jg9963, jg2091, jg11738, jg13945	XP_013607861.1, XP_013583419.1, XP_013639649.1, XP_013615002.1, XP_013594821.1, XP_013633807.1, XP_013594521.1, XP_013597172.1, XP_013595200.1
OG0000110	jg9173	XP_013632718.1, XP_013617720.1, XP_013629722.1, XP_013624329.1, XP_013583298.1, XP_013591282.1, XP_013624880.1, XP_013615431.1
OG0000111	jg13696, jg13695, jg13697	XP_013597065.1, XP_013591106.1, XP_013610702.1, XP_013624096.1, XP_013585759.1, XP_013603466.1
OG0000111	jg3144	XP_013588950.1, XP_013594866.1, XP_013594868.1, XP_013594869.1, XP_013594861.1, XP_013594864.1, XP_013624024.1
OG0000114	jg10774, jg6734, jg12947, jg16945, jg14091, jg21201, jg6956, jg16952, jg32081, jg32308, jg21203, jg10179, jg13973	XP_013594356.1
OG0000114	jg6733	XP_013639277.1, XP_013632447.1, XP_013626985.1, XP_013614501.1, XP_013632702.1, XP_013627948.1
OG0000115	jg29546	XP_013594843.1, XP_013623916.1
OG0000116	jg21091, jg22360, jg6813, jg6561	XP_013624699.1, XP_013614960.1, XP_013617705.1, XP_013624600.1, XP_013590002.1, XP_013624601.1, XP_013619242.1, XP_013610162.1, XP_013615166.1, XP_013617423.1, XP_013617165.1, XP_013637479.1, XP_013594379.1, XP_013594380.1, XP_013617424.1, XP_013584766.1, XP_013636250.1, XP_013626247.1, XP_013615167.1, XP_013615592.1, XP_013589668.1, XP_013594376.1
OG0000116	jg16608, jg16609	XP_013590735.1, XP_013613772.1, XP_013615531.1, XP_013611137.1, XP_013616308.1, XP_013635892.1
OG0000116	jg17285, jg32306, jg32304, jg2010	XP_013623439.1
OG0000116	jg32193	XP_013589055.1
OG0000117	jg30936	XP_013586913.1
OG0000117	jg30922	XP_013603462.1, XP_013584900.1, XP_013586910.1
OG0000117	jg30938	XP_013596256.1
OG0000117	jg30929	XP_013600043.1, XP_013600044.1, XP_013600879.1, XP_013600539.1, XP_013600042.1, XP_013610363.1
OG0000118	jg19019, jg19043, jg19023, jg19021, jg19020, jg12773	XP_013615575.1
OG0000119	jg22962	XP_013617470.1, XP_013608315.1
OG0000119	jg14325	XP_013617735.1
OG0000119	jg17260, jg17259, jg17257, jg14055, jg14324, jg14331, jg4290, jg14313, jg14315, jg14316	XP_013633270.1
OG0000119	jg14330, jg14326, jg14002	XP_013608442.1
OG0000119	jg14327	XP_013608409.1, XP_013608411.1
OG0000122	jg22505	XP_013610314.1
OG0000122	jg32572	XP_013623863.1
OG0000122	jg22508	XP_013620024.1
OG0000123	jg21770	XP_013623897.1, XP_013623898.1
OG0000124	jg12674	XP_013633165.1
OG0000124	jg27681	XP_013605989.1, XP_013615494.1
OG0000124	jg17603	XP_013630987.1, XP_013624674.1, XP_013599415.1, XP_013593825.1, XP_013583307.1, XP_013624397.1, XP_013624662.1, XP_013620971.1, XP_013591446.1, XP_013637635.1, XP_013607431.1, XP_013593566.1, XP_013635053.1, XP_013635795.1, XP_013614088.1, XP_013631416.1, XP_013619803.1, XP_013615105.1, XP_013617286.1, XP_013637750.1, XP_013599145.1, XP_013638220.1, XP_013594338.1, XP_013628588.1, XP_013594525.1, XP_013587564.1, XP_013636294.1, XP_013608176.1
OG0000125	jg29111	XP_013605923.1
OG0000125	jg33004	XP_013590329.1
OG0000125	jg33352, jg33355, jg33354	XP_013589967.1
OG0000125	jg33347	XP_013605120.1
OG0000125	jg26323	XP_013625710.1
OG0000126	jg754	XP_013639050.1
OG0000126	jg10194, jg10477	XP_013639654.1, XP_013617857.1, XP_013617859.1
OG0000126	jg1403, jg17368	XP_013614845.1
OG0000127	jg6123	XP_013606602.1, XP_013625682.1
OG0000127	jg15301	XP_013605053.1, XP_013636203.1
OG0000127	jg22931, jg14378	XP_013606787.1
OG0000127	jg17851	XP_013631988.1, XP_013631825.1, XP_013622502.1
OG0000128	jg15969	XP_013589380.1
OG0000128	jg15959	XP_013590480.1
OG0000128	jg15960	XP_013592532.1
OG0000129	jg1820	XP_013584094.1
OG0000129	jg1847	XP_013617087.1
OG0000129	jg33436, jg33435, jg23141, jg23140, jg17685, jg17683, jg17687, jg21823	XP_013618060.1, XP_013620235.1
OG0000130	jg12111, jg17565, jg20993, jg25905, jg11327, jg9592, jg14104, jg33081	XP_013624994.1, XP_013608101.1
OG0000132	jg15428	XP_013605673.1, XP_013602151.1, XP_013602872.1, XP_013605672.1, XP_013603171.1, XP_013603836.1, XP_013603745.1, XP_013603252.1
OG0000132	jg12398, jg12389, jg12393, jg12394, jg12395	XP_013592758.1, XP_013629621.1
OG0000134	jg27021, jg1329, jg1326, jg1330, jg1324, jg1320, jg1317, jg1319, jg27419, jg1248	XP_013629019.1, XP_013586604.1
OG0000134	jg4953	XP_013612354.1
OG0000137	jg22358	XP_013617004.1
OG0000137	jg22366, jg22365	XP_013618766.1, XP_013610172.1, XP_013610274.1
OG0000137	jg22364	XP_013626781.1
OG0000137	jg22363	XP_013608191.1
OG0000138	jg15932	XP_013627674.1
OG0000140	jg1149	XP_013639461.1
OG0000140	jg6686	XP_013626157.1, XP_013607733.1
OG0000140	jg12153, jg832	XP_013632059.1
OG0000140	jg14412, jg13729	XP_013633408.1, XP_013589418.1, XP_013624084.1, XP_013613653.1
OG0000141	jg29677	XP_013638907.1
OG0000141	jg29672	XP_013600689.1
OG0000141	jg29671	XP_013592465.1
OG0000141	jg29664, jg11302	XP_013604385.1
OG0000141	jg12025	XP_013600631.1
OG0000141	jg23265	XP_013608625.1
OG0000142	jg14912	XP_013614905.1, XP_013639573.1, XP_013594385.1, XP_013613754.1, XP_013601289.1
OG0000143	jg11978	XP_013617899.1
OG0000148	jg32820, jg24959	XP_013639002.1, XP_013624368.1, XP_013596978.1, XP_013596422.1, XP_013594383.1
OG0000148	jg5636	XP_013624720.1
OG0000148	jg33224	XP_013591109.1
OG0000151	jg15449	XP_013604669.1, XP_013588671.1, XP_013634847.1
OG0000151	jg15448	XP_013635814.1
OG0000151	jg19118	XP_013636124.1
OG0000151	jg15447	XP_013635718.1
OG0000151	jg15282	XP_013602835.1
OG0000151	jg18884	XP_013630873.1
