Orthogroup	Cardamine_amara	Brassica_oleracea
OG0000008	evm.model.RL_7.2148, evm.model.RL_2.761	XP_013629664.1
OG0000008	evm.model.RL_4.1914	XP_013608259.1, XP_013614821.1, XP_013584735.1, XP_013639639.1
OG0000010	evm.model.RL_6.734, evm.model.RL_8.1076	XP_013613442.1, XP_013608075.1
OG0000010	evm.model.RL_5.2592	XP_013614262.1
OG0000010	evm.model.RL_5.2483	XP_013613790.1, XP_013617479.1
OG0000010	evm.model.RL_5.2484	XP_013607832.1
OG0000010	evm.model.RL_4.113	XP_013614685.1, XP_013594427.1
OG0000010	evm.model.RL_7.2062	XP_013632708.1
OG0000011	evm.model.RL_6.446	XP_013608304.1, XP_013624714.1, XP_013583467.1, XP_013601355.1, XP_013624342.1, XP_013583393.1, XP_013594605.1, XP_013588899.1, XP_013614655.1, XP_013614778.1, XP_013607652.1, XP_013601161.1, XP_013594412.1, XP_013633302.1, XP_013594716.1, XP_013608513.1, XP_013624746.1, XP_013594658.1, XP_013624535.1, XP_013601337.1, XP_013601077.1, XP_013623653.1, XP_013633036.1, XP_013633008.1, XP_013633347.1, XP_013601548.1, XP_013616871.1, XP_013594810.1, XP_013623942.1, XP_013588969.1, XP_013607542.1, XP_013594779.1, XP_013608275.1, XP_013639230.1, XP_013589030.1, XP_013583306.1, XP_013607871.1, XP_013639326.1, XP_013601794.1, XP_013624259.1, XP_013617609.1, XP_013617062.1, XP_013608342.1, XP_013632501.1, XP_013617311.1, XP_013608475.1, XP_013624149.1, XP_013594401.1, XP_013608215.1, XP_013601474.1, XP_013589446.1, XP_013615322.1, XP_013624918.1, XP_013594626.1, XP_013589324.1, XP_013624371.1, XP_013616810.1, XP_013639160.1, XP_013639852.1, XP_013607597.1, XP_013632893.1
OG0000012	evm.model.RL_4.165	XP_013617060.1
OG0000012	evm.model.RL_7.2040	XP_013600987.1, XP_013639593.1, XP_013632474.1, XP_013632941.1
OG0000012	evm.model.RL_5.2583	XP_013631991.1, XP_013617615.1
OG0000012	evm.model.RL_6.730, evm.model.RL_5.2582	XP_013624598.1
OG0000012	evm.model.RL_2.748	XP_013589396.1
OG0000012	evm.model.RL_3.685	XP_013614407.1, XP_013588965.1
OG0000012	evm.model.RL_2.3	XP_013588873.1, XP_013615160.1
OG0000013	evm.model.RL_3.807, evm.model.RL_3.1357, evm.model.RL_4.820, evm.model.RL_2.791, evm.model.RL_6.523, evm.model.RL_4.704, evm.model.RL_2.641	XP_013588988.1, XP_013639825.1, XP_013613873.1, XP_013639384.1, XP_013624350.1, XP_013624337.1, XP_013614093.1, XP_013639725.1, XP_013623409.1, XP_013617535.1, XP_013617458.1, XP_013607647.1, XP_013608217.1, XP_013623904.1, XP_013629211.1, XP_013594639.1, XP_013594911.1, XP_013594459.1, XP_013617598.1
OG0000013	evm.model.RL_2.759, evm.model.RL_7.1969, evm.model.RL_3.1358	XP_013624890.1, XP_013614189.1
OG0000013	evm.model.RL_7.2034, evm.model.RL_2.725, evm.model.RL_2.397	XP_013607980.1, XP_013632794.1, XP_013601234.1, XP_013614771.1, XP_013601158.1, XP_013617635.1, XP_013639688.1, XP_013589021.1, XP_013601393.1, XP_013594422.1, XP_013624521.1, XP_013624704.1, XP_013601173.1, XP_013617542.1, XP_013601236.1, XP_013607981.1, XP_013608045.1, XP_013589309.1, XP_013589158.1, XP_013607890.1, XP_013588879.1, XP_013632947.1, XP_013608133.1, XP_013626749.1, XP_013617567.1, XP_013594663.1, XP_013617570.1, XP_013632726.1, XP_013624548.1, XP_013624518.1, XP_013617541.1, XP_013594840.1, XP_013607976.1, XP_013617554.1, XP_013624555.1, XP_013624648.1
OG0000013	evm.model.RL_6.796	XP_013632810.1, XP_013617907.1, XP_013613388.1
OG0000014	evm.model.RL_1.2917	XP_013589169.1, XP_013588874.1, XP_013624200.1, XP_013617845.1, XP_013626258.1, XP_013589130.1, XP_013624470.1, XP_013601621.1, XP_013623206.1, XP_013639710.1
OG0000014	evm.model.RL_3.2283	XP_013614662.1, XP_013617027.1, XP_013601324.1
OG0000014	evm.model.RL_3.2284	XP_013601583.1
OG0000015	evm.model.RL_7.2535	XP_013614992.1, XP_013617706.1, XP_013617083.1, XP_013615209.1
OG0000015	evm.model.RL_1.2714	XP_013601204.1, XP_013613391.1, XP_013614315.1, XP_013615211.1, XP_013594601.1, XP_013615204.1, XP_013634793.1, XP_013615599.1
OG0000017	evm.model.RL_7.1516	XP_013632836.1, XP_013585421.1
OG0000017	evm.model.RL_3.2130	XP_013601147.1
OG0000018	evm.model.RL_7.1872	XP_013613761.1
OG0000019	evm.model.RL_7.2531	XP_013639582.1
OG0000019	evm.model.RL_1.2654	XP_013594896.1
OG0000019	evm.model.RL_7.2268	XP_013601179.1, XP_013601186.1, XP_013639515.1, XP_013594913.1, XP_013624987.1
OG0000020	evm.model.RL_7.2127	XP_013638158.1
OG0000020	evm.model.RL_8.1178	XP_013617329.1
OG0000020	evm.model.RL_2.3364	XP_013594377.1, XP_013608349.1, XP_013624599.1, XP_013624292.1, XP_013601246.1, XP_013617971.1, XP_013639291.1, XP_013639624.1, XP_013630315.1, XP_013595152.1, XP_013613789.1, XP_013614355.1, XP_013630351.1, XP_013601247.1, XP_013624230.1, XP_013632617.1, XP_013614814.1, XP_013614358.1, XP_013614815.1, XP_013594329.1, XP_013639794.1, XP_013613855.1, XP_013617726.1, XP_013601203.1
OG0000021	evm.model.RL_7.92, evm.model.RL_2.444	XP_013616875.1
OG0000021	evm.model.RL_5.2428	XP_013595187.1, XP_013589405.1
OG0000021	evm.model.RL_1.2419	XP_013601139.1
OG0000021	evm.model.RL_4.3275, evm.model.RL_5.2792	XP_013624393.1, XP_013617068.1, XP_013624738.1, XP_013589283.1, XP_013608037.1, XP_013624679.1, XP_013589306.1, XP_013639486.1, XP_013624949.1, XP_013617230.1, XP_013601547.1, XP_013588986.1, XP_013595068.1, XP_013608302.1, XP_013617855.1, XP_013589622.1, XP_013608127.1, XP_013589269.1, XP_013608157.1, XP_013639673.1, XP_013595077.1
OG0000023	evm.model.RL_2.1848	XP_013598807.1
OG0000023	evm.model.RL_2.1849	XP_013598729.1, XP_013598703.1, XP_013598794.1
OG0000023	evm.model.RL_2.1831	XP_013598658.1
OG0000023	evm.model.RL_2.1843	XP_013631155.1
OG0000023	evm.model.RL_2.1842	XP_013595250.1, XP_013626677.1
OG0000023	evm.model.RL_8.636	XP_013608654.1
OG0000023	evm.model.RL_2.1839	XP_013595244.1
OG0000023	evm.model.RL_2.1829, evm.model.RL_2.1830	XP_013625142.1
OG0000023	evm.model.RL_2.1825.3.687c86e4	XP_013588839.1
OG0000024	evm.model.RL_7.2066, evm.model.RL_8.1089	XP_013632467.1
OG0000024	evm.model.RL_5.2480	XP_013639775.1
OG0000025	evm.model.RL_2.3111	XP_013614695.1, XP_013624780.1, XP_013624779.1
OG0000025	evm.model.RL_8.1529	XP_013636546.1
OG0000026	evm.model.RL_2.467, evm.model.RL_1.1627, evm.model.RL_1.2710	XP_013606795.1
OG0000026	evm.model.RL_7.315	XP_013624503.1, XP_013633143.1, XP_013639630.1, XP_013617322.1, XP_013617729.1, XP_013624373.1, XP_013617843.1, XP_013589098.1, XP_013594300.1, XP_013617279.1, XP_013624803.1, XP_013617280.1, XP_013624523.1, XP_013624057.1, XP_013589093.1
OG0000027	evm.model.RL_5.2839	XP_013624897.1
OG0000027	evm.model.RL_7.603, evm.model.RL_7.580	XP_013605203.1
OG0000028	evm.model.RL_7.2004, evm.model.RL_7.2001, evm.model.RL_7.2002, evm.model.RL_7.4, evm.model.RL_5.3115	XP_013639720.1
OG0000028	evm.model.RL_4.1689	XP_013600972.1, XP_013600973.1, XP_013633388.1, XP_013617164.1, XP_013617163.1, XP_013601217.1, XP_013632483.1, XP_013624878.1, XP_013633078.1, XP_013632925.1, XP_013607906.1, XP_013613525.1, XP_013624131.1, XP_013615203.1, XP_013594529.1, XP_013607940.1, XP_013632897.1, XP_013589092.1, XP_013639354.1, XP_013601446.1, XP_013607781.1, XP_013614462.1, XP_013597550.1, XP_013617618.1, XP_013617349.1, XP_013589355.1, XP_013617982.1, XP_013595192.1, XP_013639568.1, XP_013639826.1, XP_013607525.1, XP_013588999.1, XP_013607550.1, XP_013608305.1, XP_013594365.1, XP_013639097.1, XP_013625078.1, XP_013608166.1, XP_013607990.1, XP_013594294.1, XP_013608053.1, XP_013624401.1, XP_013617760.1, XP_013639737.1, XP_013594720.1, XP_013614958.1, XP_013615262.1
OG0000029	evm.model.RL_8.656	XP_013632493.1
OG0000029	evm.model.RL_4.797	XP_013624554.1
OG0000029	evm.model.RL_1.2704	XP_013624617.1, XP_013604948.1
OG0000030	evm.model.RL_5.2342	XP_013633216.1
OG0000030	evm.model.RL_3.1268, evm.model.RL_5.2343, evm.model.RL_6.2258	XP_013624692.1, XP_013594980.1
OG0000031	evm.model.RL_3.758	XP_013606456.1
OG0000033	evm.model.RL_2.1834, evm.model.RL_2.1824	XP_013603110.1, XP_013598717.1, XP_013595252.1, XP_013595253.1
OG0000033	evm.model.RL_2.1847, evm.model.RL_2.1846	XP_013598676.1, XP_013598684.1
OG0000033	evm.model.RL_2.1820_evm.model.RL_2.1823	XP_013593131.1
OG0000033	evm.model.RL_3.424, evm.model.RL_3.1278	XP_013624956.1
OG0000033	evm.model.RL_8.413	XP_013607897.1
OG0000034	evm.model.RL_5.2588	XP_013589352.1, XP_013632842.1
OG0000034	evm.model.RL_2.4	XP_013624836.1, XP_013588806.1, XP_013615625.1
OG0000034	evm.model.RL_5.2586	XP_013589341.1, XP_013617400.1
OG0000036	evm.model.RL_1.2959	XP_013623959.1, XP_013595076.1
OG0000036	evm.model.RL_2.742, evm.model.RL_2.665	XP_013639532.1, XP_013632562.1, XP_013624216.1, XP_013617202.1, XP_013617639.1, XP_013632506.1, XP_013617663.1, XP_013633937.1, XP_013615368.1, XP_013627147.1, XP_013617679.1, XP_013639834.1, XP_013608105.1
OG0000037	evm.model.RL_1.2680	XP_013601341.1
OG0000037	evm.model.RL_4.2891, evm.model.RL_5.3695	XP_013633425.1, XP_013595002.1
OG0000037	evm.model.RL_3.518	XP_013608021.1
OG0000039	evm.model.RL_3.1691	XP_013588982.1, XP_013617440.1, XP_013632928.1, XP_013589052.1
OG0000040	evm.model.RL_3.1121	XP_013615042.1
OG0000042	evm.model.RL_3.4	XP_013607732.1, XP_013608326.1
OG0000042	evm.model.RL_7.1972	XP_013639418.1
OG0000043	evm.model.RL_6.792	XP_013624682.1
OG0000043	evm.model.RL_8.981, evm.model.RL_8.1077	XP_013594388.1, XP_013639316.1, XP_013617716.1
OG0000043	evm.model.RL_1.2849, evm.model.RL_6.636	XP_013614489.1
OG0000043	evm.model.RL_3.816	XP_013632930.1, XP_013633849.1
OG0000043	evm.model.RL_5.2584	XP_013628408.1, XP_013639507.1, XP_013594559.1, XP_013632543.1, XP_013615632.1, XP_013632520.1
OG0000043	evm.model.RL_2.394	XP_013594426.1, XP_013589020.1, XP_013624274.1
OG0000044	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682	XP_013620262.1, XP_013632482.1, XP_013611258.1, XP_013589049.1, XP_013617512.1, XP_013633382.1, XP_013596464.1, XP_013617808.1, XP_013617807.1, XP_013594734.1, XP_013594735.1, XP_013589296.1, XP_013617147.1, XP_013591267.1
OG0000044	evm.model.RL_3.633, evm.model.RL_7.2338, evm.model.RL_8.226, evm.model.RL_2.659	XP_013623958.1, XP_013589222.1, XP_013632674.1, XP_013639308.1
OG0000045	evm.model.RL_2.587	XP_013632408.1, XP_013632387.1
OG0000045	evm.model.RL_7.883, evm.model.RL_8.1002	XP_013631555.1, XP_013632793.1, XP_013623955.1, XP_013632732.1, XP_013615610.1, XP_013628576.1
OG0000045	evm.model.RL_1.930	XP_013633468.1, XP_013624104.1, XP_013616791.1, XP_013633480.1, XP_013639518.1, XP_013607585.1, XP_013614124.1
OG0000046	evm.model.RL_2.391	XP_013636750.1
OG0000046	evm.model.RL_2.1379	XP_013611234.1
OG0000046	evm.model.RL_2.389, evm.model.RL_2.387	XP_013635840.1, XP_013620632.1
OG0000046	evm.model.RL_3.1071, evm.model.RL_3.1072, evm.model.RL_3.1077	XP_013613580.1
OG0000046	evm.model.RL_3.1060	XP_013591996.1
OG0000046	evm.model.RL_3.1059, evm.model.RL_3.1065	XP_013591997.1
OG0000046	evm.model.RL_2.393	XP_013634420.1
OG0000047	evm.model.RL_2.1217	XP_013624947.1
OG0000047	evm.model.RL_7.1965, evm.model.RL_1.2799, evm.model.RL_1.325, evm.model.RL_5.3533, evm.model.RL_5.3697	XP_013639577.1
OG0000052	evm.model.RL_5.167	XP_013609148.1, XP_013623987.1, XP_013601904.1
OG0000052	evm.model.RL_8.2684	XP_013590443.1, XP_013632996.1, XP_013623984.1
OG0000052	evm.model.RL_8.741	XP_013635331.1, XP_013635332.1, XP_013635943.1, XP_013615889.1
OG0000053	evm.model.RL_1.2655	XP_013597073.1, XP_013627758.1, XP_013610732.1
OG0000054	evm.model.RL_8.912, evm.model.RL_7.2126	XP_013615014.1
OG0000054	evm.model.RL_1.2395	XP_013595519.1, XP_013611049.1, XP_013601286.1, XP_013624334.1, XP_013639439.1, XP_013614791.1, XP_013632822.1, XP_013594394.1, XP_013616991.1, XP_013633023.1, XP_013624734.1, XP_013607784.1, XP_013615049.1, XP_013583362.1, XP_013601872.1, XP_013617699.1, XP_013624222.1, XP_013617275.1, XP_013630519.1, XP_013594611.1, XP_013632848.1, XP_013632535.1, XP_013584583.1, XP_013633042.1, XP_013594482.1, XP_013632540.1, XP_013607882.1, XP_013589054.1, XP_013622630.1, XP_013589345.1, XP_013601557.1, XP_013588894.1, XP_013624520.1, XP_013632879.1, XP_013589117.1, XP_013617269.1, XP_013624513.1, XP_013623603.1, XP_013632398.1, XP_013639705.1, XP_013606514.1
OG0000054	evm.model.RL_1.3123	XP_013604362.1
OG0000055	evm.model.RL_3.277	XP_013634799.1
OG0000056	evm.model.RL_2.634	XP_013639732.1, XP_013626954.1, XP_013638947.1, XP_013617766.1, XP_013627136.1, XP_013632954.1, XP_013629486.1, XP_013601558.1, XP_013607606.1, XP_013607741.1, XP_013633059.1, XP_013632733.1, XP_013623893.1, XP_013617628.1, XP_013607578.1, XP_013589124.1
OG0000056	evm.model.RL_5.3516, evm.model.RL_8.1063, evm.model.RL_7.2480, evm.model.RL_8.880, evm.model.RL_8.260, evm.model.RL_3.1257, evm.model.RL_3.1335	XP_013614874.1, XP_013596572.1
OG0000057	evm.model.RL_1.2123, evm.model.RL_1.2359	XP_013589549.1
OG0000058	evm.model.RL_6.526	XP_013613937.1
OG0000058	evm.model.RL_6.762	XP_013595062.1, XP_013614222.1, XP_013594879.1, XP_013601570.1, XP_013616885.1, XP_013624858.1, XP_013624811.1
OG0000058	evm.model.RL_1.1905	XP_013624813.1
OG0000059	evm.model.RL_6.844	XP_013583424.1, XP_013627293.1, XP_013639645.1, XP_013616902.1
OG0000059	evm.model.RL_7.2089	XP_013632736.1, XP_013601599.1
OG0000059	evm.model.RL_4.1269	XP_013614573.1
OG0000061	evm.model.RL_6.2768, evm.model.RL_3.1126	XP_013628529.1
OG0000061	evm.model.RL_6.2867, evm.model.RL_7.2504, evm.model.RL_7.1966, evm.model.RL_8.1041	XP_013585220.1, XP_013616683.1, XP_013635812.1
OG0000062	evm.model.RL_2.991, evm.model.RL_6.777	XP_013591442.1, XP_013594277.1, XP_013623728.1, XP_013624643.1, XP_013615594.1, XP_013624395.1, XP_013626489.1, XP_013632865.1, XP_013583449.1, XP_013624452.1, XP_013632428.1, XP_013633115.1
OG0000065	evm.model.RL_2.692, evm.model.RL_1.2797	XP_013617482.1, XP_013617341.1
OG0000065	evm.model.RL_2.685, evm.model.RL_5.2501	XP_013614546.1
OG0000066	evm.model.RL_8.2622	XP_013599938.1, XP_013618388.1, XP_013621521.1, XP_013606481.1, XP_013631332.1, XP_013627996.1, XP_013637372.1, XP_013609086.1
OG0000067	evm.model.RL_7.2627	XP_013623793.1, XP_013626885.1, XP_013606907.1, XP_013611652.1, XP_013610551.1
OG0000069	evm.model.RL_8.289	XP_013588943.1
OG0000069	evm.model.RL_1.2285	XP_013624740.1
OG0000069	evm.model.RL_4.1093	XP_013624080.1, XP_013623944.1, XP_013617425.1, XP_013633239.1
OG0000070	evm.model.RL_6.573	XP_013601273.1
OG0000070	evm.model.RL_6.606	XP_013615472.1
OG0000070	evm.model.RL_1.3315	XP_013639478.1
OG0000071	evm.model.RL_1.2437	XP_013601126.1, XP_013601850.1, XP_013614231.1
OG0000071	evm.model.RL_4.340	XP_013601278.1
OG0000071	evm.model.RL_6.950	XP_013617771.1, XP_013601854.1
OG0000071	evm.model.RL_6.3	XP_013624609.1, XP_013623159.1, XP_013624755.1
OG0000072	evm.model.RL_3.783	XP_013607861.1, XP_013583419.1, XP_013639649.1, XP_013594521.1, XP_013633807.1, XP_013594821.1, XP_013615002.1, XP_013595200.1, XP_013597172.1
OG0000073	evm.model.RL_4.629	XP_013624330.1, XP_013628000.1, XP_013620412.1
OG0000073	evm.model.RL_4.146, evm.model.RL_4.158.2.687c86cd, evm.model.RL_4.151, evm.model.RL_4.156	XP_013628727.1
OG0000073	evm.model.RL_6.501	XP_013608422.1
OG0000076	evm.model.RL_6.1653	XP_013610604.1
OG0000077	evm.model.RL_2.3381	XP_013596175.1
OG0000078	evm.model.RL_3.798	XP_013621386.1, XP_013617746.1, XP_013632635.1, XP_013632608.1, XP_013594937.1, XP_013624880.1, XP_013591282.1, XP_013615431.1, XP_013632718.1, XP_013617720.1, XP_013629722.1, XP_013624329.1
OG0000080	evm.model.RL_5.3416	XP_013637545.1
OG0000082	evm.model.RL_7.1932	XP_013608417.1
OG0000082	evm.model.RL_7.1946	XP_013618832.1
OG0000082	evm.model.RL_8.1557	XP_013633229.1
OG0000082	evm.model.RL_3.1016, evm.model.RL_1.2681	XP_013614590.1, XP_013624795.1
OG0000085	evm.model.RL_2.448	XP_013601585.1, XP_013608084.1
OG0000086	evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410	XP_013610622.1, XP_013610543.1, XP_013610576.1, XP_013610675.1, XP_013610335.1, XP_013607248.1, XP_013607956.1, XP_013607251.1, XP_013607249.1, XP_013610623.1, XP_013607250.1, XP_013610669.1
OG0000087	evm.model.RL_4.1345	XP_013598457.1
OG0000087	evm.model.RL_6.1057	XP_013637001.1, XP_013636732.1
OG0000087	evm.model.RL_4.2360	XP_013611442.1
OG0000087	evm.model.RL_6.1567	XP_013636563.1
OG0000087	evm.model.RL_4.428	XP_013612217.1, XP_013620476.1, XP_013598244.1
OG0000087	evm.model.RL_2.1599	XP_013598013.1, XP_013621920.1, XP_013598364.1
OG0000087	evm.model.RL_3.1990	XP_013592047.1
OG0000088	evm.model.RL_7.1629	XP_013603553.1, XP_013630830.1, XP_013634451.1, XP_013629613.1, XP_013613460.1, XP_013612884.1, XP_013626980.1, XP_013626981.1, XP_013626984.1, XP_013610320.1, XP_013626983.1, XP_013626986.1, XP_013630073.1, XP_013593337.1, XP_013612192.1
OG0000088	evm.model.RL_8.1137	XP_013631070.1
OG0000089	evm.model.RL_4.2603	XP_013629368.1, XP_013611822.1, XP_013620685.1
OG0000089	evm.model.RL_1.1790.1.687c87ee	XP_013608560.1, XP_013629201.1
OG0000089	evm.model.RL_1.1121	XP_013587485.1
OG0000089	evm.model.RL_7.1725, evm.model.RL_8.2019	XP_013623319.1
OG0000090	evm.model.RL_5.1846	XP_013628560.1
OG0000090	evm.model.RL_3.2006	XP_013591920.1, XP_013588434.1, XP_013616229.1
OG0000090	evm.model.RL_7.2013, evm.model.RL_7.2546	XP_013610618.1
OG0000090	evm.model.RL_5.885	XP_013620477.1
OG0000091	evm.model.RL_6.574	XP_013616988.1, XP_013639594.1, XP_013607638.1, XP_013632442.1
OG0000093	evm.model.RL_7.523	XP_013632132.1, XP_013632130.1, XP_013591322.1
OG0000093	evm.model.RL_7.525	XP_013615611.1, XP_013589367.1, XP_013589365.1
OG0000093	evm.model.RL_7.532	XP_013609262.1
OG0000096	evm.model.RL_3.612	XP_013630204.1
OG0000096	evm.model.RL_7.2530	XP_013594901.1
OG0000096	evm.model.RL_4.362	XP_013613462.1
OG0000097	evm.model.RL_8.394	XP_013599827.1, XP_013584794.1
OG0000098	evm.model.RL_3.229	XP_013613822.1
OG0000098	evm.model.RL_3.199	XP_013608625.1
OG0000099	evm.model.RL_3.84, evm.model.RL_3.230, evm.model.RL_3.232	XP_013624375.1
OG0000101	evm.model.RL_3.344	XP_013613878.1
OG0000102	evm.model.RL_2.452	XP_013632829.1
OG0000104	evm.model.RL_5.2109	XP_013590329.1
OG0000104	evm.model.RL_1.2055	XP_013625710.1
OG0000104	evm.model.RL_1.2425	XP_013605120.1
OG0000105	evm.model.RL_1.2669	XP_013617736.1, XP_013617557.1, XP_013607814.1, XP_013616934.1, XP_013594384.1, XP_013614052.1, XP_013601740.1, XP_013588946.1, XP_013639398.1, XP_013633046.1, XP_013595039.1, XP_013595114.1, XP_013601685.1, XP_013623853.1, XP_013589516.1, XP_013624168.1, XP_013623812.1, XP_013589437.1, XP_013607963.1, XP_013617668.1, XP_013600961.1, XP_013594358.1, XP_013624287.1, XP_013617536.1, XP_013624545.1, XP_013601729.1, XP_013624772.1, XP_013633159.1
OG0000105	evm.model.RL_6.453	XP_013607815.1
OG0000106	evm.model.RL_1.965	XP_013631403.1
OG0000107	evm.model.RL_1.1927	XP_013623726.1
OG0000107	evm.model.RL_1.2019, evm.model.RL_1.2021, evm.model.RL_1.1929	XP_013639727.1
OG0000108	evm.model.RL_4.1209, evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166	XP_013617934.1
OG0000108	evm.model.RL_3.231	XP_013614188.1, XP_013615334.1
OG0000110	evm.model.RL_7.1925	XP_013590480.1
OG0000110	evm.model.RL_7.432	XP_013591144.1, XP_013591210.1
OG0000113	evm.model.RL_4.208	XP_013609521.1
OG0000113	evm.model.RL_3.97, evm.model.RL_7.1875	XP_013607642.1
OG0000116	evm.model.RL_5.1553	XP_013614000.1, XP_013633764.1, XP_013586376.1, XP_013632656.1
OG0000117	evm.model.RL_8.488	XP_013594835.1, XP_013624725.1
OG0000119	evm.model.RL_5.2397	XP_013612859.1
OG0000120	evm.model.RL_3.399, evm.model.RL_3.395	XP_013610889.1, XP_013607713.1
OG0000120	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932	XP_013601021.1, XP_013601023.1, XP_013588993.1, XP_013588958.1, XP_013588961.1
OG0000120	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504	XP_013608535.1
OG0000124	evm.model.RL_3.893	XP_013613741.1
OG0000124	evm.model.RL_4.540	XP_013624994.1, XP_013608101.1
OG0000125	evm.model.RL_4.1435	XP_013625682.1, XP_013606602.1
OG0000125	evm.model.RL_8.2069	XP_013606787.1
OG0000125	evm.model.RL_6.979	XP_013631988.1, XP_013622502.1, XP_013631825.1
OG0000126	evm.model.RL_1.2513	XP_013601325.1, XP_013617436.1, XP_013601221.1, XP_013613780.1, XP_013607983.1, XP_013594701.1, XP_013633290.1, XP_013589069.1, XP_013633097.1, XP_013617824.1, XP_013632703.1, XP_013624773.1, XP_013633300.1, XP_013614836.1, XP_013584923.1, XP_013632633.1, XP_013589165.1, XP_013589656.1, XP_013624240.1, XP_013624618.1, XP_013608091.1, XP_013594444.1, XP_013623946.1, XP_013617968.1, XP_013589470.1
OG0000126	evm.model.RL_6.543, evm.model.RL_3.859	XP_013601019.1, XP_013613934.1, XP_013633096.1, XP_013617967.1, XP_013624750.1, XP_013635458.1
OG0000127	evm.model.RL_4.3345	XP_013610892.1
OG0000127	evm.model.RL_4.3343	XP_013610053.1
OG0000127	evm.model.RL_1.822	XP_013583436.1
OG0000128	evm.model.RL_4.1217	XP_013624777.1
OG0000128	evm.model.RL_5.2370	XP_013632707.1
OG0000130	evm.model.RL_6.625, evm.model.RL_6.679, evm.model.RL_1.2657, evm.model.RL_2.717, evm.model.RL_7.2033, evm.model.RL_2.727, evm.model.RL_6.626, evm.model.RL_4.730, evm.model.RL_2.674, evm.model.RL_6.690, evm.model.RL_5.2485, evm.model.RL_6.704, evm.model.RL_2.679, evm.model.RL_6.643, evm.model.RL_4.724, evm.model.RL_5.2503, evm.model.RL_6.691, evm.model.RL_6.707	XP_013594458.1, XP_013607835.1, XP_013601231.1, XP_013632727.1, XP_013614604.1, XP_013615741.1, XP_013613827.1, XP_013632902.1, XP_013614901.1, XP_013624434.1, XP_013614818.1, XP_013601916.1, XP_013624332.1, XP_013617259.1, XP_013608391.1, XP_013639256.1, XP_013612776.1, XP_013632644.1, XP_013594563.1, XP_013613452.1
