Orthogroup	Cardamine_amara	Arabidopsis_thaliana
OG0000107	evm.model.RL_1.1929	AT3G20090.2
OG0000108	evm.model.RL_4.1209	AT4G10820.1
OG0000108	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166	AT1G27550.1, AT1G27580.1, AT1G27540.1
OG0000110	evm.model.RL_7.1925	AT3G59200.1
OG0000110	evm.model.RL_7.432	AT3G59250.1
OG0000111	evm.model.RL_8.2409	AT4G15075.1
OG0000112	evm.model.RL_8.2167	AT3G42565.1, AT4G09545.1, AT5G42895.1
OG0000113	evm.model.RL_3.996	AT4G04110.1
OG0000114	evm.model.RL_1.340	AT3G04210.1
OG0000114	evm.model.RL_3.2232, evm.model.RL_3.2202	AT1G69550.1
OG0000118	evm.model.RL_8.709, evm.model.RL_8.712	AT3G53330.1
OG0000120	evm.model.RL_3.399, evm.model.RL_3.395	AT1G60880.1, AT1G60920.1
OG0000120	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932	AT5G49490.1, AT5G38620.1, AT5G49420.1
OG0000120	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504	AT5G04640.1
OG0000123	evm.model.RL_5.1209	AT5G43690.1
OG0000123	evm.model.RL_5.1211	AT2G27570.1, AT3G45080.1, AT3G45070.2
OG0000124	evm.model.RL_3.893	AT4G03292.1
OG0000124	evm.model.RL_4.540	AT1G27870.1, AT1G77815.1
OG0000125	evm.model.RL_7.1020	AT3G53650.1
OG0000125	evm.model.RL_4.3281	AT3G09480.1, AT5G02570.1
OG0000125	evm.model.RL_4.1435	AT5G22880.1
OG0000125	evm.model.RL_8.2069	AT5G59910.1
OG0000125	evm.model.RL_7.1764, evm.model.RL_7.1769	AT3G46030.1
OG0000125	evm.model.RL_6.979	AT2G28720.1
OG0000127	evm.model.RL_1.823	AT3G09140.1
OG0000127	evm.model.RL_4.3346	AT5G01150.1
OG0000127	evm.model.RL_4.3343	AT5G01120.1
OG0000127	evm.model.RL_1.822	AT3G09110.1
OG0000128	evm.model.RL_3.654, evm.model.RL_5.2370	AT1G34070.1
OG0000132	evm.model.RL_8.1179	AT1G14800.1
OG0000135	evm.model.RL_5.2242	AT3G25727.1
OG0000136	evm.model.RL_3.1028	AT1G66620.1, AT1G66630.1, AT1G66610.1
OG0000138	evm.model.RL_7.2093	AT3G29720.1
OG0000140	evm.model.RL_7.1690	AT3G46850.1, AT3G46840.1
OG0000140	evm.model.RL_8.2003	AT5G59130.4
OG0000142	evm.model.RL_6.1032	AT2G29320.1, AT2G29300.2
OG0000142	evm.model.RL_6.1033, evm.model.RL_6.1034	AT2G29170.1
OG0000146	evm.model.RL_8.1243	AT5G51420.1
OG0000147	evm.model.RL_2.2536	AT4G30190.2
OG0000147	evm.model.RL_8.1812	AT5G57350.1
OG0000147	evm.model.RL_3.2406	AT1G80660.1
OG0000147	evm.model.RL_1.2583	AT2G07560.1
OG0000147	evm.model.RL_6.348	AT2G24520.2
OG0000149	evm.model.RL_7.1738	AT3G46350.1
OG0000149	evm.model.RL_7.1737	AT3G46340.1
OG0000149	evm.model.RL_7.1739	AT3G46330.1
OG0000150	evm.model.RL_7.1807	AT3G43750.1, AT2G16520.1, AT3G45525.1, AT3G45560.1, AT3G45570.1, AT3G45580.1
OG0000150	evm.model.RL_7.1810	AT3G45540.1
OG0000151	evm.model.RL_8.1422	AT5G53300.1
OG0000151	evm.model.RL_2.2307	AT4G27960.2
OG0000151	evm.model.RL_1.777	AT3G08690.1
OG0000151	evm.model.RL_1.778	AT3G08700.1
OG0000151	evm.model.RL_1.2853	AT2G16740.1
OG0000151	evm.model.RL_8.1691	AT5G56150.1
OG0000151	evm.model.RL_3.61	AT5G41700.4, AT1G64230.4
OG0000154	evm.model.RL_6.951, evm.model.RL_5.1456	AT1G16030.1
OG0000154	evm.model.RL_1.853	AT3G09440.1
OG0000154	evm.model.RL_2.489	AT5G02490.1
OG0000155	evm.model.RL_2.2243	AT4G27290.2
OG0000156	evm.model.RL_6.2689	AT2G45550.1
OG0000156	evm.model.RL_4.1065	AT2G45570.1
OG0000156	evm.model.RL_6.2692	AT2G45560.1
OG0000156	evm.model.RL_8.1108, evm.model.RL_8.1107	AT1G33720.1
OG0000157	evm.model.RL_5.213	AT1G65990.1, AT4G10740.1
OG0000158	evm.model.RL_4.1378	AT4G36840.1
OG0000161	evm.model.RL_3.891	AT1G65200.1
OG0000161	evm.model.RL_3.896	AT1G65130.1
OG0000162	evm.model.RL_3.1091	AT1G67150.2
OG0000162	evm.model.RL_6.2628	AT2G44930.1
OG0000164	evm.model.RL_4.581, evm.model.RL_2.1488	AT4G19250.1
OG0000167	evm.model.RL_2.1517	AT4G19590.2
OG0000167	evm.model.RL_2.1515	AT4G19580.1
OG0000167	evm.model.RL_2.1514	AT4G19570.1
OG0000167	evm.model.RL_2.1516	AT5G62780.1
OG0000169	evm.model.RL_3.1834, evm.model.RL_3.1135.1.687c84bb	AT1G74170.2
OG0000169	evm.model.RL_3.574	AT1G58190.2
OG0000171	evm.model.RL_3.1439	AT1G70490.1, AT1G23490.1
OG0000171	evm.model.RL_5.927.1.687c88b0, evm.model.RL_3.461	AT1G10630.1
OG0000171	evm.model.RL_4.2162.1.687c86d7	AT5G14670.1
OG0000172	evm.model.RL_3.406, evm.model.RL_3.423	AT3G62440.1
OG0000173	evm.model.RL_5.288	AT2G06541.1, AT3G29763.1, AT3G29450.1, AT1G41920.1, AT3G30235.1, AT3G29765.1, AT3G31402.1, AT1G19260.1, AT4G09660.1
OG0000175	evm.model.RL_7.1254	AT3G51300.1
OG0000175	evm.model.RL_3.1995	AT1G75840.1
OG0000175	evm.model.RL_5.1839	AT1G20090.1
OG0000175	evm.model.RL_2.3025	AT4G35020.1
OG0000175	evm.model.RL_1.2964	AT2G17800.1
OG0000175	evm.model.RL_2.3122	AT4G35950.1
OG0000190	evm.model.RL_8.476, evm.model.RL_8.475	AT4G04490.1
OG0000190	evm.model.RL_8.473	AT4G04510.2
OG0000190	evm.model.RL_8.474.1.687c8557	AT4G04500.1
OG0000191	evm.model.RL_1.1587	AT3G16590.1
OG0000192	evm.model.RL_5.3624	AT1G21270.1
OG0000195	evm.model.RL_6.761	AT2G27030.3
OG0000195	evm.model.RL_7.686, evm.model.RL_6.2234	AT2G41110.2
OG0000195	evm.model.RL_2.437, evm.model.RL_3.1018	AT5G37780.3, AT1G66410.2
OG0000196	evm.model.RL_5.2252	AT1G30160.2
OG0000196	evm.model.RL_1.1858	AT1G30170.1
OG0000197	evm.model.RL_8.487	AT3G48840.1
OG0000197	evm.model.RL_2.911	AT3G48835.1, AT5G41690.1, AT3G10845.1, AT1G45100.1
OG0000200	evm.model.RL_5.455	AT1G05930.1
OG0000200	evm.model.RL_1.2415, evm.model.RL_1.2410	AT3G24850.1, AT5G24050.1
OG0000201	evm.model.RL_1.2115	AT3G22050.1
OG0000201	evm.model.RL_1.3066	AT3G22053.1
OG0000203	evm.model.RL_1.380	AT2G13630.1, AT3G04660.1
OG0000204	evm.model.RL_1.2062	AT3G08750.1, AT3G10430.1, AT4G04690.1, AT1G77650.1, AT3G22650.2, AT3G21410.1
OG0000205	evm.model.RL_8.836	AT2G16450.1, AT2G15640.1
OG0000207	evm.model.RL_3.2271	AT1G78760.1, AT1G66300.1, AT1G66310.1, AT1G66290.1, AT1G66320.1, AT1G66640.1
OG0000208	evm.model.RL_2.3387	AT4G39510.1
OG0000209	evm.model.RL_2.469	AT1G64255.1
OG0000209	evm.model.RL_3.57	AT1G64253.1
OG0000210	evm.model.RL_7.2509	AT2G03610.1
OG0000213	evm.model.RL_6.204	AT2G23000.1, AT2G22990.3, AT2G23010.1
OG0000214	evm.model.RL_7.215	AT1G69150.1, AT3G43890.1
OG0000214	evm.model.RL_8.81, evm.model.RL_8.239	AT4G02180.1, AT4G01910.1, AT4G01920.1, AT4G01740.1, AT4G01930.1
OG0000217	evm.model.RL_7.1931	AT1G58390.1
OG0000218	evm.model.RL_5.1346	AT1G14930.1, AT1G14940.1
OG0000218	evm.model.RL_5.1347, evm.model.RL_5.1349	AT1G14950.1
OG0000218	evm.model.RL_7.2697_evm.model.RL_7.2698	AT4G14060.1, AT2G01530.1, AT2G01520.1
OG0000219	evm.model.RL_3.1053	AT1G66870.2, AT1G66852.1, AT4G16165.1, AT1G66855.1
OG0000219	evm.model.RL_6.1077	AT2G29735.1
OG0000219	evm.model.RL_8.2397	AT5G63230.1
OG0000220	evm.model.RL_3.318	AT2G40050.1
OG0000224	evm.model.RL_3.2157	AT1G77530.1
OG0000224	evm.model.RL_3.2156	AT1G77520.1
OG0000225	evm.model.RL_5.2978, evm.model.RL_5.2982	AT1G29510.1
OG0000225	evm.model.RL_5.2983	AT1G29440.1, AT5G27780.1, AT1G29430.1
OG0000225	evm.model.RL_5.2981	AT1G29460.2
OG0000225	evm.model.RL_5.2975	AT1G29500.1
OG0000228	evm.model.RL_4.998	AT5G28010.1, AT5G28000.1
OG0000228	evm.model.RL_3.1486	AT1G70840.1
OG0000229	evm.model.RL_8.305, evm.model.RL_8.256, evm.model.RL_8.257	AT4G29760.1, AT5G18065.1, AT5G18040.1, AT4G29770.2
OG0000229	evm.model.RL_2.330, evm.model.RL_7.1066	AT1G48180.1, AT1G51670.1
OG0000231	evm.model.RL_2.361	AT5G38690.1
OG0000231	evm.model.RL_3.1104	AT1G67270.1
OG0000232	evm.model.RL_5.1311	AT5G25910.1
OG0000234	evm.model.RL_7.860	AT3G55110.1
OG0000234	evm.model.RL_7.861	AT3G55100.1
OG0000234	evm.model.RL_7.862	AT3G55090.1
OG0000234	evm.model.RL_6.2046	AT2G39350.1
OG0000234	evm.model.RL_4.2267	AT5G13580.1
OG0000237	evm.model.RL_2.733, evm.model.RL_2.732, evm.model.RL_6.1682	AT1G42190.1
OG0000242	evm.model.RL_7.2542	AT2G15360.1
OG0000242	evm.model.RL_1.2752, evm.model.RL_1.2751	AT2G15390.2
OG0000244	evm.model.RL_2.1690	AT4G21860.1
OG0000248	evm.model.RL_8.548	AT4G10695.1, AT4G10660.1, AT4G10700.1
OG0000248	evm.model.RL_7.722	AT3G56470.1
OG0000249	evm.model.RL_6.1769	AT2G36750.1
OG0000249	evm.model.RL_6.1770	AT2G36790.1, AT2G36800.1
OG0000251	evm.model.RL_1.2772	AT3G30525.1
OG0000252	evm.model.RL_4.802	AT2G44030.1
OG0000252	evm.model.RL_3.611	AT2G45406.1
OG0000252	evm.model.RL_5.3777	AT3G46050.1
OG0000252	evm.model.RL_1.1879	AT5G02980.1
OG0000253	evm.model.RL_6.612, evm.model.RL_1.2600, evm.model.RL_3.948, evm.model.RL_6.613, evm.model.RL_8.1032	AT2G12880.1
OG0000256	evm.model.RL_8.503, evm.model.RL_8.501, evm.model.RL_8.502, evm.model.RL_8.500	AT4G04090.1
OG0000256	evm.model.RL_2.275	AT5G48510.1, AT2G05330.1
OG0000256	evm.model.RL_6.2167, evm.model.RL_4.439	AT2G40450.1
OG0000257	evm.model.RL_6.895	AT2G04115.1
OG0000258	evm.model.RL_7.2389	AT3G26300.1, AT3G26310.1
OG0000258	evm.model.RL_7.2388	AT3G26330.1, AT3G26320.1
OG0000260	evm.model.RL_5.2925	AT4G15070.1, AT5G48320.1
OG0000260	evm.model.RL_4.3199	AT5G03355.1
OG0000264	evm.model.RL_8.411, evm.model.RL_8.323	AT4G05230.1
OG0000264	evm.model.RL_8.410, evm.model.RL_8.409	AT4G05260.1
OG0000264	evm.model.RL_8.324	AT4G03370.1, AT4G03360.1, AT4G02950.1, AT4G03350.1, AT4G02970.1
OG0000265	evm.model.RL_4.1725	AT5G19270.1
OG0000265	evm.model.RL_3.1127, evm.model.RL_5.2471	AT4G03566.1
OG0000266	evm.model.RL_7.1038	AT3G61100.1, AT3G61090.1
OG0000266	evm.model.RL_3.560	AT2G38365.1
OG0000268	evm.model.RL_7.2613	AT2G02040.1
OG0000268	evm.model.RL_3.272	AT1G62200.3
OG0000268	evm.model.RL_4.3350	AT5G01180.1
OG0000268	evm.model.RL_7.967	AT3G54140.1
OG0000271	evm.model.RL_4.3215	AT5G37640.1, AT5G03240.1, AT1G65350.1
OG0000271	evm.model.RL_4.3212	AT4G05320.2
OG0000273	evm.model.RL_5.2635	AT5G51470.1, AT1G48660.2, AT1G48670.1
OG0000274	evm.model.RL_8.2049	AT5G59720.1
OG0000274	evm.model.RL_3.504	AT1G59860.1
OG0000274	evm.model.RL_6.1051	AT2G29500.1
OG0000275	evm.model.RL_3.456, evm.model.RL_1.2114	AT3G21900.2
OG0000278	evm.model.RL_3.1756	AT1G73490.2
OG0000281	evm.model.RL_2.1747	AT4G22430.1
OG0000282	evm.model.RL_4.2795	AT5G07510.1, AT5G07600.1, AT5G07520.1
OG0000282	evm.model.RL_4.226, evm.model.RL_4.2794	AT5G07530.1
OG0000282	evm.model.RL_4.2792	AT5G07560.1, AT5G07571.1
OG0000284	evm.model.RL_4.1106, evm.model.RL_4.1105	AT5G26630.1
OG0000284	evm.model.RL_4.572	AT5G48670.1
OG0000287	evm.model.RL_1.2024	AT3G20980.1
OG0000288	evm.model.RL_1.2504	AT2G03460.1
OG0000290	evm.model.RL_1.1777	AT3G18650.1
OG0000290	evm.model.RL_2.319, evm.model.RL_2.317, evm.model.RL_2.323, evm.model.RL_2.321, evm.model.RL_2.862	AT4G02235.1, AT4G11250.1, AT5G65330.1
OG0000290	evm.model.RL_2.214	AT5G40070.1, AT5G40220.1, AT5G41200.1, AT5G40120.1, AT5G38740.1, AT5G37415.1, AT5G39750.1, AT5G39810.1
OG0000294	evm.model.RL_1.1662	AT3G17390.1
OG0000294	evm.model.RL_8.188	AT4G01850.1
OG0000294	evm.model.RL_5.103	AT1G02500.1
OG0000296	evm.model.RL_3.2430, evm.model.RL_3.2412, evm.model.RL_3.2476	AT4G11700.1
OG0000296	evm.model.RL_6.1991, evm.model.RL_6.1978	AT3G25080.1
OG0000297	evm.model.RL_4.356	AT4G36590.1
OG0000297	evm.model.RL_8.2112	AT5G60440.1
OG0000299	evm.model.RL_5.3976	AT1G55940.2
OG0000300	evm.model.RL_1.2517	AT2G05380.3
OG0000300	evm.model.RL_1.2518	AT2G05530.1, AT2G05520.1
OG0000301	evm.model.RL_1.1569	AT5G15690.1, AT4G04775.1
OG0000308	evm.model.RL_6.451	AT5G48770.1
OG0000308	evm.model.RL_3.1685, evm.model.RL_3.1683	AT1G72860.2
OG0000310	evm.model.RL_4.895, evm.model.RL_5.2036, evm.model.RL_8.2096	AT5G60180.1, AT5G60110.1
OG0000311	evm.model.RL_4.1982	AT5G16570.1
OG0000311	evm.model.RL_5.2161	AT1G48470.1
OG0000311	evm.model.RL_2.463	AT5G37600.1
OG0000311	evm.model.RL_3.998	AT1G66200.3
OG0000313	evm.model.RL_2.1568	AT4G20200.1
OG0000313	evm.model.RL_3.1012, evm.model.RL_1.2839	AT3G29110.1, AT4G20210.1
OG0000314	evm.model.RL_5.327	AT1G04750.1
OG0000314	evm.model.RL_5.328	AT1G04760.1
OG0000314	evm.model.RL_6.1397	AT2G33120.2
OG0000316	evm.model.RL_6.2182, evm.model.RL_6.2173	AT2G40560.1, AT2G40500.1
OG0000319	evm.model.RL_8.2110	AT1G07940.1, AT1G07920.1, AT1G07930.1, AT5G60390.1
OG0000320	evm.model.RL_3.706, evm.model.RL_3.707, evm.model.RL_3.708	AT5G39775.1
OG0000321	evm.model.RL_2.498	AT5G37920.1, AT5G37430.1, AT5G37410.2, AT4G16530.1, AT5G37420.1
OG0000322	evm.model.RL_3.2239, evm.model.RL_3.2238	AT1G78400.1
OG0000323	evm.model.RL_8.1505	AT5G54145.1
OG0000323	evm.model.RL_2.2282	AT4G27657.1
OG0000323	evm.model.RL_2.2280	AT4G27652.1
OG0000325	evm.model.RL_1.2773	AT1G43720.1
OG0000328	evm.model.RL_2.327, evm.model.RL_2.314	AT5G38960.1
OG0000328	evm.model.RL_2.313, evm.model.RL_2.322, evm.model.RL_2.316, evm.model.RL_2.318, evm.model.RL_2.320	AT5G38930.1, AT5G38940.2
OG0000329	evm.model.RL_6.2598	AT2G44700.1, AT2G44630.1
OG0000329	evm.model.RL_1.1997	AT4G02310.1
OG0000330	evm.model.RL_7.370, evm.model.RL_7.371	AT3G59460.1
OG0000332	evm.model.RL_1.1873, evm.model.RL_5.2031	AT4G14960.2, AT1G04820.1, AT1G50010.1
OG0000334	evm.model.RL_7.998	AT3G53810.1
OG0000334	evm.model.RL_4.686	AT4G02420.1
OG0000334	evm.model.RL_8.264	AT4G02410.1
OG0000335	evm.model.RL_5.357, evm.model.RL_5.356	AT1G05005.1
OG0000335	evm.model.RL_2.1239, evm.model.RL_5.2346, evm.model.RL_5.2348	AT1G43010.1
OG0000335	evm.model.RL_1.1041	AT3G11350.1
OG0000335	evm.model.RL_5.3094	AT1G28020.1
OG0000336	evm.model.RL_3.1689_evm.model.RL_3.1692, evm.model.RL_3.1695, evm.model.RL_3.1694, evm.model.RL_3.1693, evm.model.RL_3.1696	AT1G72920.1, AT1G72930.1
OG0000336	evm.model.RL_5.1597	AT1G17615.1
OG0000336	evm.model.RL_3.1688	AT1G72890.2
OG0000339	evm.model.RL_2.1855.1.687c86e4	AT4G23400.1
OG0000339	evm.model.RL_8.60	AT4G00430.1
OG0000339	evm.model.RL_7.229	AT3G61430.1
OG0000342	evm.model.RL_2.164, evm.model.RL_2.1788	AT5G41740.2, AT5G41750.1, AT5G41550.1
OG0000344	evm.model.RL_2.1757	AT5G26000.1
OG0000345	evm.model.RL_5.1126	AT1G12660.1
OG0000347	evm.model.RL_1.1092	AT2G15660.1, AT2G40210.1, AT2G26880.1
OG0000349	evm.model.RL_2.3096	AT4G35733.1
OG0000349	evm.model.RL_6.1047	AT2G26160.1, AT3G25750.2, AT1G44080.1
OG0000350	evm.model.RL_5.2955	AT1G29740.1
OG0000355	evm.model.RL_3.2369	AT1G80960.1
OG0000356	evm.model.RL_4.1089, evm.model.RL_4.1075, evm.model.RL_4.842	AT5G27050.1, AT5G26865.1, AT5G27090.1, AT5G27944.1, AT5G27580.1, AT5G26950.1, AT5G27070.1
OG0000358	evm.model.RL_4.2634, evm.model.RL_5.756, evm.model.RL_5.280	AT1G04270.1
OG0000358	evm.model.RL_4.512	AT5G43640.1
OG0000358	evm.model.RL_4.2635	AT5G09500.1
OG0000358	evm.model.RL_4.2636	AT5G09490.1
OG0000359	evm.model.RL_5.2921	AT1G29920.1, AT1G29910.1, AT1G29930.1
OG0000359	evm.model.RL_6.1531	AT2G34430.1
OG0000360	evm.model.RL_8.2767	AT5G66890.1
OG0000361	evm.model.RL_1.1054	AT3G11480.1
OG0000362	evm.model.RL_3.1363	AT1G69730.1
