Orthogroup	Cardamine_amara	Brassica_rapa
OG0000046	evm.model.RL_3.1071, evm.model.RL_3.1072, evm.model.RL_3.1077	XP_009127512.1
OG0000046	evm.model.RL_3.1059, evm.model.RL_3.1065	XP_009105243.1
OG0000046	evm.model.RL_2.393	XP_009140168.2
OG0000047	evm.model.RL_2.1217	XP_033143282.1
OG0000047	evm.model.RL_7.1965, evm.model.RL_1.2799, evm.model.RL_1.325, evm.model.RL_5.3533, evm.model.RL_5.3697	XP_033144765.1
OG0000052	evm.model.RL_5.167	XP_009119376.1, XP_009121616.2, XP_009118690.1
OG0000052	evm.model.RL_8.2684	XP_009103279.2
OG0000052	evm.model.RL_6.1412	XP_018513039.2
OG0000052	evm.model.RL_8.741	XP_009142068.2
OG0000053	evm.model.RL_1.2655	XP_033139374.1, XP_033132002.1, XP_033134279.1, XP_033139086.1
OG0000054	evm.model.RL_1.2395	XP_033142357.1, XP_018510166.2, XP_033133480.1, XP_033147005.1, XP_033139689.1, XP_033136013.1, XP_033134954.1, XP_033139139.1, XP_033133474.1, XP_033146466.1, XP_009142118.2, XP_033146227.1, XP_033142442.1, XP_033147250.1, XP_009146086.3, XP_033133008.1, XP_033145348.1, XP_033133733.1, XP_009116216.2, XP_033134663.1, XP_033142529.1, XP_033131432.1, XP_009113835.2, XP_033144022.1, XP_033129213.1, XP_033128634.1, XP_033135782.1, XP_009130102.2, XP_033129833.1, XP_033136281.1, XP_018514499.2, XP_033135651.1, XP_033144006.1, XP_033145716.1, XP_033142399.1, XP_033140420.1, XP_009137187.2, XP_033131840.1, XP_009151508.2, XP_018509023.2, XP_033138604.1, XP_009117323.1, XP_033134470.1, XP_033147165.1, XP_033131882.1, XP_033142575.1, XP_033136842.1, XP_033144573.1, XP_033132171.1, XP_033130307.1, XP_033147946.1
OG0000054	evm.model.RL_1.3123	XP_033141862.1, XP_033141849.1
OG0000056	evm.model.RL_2.634	XP_033148496.1, XP_033129519.1, XP_033128162.1, XP_033146737.1, XP_009145557.2, XP_033134361.1, XP_033128616.1, XP_009122875.1, XP_009115922.2, XP_033141779.1
OG0000058	evm.model.RL_6.762	XP_009138599.2, XP_033145680.1
OG0000059	evm.model.RL_6.844	XP_009132643.2
OG0000059	evm.model.RL_7.2089	XP_033133942.1
OG0000060	evm.model.RL_3.1064, evm.model.RL_3.817, evm.model.RL_8.1029, evm.model.RL_7.1968	XP_033141193.1, XP_033133785.1, XP_033130752.1, XP_033140199.1, XP_033147116.1, XP_033132497.1, XP_033146481.1, XP_033142010.1, XP_033139569.1, XP_033138489.1, XP_033143386.1, XP_033143075.1, XP_033134221.1, XP_033136411.1, XP_033134991.1, XP_033137009.1, XP_033139491.1, XP_033141273.1, XP_033132844.1
OG0000061	evm.model.RL_6.2867, evm.model.RL_7.2504, evm.model.RL_7.1966, evm.model.RL_8.1041	XP_009107884.2, XP_033132815.1, XP_033129160.1, XP_033139711.1, XP_033142712.1, XP_009107885.2, XP_009136781.1
OG0000062	evm.model.RL_2.991, evm.model.RL_6.777	XP_033138187.1, XP_033145404.1, XP_033140709.1, XP_033132651.1, XP_033140705.1
OG0000065	evm.model.RL_3.828, evm.model.RL_2.702, evm.model.RL_4.719, evm.model.RL_7.2023, evm.model.RL_6.638, evm.model.RL_4.727	XP_009134880.2
OG0000065	evm.model.RL_2.685, evm.model.RL_5.2501	XP_033134685.1
OG0000066	evm.model.RL_8.2622	XP_009125303.1, XP_009114048.1, XP_009110843.1, XP_009131154.1, XP_009129719.2, XP_009112178.1
OG0000067	evm.model.RL_7.2627	XP_033144949.1, XP_033144954.1, XP_009122279.3, XP_033137765.1
OG0000069	evm.model.RL_8.289	XP_009127653.1, XP_033133929.1
OG0000069	evm.model.RL_1.2285	XP_009130609.1
OG0000069	evm.model.RL_4.1093	XP_009108668.2, XP_009139306.1, XP_009132645.2, XP_009122924.1, XP_033144992.1, XP_033143312.1
OG0000070	evm.model.RL_6.573	XP_033139447.1
OG0000070	evm.model.RL_6.606	XP_033139530.1, XP_033129378.1, XP_033138989.1, XP_033129363.1
OG0000070	evm.model.RL_1.3315	XP_033143392.1
OG0000072	evm.model.RL_3.783	XP_033129717.1, XP_033139404.1, XP_033133988.1, XP_033135850.1, XP_033142467.1, XP_033139430.1, XP_033138987.1, XP_033134841.1, XP_018511390.2, XP_033134038.1
OG0000073	evm.model.RL_4.146, evm.model.RL_4.158.2.687c86cd, evm.model.RL_4.151, evm.model.RL_4.156	XP_018512047.1, XP_009134864.2
OG0000073	evm.model.RL_6.501	XP_009123255.2
OG0000073	evm.model.RL_5.2720	XP_018510070.1
OG0000073	evm.model.RL_4.175	XP_033128241.1
OG0000076	evm.model.RL_6.1653	XP_033139477.1, XP_033135650.1
OG0000077	evm.model.RL_2.3381	XP_009101862.1
OG0000078	evm.model.RL_3.798	XP_033148565.1, XP_033138831.1, XP_033140785.1, XP_033144149.1, XP_033135355.1, XP_033142711.1, XP_018512940.2, XP_033147279.1, XP_033143194.1, XP_033143619.1, XP_033148618.1, XP_033148616.1, XP_009119775.3
OG0000080	evm.model.RL_5.3416	XP_009140814.1, XP_033145824.1
OG0000081	evm.model.RL_6.922	XP_033129328.1
OG0000086	evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410	XP_033135741.1, XP_033136271.1, XP_033135743.1, XP_009124087.2, XP_009124650.2, XP_033135477.1, XP_033135744.1, XP_033135687.1, XP_033136269.1, XP_009124058.2, XP_033135742.1, XP_033136268.1, XP_033136272.1, XP_033135685.1, XP_033135749.1, XP_033135747.1, XP_033135746.1, XP_033136270.1, XP_033135748.1, XP_033134284.1, XP_033134283.1, XP_033135684.1, XP_033135688.1, XP_033135686.1, XP_033134282.1
OG0000087	evm.model.RL_4.1345	XP_009150907.1
OG0000087	evm.model.RL_6.1057	XP_009141007.2, XP_009144365.1
OG0000087	evm.model.RL_7.1685	XP_009149954.2, XP_009150568.2
OG0000087	evm.model.RL_4.2360	XP_009121863.1
OG0000087	evm.model.RL_6.1567	XP_018514901.1
OG0000087	evm.model.RL_4.428	XP_009123590.1, XP_009113926.1, XP_009101721.2
OG0000087	evm.model.RL_2.1599	XP_009134084.2, XP_009108485.1, XP_009137158.2
OG0000087	evm.model.RL_3.1990	XP_009106234.1
OG0000088	evm.model.RL_7.1629	XP_009140910.1, XP_009140909.1, XP_009144708.1, XP_018509698.1, XP_033132378.1, XP_009145790.1, XP_009149894.1, XP_009113892.3, XP_009131995.2, XP_009116363.1, XP_033142283.1, XP_009119422.1
OG0000088	evm.model.RL_8.1137	XP_033147614.1, XP_009143939.1
OG0000089	evm.model.RL_4.2603	XP_009131124.2, XP_033138402.1, XP_009125344.2
OG0000089	evm.model.RL_1.1790.1.687c87ee	XP_009135599.1
OG0000089	evm.model.RL_1.1121	XP_009146646.1
OG0000090	evm.model.RL_5.1846	XP_009149503.1
OG0000090	evm.model.RL_3.2006	XP_009104691.1, XP_009106248.2, XP_009128146.1
OG0000090	evm.model.RL_7.2013, evm.model.RL_7.2546	XP_033136464.1
OG0000090	evm.model.RL_5.885	XP_009123589.1
OG0000091	evm.model.RL_6.574	XP_033137946.1, XP_033148506.1, XP_033132966.1, XP_033137727.1, XP_033133706.1, XP_033130644.1, XP_033138320.1, XP_033134828.1, XP_033135499.1, XP_033134512.1, XP_033147054.1, XP_033129517.1, XP_033143445.1, XP_033146393.1, XP_033143677.1, XP_033139198.1, XP_033136415.1, XP_033134353.1, XP_033138755.1, XP_033141149.1, XP_033143319.1, XP_033128894.1, XP_033130640.1, XP_033143668.1, XP_033141419.1, XP_033133993.1, XP_033137249.1, XP_033138754.1, XP_033138330.1, XP_033140612.1, XP_033147189.1, XP_033129542.1, XP_033138315.1, XP_033143504.1, XP_033133746.1, XP_033148508.1, XP_033143443.1, XP_033129516.1, XP_033146386.1, XP_033143320.1, XP_033141422.1, XP_033137941.1, XP_033130638.1, XP_033134506.1, XP_033137725.1, XP_033138287.1, XP_033147048.1, XP_033133699.1, XP_033141217.1, XP_033145272.1, XP_033147178.1, XP_033129433.1, XP_033138180.1, XP_033133992.1, XP_033147184.1, XP_033139199.1, XP_033143447.1, XP_033140621.1, XP_033134045.1, XP_033138337.1, XP_033143514.1, XP_033129559.1
OG0000093	evm.model.RL_7.523	XP_009138966.1, XP_009138965.1
OG0000093	evm.model.RL_7.525	XP_009104131.1
OG0000096	evm.model.RL_3.612	XP_033134075.1
OG0000096	evm.model.RL_4.275	XP_018512146.1
OG0000097	evm.model.RL_8.394	XP_009110937.1, XP_033135887.1
OG0000099	evm.model.RL_3.85	XP_033135394.1
OG0000101	evm.model.RL_3.344	XP_033135321.1
OG0000101	evm.model.RL_2.338	XP_009140612.2
OG0000104	evm.model.RL_6.1001, evm.model.RL_6.1005, evm.model.RL_6.1006	XP_033145187.1, XP_033131572.1
OG0000104	evm.model.RL_5.2109	XP_033146903.1
OG0000104	evm.model.RL_1.2055	XP_009135746.2
OG0000105	evm.model.RL_1.2669	XP_009137116.1, XP_033133953.1, XP_009136059.1, XP_033134262.1, XP_009137083.1, XP_033138770.1, XP_033148598.1
OG0000105	evm.model.RL_6.453	XP_033131858.1, XP_009150028.1
OG0000106	evm.model.RL_7.1393	XP_033146796.1
OG0000107	evm.model.RL_1.2019, evm.model.RL_1.2021, evm.model.RL_1.1929	XP_009111243.1
OG0000108	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166	XP_009150964.1
OG0000108	evm.model.RL_3.231	XP_033144223.1, XP_009137095.2, XP_033143042.1
OG0000108	evm.model.RL_1.3010	XP_033141220.1
OG0000109	evm.model.RL_1.2946	XP_033136189.1, XP_033128016.1
OG0000110	evm.model.RL_7.1925	XP_009116587.1, XP_018508692.1
OG0000110	evm.model.RL_7.432	XP_033130960.1
OG0000111	evm.model.RL_8.2409	XP_033136550.1
OG0000113	evm.model.RL_4.208	XP_009113081.1, XP_033135475.1, XP_033135474.1
OG0000113	evm.model.RL_2.339	XP_033134179.1
OG0000116	evm.model.RL_5.1553	XP_033143155.1, XP_033140094.1, XP_033144252.1, XP_033142122.1, XP_033128680.1, XP_033134536.1, XP_018509424.1, XP_033143756.1, XP_033139777.1, XP_033134845.1
OG0000120	evm.model.RL_3.399, evm.model.RL_3.395	XP_033136614.1, XP_033135828.1
OG0000120	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932	XP_033133710.1, XP_009107578.2, XP_033128024.1
OG0000120	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504	XP_009122928.1
OG0000122	evm.model.RL_5.2721	XP_033142107.1
OG0000123	evm.model.RL_5.1209	XP_033137383.1
OG0000124	evm.model.RL_3.893	XP_009124883.1
OG0000124	evm.model.RL_4.540	XP_033130441.1, XP_009107043.1
OG0000125	evm.model.RL_4.1435	XP_009131894.1, XP_009120626.1
OG0000125	evm.model.RL_8.2069	XP_009120513.1
OG0000125	evm.model.RL_6.979	XP_009133865.1, XP_009103710.2, XP_009140934.1
OG0000126	evm.model.RL_1.2513	XP_033143378.1, XP_033148321.1, XP_033128667.1, XP_033148285.1, XP_033143377.1, XP_033146924.1, XP_033148306.1, XP_033147791.1, XP_009121383.1, XP_033148593.1, XP_033148614.1, XP_033131093.1, XP_033148497.1, XP_033139481.1, XP_033136965.1, XP_009139315.2, XP_033135969.1, XP_009151987.2, XP_033131789.1
OG0000126	evm.model.RL_6.543, evm.model.RL_3.859	XP_033148541.1, XP_009123429.1
OG0000127	evm.model.RL_4.3345	XP_033137562.1
OG0000127	evm.model.RL_4.3343	XP_009122823.2
OG0000127	evm.model.RL_1.822	XP_033147907.1
OG0000128	evm.model.RL_3.654	XP_009102138.1
OG0000128	evm.model.RL_5.2370	XP_033143891.1
OG0000130	evm.model.RL_6.625, evm.model.RL_6.679, evm.model.RL_1.2657, evm.model.RL_2.717, evm.model.RL_7.2033, evm.model.RL_2.727, evm.model.RL_6.626, evm.model.RL_4.730, evm.model.RL_2.674, evm.model.RL_6.690, evm.model.RL_5.2485, evm.model.RL_6.704, evm.model.RL_2.679, evm.model.RL_6.643, evm.model.RL_4.724, evm.model.RL_5.2503, evm.model.RL_6.691, evm.model.RL_6.707	XP_033139204.1, XP_033139206.1, XP_033130109.1, XP_033139257.1, XP_033139384.1, XP_033139288.1, XP_033139213.1, XP_033139243.1, XP_033139062.1, XP_033148890.1, XP_033139506.1, XP_033139372.1, XP_033139097.1, XP_033139064.1, XP_033143333.1, XP_033139363.1, XP_033138947.1, XP_033139543.1, XP_033139216.1, XP_033139341.1, XP_033139011.1, XP_033139146.1, XP_033139032.1, XP_033139381.1, XP_033138861.1, XP_033141145.1, XP_033131597.1, XP_033132016.1, XP_033139170.1, XP_033138937.1, XP_033138886.1, XP_033139214.1, XP_033141929.1, XP_033146982.1, XP_033130754.1
OG0000132	evm.model.RL_8.1179	XP_009122979.1, XP_033134167.1, XP_033135118.1, XP_009134460.2, XP_009115039.1, XP_033132498.1, XP_009137034.2, XP_033135204.1
OG0000135	evm.model.RL_5.2242	XP_033148633.1
OG0000135	evm.model.RL_4.523, evm.model.RL_3.1563	XP_009140415.1, XP_018513882.1
OG0000136	evm.model.RL_3.1028	XP_033130821.1, XP_009132807.1
OG0000137	evm.model.RL_7.1543	XP_033137251.1, XP_009144927.1, XP_009139448.1, XP_009145189.1, XP_033139475.1, XP_009150285.1, XP_033144074.1, XP_009103633.1, XP_033128191.1, XP_033146613.1, XP_009144615.1
OG0000137	evm.model.RL_2.50	XP_033145235.1
OG0000139	evm.model.RL_6.1684	XP_033139417.1, XP_033139151.1, XP_033139496.1, XP_009123582.1, XP_033139112.1, XP_033139560.1, XP_033138953.1, XP_033138866.1, XP_033139320.1
OG0000139	evm.model.RL_8.982	XP_033139082.1, XP_033139319.1, XP_033139091.1, XP_033139398.1, XP_033138913.1
OG0000140	evm.model.RL_8.2003	XP_033142717.1
OG0000142	evm.model.RL_6.1033, evm.model.RL_6.1034	XP_033148630.1
OG0000142	evm.model.RL_6.1035	XP_033145172.1
OG0000142	evm.model.RL_6.789, evm.model.RL_6.1159	XP_009140985.1, XP_009140992.3
OG0000143	evm.model.RL_8.1036	XP_033139202.1, XP_033144231.1, XP_033143521.1, XP_033139540.1, XP_033141445.1, XP_033137454.1, XP_033128921.1
OG0000143	evm.model.RL_1.2794	XP_033141173.1
OG0000144	evm.model.RL_8.1451	XP_033132530.1, XP_018511928.1, XP_033134783.1, XP_033143848.1, XP_033146667.1
OG0000145	evm.model.RL_2.934	XP_033135470.1, XP_033140902.1
OG0000145	evm.model.RL_8.608	XP_033137037.1, XP_033141981.1
OG0000147	evm.model.RL_1.3091	XP_009150710.2
OG0000147	evm.model.RL_2.2536	XP_009109000.1
OG0000147	evm.model.RL_8.1812	XP_033141904.1, XP_009120261.2
OG0000147	evm.model.RL_3.2406	XP_009106729.2, XP_018508569.2
OG0000147	evm.model.RL_1.2583	XP_018513014.1
OG0000147	evm.model.RL_6.348	XP_009117122.1
OG0000149	evm.model.RL_7.1737	XP_033129346.1
OG0000149	evm.model.RL_7.1739	XP_009150292.1
OG0000150	evm.model.RL_7.1810	XP_033139673.1
OG0000151	evm.model.RL_8.1422	XP_009119874.1
OG0000151	evm.model.RL_2.2307	XP_009144093.1, XP_009109116.1
OG0000151	evm.model.RL_1.777	XP_009135093.1, XP_009146989.1, XP_009123804.1
OG0000151	evm.model.RL_1.2853	XP_009136334.1, XP_009121200.1
OG0000151	evm.model.RL_8.1691	XP_018510771.1, XP_018512593.2
OG0000151	evm.model.RL_3.61	XP_009112816.1, XP_009112891.1
OG0000152	evm.model.RL_7.117, evm.model.RL_2.778, evm.model.RL_2.919, evm.model.RL_5.2414, evm.model.RL_4.661, evm.model.RL_4.735, evm.model.RL_6.581, evm.model.RL_1.2711, evm.model.RL_2.713, evm.model.RL_2.777, evm.model.RL_6.572, evm.model.RL_8.1671, evm.model.RL_6.2907, evm.model.RL_4.1821, evm.model.RL_6.815, evm.model.RL_7.1603	XP_033148198.1, XP_033147971.1, XP_033133696.1, XP_033144131.1, XP_033133396.1, XP_033147396.1, XP_033135350.1, XP_033148073.1, XP_033136129.1, XP_033148068.1, XP_033142141.1
OG0000154	evm.model.RL_6.951, evm.model.RL_5.1456	XP_009110463.1, XP_009149047.1
OG0000154	evm.model.RL_2.489	XP_033137307.1, XP_009122772.2, XP_009122774.3
OG0000155	evm.model.RL_2.2243	XP_009143289.2, XP_009137650.1
OG0000156	evm.model.RL_4.1065	XP_009142347.1
OG0000156	evm.model.RL_8.1108, evm.model.RL_8.1107, evm.model.RL_6.2691	XP_018514087.1
OG0000158	evm.model.RL_2.2746	XP_009104904.1
OG0000158	evm.model.RL_6.58	XP_033134979.1
OG0000161	evm.model.RL_3.891	XP_009127389.1
OG0000161	evm.model.RL_3.897	XP_033146830.1, XP_033146831.1
OG0000162	evm.model.RL_4.640, evm.model.RL_2.640	XP_009138832.1, XP_033145512.1, XP_009138923.1
OG0000162	evm.model.RL_6.2628	XP_009143082.1
OG0000164	evm.model.RL_4.581, evm.model.RL_2.1488	XP_033129371.1
