Orthogroup	Cardamine_amara	Brassica_napus
OG0000026	evm.model.RL_7.315	XP_013645721.1, XP_013673982.1, XP_022544275.2, XP_022546075.2, XP_013742091.2, XP_013642305.2, XP_013748306.2, XP_048604834.1, XP_013745200.2, XP_022570115.1, XP_048591410.1, XP_048629058.1, XP_048609175.1, XP_013695840.2, XP_013689267.2, XP_013689142.2, XP_022565688.2, XP_013704163.2, XP_048633191.1, XP_048596374.1, XP_013694198.1, XP_013655249.2, XP_013709327.2, XP_022568227.1, XP_048619935.1, XP_048624252.1, XP_048613225.1, XP_048605392.1, XP_048608748.1
OG0000027	evm.model.RL_5.2839	XP_022567836.1, XP_022546469.2, XP_048595041.1
OG0000027	evm.model.RL_7.603, evm.model.RL_7.580	XP_013663491.2, XP_013663656.1
OG0000028	evm.model.RL_7.2004, evm.model.RL_7.2001, evm.model.RL_7.2002, evm.model.RL_7.4, evm.model.RL_5.3115	XP_013665034.1
OG0000028	evm.model.RL_4.1689	XP_048615845.1, XP_013745854.2, XP_013730647.1, XP_013720478.1, XP_013649023.1, XP_013709149.1, XP_013645637.1, XP_013668696.1, XP_013732741.2, XP_048635134.1, XP_048613316.1, XP_022553264.2, XP_013652806.1, XP_048596339.1, XP_013732607.1, XP_048596328.1, XP_013716211.2, XP_013663457.2, XP_048613315.1, XP_048611865.1, XP_013645696.2, XP_048605437.1, XP_048625180.1, XP_048607633.1, XP_013665469.2, XP_013726546.1, XP_048638265.1, XP_013688983.1, XP_022558343.1, XP_013706275.2, XP_013650677.1, XP_013705054.1, XP_013729440.1, XP_013668860.2, XP_022548807.2, XP_013646182.2, XP_048623697.1, XP_013651197.1, XP_013658604.1, XP_013707922.2, XP_013679109.3, XP_013745224.1, XP_048616838.1, XP_013704224.2, XP_048593390.1, XP_013650700.1, XP_048627799.1, XP_013658458.1, XP_013719392.2, XP_013704816.2, XP_048613359.1, XP_048611760.1, XP_022561462.1, XP_048624139.1, XP_048613477.1, XP_048599192.1, XP_048615949.1, XP_013658247.1, XP_048603572.1, XP_022549798.1, XP_013645232.1, XP_048632999.1, XP_013725945.1, XP_022557655.1, XP_048637584.1, XP_048593411.1, XP_013652335.1, XP_048599560.1, XP_048618607.1, XP_013645857.1, XP_013718802.1, XP_013720035.1, XP_013657814.2, XP_022562306.1, XP_048615853.1, XP_013717166.2, XP_013723155.1, XP_013665035.2, XP_048613429.1, XP_013709292.1, XP_048622652.1
OG0000029	evm.model.RL_8.656	XP_013655251.2, XP_013679244.2
OG0000029	evm.model.RL_4.797	XP_048605707.1
OG0000029	evm.model.RL_5.2382	XP_048613259.1, XP_048627705.1, XP_048634162.1, XP_048637574.1, XP_048591545.1, XP_013689748.1, XP_013719196.1
OG0000030	evm.model.RL_7.2074	XP_013673703.1
OG0000030	evm.model.RL_5.2342	XP_048634976.1
OG0000030	evm.model.RL_3.1268, evm.model.RL_5.2343, evm.model.RL_6.2258	XP_013654433.1, XP_048605211.1, XP_048622936.1, XP_013658434.2, XP_048626196.1
OG0000031	evm.model.RL_3.758	XP_013733295.2, XP_013664368.1
OG0000033	evm.model.RL_2.1834, evm.model.RL_2.1824	XP_013714969.1, XP_013737559.2, XP_022555869.1, XP_013694313.2, XP_013737653.2, XP_013694321.1
OG0000033	evm.model.RL_2.1847, evm.model.RL_2.1846	XP_022573444.1, XP_048597043.1, XP_048601628.1, XP_048597076.1
OG0000033	evm.model.RL_2.1820_evm.model.RL_2.1823	XP_013737581.2
OG0000033	evm.model.RL_8.413	XP_048596713.1, XP_013644429.1
OG0000034	evm.model.RL_5.2588	XP_048623297.1, XP_048623038.1, XP_048592734.1, XP_022574481.2, XP_048621898.1, XP_048603766.1, XP_048602612.1, XP_048593533.1, XP_048614495.1, XP_013658499.2
OG0000034	evm.model.RL_2.4	XP_048629230.1, XP_048613039.1
OG0000034	evm.model.RL_5.2586	XP_048618955.1, XP_048630873.1, XP_048604268.1, XP_013720627.2, XP_048604734.1, XP_022561433.2
OG0000034	evm.model.RL_4.675	XP_048628411.1, XP_048614818.1, XP_048630350.1, XP_048633211.1, XP_013657802.1, XP_013683745.1, XP_013734837.1, XP_013688359.1, XP_013749796.1, XP_013672505.1, XP_048603409.1, XP_048628910.1, XP_048628410.1, XP_048614058.1, XP_048624623.1, XP_048619694.1, XP_022569352.1, XP_048592466.1, XP_013687328.1, XP_013653378.1
OG0000036	evm.model.RL_1.2959	XP_048604916.1, XP_048611480.1, XP_048605348.1
OG0000036	evm.model.RL_5.2564	XP_048604985.1
OG0000036	evm.model.RL_2.742, evm.model.RL_2.665	XP_048634998.1, XP_048633135.1, XP_048631005.1, XP_048628642.1, XP_013679728.2, XP_048628613.1, XP_013704206.1, XP_048613286.1, XP_013689017.1, XP_013723742.2, XP_048596196.1, XP_013669690.1, XP_048622803.1, XP_048605475.1, XP_013665380.2, XP_013713590.2, XP_048634962.1, XP_048619840.1, XP_048604795.1, XP_048605056.1, XP_013721762.1, XP_013745805.1, XP_048591395.1, XP_048633128.1, XP_048634988.1, XP_048636937.1, XP_022570208.2, XP_048599567.1, XP_013689571.2, XP_013689575.1, XP_048620303.1, XP_048635023.1, XP_048591429.1, XP_013751417.2, XP_048630409.1, XP_048627410.1, XP_048632997.1, XP_048591345.1, XP_048630860.1, XP_048635784.1, XP_048615571.1, XP_013674398.1, XP_048627287.1, XP_048596389.1, XP_048627847.1, XP_013658424.2, XP_048608393.1, XP_013658575.1, XP_013659482.2, XP_048619926.1, XP_013729499.1, XP_013674029.1, XP_022549692.2, XP_013669055.1, XP_048634960.1, XP_048629054.1, XP_013700503.1, XP_013705965.1, XP_013719878.1, XP_048635001.1, XP_048612013.1, XP_048605396.1, XP_013657831.1, XP_022573022.1
OG0000037	evm.model.RL_4.2891, evm.model.RL_5.3695	XP_013751552.2
OG0000037	evm.model.RL_3.518	XP_048618200.1
OG0000040	evm.model.RL_2.1272	XP_048596338.1
OG0000040	evm.model.RL_3.1121	XP_013706039.1, XP_013675588.2, XP_013719126.2, XP_013716736.2, XP_048611111.1, XP_013747379.2
OG0000042	evm.model.RL_3.4	XP_013669693.1, XP_013728373.1, XP_048599707.1
OG0000042	evm.model.RL_3.1074, evm.model.RL_8.1561, evm.model.RL_3.1047	XP_013674220.1
OG0000042	evm.model.RL_7.1972	XP_013653696.1, XP_013673846.1, XP_048629753.1
OG0000042	evm.model.RL_6.2221	XP_048596563.1, XP_048608023.1
OG0000043	evm.model.RL_6.792	XP_013699896.1
OG0000043	evm.model.RL_8.981, evm.model.RL_8.1077	XP_013713707.2, XP_048604980.1
OG0000043	evm.model.RL_1.2849	XP_048605617.1, XP_013751538.1
OG0000043	evm.model.RL_3.816	XP_048605762.1, XP_022575840.1, XP_048636416.1, XP_048615744.1, XP_013662062.1, XP_048605629.1, XP_013668954.1
OG0000043	evm.model.RL_5.2584	XP_048599779.1, XP_048623896.1, XP_013688873.1, XP_022560137.1, XP_013660823.1
OG0000043	evm.model.RL_2.394	XP_048622617.1, XP_013699880.1, XP_048611690.1, XP_048599987.1, XP_048623798.1, XP_022552322.2, XP_013689963.1
OG0000044	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682	XP_048617149.1, XP_048606242.1, XP_022575854.1, XP_022568454.1, XP_048630632.1, XP_048619316.1, XP_048610212.1, XP_022564020.1, XP_048603735.1, XP_048596312.1, XP_013729463.1, XP_048615563.1, XP_048637468.1, XP_013735816.1, XP_048599977.1, XP_013733293.2, XP_048591383.1, XP_048592554.1, XP_048605908.1, XP_048613135.1, XP_048623805.1, XP_048631733.1, XP_048591444.1, XP_048600193.1, XP_048606399.1, XP_048605166.1, XP_022567046.1, XP_048620073.1, XP_022552709.1, XP_048609363.1, XP_048607154.1, XP_048626706.1, XP_048595608.1, XP_048604688.1, XP_048627544.1, XP_048616284.1, XP_022552197.1, XP_048628171.1, XP_048608413.1, XP_048628439.1, XP_048593377.1, XP_013724632.2, XP_013723763.2
OG0000044	evm.model.RL_3.633, evm.model.RL_7.2338, evm.model.RL_8.226, evm.model.RL_2.659	XP_022547672.2, XP_013669672.2, XP_048623948.1, XP_048598164.1, XP_048613213.1, XP_048615669.1, XP_013642234.3, XP_013669592.2, XP_048608518.1, XP_013736305.1
OG0000045	evm.model.RL_2.587	XP_013653957.2, XP_048610024.1
OG0000045	evm.model.RL_7.883, evm.model.RL_8.1002	XP_013751220.1, XP_022546552.1, XP_013694239.1, XP_048628468.1, XP_013724424.1, XP_013689123.2, XP_013713286.1, XP_013669586.1
OG0000045	evm.model.RL_1.930	XP_048596540.1, XP_048637065.1, XP_013739454.2, XP_048612059.1, XP_013727563.2, XP_048604915.1, XP_013733850.2, XP_013710371.1, XP_022552649.1, XP_048615901.1, XP_048612605.1
OG0000046	evm.model.RL_2.391	XP_048633450.1, XP_013710778.1
OG0000046	evm.model.RL_2.1379	XP_048638243.1, XP_013669844.2
OG0000046	evm.model.RL_2.389, evm.model.RL_2.387	XP_013724742.2
OG0000046	evm.model.RL_3.1071, evm.model.RL_3.1072, evm.model.RL_3.1077	XP_048616752.1, XP_048610981.1, XP_048604137.1
OG0000046	evm.model.RL_3.1059, evm.model.RL_3.1065	XP_048591561.1
OG0000046	evm.model.RL_2.393	XP_048633516.1, XP_048628795.1, XP_048612190.1
OG0000047	evm.model.RL_2.1217	XP_048606465.1, XP_048615063.1, XP_048630782.1, XP_022563248.1
OG0000047	evm.model.RL_7.1965, evm.model.RL_1.2799, evm.model.RL_1.325, evm.model.RL_5.3533, evm.model.RL_5.3697	XP_013727892.1
OG0000049	evm.model.RL_4.948	XP_013716690.2
OG0000052	evm.model.RL_5.167	XP_048613662.1, XP_048599350.1, XP_013680648.2, XP_022549241.2, XP_048598261.1, XP_048597938.1
OG0000052	evm.model.RL_8.2684	XP_013673228.2, XP_048599806.1, XP_048637055.1, XP_048609295.1, XP_048601858.1
OG0000052	evm.model.RL_6.1412	XP_048605363.1, XP_048632926.1
OG0000052	evm.model.RL_6.2368	XP_022556477.2
OG0000052	evm.model.RL_8.741	XP_013691544.1, XP_013747419.2
OG0000053	evm.model.RL_1.2655	XP_013740947.1, XP_013741291.2, XP_013676972.1, XP_048633337.1, XP_013647473.2, XP_013741357.2, XP_013691360.1, XP_048610556.1, XP_013713105.2
OG0000054	evm.model.RL_8.912, evm.model.RL_7.2126	XP_048623542.1
OG0000054	evm.model.RL_1.2395	XP_022553428.2, XP_013737743.2, XP_048623720.1, XP_022553704.2, XP_048634735.1, XP_048610596.1, XP_048602294.1, XP_022574445.2, XP_048635553.1, XP_048618573.1, XP_048622748.1, XP_013713188.2, XP_048619894.1, XP_048611783.1, XP_048613170.1, XP_048615234.1, XP_048637818.1, XP_048637045.1, XP_048596138.1, XP_048612574.1, XP_048634954.1, XP_048609051.1, XP_022574301.2, XP_048633225.1, XP_022574506.1, XP_013704260.2, XP_022562802.1, XP_048620993.1, XP_048599089.1, XP_048592551.1, XP_048621337.1, XP_022551131.2, XP_048597720.1, XP_048606142.1, XP_048619790.1, XP_048621209.1, XP_048622552.1, XP_048629346.1, XP_048633888.1, XP_048598954.1, XP_022549978.2, XP_048605107.1, XP_013705438.2, XP_048615650.1, XP_048602917.1, XP_048628816.1, XP_048605478.1, XP_022574390.2, XP_048622671.1, XP_048599304.1, XP_048610747.1, XP_048596260.1, XP_013695048.2, XP_013654745.2, XP_048601641.1, XP_048608968.1, XP_048609577.1, XP_048592841.1, XP_048613136.1, XP_048634116.1, XP_048628169.1, XP_048592471.1, XP_013691238.2, XP_048622172.1, XP_048637571.1, XP_048605502.1, XP_013647204.3, XP_048610577.1, XP_048613967.1, XP_013687924.1, XP_048602061.1, XP_048623747.1, XP_013704261.2, XP_013751821.2, XP_013650559.3, XP_048598103.1, XP_048603738.1, XP_048604831.1, XP_048595714.1, XP_013658115.3, XP_048621182.1, XP_048617675.1, XP_048637491.1, XP_048617786.1, XP_048595653.1, XP_013710693.1, XP_048616894.1, XP_048620459.1, XP_022568362.2, XP_013668723.1, XP_048615647.1, XP_048623398.1, XP_048623607.1, XP_048618016.1, XP_048624004.1, XP_048613408.1, XP_013651174.2, XP_048604895.1, XP_013746819.2, XP_048625926.1, XP_022553477.2
OG0000054	evm.model.RL_1.3123	XP_048616212.1, XP_048616185.1, XP_022570089.2
OG0000055	evm.model.RL_3.277	XP_013670350.1, XP_013691180.2
