Orthogroup	Cardamine_amara	Arabidopsis_lyrata_Rawat
OG0000045	evm.model.RL_7.883, evm.model.RL_8.1002	AL1G56200
OG0000046	evm.model.RL_2.391	AL7G52590
OG0000046	evm.model.RL_2.1379	nbis-gene-1820
OG0000046	evm.model.RL_2.389, evm.model.RL_2.387	AL7G52530, AL7G52540
OG0000046	evm.model.RL_3.1072	AL2G25210
OG0000046	evm.model.RL_3.1077	AL2G25320
OG0000047	evm.model.RL_4.1421	AL5G32340
OG0000052	evm.model.RL_5.167	AL1G20340
OG0000052	evm.model.RL_8.2684	nbis-gene-988, AL2G15770
OG0000052	evm.model.RL_6.1412	AL4G40920, AL4G40910, AL4G40930
OG0000052	evm.model.RL_8.803, evm.model.RL_8.802	AL4G41020
OG0000053	evm.model.RL_1.2655	AL8G40920, AL2G10380, AL1G59190, AL7G34190
OG0000054	evm.model.RL_8.823, evm.model.RL_4.126	AL4G17970
OG0000054	evm.model.RL_1.2395	AL5G18550, nbis-gene-807
OG0000055	evm.model.RL_3.282	AL2G13390, AL2G13990
OG0000055	evm.model.RL_3.286	AL2G14100
OG0000055	evm.model.RL_3.285	AL2G13770
OG0000055	evm.model.RL_3.277	AL2G13840
OG0000056	evm.model.RL_1.2423, evm.model.RL_1.2416	AL8G19360
OG0000057	evm.model.RL_4.2353	AL4G21820
OG0000059	evm.model.RL_7.1801	AL1G51710
OG0000059	evm.model.RL_6.844	AL6G19270
OG0000059	evm.model.RL_7.2089	AL3G42970, AL1G54810
OG0000059	evm.model.RL_4.1269	AL7G45130, AL5G12450, AL1G66530, AL4G19380, AL9U11720, AL5G19450, AL2G14550, AL2G12980, AL6G42590
OG0000059	evm.model.RL_6.807	AL3G36810
OG0000062	evm.model.RL_6.456, evm.model.RL_7.2113, evm.model.RL_2.991, evm.model.RL_6.777	nbis-gene-221
OG0000062	evm.model.RL_1.3086, evm.model.RL_2.842	AL8G14210, AL1G57050, AL5G16890, AL1G58670, AL1G58560, AL4G20020, AL7G36270, AL1G30000, AL5G27080, AL3G51940
OG0000063	evm.model.RL_6.1828	AL5G25220
OG0000063	evm.model.RL_5.633	AL4G23280, AL8G36210
OG0000065	evm.model.RL_2.685, evm.model.RL_5.2501	AL7G38070
OG0000065	evm.model.RL_8.2425, evm.model.RL_6.602, evm.model.RL_6.620, evm.model.RL_3.887, evm.model.RL_6.658, evm.model.RL_3.830, evm.model.RL_3.822, evm.model.RL_6.659, evm.model.RL_4.717, evm.model.RL_2.695, evm.model.RL_5.2490, evm.model.RL_3.832, evm.model.RL_3.819, evm.model.RL_3.833, evm.model.RL_3.826, evm.model.RL_3.824, evm.model.RL_8.1017, evm.model.RL_4.716	AL8G10180, AL5G20920
OG0000066	evm.model.RL_3.1975	AL2G35580
OG0000066	evm.model.RL_5.1818	AL1G32620
OG0000066	evm.model.RL_4.2541, evm.model.RL_5.781, evm.model.RL_8.2623	AL6G20900
OG0000066	evm.model.RL_8.2622	AL5G16700
OG0000067	evm.model.RL_7.2627	AL3G20250, AL3G20240, AL3G20260
OG0000067	evm.model.RL_4.3219, evm.model.RL_4.3254, evm.model.RL_4.3204, evm.model.RL_4.1919, evm.model.RL_4.3196, evm.model.RL_7.1445.4.687c84b9	AL8G28020, AL8G27750, AL1G48230, AL3G11550, AL1G25630, AL6G12910, AL3G38420, AL6G12880, AL6G12890, AL6G12860, AL6G12550, AL5G24850
OG0000069	evm.model.RL_4.1093	AL5G31050, nbis-gene-12, AL1G60290, AL5G25100
OG0000070	evm.model.RL_6.606	AL2G23610
OG0000070	evm.model.RL_1.2599	AL1G50200
OG0000070	evm.model.RL_3.776	AL5G18180, AL5G24080
OG0000071	evm.model.RL_6.950, evm.model.RL_6.355, evm.model.RL_4.341, evm.model.RL_6.3	AL6G40690
OG0000072	evm.model.RL_7.1960, evm.model.RL_3.276, evm.model.RL_1.3082	AL6G46480
OG0000072	evm.model.RL_3.783	AL8G24560, AL4G13100, AL8G26200, AL7G48370, AL1G49480, AL3G45860, AL3G47220, AL5G17870, AL6G38840, AL6G40590, AL1G47050, AL6G52460, AL2G22030, AL8G22080, AL2G35490, AL5G20740, AL7G34330, AL5G17840, AL8G17600, AL2G22170, AL3G44280, AL7G53070, AL1G54140, AL170U10010, AL3G46660, AL7G45510, AL5G10400, AL3G43610, AL4G17930, AL4G12360, AL5G17970, AL9U10780, AL8G20850
OG0000073	evm.model.RL_4.629	AL8G18480
OG0000073	evm.model.RL_4.151, evm.model.RL_4.156	AL8G11920, AL8G12190
OG0000073	evm.model.RL_6.501	AL8G18470, AL3G20910, AL2G19370
OG0000073	evm.model.RL_5.2720	AL6G42230
OG0000073	evm.model.RL_4.648, evm.model.RL_4.365, evm.model.RL_4.175	AL5G18720
OG0000074	evm.model.RL_5.3415	AL1G37280
OG0000076	evm.model.RL_7.1484	AL5G28950
OG0000077	evm.model.RL_4.914, evm.model.RL_4.878	AL34U10100, AL8G22340
OG0000077	evm.model.RL_2.3382	AL7G11690
OG0000077	evm.model.RL_2.3381	nbis-gene-1691
OG0000079	evm.model.RL_7.465	AL5G40740
OG0000079	evm.model.RL_2.379	AL7G52220
OG0000080	evm.model.RL_2.499	AL7G46170
OG0000080	evm.model.RL_5.2173	AL1G55000, AL1G55020, AL1G54370, AL1G25040, AL1G25030
OG0000080	evm.model.RL_5.3416	AL1G53180
OG0000081	evm.model.RL_6.922	nbis-gene-1089, AL3G17170
OG0000081	evm.model.RL_4.293	nbis-gene-419
OG0000084	evm.model.RL_6.376	nbis-gene-1002
OG0000085	evm.model.RL_2.448	AL7G34140, AL7G50840, AL5G16610, AL8G26890, AL8G33470, AL6G34380
OG0000086	evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410	nbis-gene-346, nbis-gene-441, nbis-gene-345, nbis-gene-344, nbis-gene-348, nbis-gene-349, nbis-gene-343, nbis-gene-440, AL2G18870, nbis-gene-342, nbis-gene-436, nbis-gene-1420, nbis-gene-434, nbis-gene-435, nbis-gene-439, nbis-gene-347, nbis-gene-1421, nbis-gene-438, nbis-gene-437, nbis-gene-1419, nbis-gene-2027, nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023
OG0000087	evm.model.RL_4.1345	AL6G35120
OG0000087	evm.model.RL_6.1057	AL4G24260
OG0000087	evm.model.RL_7.1685	AL5G25960
OG0000087	evm.model.RL_4.2360	AL6G23060
OG0000087	evm.model.RL_6.1567	AL4G30750
OG0000087	evm.model.RL_4.428	AL8G15560
OG0000087	evm.model.RL_2.1599	AL7G33260
OG0000087	evm.model.RL_5.1831	AL1G32740
OG0000087	evm.model.RL_3.1990	AL2G35770
OG0000088	evm.model.RL_7.1629	AL5G23250, AL5G26870, AL3G46650, AL5G26810, AL5G26350, AL5G26360
OG0000088	evm.model.RL_8.1137	AL8G24400
OG0000089	evm.model.RL_4.2603	AL6G20220
OG0000089	evm.model.RL_6.2333	AL4G40450, AL4G40460, AL4G40470
OG0000089	evm.model.RL_1.1121	AL3G23740
OG0000089	evm.model.RL_6.1820	AL4G34130, AL4G34190
OG0000090	evm.model.RL_5.1846	AL2G24470, AL4G11370, AL1G32980
OG0000090	evm.model.RL_4.706	AL8G19640
OG0000090	evm.model.RL_3.2006	AL2G35960
OG0000090	evm.model.RL_2.2972	AL7G16760
OG0000090	evm.model.RL_7.2545	AL5G12830, AL3G47920, AL5G12840
OG0000090	evm.model.RL_5.885	AL1G20940
OG0000091	evm.model.RL_6.574	AL2G13330, AL3G42630, AL8G16340
OG0000093	evm.model.RL_7.523	AL5G40110
OG0000093	evm.model.RL_7.532	AL5G39910
OG0000096	evm.model.RL_7.2533	AL5G12940, AL5G12970
OG0000096	evm.model.RL_3.627	AL1G67300
OG0000096	evm.model.RL_4.324	AL8G13920
OG0000096	evm.model.RL_4.323	AL8G13900
OG0000096	evm.model.RL_5.825	AL1G20220
OG0000097	evm.model.RL_8.394	AL6G49050
OG0000097	evm.model.RL_2.828	AL9U10540
OG0000097	evm.model.RL_8.388	AL6G49150
OG0000097	evm.model.RL_8.395	AL320U10020, AL6G49090, AL6G49080, AL6G45160, AL320U10010
OG0000098	evm.model.RL_3.229	AL2G13240
OG0000099	evm.model.RL_3.84, evm.model.RL_3.230, evm.model.RL_3.232	AL6G43420, nbis-gene-368, AL3G46110, AL2G13760
OG0000101	evm.model.RL_2.338	AL7G51590
OG0000101	evm.model.RL_3.664	AL1G66350
OG0000102	evm.model.RL_2.452	AL7G22190
OG0000104	evm.model.RL_6.1006	AL4G23570
OG0000104	evm.model.RL_5.2109	AL1G55940
OG0000104	evm.model.RL_1.2425	AL1G59850
OG0000105	evm.model.RL_1.2669	AL5G25560, AL4G16170
OG0000105	evm.model.RL_6.453	AL1G53250, AL1G56270
OG0000106	evm.model.RL_1.1887, evm.model.RL_1.1895, evm.model.RL_1.1845	AL3G31600, AL3G31620, AL3G31610, AL3G32310, AL3G32820, AL3G50560
OG0000106	evm.model.RL_1.1896	AL3G32300
OG0000107	evm.model.RL_1.1928	AL3G33800, AL3G33790
OG0000107	evm.model.RL_1.2019, evm.model.RL_1.2021	AL3G34900
OG0000107	evm.model.RL_1.1929	AL3G33830, AL3G42780
OG0000108	evm.model.RL_4.1209	AL6G44880
OG0000108	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166	AL1G41020, AL1G41010, AL1G41000, AL1G40990
OG0000108	evm.model.RL_3.231	AL2G26330
OG0000109	evm.model.RL_1.2753, evm.model.RL_6.342	AL433U10010
OG0000110	evm.model.RL_7.771	AL164U10020, AL5G16810
OG0000110	evm.model.RL_7.1925	AL5G41080
OG0000112	evm.model.RL_8.2167	nbis-gene-1017, AL8G37620
OG0000114	evm.model.RL_4.611	AL8G17980, AL20U10050, AL20U10060
OG0000114	evm.model.RL_1.339	AL3G14170
OG0000115	evm.model.RL_4.2608, evm.model.RL_4.2425, evm.model.RL_2.2979	AL1G16160
OG0000116	evm.model.RL_5.1553	AL4G42280
OG0000117	evm.model.RL_8.488	AL60U10030
OG0000117	evm.model.RL_3.358	AL8G20470
OG0000118	evm.model.RL_8.709, evm.model.RL_8.712	AL5G34240, AL3G50380
OG0000119	evm.model.RL_5.2397	AL1G56990, AL4G18060, AL2G19320, AL5G24470, AL6G38890, AL3G40990, AL6G49470
OG0000120	evm.model.RL_3.399, evm.model.RL_3.395	nbis-gene-408, AL2G15570
OG0000120	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504	nbis-gene-1458
OG0000122	evm.model.RL_5.2721	AL8G31960
OG0000122	evm.model.RL_8.1714	AL8G32110
OG0000124	evm.model.RL_3.893	nbis-gene-1897
OG0000125	evm.model.RL_4.3281	AL3G20660, AL6G11840
OG0000125	evm.model.RL_4.1435	AL6G34020
OG0000125	evm.model.RL_5.630	AL1G18070
OG0000125	evm.model.RL_8.2069	AL189U10030, AL8G36480
OG0000125	evm.model.RL_7.1769	AL5G24750
OG0000125	evm.model.RL_6.979	AL4G23250
OG0000126	evm.model.RL_1.2513	AL3G44880, AL4G19050
OG0000127	evm.model.RL_1.823	AL3G20220
OG0000127	evm.model.RL_4.3346	AL6G11050
OG0000127	evm.model.RL_4.3343	AL6G11080
OG0000127	evm.model.RL_1.822	AL3G20190, AL9U10500
OG0000128	evm.model.RL_3.715	AL6G51530
OG0000128	evm.model.RL_5.2370	AL7G53080
OG0000130	evm.model.RL_6.625, evm.model.RL_6.679, evm.model.RL_1.2657, evm.model.RL_2.717, evm.model.RL_7.2033, evm.model.RL_2.727, evm.model.RL_6.626, evm.model.RL_4.730, evm.model.RL_2.674, evm.model.RL_6.690, evm.model.RL_5.2485, evm.model.RL_6.704, evm.model.RL_2.679, evm.model.RL_6.643, evm.model.RL_4.724, evm.model.RL_5.2503, evm.model.RL_6.691, evm.model.RL_6.707	AL667U10020
OG0000132	evm.model.RL_8.1179	nbis-gene-997, AL1G35450, nbis-gene-1953, AL1G39460
OG0000132	evm.model.RL_6.1268, evm.model.RL_7.2086	AL8G11070
OG0000135	evm.model.RL_5.2429	AL4G28120, AL2G38250
OG0000136	evm.model.RL_3.1028	AL2G24590, AL2G24600, AL2G24580
OG0000136	evm.model.RL_2.429	AL7G53090
OG0000137	evm.model.RL_7.1543	AL6G45480
OG0000140	evm.model.RL_7.1690	AL5G25860, AL5G25850
OG0000140	evm.model.RL_8.2003	AL48U10040, AL8G35560
OG0000140	evm.model.RL_7.1796	nbis-gene-2181
OG0000144	evm.model.RL_8.1451	AL6G47490, AL8G24370
OG0000147	evm.model.RL_2.2536	AL7G22000
OG0000147	evm.model.RL_8.1812	AL8G33330
OG0000147	evm.model.RL_3.2406	AL2G40780
OG0000147	evm.model.RL_1.2583	AL3G44180
OG0000147	evm.model.RL_6.348	AL4G15040
OG0000149	evm.model.RL_7.1738	AL5G25250
OG0000149	evm.model.RL_7.1737	AL5G25240
OG0000149	evm.model.RL_7.1739	AL5G25230
OG0000150	evm.model.RL_7.1807	AL5G21720, AL5G21730, AL6G15230, AL5G24190
OG0000151	evm.model.RL_8.1422	AL8G28000
OG0000151	evm.model.RL_2.2307	AL7G24680
OG0000151	evm.model.RL_1.777	AL3G19690
OG0000151	evm.model.RL_1.2853	AL3G49460
OG0000151	evm.model.RL_8.1691	AL8G31780
OG0000151	evm.model.RL_3.61	AL2G10770, AL7G47650
OG0000154	evm.model.RL_6.951, evm.model.RL_5.1456	AL1G28200
OG0000154	evm.model.RL_1.853	AL3G20620
OG0000154	evm.model.RL_2.489	AL6G11730
OG0000155	evm.model.RL_2.2243	AL7G25530
OG0000155	evm.model.RL_3.1179	AL4G46600
OG0000156	evm.model.RL_4.1065	AL4G44740
OG0000156	evm.model.RL_6.2692	AL4G44730
OG0000157	evm.model.RL_5.213	AL2G23540, AL2G23590, AL2G23600, AL6G44790
OG0000158	evm.model.RL_4.1378	AL2G28170
OG0000158	evm.model.RL_6.58	AL6G25220, AL4G12250
OG0000161	evm.model.RL_3.891	AL2G20180
OG0000161	evm.model.RL_3.896	AL2G19970
OG0000161	evm.model.RL_3.897	nbis-gene-452
OG0000162	evm.model.RL_4.640, evm.model.RL_2.640	AL4G20750
OG0000162	evm.model.RL_3.1091	AL2G25640
OG0000162	evm.model.RL_3.978, evm.model.RL_3.979, evm.model.RL_3.975, evm.model.RL_3.977, evm.model.RL_3.976	AL2G23580
OG0000162	evm.model.RL_6.2628	AL4G44040
OG0000165	evm.model.RL_7.798	AL481U10020
OG0000167	evm.model.RL_2.1517	AL7G34470
OG0000167	evm.model.RL_2.1515	AL7G34500, AL7G34510
OG0000167	evm.model.RL_2.1514	AL7G34530
OG0000167	evm.model.RL_2.1516	AL7G34490
OG0000171	evm.model.RL_6.2869	AL2G23510, AL5G45050
OG0000171	evm.model.RL_3.1439	AL1G37260
OG0000171	evm.model.RL_4.2162.1.687c86d7	AL6G25440
OG0000172	evm.model.RL_7.119	AL5G44820
OG0000172	evm.model.RL_7.1680, evm.model.RL_7.1683	AL5G40850
OG0000173	evm.model.RL_5.288	AL3G40330, AL3G43310, AL8G24810
OG0000174	evm.model.RL_7.2138	AL6G41080
OG0000175	evm.model.RL_7.1254	AL5G31720
OG0000175	evm.model.RL_3.1995	AL2G35850
OG0000175	evm.model.RL_5.1839	AL1G32900
OG0000175	evm.model.RL_2.3025	AL7G16200
OG0000175	evm.model.RL_1.2964	AL3G50830
OG0000175	evm.model.RL_2.3122	AL7G15090
OG0000176	evm.model.RL_5.2856	AL1G44860
OG0000178	evm.model.RL_8.2288	AL2G18720
OG0000180	evm.model.RL_4.643	AL3G38360
OG0000181	evm.model.RL_8.1686, evm.model.RL_2.403	AL1G53480
OG0000184	evm.model.RL_8.999, evm.model.RL_1.2918	AL3G43630
OG0000185	evm.model.RL_1.2420, evm.model.RL_7.527, evm.model.RL_3.588, evm.model.RL_1.1351, evm.model.RL_2.287	AL8G35610, AL2G32620, AL1G29430
OG0000186	evm.model.RL_5.2354, evm.model.RL_8.2135	AL4G20870
OG0000187	evm.model.RL_2.2676, evm.model.RL_2.2677	nbis-gene-1736
OG0000188	evm.model.RL_1.2150, evm.model.RL_1.1078	AL8G10040, AL265U10010, AL1G30370, AL8G17400
OG0000189	evm.model.RL_2.3227	AL7G13810
OG0000190	evm.model.RL_8.476, evm.model.RL_8.475	AL6G47960
OG0000190	evm.model.RL_8.473	AL6G47980
OG0000190	evm.model.RL_8.474.1.687c8557	AL6G47970
OG0000190	evm.model.RL_8.916	AL1G49990
OG0000191	evm.model.RL_1.1587	AL3G29510
OG0000191	evm.model.RL_1.1588	nbis-gene-1106
OG0000192	evm.model.RL_5.3624	AL1G34360
OG0000192	evm.model.RL_3.2103	AL1G34280
OG0000195	evm.model.RL_6.761	AL4G20560
OG0000195	evm.model.RL_7.686, evm.model.RL_6.2234	AL5G38180
OG0000195	evm.model.RL_2.437	AL7G46650
OG0000195	evm.model.RL_3.1018	AL2G24200
OG0000195	evm.model.RL_4.1537, evm.model.RL_7.1974	AL5G21780
OG0000196	evm.model.RL_5.2252	AL1G44080, AL1G44060
OG0000196	evm.model.RL_4.2554	AL1G42930
OG0000196	evm.model.RL_1.1858	AL1G44070
OG0000197	evm.model.RL_8.487	AL7G43790, AL7G49120
OG0000197	evm.model.RL_2.70	AL7G46120
OG0000197	evm.model.RL_2.911	AL7G46090, AL5G28350, AL5G28190, AL7G47660, AL7G48270, AL3G52780, AL7G49150, AL7G48800, AL7G19770, AL7G49950, AL7G49700, AL7G49680, AL7G49110
OG0000200	evm.model.RL_5.455	AL1G15890
OG0000200	evm.model.RL_1.2415, evm.model.RL_1.2410	AL3G40220, AL3G40940, AL3G40610
OG0000203	evm.model.RL_1.381	AL3G14720, AL3G14710
OG0000203	evm.model.RL_1.380	AL3G14700
OG0000204	evm.model.RL_1.2062	AL5G33670, AL3G35490
OG0000205	evm.model.RL_8.836	AL4G10320
OG0000206	evm.model.RL_6.475, evm.model.RL_8.541	AL4G20410
OG0000207	evm.model.RL_3.2271	AL2G39150, AL4G20460
OG0000208	evm.model.RL_2.3387	AL7G11510
OG0000209	evm.model.RL_3.58, evm.model.RL_3.243, evm.model.RL_6.273	AL2G10720
OG0000209	evm.model.RL_3.240_evm.model.RL_3.241, evm.model.RL_6.275, evm.model.RL_3.242, evm.model.RL_6.274, evm.model.RL_6.276	AL2G10710
OG0000209	evm.model.RL_7.2654	AL2G10700
OG0000209	evm.model.RL_2.160	AL7G47630
OG0000213	evm.model.RL_6.203	AL4G12610
OG0000213	evm.model.RL_6.204	AL4G12650, AL4G12640, AL4G12670
OG0000214	evm.model.RL_7.215	AL2G28240
OG0000214	evm.model.RL_8.81, evm.model.RL_8.239	AL6G50960
OG0000215	evm.model.RL_6.1605	AL2G13100, AL7G30200, AL3G49600
OG0000217	evm.model.RL_7.1931	AL2G17830
OG0000217	evm.model.RL_3.548	AL1G65670
OG0000217	evm.model.RL_3.599	AL2G16980
OG0000218	evm.model.RL_5.1346	AL1G26980, AL1G27000
