Orthogroup	Cardamine_amara	Cardamine_glauca
OG0000014	evm.model.RL_3.2283	Cg007G266660
OG0000017	evm.model.RL_7.1888	Cg004G142150
OG0000019	evm.model.RL_7.2531	Cg008G317890
OG0000019	evm.model.RL_1.2654	Cg004G134340
OG0000020	evm.model.RL_8.674	Cg001G036750
OG0000021	evm.model.RL_7.92, evm.model.RL_2.444, evm.model.RL_5.2428, evm.model.RL_6.438	Cg006G208570
OG0000021	evm.model.RL_1.1304	Cg007G248010
OG0000021	evm.model.RL_7.2168, evm.model.RL_8.1544, evm.model.RL_6.430	Cg005G184870, Cg004G145270
OG0000021	evm.model.RL_3.586	Cg002G074750
OG0000021	evm.model.RL_1.1352, evm.model.RL_3.1079	Cg001G028510
OG0000021	evm.model.RL_1.2419	Cg006G215630
OG0000021	evm.model.RL_4.3275, evm.model.RL_5.2792	Cg003G080250
OG0000023	evm.model.RL_2.1848	Cg001G017560
OG0000023	evm.model.RL_2.1842	Cg001G017610, Cg001G017600
OG0000023	evm.model.RL_8.634, evm.model.RL_8.635, evm.model.RL_7.2085, evm.model.RL_8.636	Cg003G082320
OG0000023	evm.model.RL_2.1840	Cg001G017770
OG0000023	evm.model.RL_2.1839	Cg001G017650
OG0000023	evm.model.RL_2.1829, evm.model.RL_2.1830	Cg001G017750
OG0000023	evm.model.RL_2.1825.3.687c86e4	Cg001G017690
OG0000023	evm.model.RL_2.1826	Cg001G017660
OG0000025	evm.model.RL_2.3111	Cg001G005300
OG0000025	evm.model.RL_8.1529	Cg003G102540
OG0000027	evm.model.RL_5.2839	Cg002G070600
OG0000027	evm.model.RL_7.603	Cg002G048550
OG0000027	evm.model.RL_7.580	Cg002G048720
OG0000028	evm.model.RL_7.2004, evm.model.RL_7.2001, evm.model.RL_7.2002, evm.model.RL_7.4, evm.model.RL_5.3115	Cg001G041970
OG0000029	evm.model.RL_8.656	Cg007G253930
OG0000030	evm.model.RL_5.2340, evm.model.RL_6.2259	Cg008G322770
OG0000033	evm.model.RL_2.1828	Cg001G017780
OG0000033	evm.model.RL_8.413	Cg003G079950, Cg003G094060
OG0000034	evm.model.RL_5.2588	Cg002G066600
OG0000036	evm.model.RL_1.2959, evm.model.RL_5.2564	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690
OG0000036	evm.model.RL_2.742, evm.model.RL_2.665	Cg002G062800, Cg002G062790, Cg005G182230, Cg005G181070
OG0000038	evm.model.RL_7.1446	Cg002G057430
OG0000038	evm.model.RL_8.1346, evm.model.RL_8.1344	Cg003G103850
OG0000039	evm.model.RL_3.1691	Cg005G180100, Cg002G062370, Cg002G062340
OG0000040	evm.model.RL_7.2097	Cg001G030090
OG0000040	evm.model.RL_2.1272	Cg002G057370
OG0000042	evm.model.RL_3.4	Cg006G198550, Cg003G083590
OG0000042	evm.model.RL_6.1177, evm.model.RL_7.1372	Cg002G059980
OG0000042	evm.model.RL_7.1972	Cg008G311300, Cg008G309470
OG0000042	evm.model.RL_6.2221	Cg003G113100, Cg008G310640, Cg008G309000
OG0000044	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682	Cg001G029670
OG0000044	evm.model.RL_2.659	Cg003G096230
OG0000045	evm.model.RL_1.2734, evm.model.RL_2.587	Cg003G091810
OG0000045	evm.model.RL_7.883, evm.model.RL_8.1002	Cg002G064420
OG0000046	evm.model.RL_2.1379	Cg001G022610
OG0000046	evm.model.RL_2.389, evm.model.RL_2.387	Cg001G037990
OG0000046	evm.model.RL_3.1072	Cg007G266760
OG0000046	evm.model.RL_3.1060	Cg007G266630
OG0000046	evm.model.RL_3.1065	Cg007G266640
OG0000047	evm.model.RL_4.1421	Cg006G206340
OG0000049	evm.model.RL_4.948	Cg007G266650
OG0000052	evm.model.RL_5.167	Cg006G242960
OG0000052	evm.model.RL_6.1412	Cg005G173390, Cg013G330370
OG0000052	evm.model.RL_8.803, evm.model.RL_8.802	Cg003G084890
OG0000052	evm.model.RL_6.2368	Cg005G163540
OG0000052	evm.model.RL_8.741	Cg003G083820
OG0000053	evm.model.RL_1.2655	Cg001G027560, Cg008G306580, Cg001G031950, Cg007G254370, Cg004G134350
OG0000054	evm.model.RL_8.912, evm.model.RL_7.2126	Cg001G018970
OG0000054	evm.model.RL_1.2395	Cg005G189800, Cg005G189790
OG0000055	evm.model.RL_3.282	Cg007G248480
OG0000055	evm.model.RL_3.286	Cg007G248390, Cg007G248550
OG0000055	evm.model.RL_3.285	Cg007G248360
OG0000055	evm.model.RL_3.288	Cg007G248570, Cg007G248420, Cg007G248560
OG0000055	evm.model.RL_3.277	Cg007G248410
OG0000056	evm.model.RL_2.634	Cg007G262570, Cg007G263580, Cg007G265440, Cg006G204190
OG0000056	evm.model.RL_8.1064, evm.model.RL_7.2479	Cg001G036070
OG0000056	evm.model.RL_5.3516	Cg004G146250
OG0000056	evm.model.RL_8.1063, evm.model.RL_7.2480	Cg006G204780, Cg003G097370, Cg005G181880, Cg005G186560, Cg005G187160, Cg003G100780, Cg005G180320
OG0000056	evm.model.RL_3.1257, evm.model.RL_3.1335	Cg001G029590, Cg003G086110, Cg003G090290
OG0000057	evm.model.RL_1.2123	Cg004G139300, Cg004G139380, Cg004G139340, Cg004G139360, Cg004G139320, Cg004G139330
OG0000058	evm.model.RL_6.762	Cg005G189250
OG0000058	evm.model.RL_2.1104, evm.model.RL_1.2538	Cg006G215030, Cg003G077990
OG0000060	evm.model.RL_3.1064, evm.model.RL_3.817, evm.model.RL_8.1029, evm.model.RL_7.1968	Cg001G034080
OG0000061	evm.model.RL_3.1126	Cg003G083990, Cg008G318200
OG0000061	evm.model.RL_8.1041	Cg007G263690, Cg007G267630
OG0000062	evm.model.RL_2.991, evm.model.RL_6.777	Cg007G260660, Cg005G180090
OG0000062	evm.model.RL_6.455, evm.model.RL_7.899, evm.model.RL_7.1720	Cg010G326150
OG0000063	evm.model.RL_7.1014	Cg002G052800
OG0000063	evm.model.RL_6.1828	Cg005G178340
OG0000063	evm.model.RL_7.1740	Cg006G238240
OG0000065	evm.model.RL_2.692, evm.model.RL_1.2797	Cg001G020190
OG0000066	evm.model.RL_3.1975	Cg007G276160
OG0000066	evm.model.RL_2.3331	Cg001G001880
OG0000066	evm.model.RL_5.1818	Cg006G226080
OG0000066	evm.model.RL_5.781, evm.model.RL_8.2623	Cg008G290840
OG0000066	evm.model.RL_4.2540	Cg008G290850
OG0000066	evm.model.RL_8.2622	Cg003G113360
OG0000067	evm.model.RL_4.3294.1.687c86de	Cg008G283270, Cg008G283380, Cg002G045260
OG0000067	evm.model.RL_7.2627	Cg004G154470
OG0000067	evm.model.RL_4.3219, evm.model.RL_4.3254	Cg008G283860
OG0000067	evm.model.RL_4.1919	Cg008G284020
OG0000067	evm.model.RL_4.3196, evm.model.RL_7.1445.4.687c84b9	Cg008G283610
OG0000067	evm.model.RL_3.1500, evm.model.RL_3.1537	Cg007G270520
OG0000070	evm.model.RL_6.606	Cg002G063700
OG0000070	evm.model.RL_6.603, evm.model.RL_1.3315, evm.model.RL_2.703, evm.model.RL_3.747, evm.model.RL_3.813, evm.model.RL_8.1022	Cg005G186370
OG0000071	evm.model.RL_1.2437	Cg005G184980
OG0000071	evm.model.RL_4.340	Cg007G264730
OG0000071	evm.model.RL_6.355	Cg008G307480
OG0000072	evm.model.RL_3.925	Cg001G029810, Cg001G029820, Cg008G307970
OG0000073	evm.model.RL_4.629	Cg003G080870
OG0000073	evm.model.RL_6.501	Cg004G150010, Cg008G302430
OG0000073	evm.model.RL_4.648, evm.model.RL_4.365, evm.model.RL_4.175	Cg008G315120
OG0000074	evm.model.RL_5.3415	Cg006G222340
OG0000075	evm.model.RL_5.729	Cg006G235090, Cg006G235510, Cg006G210640, Cg006G235500
OG0000076	evm.model.RL_7.1484	Cg002G057890
OG0000077	evm.model.RL_6.2241, evm.model.RL_6.145	Cg004G151030
OG0000078	evm.model.RL_3.798	Cg002G071190
OG0000079	evm.model.RL_7.465	Cg002G047470
OG0000079	evm.model.RL_2.379	Cg001G038080
OG0000080	evm.model.RL_2.499	Cg005G158270
OG0000080	evm.model.RL_5.2173	Cg004G149910
OG0000080	evm.model.RL_5.3416	Cg004G150150
OG0000080	evm.model.RL_6.1107	Cg005G177050, Cg005G176650
OG0000082	evm.model.RL_7.1946	Cg003G082510, Cg003G083500
OG0000083	evm.model.RL_1.2207	Cg004G140450, Cg004G140420
OG0000083	evm.model.RL_1.2208	Cg004G140430
OG0000086	evm.model.RL_8.2048	Cg003G107380
OG0000087	evm.model.RL_4.1345	Cg008G303510
OG0000087	evm.model.RL_6.1057	Cg005G177380
OG0000087	evm.model.RL_7.1685	Cg002G060160
OG0000087	evm.model.RL_4.2360	Cg008G292710
OG0000087	evm.model.RL_6.1567	Cg005G171830
OG0000087	evm.model.RL_4.428	Cg008G320640
OG0000087	evm.model.RL_2.1599	Cg001G020160
OG0000087	evm.model.RL_5.1831	Cg006G225960
OG0000087	evm.model.RL_3.1990	Cg007G276340
OG0000088	evm.model.RL_7.1629	Cg005G181240, Cg002G059450, Cg002G059900, Cg002G059930, Cg002G059530
OG0000088	evm.model.RL_8.1137	Cg003G090240, Cg003G095710
OG0000089	evm.model.RL_4.2603	Cg008G290150
OG0000089	evm.model.RL_1.1121	Cg004G127880
OG0000089	evm.model.RL_6.1820	Cg005G168860
OG0000089	evm.model.RL_7.1725, evm.model.RL_8.2019	Cg002G060740
OG0000090	evm.model.RL_5.1846	Cg006G225800
OG0000090	evm.model.RL_4.706	Cg008G317760, Cg011G329140
OG0000090	evm.model.RL_3.2006	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700
OG0000090	evm.model.RL_2.2972	Cg001G005770
OG0000090	evm.model.RL_7.2013, evm.model.RL_7.2546	Cg002G074060
OG0000090	evm.model.RL_5.885	Cg006G235770
OG0000093	evm.model.RL_7.523	Cg002G047960
OG0000093	evm.model.RL_7.532	Cg002G048080
OG0000096	evm.model.RL_3.612	Cg007G252880
OG0000096	evm.model.RL_7.2530	Cg002G073910
OG0000096	evm.model.RL_7.2533	Cg002G073940
OG0000096	evm.model.RL_8.633	Cg003G082280
OG0000096	evm.model.RL_5.825	Cg006G236390
OG0000097	evm.model.RL_8.394	Cg003G079780, Cg003G094240
OG0000097	evm.model.RL_8.392	Cg003G079750, Cg003G094280
OG0000097	evm.model.RL_2.828	Cg001G029830, Cg001G029870
OG0000097	evm.model.RL_8.388	Cg003G079730, Cg003G094300
OG0000097	evm.model.RL_8.395	Cg003G094290, Cg003G079740
OG0000099	evm.model.RL_3.84	Cg007G246280, Cg007G246260
OG0000099	evm.model.RL_3.230, evm.model.RL_3.232	Cg007G246270
OG0000099	evm.model.RL_3.85	Cg007G249510
OG0000101	evm.model.RL_3.653	Cg007G246670
OG0000104	evm.model.RL_6.1001	Cg005G178080
OG0000104	evm.model.RL_6.1005	Cg005G177980, Cg005G177930
OG0000104	evm.model.RL_6.1006	Cg005G177920
OG0000104	evm.model.RL_5.2109	Cg006G200560
OG0000104	evm.model.RL_1.2055	Cg004G138340
OG0000104	evm.model.RL_5.1892_evm.model.RL_5.1893	Cg006G197960, Cg006G197910
OG0000104	evm.model.RL_6.1000	Cg005G178050
OG0000105	evm.model.RL_6.453	Cg003G084510
OG0000106	evm.model.RL_1.1887, evm.model.RL_1.1895, evm.model.RL_1.1845	Cg004G136130
OG0000107	evm.model.RL_1.1927	Cg004G136890
OG0000107	evm.model.RL_1.1928	Cg004G136920
OG0000108	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166	Cg008G306430
OG0000108	evm.model.RL_3.231	Cg007G245680, Cg007G245670
OG0000109	evm.model.RL_6.809	Cg008G318050
OG0000109	evm.model.RL_1.2946	Cg006G211600
OG0000109	evm.model.RL_7.2399, evm.model.RL_3.555	Cg002G064440
OG0000109	evm.model.RL_8.1066, evm.model.RL_2.562, evm.model.RL_1.2945	Cg004G150880, Cg006G210870, Cg005G180720
OG0000109	evm.model.RL_8.628, evm.model.RL_6.399, evm.model.RL_1.2214, evm.model.RL_8.997	Cg006G218300, Cg006G206180
OG0000110	evm.model.RL_7.1925	Cg002G047280
OG0000110	evm.model.RL_7.432	Cg002G047240
OG0000113	evm.model.RL_3.97, evm.model.RL_7.1875, evm.model.RL_3.665, evm.model.RL_3.98, evm.model.RL_3.159.1.687c84ba	Cg007G253910
OG0000113	evm.model.RL_2.339	Cg007G253850
OG0000114	evm.model.RL_4.605, evm.model.RL_4.611, evm.model.RL_4.609, evm.model.RL_3.630, evm.model.RL_1.339	Cg008G318090
OG0000117	evm.model.RL_8.488	Cg004G155040, Cg014G333100, Cg005G179380, Cg001G030950
OG0000117	evm.model.RL_3.358	Cg006G206330, Cg006G206270, Cg016G334370, Cg003G095540
OG0000118	evm.model.RL_8.709, evm.model.RL_8.712	Cg003G083280, Cg003G083300, Cg006G212340, Cg006G212330, Cg006G212350, Cg003G083440, Cg003G083420, Cg003G083410, Cg003G083390, Cg003G083400, Cg003G083370, Cg003G083380, Cg003G083350, Cg003G083310, Cg003G083460, Cg006G204540, Cg002G064450, Cg013G330430
OG0000119	evm.model.RL_5.2397	Cg003G107770, Cg002G060400, Cg001G039470, Cg001G029640
OG0000120	evm.model.RL_3.399, evm.model.RL_3.395	Cg007G250010, Cg007G249930
OG0000120	evm.model.RL_2.990, evm.model.RL_2.937	Cg001G027290
OG0000120	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932	Cg008G308250, Cg008G308040, Cg008G308890, Cg008G310540
OG0000120	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504	Cg008G285500
OG0000123	evm.model.RL_5.1210	Cg001G014410
OG0000123	evm.model.RL_5.1211	Cg006G232300
OG0000125	evm.model.RL_7.1020	Cg002G052860
OG0000125	evm.model.RL_4.3281	Cg008G283340
OG0000125	evm.model.RL_4.1435	Cg008G302630
OG0000125	evm.model.RL_5.630	Cg006G238270
OG0000125	evm.model.RL_8.2069	Cg003G107610
OG0000125	evm.model.RL_7.1764, evm.model.RL_7.1769	Cg002G061230, Cg002G061270
OG0000125	evm.model.RL_6.979	Cg005G178390
OG0000126	evm.model.RL_6.543, evm.model.RL_3.859	Cg001G027760, Cg001G028690, Cg002G060390, Cg007G271870, Cg008G305740, Cg007G255150
OG0000127	evm.model.RL_4.3347	Cg008G282740
OG0000127	evm.model.RL_4.3343	Cg007G262300, Cg007G263860
OG0000127	evm.model.RL_1.822	Cg004G124780
OG0000127	evm.model.RL_4.3344	Cg007G262280
OG0000128	evm.model.RL_5.2370	Cg001G020220
OG0000132	evm.model.RL_2.3365	Cg001G031120, Cg001G029490
OG0000132	evm.model.RL_4.679	Cg008G315710, Cg008G321260, Cg008G315700, Cg008G321280
OG0000132	evm.model.RL_6.1268, evm.model.RL_7.2086	Cg008G321270
OG0000135	evm.model.RL_5.2242, evm.model.RL_4.523, evm.model.RL_3.1563, evm.model.RL_8.884, evm.model.RL_8.165, evm.model.RL_8.1813, evm.model.RL_2.446, evm.model.RL_5.3235, evm.model.RL_2.3041	Cg004G138210
OG0000136	evm.model.RL_2.429	Cg001G037100
OG0000137	evm.model.RL_2.50	Cg001G041290
OG0000139	evm.model.RL_2.706, evm.model.RL_3.777, evm.model.RL_8.1023, evm.model.RL_7.2060, evm.model.RL_2.666, evm.model.RL_4.723, evm.model.RL_3.732, evm.model.RL_7.1944, evm.model.RL_7.2044	Cg005G182990
OG0000140	evm.model.RL_7.1690	Cg002G060210
OG0000140	evm.model.RL_8.2003	Cg003G106800
OG0000142	evm.model.RL_6.1033, evm.model.RL_6.1034, evm.model.RL_6.1035	Cg005G177630
OG0000142	evm.model.RL_6.789, evm.model.RL_6.1159	Cg005G176030
OG0000147	evm.model.RL_1.3091	Cg004G155250
OG0000147	evm.model.RL_2.2536	Cg001G010340
OG0000147	evm.model.RL_8.1812	Cg003G104960
OG0000147	evm.model.RL_3.2406	Cg007G280860
OG0000147	evm.model.RL_2.664	Cg001G032760
OG0000147	evm.model.RL_1.2583	Cg004G146670
OG0000147	evm.model.RL_6.348	Cg005G189880
OG0000149	evm.model.RL_7.1738	Cg002G060900
OG0000149	evm.model.RL_7.1737	Cg002G060880
OG0000149	evm.model.RL_7.1739	Cg002G060920
OG0000150	evm.model.RL_7.1807	Cg002G064460, Cg001G004220, Cg002G061890, Cg002G061810
OG0000151	evm.model.RL_8.1422	Cg003G100170
OG0000151	evm.model.RL_2.2307	Cg001G012710
OG0000151	evm.model.RL_1.777	Cg004G124340
OG0000151	evm.model.RL_1.2853	Cg004G152640
OG0000151	evm.model.RL_8.1691	Cg003G103430
OG0000151	evm.model.RL_3.61	Cg007G246070
OG0000152	evm.model.RL_7.117, evm.model.RL_2.778, evm.model.RL_2.919, evm.model.RL_5.2414	Cg002G069910
OG0000152	evm.model.RL_4.661, evm.model.RL_4.735, evm.model.RL_6.581, evm.model.RL_1.2711, evm.model.RL_2.713, evm.model.RL_2.777, evm.model.RL_6.572	Cg006G216840, Cg002G069290, Cg005G182640
OG0000152	evm.model.RL_8.1671, evm.model.RL_6.2907, evm.model.RL_4.1821, evm.model.RL_6.815, evm.model.RL_7.1603	Cg004G145620, Cg002G063800, Cg003G096260, Cg001G034420, Cg007G260590, Cg004G146430, Cg002G067820, Cg005G182630, Cg007G251500, Cg003G082490, Cg008G288890, Cg007G251240, Cg006G195780
OG0000154	evm.model.RL_6.951, evm.model.RL_5.1456	Cg006G229860
OG0000154	evm.model.RL_1.853	Cg004G125060
OG0000154	evm.model.RL_2.489	Cg008G283230
OG0000155	evm.model.RL_2.2243	Cg001G013440
OG0000156	evm.model.RL_6.2693	Cg005G160190
OG0000156	evm.model.RL_4.1065	Cg005G160240
OG0000156	evm.model.RL_6.2692	Cg005G160250
OG0000158	evm.model.RL_6.58	Cg005G184100
OG0000161	evm.model.RL_3.891	Cg007G261320
OG0000161	evm.model.RL_3.897	Cg007G257190
OG0000162	evm.model.RL_4.640, evm.model.RL_2.640	Cg008G314630
OG0000162	evm.model.RL_6.2628	Cg005G160860
OG0000165	evm.model.RL_7.798	Cg009G325660
OG0000167	evm.model.RL_8.1410	Cg003G099980, Cg003G099950, Cg003G099970, Cg003G100000
OG0000167	evm.model.RL_8.842	Cg003G085600, Cg003G085540
OG0000167	evm.model.RL_2.1517	Cg001G021130
OG0000167	evm.model.RL_2.1515	Cg001G021150
OG0000167	evm.model.RL_2.1514	Cg001G021160
OG0000167	evm.model.RL_2.1516	Cg001G021140
OG0000167	evm.model.RL_2.439	Cg001G036730
OG0000171	evm.model.RL_6.2869	Cg002G044340, Cg005G158520
OG0000171	evm.model.RL_3.1439	Cg006G222370, Cg007G270890
OG0000171	evm.model.RL_5.927.1.687c88b0	Cg007G250530
OG0000171	evm.model.RL_4.2162.1.687c86d7	Cg008G294880
OG0000172	evm.model.RL_3.406, evm.model.RL_3.423	Cg007G250100, Cg007G250140
OG0000172	evm.model.RL_7.1680	Cg002G060680
OG0000172	evm.model.RL_7.1683	Cg002G060150
OG0000173	evm.model.RL_5.288	Cg003G091670
OG0000174	evm.model.RL_7.2138	Cg009G325780, Cg006G205480
OG0000175	evm.model.RL_7.1254	Cg002G055540
OG0000175	evm.model.RL_3.1995	Cg007G276430
OG0000175	evm.model.RL_5.1839	Cg006G225880
OG0000175	evm.model.RL_2.3025	Cg001G005230
OG0000175	evm.model.RL_1.2964	Cg004G153920
OG0000175	evm.model.RL_2.3122	Cg001G004130
OG0000176	evm.model.RL_5.2855	Cg006G213550, Cg006G213530, Cg006G213520
OG0000176	evm.model.RL_5.2856	Cg006G215620
OG0000177	evm.model.RL_2.478	Cg007G261230
OG0000177	evm.model.RL_2.510	Cg005G182360
OG0000177	evm.model.RL_2.497, evm.model.RL_2.1097	Cg007G250370, Cg006G214000
OG0000178	evm.model.RL_8.2288	Cg002G069730, Cg002G066500
OG0000178	evm.model.RL_3.909, evm.model.RL_1.2527, evm.model.RL_6.1504	Cg008G316010
OG0000180	evm.model.RL_4.185	Cg007G269630
OG0000181	evm.model.RL_8.1686, evm.model.RL_2.403	Cg005G191690
OG0000181	evm.model.RL_6.478	Cg001G038210, Cg005G186330
OG0000184	evm.model.RL_8.999, evm.model.RL_1.2918	Cg006G215550
OG0000185	evm.model.RL_1.2420, evm.model.RL_7.527, evm.model.RL_3.588, evm.model.RL_1.1351, evm.model.RL_2.287	Cg003G098770
OG0000185	evm.model.RL_6.431	Cg006G228250
OG0000187	evm.model.RL_2.2676	Cg001G008920
OG0000187	evm.model.RL_2.2677	Cg001G008910
OG0000189	evm.model.RL_1.2758	Cg004G151040
OG0000189	evm.model.RL_6.2240, evm.model.RL_6.2193, evm.model.RL_2.3227	Cg001G007520
OG0000190	evm.model.RL_8.476	Cg003G080590
OG0000190	evm.model.RL_8.475	Cg003G080580
OG0000190	evm.model.RL_8.473	Cg006G210720
OG0000190	evm.model.RL_8.474.1.687c8557	Cg006G210710
OG0000190	evm.model.RL_8.472	Cg003G080530
OG0000190	evm.model.RL_8.916	Cg003G087120, Cg003G087200
OG0000192	evm.model.RL_5.3624	Cg006G224780
OG0000195	evm.model.RL_6.761	Cg005G182280
OG0000195	evm.model.RL_7.686, evm.model.RL_6.2234	Cg005G164920
OG0000195	evm.model.RL_2.437	Cg001G036760
OG0000195	evm.model.RL_3.1018	Cg007G265630
OG0000195	evm.model.RL_4.1537, evm.model.RL_7.1974	Cg008G301610
OG0000196	evm.model.RL_5.2252	Cg006G202640
OG0000196	evm.model.RL_1.1858	Cg006G217600, Cg006G202630
OG0000197	evm.model.RL_2.911	Cg001G041590
OG0000200	evm.model.RL_5.455	Cg006G240250
OG0000200	evm.model.RL_5.451	Cg007G272860, Cg007G265230, Cg006G240300
OG0000200	evm.model.RL_1.2415, evm.model.RL_1.2410	Cg003G084880, Cg004G143040, Cg004G143090
OG0000203	evm.model.RL_1.380	Cg004G120290
OG0000204	evm.model.RL_1.2062	Cg004G142490, Cg004G140470, Cg006G200670, Cg004G138460, Cg001G010180
OG0000209	evm.model.RL_3.58, evm.model.RL_3.243, evm.model.RL_6.273	Cg007G246040
OG0000209	evm.model.RL_2.160	Cg001G042590
OG0000213	evm.model.RL_6.203	Cg005G191770
OG0000213	evm.model.RL_6.204	Cg005G191730
OG0000214	evm.model.RL_8.81, evm.model.RL_8.239	Cg003G078170
OG0000218	evm.model.RL_5.1346	Cg006G230920
OG0000218	evm.model.RL_5.1347, evm.model.RL_5.1349	Cg006G230900, Cg006G230890
OG0000218	evm.model.RL_7.2697_evm.model.RL_7.2698	Cg002G075340
OG0000219	evm.model.RL_3.1053	Cg007G266520, Cg007G266510
OG0000219	evm.model.RL_6.1078	Cg005G177170
OG0000219	evm.model.RL_6.1077	Cg005G177180
OG0000219	evm.model.RL_8.2397	Cg003G095240, Cg003G111060
OG0000220	evm.model.RL_3.318	Cg005G192620
OG0000224	evm.model.RL_3.2157	Cg007G278180
OG0000224	evm.model.RL_3.2156	Cg007G278160
OG0000225	evm.model.RL_5.2984	Cg006G217130
OG0000226	evm.model.RL_8.2609, evm.model.RL_8.2608	Cg003G113210
OG0000226	evm.model.RL_1.1295, evm.model.RL_1.1199	Cg004G128760
OG0000228	evm.model.RL_3.1491	Cg007G271320
OG0000228	evm.model.RL_4.998	Cg008G307350
OG0000228	evm.model.RL_3.1484, evm.model.RL_3.1485	Cg007G271280
OG0000228	evm.model.RL_3.1486	Cg007G271290
OG0000229	evm.model.RL_8.305	Cg008G315850, Cg014G331310
OG0000229	evm.model.RL_8.257	Cg014G331300, Cg003G078330
OG0000229	evm.model.RL_3.1414, evm.model.RL_3.1413	Cg007G270440, Cg007G270650
OG0000229	evm.model.RL_2.330, evm.model.RL_7.1066	Cg007G261570
OG0000231	evm.model.RL_3.874	Cg007G260410
OG0000233	evm.model.RL_7.2092	Cg005G186600
OG0000234	evm.model.RL_7.1848	Cg002G062460
OG0000234	evm.model.RL_7.860	Cg002G051400
OG0000234	evm.model.RL_7.861	Cg002G051410
OG0000234	evm.model.RL_7.862	Cg002G051420
OG0000234	evm.model.RL_6.2046	Cg005G166930
OG0000234	evm.model.RL_4.2267	Cg008G293710
OG0000239	evm.model.RL_2.228	Cg001G040490
OG0000240	evm.model.RL_4.753	Cg005G180190, Cg002G062910
OG0000240	evm.model.RL_2.1026	Cg003G085370, Cg001G030000
OG0000241	evm.model.RL_1.2750	Cg004G145120
OG0000242	evm.model.RL_1.2752	Cg004G150060, Cg004G150660, Cg004G150050, Cg004G150670
OG0000242	evm.model.RL_1.2751	Cg004G150020, Cg004G150680
OG0000244	evm.model.RL_2.1690	Cg001G019150
OG0000247	evm.model.RL_5.2253	Cg006G202680
OG0000248	evm.model.RL_8.548	Cg003G081340
OG0000249	evm.model.RL_6.1770	Cg005G169790
OG0000250	evm.model.RL_3.1397	Cg007G270470
OG0000252	evm.model.RL_3.611	Cg007G252790, Cg007G252760
OG0000252	evm.model.RL_4.3241, evm.model.RL_4.3240	Cg008G283740
OG0000252	evm.model.RL_1.1880	Cg004G136500
OG0000256	evm.model.RL_8.503	Cg003G080890
OG0000256	evm.model.RL_6.2167	Cg005G165640
OG0000257	evm.model.RL_6.895	Cg004G143430
OG0000258	evm.model.RL_7.2389	Cg002G072340
OG0000258	evm.model.RL_7.2388	Cg002G072320
