Orthogroup	Cardamine_amara	Noccaea_praecox
OG0000037	evm.model.RL_4.2891, evm.model.RL_5.3695	Np001G045190
OG0000037	evm.model.RL_3.518	Np002G110300, Np005G302190
OG0000038	evm.model.RL_8.1346, evm.model.RL_8.1344	Np003G157800
OG0000039	evm.model.RL_3.1691	Np002G110420
OG0000039	evm.model.RL_1.3015, evm.model.RL_3.1690	Np002G106970
OG0000040	evm.model.RL_2.1272	Np004G224970, Np004G224940
OG0000042	evm.model.RL_7.1372	Np007G420820
OG0000042	evm.model.RL_3.1074, evm.model.RL_8.1561, evm.model.RL_3.1047, evm.model.RL_7.1972	Np001G027800
OG0000042	evm.model.RL_6.2221	Np004G191660
OG0000043	evm.model.RL_8.981, evm.model.RL_8.1077	Np005G296770, Np005G292440
OG0000043	evm.model.RL_1.2849	Np002G102430
OG0000044	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682	Np003G163540, Np004G207950, Np005G303200, Np006G327150, Np007G408020, Np005G309290, Np004G218300, Np004G229000, Np007G403700, Np002G090130, Np006G327160, Np007G394210, Np006G353360, Np002G081200, Np004G217370, Np004G233430, Np002G100510
OG0000044	evm.model.RL_3.633, evm.model.RL_7.2338, evm.model.RL_8.226, evm.model.RL_2.659	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850
OG0000045	evm.model.RL_2.587	Np006G334530
OG0000045	evm.model.RL_6.267	Np007G389140
OG0000046	evm.model.RL_3.1067, evm.model.RL_2.391	Np005G313240
OG0000046	evm.model.RL_2.1379	Np005G292150
OG0000046	evm.model.RL_2.389, evm.model.RL_2.387	Np005G313330
OG0000052	evm.model.RL_5.167	Np004G255200, Np007G384340, Np003G131270, Np003G131300, Np003G131610, Np004G236020, Np004G259320, Np007G384920
OG0000052	evm.model.RL_8.2684	Np002G116290, Np002G116590, Np002G116810
OG0000052	evm.model.RL_6.1412	Np006G328590, Np006G328570, Np006G328580
OG0000052	evm.model.RL_6.2368	Np003G173020
OG0000052	evm.model.RL_8.741	Np006G328390, Np006G328410, Np006G328470
OG0000053	evm.model.RL_1.2655	Np006G348630, Np005G304720, Np005G288880, Np007G395450, Np003G166680, Np003G167380, Np005G287740
OG0000054	evm.model.RL_8.912, evm.model.RL_7.2126	Np004G255790
OG0000054	evm.model.RL_8.823, evm.model.RL_4.126	Np005G274000, Np001G042780, Np006G332680
OG0000054	evm.model.RL_1.2395	Np003G165300, Np008G427110, Np003G167120, Np002G099610, Np001G054180, Np002G078710, Np001G038630, Np005G282410, Np004G256130, Np006G347850
OG0000055	evm.model.RL_3.277	Np002G119410
OG0000056	evm.model.RL_2.634	Np006G356510, Np003G151080, Np003G158880, Np007G412270, Np005G282430
OG0000056	evm.model.RL_5.3516, evm.model.RL_8.1063, evm.model.RL_7.2480, evm.model.RL_8.880, evm.model.RL_8.260, evm.model.RL_3.1257, evm.model.RL_3.1335	Np001G021440, Np007G403430, Np004G213540, Np006G359220, Np006G348260, Np006G354660
OG0000057	evm.model.RL_4.2353	Np007G419120, Np007G419160, Np005G285180
OG0000058	evm.model.RL_1.1905	Np005G264870, Np004G197020, Np006G352040, Np001G038380, Np001G027510
OG0000059	evm.model.RL_3.516, evm.model.RL_6.844, evm.model.RL_7.1802	Np001G044380
OG0000059	evm.model.RL_4.1269	Np001G013280, Np006G354600, Np004G196090, Np002G087800, Np005G297100, Np004G217750
OG0000061	evm.model.RL_6.2768	Np004G218870, Np004G219580, Np004G218830, Np007G398820
OG0000062	evm.model.RL_6.781, evm.model.RL_6.779	Np004G225350
OG0000062	evm.model.RL_2.991, evm.model.RL_6.777	Np003G173970, Np003G170000
OG0000062	evm.model.RL_6.455, evm.model.RL_7.899, evm.model.RL_7.1720	Np004G215200, Np004G229630
OG0000063	evm.model.RL_6.1828	Np001G045620
OG0000063	evm.model.RL_7.1774, evm.model.RL_6.981	Np001G046020
OG0000064	evm.model.RL_5.1832	Np004G235840
OG0000065	evm.model.RL_2.692, evm.model.RL_1.2797	Np003G168940
OG0000065	evm.model.RL_2.685, evm.model.RL_5.2501	Np008G428560, Np008G428010
OG0000066	evm.model.RL_2.3332, evm.model.RL_4.2487, evm.model.RL_3.1975, evm.model.RL_2.3331	Np005G262320
OG0000066	evm.model.RL_5.781, evm.model.RL_8.2623	Np003G136700
OG0000066	evm.model.RL_4.2540	Np004G250510
OG0000066	evm.model.RL_8.2622	Np003G136710
OG0000067	evm.model.RL_7.2627	Np005G315250, Np005G315220, Np005G316020, Np005G316030, Np005G315340
OG0000067	evm.model.RL_3.1500, evm.model.RL_3.1537	Np006G321540, Np005G281650, Np006G321570, Np006G324160, Np006G322140, Np003G155590
OG0000069	evm.model.RL_1.2285	Np003G152400
OG0000069	evm.model.RL_4.1093	Np001G024920, Np005G293790
OG0000070	evm.model.RL_6.573	Np002G101130
OG0000070	evm.model.RL_2.704	Np009G431140
OG0000070	evm.model.RL_2.838	Np002G100330
OG0000070	evm.model.RL_6.606	Np002G099070
OG0000070	evm.model.RL_3.776	Np009G431130, Np002G106230, Np006G346190, Np003G169290, Np002G097490, Np007G399960
OG0000070	evm.model.RL_2.731	Np002G099060
OG0000071	evm.model.RL_1.2437	Np001G008970, Np006G370520, Np003G157740
OG0000071	evm.model.RL_6.950	Np006G355640
OG0000071	evm.model.RL_4.341	Np001G013290
OG0000071	evm.model.RL_6.3	Np004G192480, Np004G255110, Np001G010810, Np003G136400, Np004G197340, Np001G008060, Np002G121660, Np003G183830, Np001G025430, Np001G046830, Np002G093400, Np006G335600, Np001G045020, Np006G328550, Np004G200670, Np002G093150, Np004G193230, Np002G120650, Np001G051330, Np005G305440, Np005G260960, Np005G280230, Np003G139630, Np003G158800, Np006G328500
OG0000072	evm.model.RL_3.925, evm.model.RL_2.737, evm.model.RL_7.1960, evm.model.RL_3.276, evm.model.RL_1.3082, evm.model.RL_3.783	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330
OG0000076	evm.model.RL_6.1653	Np007G423950
OG0000077	evm.model.RL_2.1487, evm.model.RL_6.2241, evm.model.RL_6.145	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490
OG0000077	evm.model.RL_2.3381	Np005G261720
OG0000078	evm.model.RL_3.798	Np002G086990, Np002G097240, Np002G092810
OG0000080	evm.model.RL_2.499	Np006G334220
OG0000080	evm.model.RL_6.1107	Np005G318150, Np005G318140
OG0000081	evm.model.RL_6.922	Np001G010770
OG0000084	evm.model.RL_6.397	Np006G364930
OG0000085	evm.model.RL_2.448	Np007G397830
OG0000087	evm.model.RL_4.1345	Np001G010980
OG0000087	evm.model.RL_6.1057	Np006G350150, Np008G428160
OG0000087	evm.model.RL_4.2360	Np003G139100
OG0000087	evm.model.RL_4.428	Np001G039930
OG0000087	evm.model.RL_2.1599	Np005G287110
OG0000087	evm.model.RL_3.1990	Np002G077440
OG0000088	evm.model.RL_7.1629	Np001G038910, Np001G038970
OG0000088	evm.model.RL_8.1137	Np001G052870
OG0000089	evm.model.RL_4.2603	Np003G136030
OG0000089	evm.model.RL_6.2333	Np006G329000
OG0000089	evm.model.RL_1.1121	Np007G409340
OG0000089	evm.model.RL_6.1820	Np006G336940
OG0000090	evm.model.RL_5.1846	Np004G235330
OG0000090	evm.model.RL_3.2006	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610
OG0000090	evm.model.RL_2.2972	Np007G385680, Np001G065320, Np001G065030
OG0000090	evm.model.RL_5.885	Np007G389920
OG0000091	evm.model.RL_4.825	Np003G165480
OG0000093	evm.model.RL_7.523	Np001G063230
OG0000096	evm.model.RL_3.612	Np002G112160
OG0000096	evm.model.RL_7.2530, evm.model.RL_7.2533	Np001G024770
OG0000096	evm.model.RL_3.627	Np002G112010, Np002G112580
OG0000096	evm.model.RL_4.362	Np001G038620
OG0000097	evm.model.RL_8.394	Np003G184990
OG0000097	evm.model.RL_8.388	Np003G171600
OG0000097	evm.model.RL_8.395	Np003G185030
OG0000098	evm.model.RL_3.229	Np002G116580
OG0000099	evm.model.RL_3.84, evm.model.RL_3.230, evm.model.RL_3.232	Np002G123560, Np004G228320
OG0000099	evm.model.RL_3.85	Np002G123530, Np004G215470
OG0000101	evm.model.RL_3.653	Np002G122780
OG0000102	evm.model.RL_2.452	Np006G343540
OG0000104	evm.model.RL_6.1001	Np006G360060
OG0000104	evm.model.RL_6.1006	Np006G360100
OG0000104	evm.model.RL_5.2109	Np004G195160
OG0000104	evm.model.RL_1.2055	Np007G381330
OG0000104	evm.model.RL_1.2425	Np004G195150
OG0000106	evm.model.RL_1.1887, evm.model.RL_1.1895, evm.model.RL_1.1845	Np004G196300, Np004G195520, Np004G194580, Np004G195510, Np004G198890, Np002G119250, Np004G196880, Np007G381350, Np007G382790, Np007G382780, Np007G380200, Np007G390640, Np007G381560, Np007G381660, Np002G078930, Np002G078330
OG0000106	evm.model.RL_7.1393	Np007G372640
OG0000107	evm.model.RL_1.1927	Np007G398420
OG0000108	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166	Np001G011650, Np001G011550
OG0000108	evm.model.RL_3.231	Np004G259470
OG0000108	evm.model.RL_1.3010	Np005G305310, Np001G011560
OG0000109	evm.model.RL_1.2946	Np005G297110, Np007G411390, Np006G354610, Np002G087810, Np004G196100, Np003G179250, Np007G388320
OG0000109	evm.model.RL_7.2399, evm.model.RL_3.555, evm.model.RL_1.2753, evm.model.RL_6.342	Np003G183100, Np004G217760
OG0000109	evm.model.RL_1.2832, evm.model.RL_4.660	Np004G230420
OG0000110	evm.model.RL_7.1925	Np001G064470
OG0000110	evm.model.RL_7.432	Np001G064520
OG0000111	evm.model.RL_8.2409	Np001G006010
OG0000112	evm.model.RL_5.3726, evm.model.RL_8.2168, evm.model.RL_8.2167	Np003G184320
OG0000113	evm.model.RL_4.208	Np007G416190
OG0000113	evm.model.RL_3.97, evm.model.RL_7.1875, evm.model.RL_3.665, evm.model.RL_3.98, evm.model.RL_3.159.1.687c84ba	Np002G122980
OG0000113	evm.model.RL_2.339	Np002G123190
OG0000113	evm.model.RL_4.149	Np002G089300
OG0000113	evm.model.RL_3.996	Np002G089320
OG0000116	evm.model.RL_5.1553	Np005G292090, Np005G294910, Np002G096290, Np002G092280, Np001G008260
OG0000117	evm.model.RL_8.488	Np007G391540
OG0000118	evm.model.RL_8.709, evm.model.RL_8.712	Np001G044480, Np005G313880
OG0000119	evm.model.RL_5.2397	Np002G102980
OG0000120	evm.model.RL_3.399, evm.model.RL_3.395	Np002G117060, Np002G116940
OG0000120	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932	Np006G361280, Np003G165900, Np007G387790, Np007G387320, Np007G387280
OG0000120	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504	Np003G129250
OG0000122	evm.model.RL_8.1713, evm.model.RL_5.2721	Np001G056320
OG0000123	evm.model.RL_5.1209	Np003G131420
OG0000123	evm.model.RL_5.1210	Np004G243230
OG0000123	evm.model.RL_5.1211	Np004G243210
OG0000125	evm.model.RL_7.1020	Np001G056500
OG0000125	evm.model.RL_4.3281	Np003G126800
OG0000125	evm.model.RL_4.1435	Np003G151060
OG0000125	evm.model.RL_8.2069	Np003G152340
OG0000125	evm.model.RL_6.979	Np006G359820
OG0000126	evm.model.RL_1.2513	Np003G176980, Np005G260240
OG0000126	evm.model.RL_6.543, evm.model.RL_3.859	Np002G094910
OG0000127	evm.model.RL_4.3343	Np003G125840
OG0000127	evm.model.RL_1.822	Np007G413700, Np001G046260, Np007G413710
OG0000131	evm.model.RL_4.867	Np003G174400
OG0000132	evm.model.RL_2.3365	Np003G171960, Np005G310370, Np003G146020
OG0000132	evm.model.RL_4.679	Np004G202170
OG0000134	evm.model.RL_6.678, evm.model.RL_1.2646	Np002G101880
OG0000135	evm.model.RL_5.2242, evm.model.RL_4.523, evm.model.RL_3.1563, evm.model.RL_8.884, evm.model.RL_8.165, evm.model.RL_8.1813, evm.model.RL_2.446, evm.model.RL_5.3235, evm.model.RL_2.3041	Np003G164400, Np004G199120, Np004G190020, Np006G371220
OG0000136	evm.model.RL_3.1028	Np002G086710
OG0000136	evm.model.RL_2.429	Np005G312640
OG0000137	evm.model.RL_7.1543	Np007G418300, Np006G322470, Np001G014280, Np002G106500, Np001G031670, Np006G341350, Np005G298930
OG0000137	evm.model.RL_2.50	Np005G318010
OG0000138	evm.model.RL_7.2093	Np006G368130
OG0000139	evm.model.RL_6.1684	Np006G357120, Np005G298550
OG0000139	evm.model.RL_8.982	Np001G043360, Np005G294120, Np004G258210, Np002G101620, Np001G031610, Np001G031620, Np002G101150, Np004G223980, Np001G031630, Np002G101140
OG0000139	evm.model.RL_2.706, evm.model.RL_3.777, evm.model.RL_8.1023, evm.model.RL_7.2060, evm.model.RL_2.666, evm.model.RL_4.723, evm.model.RL_3.732, evm.model.RL_7.1944, evm.model.RL_7.2044	Np006G346200, Np002G108210, Np003G158850, Np004G246540, Np002G097840
OG0000140	evm.model.RL_8.2003	Np003G153440
OG0000142	evm.model.RL_6.1033, evm.model.RL_6.1034	Np006G360490
OG0000145	evm.model.RL_8.608	Np002G108950, Np007G417590
OG0000147	evm.model.RL_2.2536	Np005G273990
OG0000147	evm.model.RL_8.1812	Np003G156060
OG0000147	evm.model.RL_3.2406	Np002G071170
OG0000147	evm.model.RL_1.2583	Np007G389960
OG0000149	evm.model.RL_7.1738	Np001G046040
OG0000149	evm.model.RL_7.1737	Np001G046110
OG0000149	evm.model.RL_7.1739	Np001G046030
OG0000150	evm.model.RL_8.2095	Np003G183630
OG0000150	evm.model.RL_7.1807	Np001G049320
OG0000151	evm.model.RL_8.1422	Np003G164170
OG0000151	evm.model.RL_2.2307	Np005G277020
OG0000151	evm.model.RL_1.2853	Np007G376880
OG0000151	evm.model.RL_8.1691	Np003G158280
OG0000151	evm.model.RL_3.61	Np002G123910
OG0000154	evm.model.RL_6.951, evm.model.RL_5.1456	Np004G240190
OG0000154	evm.model.RL_4.3288	Np006G330440
OG0000154	evm.model.RL_1.853	Np007G413420
OG0000154	evm.model.RL_2.489	Np003G126700, Np003G127150, Np002G112020
OG0000155	evm.model.RL_2.2243	Np004G218540
OG0000156	evm.model.RL_6.2689	Np006G324150
OG0000156	evm.model.RL_8.1108, evm.model.RL_8.1107, evm.model.RL_6.2691	Np006G324140
OG0000157	evm.model.RL_5.213	Np002G078620
OG0000158	evm.model.RL_2.2746	Np001G070050
OG0000158	evm.model.RL_4.1378	Np002G081190
OG0000158	evm.model.RL_6.58	Np001G048650, Np001G049230, Np001G050690, Np005G295650, Np007G406120, Np001G028290, Np001G028380, Np001G028350
OG0000161	evm.model.RL_3.891	Np005G311810
OG0000161	evm.model.RL_3.897	Np002G086610
OG0000162	evm.model.RL_4.640, evm.model.RL_2.640	Np006G363910
OG0000162	evm.model.RL_3.978, evm.model.RL_3.979, evm.model.RL_3.975, evm.model.RL_3.977, evm.model.RL_3.976	Np002G116280
OG0000162	evm.model.RL_6.2628	Np006G324990
OG0000164	evm.model.RL_4.218	Np001G024440
OG0000165	evm.model.RL_7.798	Np007G398000, Np003G163020, Np003G177100, Np003G180650, Np003G184270, Np003G134920, Np002G098680
OG0000165	evm.model.RL_1.2284	Np004G232590
OG0000167	evm.model.RL_2.1517	Np005G289610
OG0000167	evm.model.RL_2.1514	Np004G202230
OG0000169	evm.model.RL_3.574	Np002G113130
OG0000171	evm.model.RL_6.2869	Np006G321770, Np001G068570
OG0000171	evm.model.RL_3.461	Np002G116080, Np004G248080
OG0000171	evm.model.RL_4.2162.1.687c86d7	Np003G141590
OG0000172	evm.model.RL_7.119	Np001G064170
OG0000174	evm.model.RL_7.2138	Np004G217810
OG0000174	evm.model.RL_1.3079	Np009G430530, Np002G103530, Np004G220900, Np010G432780
OG0000175	evm.model.RL_7.1254	Np007G375370, Np001G053050
OG0000175	evm.model.RL_3.1995	Np002G077280
OG0000175	evm.model.RL_5.1839	Np004G235400
OG0000175	evm.model.RL_2.3122	Np005G267520
OG0000176	evm.model.RL_5.2856	Np005G310450, Np005G310750, Np005G310470
OG0000177	evm.model.RL_2.478	Np006G349030
OG0000177	evm.model.RL_4.357	Np005G303130
OG0000177	evm.model.RL_2.510, evm.model.RL_2.497, evm.model.RL_2.1097	Np007G404410, Np007G403560
OG0000180	evm.model.RL_4.643	Np005G291330, Np005G294660, Np005G291290, Np005G292670, Np005G292680, Np005G291280
OG0000180	evm.model.RL_4.185	Np005G291320
OG0000186	evm.model.RL_5.2354, evm.model.RL_8.2135	Np006G361310
OG0000187	evm.model.RL_2.2676	Np005G271570
OG0000189	evm.model.RL_5.2279, evm.model.RL_4.1578	Np001G019990
OG0000190	evm.model.RL_8.473	Np003G183500
OG0000190	evm.model.RL_8.474.1.687c8557	Np003G183510
OG0000191	evm.model.RL_1.1587	Np007G391150, Np007G391080
OG0000192	evm.model.RL_3.2103	Np002G086820, Np007G389770, Np002G076020
OG0000195	evm.model.RL_6.761	Np006G361540
OG0000195	evm.model.RL_2.437	Np005G312480
OG0000196	evm.model.RL_5.2252	Np004G214150, Np004G214340
OG0000196	evm.model.RL_4.2554	Np004G212030
OG0000196	evm.model.RL_1.1858	Np004G214160, Np004G214310, Np003G165460
OG0000197	evm.model.RL_2.911	Np001G016100, Np005G310190, Np002G087170, Np003G167690
OG0000203	evm.model.RL_1.380	Np007G420280, Np004G195540
OG0000204	evm.model.RL_1.2062	Np005G302460, Np006G366470, Np006G366440, Np006G364650, Np007G383490, Np007G381450
OG0000205	evm.model.RL_8.836	Np004G252280
OG0000207	evm.model.RL_3.2270	Np002G073040
OG0000209	evm.model.RL_3.58, evm.model.RL_3.243, evm.model.RL_6.273	Np002G123950
OG0000209	evm.model.RL_3.57, evm.model.RL_3.240_evm.model.RL_3.241, evm.model.RL_6.275, evm.model.RL_3.242, evm.model.RL_6.274, evm.model.RL_6.276, evm.model.RL_7.2654	Np002G123960, Np002G123970
OG0000209	evm.model.RL_2.160, evm.model.RL_2.161	Np002G123940, Np002G091400
OG0000210	evm.model.RL_7.1999	Np001G024460
OG0000210	evm.model.RL_7.2509	Np001G024450
OG0000213	evm.model.RL_6.203	Np006G368010
OG0000214	evm.model.RL_7.215	Np007G375860
OG0000214	evm.model.RL_8.81, evm.model.RL_8.239	Np003G186320, Np003G186260
OG0000218	evm.model.RL_5.1346	Np004G241490
OG0000218	evm.model.RL_5.1347, evm.model.RL_5.1349	Np004G241460
OG0000218	evm.model.RL_7.2697_evm.model.RL_7.2698	Np001G027320, Np001G027310
OG0000219	evm.model.RL_8.2397	Np003G187720, Np001G006210, Np001G006190, Np001G008170
OG0000225	evm.model.RL_5.2978, evm.model.RL_5.2982, evm.model.RL_5.2983, evm.model.RL_5.2977	Np004G212520
OG0000225	evm.model.RL_5.2981, evm.model.RL_5.2975	Np004G212510
OG0000226	evm.model.RL_8.2609, evm.model.RL_8.2608	Np001G068820, Np001G002660, Np001G003000
OG0000226	evm.model.RL_1.1295, evm.model.RL_1.1199	Np004G243800, Np004G243970, Np004G243900, Np001G063350, Np001G063340
OG0000228	evm.model.RL_4.998	Np004G230940
OG0000228	evm.model.RL_3.1484, evm.model.RL_3.1485	Np002G084540
OG0000228	evm.model.RL_3.1486	Np002G084530
OG0000229	evm.model.RL_8.305, evm.model.RL_8.256, evm.model.RL_8.257	Np004G245990, Np004G246960, Np004G247090, Np004G247150, Np004G246980
OG0000229	evm.model.RL_2.330, evm.model.RL_7.1066	Np007G377500, Np007G377590, Np006G330770
OG0000231	evm.model.RL_2.361	Np003G174440
OG0000231	evm.model.RL_3.874, evm.model.RL_3.1104	Np004G203320
OG0000232	evm.model.RL_1.493, evm.model.RL_5.1311	Np006G352410, Np006G352420
OG0000234	evm.model.RL_7.861	Np001G058680
OG0000234	evm.model.RL_7.862	Np001G058670
OG0000234	evm.model.RL_6.2046	Np006G333910
OG0000234	evm.model.RL_4.2267	Np003G140390
OG0000236	evm.model.RL_6.790	Np003G177320
OG0000237	evm.model.RL_2.733	Np003G170770
OG0000240	evm.model.RL_4.753	Np003G187630
OG0000244	evm.model.RL_2.1690	Np005G286400
OG0000246	evm.model.RL_8.1155	Np003G147670
OG0000247	evm.model.RL_5.2253	Np007G410840
OG0000248	evm.model.RL_7.722	Np001G048790
