Orthogroup	Cardamine_amara	Camelina_sativa
OG0000026	evm.model.RL_7.315	XP_010484799.1, XP_010507266.1, XP_019099615.1, XP_019094547.1, XP_010513491.1, XP_019085625.1, XP_010480550.1, XP_010472603.1, XP_010495810.1, XP_019096500.1, XP_019086251.1, XP_010430881.1, XP_010430821.1, XP_019100880.1, XP_010451597.1, XP_019085450.1, XP_019087697.1, XP_010425957.1, XP_010420286.1, XP_010436691.1, XP_010423392.1, XP_019083352.1, XP_010445918.1, XP_010490058.1
OG0000027	evm.model.RL_5.2839	XP_010500449.1
OG0000028	evm.model.RL_4.1689	XP_010451660.1, XP_010515282.1, XP_019090727.1
OG0000029	evm.model.RL_8.656	XP_019099915.1
OG0000029	evm.model.RL_5.2382	XP_019096514.1, XP_010484883.1, XP_010513568.1
OG0000030	evm.model.RL_5.2342	XP_010506956.1, XP_010506954.1, XP_010412394.1
OG0000030	evm.model.RL_3.1268, evm.model.RL_5.2343, evm.model.RL_6.2258	XP_010484797.1
OG0000031	evm.model.RL_3.758	XP_019082759.1
OG0000031	evm.model.RL_3.205	XP_010419482.1
OG0000032	evm.model.RL_1.3081	XP_010430682.1
OG0000032	evm.model.RL_1.3084	XP_010445888.1
OG0000033	evm.model.RL_2.1828	XP_010439201.1, XP_019089065.1, XP_010448744.1
OG0000033	evm.model.RL_3.424, evm.model.RL_3.1278	XP_010433918.1, XP_019087875.1, XP_010426013.1, XP_019101865.1, XP_019099660.1
OG0000033	evm.model.RL_8.413	XP_010431580.1
OG0000034	evm.model.RL_5.2588	XP_019094521.1, XP_019090430.1, XP_010495589.1, XP_010451640.1, XP_019082481.1, XP_010477952.1
OG0000034	evm.model.RL_2.4	XP_019086739.1
OG0000034	evm.model.RL_2.719, evm.model.RL_6.542	XP_010494867.1
OG0000034	evm.model.RL_7.2041	XP_010422636.1
OG0000035	evm.model.RL_6.1297	XP_019094365.1, XP_010468111.1
OG0000036	evm.model.RL_5.2564	XP_010496594.1, XP_019086887.1, XP_010493433.1
OG0000036	evm.model.RL_2.742, evm.model.RL_2.665	XP_010481117.1, XP_010451663.1, XP_010451610.1, XP_010430895.1, XP_010424604.1, XP_019100940.1, XP_019098331.1, XP_019089256.1, XP_019089167.1, XP_010507288.1, XP_010480419.1, XP_010506939.1, XP_010468509.1, XP_010513254.1, XP_010445597.1, XP_019085657.1, XP_010513622.1, XP_010484891.1, XP_019093348.1, XP_010507131.1, XP_019084347.1, XP_019082584.1, XP_010501541.1, XP_010495691.1, XP_010456723.1, XP_010480993.1
OG0000037	evm.model.RL_8.830	XP_019085817.1
OG0000037	evm.model.RL_1.2680	XP_019095820.1, XP_019085514.1, XP_019098392.1
OG0000037	evm.model.RL_5.891	XP_019099636.1, XP_019084276.1, XP_019094441.1, XP_019092930.1
OG0000037	evm.model.RL_1.63	XP_010436765.1, XP_010501854.1, XP_019092352.1
OG0000037	evm.model.RL_4.2891	XP_010473846.1
OG0000037	evm.model.RL_5.3695	XP_010420948.1
OG0000037	evm.model.RL_3.518	XP_010484894.1, XP_010490134.1
OG0000038	evm.model.RL_8.1346, evm.model.RL_8.1344	XP_010485079.2
OG0000039	evm.model.RL_3.1691	XP_010456792.1
OG0000039	evm.model.RL_1.3015, evm.model.RL_3.1690	XP_019096217.1
OG0000040	evm.model.RL_7.2097	XP_010506941.1, XP_010481243.1
OG0000040	evm.model.RL_3.1121	XP_010419044.1
OG0000042	evm.model.RL_6.1177, evm.model.RL_7.1372	XP_019085383.1
OG0000042	evm.model.RL_7.1972	XP_010474284.1, XP_019089979.1, XP_019090150.1
OG0000042	evm.model.RL_6.2221	XP_019094451.1, XP_019083342.1
OG0000043	evm.model.RL_2.730	XP_019089204.1
OG0000043	evm.model.RL_3.1062	XP_010496446.1
OG0000043	evm.model.RL_5.2585	XP_010473115.1
OG0000043	evm.model.RL_8.981, evm.model.RL_8.1077	XP_019086339.1, XP_019098254.1, XP_010496997.1, XP_010451852.2, XP_019089207.1, XP_010507141.1
OG0000043	evm.model.RL_1.2849	XP_019086273.1, XP_010424414.1, XP_010463155.1, XP_019098333.1, XP_019085464.1, XP_010501846.1
OG0000043	evm.model.RL_6.636	XP_010419011.1
OG0000043	evm.model.RL_3.816	XP_010419041.1, XP_010423961.1, XP_010420509.1, XP_010485112.1
OG0000044	evm.model.RL_4.607	XP_010502335.1
OG0000044	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682	XP_010502950.1, XP_010461751.1, XP_010518653.2, XP_019086352.1, XP_010495393.2, XP_019094411.1, XP_010412458.2, XP_010507003.1, XP_010507554.1, XP_010490459.2, XP_010412583.2, XP_010474317.1, XP_010451886.2, XP_019086303.1, XP_010435128.1, XP_019096471.1, XP_019089513.1, XP_019097866.1, XP_019087961.1, XP_010495787.1, XP_010458616.1, XP_019094579.1
OG0000045	evm.model.RL_2.587	XP_019091421.1
OG0000046	evm.model.RL_2.391	XP_019088287.1, XP_010450947.1, XP_019086129.1
OG0000046	evm.model.RL_2.1379	XP_010439880.1, XP_010412987.2, XP_010439882.2
OG0000046	evm.model.RL_2.389, evm.model.RL_2.387	XP_010450945.1, XP_010440924.1, XP_010435726.1
OG0000046	evm.model.RL_3.1075	XP_010470591.2, XP_010415241.1, XP_019100937.1, XP_010415242.1
OG0000046	evm.model.RL_3.1072	XP_019083220.1
OG0000046	evm.model.RL_3.1077	XP_019100936.1
OG0000046	evm.model.RL_3.1059, evm.model.RL_3.1065	XP_010511598.1, XP_010470573.1, XP_019083199.1, XP_019100931.1
OG0000046	evm.model.RL_2.398	XP_010440922.2, XP_010450949.1
OG0000047	evm.model.RL_2.1217	XP_010474142.1
OG0000049	evm.model.RL_4.948	XP_010420068.1, XP_010496670.1, XP_010424768.1
OG0000052	evm.model.RL_5.167	XP_019098849.1, XP_010457379.1, XP_019094361.1, XP_019094954.1, XP_010475218.1
OG0000052	evm.model.RL_8.2684	XP_010413017.1, XP_019101975.1, XP_019101079.1, XP_019092650.1, XP_010489918.2, XP_019101025.1, XP_019099792.1
OG0000052	evm.model.RL_6.1412	XP_019099930.1, XP_019102077.1, XP_010508571.1
OG0000052	evm.model.RL_8.803, evm.model.RL_8.802	XP_019100713.1, XP_019099798.1, XP_010413016.2, XP_019101012.1, XP_019099883.1, XP_019099797.1, XP_019100714.1
OG0000052	evm.model.RL_6.2368	XP_019100718.1, XP_019102056.1
OG0000053	evm.model.RL_1.2655	XP_010451388.1, XP_010451387.1, XP_010445432.1, XP_010436657.1, XP_010507491.1, XP_010485261.1, XP_010424397.1, XP_010507751.1, XP_010418870.1, XP_010419243.1, XP_010418226.1, XP_010474557.1, XP_010501675.1, XP_010480860.1, XP_010412778.1, XP_010501678.1, XP_010457038.1, XP_010424297.1, XP_010480864.1, XP_010492076.1, XP_010480807.1, XP_010421928.1, XP_019086245.1, XP_019082768.1, XP_010454794.1, XP_019093613.1, XP_019087039.1, XP_010445534.1, XP_019093612.1, XP_010483128.1, XP_010474415.1, XP_010501879.1, XP_010513527.1, XP_010513525.1, XP_019094598.1, XP_010467664.1, XP_010495455.1, XP_010436683.1, XP_010444952.1
OG0000054	evm.model.RL_8.912, evm.model.RL_7.2126	XP_019093250.1, XP_019083618.1, XP_019085680.1, XP_019098445.1, XP_010484863.1
OG0000054	evm.model.RL_8.823, evm.model.RL_4.126	XP_010475682.1
OG0000054	evm.model.RL_1.2395, evm.model.RL_1.3123	XP_010445679.1, XP_010442704.1, XP_010497389.1
OG0000055	evm.model.RL_3.282	XP_010430303.1
OG0000055	evm.model.RL_3.286	XP_010473413.1, XP_019085277.1
OG0000055	evm.model.RL_3.285	XP_010473426.1, XP_010430251.1
OG0000055	evm.model.RL_3.277	XP_010419456.1
OG0000057	evm.model.RL_1.2123	XP_010468422.1
OG0000057	evm.model.RL_1.2359	XP_019092631.1
OG0000058	evm.model.RL_1.1905	XP_010463383.1
OG0000059	evm.model.RL_2.445	XP_010513664.1
OG0000059	evm.model.RL_6.844	XP_010462838.1, XP_019087502.1
OG0000059	evm.model.RL_7.1802	XP_010513407.1, XP_010435962.1
OG0000059	evm.model.RL_7.2089	XP_010445963.1, XP_010513198.1, XP_010425414.1
OG0000059	evm.model.RL_4.1269	XP_010467312.1, XP_019082547.1, XP_010462974.1, XP_019085605.1, XP_010446110.1, XP_010412544.1, XP_019092278.1, XP_010474049.1
OG0000059	evm.model.RL_6.807	XP_019094476.1
OG0000061	evm.model.RL_3.1126	XP_019091169.1, XP_019092479.1, XP_019096239.1, XP_019095788.1, XP_019091550.1, XP_019087541.1, XP_010501907.1, XP_010462790.1, XP_010480815.1, XP_019089329.1, XP_010436473.1, XP_010456870.1
OG0000062	evm.model.RL_2.991, evm.model.RL_6.777	XP_019100816.1, XP_010476531.1
OG0000062	evm.model.RL_6.455, evm.model.RL_7.899, evm.model.RL_7.1720	XP_010512724.1, XP_019100739.1, XP_019085561.1, XP_019099825.1, XP_019082800.1, XP_010441029.1, XP_010455272.1, XP_019092609.1, XP_010494915.2, XP_010481169.2, XP_010494414.1
OG0000065	evm.model.RL_2.692, evm.model.RL_1.2797	XP_019098326.1, XP_019098351.1, XP_019098390.1, XP_019099627.1, XP_019097476.1, XP_019100901.1, XP_019099563.1, XP_019094561.1, XP_019094562.1, XP_019089054.1
OG0000065	evm.model.RL_5.2499	XP_019085563.1, XP_019098135.1, XP_019098388.1, XP_019098337.1
OG0000065	evm.model.RL_3.795, evm.model.RL_3.818, evm.model.RL_3.821, evm.model.RL_6.665, evm.model.RL_3.831, evm.model.RL_8.1007, evm.model.RL_2.698, evm.model.RL_3.820	XP_019098352.1, XP_019098360.1
OG0000065	evm.model.RL_1.2651	XP_019090145.1
OG0000065	evm.model.RL_6.669, evm.model.RL_8.1014, evm.model.RL_8.1010, evm.model.RL_2.690, evm.model.RL_6.632	XP_019097467.1
OG0000065	evm.model.RL_2.702, evm.model.RL_4.719, evm.model.RL_7.2023, evm.model.RL_6.638, evm.model.RL_4.727	XP_019092370.1
OG0000065	evm.model.RL_2.685, evm.model.RL_5.2501	XP_010422526.1, XP_010480845.1, XP_010496878.1, XP_010501916.1, XP_010473931.1
OG0000066	evm.model.RL_3.1975	XP_010480248.1
OG0000066	evm.model.RL_5.1818	XP_010477215.1, XP_019091470.1
OG0000066	evm.model.RL_8.2622	XP_010425488.1, XP_010484375.1, XP_010502711.1, XP_010475747.1, XP_010458200.1, XP_010463183.1, XP_010514443.1, XP_010489841.1, XP_010444536.1
OG0000067	evm.model.RL_4.3219, evm.model.RL_4.3254, evm.model.RL_4.3204, evm.model.RL_4.1919, evm.model.RL_4.3196, evm.model.RL_7.1445.4.687c84b9	XP_019092519.1, XP_010441868.1, XP_010463635.1, XP_010485475.1, XP_010423706.1, XP_010490829.1, XP_010423608.1, XP_010490827.1
OG0000069	evm.model.RL_4.1093	XP_019087245.1, XP_010513296.1, XP_010424522.1
OG0000070	evm.model.RL_6.573	XP_010462765.1, XP_010412662.1, XP_010412664.1, XP_010496096.1, XP_019089253.1, XP_019092323.1, XP_019097462.1, XP_019089247.1
OG0000070	evm.model.RL_2.704	XP_010430985.1, XP_010463195.1
OG0000070	evm.model.RL_2.838	XP_019082595.1
OG0000070	evm.model.RL_1.3315	XP_010495970.1, XP_019085455.1, XP_010468558.1, XP_010469984.1, XP_010513482.1, XP_010474070.1, XP_019091133.1, XP_010451811.1, XP_010507110.1, XP_019085545.1, XP_010513601.1, XP_010497062.1, XP_010463173.1, XP_019085865.1, XP_019082522.1, XP_010451699.1, XP_010430902.1, XP_019092388.1, XP_019097363.1, XP_010456761.1
OG0000070	evm.model.RL_2.703, evm.model.RL_3.747, evm.model.RL_3.813, evm.model.RL_8.1022	XP_010484717.1
OG0000070	evm.model.RL_2.731	XP_010456869.1
OG0000071	evm.model.RL_1.2437	XP_019086014.1, XP_019087671.1, XP_010426617.1, XP_010450226.1, XP_010514363.1
OG0000071	evm.model.RL_6.3	XP_019083108.1, XP_010499810.1
OG0000072	evm.model.RL_3.925	XP_019101294.1, XP_010513333.1, XP_010436696.1, XP_010484918.1, XP_019098356.1
OG0000072	evm.model.RL_2.737	XP_010431026.1, XP_010468511.1, XP_010518462.1, XP_019097833.1, XP_010450472.2
OG0000072	evm.model.RL_3.783	XP_019099565.1, XP_010514808.1, XP_010467138.1, XP_010419836.1, XP_010445669.1, XP_010501700.1
OG0000073	evm.model.RL_2.1159	XP_010440077.1, XP_010434750.1, XP_010440087.1
OG0000073	evm.model.RL_4.629	XP_019095933.1, XP_010422352.1, XP_010496161.1, XP_010422256.1
OG0000073	evm.model.RL_4.146, evm.model.RL_4.158.2.687c86cd	XP_010496021.1
OG0000073	evm.model.RL_4.151, evm.model.RL_4.156	XP_010496016.1, XP_010441602.1, XP_010481473.1
OG0000074	evm.model.RL_5.3415	XP_010460137.1, XP_010477644.1, XP_019099163.1
OG0000075	evm.model.RL_1.2966	XP_019096516.1
OG0000076	evm.model.RL_7.1484	XP_010515239.1, XP_010503551.1, XP_010426408.1
OG0000076	evm.model.RL_8.1070	XP_019100300.1, XP_010431289.1, XP_019085576.1
OG0000076	evm.model.RL_6.1653	XP_010507020.2, XP_019100094.1
OG0000077	evm.model.RL_4.914, evm.model.RL_4.878	XP_010471669.1, XP_019088263.1, XP_010471717.1, XP_010439953.1, XP_010442351.1, XP_010482185.1, XP_010439941.1
OG0000077	evm.model.RL_2.3382	XP_019086927.1
OG0000077	evm.model.RL_2.3381	XP_019086095.1, XP_010437077.1, XP_010446510.1
OG0000078	evm.model.RL_7.1903	XP_019098180.1, XP_019098181.1, XP_019089268.1, XP_010463167.1, XP_019086281.1, XP_010431092.1, XP_019084311.1, XP_019093274.1, XP_010484962.1, XP_019096534.1, XP_019094551.1, XP_010436550.1, XP_010430690.1, XP_010451255.1, XP_019085480.1, XP_019084293.1, XP_010490057.1, XP_010424382.1, XP_010451628.1
OG0000078	evm.model.RL_3.798	XP_019099724.1
OG0000079	evm.model.RL_7.465	XP_010512111.1
OG0000079	evm.model.RL_2.379	XP_010450921.1, XP_010436759.1
OG0000079	evm.model.RL_1.227, evm.model.RL_7.464	XP_019102069.1
OG0000080	evm.model.RL_2.499	XP_010436712.1
OG0000080	evm.model.RL_5.2173	XP_010479194.1, XP_010479193.1, XP_019090915.1, XP_010479197.1, XP_010479195.1, XP_010479119.1
OG0000080	evm.model.RL_5.3416	XP_019091030.1
OG0000080	evm.model.RL_6.1107	XP_010510427.1, XP_010414309.1
OG0000081	evm.model.RL_6.922	XP_010412597.1, XP_010431050.2
OG0000081	evm.model.RL_5.1972	XP_019082655.1, XP_010431469.1
OG0000082	evm.model.RL_7.1932	XP_010499068.1, XP_019096076.1, XP_019089186.1, XP_010462626.1, XP_019085390.1
OG0000082	evm.model.RL_7.1946	XP_010495389.1, XP_010436367.1, XP_019087493.1, XP_010451106.1, XP_010412437.1
OG0000082	evm.model.RL_8.1557	XP_010419135.1, XP_010511191.1
OG0000082	evm.model.RL_3.357	XP_010431103.1
OG0000082	evm.model.RL_3.1016	XP_010431064.1, XP_019089255.1
OG0000082	evm.model.RL_1.2681	XP_010425119.1, XP_010451390.1
OG0000083	evm.model.RL_1.2207	XP_010468402.2
OG0000083	evm.model.RL_1.2208	XP_010490063.1
OG0000084	evm.model.RL_6.397	XP_010472490.1, XP_010429466.1
OG0000084	evm.model.RL_6.313	XP_010429395.1, XP_010429390.1, XP_019098401.1, XP_010417173.1, XP_010429391.1, XP_019093380.1, XP_010431589.1
OG0000085	evm.model.RL_2.448	XP_019085226.1, XP_019085229.1, XP_019099619.1
OG0000086	evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410	XP_010495949.1, XP_019097464.1, XP_010494194.1, XP_010494195.1, XP_010494196.1, XP_010442146.1, XP_010481977.1, XP_010481978.1, XP_019095830.1, XP_019095588.1, XP_010484899.1, XP_010495950.1, XP_010467928.1, XP_019097470.1, XP_019097730.1, XP_010494198.1, XP_010494197.1
OG0000087	evm.model.RL_4.1345	XP_010421190.1, XP_010454670.1
OG0000087	evm.model.RL_6.1057	XP_010469941.1, XP_010510475.1, XP_010414372.1
OG0000087	evm.model.RL_7.1685	XP_010503303.1
OG0000087	evm.model.RL_4.2360	XP_010419814.1, XP_010491982.1, XP_010453291.1
OG0000087	evm.model.RL_6.1567	XP_010516638.1, XP_010504960.1, XP_010509706.1
OG0000087	evm.model.RL_4.428	XP_010494444.1
