Orthogroup	Cardamine_amara	Arabidopsis_arenosa
OG0000044	evm.model.RL_2.659	jg12140
OG0000046	evm.model.RL_2.391	jg12337
OG0000046	evm.model.RL_2.1379	jg10780
OG0000046	evm.model.RL_3.1075	jg2206
OG0000046	evm.model.RL_3.1072	jg2195
OG0000046	evm.model.RL_3.1077	jg2209, jg2212
OG0000046	evm.model.RL_2.393	jg12331
OG0000052	evm.model.RL_5.167	jg29349
OG0000052	evm.model.RL_8.2684	jg907
OG0000052	evm.model.RL_6.1412	jg19551, jg19550, jg19552, jg19554, jg18423
OG0000052	evm.model.RL_8.803, evm.model.RL_8.802	jg19564
OG0000052	evm.model.RL_6.2368	jg19560
OG0000053	evm.model.RL_1.2655	jg1077, jg28178, jg4817, jg5943, jg25268, jg33384, jg11480, jg32839
OG0000055	evm.model.RL_3.282	jg674, jg739
OG0000055	evm.model.RL_3.286	jg748
OG0000055	evm.model.RL_3.285	jg721
OG0000055	evm.model.RL_3.277	jg728
OG0000056	evm.model.RL_2.634	jg12110, jg25787
OG0000056	evm.model.RL_1.2423	jg20957, jg21612
OG0000056	evm.model.RL_1.2416	jg13720, jg21424
OG0000057	evm.model.RL_4.2353	jg17788
OG0000058	evm.model.RL_1.1905	jg27469, jg29921, jg1167, jg13112, jg18866, jg12231, jg7250, jg7021, jg20411, jg13499, jg11079, jg14182, jg13958, jg21898, jg21900, jg14025, jg21057, jg8024
OG0000061	evm.model.RL_3.1126	jg1125, jg28032, jg32127, jg20814
OG0000062	evm.model.RL_6.456, evm.model.RL_7.2113, evm.model.RL_2.991, evm.model.RL_6.777	jg7377
OG0000063	evm.model.RL_7.1740	jg17853
OG0000063	evm.model.RL_7.1774, evm.model.RL_6.981	jg14419
OG0000066	evm.model.RL_3.1975	jg27126
OG0000066	evm.model.RL_5.1818	jg30515
OG0000066	evm.model.RL_5.781, evm.model.RL_8.2623	jg13471
OG0000066	evm.model.RL_8.2622	jg1404
OG0000067	evm.model.RL_7.2627	jg24838, jg24839
OG0000067	evm.model.RL_4.3219, evm.model.RL_4.3254, evm.model.RL_4.3204, evm.model.RL_4.1919, evm.model.RL_4.3196, evm.model.RL_7.1445.4.687c84b9	jg30520, jg22052, jg22034, jg32039, jg24035, jg24037, jg24042, jg4088, jg4089, jg4055, jg14204, jg14390, jg14389
OG0000067	evm.model.RL_3.1500, evm.model.RL_3.1537	jg12213
OG0000069	evm.model.RL_4.1093	jg13828, jg32034, jg10937, jg11572, jg20466, jg32702, jg16551, jg30444, jg24432, jg11779, jg1433, jg26607, jg7033
OG0000071	evm.model.RL_1.2437	jg17558
OG0000071	evm.model.RL_6.3	jg25723
OG0000072	evm.model.RL_3.925	jg2002, jg1859, jg13895, jg13896, jg17450, jg17336, jg27058
OG0000072	evm.model.RL_3.783	jg16476, jg16484, jg29790, jg9963, jg13945, jg11738, jg2091
OG0000073	evm.model.RL_4.151, evm.model.RL_4.156	jg20416, jg20443, jg20442
OG0000073	evm.model.RL_6.501	jg21037, jg1752, jg6091
OG0000073	evm.model.RL_4.150	jg12610
OG0000073	evm.model.RL_5.2720	jg7157, jg7084
OG0000073	evm.model.RL_4.648, evm.model.RL_4.365, evm.model.RL_4.175	jg13687, jg20423
OG0000074	evm.model.RL_5.3415	jg30923, jg30924
OG0000076	evm.model.RL_7.1484	jg14762
OG0000076	evm.model.RL_8.1070	jg15188
OG0000077	evm.model.RL_4.914, evm.model.RL_4.878	jg21501, jg21500
OG0000077	evm.model.RL_2.3382	jg8426
OG0000077	evm.model.RL_2.1487	jg24861
OG0000077	evm.model.RL_6.2241, evm.model.RL_6.145	jg26791
OG0000077	evm.model.RL_2.3381	jg8428
OG0000078	evm.model.RL_3.798	jg9173
OG0000079	evm.model.RL_7.465	jg15925
OG0000080	evm.model.RL_2.499	jg12190
OG0000080	evm.model.RL_5.2173	jg32915, jg32919, jg32548, jg32861, jg32845, jg32993
OG0000080	evm.model.RL_6.1107	jg18020, jg18016
OG0000081	evm.model.RL_5.1972	jg2643
OG0000081	evm.model.RL_4.1833	jg5656
OG0000081	evm.model.RL_4.293	jg1070, jg1395
OG0000084	evm.model.RL_6.376	jg16997
OG0000084	evm.model.RL_6.397	jg17005, jg20640
OG0000086	evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410	jg1275, jg1277, jg1270, jg1278, jg1271, jg1274, jg1272, jg1273, jg1280, jg1279, jg1276, jg1269, jg20985, jg20984, jg20982, jg20983, jg20981, jg20978, jg20980, jg20977, jg20975, jg20976, jg20974, jg20979, jg20973
OG0000087	evm.model.RL_4.1345	jg6235
OG0000087	evm.model.RL_6.1057	jg17972
OG0000087	evm.model.RL_8.2340	jg14482
OG0000087	evm.model.RL_4.2360	jg5068
OG0000087	evm.model.RL_6.1567	jg18593
OG0000087	evm.model.RL_4.428	jg20749
OG0000087	evm.model.RL_2.1599	jg10485
OG0000087	evm.model.RL_5.1831	jg30528
OG0000087	evm.model.RL_3.1990	jg3235
OG0000088	evm.model.RL_7.1629	jg14230, jg14231, jg17633, jg14563, jg27525, jg14545, jg14558, jg14559, jg14561, jg14507
OG0000088	evm.model.RL_8.1137	jg21695
OG0000089	evm.model.RL_4.2603	jg4799
OG0000089	evm.model.RL_1.1790.1.687c87ee	jg26012, jg33022
OG0000089	evm.model.RL_6.2333	jg19507, jg19508, jg19509
OG0000089	evm.model.RL_6.1820	jg15311
OG0000090	evm.model.RL_5.1846	jg4483, jg30544, jg16631
OG0000090	evm.model.RL_4.706	jg21183
OG0000090	evm.model.RL_3.2006	jg3251
OG0000090	evm.model.RL_2.2972	jg15233, jg8905
OG0000090	evm.model.RL_7.2545	jg13115, jg28225, jg28226, jg13116
OG0000090	evm.model.RL_5.885	jg29403
OG0000091	evm.model.RL_6.574	jg11947, jg19288, jg20822
OG0000093	evm.model.RL_7.523	jg15862
OG0000093	evm.model.RL_7.532	jg15841
OG0000096	evm.model.RL_3.612	jg1247
OG0000096	evm.model.RL_7.2533	jg13128
OG0000096	evm.model.RL_3.627	jg1310
OG0000096	evm.model.RL_4.362	jg20644
OG0000096	evm.model.RL_5.825	jg29337
OG0000097	evm.model.RL_8.394	jg7810
OG0000097	evm.model.RL_8.392	jg7818
OG0000097	evm.model.RL_2.828	jg11552
OG0000097	evm.model.RL_8.388	jg7820
OG0000097	evm.model.RL_8.395	jg7813, jg7812, jg7815, jg7814
OG0000098	evm.model.RL_3.229	jg651, jg658, jg654, jg653, jg650
OG0000098	evm.model.RL_8.2377	jg23265
OG0000099	evm.model.RL_3.84, evm.model.RL_3.230, evm.model.RL_3.232	jg7296, jg454, jg459, jg7310, jg27477, jg719, jg720
OG0000099	evm.model.RL_3.85	jg542
OG0000101	evm.model.RL_3.339	jg477
OG0000101	evm.model.RL_3.664	jg1381
OG0000104	evm.model.RL_6.1001	jg17896
OG0000104	evm.model.RL_6.1006	jg17897
OG0000104	evm.model.RL_5.2109	jg33004
OG0000104	evm.model.RL_1.2055	jg26323
OG0000104	evm.model.RL_8.1054	jg33354
OG0000104	evm.model.RL_1.2425	jg33347
OG0000104	evm.model.RL_6.1000	jg17893
OG0000105	evm.model.RL_1.2669	jg2302, jg18124, jg11589, jg7189, jg11867, jg6721, jg13803, jg26770, jg7236, jg13734, jg13878, jg7238, jg21182, jg27677, jg21181, jg1858, jg11932, jg7202, jg7619, jg27619, jg7054, jg7052
OG0000105	evm.model.RL_6.453	jg17571
OG0000106	evm.model.RL_1.1887, evm.model.RL_1.1895, evm.model.RL_1.1845	jg25959, jg6741, jg26029, jg25961, jg6747, jg25960, jg6746, jg26030, jg26027, jg26079, jg27891
OG0000106	evm.model.RL_7.1393	jg14860
OG0000107	evm.model.RL_1.1929	jg26163
OG0000108	evm.model.RL_4.1209	jg7433
OG0000108	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166	jg17595, jg31284
OG0000108	evm.model.RL_3.231	jg2306
OG0000108	evm.model.RL_1.3010	jg27465, jg27461, jg1132, jg6405, jg11987, jg17594, jg31283, jg16874
OG0000110	evm.model.RL_7.771	jg13485
OG0000110	evm.model.RL_7.1925	jg15959
OG0000110	evm.model.RL_7.432	jg15966
OG0000111	evm.model.RL_8.2409	jg11228
OG0000112	evm.model.RL_8.2167	jg16607, jg17599, jg27950, jg23041
OG0000113	evm.model.RL_4.208	jg12808
OG0000113	evm.model.RL_2.149	jg12802, jg12815
OG0000113	evm.model.RL_3.97, evm.model.RL_7.1875	jg509
OG0000113	evm.model.RL_2.337	jg12426
OG0000113	evm.model.RL_7.2287, evm.model.RL_4.763, evm.model.RL_4.318, evm.model.RL_4.346	jg508
OG0000114	evm.model.RL_1.340	jg24299
OG0000114	evm.model.RL_3.2232, evm.model.RL_3.2202	jg2542
OG0000114	evm.model.RL_4.611	jg20995
OG0000115	evm.model.RL_4.2608, evm.model.RL_4.2425, evm.model.RL_2.2979	jg6881
OG0000116	evm.model.RL_5.1553	jg1481, jg15996, jg6981, jg14689, jg7083, jg1902
OG0000118	evm.model.RL_8.709, evm.model.RL_8.712	jg15265, jg26895, jg27877
OG0000119	evm.model.RL_5.2397	jg13725, jg9836, jg1719, jg21576, jg27974, jg7024
OG0000120	evm.model.RL_3.399, evm.model.RL_3.395	jg893, jg889
OG0000120	evm.model.RL_2.990, evm.model.RL_2.937	jg11313
OG0000120	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932	jg21600, jg21583, jg21561, jg21534, jg21584, jg21558
OG0000120	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504	jg13317, jg4214
OG0000122	evm.model.RL_5.2721	jg22485
OG0000123	evm.model.RL_5.1210	jg29806
OG0000123	evm.model.RL_5.1211	jg14270
OG0000124	evm.model.RL_4.540	jg33081, jg14104, jg9592
OG0000125	evm.model.RL_7.1020	jg15301
OG0000125	evm.model.RL_4.3281	jg24874, jg3993
OG0000125	evm.model.RL_4.1435	jg6123
OG0000125	evm.model.RL_5.630	jg29136
OG0000125	evm.model.RL_8.2069	jg22931
OG0000125	evm.model.RL_7.1769	jg14383
OG0000125	evm.model.RL_6.979	jg17851
OG0000126	evm.model.RL_1.2513	jg21202, jg10180, jg32086, jg12955, jg6735, jg10767
OG0000126	evm.model.RL_6.543, evm.model.RL_3.859	jg13974
OG0000127	evm.model.RL_4.3345	jg3918
OG0000127	evm.model.RL_4.3346	jg3915
OG0000127	evm.model.RL_4.3343	jg3920
OG0000127	evm.model.RL_1.822	jg11550, jg24833
OG0000132	evm.model.RL_8.1179	jg21091, jg22360, jg6813, jg6561
OG0000135	evm.model.RL_4.225	jg27127
OG0000136	evm.model.RL_3.1028	jg2128, jg2129, jg2126, jg2127
OG0000137	evm.model.RL_7.1543	jg17603
OG0000137	evm.model.RL_2.50	jg12674
OG0000138	evm.model.RL_7.2093	jg13822
OG0000139	evm.model.RL_8.982	jg6850
OG0000140	evm.model.RL_7.1690	jg14472, jg14471
OG0000140	evm.model.RL_8.2003	jg22845
OG0000140	evm.model.RL_7.1796	jg22848
OG0000142	evm.model.RL_6.1032	jg17933
OG0000142	evm.model.RL_6.1033, evm.model.RL_6.1034	jg17936
OG0000144	evm.model.RL_8.1451	jg32528, jg21692, jg13975
OG0000145	evm.model.RL_8.608	jg2060
OG0000147	evm.model.RL_2.2536	jg9392
OG0000147	evm.model.RL_8.1812	jg22635
OG0000147	evm.model.RL_3.2406	jg3697
OG0000147	evm.model.RL_1.2583	jg27288
OG0000147	evm.model.RL_6.348	jg16942
OG0000149	evm.model.RL_7.1738	jg14423
OG0000149	evm.model.RL_7.1737	jg14421
OG0000149	evm.model.RL_7.1739	jg14420
OG0000150	evm.model.RL_7.1807	jg14055, jg4290, jg14331
OG0000150	evm.model.RL_7.1810	jg14325
OG0000151	evm.model.RL_8.1422	jg22050
OG0000151	evm.model.RL_1.777	jg24782
OG0000151	evm.model.RL_1.2853	jg27769
OG0000151	evm.model.RL_8.1691	jg22463
OG0000151	evm.model.RL_3.61	jg12793
OG0000154	evm.model.RL_6.951, evm.model.RL_5.1456	jg30094
OG0000154	evm.model.RL_1.853	jg24871
OG0000154	evm.model.RL_2.489	jg3984
OG0000155	evm.model.RL_2.2243	jg9725
OG0000156	evm.model.RL_4.1065	jg19951
OG0000156	evm.model.RL_6.2692	jg19948
OG0000157	evm.model.RL_5.213	jg2031, jg2038, jg2030, jg2028, jg7426
OG0000158	evm.model.RL_2.3209, evm.model.RL_2.3204, evm.model.RL_2.3199	jg8653
OG0000158	evm.model.RL_6.58	jg28264, jg5270, jg28263, jg16699
OG0000161	evm.model.RL_3.891	jg1847
OG0000161	evm.model.RL_3.896	jg1705, jg1715, jg1822
OG0000161	evm.model.RL_3.897	jg1821, jg1704
OG0000162	evm.model.RL_3.1091	jg2236
OG0000162	evm.model.RL_3.978, evm.model.RL_3.979, evm.model.RL_3.975, evm.model.RL_3.977, evm.model.RL_3.976	jg2036
OG0000162	evm.model.RL_6.2628	jg19859
OG0000165	evm.model.RL_1.2284	jg11573
OG0000167	evm.model.RL_2.1515	jg10621, jg10622
OG0000167	evm.model.RL_2.1514	jg10624
OG0000167	evm.model.RL_2.1516	jg23232, jg10620
OG0000169	evm.model.RL_6.454	jg17120
OG0000169	evm.model.RL_3.574	jg1192
OG0000171	evm.model.RL_4.2162.1.687c86d7	jg5289
OG0000172	evm.model.RL_7.119	jg16316
OG0000172	evm.model.RL_3.406, evm.model.RL_3.423	jg16317
OG0000172	evm.model.RL_7.463	jg15917
OG0000172	evm.model.RL_7.1680, evm.model.RL_7.1683	jg15932
OG0000173	evm.model.RL_5.288	jg1461, jg26673, jg7106, jg7127, jg7132, jg17518, jg1807, jg14356, jg7184, jg21355, jg2228, jg26653, jg14013
OG0000175	evm.model.RL_7.1254	jg15013
OG0000175	evm.model.RL_3.1995	jg3242
OG0000175	evm.model.RL_5.1839	jg30537
OG0000175	evm.model.RL_2.3025	jg8854
OG0000176	evm.model.RL_5.2856	jg31636, jg31639
OG0000181	evm.model.RL_6.2564	jg28047
OG0000185	evm.model.RL_1.2420, evm.model.RL_7.527, evm.model.RL_3.588, evm.model.RL_1.1351, evm.model.RL_2.287	jg12153
OG0000186	evm.model.RL_5.2354, evm.model.RL_8.2135	jg17369, jg17588
OG0000187	evm.model.RL_2.2676, evm.model.RL_2.2677	jg9234, jg9235
OG0000188	evm.model.RL_1.2150, evm.model.RL_1.1078	jg33027
OG0000189	evm.model.RL_6.2240, evm.model.RL_6.2193, evm.model.RL_2.3227	jg8629
OG0000190	evm.model.RL_8.476, evm.model.RL_8.475	jg7702
OG0000190	evm.model.RL_8.473	jg7704
OG0000190	evm.model.RL_8.474.1.687c8557	jg7703
OG0000190	evm.model.RL_8.916	jg32186
OG0000191	evm.model.RL_1.1587	jg25728
OG0000192	evm.model.RL_5.3624	jg30670
OG0000192	evm.model.RL_3.2103	jg3362
OG0000195	evm.model.RL_6.761	jg17567
OG0000195	evm.model.RL_7.686, evm.model.RL_6.2234	jg15712, jg15648
OG0000195	evm.model.RL_2.437	jg2098
OG0000195	evm.model.RL_3.1018	jg12245
OG0000195	evm.model.RL_4.1537, evm.model.RL_7.1974	jg14060
OG0000196	evm.model.RL_5.2252	jg31558, jg31560
OG0000196	evm.model.RL_4.2554	jg31432
OG0000196	evm.model.RL_1.1858	jg31559
OG0000197	evm.model.RL_8.487	jg12743
OG0000197	evm.model.RL_2.70	jg12179
OG0000197	evm.model.RL_2.911	jg12176, jg14708, jg14696, jg15293, jg12792, jg11871, jg11778, jg28098, jg12682, jg12608, jg12633, jg12636
OG0000200	evm.model.RL_5.455	jg28943
OG0000200	evm.model.RL_1.2415, evm.model.RL_1.2410	jg26794, jg26858, jg26826
OG0000201	evm.model.RL_1.2115	jg26420
OG0000203	evm.model.RL_1.381	jg24349, jg24348
OG0000203	evm.model.RL_1.380	jg24346, jg24347
OG0000204	evm.model.RL_1.2062	jg15213, jg26496, jg26333
OG0000205	evm.model.RL_8.836	jg16530
OG0000206	evm.model.RL_6.475, evm.model.RL_8.541	jg33290
OG0000207	evm.model.RL_3.2271	jg3556, jg2081, jg1979, jg2083, jg12504, jg2076, jg17554, jg2082, jg2084
OG0000208	evm.model.RL_2.3387	jg8418
OG0000209	evm.model.RL_3.58, evm.model.RL_3.243, evm.model.RL_6.273	jg416, jg418
OG0000209	evm.model.RL_3.240_evm.model.RL_3.241, evm.model.RL_6.275, evm.model.RL_3.242, evm.model.RL_6.274, evm.model.RL_6.276	jg415
OG0000209	evm.model.RL_7.2654	jg413
OG0000209	evm.model.RL_2.160	jg12794, jg12796
OG0000209	evm.model.RL_2.161	jg12797
OG0000210	evm.model.RL_7.1999	jg13164
OG0000213	evm.model.RL_6.203	jg16737
OG0000213	evm.model.RL_6.204	jg16741, jg16740
OG0000214	evm.model.RL_7.215	jg2493
OG0000214	evm.model.RL_8.81, evm.model.RL_8.239	jg8001
OG0000217	evm.model.RL_7.1931	jg1148
OG0000217	evm.model.RL_3.599	jg1022
OG0000218	evm.model.RL_5.1346	jg29979
OG0000218	evm.model.RL_5.1347, evm.model.RL_5.1349	jg29981
OG0000218	evm.model.RL_7.2697_evm.model.RL_7.2698	jg11388, jg12942
OG0000219	evm.model.RL_3.1053	jg2178, jg2182, jg2180, jg2179
OG0000219	evm.model.RL_8.2397	jg23294
OG0000220	evm.model.RL_3.318	jg19245, jg19241
OG0000224	evm.model.RL_3.2157	jg3422
OG0000224	evm.model.RL_3.2156	jg3420
OG0000225	evm.model.RL_5.2983	jg31470
OG0000225	evm.model.RL_5.2977	jg31471
OG0000225	evm.model.RL_5.2981	jg31473
OG0000225	evm.model.RL_5.2975	jg31478, jg31472
OG0000225	evm.model.RL_5.2976, evm.model.RL_5.2985	jg31468
OG0000226	evm.model.RL_8.2609, evm.model.RL_8.2608	jg23338
OG0000228	evm.model.RL_3.1491	jg2702
OG0000228	evm.model.RL_4.998	jg6720, jg6718
OG0000228	evm.model.RL_3.1486	jg2698
OG0000229	evm.model.RL_8.305, evm.model.RL_8.256, evm.model.RL_8.257	jg9443, jg9444, jg5645, jg5642, jg9442
OG0000229	evm.model.RL_2.330, evm.model.RL_7.1066	jg32894, jg33326
OG0000231	evm.model.RL_2.361	jg12412
OG0000231	evm.model.RL_3.874	jg11881
OG0000231	evm.model.RL_3.1104	jg2248
OG0000232	evm.model.RL_5.1311	jg6484, jg6481
OG0000233	evm.model.RL_7.2092	jg32554
OG0000233	evm.model.RL_2.2480	jg24835
OG0000234	evm.model.RL_7.860	jg15449
OG0000234	evm.model.RL_7.861	jg15448
OG0000234	evm.model.RL_7.862	jg15447
OG0000234	evm.model.RL_6.2046	jg19118
OG0000234	evm.model.RL_4.2267	jg5170
OG0000236	evm.model.RL_6.790	jg17600, jg17601, jg17602
OG0000237	evm.model.RL_2.732	jg12894
OG0000242	evm.model.RL_1.2752, evm.model.RL_1.2751	jg27567
OG0000244	evm.model.RL_2.1690	jg10370
OG0000248	evm.model.RL_8.548	jg7420, jg7421, jg7418
OG0000248	evm.model.RL_7.722	jg15619
OG0000249	evm.model.RL_6.1769	jg18816
OG0000249	evm.model.RL_6.1770	jg18819
OG0000250	evm.model.RL_3.1397	jg2614
OG0000251	evm.model.RL_6.835	jg1955
OG0000251	evm.model.RL_8.2352	jg17509
OG0000251	evm.model.RL_1.2772	jg32810
OG0000252	evm.model.RL_4.802	jg19739
OG0000252	evm.model.RL_5.3777	jg4035
OG0000252	evm.model.RL_1.1880	jg4032
OG0000252	evm.model.RL_1.1879	jg4031
OG0000252	evm.model.RL_3.263	jg4034
OG0000256	evm.model.RL_2.275	jg21390, jg21205, jg21204, jg27046
OG0000256	evm.model.RL_6.2167, evm.model.RL_4.439	jg19308
OG0000258	evm.model.RL_7.2389	jg13318, jg13319
OG0000258	evm.model.RL_7.2388	jg13320
OG0000260	evm.model.RL_8.722	jg4068
OG0000260	evm.model.RL_2.1046	jg17320
OG0000260	evm.model.RL_5.2925	jg4074, jg21365
OG0000260	evm.model.RL_4.3199	jg14255
OG0000264	evm.model.RL_8.411, evm.model.RL_8.323	jg7787
OG0000264	evm.model.RL_8.410, evm.model.RL_8.409	jg7793
OG0000264	evm.model.RL_8.324	jg7885, jg7884, jg7892, jg7931, jg7886
OG0000265	evm.model.RL_4.1725	jg5787
OG0000265	evm.model.RL_5.3116	jg19783
OG0000265	evm.model.RL_6.1068	jg20789
OG0000266	evm.model.RL_7.1038	jg16158, jg16157
OG0000266	evm.model.RL_8.1428	jg31826
OG0000266	evm.model.RL_7.884	jg15562, jg15586
OG0000266	evm.model.RL_7.1153, evm.model.RL_7.1139.1.687c84b8	jg15559
OG0000266	evm.model.RL_7.114	jg16268
OG0000266	evm.model.RL_7.607, evm.model.RL_7.609, evm.model.RL_4.61, evm.model.RL_7.608	jg15782, jg15779
OG0000268	evm.model.RL_7.2613	jg13018
OG0000268	evm.model.RL_3.272	jg716
OG0000268	evm.model.RL_4.3350	jg3910
OG0000268	evm.model.RL_7.967	jg15354
OG0000270	evm.model.RL_2.3440	jg8360
OG0000270	evm.model.RL_5.1819	jg30517
OG0000271	evm.model.RL_4.3215	jg6298
OG0000271	evm.model.RL_1.889	jg33663
OG0000271	evm.model.RL_4.3212	jg7797, jg7876
OG0000273	evm.model.RL_5.2635	jg29043, jg32950, jg32635, jg32647, jg32948, jg32949
OG0000274	evm.model.RL_8.2049	jg22908
OG0000274	evm.model.RL_3.504	jg1015
OG0000274	evm.model.RL_6.1051	jg17967
OG0000275	evm.model.RL_3.456, evm.model.RL_1.2114	jg26395
OG0000278	evm.model.RL_8.1993	jg22742, jg22822, jg22743
OG0000278	evm.model.RL_3.1756	jg2988
OG0000279	evm.model.RL_2.847	jg32173
OG0000280	evm.model.RL_7.2051, evm.model.RL_5.404	jg32523
OG0000281	evm.model.RL_2.1747	jg1290, jg1284
OG0000282	evm.model.RL_4.2795	jg4604, jg4594
OG0000282	evm.model.RL_4.226, evm.model.RL_4.2794	jg4596
OG0000282	evm.model.RL_4.2792	jg4599
OG0000284	evm.model.RL_4.1106, evm.model.RL_4.1105	jg6565
OG0000284	evm.model.RL_4.572	jg24512, jg11645, jg21432
OG0000285	evm.model.RL_6.721	jg27336, jg12459, jg1615, jg32047, jg20828, jg32156, jg32318
OG0000287	evm.model.RL_1.2024	jg26271
OG0000287	evm.model.RL_4.2391	jg26276
OG0000287	evm.model.RL_1.2027	jg26279
OG0000287	evm.model.RL_1.2026	jg26277, jg26278
OG0000288	evm.model.RL_1.2504	jg31005, jg2458, jg25667, jg13147
OG0000290	evm.model.RL_1.1777	jg25996
