Orthogroup	Cardamine_amara	Cardamine_hirsuta
OG0000098	evm.model.RL_3.199	CARHR048950, CARHR048730, CARHR049190, CARHR049220, CARHR048980, CARHR048930, CARHR049010
OG0000099	evm.model.RL_3.84, evm.model.RL_3.230, evm.model.RL_3.232	CARHR046920, CARHR046960, CARHR051260, CARHR051500, CARHR051070, CARHR046940
OG0000099	evm.model.RL_3.85	CARHR046950
OG0000101	evm.model.RL_3.344	CARHR051270, CARHR051250, CARHR051280
OG0000101	evm.model.RL_3.339	CARHR050870
OG0000101	evm.model.RL_3.653	CARHR047710
OG0000101	evm.model.RL_3.113	CARHR047580, CARHR047440, CARHR261260, CARHR047450, CARHR047470, CARHR047430
OG0000101	evm.model.RL_3.662, evm.model.RL_3.664	CARHR055030
OG0000104	evm.model.RL_6.1001	CARHR122140
OG0000104	evm.model.RL_6.1005	CARHR122230
OG0000104	evm.model.RL_6.1006	CARHR122240
OG0000104	evm.model.RL_5.2109	CARHR039100
OG0000104	evm.model.RL_1.2055	CARHR097260
OG0000104	evm.model.RL_5.1892_evm.model.RL_5.1893	CARHR041980
OG0000104	evm.model.RL_6.1000	CARHR122150, CARHR122160
OG0000106	evm.model.RL_7.1075	CARHR159080
OG0000106	evm.model.RL_1.1887	CARHR094390
OG0000106	evm.model.RL_1.1895, evm.model.RL_1.1845	CARHR099980
OG0000106	evm.model.RL_7.1393	CARHR159090
OG0000106	evm.model.RL_1.1896	CARHR092810, CARHR120380
OG0000107	evm.model.RL_1.1927	CARHR095620
OG0000107	evm.model.RL_1.2019	CARHR096820
OG0000107	evm.model.RL_1.2021	CARHR096830
OG0000107	evm.model.RL_1.1929	CARHR097220, CARHR095680
OG0000108	evm.model.RL_4.1209	CARHR188180
OG0000108	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166	CARHR174970
OG0000108	evm.model.RL_3.231	CARHR046250
OG0000108	evm.model.RL_1.3010	CARHR000040, CARHR188170
OG0000109	evm.model.RL_8.974, evm.model.RL_6.569, evm.model.RL_7.2090	CARHR259920
OG0000109	evm.model.RL_1.2832, evm.model.RL_4.660	CARHR116840
OG0000110	evm.model.RL_7.433	CARHR169620
OG0000110	evm.model.RL_7.1925	CARHR169580
OG0000110	evm.model.RL_7.432	CARHR169630
OG0000111	evm.model.RL_8.2409	CARHR221770
OG0000112	evm.model.RL_5.3726	CARHR042770
OG0000112	evm.model.RL_8.2168	CARHR016560
OG0000113	evm.model.RL_4.208	CARHR256490, CARHR256450, CARHR175630
OG0000113	evm.model.RL_2.149	CARHR288500
OG0000113	evm.model.RL_3.600	CARHR108280, CARHR054220
OG0000113	evm.model.RL_3.97, evm.model.RL_7.1875	CARHR149270
OG0000113	evm.model.RL_3.665	CARHR055020
OG0000113	evm.model.RL_3.98	CARHR047200, CARHR047160
OG0000113	evm.model.RL_3.159.1.687c84ba	CARHR047590, CARHR047570, CARHR288100, CARHR047560, CARHR048050
OG0000113	evm.model.RL_2.339	CARHR047220
OG0000113	evm.model.RL_2.337	CARHR263770
OG0000113	evm.model.RL_4.149	CARHR175790, CARHR175830, CARHR174830
OG0000113	evm.model.RL_3.996	CARHR175110, CARHR175150, CARHR175080, CARHR178690, CARHR116320, CARHR292210
OG0000113	evm.model.RL_4.763, evm.model.RL_4.318	CARHR215710
OG0000113	evm.model.RL_4.346	CARHR047550, CARHR175180, CARHR175270
OG0000113	evm.model.RL_4.610, evm.model.RL_4.608	CARHR228760
OG0000114	evm.model.RL_1.340	CARHR078370, CARHR078360
OG0000114	evm.model.RL_3.2232, evm.model.RL_3.2202	CARHR071840, CARHR251920, CARHR071800
OG0000114	evm.model.RL_4.609	CARHR181200, CARHR181230
OG0000114	evm.model.RL_3.630	CARHR202070
OG0000115	evm.model.RL_4.2608, evm.model.RL_4.2425, evm.model.RL_2.2979	CARHR059960, CARHR284490
OG0000118	evm.model.RL_8.709, evm.model.RL_8.712	CARHR148290
OG0000119	evm.model.RL_5.2397	CARHR102990
OG0000120	evm.model.RL_3.399, evm.model.RL_3.395	CARHR285170
OG0000120	evm.model.RL_2.990, evm.model.RL_2.937	CARHR221010
OG0000120	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932	CARHR293630, CARHR283580, CARHR059500, CARHR058390, CARHR116680, CARHR186430
OG0000120	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504	CARHR208650
OG0000122	evm.model.RL_8.1713	CARHR269740
OG0000122	evm.model.RL_5.2721	CARHR031770
OG0000122	evm.model.RL_8.1714	CARHR036530, CARHR031780
OG0000123	evm.model.RL_5.1209	CARHR014030
OG0000123	evm.model.RL_5.1210	CARHR014050, CARHR014060
OG0000124	evm.model.RL_3.893	CARHR182430
OG0000124	evm.model.RL_3.1299	CARHR056860
OG0000124	evm.model.RL_2.1935	CARHR117340
OG0000124	evm.model.RL_1.2598	CARHR057000
OG0000125	evm.model.RL_7.1020	CARHR163570
OG0000125	evm.model.RL_4.3281	CARHR210790
OG0000125	evm.model.RL_4.1435	CARHR190650
OG0000125	evm.model.RL_5.630	CARHR007600
OG0000125	evm.model.RL_8.2069	CARHR273520
OG0000125	evm.model.RL_7.1769	CARHR154390, CARHR154340
OG0000125	evm.model.RL_6.979	CARHR121850
OG0000127	evm.model.RL_1.823	CARHR083500
OG0000127	evm.model.RL_4.3345	CARHR211450
OG0000127	evm.model.RL_4.3347	CARHR211460
OG0000127	evm.model.RL_1.822	CARHR083490
OG0000128	evm.model.RL_4.1217	CARHR155450
OG0000131	evm.model.RL_4.867	CARHR283870, CARHR035130
OG0000132	evm.model.RL_2.3365	CARHR217650
OG0000136	evm.model.RL_3.1028	CARHR058600
OG0000136	evm.model.RL_2.429	CARHR214810
OG0000137	evm.model.RL_7.1543	CARHR180340
OG0000137	evm.model.RL_2.50	CARHR261370
OG0000140	evm.model.RL_7.1690	CARHR155420
OG0000140	evm.model.RL_8.2003	CARHR285410
OG0000142	evm.model.RL_6.1032	CARHR122540
OG0000142	evm.model.RL_6.1034	CARHR122570, CARHR122580, CARHR119640
OG0000142	evm.model.RL_6.789	CARHR119600
OG0000142	evm.model.RL_6.1159	CARHR124170, CARHR124160
OG0000146	evm.model.RL_8.1243	CARHR264140, CARHR264150
OG0000147	evm.model.RL_1.3091	CARHR109500
OG0000147	evm.model.RL_2.2536	CARHR238090
OG0000147	evm.model.RL_8.1812	CARHR271150
OG0000147	evm.model.RL_3.2406	CARHR073860
OG0000147	evm.model.RL_1.2583	CARHR104060
OG0000147	evm.model.RL_6.348	CARHR117520
OG0000149	evm.model.RL_7.1738	CARHR154790
OG0000149	evm.model.RL_7.1737	CARHR154830
OG0000149	evm.model.RL_7.1739	CARHR154780
OG0000150	evm.model.RL_8.2095	CARHR118700, CARHR273840
OG0000150	evm.model.RL_7.1807	CARHR263010, CARHR256190, CARHR207890, CARHR143200, CARHR150140, CARHR150080
OG0000150	evm.model.RL_7.1810	CARHR059580, CARHR150110
OG0000151	evm.model.RL_8.1422	CARHR266340
OG0000151	evm.model.RL_2.2307	CARHR235660
OG0000151	evm.model.RL_1.777	CARHR082990
OG0000151	evm.model.RL_1.778	CARHR083000
OG0000151	evm.model.RL_1.2853	CARHR107000
OG0000151	evm.model.RL_8.1691	CARHR269520
OG0000151	evm.model.RL_3.61	CARHR046700
OG0000154	evm.model.RL_6.951, evm.model.RL_5.1456	CARHR016540
OG0000154	evm.model.RL_1.849	CARHR083800, CARHR083820, CARHR083810
OG0000154	evm.model.RL_4.3288	CARHR229590, CARHR069350
OG0000154	evm.model.RL_1.853	CARHR083850
OG0000154	evm.model.RL_2.489	CARHR210890
OG0000155	evm.model.RL_2.2243	CARHR234950
OG0000156	evm.model.RL_6.2693	CARHR140800
OG0000156	evm.model.RL_6.2689	CARHR140730
OG0000156	evm.model.RL_4.1065	CARHR140760, CARHR186310
OG0000156	evm.model.RL_6.2692	CARHR140780, CARHR140790, CARHR140740
OG0000156	evm.model.RL_6.2691	CARHR140750
OG0000157	evm.model.RL_5.213	CARHR102680
OG0000158	evm.model.RL_2.2746	CARHR245230
OG0000158	evm.model.RL_4.1378	CARHR113640
OG0000161	evm.model.RL_3.891	CARHR056690
OG0000161	evm.model.RL_3.896	CARHR056640
OG0000161	evm.model.RL_3.897	CARHR056630
OG0000162	evm.model.RL_3.1091	CARHR059620
OG0000162	evm.model.RL_3.978, evm.model.RL_3.979, evm.model.RL_3.975, evm.model.RL_3.977, evm.model.RL_3.976	CARHR057970
OG0000162	evm.model.RL_6.2628	CARHR140170
OG0000164	evm.model.RL_4.581	CARHR246960
OG0000164	evm.model.RL_2.1488	CARHR224720
OG0000164	evm.model.RL_4.218	CARHR175770
OG0000167	evm.model.RL_8.1410	CARHR266210
OG0000167	evm.model.RL_8.842	CARHR260280
OG0000167	evm.model.RL_2.1517	CARHR226380
OG0000167	evm.model.RL_2.439	CARHR215370, CARHR215050
OG0000167	evm.model.RL_2.473	CARHR051370, CARHR215070
OG0000169	evm.model.RL_3.1834, evm.model.RL_3.1135.1.687c84bb	CARHR067550, CARHR067460, CARHR220400, CARHR050360, CARHR067350, CARHR060140, CARHR067390, CARHR067560
OG0000169	evm.model.RL_3.574	CARHR053840
OG0000169	evm.model.RL_3.576	CARHR053850
OG0000171	evm.model.RL_6.2869	CARHR142560
OG0000171	evm.model.RL_5.3418.1.687c88c2	CARHR063650
OG0000171	evm.model.RL_3.1439	CARHR023910
OG0000171	evm.model.RL_3.461	CARHR052550
OG0000171	evm.model.RL_4.2162.1.687c86d7	CARHR198650
OG0000172	evm.model.RL_7.119	CARHR053570
OG0000172	evm.model.RL_3.406, evm.model.RL_3.423	CARHR052000
OG0000172	evm.model.RL_7.1680, evm.model.RL_7.1683	CARHR169390
OG0000173	evm.model.RL_5.288	CARHR225750, CARHR035170, CARHR036310, CARHR180960, CARHR225740, CARHR180580, CARHR261170, CARHR292670, CARHR286110, CARHR216170, CARHR055060, CARHR225730, CARHR036300, CARHR150900, CARHR257050, CARHR216160, CARHR293270
OG0000174	evm.model.RL_7.2138	CARHR286250
OG0000174	evm.model.RL_1.3079	CARHR105060
OG0000175	evm.model.RL_7.1254	CARHR160880
OG0000175	evm.model.RL_3.1995	CARHR069390
OG0000175	evm.model.RL_5.1839	CARHR020570
OG0000175	evm.model.RL_2.3025	CARHR243300
OG0000175	evm.model.RL_1.2964	CARHR108220
OG0000175	evm.model.RL_2.3122	CARHR244350
OG0000176	evm.model.RL_5.2855	CARHR030250
OG0000177	evm.model.RL_2.497, evm.model.RL_2.1097	CARHR150970
OG0000178	evm.model.RL_8.2288	CARHR035340, CARHR105380
OG0000180	evm.model.RL_4.185	CARHR264470
OG0000181	evm.model.RL_8.2509	CARHR174010
OG0000181	evm.model.RL_3.1261, evm.model.RL_2.1089	CARHR049200, CARHR180870
OG0000185	evm.model.RL_2.287	CARHR116590
OG0000186	evm.model.RL_5.2354, evm.model.RL_8.2135	CARHR103200
OG0000187	evm.model.RL_2.2676	CARHR239530
OG0000187	evm.model.RL_2.2677	CARHR239540
OG0000187	evm.model.RL_1.1017	CARHR085640
OG0000189	evm.model.RL_5.2279	CARHR246290
OG0000189	evm.model.RL_4.1578	CARHR146050
OG0000190	evm.model.RL_8.475	CARHR253020
OG0000190	evm.model.RL_8.473	CARHR250370
OG0000190	evm.model.RL_8.474.1.687c8557	CARHR250360
OG0000190	evm.model.RL_8.472	CARHR259510
OG0000191	evm.model.RL_1.1587	CARHR091820
OG0000191	evm.model.RL_1.1588	CARHR293570, CARHR148120, CARHR091830
OG0000192	evm.model.RL_5.3624	CARHR059110
OG0000192	evm.model.RL_3.2103	CARHR181970
OG0000192	evm.model.RL_3.2104	CARHR054130
OG0000195	evm.model.RL_6.761	CARHR119300
OG0000195	evm.model.RL_7.686, evm.model.RL_6.2234	CARHR136200
OG0000195	evm.model.RL_2.437	CARHR058380
OG0000195	evm.model.RL_3.1018	CARHR215030
OG0000195	evm.model.RL_7.1974	CARHR191680
OG0000196	evm.model.RL_5.2252	CARHR037160
OG0000196	evm.model.RL_4.2575	CARHR203250
OG0000196	evm.model.RL_4.2554	CARHR028740
OG0000196	evm.model.RL_1.1858	CARHR028490, CARHR037140, CARHR037130
OG0000197	evm.model.RL_8.487	CARHR037370
OG0000197	evm.model.RL_2.70	CARHR272960
OG0000197	evm.model.RL_8.485	CARHR253110
OG0000197	evm.model.RL_2.911	CARHR123890, CARHR037380, CARHR065380
OG0000200	evm.model.RL_5.451	CARHR005450
OG0000200	evm.model.RL_1.2415, evm.model.RL_1.2410	CARHR101580, CARHR101880, CARHR101530
OG0000201	evm.model.RL_1.2115	CARHR097910
OG0000203	evm.model.RL_1.381	CARHR078880, CARHR078860
OG0000203	evm.model.RL_1.380	CARHR078870
OG0000204	evm.model.RL_1.2062	CARHR099050, CARHR084930, CARHR043980, CARHR044120, CARHR098530, CARHR097380, CARHR238210
OG0000205	evm.model.RL_8.836	CARHR149530, CARHR042890, CARHR042510
OG0000207	evm.model.RL_3.2270	CARHR072270
OG0000207	evm.model.RL_3.2271	CARHR180390
OG0000208	evm.model.RL_2.3387	CARHR247220
OG0000210	evm.model.RL_7.2509	CARHR145920
OG0000213	evm.model.RL_6.203	CARHR292800, CARHR292790
OG0000213	evm.model.RL_6.204	CARHR292760, CARHR285920
OG0000214	evm.model.RL_8.81	CARHR248840
OG0000214	evm.model.RL_8.239	CARHR250400, CARHR250050
OG0000217	evm.model.RL_7.1931	CARHR284070
OG0000217	evm.model.RL_3.548	CARHR283900
OG0000217	evm.model.RL_3.511.1.687c84ba	CARHR053290
OG0000217	evm.model.RL_3.599	CARHR053930
OG0000218	evm.model.RL_5.1346	CARHR015470
OG0000218	evm.model.RL_5.1347, evm.model.RL_5.1349	CARHR015480
OG0000218	evm.model.RL_7.2697_evm.model.RL_7.2698	CARHR144080
OG0000219	evm.model.RL_3.1053	CARHR058980
OG0000219	evm.model.RL_6.1077	CARHR123060
OG0000219	evm.model.RL_8.2397	CARHR277080
OG0000220	evm.model.RL_3.318	CARHR050630, CARHR113370
OG0000224	evm.model.RL_3.2157	CARHR071060
OG0000224	evm.model.RL_3.2156	CARHR071040
OG0000225	evm.model.RL_5.2978, evm.model.RL_5.2982	CARHR028850, CARHR028820
OG0000225	evm.model.RL_5.2983	CARHR028880, CARHR028810
OG0000225	evm.model.RL_5.2984	CARHR028800
OG0000225	evm.model.RL_5.2981	CARHR028830
OG0000225	evm.model.RL_5.2976, evm.model.RL_5.2985	CARHR028760
OG0000226	evm.model.RL_8.2609, evm.model.RL_8.2608	CARHR279920
OG0000226	evm.model.RL_1.1295, evm.model.RL_1.1199	CARHR087530, CARHR087540
OG0000228	evm.model.RL_3.1491	CARHR064140
OG0000228	evm.model.RL_4.998	CARHR185670
OG0000228	evm.model.RL_3.1484	CARHR064090
OG0000228	evm.model.RL_3.1485	CARHR064100
OG0000228	evm.model.RL_3.1490	CARHR064130
OG0000228	evm.model.RL_3.1486	CARHR064110
OG0000229	evm.model.RL_8.305	CARHR251110
OG0000229	evm.model.RL_3.1414	CARHR063260, CARHR063690, CARHR263650
OG0000229	evm.model.RL_3.1413	CARHR063700, CARHR063280
OG0000229	evm.model.RL_2.330, evm.model.RL_7.1066	CARHR163030
OG0000231	evm.model.RL_2.361	CARHR213950, CARHR041780, CARHR214130
OG0000231	evm.model.RL_3.874	CARHR056340, CARHR220460
OG0000231	evm.model.RL_3.1104	CARHR059750
OG0000232	evm.model.RL_1.493	CARHR105470
OG0000232	evm.model.RL_5.1311	CARHR039350
