Orthogroup	Cardamine_amara	Conringia_planisiliqua
OG0000069	evm.model.RL_4.1093	CP6_g9730_DN1_SP0_c.t1, CP18_g12305_DN2_SP0_c.t1, CP15_g34957_DN1_SP0_c.t1, CP6_g9731_DN1_SP0_c.t1
OG0000070	evm.model.RL_2.838	CP9_g27907_DN2_SP0_c.t1
OG0000074	evm.model.RL_5.3415	CP7_g45433_DN3_SP0_c.t1, CP7_g45431_DN3_SP0_c.t1
OG0000076	evm.model.RL_6.1653	CP13_g19766_DN3_SP0_c.t1
OG0000077	evm.model.RL_6.2241, evm.model.RL_6.145	CP5_g173_DN1_SP0_c.t1
OG0000078	evm.model.RL_7.1903	CP5_g2099_DN3_SP0_c.t1
OG0000079	evm.model.RL_1.227	CP17_g4852_DN2_SP0_c.t1
OG0000081	evm.model.RL_6.922	CP7_g44768_DN1_SP0_c.t1, CP16_g55147_DN3_SP0_c.t1
OG0000081	evm.model.RL_5.1972	CP8_g53130_DN2_SP0_c.t1
OG0000082	evm.model.RL_7.1932	CP18_g12600_DN2_SP0_c.t1
OG0000082	evm.model.RL_7.1946	CP9_g27553_DN1_SP0_c.t1
OG0000082	evm.model.RL_8.732	CP9_g27552_DN2_SP0_c.t1
OG0000082	evm.model.RL_3.408	CP24_g47338_DN2_SP0_c.t1
OG0000083	evm.model.RL_1.2208	CP22_g17376_DN1_SP0_c.t1
OG0000084	evm.model.RL_6.376	CP16_g55159_DN2_SP0_c.t1
OG0000086	evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410	CP18_g12051_DN1_SP0_c.t1
OG0000087	evm.model.RL_4.1345	CP2_g48308_DN3_SP8_c.t1
OG0000087	evm.model.RL_6.1057	CP4_g25793_DN3_SP8_c.t1
OG0000087	evm.model.RL_7.1685	CP3_g14713_DN3_SP4_c.t1
OG0000087	evm.model.RL_4.2360	CP11_g32707_DN3_SP8_c.t1
OG0000087	evm.model.RL_6.1567	CP4_g25265_DN3_SP6_c.t1
OG0000087	evm.model.RL_4.428	CP13_g20168_DN3_SP8_c.t1
OG0000087	evm.model.RL_2.1599	CP6_g6768_DN3_SP8_c.t1
OG0000087	evm.model.RL_3.1990	CP9_g29223_DN3_SP8_c.t1
OG0000090	evm.model.RL_5.1846	CP7_g45746_DN3_SP0_c.t1
OG0000090	evm.model.RL_5.885	CP17_g5790_DN3_SP0_c.t1
OG0000091	evm.model.RL_6.574	CP3_g15860_DN3_SP0_c.t1, CP3_g15889_DN3_SP0_c.t1, CP2_g49990_DN3_SP0_c.t1, CP8_g52261_DN2_SP0_c.t1, CP8_g52260_DN2_SP0_c.t1, CP8_g52279_DN3_SP0_c.t1, CP18_g11648_DN3_SP0_c.t1, CP3_g15893_DN3_SP0_c.t1, CP3_g15864_DN3_SP0_c.t1, CP1_g38916_DN3_SP0_c.t1, CP2_g49989_DN3_SP0_c.t1, CP4_g26258_DN1_SP0_c.t1, CP4_g26257_DN3_SP0_c.t1
OG0000093	evm.model.RL_7.523	CP3_g13515_DN3_SP0_c.t1
OG0000096	evm.model.RL_3.612	CP2_g49683_DN2_SP0_c.t1
OG0000096	evm.model.RL_7.2530	CP13_g19516_DN3_SP0_c.t1
OG0000096	evm.model.RL_4.362	CP13_g20085_DN3_SP0_c.t1
OG0000102	evm.model.RL_2.452	CP33_g3650_DN2_SP0_c.t1, CP9_g27438_DN1_SP0_c.t1, CP15_g36115_DN1_SP0_c.t1, CP4_g26224_DN1_SP0_c.t1, CP6_g9672_DN2_SP0_c.t1
OG0000104	evm.model.RL_6.1001	CP4_g25846_DN3_SP0_c.t1
OG0000105	evm.model.RL_1.2669	CP1_g40642_DN2_SP0_c.t1
OG0000109	evm.model.RL_1.2215, evm.model.RL_4.1270	CP15_g34635_DN1_SP0_c.t1, CP15_g34653_DN3_SP0_c.t1, CP15_g34622_DN2_SP0_c.t1, CP15_g34582_DN1_SP0_c.t1, CP15_g34595_DN2_SP0_c.t1, CP2_g50412_DN2_SP0_c.t1
OG0000109	evm.model.RL_6.809	CP3_g15613_DN2_SP0_c.t1
OG0000109	evm.model.RL_1.2946	CP26_g51159_DN1_SP0_c.t1, CP9_g27951_DN2_SP0_c.t1, CP3_g16738_DN1_SP0_c.t1, CP5_g3314_DN2_SP0_c.t1, CP3_g14976_DN2_SP0_c.t1
OG0000109	evm.model.RL_8.974, evm.model.RL_6.569, evm.model.RL_7.2090	CP6_g8583_DN3_SP0_c.t1
OG0000109	evm.model.RL_6.399	CP1_g40029_DN1_SP0_c.t1
OG0000109	evm.model.RL_1.2214	CP18_g12074_DN1_SP0_c.t1
OG0000109	evm.model.RL_8.997	CP12_g31527_DN3_SP0_c.t1, CP24_g47038_DN2_SP0_c.t1
OG0000113	evm.model.RL_3.996	CP2_g50540_DN2_SP0_c.t1, CP2_g49355_DN1_SP0_c.t1
OG0000113	evm.model.RL_4.346	CP20_g4448_DN2_SP0_c.t1
OG0000113	evm.model.RL_4.610, evm.model.RL_4.608	CP12_g31635_DN1_SP0_c.t1
OG0000114	evm.model.RL_4.609, evm.model.RL_3.630, evm.model.RL_1.339	CP12_g31634_DN1_SP0_c.t1
OG0000115	evm.model.RL_4.2608, evm.model.RL_4.2425, evm.model.RL_2.2979	CP2_g49800_DN1_SP0_c.t1
OG0000116	evm.model.RL_5.1553	CP6_g9453_DN3_SP0_c.t1, CP15_g35512_DN3_SP0_c.t1, CP28_g33977_DN3_SP0_c.t1
OG0000117	evm.model.RL_8.488	CP94_g6387_DN3_SP0_c.t1, CP15_g34661_DN2_SP0_c.t1, CP1_g40571_DN3_SP0_c.t1, CP22_g17718_DN3_SP0_c.t1, CP14_g23878_DN3_SP0_c.t1, CP13_g20759_DN2_SP0_c.t1, CP3_g16299_DN1_SP0_c.t1
OG0000117	evm.model.RL_3.358	CP1_g41162_DN3_SP0_c.t1
OG0000120	evm.model.RL_3.399, evm.model.RL_3.395	CP2_g49217_DN3_SP0_c.t1, CP2_g49209_DN1_SP0_c.t1
OG0000120	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932	CP6_g8949_DN3_SP0_c.t1, CP20_g4168_DN3_SP0_c.t1, CP20_g4172_DN3_SP0_c.t1
OG0000120	evm.model.RL_6.505	CP6_g7552_DN2_SP0_c.t1
OG0000122	evm.model.RL_8.1713, evm.model.RL_5.2721	CP8_g53628_DN3_SP0_c.t1
OG0000124	evm.model.RL_3.893	CP1_g38598_DN2_SP0_c.t1, CP6_g9750_DN1_SP0_c.t1
OG0000124	evm.model.RL_3.1299	CP1_g39867_DN1_SP0_c.t1
OG0000124	evm.model.RL_2.1935, evm.model.RL_1.2598	CP24_g47153_DN1_SP0_c.t1
OG0000125	evm.model.RL_4.3281	CP11_g33621_DN2_SP0_c.t1, CP10_g42910_DN3_SP0_c.t1
OG0000125	evm.model.RL_4.1435	CP8_g54114_DN3_SP0_c.t1
OG0000125	evm.model.RL_8.2069	CP8_g54018_DN3_SP0_c.t1
OG0000125	evm.model.RL_7.1764, evm.model.RL_7.1769	CP3_g14833_DN3_SP0_c.t1
OG0000125	evm.model.RL_6.979	CP4_g25869_DN3_SP0_c.t1
OG0000126	evm.model.RL_1.2513	CP13_g20755_DN2_SP0_c.t1, CP8_g52207_DN3_SP0_c.t1, CP1_g40798_DN1_SP0_c.t1, CP18_g12086_DN1_SP0_c.t1, CP12_g30973_DN2_SP0_c.t1, CP6_g8636_DN1_SP0_c.t1, CP13_g20554_DN1_SP0_c.t1, CP1_g40799_DN1_SP0_c.t1, CP2_g50773_DN2_SP0_c.t1, CP36_g50966_DN3_SP0_c.t1, CP1_g39950_DN3_SP0_c.t1, CP14_g23196_DN3_SP0_c.t1, CP5_g2510_DN1_SP0_c.t1, CP18_g12085_DN2_SP0_c.t1, CP15_g35845_DN3_SP0_c.t1, CP95_g12688_DN3_SP0_c.t1, CP18_g11788_DN2_SP0_c.t1
OG0000126	evm.model.RL_6.543, evm.model.RL_3.859	CP95_g12689_DN3_SP0_c.t1, CP18_g12087_DN3_SP0_c.t1, CP3_g14120_DN3_SP0_c.t1, CP13_g20555_DN3_SP0_c.t1, CP9_g27971_DN3_SP0_c.t1, CP6_g8634_DN3_SP0_c.t1, CP20_g4294_DN3_SP0_c.t1, CP2_g50772_DN3_SP0_c.t1, CP12_g30971_DN3_SP0_c.t1, CP6_g8637_DN2_SP0_c.t1, CP7_g44205_DN2_SP0_c.t1, CP13_g20756_DN1_SP0_c.t1, CP24_g46957_DN2_SP0_c.t1, CP3_g15844_DN1_SP0_c.t1
OG0000127	evm.model.RL_1.822	CP10_g42882_DN3_SP0_c.t1, CP3_g14752_DN3_SP0_c.t1, CP17_g6016_DN3_SP0_c.t1
OG0000128	evm.model.RL_3.715	CP25_g55878_DN2_SP0_c.t1
OG0000128	evm.model.RL_4.1217	CP6_g9544_DN1_SP0_c.t1
OG0000128	evm.model.RL_5.2370	CP6_g9543_DN2_SP0_c.t1
OG0000131	evm.model.RL_5.2318	CP43_g41590_DN3_SP0_c.t1, CP1_g39028_DN2_SP0_c.t1, CP3_g16808_DN3_SP0_c.t1, CP7_g44107_DN1_SP0_c.t1
OG0000131	evm.model.RL_4.867	CP3_g15174_DN1_SP0_c.t1, CP7_g44106_DN2_SP0_c.t1
OG0000132	evm.model.RL_2.3365	CP15_g34919_DN3_SP0_c.t1
OG0000132	evm.model.RL_4.679	CP8_g52858_DN3_SP0_c.t1
OG0000135	evm.model.RL_5.2242	CP5_g2025_DN2_SP0_c.t1
OG0000135	evm.model.RL_4.523, evm.model.RL_3.1563	CP6_g7882_DN2_SP0_c.t1, CP20_g4161_DN1_SP0_c.t1
OG0000135	evm.model.RL_8.884, evm.model.RL_8.165, evm.model.RL_8.1813, evm.model.RL_2.446, evm.model.RL_5.3235, evm.model.RL_2.3041	CP3_g15628_DN2_SP0_c.t1
OG0000135	evm.model.RL_4.225	CP8_g52524_DN1_SP0_c.t1, CP5_g2026_DN1_SP0_c.t1, CP21_g11066_DN3_SP0_c.t1
OG0000136	evm.model.RL_3.1028	CP9_g28199_DN3_SP0_c.t1
OG0000137	evm.model.RL_7.1543	CP1_g39023_DN1_SP0_c.t1, CP45_g22346_DN2_SP0_c.t1, CP8_g52433_DN1_SP0_c.t1, CP6_g9629_DN2_SP0_c.t1, CP3_g15146_DN2_SP0_c.t1, CP16_g55232_DN1_SP0_c.t1, CP7_g44117_DN2_SP0_c.t1, CP5_g3062_DN1_SP0_c.t1
OG0000143	evm.model.RL_8.1036	CP3_g15650_DN3_SP0_c.t1
OG0000144	evm.model.RL_8.1451	CP3_g16755_DN2_SP0_c.t1, CP3_g16065_DN2_SP0_c.t1, CP1_g39552_DN2_SP0_c.t1, CP17_g5859_DN2_SP0_c.t1, CP2_g50477_DN1_SP0_c.t1, CP26_g51198_DN2_SP0_c.t1, CP15_g34508_DN1_SP0_c.t1, CP6_g8551_DN1_SP0_c.t1, CP26_g51180_DN2_SP0_c.t1, CP6_g8727_DN1_SP0_c.t1, CP12_g31720_DN3_SP0_c.t1
OG0000147	evm.model.RL_2.2536	CP5_g984_DN3_SP8_c.t1
OG0000147	evm.model.RL_8.1812	CP8_g53733_DN3_SP8_c.t1
OG0000147	evm.model.RL_3.2406	CP9_g29643_DN3_SP8_c.t1
OG0000147	evm.model.RL_1.2583	CP17_g5850_DN3_SP8_c.t1
OG0000147	evm.model.RL_6.348	CP16_g55126_DN3_SP8_c.t1
