Orthogroup	Cardamine_amara	Capsella_rubella
OG0000023	evm.model.RL_8.636	XP_006287218.1
OG0000023	evm.model.RL_8.624	XP_006289052.2
OG0000023	evm.model.RL_8.630	XP_023635860.1
OG0000023	evm.model.RL_2.1829, evm.model.RL_2.1830	XP_006285954.1
OG0000023	evm.model.RL_2.1841	XP_006286185.1
OG0000023	evm.model.RL_2.1826	XP_023634702.1
OG0000023	evm.model.RL_2.1827	XP_023634698.1
OG0000024	evm.model.RL_5.2480	XP_023638107.1
OG0000025	evm.model.RL_2.872	XP_023634475.1
OG0000026	evm.model.RL_2.467, evm.model.RL_1.1627, evm.model.RL_1.2710	XP_023639056.1
OG0000026	evm.model.RL_7.315	XP_023644550.1, XP_023641958.1, XP_023644451.1, XP_023634078.1, XP_023644235.1, XP_023636040.1
OG0000027	evm.model.RL_5.2839	XP_023633039.1
OG0000028	evm.model.RL_7.4, evm.model.RL_5.3115	XP_023633373.1, XP_023638123.1, XP_023644257.1, XP_023644242.1, XP_023634002.1, XP_023638860.1
OG0000028	evm.model.RL_4.1689	XP_023634815.1, XP_023641328.1, XP_023644323.1, XP_023644233.1, XP_023642217.1, XP_023640355.1, XP_023640390.1, XP_023635785.1, XP_023637682.1
OG0000030	evm.model.RL_3.1268, evm.model.RL_5.2343, evm.model.RL_6.2258	XP_023644481.1
OG0000031	evm.model.RL_3.205	XP_006301297.1
OG0000033	evm.model.RL_3.424, evm.model.RL_3.1278	XP_006291260.2
OG0000033	evm.model.RL_8.413	XP_006287210.1
OG0000034	evm.model.RL_5.2588	XP_023635220.1
OG0000035	evm.model.RL_6.1297	XP_023632757.1
OG0000036	evm.model.RL_2.742, evm.model.RL_2.665	XP_023636066.1, XP_023633448.1, XP_023640345.1, XP_023634265.1, XP_023640320.1, XP_023643584.1, XP_023640315.1, XP_023636058.1, XP_023644147.1, XP_023634034.1, XP_023644470.1, XP_023638869.1, XP_023636060.1
OG0000038	evm.model.RL_8.1346, evm.model.RL_8.1344	XP_023633386.1
OG0000039	evm.model.RL_5.2445, evm.model.RL_3.1691	XP_023644219.1
OG0000040	evm.model.RL_3.1121	XP_023644289.1
OG0000042	evm.model.RL_6.2221	XP_023640353.1
OG0000043	evm.model.RL_1.2849	XP_023637997.1
OG0000044	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682	XP_006289233.2, XP_023636067.1, XP_023638196.1, XP_023640348.1, XP_023641942.1
OG0000045	evm.model.RL_7.883, evm.model.RL_8.1002, evm.model.RL_1.930, evm.model.RL_6.267	XP_023635342.1
OG0000046	evm.model.RL_2.391	XP_006290703.1, XP_023638915.1
OG0000046	evm.model.RL_2.1379	XP_006286158.2
OG0000046	evm.model.RL_2.389, evm.model.RL_2.387	XP_023638604.1, XP_023638598.1, XP_006290694.2
OG0000046	evm.model.RL_3.1072	XP_023643067.1
OG0000046	evm.model.RL_3.1060	XP_023643066.1, XP_023643076.1
OG0000046	evm.model.RL_3.1059, evm.model.RL_3.1065	XP_023644283.1
OG0000046	evm.model.RL_2.398	XP_006290268.1
OG0000052	evm.model.RL_5.167	XP_006304062.1
OG0000052	evm.model.RL_8.803, evm.model.RL_8.802	XP_023640455.1, XP_023640454.1, XP_023640425.1
OG0000052	evm.model.RL_6.2368	XP_023640424.1
OG0000055	evm.model.RL_3.282	XP_006301460.1
OG0000055	evm.model.RL_3.286	XP_006302241.1
OG0000055	evm.model.RL_3.285	XP_006302237.1
OG0000056	evm.model.RL_1.2423, evm.model.RL_1.2416	XP_023638967.1, XP_006282913.2
OG0000057	evm.model.RL_4.2353	XP_006286657.2
OG0000058	evm.model.RL_1.1905	XP_023643276.1
OG0000059	evm.model.RL_4.1269	XP_023637566.1, XP_023637460.1
OG0000059	evm.model.RL_6.807	XP_023638041.1
OG0000061	evm.model.RL_3.1126	XP_023634808.1, XP_023638026.1
OG0000062	evm.model.RL_6.455, evm.model.RL_7.899, evm.model.RL_7.1720	XP_023645325.1
OG0000066	evm.model.RL_5.1818	XP_006304375.1
OG0000066	evm.model.RL_8.2622	XP_006301260.2, XP_006304637.1, XP_006292533.1
OG0000067	evm.model.RL_4.3219, evm.model.RL_4.3254, evm.model.RL_4.3204, evm.model.RL_4.1919, evm.model.RL_4.3196, evm.model.RL_7.1445.4.687c84b9	XP_023633398.1, XP_023642606.1, XP_023637635.1, XP_006289558.2, XP_006286541.1
OG0000069	evm.model.RL_4.1093	XP_023644311.1
OG0000070	evm.model.RL_6.603, evm.model.RL_1.3315, evm.model.RL_2.703, evm.model.RL_3.747, evm.model.RL_3.813, evm.model.RL_8.1022	XP_023634145.1
OG0000071	evm.model.RL_1.2437	XP_006301047.2
OG0000071	evm.model.RL_6.355, evm.model.RL_4.341	XP_023646042.1, XP_023644298.1
OG0000071	evm.model.RL_6.3	XP_023643263.1
OG0000072	evm.model.RL_2.737	XP_023641886.1, XP_023633619.1
OG0000072	evm.model.RL_3.783	XP_023633613.1
OG0000073	evm.model.RL_4.151, evm.model.RL_4.156	XP_006281533.1
OG0000073	evm.model.RL_6.501	XP_023634969.1, XP_023636248.1
OG0000074	evm.model.RL_5.3415	XP_006304583.1
OG0000076	evm.model.RL_7.1484	XP_006291102.1
OG0000076	evm.model.RL_8.1070	XP_006293230.1
OG0000076	evm.model.RL_6.1653	XP_023638056.1, XP_023639204.1
OG0000077	evm.model.RL_4.914, evm.model.RL_4.878	XP_023633364.1, XP_006281848.1, XP_006281030.1, XP_006280653.1
OG0000077	evm.model.RL_2.3382	XP_023634488.1
OG0000077	evm.model.RL_2.1487, evm.model.RL_6.2241, evm.model.RL_6.145	XP_006286716.1
OG0000077	evm.model.RL_2.3381	XP_023635518.1
OG0000078	evm.model.RL_7.1903	XP_023642819.1, XP_023644458.1, XP_023644523.1, XP_023633346.1, XP_023633349.1, XP_023640339.1
OG0000078	evm.model.RL_3.798	XP_023634352.1
OG0000079	evm.model.RL_7.465	XP_006290714.1
OG0000080	evm.model.RL_2.499	XP_023634933.1
OG0000080	evm.model.RL_5.2173	XP_023645797.1, XP_006307356.2
OG0000080	evm.model.RL_6.1107	XP_023640829.1
OG0000081	evm.model.RL_5.1972	XP_023644303.1
OG0000081	evm.model.RL_4.293	XP_023643266.1, XP_023643267.1
OG0000082	evm.model.RL_7.1932	XP_023642613.1
OG0000083	evm.model.RL_1.2208	XP_006299852.1
OG0000084	evm.model.RL_6.313	XP_006295595.1
OG0000086	evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410	XP_006301805.1, XP_006301207.1, XP_006301336.1, XP_006301472.1, XP_006301343.1, XP_006301176.1, XP_006301855.1, XP_006306169.1, XP_006301107.1, XP_006301675.1, XP_006301967.1, XP_006301373.1, XP_006279222.1, XP_006279224.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301177.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006281741.1
OG0000087	evm.model.RL_4.1345	XP_006287738.1
OG0000087	evm.model.RL_6.1057	XP_006294210.1
OG0000087	evm.model.RL_7.1685	XP_006292748.1, XP_006291122.1
OG0000087	evm.model.RL_4.2360	XP_006289933.1
OG0000087	evm.model.RL_4.428	XP_006281513.1
OG0000087	evm.model.RL_2.1599	XP_006283733.1
OG0000087	evm.model.RL_5.1831	XP_006307490.1
OG0000087	evm.model.RL_3.1990	XP_006302256.1
OG0000088	evm.model.RL_7.1629	XP_023640385.1, XP_006296540.2, XP_023639002.1, XP_023637739.1, XP_023639072.1
OG0000088	evm.model.RL_8.1137	XP_023644362.1
OG0000089	evm.model.RL_4.2603	XP_006287952.1
OG0000089	evm.model.RL_1.1790.1.687c87ee	XP_006297920.1
OG0000089	evm.model.RL_6.2333	XP_006295821.1, XP_006295441.1
OG0000089	evm.model.RL_1.1121	XP_006297921.1
OG0000090	evm.model.RL_5.1846	XP_006304273.1
OG0000090	evm.model.RL_4.706	XP_023637791.1
OG0000090	evm.model.RL_3.2006	XP_006302938.1
OG0000090	evm.model.RL_2.2972	XP_006299005.1, XP_006285109.1, XP_006289176.1, XP_006286731.1
OG0000090	evm.model.RL_7.2545	XP_006291940.1, XP_006292249.1, XP_006292823.1, XP_006292597.1, XP_006291986.1, XP_006292951.2, XP_006292400.1, XP_006290298.1, XP_006292236.1
OG0000090	evm.model.RL_5.885	XP_006305612.2
OG0000093	evm.model.RL_7.523	XP_006292664.2
OG0000096	evm.model.RL_3.612	XP_023643297.1
OG0000096	evm.model.RL_7.2530	XP_006292432.2
OG0000096	evm.model.RL_7.2533	XP_006293218.1, XP_006292790.1
OG0000096	evm.model.RL_4.275	XP_023638028.1, XP_006290453.2
OG0000096	evm.model.RL_4.362	XP_006281971.1
OG0000096	evm.model.RL_8.633, evm.model.RL_4.313, evm.model.RL_4.314, evm.model.RL_4.324, evm.model.RL_4.323	XP_006280897.2
OG0000097	evm.model.RL_8.394	XP_006288252.1
OG0000097	evm.model.RL_8.392	XP_006289089.1
OG0000097	evm.model.RL_2.828	XP_006288348.1
OG0000097	evm.model.RL_8.388	XP_006288400.1
OG0000097	evm.model.RL_8.395	XP_006301748.2, XP_023644271.1, XP_006301379.1, XP_006289544.2, XP_006289669.1, XP_006289764.1
OG0000098	evm.model.RL_3.229	XP_023644089.1, XP_006286837.2, XP_006301151.1, XP_006301217.1, XP_006300715.1
OG0000099	evm.model.RL_3.84, evm.model.RL_3.230, evm.model.RL_3.232	XP_006299358.1, XP_006301980.1, XP_023637514.1, XP_006301668.1
OG0000101	evm.model.RL_3.664	XP_023644343.1
OG0000104	evm.model.RL_6.1005	XP_006296547.2
OG0000104	evm.model.RL_6.1006	XP_006296171.1
OG0000104	evm.model.RL_5.2109	XP_023645616.1
OG0000104	evm.model.RL_1.2055	XP_006299926.1
OG0000106	evm.model.RL_1.1887, evm.model.RL_1.1895, evm.model.RL_1.1845	XP_006299978.1
OG0000106	evm.model.RL_7.1393, evm.model.RL_1.1896	XP_006297893.1
OG0000107	evm.model.RL_1.1928	XP_023642039.1, XP_006299064.2
OG0000108	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166	XP_006305026.1
OG0000108	evm.model.RL_3.231	XP_006292655.1
OG0000110	evm.model.RL_7.771	XP_006291250.1
OG0000110	evm.model.RL_7.1925	XP_006290900.1
OG0000110	evm.model.RL_7.432	XP_006291075.1
OG0000112	evm.model.RL_5.3726, evm.model.RL_8.2168, evm.model.RL_8.2167	XP_006281753.1
OG0000113	evm.model.RL_4.208	XP_006282489.2
OG0000113	evm.model.RL_2.149	XP_006285182.1, XP_006284602.1
OG0000114	evm.model.RL_3.2232, evm.model.RL_3.2202	XP_023643586.1, XP_023644300.1, XP_023642837.1, XP_023643772.1
OG0000114	evm.model.RL_4.611	XP_006282379.2, XP_023640588.1, XP_023640573.1, XP_006279879.2
OG0000115	evm.model.RL_4.2608, evm.model.RL_4.2425, evm.model.RL_2.2979	XP_023634397.1
OG0000116	evm.model.RL_5.1553	XP_023643610.1, XP_023632899.1, XP_023642575.1, XP_023637419.1
OG0000118	evm.model.RL_8.709, evm.model.RL_8.712	XP_006289948.1, XP_006289239.1, XP_006289559.1, XP_023634314.1, XP_023643207.1, XP_023644251.1, XP_023638950.1, XP_006301030.1, XP_006285378.1
OG0000120	evm.model.RL_3.399, evm.model.RL_3.395	XP_006301308.1, XP_006301329.1
OG0000120	evm.model.RL_2.990, evm.model.RL_2.937	XP_006284913.2
OG0000120	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932	XP_006281901.1
OG0000122	evm.model.RL_8.1715	XP_006307679.1
OG0000122	evm.model.RL_8.1713	XP_006281892.1
OG0000123	evm.model.RL_5.1209	XP_006303793.1
OG0000123	evm.model.RL_5.1211	XP_006292772.1
OG0000124	evm.model.RL_4.540	XP_023644493.1
OG0000125	evm.model.RL_7.1020	XP_006292034.1
OG0000125	evm.model.RL_4.3281	XP_006298831.2, XP_006286660.1
OG0000125	evm.model.RL_4.1435	XP_006289049.1
OG0000125	evm.model.RL_8.2069	XP_006281264.1
OG0000125	evm.model.RL_7.1764, evm.model.RL_7.1769	XP_006292010.1
OG0000126	evm.model.RL_1.2513	XP_023640331.1, XP_023640343.1, XP_023644467.1
OG0000126	evm.model.RL_6.543, evm.model.RL_3.859	XP_023639622.1, XP_023644237.1, XP_023640332.1
OG0000127	evm.model.RL_4.3345	XP_006287625.1
OG0000127	evm.model.RL_4.3343	XP_006289415.1
OG0000127	evm.model.RL_1.822	XP_006300213.2
OG0000127	evm.model.RL_4.3344	XP_023637594.1
OG0000128	evm.model.RL_4.1217	XP_023644425.1
OG0000131	evm.model.RL_5.2318	XP_006301152.1
OG0000135	evm.model.RL_5.2429	XP_023634595.1
OG0000136	evm.model.RL_3.1028	XP_006302616.1, XP_023644121.1, XP_006302648.1, XP_023644277.1, XP_006302255.2
OG0000136	evm.model.RL_2.429	XP_006291706.2
OG0000137	evm.model.RL_7.1543	XP_023638979.1
OG0000137	evm.model.RL_2.50	XP_023635269.1
OG0000139	evm.model.RL_2.706, evm.model.RL_3.777, evm.model.RL_8.1023, evm.model.RL_7.2060, evm.model.RL_2.666, evm.model.RL_4.723, evm.model.RL_3.732, evm.model.RL_7.1944, evm.model.RL_7.2044	XP_023634523.1
OG0000140	evm.model.RL_7.1690	XP_023638993.1
OG0000140	evm.model.RL_8.2003	XP_023641991.1
OG0000143	evm.model.RL_8.1036	XP_023644612.1
OG0000144	evm.model.RL_8.1451	XP_023641182.1, XP_023637233.1, XP_006298993.2, XP_006288329.2
OG0000145	evm.model.RL_2.934	XP_023637080.1
OG0000147	evm.model.RL_2.2536	XP_006282542.1
OG0000147	evm.model.RL_8.1812	XP_006282289.1
OG0000147	evm.model.RL_3.2406	XP_023643729.1
OG0000147	evm.model.RL_1.2583	XP_006279406.1
OG0000147	evm.model.RL_6.348	XP_006293643.2
OG0000149	evm.model.RL_7.1739	XP_006292697.1
OG0000150	evm.model.RL_7.1807	XP_023638877.1, XP_006292836.2, XP_006292499.2, XP_006291315.2
OG0000150	evm.model.RL_7.1810	XP_023638901.1
OG0000151	evm.model.RL_8.1422	XP_006281266.1
OG0000151	evm.model.RL_2.2307	XP_006284700.1
OG0000151	evm.model.RL_1.777	XP_006298742.1
OG0000151	evm.model.RL_1.778	XP_023641832.1
OG0000151	evm.model.RL_1.2853	XP_006298751.1
OG0000151	evm.model.RL_8.1691	XP_006281239.2
OG0000151	evm.model.RL_3.61	XP_006302865.2, XP_006284706.1
OG0000154	evm.model.RL_6.951, evm.model.RL_5.1456	XP_006306285.1
OG0000154	evm.model.RL_1.853	XP_006297174.1
OG0000154	evm.model.RL_2.489	XP_006290203.1
OG0000155	evm.model.RL_2.2243	XP_006286160.1
OG0000155	evm.model.RL_3.1179	XP_023640442.1
OG0000156	evm.model.RL_6.2689	XP_023640163.1, XP_023640606.1
OG0000156	evm.model.RL_4.1065	XP_023640714.1
OG0000156	evm.model.RL_6.2692	XP_023639945.1
OG0000156	evm.model.RL_8.1108, evm.model.RL_8.1107	XP_006307271.1
OG0000156	evm.model.RL_6.2691	XP_023641004.1
OG0000157	evm.model.RL_5.213	XP_006300909.1, XP_006301359.2, XP_006290202.1
OG0000158	evm.model.RL_2.3209, evm.model.RL_2.3204, evm.model.RL_2.3199	XP_006285768.2
OG0000158	evm.model.RL_4.1378	XP_023635458.1
OG0000158	evm.model.RL_6.58	XP_006289701.2, XP_006289843.2
OG0000161	evm.model.RL_3.891	XP_023644191.1
OG0000161	evm.model.RL_3.897	XP_023644190.1
OG0000162	evm.model.RL_3.978, evm.model.RL_3.979, evm.model.RL_3.975, evm.model.RL_3.977, evm.model.RL_3.976	XP_006302230.1
OG0000162	evm.model.RL_6.2628	XP_006294103.1
OG0000164	evm.model.RL_4.581, evm.model.RL_2.1488	XP_023633845.1
OG0000167	evm.model.RL_2.1517	XP_023634123.1
OG0000167	evm.model.RL_2.1514	XP_023633844.1
OG0000169	evm.model.RL_6.454	XP_023640595.1
OG0000169	evm.model.RL_3.574	XP_023643289.1
OG0000171	evm.model.RL_5.927.1.687c88b0, evm.model.RL_3.461	XP_006305640.2
OG0000171	evm.model.RL_4.2162.1.687c86d7	XP_023635842.1
OG0000172	evm.model.RL_7.119	XP_006291171.1
OG0000172	evm.model.RL_3.406, evm.model.RL_3.423	XP_006293105.1
OG0000172	evm.model.RL_7.463, evm.model.RL_7.1680, evm.model.RL_7.1683, evm.model.RL_7.1679	XP_023639081.1
OG0000173	evm.model.RL_5.288	XP_023642043.1, XP_023641904.1, XP_023641912.1, XP_023633335.1
OG0000174	evm.model.RL_7.2138	XP_023634620.1, XP_023640324.1, XP_023636043.1
OG0000175	evm.model.RL_7.1254	XP_006293293.1
OG0000175	evm.model.RL_3.1995	XP_006302850.1
OG0000175	evm.model.RL_5.1839	XP_006305647.1
OG0000175	evm.model.RL_2.3025	XP_006282726.1
OG0000175	evm.model.RL_1.2964	XP_006296623.1
OG0000175	evm.model.RL_2.3122	XP_023633909.1
OG0000176	evm.model.RL_5.2855	XP_006306555.2
OG0000180	evm.model.RL_4.643	XP_006288439.1
OG0000181	evm.model.RL_6.478	XP_023638057.1
OG0000186	evm.model.RL_5.2354, evm.model.RL_8.2135	XP_023640354.1
OG0000187	evm.model.RL_1.1017	XP_023641259.1
OG0000188	evm.model.RL_1.2150, evm.model.RL_1.1078	XP_023634325.1
OG0000189	evm.model.RL_5.2279, evm.model.RL_4.1578	XP_006289268.1, XP_023634627.1
OG0000190	evm.model.RL_8.476, evm.model.RL_8.475	XP_006289433.1
OG0000190	evm.model.RL_8.473	XP_006286464.1
OG0000190	evm.model.RL_8.474.1.687c8557	XP_006286371.1
OG0000190	evm.model.RL_8.916	XP_006286468.1
OG0000191	evm.model.RL_1.1587	XP_006299132.1
OG0000192	evm.model.RL_5.3624	XP_006303161.1, XP_006283212.1, XP_006306845.1
OG0000195	evm.model.RL_6.761	XP_006294957.1
OG0000195	evm.model.RL_7.686, evm.model.RL_6.2234	XP_023641020.1
OG0000195	evm.model.RL_2.437, evm.model.RL_3.1018	XP_006302967.1, XP_006284698.1
OG0000195	evm.model.RL_4.1537, evm.model.RL_7.1974	XP_006286601.1, XP_023639142.1
OG0000196	evm.model.RL_5.2252	XP_006303722.1, XP_006305143.1
OG0000196	evm.model.RL_1.1858	XP_006305145.1
OG0000197	evm.model.RL_2.70	XP_023635498.1
OG0000197	evm.model.RL_2.911	XP_023638924.1, XP_006283424.1, XP_023634346.1
OG0000200	evm.model.RL_5.455	XP_023645782.1
OG0000200	evm.model.RL_1.2415, evm.model.RL_1.2410	XP_006300085.1
OG0000201	evm.model.RL_1.2115	XP_006299354.1
OG0000204	evm.model.RL_1.2062	XP_006299227.2, XP_006299488.1, XP_006299438.1, XP_023641253.1, XP_006286744.1, XP_006290121.1, XP_006289053.1, XP_006289972.1, XP_006296746.1, XP_006297875.1, XP_023633756.1
OG0000205	evm.model.RL_8.836	XP_023642400.1
OG0000207	evm.model.RL_3.2271	XP_023643999.1, XP_006279053.2, XP_006303104.2, XP_006301337.1, XP_006300995.1, XP_006301845.1
OG0000208	evm.model.RL_2.3387	XP_006283573.1
OG0000209	evm.model.RL_3.57	XP_023642946.1
OG0000209	evm.model.RL_3.240_evm.model.RL_3.241, evm.model.RL_6.275, evm.model.RL_3.242, evm.model.RL_6.274, evm.model.RL_6.276	XP_023644381.1
OG0000209	evm.model.RL_7.2654	XP_023642945.1
OG0000209	evm.model.RL_2.160	XP_023633824.1
OG0000209	evm.model.RL_2.161	XP_023634335.1, XP_023633580.1
OG0000213	evm.model.RL_6.204	XP_006296372.1, XP_023640523.1, XP_006296383.1, XP_023640521.1, XP_023640517.1, XP_006295774.1, XP_006294243.1, XP_006294239.1
OG0000214	evm.model.RL_7.215	XP_006301794.1
OG0000214	evm.model.RL_8.81, evm.model.RL_8.239	XP_006286785.2
OG0000217	evm.model.RL_7.1931	XP_006301589.1
OG0000217	evm.model.RL_3.511.1.687c84ba	XP_006300757.2
OG0000217	evm.model.RL_3.599	XP_006300705.1
OG0000218	evm.model.RL_5.1346	XP_006305966.2
OG0000218	evm.model.RL_5.1347, evm.model.RL_5.1349	XP_006306087.1
OG0000218	evm.model.RL_7.2697_evm.model.RL_7.2698	XP_006291995.1
OG0000219	evm.model.RL_3.1053	XP_006300988.1, XP_006300969.1, XP_006300929.1, XP_006301393.1
OG0000219	evm.model.RL_6.1078	XP_006295440.2
OG0000219	evm.model.RL_6.1077	XP_006293434.1
OG0000220	evm.model.RL_3.318	XP_006303240.1
OG0000224	evm.model.RL_3.2157	XP_006301754.1
OG0000224	evm.model.RL_3.2156	XP_006302386.1
OG0000225	evm.model.RL_5.2983	XP_006305710.2, XP_006304552.1
OG0000225	evm.model.RL_5.2981	XP_006305771.1, XP_006304293.1
OG0000225	evm.model.RL_5.2976, evm.model.RL_5.2985	XP_006305764.1, XP_006304484.1
OG0000228	evm.model.RL_3.1491	XP_006301818.1
OG0000228	evm.model.RL_4.998	XP_006289231.1
OG0000228	evm.model.RL_3.1486	XP_023644384.1
OG0000229	evm.model.RL_8.305, evm.model.RL_8.256, evm.model.RL_8.257	XP_006280936.1, XP_006293511.1
OG0000229	evm.model.RL_2.330, evm.model.RL_7.1066	XP_006304151.2, XP_006303339.1, XP_006304149.1
OG0000231	evm.model.RL_2.361	XP_006283372.1
OG0000231	evm.model.RL_3.1104	XP_023645946.1, XP_023643170.1, XP_023643807.1
OG0000232	evm.model.RL_5.1311	XP_006286443.2
OG0000234	evm.model.RL_7.1848	XP_006292174.1
OG0000234	evm.model.RL_7.860	XP_006290668.1
OG0000234	evm.model.RL_7.861	XP_006292545.1
OG0000234	evm.model.RL_7.862	XP_006292248.1
OG0000234	evm.model.RL_6.2046	XP_006295608.1
OG0000234	evm.model.RL_4.2267	XP_006287124.2
OG0000238	evm.model.RL_4.549	XP_023638933.1
OG0000240	evm.model.RL_4.753	XP_006290232.2, XP_006281727.1
OG0000240	evm.model.RL_2.1026	XP_006301448.1, XP_006285195.1
OG0000242	evm.model.RL_1.2752, evm.model.RL_1.2751	XP_006297317.1
OG0000244	evm.model.RL_2.1690	XP_006284545.1
OG0000248	evm.model.RL_8.548	XP_023635820.1
OG0000248	evm.model.RL_7.722	XP_006292358.1
OG0000249	evm.model.RL_6.1769	XP_006296366.1
OG0000249	evm.model.RL_6.1770	XP_006294087.1, XP_006294083.1
OG0000252	evm.model.RL_1.1880	XP_023635829.1, XP_006295841.1, XP_023639230.1
OG0000256	evm.model.RL_2.275	XP_006281060.1, XP_023642516.1
OG0000256	evm.model.RL_6.2167	XP_006294980.1
OG0000257	evm.model.RL_6.895	XP_006300047.2
OG0000258	evm.model.RL_7.2389	XP_006290957.1, XP_006290955.1
OG0000258	evm.model.RL_7.2388	XP_006290953.1, XP_023638661.1
OG0000260	evm.model.RL_5.2925	XP_023641923.1, XP_023633599.1
OG0000260	evm.model.RL_4.3199	XP_023643982.1
OG0000260	evm.model.RL_7.274	XP_006285264.2
OG0000264	evm.model.RL_8.323	XP_006290182.1
OG0000264	evm.model.RL_8.324	XP_023636139.1, XP_006286807.1
OG0000265	evm.model.RL_4.1725	XP_023635719.1
OG0000266	evm.model.RL_7.312, evm.model.RL_7.607, evm.model.RL_7.609, evm.model.RL_4.61, evm.model.RL_7.608	XP_023645896.1
OG0000268	evm.model.RL_7.2613	XP_006292510.2
OG0000268	evm.model.RL_3.272	XP_023643441.1
OG0000268	evm.model.RL_4.3350	XP_006287367.1
OG0000268	evm.model.RL_7.967	XP_006292488.1
OG0000270	evm.model.RL_5.1819	XP_006302919.1, XP_023644770.1
OG0000271	evm.model.RL_4.3215	XP_006299908.2, XP_006288300.1, XP_006288303.1
OG0000271	evm.model.RL_1.889	XP_006306291.1
OG0000271	evm.model.RL_4.3212	XP_006289516.1
OG0000273	evm.model.RL_5.2635	XP_006281771.1, XP_006307122.1, XP_006304613.1, XP_006304877.1
OG0000274	evm.model.RL_8.2049	XP_006281238.1
OG0000274	evm.model.RL_7.1747, evm.model.RL_7.1745	XP_006291980.1
OG0000274	evm.model.RL_3.504	XP_023642855.1
OG0000274	evm.model.RL_6.1051	XP_006295138.1
OG0000275	evm.model.RL_3.456, evm.model.RL_1.2114	XP_006299855.1
OG0000278	evm.model.RL_8.184, evm.model.RL_8.181	XP_006292952.1, XP_023637248.1
OG0000278	evm.model.RL_8.1959	XP_023636104.1, XP_006288761.1
OG0000278	evm.model.RL_8.1993	XP_006280995.1
OG0000279	evm.model.RL_6.568	XP_023635807.1, XP_023639599.1, XP_023641906.1
OG0000281	evm.model.RL_2.1747	XP_006286208.2
OG0000282	evm.model.RL_4.2795	XP_006289542.2, XP_006289289.1
OG0000282	evm.model.RL_4.226, evm.model.RL_4.2794	XP_006289379.1
OG0000282	evm.model.RL_4.2792	XP_006286767.1
