Orthogroup	Cardamine_amara	Eutrema_salsugineum
OG0000019	evm.model.RL_7.2268	XP_024010115.1, XP_024013301.1, XP_024010379.1, XP_024013975.1, XP_024006589.1, XP_024014025.1, XP_024006532.1, XP_024010647.1, XP_024011223.1, XP_024013321.1, XP_024016207.1, XP_024004800.1, XP_024016569.1
OG0000020	evm.model.RL_8.1178, evm.model.RL_7.1677, evm.model.RL_7.2128	XP_024005014.1
OG0000020	evm.model.RL_2.3364	XP_024009276.1, XP_024004049.1, XP_024007229.1
OG0000020	evm.model.RL_7.2129	XP_024004841.1
OG0000021	evm.model.RL_7.92, evm.model.RL_2.444	XP_024015179.1
OG0000021	evm.model.RL_5.2428	XP_024016553.1
OG0000021	evm.model.RL_4.405	XP_024009427.1
OG0000021	evm.model.RL_3.587, evm.model.RL_2.653	XP_024006452.1
OG0000021	evm.model.RL_3.586, evm.model.RL_1.1352, evm.model.RL_3.1079, evm.model.RL_2.288, evm.model.RL_1.2419	XP_024004813.1, XP_024004020.1
OG0000021	evm.model.RL_4.3275, evm.model.RL_5.2792	XP_024009969.1, XP_024013347.1, XP_024015937.1
OG0000023	evm.model.RL_2.1848	XP_006413565.1
OG0000023	evm.model.RL_2.1842	XP_006413557.1, XP_024013896.1
OG0000023	evm.model.RL_8.636	XP_006396896.1
OG0000023	evm.model.RL_2.1829, evm.model.RL_2.1830	XP_006413569.1
OG0000023	evm.model.RL_2.1825.3.687c86e4	XP_024004623.1
OG0000025	evm.model.RL_2.3111	XP_006411607.2
OG0000026	evm.model.RL_5.679	XP_024009325.1, XP_024006530.1, XP_024013992.1, XP_024011284.1
OG0000027	evm.model.RL_7.603, evm.model.RL_7.580	XP_006402766.1
OG0000028	evm.model.RL_7.2004, evm.model.RL_7.2001, evm.model.RL_7.2002, evm.model.RL_7.4, evm.model.RL_5.3115	XP_024006637.1
OG0000028	evm.model.RL_4.1689	XP_024009126.1, XP_024004857.1, XP_024016540.1, XP_024013053.1, XP_024013162.1, XP_024014403.1, XP_024014056.1, XP_024010241.1, XP_024014715.1, XP_024009819.1, XP_024010450.1, XP_024015838.1, XP_024016311.1, XP_024004754.1, XP_024004102.1, XP_024007219.1, XP_024004045.1, XP_024011346.1, XP_024010247.1, XP_024016863.1, XP_024013922.1, XP_024009259.1, XP_024013800.1, XP_024012069.1
OG0000029	evm.model.RL_8.656	XP_024007307.1
OG0000030	evm.model.RL_3.1268, evm.model.RL_5.2343, evm.model.RL_6.2258	XP_024009281.1
OG0000031	evm.model.RL_3.758	XP_006391833.2
OG0000031	evm.model.RL_3.205	XP_006391783.1, XP_006391806.1, XP_006391807.1, XP_006391822.1, XP_006391862.1, XP_006391821.1, XP_006391819.1, XP_024003783.1, XP_006391808.1, XP_006391749.1
OG0000033	evm.model.RL_2.1834, evm.model.RL_2.1824	XP_024010975.1, XP_006413571.1
OG0000033	evm.model.RL_2.1828	XP_006413574.2
OG0000033	evm.model.RL_2.1820_evm.model.RL_2.1823	XP_006413576.1
OG0000034	evm.model.RL_5.2588	XP_024016360.1, XP_024014012.1, XP_024016375.1, XP_024009234.1, XP_024005459.1
OG0000034	evm.model.RL_5.2586	XP_024004424.1
OG0000034	evm.model.RL_2.719, evm.model.RL_6.542	XP_024005008.1
OG0000034	evm.model.RL_4.675	XP_024004803.1
OG0000036	evm.model.RL_1.2959, evm.model.RL_5.2564	XP_024013600.1
OG0000036	evm.model.RL_2.742, evm.model.RL_2.665	XP_024016128.1, XP_024015982.1, XP_024013356.1, XP_024006629.1, XP_024016554.1, XP_024011207.1, XP_024014435.1, XP_024016240.1, XP_024009368.1, XP_024016380.1, XP_024009607.1, XP_024003653.1, XP_024011251.1, XP_024014237.1, XP_024011360.1, XP_024011314.1, XP_024016319.1, XP_024013206.1, XP_024012609.1, XP_024009371.1, XP_024016265.1, XP_024010368.1, XP_024006792.1, XP_024009971.1, XP_024012295.1, XP_024006803.1, XP_024011140.1, XP_024013156.1
OG0000037	evm.model.RL_4.2891, evm.model.RL_5.3695	XP_024006537.1
OG0000040	evm.model.RL_7.2097	XP_024008003.1
OG0000042	evm.model.RL_6.1177, evm.model.RL_7.1372	XP_024006511.1
OG0000042	evm.model.RL_3.1074, evm.model.RL_8.1561, evm.model.RL_3.1047	XP_024004874.1, XP_024014479.1
OG0000042	evm.model.RL_7.1972	XP_024006069.1
OG0000042	evm.model.RL_6.2221	XP_024013326.1
OG0000043	evm.model.RL_2.730	XP_024015897.1, XP_024015898.1, XP_024007304.1
OG0000043	evm.model.RL_3.1062	XP_024010437.1, XP_024007262.1, XP_024009578.1
OG0000043	evm.model.RL_4.636	XP_024013932.1, XP_024010157.1, XP_024006559.1
OG0000043	evm.model.RL_6.792	XP_024010278.1, XP_024004993.1, XP_024007282.1, XP_024009187.1, XP_024004823.1, XP_024006435.1, XP_024015903.1, XP_024010381.1, XP_024014049.1, XP_024013966.1
OG0000043	evm.model.RL_8.981, evm.model.RL_8.1077	XP_024007316.1, XP_024007298.1, XP_024009765.1, XP_024010410.1, XP_024016309.1
OG0000043	evm.model.RL_1.2849, evm.model.RL_6.636	XP_024014519.1
OG0000043	evm.model.RL_3.816	XP_024009417.1, XP_024010105.1, XP_024015145.1, XP_024006527.1, XP_024013117.1, XP_024009280.1, XP_024005016.1, XP_024009364.1, XP_024013594.1
OG0000043	evm.model.RL_2.394	XP_024010276.1
OG0000044	evm.model.RL_4.607	XP_024009472.1, XP_024009471.1
OG0000044	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682	XP_006407857.2, XP_024006486.1, XP_006401889.2, XP_024009662.1, XP_024011380.1, XP_024013796.1, XP_024010208.1, XP_006389862.1, XP_006403918.2
OG0000044	evm.model.RL_3.633, evm.model.RL_7.2338, evm.model.RL_8.226, evm.model.RL_2.659	XP_024015030.1
OG0000045	evm.model.RL_2.587	XP_024008086.1, XP_024015905.1
OG0000045	evm.model.RL_7.883, evm.model.RL_8.1002	XP_024014349.1, XP_024006862.1, XP_024008024.1, XP_024006618.1, XP_024016129.1, XP_024011268.1
OG0000045	evm.model.RL_1.930	XP_024013381.1, XP_024010348.1, XP_024010913.1, XP_024006569.1
OG0000045	evm.model.RL_6.267	XP_024010455.1
OG0000046	evm.model.RL_2.391	XP_024014561.1
OG0000046	evm.model.RL_2.1379	XP_024004758.1
OG0000046	evm.model.RL_2.389, evm.model.RL_2.387	XP_024014362.1
OG0000046	evm.model.RL_3.1072, evm.model.RL_3.1077	XP_006391458.1
OG0000047	evm.model.RL_6.2868, evm.model.RL_2.1217, evm.model.RL_7.1965, evm.model.RL_1.2799, evm.model.RL_1.325, evm.model.RL_5.3533, evm.model.RL_5.3697	XP_024016226.1, XP_024016354.1
OG0000052	evm.model.RL_5.167	XP_024009195.1, XP_024008111.1, XP_006418389.2
OG0000052	evm.model.RL_6.2368	XP_024004184.1
OG0000054	evm.model.RL_8.912, evm.model.RL_7.2126	XP_006397270.2
OG0000054	evm.model.RL_8.823, evm.model.RL_4.126	XP_006408822.2
OG0000054	evm.model.RL_1.2395	XP_024016368.1, XP_024009310.1, XP_024005013.1
OG0000056	evm.model.RL_2.634	XP_024009686.1, XP_024006605.1
OG0000056	evm.model.RL_5.3516, evm.model.RL_8.1063, evm.model.RL_7.2480, evm.model.RL_8.880, evm.model.RL_8.260, evm.model.RL_3.1257, evm.model.RL_3.1335	XP_024009608.1, XP_024014631.1, XP_024004060.1, XP_024006592.1
OG0000057	evm.model.RL_1.2123, evm.model.RL_1.2359	XP_024012536.1
OG0000058	evm.model.RL_6.762, evm.model.RL_1.1905	XP_024007981.1, XP_024015913.1
OG0000058	evm.model.RL_2.1104, evm.model.RL_1.2538	XP_024004962.1, XP_024006598.1
OG0000059	evm.model.RL_2.445	XP_024004071.1
OG0000059	evm.model.RL_6.844	XP_024014297.1
OG0000059	evm.model.RL_7.2089	XP_024014246.1
OG0000059	evm.model.RL_4.1269	XP_024014004.1
OG0000059	evm.model.RL_6.807	XP_024010658.1
OG0000060	evm.model.RL_3.1064, evm.model.RL_3.817, evm.model.RL_8.1029, evm.model.RL_7.1968	XP_024011528.1
OG0000061	evm.model.RL_6.2768, evm.model.RL_3.1126	XP_024004223.1, XP_024014389.1
OG0000062	evm.model.RL_2.991, evm.model.RL_6.777	XP_024014042.1
OG0000062	evm.model.RL_6.455, evm.model.RL_7.899, evm.model.RL_7.1720	XP_024010130.1, XP_006405230.2
OG0000065	evm.model.RL_2.692, evm.model.RL_1.2797, evm.model.RL_5.2499, evm.model.RL_3.795, evm.model.RL_3.818, evm.model.RL_3.821, evm.model.RL_6.665, evm.model.RL_3.831, evm.model.RL_8.1007, evm.model.RL_2.698, evm.model.RL_3.820, evm.model.RL_1.2651, evm.model.RL_6.669, evm.model.RL_8.1014, evm.model.RL_8.1010, evm.model.RL_2.690, evm.model.RL_6.632, evm.model.RL_3.828, evm.model.RL_2.702, evm.model.RL_4.719, evm.model.RL_7.2023, evm.model.RL_6.638, evm.model.RL_4.727, evm.model.RL_2.685, evm.model.RL_5.2501, evm.model.RL_8.2425, evm.model.RL_6.602, evm.model.RL_6.620, evm.model.RL_3.887, evm.model.RL_6.658, evm.model.RL_3.830, evm.model.RL_3.822, evm.model.RL_6.659, evm.model.RL_4.717, evm.model.RL_2.695, evm.model.RL_5.2490, evm.model.RL_3.832, evm.model.RL_3.819, evm.model.RL_3.833, evm.model.RL_3.826, evm.model.RL_3.824, evm.model.RL_8.1017, evm.model.RL_4.716, evm.model.RL_8.1009, evm.model.RL_3.812, evm.model.RL_3.796, evm.model.RL_3.835, evm.model.RL_2.691, evm.model.RL_8.1016, evm.model.RL_1.2631, evm.model.RL_1.2658, evm.model.RL_2.687, evm.model.RL_3.811, evm.model.RL_8.1015, evm.model.RL_6.667, evm.model.RL_3.825, evm.model.RL_6.664, evm.model.RL_6.673, evm.model.RL_4.722, evm.model.RL_6.666, evm.model.RL_8.1005, evm.model.RL_5.2500, evm.model.RL_6.703, evm.model.RL_1.2636, evm.model.RL_1.2795, evm.model.RL_1.2649, evm.model.RL_1.2645, evm.model.RL_2.699, evm.model.RL_5.2502, evm.model.RL_6.702, evm.model.RL_6.616, evm.model.RL_6.601, evm.model.RL_6.619, evm.model.RL_2.694, evm.model.RL_4.715, evm.model.RL_6.675, evm.model.RL_8.1006, evm.model.RL_1.2647, evm.model.RL_6.648, evm.model.RL_6.692	XP_024006661.1
OG0000066	evm.model.RL_3.1975	XP_024005718.1
OG0000066	evm.model.RL_8.2622	XP_024012002.1, XP_006394044.1, XP_006394194.1, XP_006396911.1
OG0000067	evm.model.RL_3.1500, evm.model.RL_3.1537	XP_006406656.1
OG0000069	evm.model.RL_4.1093	XP_024009769.1, XP_024007936.1, XP_024016097.1, XP_024014455.1, XP_024015941.1, XP_024009376.1, XP_024006136.1
OG0000070	evm.model.RL_6.573	XP_024013809.1, XP_024011334.1
OG0000070	evm.model.RL_6.606	XP_024010588.1
OG0000071	evm.model.RL_6.950	XP_024010849.1, XP_024009972.1
OG0000071	evm.model.RL_6.3	XP_024005999.1, XP_024004736.1, XP_024012932.1, XP_024013941.1
OG0000072	evm.model.RL_3.925, evm.model.RL_2.737, evm.model.RL_7.1960, evm.model.RL_3.276, evm.model.RL_1.3082, evm.model.RL_3.783	XP_024009348.1, XP_024013914.1, XP_024006596.1, XP_024009952.1, XP_024014026.1, XP_024010244.1, XP_024006561.1, XP_024013107.1, XP_024015896.1, XP_024009380.1, XP_024009792.1, XP_024010384.1, XP_024009711.1
OG0000073	evm.model.RL_4.629	XP_024009991.1
OG0000073	evm.model.RL_4.146, evm.model.RL_4.158.2.687c86cd, evm.model.RL_4.151, evm.model.RL_4.156	XP_024013343.1
OG0000073	evm.model.RL_4.648, evm.model.RL_4.365, evm.model.RL_4.175	XP_024011128.1
OG0000074	evm.model.RL_5.3415	XP_024008035.1
OG0000076	evm.model.RL_6.1653	XP_024007553.1
OG0000077	evm.model.RL_4.914, evm.model.RL_4.878, evm.model.RL_2.3382	XP_006418924.1
OG0000077	evm.model.RL_2.1487, evm.model.RL_6.2241, evm.model.RL_6.145	XP_024014654.1
OG0000078	evm.model.RL_7.1903	XP_024013973.1, XP_024006349.1, XP_024011414.1, XP_024009421.1, XP_024004909.1
OG0000081	evm.model.RL_6.922	XP_006416297.2, XP_024006818.1, XP_006412742.1
OG0000081	evm.model.RL_5.1972	XP_024004911.1
OG0000082	evm.model.RL_8.1557	XP_024013185.1
OG0000083	evm.model.RL_1.2207, evm.model.RL_1.2208	XP_006406083.1
OG0000084	evm.model.RL_6.397	XP_024013951.1, XP_006405002.1, XP_024014179.1, XP_006391426.1
OG0000086	evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410	XP_006408761.1, XP_006408760.1, XP_006408781.1, XP_006408766.1, XP_024016075.1, XP_006408779.2, XP_006408769.1, XP_006408773.1, XP_006408774.1, XP_006408775.1, XP_006408759.1, XP_006408777.1, XP_006408780.1, XP_006408778.1, XP_006408763.1, XP_006408768.1, XP_006408765.1, XP_024015891.1, XP_006408757.1, XP_006408758.1
OG0000087	evm.model.RL_4.1345	XP_006394642.1
OG0000087	evm.model.RL_6.1057	XP_006410012.1
OG0000087	evm.model.RL_4.2360	XP_006399740.1
OG0000087	evm.model.RL_6.1567	XP_006410628.1
OG0000087	evm.model.RL_4.428	XP_006403108.1
OG0000087	evm.model.RL_2.1599	XP_006413842.1
OG0000087	evm.model.RL_3.1990	XP_006390273.1
OG0000088	evm.model.RL_7.1629	XP_006404361.1, XP_006398111.1, XP_006398110.2, XP_006404364.1, XP_024011698.1, XP_024013782.1
OG0000089	evm.model.RL_4.2603	XP_006399464.1
OG0000089	evm.model.RL_1.1790.1.687c87ee	XP_006406564.1
OG0000089	evm.model.RL_1.1121	XP_006407369.1
OG0000090	evm.model.RL_5.1846	XP_006416426.1
OG0000090	evm.model.RL_3.2006	XP_006390250.1
OG0000090	evm.model.RL_2.2972	XP_006402629.2
OG0000090	evm.model.RL_7.2013, evm.model.RL_7.2546	XP_006395735.1
OG0000096	evm.model.RL_7.2530	XP_006395720.2
OG0000096	evm.model.RL_7.2533	XP_006395727.1, XP_006395717.2
OG0000096	evm.model.RL_4.362	XP_024004738.1
OG0000097	evm.model.RL_8.394	XP_006417793.2
OG0000098	evm.model.RL_3.229	XP_024004548.1, XP_006391848.1
OG0000099	evm.model.RL_3.85	XP_024016396.1
OG0000101	evm.model.RL_3.99, evm.model.RL_3.653	XP_024014029.1
OG0000101	evm.model.RL_3.662	XP_024014529.1
OG0000101	evm.model.RL_3.664	XP_006404831.1
OG0000104	evm.model.RL_5.2109	XP_024006051.1
OG0000104	evm.model.RL_1.2055	XP_006406282.1
OG0000104	evm.model.RL_1.2425	XP_024006272.1
OG0000104	evm.model.RL_6.1000	XP_024003673.1
OG0000105	evm.model.RL_6.453	XP_024011316.1
OG0000106	evm.model.RL_1.1887, evm.model.RL_1.1895, evm.model.RL_1.1845	XP_024014982.1, XP_006408882.1
OG0000107	evm.model.RL_1.2019, evm.model.RL_1.2021, evm.model.RL_1.1929	XP_006406420.1
OG0000108	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166	XP_006394690.1, XP_006404383.1, XP_006414046.1
OG0000109	evm.model.RL_6.809	XP_024009890.1
OG0000109	evm.model.RL_7.2399, evm.model.RL_3.555, evm.model.RL_1.2753, evm.model.RL_6.342	XP_024014096.1
OG0000109	evm.model.RL_8.1066, evm.model.RL_2.562, evm.model.RL_1.2945, evm.model.RL_8.628, evm.model.RL_6.399, evm.model.RL_1.2214, evm.model.RL_8.997	XP_024004593.1
OG0000110	evm.model.RL_7.1925	XP_006402712.2
OG0000110	evm.model.RL_7.432	XP_024009571.1
OG0000111	evm.model.RL_8.2409	XP_024010064.1
OG0000113	evm.model.RL_3.600	XP_024014375.1
OG0000113	evm.model.RL_4.346	XP_006414517.2
OG0000114	evm.model.RL_3.2232, evm.model.RL_3.2202	XP_024006571.1
OG0000114	evm.model.RL_4.605, evm.model.RL_4.611, evm.model.RL_4.609, evm.model.RL_3.630, evm.model.RL_1.339	XP_006399626.1
OG0000114	evm.model.RL_3.757	XP_024004563.1, XP_024004566.1
OG0000115	evm.model.RL_4.2608, evm.model.RL_4.2425, evm.model.RL_2.2979	XP_024013331.1
OG0000119	evm.model.RL_5.2397	XP_024010311.1, XP_024010843.1, XP_024009910.1, XP_024004523.1
OG0000120	evm.model.RL_3.399, evm.model.RL_3.395	XP_006392103.1, XP_006392097.1
OG0000120	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504	XP_006409474.2, XP_006398920.1
OG0000123	evm.model.RL_5.1209	XP_006399078.1
OG0000123	evm.model.RL_5.1210	XP_024013225.1
OG0000124	evm.model.RL_3.893	XP_024004501.1, XP_024004928.1
OG0000125	evm.model.RL_4.1435	XP_006400797.1
OG0000125	evm.model.RL_8.2069	XP_006400898.1
OG0000125	evm.model.RL_6.979	XP_006409905.1
OG0000126	evm.model.RL_1.2513	XP_024015956.1, XP_024006495.1, XP_024014536.1, XP_024008013.1, XP_024014488.1, XP_024013369.1, XP_024016282.1
OG0000126	evm.model.RL_6.543, evm.model.RL_3.859	XP_024010260.1, XP_024014515.1, XP_024006138.1, XP_024013368.1, XP_024016130.1
OG0000127	evm.model.RL_1.823	XP_006415215.1
OG0000127	evm.model.RL_1.822	XP_024009346.1
OG0000130	evm.model.RL_6.625	XP_024004995.1
OG0000130	evm.model.RL_4.724, evm.model.RL_5.2503, evm.model.RL_6.691, evm.model.RL_6.707	XP_024009728.1
OG0000131	evm.model.RL_5.2318	XP_024013367.1
OG0000132	evm.model.RL_8.1179	XP_006415357.2, XP_006404698.2
OG0000132	evm.model.RL_2.3365	XP_024004957.1
OG0000132	evm.model.RL_6.1268, evm.model.RL_7.2086	XP_024016184.1
OG0000135	evm.model.RL_5.2242	XP_024016223.1
OG0000135	evm.model.RL_4.523, evm.model.RL_3.1563	XP_024006538.1, XP_024006075.1, XP_024012099.1
OG0000135	evm.model.RL_8.884, evm.model.RL_8.165, evm.model.RL_8.1813, evm.model.RL_2.446, evm.model.RL_5.3235, evm.model.RL_2.3041	XP_024006572.1
OG0000136	evm.model.RL_3.1028	XP_006391405.1, XP_006390991.1
OG0000136	evm.model.RL_2.429	XP_024014367.1
OG0000137	evm.model.RL_7.1543	XP_006409642.2, XP_024015892.1, XP_024010413.1, XP_024013977.1, XP_024009781.1, XP_024007267.1, XP_024009428.1, XP_024011275.1, XP_024006620.1, XP_024005584.1, XP_024010662.1, XP_024011095.1, XP_024010391.1, XP_024007266.1, XP_024016583.1, XP_024011274.1
OG0000137	evm.model.RL_2.50	XP_024014203.1
OG0000139	evm.model.RL_6.1684	XP_024009753.1, XP_024007232.1
OG0000139	evm.model.RL_8.982	XP_024004032.1
OG0000140	evm.model.RL_8.2003	XP_024011857.1
OG0000142	evm.model.RL_6.1032	XP_024003801.1
OG0000143	evm.model.RL_1.2794	XP_024005012.1
OG0000144	evm.model.RL_8.1451	XP_024004160.1, XP_024013207.1, XP_024011246.1, XP_024014814.1
OG0000147	evm.model.RL_2.2536	XP_024005341.1
OG0000147	evm.model.RL_8.1812	XP_024012572.1
OG0000147	evm.model.RL_3.2406	XP_006389820.1
OG0000147	evm.model.RL_1.2583	XP_006396088.1
OG0000147	evm.model.RL_6.348	XP_006404985.2
OG0000149	evm.model.RL_7.1738	XP_024009527.1
OG0000149	evm.model.RL_7.1737	XP_024009508.1
OG0000149	evm.model.RL_7.1739	XP_024009365.1
OG0000150	evm.model.RL_8.2095	XP_024009951.1
OG0000150	evm.model.RL_7.1810	XP_006419033.2
OG0000151	evm.model.RL_8.1422	XP_006401722.1
OG0000151	evm.model.RL_2.2307	XP_024005195.1
OG0000151	evm.model.RL_1.777	XP_006407751.1
OG0000151	evm.model.RL_1.2853	XP_006409398.1
OG0000151	evm.model.RL_8.1691	XP_006401372.1
OG0000151	evm.model.RL_3.61	XP_006391653.1, XP_006405318.1
OG0000152	evm.model.RL_8.687	XP_024013102.1, XP_024009932.1, XP_024010565.1
OG0000154	evm.model.RL_6.951, evm.model.RL_5.1456	XP_006416851.1
OG0000154	evm.model.RL_1.853	XP_006407676.1
OG0000155	evm.model.RL_2.2243	XP_006413094.1
OG0000156	evm.model.RL_6.2689	XP_024010808.1
OG0000156	evm.model.RL_4.1065	XP_024010825.1
OG0000156	evm.model.RL_6.2692	XP_006410182.1
OG0000156	evm.model.RL_8.1108, evm.model.RL_8.1107, evm.model.RL_6.2691	XP_024010761.1
OG0000157	evm.model.RL_5.213	XP_024010220.1, XP_024009977.1
OG0000158	evm.model.RL_4.1378	XP_006391162.2
OG0000161	evm.model.RL_3.897	XP_006408194.2
OG0000162	evm.model.RL_3.1091, evm.model.RL_3.978, evm.model.RL_3.979, evm.model.RL_3.975, evm.model.RL_3.977, evm.model.RL_3.976	XP_024012462.1
OG0000162	evm.model.RL_6.2628	XP_024004704.1, XP_024010855.1
OG0000164	evm.model.RL_4.218	XP_024006885.1, XP_006395689.1
OG0000165	evm.model.RL_7.798	XP_024016201.1
OG0000167	evm.model.RL_8.1410, evm.model.RL_8.842	XP_006401739.1
OG0000167	evm.model.RL_2.1517	XP_006413956.2
OG0000167	evm.model.RL_2.1514	XP_006393695.2
OG0000169	evm.model.RL_3.574	XP_006392323.2
OG0000171	evm.model.RL_3.1439	XP_024015929.1, XP_006416080.1
OG0000171	evm.model.RL_3.461	XP_006417443.1
OG0000171	evm.model.RL_4.2162.1.687c86d7	XP_024012404.1
OG0000172	evm.model.RL_3.406, evm.model.RL_3.423	XP_006402375.2
OG0000172	evm.model.RL_7.463, evm.model.RL_7.1680, evm.model.RL_7.1683, evm.model.RL_7.1679	XP_024016620.1
