Orthogroup	Cardamine_amara	Odontarrhena_muralis
OG0000034	evm.model.RL_2.719, evm.model.RL_6.542	Om007G303110, Om003G111210, Om003G106810, Om001G013580
OG0000034	evm.model.RL_4.675	Om004G146340, Om008G350170, Om002G076250, Om008G348400, Om007G307960, Om008G348190
OG0000034	evm.model.RL_7.2041	Om005G219960, Om002G081730
OG0000035	evm.model.RL_6.1297	Om006G273920, Om002G042810
OG0000037	evm.model.RL_1.63	Om008G355590
OG0000037	evm.model.RL_3.518	Om005G188070
OG0000038	evm.model.RL_7.1446	Om006G262290
OG0000039	evm.model.RL_3.1691	Om008G321840
OG0000039	evm.model.RL_1.3015, evm.model.RL_3.1690	Om006G250590, Om002G057780
OG0000040	evm.model.RL_7.2097	Om002G084710, Om002G084780, Om002G084740, Om002G084670
OG0000042	evm.model.RL_3.4	Om007G298450
OG0000042	evm.model.RL_6.2221	Om004G177160
OG0000043	evm.model.RL_6.636	Om002G089060
OG0000044	evm.model.RL_6.541	Om006G265780
OG0000044	evm.model.RL_3.633, evm.model.RL_7.2338	Om007G314900
OG0000044	evm.model.RL_2.659	Om007G312940, Om006G264420, Om002G069520, Om005G221680, Om005G221660
OG0000045	evm.model.RL_7.883, evm.model.RL_8.1002, evm.model.RL_1.930, evm.model.RL_6.267	Om001G031280
OG0000046	evm.model.RL_2.1379	Om001G001860
OG0000046	evm.model.RL_2.389, evm.model.RL_2.387	Om006G253990
OG0000046	evm.model.RL_3.1071, evm.model.RL_3.1072, evm.model.RL_3.1077	Om005G206750
OG0000047	evm.model.RL_2.1217	Om002G077780
OG0000052	evm.model.RL_5.167	Om005G179650, Om008G361390, Om005G180640
OG0000052	evm.model.RL_8.2684	Om008G326600
OG0000052	evm.model.RL_6.1412	Om008G326650
OG0000052	evm.model.RL_6.2368	Om008G326590
OG0000054	evm.model.RL_8.823, evm.model.RL_4.126	Om008G359460, Om008G361290
OG0000054	evm.model.RL_1.2395	Om002G043200, Om007G279110, Om006G263890, Om006G251510, Om008G354720, Om007G277220, Om003G128320, Om005G214240, Om002G057290, Om001G013850
OG0000055	evm.model.RL_3.277	Om005G224080
OG0000056	evm.model.RL_2.634	Om008G340700, Om005G220800, Om001G027140
OG0000056	evm.model.RL_5.3516, evm.model.RL_8.1063, evm.model.RL_7.2480, evm.model.RL_8.880, evm.model.RL_8.260, evm.model.RL_3.1257, evm.model.RL_3.1335	Om005G209160, Om002G073230, Om001G006930, Om005G212260
OG0000058	evm.model.RL_6.762	Om007G299580, Om006G274770, Om007G313880, Om002G087980, Om002G068450, Om005G190360, Om005G223220, Om005G204610, Om007G304500, Om003G125380, Om008G357860, Om004G129440, Om001G015300, Om002G087130, Om002G075560, Om002G076070, Om003G097800, Om001G033280, Om005G201820, Om002G084100, Om001G039990, Om002G084960, Om008G357700, Om003G090300, Om006G269060, Om006G268940, Om004G141540
OG0000058	evm.model.RL_1.1905	Om004G159610, Om008G340000, Om005G225280, Om006G268750, Om004G160530
OG0000058	evm.model.RL_2.1104, evm.model.RL_1.2538	Om008G335110, Om007G318000, Om007G289630, Om007G296230
OG0000059	evm.model.RL_6.807	Om001G008500
OG0000060	evm.model.RL_4.110	Om008G348970, Om003G127290, Om006G235900
OG0000061	evm.model.RL_6.2768, evm.model.RL_3.1126	Om006G238480
OG0000061	evm.model.RL_7.2504, evm.model.RL_7.1966, evm.model.RL_8.1041	Om001G020570, Om005G225030, Om004G146510, Om001G027660
OG0000062	evm.model.RL_6.781, evm.model.RL_6.779	Om002G057790
OG0000062	evm.model.RL_2.991, evm.model.RL_6.777	Om002G089260, Om019G374190, Om019G374330, Om019G374380, Om002G089220, Om005G205060, Om005G204090, Om003G124440, Om002G089320, Om003G109490
OG0000063	evm.model.RL_6.1828	Om006G254290
OG0000063	evm.model.RL_7.1740	Om006G245470
OG0000064	evm.model.RL_5.1832	Om001G033560
OG0000065	evm.model.RL_2.692, evm.model.RL_1.2797	Om005G217710
OG0000065	evm.model.RL_1.2651, evm.model.RL_6.669, evm.model.RL_8.1014, evm.model.RL_8.1010, evm.model.RL_2.690, evm.model.RL_6.632	Om005G217720
OG0000065	evm.model.RL_3.828	Om005G217730
OG0000065	evm.model.RL_2.685, evm.model.RL_5.2501	Om007G310120
OG0000065	evm.model.RL_8.2425, evm.model.RL_6.602, evm.model.RL_6.620, evm.model.RL_3.887, evm.model.RL_6.658, evm.model.RL_3.830, evm.model.RL_3.822, evm.model.RL_6.659, evm.model.RL_4.717, evm.model.RL_2.695, evm.model.RL_5.2490, evm.model.RL_3.832, evm.model.RL_3.819, evm.model.RL_3.833, evm.model.RL_3.826, evm.model.RL_3.824, evm.model.RL_8.1017, evm.model.RL_4.716	Om007G309700, Om010G364600
OG0000066	evm.model.RL_3.1975	Om004G164550
OG0000066	evm.model.RL_5.781, evm.model.RL_8.2623	Om008G337830, Om006G231860
OG0000066	evm.model.RL_8.2622	Om004G165570
OG0000067	evm.model.RL_7.2627	Om001G023220
OG0000070	evm.model.RL_6.573	Om008G344650
OG0000070	evm.model.RL_2.838	Om005G218350
OG0000070	evm.model.RL_6.606	Om007G311790
OG0000070	evm.model.RL_3.776	Om012G367940, Om012G366740
OG0000071	evm.model.RL_1.2437	Om001G016290, Om004G163830
OG0000071	evm.model.RL_4.340	Om008G360280, Om004G166900
OG0000071	evm.model.RL_6.355, evm.model.RL_4.341	Om001G039370
OG0000072	evm.model.RL_3.925, evm.model.RL_2.737, evm.model.RL_7.1960, evm.model.RL_3.276, evm.model.RL_1.3082, evm.model.RL_3.783	Om006G262700, Om007G309250, Om011G365680, Om001G001700
OG0000073	evm.model.RL_6.501	Om002G052330
OG0000076	evm.model.RL_6.1653	Om006G242520
OG0000077	evm.model.RL_2.3382	Om001G035000
OG0000077	evm.model.RL_6.2241, evm.model.RL_6.145	Om001G039420
OG0000080	evm.model.RL_2.499	Om004G135430
OG0000080	evm.model.RL_5.3416, evm.model.RL_6.1107	Om003G125630, Om008G347380, Om008G343390, Om008G346000
OG0000081	evm.model.RL_5.1972	Om003G096460
OG0000082	evm.model.RL_7.1946	Om007G305200, Om007G305330
OG0000082	evm.model.RL_8.1557	Om004G130570
OG0000086	evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410	Om004G163220
OG0000087	evm.model.RL_4.1345	Om006G238380
OG0000087	evm.model.RL_6.1057	Om007G282390
OG0000087	evm.model.RL_4.2360	Om004G162490
OG0000087	evm.model.RL_6.1567	Om008G339690
OG0000087	evm.model.RL_4.428	Om008G355890
OG0000087	evm.model.RL_2.1599	Om001G006430
OG0000087	evm.model.RL_3.1990	Om004G137360
OG0000088	evm.model.RL_7.1629	Om003G119630
OG0000089	evm.model.RL_4.2603	Om004G166350
OG0000089	evm.model.RL_1.1790.1.687c87ee	Om003G098490
OG0000089	evm.model.RL_1.1121	Om002G055730
OG0000089	evm.model.RL_6.1820	Om008G335280
OG0000090	evm.model.RL_5.1846	Om005G202290, Om005G179690
OG0000090	evm.model.RL_3.2006	Om004G136810
OG0000090	evm.model.RL_2.2972	Om002G055690, Om003G124430
OG0000090	evm.model.RL_7.2013, evm.model.RL_7.2546	Om006G274160
OG0000091	evm.model.RL_4.825	Om002G080860
OG0000093	evm.model.RL_7.523	Om003G122050
OG0000093	evm.model.RL_7.525	Om003G122020
OG0000093	evm.model.RL_7.532	Om003G121760
OG0000096	evm.model.RL_7.2530, evm.model.RL_7.2533	Om007G301150, Om003G093070, Om006G274060
OG0000096	evm.model.RL_8.633, evm.model.RL_4.313, evm.model.RL_4.314, evm.model.RL_4.324, evm.model.RL_4.323	Om004G143550, Om008G360980
OG0000096	evm.model.RL_5.825	Om005G187930
OG0000097	evm.model.RL_8.394	Om008G355550, Om008G355560
OG0000097	evm.model.RL_8.388	Om008G355700
OG0000097	evm.model.RL_8.395	Om008G355610, Om008G355650, Om008G354170, Om008G354150
OG0000098	evm.model.RL_3.229	Om001G001780
OG0000099	evm.model.RL_3.84, evm.model.RL_3.230, evm.model.RL_3.232	Om005G227480
OG0000104	evm.model.RL_6.1005	Om007G283030
OG0000104	evm.model.RL_6.1006	Om007G283020
OG0000104	evm.model.RL_5.2109	Om003G095420
OG0000104	evm.model.RL_1.2055	Om002G069400
OG0000104	evm.model.RL_8.1054	Om003G095400
OG0000104	evm.model.RL_5.1892_evm.model.RL_5.1893	Om003G095350
OG0000107	evm.model.RL_1.2019, evm.model.RL_1.2021, evm.model.RL_1.1929	Om002G067770
OG0000108	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166	Om003G100270, Om003G100260
OG0000108	evm.model.RL_3.231	Om006G273840, Om006G273820
OG0000109	evm.model.RL_6.809	Om007G296220
OG0000109	evm.model.RL_8.1066, evm.model.RL_2.562, evm.model.RL_1.2945, evm.model.RL_8.628, evm.model.RL_6.399, evm.model.RL_1.2214, evm.model.RL_8.997	Om007G303510
OG0000110	evm.model.RL_7.1925	Om003G123400
OG0000111	evm.model.RL_8.2409	Om006G259270
OG0000113	evm.model.RL_3.98	Om005G227040
OG0000113	evm.model.RL_4.149	Om008G360430
OG0000113	evm.model.RL_3.996	Om008G360410, Om008G360750
OG0000113	evm.model.RL_4.346	Om001G037540
OG0000113	evm.model.RL_4.610, evm.model.RL_4.608	Om001G034170
OG0000114	evm.model.RL_1.340	Om002G045910, Om002G045900
OG0000114	evm.model.RL_3.2232, evm.model.RL_3.2202	Om004G135370
OG0000114	evm.model.RL_3.757	Om001G008300
OG0000119	evm.model.RL_5.2397	Om004G167610, Om008G327080, Om056G377050, Om007G284890, Om002G047880, Om002G045610, Om008G336570, Om004G165930, Om006G268600, Om006G246170, Om005G185730
OG0000120	evm.model.RL_3.399, evm.model.RL_3.395	Om005G221860
OG0000120	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932	Om004G161410, Om004G161280, Om002G075940, Om007G301890, Om001G024520
OG0000120	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504	Om007G296760, Om007G296900, Om004G172660
OG0000122	evm.model.RL_5.2721	Om003G118900, Om003G118890
OG0000123	evm.model.RL_5.1210	Om005G224980, Om005G193630
OG0000123	evm.model.RL_5.1211	Om005G193640
OG0000124	evm.model.RL_2.1935, evm.model.RL_1.2598	Om004G142190
OG0000125	evm.model.RL_4.3281	Om002G052080
OG0000125	evm.model.RL_4.1435	Om006G244360
OG0000125	evm.model.RL_5.630	Om005G185630
OG0000125	evm.model.RL_8.2069	Om006G245540
OG0000125	evm.model.RL_6.979	Om007G283300
OG0000126	evm.model.RL_6.543, evm.model.RL_3.859	Om006G262390, Om004G151250
OG0000127	evm.model.RL_4.3345	Om004G176360
OG0000127	evm.model.RL_4.3343	Om004G176280
OG0000128	evm.model.RL_4.1217	Om004G154610
OG0000128	evm.model.RL_5.2370	Om005G217280
OG0000132	evm.model.RL_6.1268, evm.model.RL_7.2086	Om008G361300
OG0000135	evm.model.RL_4.523, evm.model.RL_3.1563	Om002G054930, Om005G226530
OG0000136	evm.model.RL_3.1028	Om002G045120
OG0000139	evm.model.RL_2.706, evm.model.RL_3.777, evm.model.RL_8.1023, evm.model.RL_7.2060, evm.model.RL_2.666, evm.model.RL_4.723, evm.model.RL_3.732, evm.model.RL_7.1944, evm.model.RL_7.2044	Om003G107910, Om003G108000
OG0000142	evm.model.RL_6.1032	Om007G282780
OG0000142	evm.model.RL_6.1033, evm.model.RL_6.1034	Om007G282660
OG0000143	evm.model.RL_8.1036	Om003G106950
OG0000144	evm.model.RL_8.1451	Om006G263840, Om005G217250, Om007G314120
OG0000147	evm.model.RL_2.2536	Om001G025660
OG0000147	evm.model.RL_8.1812	Om007G285990, Om006G249440
OG0000147	evm.model.RL_3.2406	Om004G130850
OG0000147	evm.model.RL_2.664	Om003G106450
OG0000147	evm.model.RL_1.2583	Om002G078960
OG0000150	evm.model.RL_8.2095	Om008G323560
OG0000150	evm.model.RL_7.1807	Om007G296930, Om001G010460
OG0000150	evm.model.RL_7.1810	Om005G201710
OG0000151	evm.model.RL_8.1422	Om003G114720
OG0000151	evm.model.RL_2.2307	Om001G021860
OG0000151	evm.model.RL_1.777	Om002G051120
OG0000151	evm.model.RL_1.2853	Om002G082850
OG0000151	evm.model.RL_8.1691	Om003G118410
OG0000151	evm.model.RL_3.61	Om005G227900
OG0000154	evm.model.RL_6.951, evm.model.RL_5.1456	Om005G196960
OG0000154	evm.model.RL_4.3288	Om004G147280
OG0000154	evm.model.RL_2.489	Om004G175630
OG0000155	evm.model.RL_2.2243	Om001G020030
OG0000155	evm.model.RL_3.1179	Om005G221310
OG0000156	evm.model.RL_6.2689	Om008G322060
OG0000156	evm.model.RL_6.2692	Om008G321950, Om008G321940
OG0000156	evm.model.RL_8.1108, evm.model.RL_8.1107, evm.model.RL_6.2691	Om004G146270, Om008G321930, Om001G022080, Om008G321920, Om008G322040, Om008G322020
OG0000158	evm.model.RL_2.2746	Om001G012390, Om001G033100, Om001G033130
OG0000161	evm.model.RL_3.891	Om007G278440
OG0000161	evm.model.RL_3.897	Om004G167210, Om006G249300
OG0000162	evm.model.RL_4.640, evm.model.RL_2.640	Om003G125340
OG0000162	evm.model.RL_6.2628	Om008G322780, Om008G322790
OG0000165	evm.model.RL_7.798	Om005G200180, Om007G315340
OG0000167	evm.model.RL_2.1517	Om001G004410
OG0000167	evm.model.RL_2.1514	Om001G004360
OG0000171	evm.model.RL_6.2869	Om003G127920
OG0000171	evm.model.RL_7.135	Om008G319870
OG0000171	evm.model.RL_3.1439	Om005G207720
OG0000171	evm.model.RL_5.927.1.687c88b0, evm.model.RL_3.461	Om005G220880
OG0000171	evm.model.RL_4.2162.1.687c86d7	Om007G301020
OG0000172	evm.model.RL_7.1680, evm.model.RL_7.1683	Om003G123000
OG0000174	evm.model.RL_7.2138	Om003G109150
OG0000175	evm.model.RL_7.1254	Om002G084540, Om006G257450
OG0000175	evm.model.RL_3.1995	Om004G137100
OG0000175	evm.model.RL_2.3025	Om002G082840
OG0000176	evm.model.RL_5.2856	Om001G007740, Om001G007770, Om001G007760, Om004G147890, Om004G147900, Om004G142560, Om007G292150
OG0000177	evm.model.RL_4.357	Om004G151970
OG0000178	evm.model.RL_3.909, evm.model.RL_1.2527, evm.model.RL_6.1504	Om001G019830, Om008G338100
OG0000180	evm.model.RL_4.643	Om008G336650
OG0000184	evm.model.RL_8.999, evm.model.RL_1.2918	Om006G270790
OG0000185	evm.model.RL_3.5, evm.model.RL_7.2167, evm.model.RL_1.2420, evm.model.RL_7.527, evm.model.RL_3.588, evm.model.RL_1.1351, evm.model.RL_2.287, evm.model.RL_8.2218	Om001G041450, Om008G356330, Om008G319330
OG0000186	evm.model.RL_5.2354, evm.model.RL_8.2135	Om007G285030
OG0000187	evm.model.RL_2.2676	Om001G030100, Om008G336940
OG0000187	evm.model.RL_2.2677	Om001G028140
OG0000187	evm.model.RL_1.1017	Om002G054360, Om002G054350
OG0000189	evm.model.RL_6.2240, evm.model.RL_6.2193, evm.model.RL_2.3227	Om001G037310
OG0000190	evm.model.RL_8.476, evm.model.RL_8.475	Om008G353940
OG0000190	evm.model.RL_8.474.1.687c8557	Om008G355670
OG0000190	evm.model.RL_8.472	Om008G353960
OG0000191	evm.model.RL_1.1587	Om005G197150
OG0000191	evm.model.RL_1.1588	Om005G197140
OG0000192	evm.model.RL_5.3624	Om005G203480
OG0000192	evm.model.RL_3.2103	Om005G203440
OG0000195	evm.model.RL_7.686, evm.model.RL_6.2234	Om003G119760
OG0000195	evm.model.RL_2.437, evm.model.RL_3.1018, evm.model.RL_4.1537, evm.model.RL_7.1974	Om007G285150
OG0000196	evm.model.RL_4.2575	Om005G182070
OG0000196	evm.model.RL_4.2554	Om005G185020, Om005G182080
OG0000196	evm.model.RL_1.1858	Om007G289440
OG0000197	evm.model.RL_2.911	Om008G330910, Om001G002150, Om004G163020
OG0000203	evm.model.RL_1.381, evm.model.RL_1.380	Om003G095370, Om002G055150
OG0000204	evm.model.RL_1.2062	Om004G171440, Om002G070990
OG0000207	evm.model.RL_3.2271	Om004G136280
OG0000209	evm.model.RL_2.469	Om002G062100
OG0000209	evm.model.RL_3.58, evm.model.RL_3.243, evm.model.RL_6.273	Om005G228040, Om005G227980
OG0000209	evm.model.RL_3.57	Om005G228150
OG0000213	evm.model.RL_6.203, evm.model.RL_6.204	Om001G036460, Om001G036440, Om001G036450
OG0000214	evm.model.RL_7.215	Om007G281030
OG0000214	evm.model.RL_8.81, evm.model.RL_8.239	Om004G136700, Om004G136680, Om004G145470
OG0000217	evm.model.RL_3.548	Om001G001730
OG0000218	evm.model.RL_5.1346, evm.model.RL_5.1347, evm.model.RL_5.1349	Om005G195550
OG0000218	evm.model.RL_7.2697_evm.model.RL_7.2698	Om004G138180, Om006G241660
OG0000219	evm.model.RL_3.1053	Om005G213260
OG0000219	evm.model.RL_6.1077	Om007G282230
OG0000224	evm.model.RL_3.2157, evm.model.RL_3.2156	Om004G134640, Om004G134630
OG0000225	evm.model.RL_5.2978, evm.model.RL_5.2982, evm.model.RL_5.2983, evm.model.RL_5.2977	Om007G289790
OG0000225	evm.model.RL_5.2975	Om007G289810
OG0000225	evm.model.RL_5.2976, evm.model.RL_5.2985	Om007G289780, Om007G289840, Om007G289820, Om007G289860, Om007G289850
OG0000226	evm.model.RL_1.1295, evm.model.RL_1.1199	Om003G089750
OG0000228	evm.model.RL_3.1490	Om005G207070
OG0000229	evm.model.RL_3.1414, evm.model.RL_3.1413, evm.model.RL_2.330, evm.model.RL_7.1066	Om001G026580
OG0000231	evm.model.RL_2.361	Om006G259610
OG0000233	evm.model.RL_7.2092	Om002G075710
OG0000234	evm.model.RL_7.860	Om006G252380
OG0000234	evm.model.RL_7.861	Om006G252400
OG0000234	evm.model.RL_7.862	Om006G252410
OG0000234	evm.model.RL_6.2046	Om008G332130
OG0000234	evm.model.RL_4.2267	Om004G161230
OG0000237	evm.model.RL_2.732	Om008G343820, Om007G307970
OG0000240	evm.model.RL_2.1027	Om008G346090
OG0000240	evm.model.RL_2.1026	Om008G346080
OG0000242	evm.model.RL_7.2542	Om002G081640
OG0000244	evm.model.RL_2.1690	Om001G008070
OG0000246	evm.model.RL_8.1155	Om002G071710
OG0000248	evm.model.RL_7.722	Om003G119420
OG0000249	evm.model.RL_6.1769	Om008G336610
OG0000249	evm.model.RL_6.1770	Om008G336590, Om008G336600
OG0000250	evm.model.RL_2.492	Om001G040920
OG0000251	evm.model.RL_1.2772	Om006G266370, Om005G218220
OG0000251	evm.model.RL_3.915	Om007G290870, Om006G266390
OG0000252	evm.model.RL_4.3241, evm.model.RL_4.3240, evm.model.RL_4.3242, evm.model.RL_5.3777, evm.model.RL_1.1880, evm.model.RL_1.1879, evm.model.RL_1.1878, evm.model.RL_3.263	Om008G334420, Om008G334430, Om003G122070, Om004G175220
OG0000253	evm.model.RL_6.613, evm.model.RL_8.1032	Om004G150660
OG0000256	evm.model.RL_8.503, evm.model.RL_8.501, evm.model.RL_8.502, evm.model.RL_8.500	Om008G329780
OG0000256	evm.model.RL_2.275	Om008G331560, Om008G331580, Om008G331570, Om008G331550
OG0000256	evm.model.RL_6.2167, evm.model.RL_4.439	Om008G329670
OG0000258	evm.model.RL_7.2389	Om008G334140
OG0000258	evm.model.RL_7.2388	Om006G272550
OG0000260	evm.model.RL_2.1046	Om004G174020
OG0000264	evm.model.RL_8.411, evm.model.RL_8.323	Om008G355250
OG0000264	evm.model.RL_8.324	Om004G160560, Om004G160570, Om004G160550
OG0000265	evm.model.RL_4.1725	Om007G304710, Om007G298190
OG0000265	evm.model.RL_6.1068	Om005G198690, Om008G341180, Om008G357770
OG0000266	evm.model.RL_8.1428, evm.model.RL_4.734, evm.model.RL_7.884, evm.model.RL_7.1153, evm.model.RL_7.1139.1.687c84b8	Om003G128150
OG0000268	evm.model.RL_7.2613	Om006G274870
OG0000268	evm.model.RL_3.272	Om008G334210
OG0000268	evm.model.RL_7.2615	Om001G008530
OG0000268	evm.model.RL_4.3350	Om004G176390
OG0000268	evm.model.RL_7.967	Om006G253920
OG0000270	evm.model.RL_2.3440	Om001G033200
OG0000271	evm.model.RL_4.3212	Om008G334470, Om001G012260, Om008G355390
OG0000273	evm.model.RL_5.2635	Om007G280490, Om001G031160, Om001G031140, Om003G099210
OG0000274	evm.model.RL_8.2049	Om006G245790
OG0000274	evm.model.RL_7.1747, evm.model.RL_7.1745	Om008G354900
OG0000274	evm.model.RL_6.1051	Om007G282440
OG0000278	evm.model.RL_8.184, evm.model.RL_8.181	Om006G246960, Om006G246900, Om006G241700, Om006G248780, Om006G248700, Om006G248830
OG0000279	evm.model.RL_6.568	Om004G168600
OG0000279	evm.model.RL_2.847	Om004G152920, Om004G168610
OG0000279	evm.model.RL_6.745	Om003G109450
