Orthogroup	Cardamine_amara	Arabidopsis_lyrata_NCBI
OG0000203	evm.model.RL_1.380	XP_020888830.1
OG0000204	evm.model.RL_1.2062	XP_020881383.1, XP_002885438.2
OG0000205	evm.model.RL_8.836	XP_002877168.1
OG0000206	evm.model.RL_6.475, evm.model.RL_8.541	XP_020882872.1
OG0000207	evm.model.RL_3.2271	XP_002889207.2, XP_020891517.1, XP_020891568.1, XP_020891546.1, XP_020885070.1, XP_020891565.1, XP_020889907.1
OG0000208	evm.model.RL_2.3387	XP_020872429.1
OG0000209	evm.model.RL_2.469	XP_020890823.1
OG0000209	evm.model.RL_3.58, evm.model.RL_3.243, evm.model.RL_6.273	XP_020890821.1
OG0000209	evm.model.RL_3.240_evm.model.RL_3.241, evm.model.RL_6.275, evm.model.RL_3.242, evm.model.RL_6.274, evm.model.RL_6.276	XP_020890819.1
OG0000209	evm.model.RL_7.2654	XP_020890820.1
OG0000209	evm.model.RL_2.160	XP_020874287.1
OG0000209	evm.model.RL_2.161	XP_020874288.1
OG0000210	evm.model.RL_7.1999	XP_020881030.1
OG0000213	evm.model.RL_6.204	XP_002878651.1, XP_020884047.1, XP_020883070.1
OG0000214	evm.model.RL_7.215	XP_020891504.1
OG0000217	evm.model.RL_7.1931	XP_020891727.1
OG0000217	evm.model.RL_3.548	XP_020868284.1
OG0000218	evm.model.RL_5.1346	XP_002892838.1, XP_020869981.1
OG0000218	evm.model.RL_5.1347, evm.model.RL_5.1349	XP_020869449.1
OG0000218	evm.model.RL_7.2697_evm.model.RL_7.2698	XP_002870338.1, XP_020881007.1, XP_002875203.1, XP_002875076.1
OG0000219	evm.model.RL_3.1053	XP_002888551.1, XP_002888554.1, XP_002888553.1, XP_002887077.1, XP_020891385.1
OG0000219	evm.model.RL_6.1077	XP_002881067.1, XP_002862634.2
OG0000219	evm.model.RL_8.2397	XP_020877374.1, XP_002862247.1
OG0000220	evm.model.RL_3.318	XP_020882765.1, XP_020884619.1
OG0000224	evm.model.RL_3.2157	XP_020891652.1
OG0000224	evm.model.RL_3.2156	XP_002887689.1
OG0000225	evm.model.RL_5.2983	XP_020867501.1
OG0000225	evm.model.RL_5.2977	XP_020867503.1
OG0000225	evm.model.RL_5.2981	XP_020867502.1
OG0000226	evm.model.RL_8.2609, evm.model.RL_8.2608	XP_002876919.1, XP_020869863.1
OG0000228	evm.model.RL_3.1491	XP_002888800.1
OG0000228	evm.model.RL_4.998	XP_002874413.1, XP_002872296.1
OG0000228	evm.model.RL_3.1486	XP_020872592.1, XP_002888798.1
OG0000229	evm.model.RL_8.305, evm.model.RL_8.256, evm.model.RL_8.257	XP_020874322.1, XP_020874320.1, XP_020877798.1, XP_002871796.1, XP_020874321.1
OG0000229	evm.model.RL_2.330, evm.model.RL_7.1066	XP_020868387.1, XP_002891651.2, XP_002891717.1
OG0000231	evm.model.RL_2.361	XP_020873122.1
OG0000231	evm.model.RL_3.874	XP_020872464.1
