Orthogroup	Arabidopsis_arenosa	Euclidium_syriacum
OG0000027	jg31698, jg31696, jg31707, jg31681, jg31709, jg31711, jg31710, jg31713, jg32093, jg31714, jg2233, jg31669, jg16932, jg16933, jg31705, jg31715	ESY4_g26407_DN2_SP0_c0.t1, ESY4_g26408_DN1_SP0_c0.t1, ESY4_g26390_DN2_SP0_c0.t1
OG0000028	jg13681, jg3965, jg11165, jg14797, jg11997, jg6737, jg2197, jg17461, jg12004, jg26958, jg13640, jg2465, jg27218, jg11460	ESY6_g48344_DN1_SP0_c0.t1
OG0000028	jg32932, jg1778	ESY10_g14733_DN2_SP0_c0.t1
OG0000029	jg27510, jg21060, jg5864, jg27798, jg17174, jg18126, jg16768, jg1946, jg17443, jg17949	ESY13_g57677_DN1_SP0_c0.t1
OG0000030	jg32294, jg33373	ESY4_g21739_DN1_SP0_c0.t1
OG0000030	jg6978	ESY19_g41790_DN1_SP0_c0.t1, ESY4_g25239_DN1_SP0_c95.t1
OG0000030	jg11609	ESY17_g39786_DN2_SP0_c77.t1
OG0000034	jg32357	ESY4_g21983_DN1_SP0_c100.t1
OG0000035	jg18270	ESY3_g31841_DN3_SP0_c0.t1, ESY3_g32003_DN2_SP0_c0.t1, ESY3_g32004_DN2_SP0_c0.t1, ESY3_g32002_DN3_SP0_c0.t1, ESY3_g32008_DN1_SP0_c0.t1
OG0000035	jg18207, jg18210	ESY8_g58361_DN2_SP0_c0.t1
OG0000035	jg25048	ESY8_g58364_DN2_SP0_c0.t1
OG0000035	jg23606	ESY20_g13338_DN3_SP0_c0.t1
OG0000035	jg20747, jg20748	ESY5_g4613_DN3_SP0_c0.t1, ESY2_g34022_DN3_SP0_c0.t1
OG0000035	jg18309	ESY5_g5237_DN2_SP0_c0.t1, ESY5_g5235_DN1_SP0_c0.t1, ESY5_g5227_DN1_SP0_c0.t1, ESY7_g16708_DN2_SP0_c0.t1, ESY8_g58363_DN2_SP0_c0.t1
OG0000035	jg16184	ESY1_g12294_DN3_SP0_c0.t1
OG0000035	jg18469	ESY1_g12145_DN1_SP0_c0.t1
OG0000036	jg16618	ESY15_g65727_DN2_SP0_c85.t1
OG0000038	jg20023, jg549	ESY3_g32443_DN3_SP0_c0.t1, ESY3_g32320_DN3_SP0_c0.t1
OG0000038	jg14792, jg14795, jg11019	ESY9_g42631_DN2_SP0_c0.t1
OG0000038	jg18146	ESY7_g19381_DN3_SP0_c0.t1
OG0000038	jg12694, jg12670	ESY20_g12878_DN3_SP0_c0.t1
OG0000038	jg15287	ESY1_g11096_DN3_SP0_c0.t1
OG0000038	jg32001	ESY20_g13302_DN1_SP0_c0.t1
OG0000040	jg31203	ESY5_g3539_DN1_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1
OG0000040	jg25536	ESY9_g43210_DN3_SP0_c0.t1, ESY10_g15292_DN3_SP0_c0.t1, ESY5_g4903_DN2_SP0_c0.t1, ESY11_g54038_DN2_SP0_c0.t1, ESY1_g12127_DN1_SP0_c0.t1, ESY9_g42993_DN2_SP0_c0.t1
OG0000040	jg25347	ESY3_g30190_DN1_SP0_c0.t1, ESY10_g14483_DN1_SP0_c0.t1, ESY9_g42524_DN2_SP0_c0.t1, ESY23_g305_DN3_SP0_c0.t1, ESY4_g24700_DN2_SP0_c0.t1
OG0000040	jg10900, jg11085	ESY9_g42572_DN2_SP0_c0.t1, ESY5_g4904_DN2_SP0_c0.t1, ESY9_g42497_DN1_SP0_c0.t1, ESY3_g32449_DN2_SP0_c0.t1
OG0000040	jg25272, jg738, jg25360	ESY3_g32163_DN2_SP0_c0.t1, ESY16_g61826_DN2_SP0_c0.t1, ESY16_g61827_DN2_SP0_c0.t1, ESY3_g30254_DN3_SP0_c0.t1
OG0000040	jg2112	ESY11_g54853_DN3_SP0_c0.t1
OG0000040	jg25382	ESY3_g30283_DN1_SP0_c0.t1, ESY7_g18283_DN2_SP0_c0.t1
OG0000040	jg14799, jg17824, jg14802, jg14804, jg1537	ESY3_g29392_DN3_SP0_c0.t1
OG0000040	jg2274	ESY3_g29331_DN1_SP0_c0.t1, ESY3_g29330_DN1_SP0_c0.t1
OG0000041	jg6878	ESY1_g8855_DN3_SP0_c0.t1, ESY11_g52547_DN2_SP0_c0.t1, ESY14_g20612_DN2_SP0_c0.t1, ESY1_g9068_DN2_SP0_c0.t1, ESY14_g19904_DN1_SP0_c0.t1, ESY8_g58625_DN1_SP0_c0.t1, ESY13_g56165_DN1_SP0_c0.t1, ESY11_g52546_DN2_SP0_c0.t1, ESY4_g24970_DN3_SP0_c0.t1, ESY15_g65549_DN2_SP0_c0.t1, ESY18_g64157_DN2_SP0_c0.t1, ESY13_g56315_DN1_SP0_c55.t1, ESY21_g55910_DN1_SP0_c17.t1, ESY13_g56316_DN1_SP0_c0.t1, ESY1_g7853_DN1_SP0_c0.t1
OG0000044	jg32063	ESY15_g65758_DN2_SP0_c100.t1
OG0000044	jg13501, jg20886	ESY5_g2589_DN3_SP0_c0.t1, ESY14_g21426_DN1_SP0_c0.t1
OG0000045	jg21055	ESY5_g789_DN1_SP0_c0.t1
OG0000046	jg12337	ESY4_g26383_DN3_SP0_c53.t1
OG0000046	jg12331	ESY4_g25771_DN2_SP0_c0.t1
OG0000047	jg6462, jg31439, jg5264, jg20815, jg24929, jg1126, jg28031, jg17679, jg14037, jg32532, jg14038	ESY3_g28898_DN3_SP0_c0.t1
OG0000050	jg7029, jg13871	ESY1_g11365_DN3_SP0_c59.t1
OG0000050	jg21178	ESY14_g20664_DN3_SP0_c0.t1, ESY1_g8355_DN3_SP0_c0.t1
OG0000050	jg32622	ESY1_g8354_DN1_SP0_c0.t1, ESY14_g20663_DN3_SP0_c36.t1, ESY9_g44156_DN3_SP0_c0.t1
OG0000052	jg29349	ESY5_g5128_DN3_SP0_c0.t1
OG0000052	jg19557	ESY5_g2704_DN3_SP0_c0.t1
OG0000052	jg19555	ESY5_g5127_DN3_SP0_c0.t1
OG0000052	jg19551, jg19550, jg19552, jg19554, jg18423	ESY12_g51336_DN3_SP0_c0.t1
OG0000052	jg19564	ESY12_g51338_DN3_SP0_c0.t1
OG0000052	jg19560	ESY5_g2706_DN3_SP0_c11.t1
OG0000053	jg32414, jg31675	ESY6_g48253_DN3_SP0_c0.t1, ESY8_g60784_DN3_SP0_c0.t1, ESY11_g53017_DN1_SP0_c0.t1, ESY11_g53896_DN3_SP0_c0.t1, ESY1_g9125_DN2_SP0_c0.t1
OG0000055	jg748	ESY2_g33771_DN2_SP0_c0.t1
OG0000055	jg721	ESY2_g33667_DN3_SP0_c0.t1, ESY1_g11935_DN1_SP0_c0.t1, ESY16_g61941_DN3_SP0_c0.t1, ESY2_g33673_DN3_SP0_c0.t1, ESY4_g25972_DN2_SP0_c0.t1
OG0000055	jg749	ESY2_g33766_DN3_SP0_c0.t1
OG0000055	jg744, jg745, jg746, jg747	ESY2_g33775_DN1_SP0_c0.t1
OG0000056	jg12109	ESY3_g28498_DN2_SP0_c0.t1
OG0000056	jg20178	ESY2_g37912_DN2_SP0_c0.t1
OG0000056	jg11849, jg7332, jg7100, jg12084, jg27349	ESY21_g55397_DN2_SP0_c0.t1, ESY6_g47138_DN1_SP0_c0.t1, ESY15_g64468_DN1_SP0_c0.t1, ESY9_g44731_DN3_SP0_c0.t1
OG0000057	jg8147	ESY6_g49094_DN1_SP0_c0.t1
OG0000057	jg17788	ESY2_g35556_DN3_SP0_c0.t1
OG0000057	jg25908	ESY16_g61658_DN1_SP0_c0.t1
OG0000057	jg25759, jg25744	ESY2_g38033_DN2_SP0_c0.t1
OG0000057	jg12073	ESY16_g61649_DN2_SP0_c0.t1
OG0000057	jg12035	ESY3_g29892_DN1_SP0_c0.t1
OG0000057	jg1195, jg14633	ESY16_g61911_DN3_SP0_c0.t1, ESY3_g30616_DN3_SP0_c0.t1, ESY3_g30019_DN2_SP0_c0.t1
OG0000057	jg25753	ESY10_g15079_DN3_SP0_c0.t1, ESY9_g43255_DN3_SP0_c0.t1
OG0000057	jg25886, jg26868	ESY2_g35826_DN2_SP0_c0.t1
OG0000057	jg26780	ESY9_g45399_DN1_SP0_c0.t1
OG0000058	jg1166, jg14086	ESY11_g53172_DN1_SP0_c0.t1, ESY4_g23739_DN2_SP0_c0.t1
OG0000061	jg5265, jg31440, jg25892, jg12998, jg302, jg26776, jg6463, jg14036	ESY7_g16987_DN3_SP0_c0.t1, ESY5_g3834_DN3_SP0_c0.t1
OG0000062	jg7377	ESY8_g59723_DN2_SP0_c0.t1
OG0000063	jg22905	ESY1_g11058_DN3_SP0_c0.t1
OG0000063	jg14371	ESY5_g4491_DN3_SP0_c0.t1
OG0000063	jg15309	ESY6_g48855_DN3_SP0_c0.t1, ESY1_g11061_DN3_SP0_c0.t1
OG0000063	jg29120, jg22936	ESY6_g48809_DN3_SP0_c0.t1
OG0000064	jg8362	ESY4_g26853_DN2_SP0_c0.t1, ESY4_g26855_DN3_SP0_c0.t1
OG0000065	jg21206	ESY17_g39007_DN1_SP0_c0.t1
OG0000066	jg27126	ESY2_g34934_DN2_SP0_c58.t1
OG0000066	jg30515	ESY18_g62954_DN3_SP0_c77.t1
OG0000066	jg13471	ESY7_g18023_DN3_SP0_c0.t1
OG0000066	jg1404	ESY7_g18022_DN3_SP0_c0.t1
OG0000067	jg24838, jg24839	ESY10_g14570_DN3_SP0_c0.t1, ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1
OG0000067	jg30520, jg22052, jg22034, jg32039, jg24035, jg24037, jg24042, jg4088, jg4089, jg4055, jg14204, jg14390, jg14389	ESY6_g50195_DN3_SP0_c0.t1
OG0000067	jg12213	ESY2_g35389_DN2_SP0_c0.t1
OG0000068	jg13724, jg27423, jg10108, jg1332, jg28701, jg13741, jg17048, jg12739, jg13502, jg17311, jg27930, jg12740, jg11910, jg7415, jg27526, jg23144, jg1081, jg11470, jg12280, jg32484	ESY9_g44160_DN2_SP0_c0.t1
OG0000069	jg13268, jg7434, jg32690	ESY4_g26580_DN3_SP0_c0.t1
OG0000069	jg13828, jg32034, jg10937, jg11572, jg20466, jg32702, jg16551, jg30444, jg24432, jg11779, jg1433, jg26607, jg7033	ESY16_g62306_DN2_SP0_c0.t1, ESY7_g16953_DN1_SP0_c0.t1
OG0000072	jg27454, jg2002, jg1859, jg13895, jg13896, jg17450, jg17336, jg27058, jg17478, jg16476, jg16484, jg29790, jg9963, jg13945, jg11738, jg2091	ESY26_g42254_DN3_SP0_c0.t1, ESY15_g65580_DN3_SP0_c0.t1
OG0000074	jg30929	ESY5_g5208_DN3_SP0_c0.t1, ESY5_g5207_DN3_SP0_c0.t1, ESY5_g5162_DN3_SP0_c0.t1
OG0000074	jg17689	ESY11_g54934_DN3_SP0_c0.t1
OG0000074	jg30936	ESY11_g54277_DN1_SP0_c0.t1
OG0000074	jg30922, jg30923, jg30924	ESY5_g2024_DN3_SP0_c0.t1
OG0000075	jg4863, jg4865	ESY7_g18015_DN2_SP0_c0.t1
OG0000075	jg29550, jg33257	ESY10_g14596_DN3_SP0_c0.t1
OG0000075	jg17315	ESY1_g10447_DN3_SP0_c0.t1
OG0000076	jg20913, jg15189	ESY1_g10445_DN3_SP0_c0.t1
OG0000077	jg8425	ESY4_g26063_DN2_SP0_c0.t1
OG0000077	jg933	ESY4_g26050_DN2_SP0_c0.t1
OG0000077	jg32683	ESY4_g26064_DN2_SP0_c0.t1, ESY8_g60767_DN2_SP0_c0.t1, ESY1_g11598_DN2_SP0_c38.t1, ESY3_g32315_DN3_SP0_c83.t1, ESY3_g32312_DN1_SP0_c66.t1, ESY3_g32310_DN2_SP0_c12.t1
OG0000077	jg24861	ESY4_g26388_DN2_SP0_c0.t1
OG0000077	jg26791	ESY3_g29359_DN2_SP0_c0.t1, ESY4_g26321_DN2_SP0_c0.t1, ESY11_g54274_DN2_SP0_c0.t1, ESY5_g5287_DN2_SP0_c0.t1, ESY4_g26100_DN2_SP0_c0.t1
OG0000077	jg32692, jg26472, jg32685, jg32682, jg8427	ESY12_g52268_DN2_SP0_c19.t1
OG0000077	jg1000, jg934	ESY4_g26061_DN3_SP0_c0.t1, ESY4_g26060_DN2_SP0_c0.t1
OG0000078	jg13800, jg25795, jg13799, jg25794	ESY13_g56185_DN2_SP0_c0.t1
OG0000078	jg9173	ESY9_g43985_DN3_SP0_c0.t1
OG0000080	jg32551, jg32841, jg32864, jg32857	ESY3_g29585_DN1_SP0_c98.t1
OG0000080	jg18020, jg18016	ESY10_g14355_DN2_SP0_c0.t1
OG0000081	jg33224	ESY1_g11604_DN1_SP0_c0.t1, ESY7_g16921_DN3_SP0_c0.t1, ESY12_g51659_DN1_SP0_c20.t1, ESY5_g4804_DN1_SP0_c0.t1, ESY2_g36199_DN2_SP0_c0.t1
OG0000081	jg461	ESY5_g4001_DN3_SP0_c14.t1, ESY6_g48422_DN3_SP0_c0.t1
OG0000081	jg5637	ESY7_g17094_DN2_SP0_c0.t1
OG0000084	jg17270, jg17392, jg16998, jg17271	ESY7_g17177_DN3_SP0_c0.t1
OG0000084	jg16997	ESY7_g19283_DN2_SP0_c13.t1, ESY7_g19278_DN2_SP0_c40.t1, ESY3_g31038_DN1_SP0_c0.t1
OG0000084	jg17272	ESY7_g19285_DN2_SP0_c0.t1, ESY7_g17327_DN3_SP0_c0.t1, ESY7_g19280_DN2_SP0_c0.t1, ESY7_g18924_DN3_SP0_c58.t1, ESY7_g19282_DN3_SP0_c38.t1, ESY7_g19279_DN2_SP0_c34.t1
OG0000084	jg17289	ESY3_g31037_DN3_SP0_c0.t1, ESY3_g31041_DN2_SP0_c0.t1
OG0000085	jg27503	ESY15_g65319_DN1_SP0_c38.t1
OG0000086	jg1275, jg1277, jg1270, jg1278, jg1271, jg1274, jg1272, jg1273, jg1280, jg1279, jg1276, jg1269, jg20985, jg20984, jg20982, jg20983, jg20981, jg20978, jg20980, jg20977, jg20975, jg20976, jg20974, jg20979, jg20973	ESY16_g62560_DN2_SP0_c0.t1
OG0000087	jg6235	ESY6_g50131_DN3_SP8_c0.t1
OG0000087	jg17972	ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58770_DN3_SP0_c0.t1
OG0000087	jg5068	ESY7_g18326_DN3_SP8_c0.t1
OG0000087	jg20749	ESY7_g16559_DN3_SP8_c0.t1
OG0000087	jg10485	ESY9_g43361_DN3_SP8_c0.t1
OG0000087	jg30528	ESY5_g3995_DN3_SP3_c0.t1
OG0000087	jg3235	ESY2_g34829_DN3_SP8_c0.t1
OG0000090	jg15233	ESY1_g11987_DN2_SP0_c87.t1
OG0000090	jg8905	ESY16_g62036_DN3_SP0_c0.t1, ESY16_g62316_DN3_SP0_c41.t1
OG0000090	jg29403	ESY10_g14297_DN3_SP0_c35.t1
OG0000091	jg11947, jg19288, jg20822	ESY13_g56077_DN3_SP0_c0.t1
OG0000093	jg15862	ESY1_g11462_DN3_SP0_c0.t1
OG0000093	jg15863	ESY16_g61546_DN3_SP0_c0.t1
OG0000093	jg15841	ESY1_g11493_DN3_SP0_c41.t1
OG0000096	jg1311	ESY7_g16698_DN1_SP0_c0.t1
OG0000097	jg7810	ESY7_g16525_DN2_SP0_c0.t1
OG0000097	jg7819	ESY7_g16536_DN3_SP0_c0.t1
OG0000097	jg7820	ESY7_g16443_DN3_SP0_c0.t1, ESY7_g16444_DN3_SP0_c0.t1
OG0000098	jg651, jg658, jg654, jg653, jg650	ESY2_g33651_DN2_SP0_c0.t1, ESY2_g33647_DN2_SP0_c0.t1
OG0000098	jg23265	ESY6_g49767_DN3_SP0_c0.t1, ESY6_g49766_DN1_SP0_c0.t1, ESY6_g49757_DN3_SP0_c0.t1, ESY6_g49768_DN3_SP0_c0.t1, ESY6_g49777_DN3_SP0_c0.t1
OG0000098	jg852	ESY2_g33434_DN2_SP0_c0.t1
OG0000098	jg849, jg850	ESY2_g33748_DN3_SP0_c0.t1, ESY1_g9661_DN1_SP0_c0.t1, ESY2_g33879_DN2_SP0_c0.t1, ESY2_g33904_DN2_SP0_c0.t1, ESY10_g14055_DN1_SP0_c0.t1, ESY2_g33433_DN1_SP0_c0.t1
OG0000098	jg29677	ESY5_g3820_DN1_SP0_c0.t1
OG0000098	jg12025	ESY5_g3790_DN3_SP0_c0.t1, ESY8_g59143_DN2_SP0_c0.t1
OG0000099	jg459, jg7310	ESY2_g33425_DN2_SP0_c0.t1
OG0000099	jg543	ESY2_g33422_DN3_SP0_c0.t1
OG0000099	jg542	ESY10_g15601_DN1_SP0_c0.t1, ESY2_g37232_DN2_SP0_c27.t1, ESY2_g33418_DN3_SP0_c0.t1
OG0000101	jg1373, jg1405, jg515, jg475, jg476, jg477, jg471, jg2046, jg492, jg11338, jg1396, jg1381, jg1380, jg1001, jg777, jg27782, jg472	ESY1_g11939_DN1_SP0_c0.t1
OG0000102	jg32522	ESY17_g40075_DN1_SP0_c10.t1
OG0000104	jg17897	ESY8_g58834_DN3_SP0_c19.t1
OG0000104	jg33004	ESY2_g37202_DN3_SP0_c14.t1
OG0000105	jg11589	ESY4_g23717_DN1_SP0_c0.t1, ESY5_g2179_DN2_SP0_c0.t1
OG0000105	jg17571	ESY49_g12647_DN2_SP0_c0.t1
OG0000106	jg25959, jg6741, jg26029, jg25961, jg6747, jg25960, jg6746, jg26030, jg26027, jg26079, jg27891	ESY6_g49250_DN3_SP0_c0.t1
OG0000106	jg14860	ESY6_g49252_DN1_SP0_c0.t1
OG0000107	jg17559, jg17556, jg26263, jg26157, jg26159, jg26158, jg26161, jg26163, jg26160	ESY4_g23035_DN3_SP0_c29.t1
OG0000108	jg27460, jg27464, jg27222, jg27246, jg27226	ESY11_g53833_DN2_SP0_c0.t1
OG0000108	jg17595, jg31284, jg16872	ESY7_g17569_DN3_SP0_c0.t1, ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1
OG0000108	jg27107	ESY5_g5060_DN3_SP0_c0.t1
OG0000108	jg27264, jg27221, jg27229, jg27223	ESY6_g50064_DN2_SP0_c0.t1, ESY7_g16092_DN2_SP0_c0.t1, ESY7_g16160_DN2_SP0_c0.t1
OG0000108	jg11987, jg17594, jg31283	ESY7_g18472_DN3_SP0_c0.t1
OG0000109	jg20882	ESY4_g22477_DN2_SP0_c0.t1
OG0000109	jg6910	ESY1_g7918_DN1_SP0_c0.t1, ESY1_g12432_DN3_SP0_c0.t1, ESY4_g26657_DN1_SP0_c0.t1
OG0000110	jg12826	ESY1_g11254_DN1_SP0_c0.t1
OG0000111	jg11228	ESY20_g12773_DN2_SP0_c0.t1
OG0000111	jg33739, jg33731	ESY3_g31783_DN3_SP0_c57.t1
OG0000112	jg29450, jg23040, jg16607, jg17599, jg27950, jg23041, jg20712, jg21770	ESY1_g10062_DN3_SP0_c100.t1, ESY1_g10061_DN3_SP0_c100.t1, ESY6_g49574_DN2_SP0_c100.t1
OG0000113	jg1379	ESY5_g2214_DN1_SP0_c94.t1
OG0000113	jg508	ESY7_g16449_DN1_SP0_c0.t1
OG0000113	jg14194, jg14191	ESY3_g32066_DN2_SP0_c100.t1, ESY9_g43950_DN2_SP0_c87.t1
OG0000115	jg6881, jg12949, jg10772, jg12951	ESY11_g54524_DN2_SP0_c0.t1
OG0000116	jg1481, jg15996, jg6981, jg14689, jg7083, jg1902	ESY8_g58450_DN2_SP0_c0.t1, ESY6_g48234_DN3_SP0_c0.t1, ESY2_g37688_DN2_SP0_c0.t1
OG0000119	jg20878, jg12954, jg1495, jg13634, jg13504, jg13725, jg9836, jg1719, jg21576, jg27974, jg7024	ESY11_g53584_DN1_SP0_c0.t1, ESY3_g28899_DN2_SP0_c0.t1, ESY11_g53147_DN2_SP0_c3.t1, ESY4_g24612_DN2_SP0_c73.t1, ESY2_g38528_DN2_SP0_c0.t1, ESY19_g41722_DN3_SP0_c0.t1
OG0000120	jg893, jg889	ESY2_g33927_DN3_SP0_c0.t1, ESY7_g16136_DN3_SP0_c0.t1
OG0000120	jg21600, jg21583, jg21561, jg21534, jg21584, jg21558	ESY9_g43372_DN2_SP0_c0.t1, ESY9_g43317_DN3_SP0_c0.t1
OG0000120	jg13317, jg4214, jg4213, jg2215, jg14374	ESY7_g19067_DN2_SP0_c34.t1, ESY7_g19059_DN3_SP0_c0.t1
OG0000122	jg32572	ESY2_g36290_DN3_SP0_c0.t1
OG0000122	jg22485	ESY2_g33718_DN3_SP0_c0.t1, ESY6_g48203_DN3_SP0_c0.t1
OG0000122	jg32166	ESY3_g30972_DN2_SP0_c0.t1, ESY2_g33719_DN1_SP0_c0.t1
OG0000122	jg22506	ESY6_g48225_DN3_SP0_c0.t1, ESY5_g1857_DN3_SP0_c0.t1
OG0000122	jg22509	ESY3_g30973_DN3_SP0_c0.t1, ESY10_g14968_DN3_SP0_c0.t1, ESY20_g12804_DN3_SP0_c0.t1
OG0000122	jg22487, jg22488	ESY10_g15010_DN3_SP0_c0.t1
OG0000123	jg647	ESY5_g3215_DN2_SP0_c2.t1
OG0000124	jg27977, jg27275, jg20993, jg25905, jg11327, jg33081, jg14104, jg9592, jg12111, jg17565, jg32651, jg20179, jg12101, jg12152	ESY23_g219_DN2_SP0_c0.t1
OG0000124	jg11471	ESY1_g9827_DN1_SP0_c0.t1
OG0000125	jg6123	ESY6_g48978_DN3_SP0_c0.t1, ESY6_g48979_DN3_SP0_c0.t1
OG0000125	jg29136	ESY5_g4488_DN3_SP0_c0.t1
OG0000125	jg14378, jg22931	ESY6_g48851_DN3_SP0_c0.t1
OG0000125	jg17851	ESY8_g58880_DN2_SP0_c0.t1
OG0000126	jg21202, jg10180, jg32086, jg12955, jg6735, jg10767	ESY1_g8024_DN2_SP0_c0.t1, ESY1_g9129_DN3_SP0_c0.t1
OG0000126	jg13974	ESY16_g62513_DN1_SP0_c0.t1
OG0000127	jg20918, jg3920	ESY7_g19561_DN3_SP0_c0.t1
OG0000127	jg24833	ESY3_g30856_DN3_SP0_c0.t1, ESY3_g30854_DN3_SP0_c0.t1, ESY3_g30853_DN3_SP0_c0.t1, ESY8_g58391_DN3_SP0_c0.t1
