Orthogroup	Arabidopsis_arenosa	Conringia_planisiliqua
OG0000014	jg16959	CP12_g31536_DN1_SP0_c.t1
OG0000015	jg21088	CP16_g55482_DN2_SP0_c.t1
OG0000015	jg11869	CP27_g41927_DN1_SP0_c.t1, CP16_g55483_DN2_SP0_c.t1, CP1_g39589_DN1_SP0_c.t1, CP14_g23836_DN3_SP0_c.t1, CP6_g9040_DN3_SP0_c.t1, CP3_g15512_DN1_SP0_c.t1, CP3_g15767_DN1_SP0_c.t1
OG0000015	jg27710	CP6_g9041_DN3_SP0_c.t1
OG0000015	jg21314, jg11868	CP26_g51309_DN1_SP0_c.t1, CP22_g17109_DN3_SP0_c.t1, CP9_g28055_DN1_SP0_c.t1, CP1_g39588_DN3_SP0_c.t1
OG0000015	jg21086	CP31_g46711_DN2_SP0_c.t1
OG0000015	jg2093	CP6_g8182_DN1_SP0_c.t1
OG0000017	jg11431	CP3_g16638_DN2_SP0_c.t1, CP28_g33976_DN2_SP0_c.t1
OG0000017	jg32222, jg15995	CP50_g6576_DN2_SP0_c.t1
OG0000017	jg6884	CP6_g9455_DN3_SP0_c.t1
OG0000019	jg13651	CP47_g21270_DN3_SP0_c.t1
OG0000019	jg13840	CP18_g11548_DN1_SP0_c.t1
OG0000019	jg13839	CP14_g23600_DN3_SP0_c.t1, CP9_g27502_DN3_SP0_c.t1, CP15_g35899_DN2_SP0_c.t1
OG0000020	jg21068	CP9_g27772_DN1_SP0_c.t1
OG0000020	jg27281, jg27158, jg13794, jg18577, jg25717, jg19520	CP1_g40427_DN2_SP0_c.t1
OG0000020	jg27186	CP15_g35839_DN1_SP0_c.t1, CP5_g2289_DN2_SP0_c.t1, CP3_g16164_DN3_SP0_c.t1
OG0000021	jg27173	CP20_g4089_DN2_SP0_c.t1, CP5_g3095_DN2_SP0_c.t1
OG0000021	jg12206	CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1
OG0000024	jg13862	CP6_g9314_DN1_SP0_c.t1, CP22_g17429_DN2_SP0_c.t1
OG0000024	jg2022	CP3_g16173_DN1_SP0_c.t1
OG0000027	jg31857	CP6_g7457_DN2_SP0_c.t1, CP1_g39929_DN2_SP0_c.t1
OG0000027	jg14278, jg15770, jg15695, jg15696, jg15771	CP3_g13494_DN2_SP0_c.t1
OG0000028	jg13951, jg1780, jg13681, jg3965, jg11165, jg14797, jg11997, jg6737, jg2197, jg17461, jg12004, jg26958, jg13640, jg2465, jg27218, jg11460, jg33138, jg30060, jg20837	CP1_g39690_DN3_SP0_c.t1, CP9_g27692_DN2_SP0_c.t1, CP1_g39003_DN2_SP0_c.t1, CP24_g47109_DN1_SP0_c.t1, CP2_g49681_DN3_SP0_c.t1, CP1_g38511_DN1_SP0_c.t1
OG0000028	jg1778	CP17_g5930_DN1_SP0_c.t1
OG0000029	jg21060, jg5864, jg27798, jg17174, jg18126, jg16768, jg1946	CP22_g17304_DN2_SP0_c.t1
OG0000029	jg17949	CP29_g22076_DN3_SP0_c.t1
OG0000030	jg12236	CP37_g11369_DN1_SP0_c.t1
OG0000030	jg6977	CP6_g9916_DN1_SP0_c.t1
OG0000031	jg29675	CP2_g49169_DN2_SP0_c.t1
OG0000033	jg8138	CP8_g54564_DN3_SP0_c.t1
OG0000033	jg10176, jg10175, jg10177, jg10198, jg10208, jg10195, jg10202, jg7784	CP16_g55465_DN3_SP1_c.t1
OG0000034	jg11826, jg32346, jg32649, jg13995, jg17413, jg17411, jg32391, jg32356, jg32339, jg32338, jg11749, jg11798, jg17416, jg17385, jg32731, jg17222	CP15_g35590_DN3_SP0_c.t1
OG0000035	jg740	CP9_g29505_DN2_SP0_c.t1
OG0000035	jg18271	CP4_g25547_DN2_SP0_c.t1
OG0000035	jg18309	CP9_g28258_DN1_SP0_c.t1
OG0000035	jg33607	CP12_g30253_DN2_SP0_c.t1, CP12_g30252_DN1_SP0_c.t1
OG0000035	jg12648, jg12649	CP3_g14428_DN3_SP0_c.t1
OG0000036	jg299, jg1839, jg32415, jg11724, jg17278, jg1046, jg1567, jg11852, jg13931, jg6976, jg17098, jg1485, jg16419, jg27812, jg17384, jg21000, jg17522, jg31083	CP47_g21258_DN2_SP0_c.t1, CP8_g52373_DN1_SP0_c.t1
OG0000038	jg15287	CP3_g13999_DN3_SP0_c.t1
OG0000038	jg21941, jg22515	CP8_g53633_DN2_SP0_c.t1
OG0000038	jg28841, jg7751	CP7_g45140_DN3_SP0_c.t1
OG0000038	jg25018	CP10_g43043_DN3_SP0_c.t1
OG0000038	jg11068	CP10_g43042_DN1_SP0_c.t1
OG0000038	jg25017, jg25016, jg25015	CP10_g43041_DN3_SP0_c.t1
OG0000040	jg25536	CP11_g31940_DN3_SP0_c.t1
OG0000040	jg25347	CP10_g43326_DN2_SP0_c.t1
OG0000040	jg14799, jg17824, jg14802, jg14804, jg1537	CP10_g43630_DN1_SP0_c.t1
OG0000041	jg6878	CP25_g55794_DN2_SP0_c.t1, CP5_g3238_DN1_SP0_c.t1, CP6_g7636_DN2_SP0_c.t1, CP14_g23306_DN1_SP0_c.t1, CP17_g5297_DN2_SP0_c.t1, CP23_g21572_DN1_SP0_c.t1, CP2_g50743_DN2_SP0_c.t1, CP6_g8924_DN2_SP0_c.t1, CP18_g12000_DN1_SP0_c.t1, CP17_g5983_DN2_SP0_c.t1, CP6_g9659_DN1_SP0_c.t1, CP1_g41239_DN2_SP0_c.t1, CP6_g8603_DN3_SP0_c.t1, CP28_g33946_DN3_SP0_c.t1, CP17_g5982_DN2_SP0_c.t1, CP44_g20924_DN3_SP0_c.t1, CP5_g3239_DN2_SP0_c.t1, CP6_g8923_DN1_SP0_c.t1, CP15_g35112_DN3_SP0_c.t1, CP12_g31564_DN1_SP0_c.t1, CP13_g20399_DN2_SP0_c.t1, CP1_g40282_DN3_SP0_c.t1, CP61_g51970_DN1_SP0_c.t1, CP102_g10411_DN1_SP0_c.t1, CP17_g5412_DN3_SP0_c.t1, CP20_g3852_DN2_SP0_c.t1, CP44_g20923_DN3_SP0_c.t1, CP1_g40174_DN3_SP0_c.t1, CP2_g50379_DN3_SP0_c.t1, CP5_g3241_DN1_SP0_c.t1, CP3_g15052_DN3_SP0_c.t1, CP6_g8602_DN3_SP0_c.t1, CP2_g50506_DN3_SP0_c.t1, CP7_g44313_DN1_SP0_c.t1, CP53_g22289_DN2_SP0_c.t1, CP65_g4495_DN2_SP0_c.t1, CP53_g22322_DN1_SP0_c.t1, CP47_g21235_DN3_SP0_c.t1, CP1_g41348_DN1_SP0_c.t1, CP1_g38907_DN1_SP0_c.t1, CP4_g26167_DN1_SP0_c.t1, CP12_g31565_DN1_SP0_c.t1, CP14_g22693_DN3_SP0_c.t1, CP6_g8922_DN3_SP0_c.t1, CP25_g55864_DN3_SP0_c.t1, CP18_g12002_DN1_SP0_c.t1, CP9_g27944_DN3_SP0_c.t1, CP13_g20694_DN3_SP0_c.t1, CP9_g27991_DN3_SP0_c.t1, CP1_g41097_DN3_SP0_c.t1, CP34_g51561_DN2_SP0_c.t1, CP17_g5296_DN3_SP0_c.t1, CP4_g26253_DN3_SP0_c.t1, CP17_g5855_DN3_SP0_c.t1, CP14_g23307_DN2_SP0_c.t1, CP1_g38906_DN2_SP0_c.t1, CP63_g12744_DN3_SP0_c.t1, CP14_g23438_DN3_SP0_c.t1, CP14_g23665_DN3_SP0_c.t1, CP53_g22323_DN3_SP0_c.t1, CP148_g19022_DN3_SP0_c.t1, CP12_g31519_DN3_SP0_c.t1, CP2_g50758_DN3_SP0_c.t1, CP1_g41248_DN3_SP0_c.t1, CP2_g50744_DN3_SP0_c.t1, CP3_g16523_DN3_SP0_c.t1, CP102_g10410_DN2_SP0_c.t1, CP53_g22290_DN3_SP0_c.t1, CP98_g41598_DN3_SP0_c.t1, CP6_g9660_DN3_SP0_c.t1, CP34_g51560_DN3_SP0_c.t1, CP103_g21016_DN3_SP0_c.t1, CP65_g4494_DN3_SP0_c.t1, CP18_g12001_DN3_SP0_c.t1, CP9_g27467_DN3_SP0_c.t1, CP13_g20495_DN3_SP0_c.t1, CP2_g50457_DN1_SP0_c.t1, CP9_g27450_DN3_SP0_c.t1, CP18_g12027_DN1_SP0_c.t1, CP23_g21578_DN3_SP0_c.t1, CP6_g7634_DN2_SP0_c.t1, CP15_g35167_DN2_SP0_c.t1, CP9_g27945_DN1_SP0_c.t1, CP8_g52460_DN2_SP0_c.t1, CP9_g27992_DN1_SP0_c.t1, CP13_g20783_DN2_SP0_c.t1, CP18_g12003_DN1_SP0_c.t1, CP17_g5411_DN1_SP0_c.t1, CP18_g12028_DN2_SP0_c.t1, CP21_g11026_DN3_SP0_c.t1, CP1_g40152_DN3_SP0_c.t1, CP219_g10340_DN3_SP0_c.t1, CP1_g40281_DN2_SP0_c.t1, CP12_g31175_DN2_SP0_c.t1, CP6_g9661_DN1_SP0_c.t1, CP1_g41347_DN1_SP0_c.t1, CP6_g8601_DN2_SP0_c.t1, CP12_g31227_DN2_SP0_c.t1, CP56_g20967_DN2_SP0_c.t1, CP13_g20695_DN2_SP0_c.t1, CP25_g55850_DN1_SP0_c.t1, CP15_g34866_DN2_SP0_c.t1, CP17_g5981_DN2_SP0_c.t1, CP12_g31566_DN2_SP0_c.t1, CP21_g11165_DN2_SP0_c.t1, CP13_g20398_DN1_SP0_c.t1, CP25_g55796_DN1_SP0_c.t1, CP4_g26254_DN2_SP0_c.t1, CP17_g5856_DN1_SP0_c.t1, CP14_g23630_DN1_SP0_c.t1, CP103_g21015_DN2_SP0_c.t1, CP98_g41599_DN2_SP0_c.t1, CP3_g16126_DN1_SP0_c.t1, CP14_g23220_DN3_SP0_c.t1, CP5_g3431_DN3_SP0_c.t1, CP6_g7632_DN3_SP0_c.t1, CP18_g12549_DN3_SP0_c.t1, CP16_g55625_DN3_SP0_c.t1, CP1_g41249_DN1_SP0_c.t1, CP102_g10409_DN2_SP0_c.t1, CP148_g19023_DN1_SP0_c.t1, CP13_g20685_DN1_SP0_c.t1, CP2_g49629_DN3_SP0_c.t1, CP1_g38419_DN3_SP0_c.t1, CP17_g5295_DN1_SP0_c.t1, CP16_g55449_DN3_SP0_c.t1, CP14_g23883_DN1_SP0_c.t1, CP15_g35230_DN3_SP0_c.t1, CP25_g55865_DN2_SP0_c.t1, CP34_g51562_DN2_SP0_c.t1, CP53_g22321_DN1_SP0_c.t1, CP8_g53077_DN2_SP0_c.t1, CP24_g46949_DN1_SP0_c.t1, CP1_g41096_DN1_SP0_c.t1, CP7_g44321_DN2_SP0_c.t1, CP6_g8921_DN2_SP0_c.t1, CP14_g23450_DN2_SP0_c.t1, CP4_g26709_DN3_SP0_c.t1, CP9_g27630_DN3_SP0_c.t1, CP13_g20787_DN2_SP0_c.t1, CP2_g49544_DN1_SP0_c.t1, CP2_g50380_DN1_SP0_c.t1, CP6_g7635_DN2_SP0_c.t1, CP14_g23216_DN3_SP0_c.t1, CP12_g31563_DN2_SP0_c.t1, CP47_g21234_DN3_SP0_c.t1, CP4_g26168_DN3_SP0_c.t1, CP2_g49628_DN3_SP0_c.t1, CP8_g52461_DN3_SP0_c.t1, CP31_g46692_DN3_SP0_c.t1, CP14_g23460_DN3_SP0_c.t1, CP17_g5113_DN3_SP0_c.t1, CP13_g20400_DN2_SP0_c.t1, CP53_g22291_DN3_SP0_c.t1, CP21_g11164_DN3_SP0_c.t1, CP1_g41098_DN3_SP0_c.t1, CP14_g23533_DN3_SP0_c.t1, CP14_g22692_DN3_SP0_c.t1, CP16_g55626_DN3_SP0_c.t1, CP6_g9300_DN3_SP0_c.t1, CP14_g23884_DN3_SP0_c.t1, CP6_g7776_DN3_SP0_c.t1, CP1_g40151_DN3_SP0_c.t1, CP7_g44312_DN3_SP0_c.t1, CP31_g46690_DN3_SP0_c.t1, CP1_g38420_DN3_SP0_c.t1, CP12_g31174_DN3_SP0_c.t1, CP56_g20968_DN3_SP0_c.t1, CP4_g26449_DN3_SP0_c.t1, CP3_g15302_DN3_SP0_c.t1, CP15_g36069_DN3_SP0_c.t1, CP12_g31078_DN3_SP0_c.t1, CP9_g28011_DN3_SP0_c.t1, CP5_g2182_DN3_SP0_c.t1, CP12_g31226_DN3_SP0_c.t1, CP25_g55795_DN3_SP0_c.t1, CP13_g20684_DN3_SP0_c.t1, CP12_g31426_DN3_SP0_c.t1, CP2_g50600_DN3_SP0_c.t1, CP30_g10046_DN3_SP0_c.t1, CP2_g50448_DN3_SP0_c.t1, CP3_g16522_DN1_SP0_c.t1, CP29_g22006_DN3_SP0_c.t1, CP2_g49594_DN3_SP0_c.t1, CP1_g38784_DN3_SP0_c.t1, CP17_g5114_DN3_SP0_c.t1, CP6_g9299_DN2_SP0_c.t1, CP5_g2196_DN3_SP0_c.t1, CP6_g8835_DN3_SP0_c.t1, CP6_g9051_DN3_SP0_c.t1, CP20_g3927_DN3_SP0_c.t1, CP12_g31706_DN3_SP0_c.t1, CP14_g23308_DN2_SP0_c.t1, CP15_g35764_DN3_SP0_c.t1, CP27_g41746_DN2_SP0_c.t1, CP1_g39992_DN3_SP0_c.t1, CP3_g16557_DN3_SP0_c.t1, CP5_g2207_DN3_SP0_c.t1, CP22_g17081_DN3_SP0_c.t1, CP25_g55851_DN3_SP0_c.t1, CP1_g38838_DN2_SP0_c.t1, CP3_g16125_DN3_SP0_c.t1, CP17_g5494_DN3_SP0_c.t1, CP17_g5594_DN3_SP0_c.t1, CP31_g46752_DN3_SP0_c.t1, CP5_g2173_DN3_SP0_c.t1, CP17_g6260_DN3_SP0_c.t1, CP28_g34000_DN3_SP0_c.t1, CP24_g46950_DN2_SP0_c.t1, CP1_g39991_DN2_SP0_c.t1, CP17_g5495_DN1_SP0_c.t1, CP9_g28010_DN1_SP0_c.t1, CP31_g46691_DN1_SP0_c.t1, CP23_g21573_DN1_SP0_c.t1, CP12_g31427_DN1_SP0_c.t1, CP17_g5595_DN2_SP0_c.t1, CP14_g23437_DN2_SP0_c.t1, CP12_g31562_DN3_SP0_c.t1, CP12_g31707_DN3_SP0_c.t1, CP1_g39140_DN2_SP0_c.t1, CP1_g38904_DN1_SP0_c.t1, CP3_g16124_DN3_SP0_c.t1, CP12_g31225_DN3_SP0_c.t1, CP6_g8604_DN1_SP0_c.t1, CP98_g41597_DN1_SP0_c.t1, CP13_g20815_DN3_SP0_c.t1, CP5_g3430_DN1_SP0_c.t1, CP53_g22292_DN1_SP0_c.t1, CP47_g21233_DN3_SP0_c.t1, CP2_g49593_DN1_SP0_c.t1, CP2_g50599_DN2_SP0_c.t1, CP6_g8834_DN3_SP0_c.t1, CP5_g2206_DN2_SP0_c.t1, CP13_g20693_DN2_SP0_c.t1, CP8_g52462_DN1_SP0_c.t1, CP5_g2172_DN3_SP0_c.t1, CP30_g10047_DN2_SP0_c.t1, CP12_g31518_DN3_SP0_c.t1, CP3_g16558_DN3_SP0_c.t1, CP5_g2195_DN2_SP0_c.t1, CP31_g46751_DN2_SP0_c.t1, CP25_g55852_DN1_SP0_c.t1, CP13_g20401_DN2_SP0_c.t1, CP6_g9301_DN3_SP0_c.t1, CP13_g20788_DN2_SP0_c.t1, CP2_g50449_DN3_SP0_c.t1, CP17_g5496_DN3_SP0_c.t1, CP17_g5596_DN2_SP0_c.t1, CP2_g49627_DN3_SP0_c.t1, CP22_g17082_DN2_SP0_c.t1, CP16_g55627_DN3_SP0_c.t1, CP13_g20683_DN3_SP0_c.t1, CP5_g2181_DN1_SP0_c.t1, CP14_g23215_DN1_SP0_c.t1, CP12_g31428_DN3_SP0_c.t1, CP15_g34701_DN3_SP0_c.t1, CP16_g55448_DN1_SP0_c.t1, CP12_g31561_DN3_SP0_c.t1, CP13_g20402_DN3_SP0_c.t1, CP6_g8299_DN3_SP0_c.t1, CP17_g5112_DN2_SP0_c.t1, CP1_g38785_DN3_SP0_c.t1, CP14_g23436_DN1_SP0_c.t1, CP21_g11163_DN2_SP0_c.t1, CP9_g27941_DN3_SP0_c.t1
OG0000044	jg1572, jg21339, jg1555	CP30_g10197_DN3_SP0_c.t1, CP1_g41420_DN3_SP0_c.t1
OG0000044	jg32063	CP8_g52809_DN3_SP0_c.t1
OG0000044	jg1834, jg309, jg32416, jg1035, jg17283, jg1573	CP1_g39285_DN1_SP0_c.t1
OG0000044	jg13501, jg20886	CP15_g34716_DN3_SP0_c.t1
OG0000045	jg21124	CP2_g49348_DN2_SP0_c.t1
OG0000046	jg12463, jg12464	CP5_g1580_DN2_SP0_c.t1
OG0000046	jg2209, jg2212	CP9_g28234_DN3_SP0_c.t1
OG0000046	jg12331	CP5_g1666_DN1_SP0_c.t1
OG0000047	jg14037	CP2_g50481_DN2_SP0_c.t1
OG0000048	jg24237	CP10_g42380_DN2_SP0_c.t1
OG0000048	jg24239	CP10_g42381_DN3_SP0_c.t1
OG0000048	jg5635	CP11_g32170_DN3_SP0_c.t1
OG0000048	jg5646	CP11_g32171_DN3_SP0_c.t1, CP11_g32165_DN3_SP0_c.t1
OG0000048	jg16525	CP16_g54747_DN3_SP0_c.t1
OG0000048	jg5634, jg5644	CP11_g32163_DN2_SP0_c.t1, CP11_g32173_DN2_SP0_c.t1
OG0000049	jg10344	CP14_g22619_DN2_SP0_c.t1
OG0000049	jg28661	CP2_g50284_DN2_SP0_c.t1
OG0000050	jg21178	CP22_g17665_DN2_SP0_c.t1, CP6_g9071_DN2_SP0_c.t1
OG0000052	jg19557	CP4_g24481_DN3_SP0_c.t1
OG0000052	jg19560	CP9_g28198_DN3_SP0_c.t1, CP4_g24479_DN3_SP0_c.t1
OG0000053	jg32414, jg31675	CP12_g31611_DN2_SP0_c.t1
OG0000053	jg1077, jg28178, jg4817, jg5943, jg25268, jg33384, jg11480, jg32839	CP20_g3949_DN2_SP0_c.t1, CP1_g38971_DN3_SP0_c.t1
OG0000053	jg27640, jg13837	CP4_g26576_DN3_SP0_c.t1
OG0000055	jg728	CP2_g49066_DN2_SP0_c.t1
OG0000055	jg744, jg745, jg746, jg747	CP2_g49067_DN3_SP0_c.t1
OG0000056	jg12109	CP6_g9758_DN1_SP0_c.t1, CP17_g5883_DN3_SP0_c.t1
OG0000056	jg20178	CP2_g49697_DN3_SP0_c.t1
OG0000056	jg25787	CP12_g31150_DN2_SP0_c.t1
OG0000056	jg20957, jg21612	CP4_g26050_DN2_SP0_c.t1
OG0000056	jg6475	CP14_g22893_DN2_SP0_c.t1
OG0000056	jg20956	CP35_g52086_DN1_SP0_c.t1
OG0000057	jg17788	CP10_g42516_DN3_SP0_c.t1
OG0000057	jg12073, jg27919	CP10_g43729_DN2_SP0_c.t1
OG0000057	jg1195, jg14633	CP12_g29917_DN2_SP0_c.t1
OG0000057	jg25886, jg26868	CP12_g30730_DN2_SP0_c.t1
OG0000057	jg26780	CP12_g30848_DN3_SP0_c.t1
OG0000058	jg1166, jg14086	CP4_g26939_DN1_SP0_c.t1
OG0000058	jg13853	CP5_g3336_DN1_SP0_c.t1, CP3_g15240_DN2_SP0_c.t1, CP5_g3337_DN1_SP0_c.t1
OG0000061	jg1799, jg24928, jg17678, jg1125, jg28032, jg32127, jg20814, jg5265, jg31440, jg25892, jg12998, jg302, jg26776, jg6463, jg14036	CP1_g40914_DN2_SP0_c.t1
OG0000062	jg7377	CP8_g52439_DN3_SP0_c.t1, CP7_g44287_DN2_SP0_c.t1
OG0000063	jg15309, jg29139, jg21260, jg29120, jg22936	CP1_g37064_DN3_SP0_c.t1
OG0000064	jg8362	CP5_g77_DN1_SP0_c.t1
OG0000064	jg18482	CP4_g25364_DN3_SP0_c.t1
OG0000066	jg13471	CP4_g25642_DN3_SP0_c.t1
OG0000066	jg1404	CP2_g49425_DN3_SP0_c.t1
OG0000067	jg24838, jg24839	CP12_g31237_DN3_SP0_c.t1
OG0000068	jg32484	CP26_g51196_DN1_SP0_c.t1
OG0000068	jg13873	CP12_g31766_DN2_SP0_c.t1, CP1_g40960_DN1_SP0_c.t1
OG0000069	jg13268, jg7434, jg32690	CP5_g2097_DN2_SP0_c.t1
OG0000069	jg10937, jg11572, jg20466	CP6_g9730_DN1_SP0_c.t1
OG0000069	jg32702, jg16551, jg30444, jg24432, jg11779, jg1433, jg26607	CP18_g12305_DN2_SP0_c.t1
OG0000069	jg7033	CP6_g9731_DN1_SP0_c.t1
OG0000073	jg20412	CP13_g20691_DN1_SP0_c.t1
OG0000074	jg30930	CP7_g45419_DN3_SP0_c.t1
OG0000074	jg30934	CP7_g45420_DN3_SP0_c.t1
OG0000074	jg30932, jg30931	CP20_g4368_DN3_SP0_c.t1
OG0000074	jg30922	CP7_g45432_DN3_SP0_c.t1
OG0000074	jg30923, jg30924	CP7_g45433_DN3_SP0_c.t1, CP7_g45431_DN3_SP0_c.t1
OG0000075	jg4863, jg4865	CP7_g44717_DN3_SP0_c.t1
OG0000076	jg20913, jg15189	CP3_g14092_DN3_SP0_c.t1
OG0000076	jg1458, jg1459, jg1457, jg13392, jg13393, jg13394, jg13388, jg13373, jg13390	CP13_g19766_DN3_SP0_c.t1
OG0000077	jg26791	CP5_g173_DN1_SP0_c.t1
OG0000079	jg24132, jg24131	CP10_g42299_DN3_SP0_c.t1
OG0000079	jg15929	CP16_g55065_DN3_SP0_c.t1
OG0000081	jg2643	CP8_g53130_DN2_SP0_c.t1
OG0000081	jg5636	CP7_g45047_DN1_SP0_c.t1
OG0000084	jg16997	CP16_g55159_DN2_SP0_c.t1, CP16_g55164_DN2_SP0_c.t1
OG0000084	jg16996	CP16_g55163_DN2_SP0_c.t1
OG0000086	jg1275, jg1277, jg1270, jg1278, jg1271, jg1274, jg1272, jg1273, jg1280, jg1279, jg1276, jg1269, jg20985, jg20984, jg20982, jg20983, jg20981, jg20978, jg20980, jg20977, jg20975, jg20976, jg20974, jg20979, jg20973	CP18_g12051_DN1_SP0_c.t1
OG0000087	jg6235	CP2_g48308_DN3_SP8_c.t1
OG0000087	jg17972	CP4_g25793_DN3_SP8_c.t1
OG0000087	jg23223	CP2_g48035_DN3_SP7_c.t1
OG0000087	jg5068	CP11_g32707_DN3_SP8_c.t1
OG0000087	jg18593	CP4_g25265_DN3_SP6_c.t1
OG0000087	jg20749	CP13_g20168_DN3_SP8_c.t1
OG0000087	jg10485	CP6_g6768_DN3_SP8_c.t1
OG0000087	jg3235	CP9_g29223_DN3_SP8_c.t1
OG0000090	jg4483, jg30544, jg16631	CP7_g45746_DN3_SP0_c.t1
OG0000090	jg29403	CP17_g5790_DN3_SP0_c.t1
OG0000091	jg11947, jg19288, jg20822	CP3_g15860_DN3_SP0_c.t1, CP3_g15889_DN3_SP0_c.t1, CP2_g49990_DN3_SP0_c.t1, CP8_g52261_DN2_SP0_c.t1, CP8_g52260_DN2_SP0_c.t1, CP8_g52279_DN3_SP0_c.t1, CP18_g11648_DN3_SP0_c.t1, CP3_g15893_DN3_SP0_c.t1, CP3_g15864_DN3_SP0_c.t1, CP1_g38916_DN3_SP0_c.t1, CP2_g49989_DN3_SP0_c.t1, CP4_g26258_DN1_SP0_c.t1, CP4_g26257_DN3_SP0_c.t1
OG0000093	jg15862	CP3_g13515_DN3_SP0_c.t1
OG0000096	jg1247	CP2_g49683_DN2_SP0_c.t1
OG0000096	jg20644	CP13_g20085_DN3_SP0_c.t1
OG0000096	jg20589	CP13_g20028_DN2_SP0_c.t1, CP13_g20031_DN1_SP0_c.t1
OG0000096	jg902, jg1249	CP2_g49677_DN1_SP0_c.t1
OG0000097	jg21543, jg7817	CP5_g1424_DN3_SP0_c.t1
OG0000098	jg29677	CP1_g37532_DN1_SP0_c.t1
OG0000098	jg29672	CP1_g37531_DN2_SP0_c.t1
OG0000098	jg29671	CP1_g37530_DN3_SP0_c.t1
OG0000098	jg32282	CP13_g20427_DN3_SP0_c.t1
OG0000101	jg476	CP2_g48894_DN3_SP0_c.t1
OG0000101	jg477	CP2_g48895_DN3_SP0_c.t1
OG0000101	jg1001	CP2_g49326_DN3_SP0_c.t1
OG0000104	jg17896	CP4_g25846_DN3_SP0_c.t1
OG0000104	jg17886, jg17879	CP4_g25844_DN3_SP0_c.t1
OG0000105	jg2302, jg18124	CP1_g40642_DN2_SP0_c.t1
OG0000106	jg6740, jg25958	CP6_g7572_DN1_SP0_c.t1
OG0000106	jg17690, jg17691, jg17695, jg26888, jg26886	CP12_g30930_DN3_SP0_c.t1, CP12_g30984_DN3_SP0_c.t1, CP12_g30986_DN3_SP0_c.t1
OG0000107	jg17559, jg17556	CP7_g44349_DN3_SP0_c.t1, CP7_g44362_DN3_SP0_c.t1
OG0000107	jg26160	CP15_g34930_DN1_SP0_c.t1
OG0000108	jg17593, jg16875	CP2_g48438_DN1_SP0_c.t1
OG0000108	jg27223	CP17_g5784_DN1_SP0_c.t1
OG0000109	jg20882	CP13_g20454_DN2_SP0_c.t1
OG0000109	jg6910	CP6_g8582_DN2_SP0_c.t1
OG0000109	jg11931	CP3_g15710_DN2_SP0_c.t1
OG0000110	jg15960	CP3_g13458_DN3_SP0_c.t1
OG0000113	jg508	CP20_g4448_DN2_SP0_c.t1
OG0000113	jg14194, jg14191	CP12_g31635_DN1_SP0_c.t1
OG0000114	jg27601, jg1248	CP12_g31654_DN3_SP0_c.t1
OG0000115	jg6881, jg12949, jg10772, jg12951	CP2_g49800_DN1_SP0_c.t1
