Orthogroup	Arabidopsis_arenosa	Noccaea_praecox
OG0000087	jg6235	Np001G010980
OG0000087	jg17972	Np006G350150, Np008G428160
OG0000087	jg23223	Np005G287050
OG0000087	jg5068	Np003G139100
OG0000087	jg20749	Np001G039930
OG0000087	jg10485	Np005G287110
OG0000087	jg3235	Np002G077440
OG0000088	jg17633	Np001G038910, Np001G038970
OG0000088	jg5910	Np003G148700, Np003G148740
OG0000088	jg21695	Np001G052870
OG0000089	jg4799	Np003G136030
OG0000089	jg26012, jg33022	Np007G395030
OG0000089	jg19507	Np006G329000
OG0000089	jg18920, jg15311	Np006G336940
OG0000090	jg4483, jg30544, jg16631	Np004G235330
OG0000090	jg3251	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610
OG0000090	jg8905	Np007G385680, Np001G065320, Np001G065030
OG0000090	jg29403	Np007G389920
OG0000093	jg15862	Np001G063230
OG0000093	jg15861	Np001G063180
OG0000093	jg27054, jg27053, jg27051, jg27052	Np004G200370, Np004G200430, Np004G200450, Np004G200420, Np004G200410, Np004G200440, Np004G200400
OG0000093	jg15863	Np005G317970
OG0000096	jg1247	Np002G112160
OG0000096	jg13128	Np001G024770
OG0000096	jg1310	Np002G112010, Np002G112580
OG0000096	jg1311	Np002G112530
OG0000096	jg20644	Np001G038620
OG0000096	jg2240	Np002G092700
OG0000096	jg1249	Np002G112600
OG0000097	jg7810	Np003G184990
OG0000097	jg7819	Np003G185010
OG0000097	jg7820	Np003G171600
OG0000097	jg7813, jg7812, jg7815, jg7814	Np003G185030
OG0000098	jg651, jg658, jg654, jg653, jg650	Np002G116580
OG0000099	jg459, jg7310	Np002G123560, Np004G228320
OG0000099	jg456	Np004G215640
OG0000099	jg543	Np002G112400
OG0000099	jg542	Np002G123530, Np004G215470, Np007G403720
OG0000101	jg476	Np002G111340
OG0000101	jg2046	Np002G122800
OG0000101	jg1001	Np004G206440
OG0000101	jg777, jg27782	Np002G123180
OG0000104	jg29111	Np004G251930
OG0000104	jg17890, jg17887, jg17891, jg17877, jg17884, jg17896	Np006G360060
OG0000104	jg17897	Np006G360100
OG0000104	jg33004	Np004G195160
OG0000104	jg26323	Np007G381330
OG0000104	jg33347	Np004G195150
OG0000104	jg17886, jg17879, jg17889	Np006G360090
OG0000104	jg17885, jg17878	Np006G360080
OG0000106	jg25959, jg6741, jg26029, jg25961, jg6747, jg25960, jg6746, jg26030, jg26027, jg26079, jg27891	Np004G196300, Np004G195520, Np004G194580, Np004G195510, Np004G198890, Np002G119250, Np004G196880, Np007G381350, Np007G382790, Np007G382780, Np007G380200, Np007G390640, Np007G381560, Np007G381660, Np002G078930, Np002G078330
OG0000106	jg14860	Np007G372640
OG0000107	jg17559, jg17556	Np007G398440, Np007G418450
OG0000107	jg26159, jg26158	Np007G398420
OG0000108	jg17593, jg16875	Np002G099090, Np002G099030, Np002G099040
OG0000108	jg17595, jg31284, jg16872	Np001G011650, Np001G011550
OG0000108	jg27264, jg27221, jg27229, jg27223	Np007G389900
OG0000108	jg2306	Np004G259470
OG0000108	jg11987, jg17594, jg31283, jg16874	Np001G011560
OG0000109	jg17424	Np003G183100, Np004G217760
OG0000110	jg15960	Np001G064490
OG0000110	jg15959	Np001G064470
OG0000110	jg15964	Np001G064510
OG0000110	jg15966	Np001G064520
OG0000110	jg11381	Np001G064450
OG0000110	jg15969	Np001G064540
OG0000111	jg12398, jg12393, jg12389, jg12394, jg12395	Np005G311780, Np005G313710, Np005G313720, Np005G313730
OG0000111	jg12396	Np005G313680, Np001G006020
OG0000111	jg11228	Np001G006010
OG0000111	jg15428	Np001G058370
OG0000112	jg29450, jg23040, jg16607, jg17599, jg27950, jg23041, jg20712, jg21770	Np003G184320
OG0000113	jg12808	Np007G416190
OG0000113	jg509, jg1379	Np002G122980
OG0000116	jg1481, jg15996, jg6981, jg14689, jg7083, jg1902	Np005G292090, Np005G294910, Np002G096290, Np002G092280, Np001G008260
OG0000118	jg13696, jg13697, jg13695	Np005G315460
OG0000118	jg15265, jg26895, jg27877, jg3144	Np001G044480, Np005G313880
OG0000119	jg20878	Np007G421930, Np004G214240, Np005G280390, Np004G237460, Np004G208260
OG0000119	jg13725, jg9836, jg1719, jg21576, jg27974, jg7024	Np002G102980
OG0000120	jg893, jg889	Np002G117060, Np002G116940
OG0000120	jg21600, jg21583, jg21561, jg21534, jg21584, jg21558	Np006G361280, Np003G165900, Np007G387790, Np007G387320, Np007G387280
OG0000120	jg13317, jg4214, jg4213, jg2215, jg14374	Np003G129250
OG0000122	jg32572	Np003G157760
OG0000122	jg22505	Np003G157830
OG0000122	jg22485, jg21685	Np001G056320
OG0000122	jg31888	Np003G157790
OG0000122	jg22487, jg22488	Np003G158000
OG0000123	jg29806	Np004G243230
OG0000123	jg14270	Np004G243210
OG0000123	jg9826	Np005G279480
OG0000123	jg647	Np003G131130
OG0000124	jg20179	Np006G348530
OG0000125	jg15301	Np001G056500
OG0000125	jg24874, jg3993	Np003G126800
OG0000125	jg6123	Np003G151060
OG0000125	jg14378, jg22931	Np003G152340
OG0000125	jg17851	Np006G359820
OG0000126	jg21202, jg10180, jg32086, jg12955, jg6735, jg10767	Np003G176980, Np005G260240
OG0000127	jg3920	Np003G125840
OG0000127	jg11550	Np007G413700
OG0000127	jg24833	Np001G046260, Np007G413710
OG0000127	jg29526, jg29071	Np002G096200
OG0000131	jg16945, jg14091, jg6734, jg10774, jg12947	Np002G101800
OG0000131	jg6733	Np003G174400
OG0000132	jg32193	Np007G378350
OG0000132	jg27190	Np004G192110, Np001G023710
OG0000133	jg7039	Np005G308080, Np003G130350, Np003G153160
OG0000136	jg2128, jg2129, jg2126, jg2127	Np002G086710
OG0000136	jg12281	Np005G312700
OG0000136	jg12259	Np002G095000
OG0000137	jg17603	Np007G418300, Np006G322470, Np001G014280, Np002G106500, Np001G031670, Np006G341350, Np005G298930
OG0000137	jg27681	Np007G398190
OG0000137	jg12674	Np005G318010
OG0000138	jg13824	Np002G085260
OG0000138	jg13822	Np006G368130
OG0000138	jg13818	Np001G018700
OG0000138	jg13817, jg13821	Np002G085240, Np002G085270, Np002G085250
OG0000139	jg6519, jg6518, jg27250	Np006G345080
OG0000139	jg27251	Np003G170780, Np004G225070, Np001G033760
OG0000139	jg6848, jg7487, jg11793	Np007G401090, Np004G225080, Np008G427690, Np009G431920, Np006G350500, Np002G105800, Np006G350020, Np008G427900, Np002G102560, Np002G103420, Np005G308710, Np006G349710, Np002G100680, Np002G106900, Np002G110150, Np002G103410, Np002G101570, Np005G297220, Np004G224550, Np004G224560
OG0000139	jg6850	Np001G043360, Np005G294120, Np004G258210, Np002G101620, Np001G031610, Np001G031620, Np002G101150, Np004G223980, Np001G031630, Np002G101140
OG0000140	jg22850	Np003G153340
OG0000140	jg22845	Np003G153440
OG0000140	jg22800, jg21885, jg22801	Np003G153920
OG0000140	jg22798, jg22799	Np003G153420
OG0000140	jg22851, jg22847	Np003G153430, Np007G424390, Np003G153390
OG0000142	jg17936	Np006G360490
OG0000145	jg2060	Np002G108950, Np007G417590
OG0000145	jg17724	Np005G299660
OG0000146	jg22363	Np003G160230
OG0000146	jg22365, jg22366	Np003G160060, Np003G160140, Np003G160190
OG0000146	jg22364	Np003G160200
OG0000147	jg28078	Np007G373950
OG0000147	jg9392	Np005G273990
OG0000147	jg22635	Np003G156060
OG0000147	jg3697	Np002G071170
OG0000147	jg13954	Np001G043050
OG0000147	jg27288	Np007G389960
OG0000149	jg14423	Np001G046040
OG0000149	jg14421	Np001G046110
OG0000149	jg22904	Np003G152700
OG0000149	jg14420	Np001G046030
OG0000150	jg4290	Np001G049320
OG0000151	jg22050	Np003G164170
OG0000151	jg27769	Np007G376880
OG0000151	jg22463	Np003G158280
OG0000154	jg1415	Np002G086500
OG0000154	jg30094	Np004G240190
OG0000154	jg25213	Np007G408850
OG0000154	jg24871	Np007G413420
OG0000154	jg3985	Np003G126710
OG0000154	jg3984	Np003G126700, Np003G127150, Np002G112020
OG0000155	jg9725	Np004G218540
OG0000155	jg10428	Np005G287960
OG0000155	jg25152	Np007G409550
OG0000155	jg7743	Np005G287400, Np007G412670
OG0000156	jg16151	Np001G066790
OG0000157	jg24182	Np006G338300
OG0000157	jg2031, jg2038, jg2030, jg2028, jg7426	Np002G078620
OG0000158	jg10511	Np005G286690, Np005G286640, Np003G129260
OG0000158	jg28264	Np001G048650, Np001G049230, Np001G050690, Np005G295650
OG0000158	jg5270, jg28263, jg16699	Np007G406120, Np001G028290, Np001G028380, Np001G028350
OG0000161	jg21823, jg17685, jg17683, jg17687	Np001G008600
OG0000161	jg1847	Np005G311810
OG0000161	jg1820, jg1821, jg1704	Np002G086610
OG0000162	jg2591	Np001G066230
OG0000162	jg2036	Np002G116280
OG0000162	jg19859	Np006G324990
OG0000164	jg9497, jg31608	Np005G275210
OG0000164	jg1128, jg1129, jg6771, jg6767, jg6769, jg6762, jg6770, jg6761	Np004G198520
OG0000165	jg11573	Np004G232590
OG0000166	jg11859	Np001G026760
OG0000166	jg17798	Np007G371920
OG0000166	jg10075, jg17325	Np005G320040, Np003G142830
OG0000166	jg725, jg4758	Np003G159070
OG0000167	jg12243, jg10625	Np004G243920, Np002G111260
OG0000167	jg10624	Np004G202230
OG0000167	jg12242	Np005G289670
OG0000169	jg1192	Np002G113130
OG0000171	jg5289	Np003G141590
OG0000172	jg16316	Np001G064170
OG0000172	jg15918	Np001G064130
OG0000175	jg3242	Np002G077280
OG0000175	jg30537	Np004G235400
OG0000175	jg8854	Np007G376890
OG0000176	jg31636, jg31639	Np005G310450, Np005G310750, Np005G310470
OG0000176	jg12097	Np006G334320
OG0000178	jg33537	Np006G367500
OG0000180	jg16351	Np006G370740, Np006G370680
OG0000181	jg13723	Np005G296340, Np006G359190, Np001G033000, Np007G384350, Np002G094870, Np004G238980, Np006G363240
OG0000183	jg14745, jg7532, jg14541, jg27683, jg1699	Np004G227120
OG0000185	jg32189, jg13730	Np005G288320
OG0000186	jg17305, jg27206, jg754	Np030G439830, Np030G439990, Np006G348040
OG0000186	jg32822	Np007G388260
OG0000186	jg17588	Np006G361310
OG0000186	jg1403	Np005G292910
OG0000186	jg10477, jg10194	Np004G219150
OG0000187	jg9234, jg9235	Np005G271570
OG0000187	jg9230	Np005G271420
OG0000189	jg8491, jg3298	Np005G262130
OG0000189	jg8611, jg8545, jg13671, jg8547	Np001G019990
OG0000190	jg7704	Np003G183500
OG0000190	jg7703	Np003G183510
OG0000190	jg7705	Np003G183410, Np003G183480
OG0000191	jg29662	Np007G388820, Np003G178870
OG0000191	jg18960	Np006G339030, Np006G337320
OG0000191	jg25728	Np007G391150, Np007G391080
OG0000192	jg8064, jg3362	Np002G086820, Np007G389770, Np002G076020
OG0000193	jg26576, jg26577	Np007G384080, Np007G384380, Np007G387690
OG0000193	jg26297	Np007G380880
OG0000193	jg26298, jg26296	Np007G381040, Np007G381000
OG0000195	jg17567	Np006G361540
OG0000195	jg2098	Np005G312480
OG0000196	jg31558, jg31560	Np004G214150, Np004G214340, Np003G165450
OG0000196	jg28891	Np004G254380
OG0000196	jg31432	Np004G212030
OG0000196	jg31559	Np003G165460
OG0000196	jg31430	Np004G211990
OG0000196	jg28892	Np004G254390
OG0000197	jg28098	Np002G087170
OG0000197	jg12682, jg12608	Np003G167690
OG0000200	jg31833	Np004G217530
OG0000200	jg14818	Np004G254580
OG0000201	jg26418, jg26417	Np007G379560
OG0000203	jg24346, jg24347	Np007G420280, Np004G195540
OG0000203	jg24303	Np007G420850
OG0000204	jg15213	Np005G302460, Np006G366470
OG0000204	jg26333	Np007G381450
OG0000205	jg16530, jg27661, jg27598, jg13088, jg13092, jg13087, jg13090, jg16527, jg27591, jg27660, jg27597, jg16764, jg32764, jg11592, jg11594	Np004G252280
OG0000205	jg32768, jg32767, jg32765	Np001G056450, Np004G200620, Np004G227010
OG0000206	jg33290	Np004G216740
OG0000207	jg2551	Np002G073040
OG0000207	jg3554	Np002G073080
OG0000207	jg16693, jg30217	Np002G073110, Np002G073100
OG0000209	jg416, jg418	Np002G123950
OG0000209	jg415, jg413	Np002G123960, Np002G123970
OG0000209	jg33120	Np002G124020
OG0000209	jg12794, jg12796, jg12862, jg12797, jg21564	Np002G123940, Np002G091400
OG0000210	jg13164	Np001G024460
OG0000210	jg18412, jg18409, jg18408	Np006G357820
OG0000213	jg24982	Np005G312500
OG0000213	jg16737	Np006G368010
OG0000214	jg2493	Np007G375860
OG0000214	jg8000, jg7249, jg7284, jg7534, jg7536, jg7538, jg7531, jg7506, jg7999, jg8001	Np003G186320, Np003G186260
OG0000216	jg10317	Np004G202700, Np005G274080, Np005G314870
OG0000216	jg33448, jg10319, jg10323	Np006G361190
OG0000216	jg10266	Np005G274090
OG0000218	jg29979	Np004G241490
OG0000218	jg29981	Np004G241460
OG0000218	jg29982	Np006G363350, Np003G174250
OG0000218	jg13337	Np005G283350
OG0000218	jg11388	Np001G027320
OG0000218	jg12942	Np001G027310
OG0000219	jg23294, jg23293	Np003G187720, Np001G006210, Np001G006190, Np001G008170
OG0000219	jg22095, jg22096	Np001G006200, Np001G008160, Np001G006180
OG0000220	jg22418, jg22417, jg22415, jg22413, jg22416	Np003G158780
OG0000222	jg11713, jg23119	Np001G027170, Np002G091350, Np003G181880, Np001G027180, Np001G036270, Np003G167420
OG0000222	jg17673	Np001G021650, Np005G303660, Np001G029320, Np003G141180, Np001G063040, Np006G365120, Np007G404090, Np004G194850, Np004G215680, Np004G233330, Np003G165700, Np005G311760, Np007G390900, Np004G194840, Np005G309420, Np004G212790, Np001G029240, Np006G365130, Np001G027190, Np003G175170, Np006G322380, Np001G023650, Np005G318440, Np007G420490
OG0000224	jg571, jg570	Np002G121630, Np002G121680, Np002G121650, Np002G121690
OG0000225	jg31470, jg31479, jg31471, jg31469	Np004G212520
OG0000225	jg31473, jg31478, jg31472	Np004G212510
OG0000225	jg31477	Np004G212550, Np004G212570, Np004G212500
OG0000226	jg23338	Np001G068820, Np001G002660, Np001G003000
OG0000226	jg26094, jg30960, jg31379, jg31377, jg29773	Np004G243800, Np004G243970, Np004G243900, Np001G063350, Np001G063340
OG0000228	jg6720, jg6718	Np004G230940
OG0000228	jg2698	Np002G084530
OG0000229	jg9443, jg9444, jg5645, jg5642, jg9442	Np004G245990, Np004G246960, Np004G247090, Np004G247150, Np004G246980
OG0000230	jg1462	Np002G077370
OG0000230	jg967, jg812	Np002G077290
OG0000231	jg12412	Np003G174440
OG0000231	jg2322, jg11881, jg2248	Np004G203320
OG0000232	jg24479, jg24480, jg25056, jg27540, jg27543, jg6484, jg6481, jg25050	Np006G352410, Np006G352420
OG0000234	jg15448	Np001G058680
OG0000234	jg15447	Np001G058670
OG0000234	jg19118	Np006G333910
OG0000234	jg5170	Np003G140390
OG0000236	jg26494	Np007G382520, Np007G382570
OG0000236	jg17600, jg17601, jg17602, jg17608, jg7281, jg7280	Np003G177320
OG0000237	jg1321	Np006G349720, Np002G102550
OG0000240	jg23298	Np006G347290
OG0000240	jg32293	Np002G104290
OG0000242	jg29882	Np004G242740
OG0000242	jg29879	Np004G242760
OG0000244	jg10370	Np005G286400
OG0000244	jg7735	Np003G183740
OG0000247	jg12066	Np002G120130, Np002G120100, Np002G120120, Np002G120110
OG0000248	jg1267	Np002G112170
OG0000248	jg15619	Np001G048790
OG0000249	jg18819	Np003G177600, Np006G338400
OG0000250	jg2620, jg2621, jg2622	Np002G085780
OG0000250	jg12494, jg12493, jg2603, jg2604	Np002G086000
OG0000251	jg21610	Np002G076230
OG0000252	jg4035	Np004G205500
OG0000253	jg17414	Np003G170230
OG0000254	jg32916, jg16978, jg17665, jg1307, jg26917, jg983, jg985	Np007G383010
OG0000254	jg33080, jg33082, jg7439, jg19336, jg28872, jg16868	Np001G046190
OG0000256	jg21390, jg21205, jg21204, jg27046	Np004G200500, Np004G200520
OG0000257	jg33267, jg24983, jg8499	Np007G377760
OG0000258	jg13318, jg13319	Np001G022690
OG0000258	jg22623	Np003G156210
OG0000258	jg13320	Np001G049130, Np001G022660, Np001G022680
OG0000260	jg4068	Np005G316850
OG0000260	jg14255	Np005G316660
OG0000264	jg7787	Np003G185830
