Orthogroup	Arabidopsis_arenosa	Arabis_alpina
OG0000139	jg6519, jg6518, jg27250, jg27251, jg26448	Aa_G803880.h1.t1
OG0000139	jg6850	Aa_G1007810.h1.t1, Aa_G1080960.h1.t1
OG0000140	jg22850	Aa_G297060.h1.t1
OG0000140	jg22845	Aa_G701760.h1.t1
OG0000140	jg22848	Aa_G848610.h1.t1
OG0000140	jg22851, jg22847	Aa_G650690.h2.t1, Aa_G650690.h1.t1
OG0000142	jg17934, jg17935	Aa_G49000.h1.t1, Aa_G235730.h1.t1
OG0000142	jg17933	Aa_G35530.h1.t1
OG0000145	jg27538	Aa_G77030.h1.t1
OG0000145	jg17724	Aa_G11550.h1.t1
OG0000146	jg22363	Aa_G643480.h1.t1
OG0000146	jg22365, jg22366	Aa_G643460.h1.t1, Aa_G732190.h1.t1
OG0000147	jg28078	Aa_G190130.h1.t1
OG0000147	jg9392	Aa_G620370.h1.t1
OG0000147	jg22635	Aa_G307400.h1.t1
OG0000147	jg3697	Aa_G21590.h1.t1
OG0000147	jg13954	Aa_G490420.h1.t1
OG0000147	jg27288	Aa_G194510.h1.t1
OG0000147	jg16942	Aa_G41590.h1.t1
OG0000149	jg22898	Aa_G28300.h1.t1
OG0000150	jg14325	Aa_G251660.h1.t1
OG0000151	jg22050	Aa_G134060.h1.t1
OG0000151	jg24782	Aa_G24370.h1.t1
OG0000151	jg27769	Aa_G70150.h1.t1
OG0000151	jg22463	Aa_G580840.h1.t1
OG0000151	jg12793	Aa_G688860.h1.t1
OG0000154	jg1415	Aa_G85360.h1.t1, Aa_G162650.h1.t1
OG0000154	jg30094, jg25213	Aa_G162640.h1.t1, Aa_G280540.h1.t1
OG0000154	jg24871	Aa_G403550.h1.t1
OG0000154	jg3985	Aa_G85370.h1.t1
OG0000155	jg9725	Aa_G438370.h1.t1
OG0000155	jg2004, jg10428	Aa_G58940.h1.t1
OG0000155	jg25152	Aa_G5430.h1.t1
OG0000156	jg19951, jg19948	Aa_G16090.h1.t1, Aa_G569190.h2.t1, Aa_G569190.h3.t1, Aa_G569190.h1.t1
OG0000161	jg23140, jg23141, jg33435, jg33436, jg21823, jg17685, jg17683, jg17687	Aa_G61530.h1.t1, Aa_G716440.h1.t1, Aa_G61470.h1.t1, Aa_G61460.h1.t1
OG0000161	jg31502	Aa_G302470.h1.t1
OG0000161	jg31503	Aa_G260740.h1.t1
OG0000161	jg1820, jg1821, jg1704	Aa_G323510.h1.t1
OG0000162	jg15299	Aa_G208990.h1.t1
OG0000162	jg19860	Aa_G77240.h1.t1
OG0000162	jg16104	Aa_G573270.h1.t1
OG0000162	jg19859	Aa_G175290.h1.t1
OG0000166	jg27846	Aa_G209590.h1.t1
OG0000167	jg12243	Aa_G460260.h1.t1
OG0000167	jg10625	Aa_G460270.h1.t1, Aa_G460250.h1.t1
OG0000167	jg10624	Aa_G674860.h1.t1
OG0000167	jg12242	Aa_G403160.h1.t1
OG0000169	jg3070	Aa_G98910.h1.t1
OG0000169	jg21554	Aa_G792200.h1.t1
OG0000169	jg1187, jg1192, jg1191, jg1193, jg1190	Aa_G87240.h1.t1
OG0000171	jg20125	Aa_G453040.h1.t1, Aa_G453040.h2.t1, Aa_G775400.h1.t1, Aa_G775400.h2.t1
OG0000171	jg29462, jg955, jg30921	Aa_G473510.h2.t1, Aa_G473510.h1.t1
OG0000172	jg16315	Aa_G612830.h1.t1, Aa_G612840.h1.t1
OG0000172	jg15926	Aa_G517130.h1.t1, Aa_G154110.h1.t1
OG0000172	jg15937	Aa_G244940.h1.t1
OG0000172	jg15923	Aa_G175810.h1.t1, Aa_G175800.h1.t1
OG0000172	jg15930	Aa_G175690.h1.t1, Aa_G154170.h1.t1, Aa_G175700.h1.t1, Aa_G449520.h1.t1, Aa_G724730.h1.t1
OG0000173	jg1807	Aa_G542470.h1.t1
OG0000175	jg3242	Aa_G281740.h1.t1
OG0000175	jg8854	Aa_G70160.h1.t1, Aa_G180380.h1.t1
OG0000178	jg33537	Aa_G20.h1.t1
OG0000185	jg12153	Aa_G292460.h1.t1, Aa_G151720.h1.t1, Aa_G688150.h1.t1
OG0000185	jg11305, jg33822	Aa_G708810.h1.t1, Aa_G41930.h1.t1, Aa_G650260.h1.t1, Aa_G445230.h1.t1, Aa_G555610.h1.t1, Aa_G206620.h1.t1
OG0000185	jg7346	Aa_G197860.h1.t1
OG0000185	jg6686	Aa_G165600.h1.t1
OG0000187	jg9234, jg9235	Aa_G145090.h1.t1, Aa_G145050.h1.t1, Aa_G145080.h1.t1
OG0000187	jg9230	Aa_G74610.h1.t1, Aa_G662460.h1.t1
OG0000189	jg8629	Aa_G187960.h1.t1, Aa_G187970.h1.t1, Aa_G139550.h1.t1
OG0000190	jg7702	Aa_G320630.h1.t1
OG0000192	jg30670	Aa_G507530.h1.t1
OG0000192	jg30833, jg26900	Aa_G60820.h1.t1, Aa_G835800.h1.t1
OG0000193	jg26294	Aa_G162040.h1.t1
OG0000195	jg19387, jg15712, jg15648	Aa_G88530.h1.t1, Aa_G562480.h2.t1
OG0000195	jg2098, jg12245	Aa_G505900.h1.t1
OG0000196	jg31558, jg31560	Aa_G695630.h1.t1, Aa_G37370.h1.t1
OG0000196	jg31432	Aa_G152770.h1.t1
OG0000197	jg12743	Aa_G584620.h1.t1
OG0000197	jg12179	Aa_G631990.h1.t1, Aa_G961810.h1.t1, Aa_G974030.h1.t1
OG0000197	jg12176	Aa_G30010.h1.t1
OG0000197	jg12633, jg12636	Aa_G48860.h1.t1
OG0000200	jg14818, jg9719, jg12382, jg12383, jg26794, jg26858, jg26826	Aa_G462040.h1.t1
OG0000201	jg26416, jg26419	Aa_G456930.h1.t1, Aa_G315780.h1.t1
OG0000203	jg24349, jg24348	Aa_G462700.h1.t1
OG0000203	jg24303	Aa_G606990.h1.t1
OG0000204	jg15213	Aa_G29610.h1.t1
OG0000205	jg32764	Aa_G296310.h1.t1
OG0000206	jg33290	Aa_G112200.h1.t1, Aa_G843970.h1.t1
OG0000207	jg16693	Aa_G335460.h1.t1
OG0000208	jg8417, jg9182	Aa_G113520.h1.t1, Aa_G65830.h1.t1
OG0000209	jg416, jg418	Aa_G135600.h1.t1
OG0000209	jg415, jg413	Aa_G190160.h1.t1
OG0000209	jg7742	Aa_G447090.h1.t1, Aa_G201950.h1.t1
OG0000209	jg33120, jg7741	Aa_G135610.h1.t1
OG0000209	jg12794, jg12796, jg12862, jg12797, jg21564	Aa_G688850.h1.t1
OG0000210	jg18412, jg18409, jg18408	Aa_G363640.h1.t1
OG0000210	jg18405, jg20943	Aa_G851370.h1.t1
OG0000213	jg2970, jg2971	Aa_G37930.h1.t1
OG0000213	jg24982	Aa_G302900.h1.t1, Aa_G586970.h1.t1, Aa_G586960.h1.t1, Aa_G586940.h1.t1
