Orthogroup	Arabidopsis_arenosa	Erysimum_linariifolium
OG0000027	jg31671	El002G117910
OG0000027	jg31665	El002G117790, El002G117690, El002G117760, El002G117870, El002G117820
OG0000027	jg15770, jg15695, jg15696	El001G029050
OG0000027	jg15771	El001G025570
OG0000028	jg11997, jg6737	El004G212000
OG0000028	jg17461, jg12004	El004G211990
OG0000028	jg26958, jg13640, jg2465	El007G348580
OG0000028	jg33138, jg30060, jg20837	El007G334290
OG0000028	jg21311	El007G352000
OG0000029	jg16768	El003G179090
OG0000029	jg1946	El001G046730
OG0000029	jg17949	El006G307470
OG0000030	jg32294, jg33373	El007G358700
OG0000030	jg6978	El008G371380, El007G349640
OG0000030	jg12236	El003G181950
OG0000030	jg20585	El002G130810
OG0000030	jg11609	El003G181960
OG0000030	jg900, jg26487, jg11586, jg11588	El003G178390, El003G178450
OG0000030	jg2222	El004G207450
OG0000030	jg2223	El004G207460
OG0000031	jg612, jg644, jg610	El004G208470, El004G208460
OG0000031	jg663	El004G197790
OG0000031	jg642	El004G197660
OG0000031	jg618, jg613, jg617, jg616, jg643	El007G349520
OG0000031	jg29708, jg29704, jg29712	El002G096110
OG0000031	jg29711	El002G096100
OG0000031	jg12744	El003G192370
OG0000031	jg25741	El005G253470
OG0000031	jg9770	El003G157520
OG0000031	jg372	El002G127940, El004G193990
OG0000033	jg10203, jg10197, jg10193	El003G162150
OG0000033	jg10204	El003G162160
OG0000033	jg10186	El003G192480
OG0000033	jg10426	El003G164670
OG0000033	jg10198	El003G162180
OG0000033	jg10208	El003G162220
OG0000033	jg7784	El001G004730
OG0000034	jg32649, jg13995	El027G373510
OG0000034	jg11749, jg11798, jg17416, jg17385	El002G123490
OG0000035	jg18271	El006G299540
OG0000035	jg16185	El001G033250
OG0000035	jg16184	El001G033230
OG0000036	jg299, jg1839, jg32415, jg11724, jg17278, jg1046, jg1567	El006G309110
OG0000036	jg11852, jg13931, jg6976, jg17098, jg1485, jg16419, jg27812, jg17384	El006G311420, El002G122030
OG0000038	jg549	El006G281890, El006G282510
OG0000038	jg31999, jg31068, jg31060	El002G110410, El002G110580, El002G110340
OG0000038	jg14792	El001G019410
OG0000038	jg21941	El007G341120
OG0000038	jg7751	El007G364390, El001G005030
OG0000038	jg20757, jg20756	El007G360620, El007G360550, El007G360490, El007G360510, El007G360600
OG0000038	jg31052	El006G282520
OG0000040	jg31202	El003G181190, El002G112730, El002G112290
OG0000040	jg31203	El006G296490, El006G297130, El007G346320
OG0000040	jg10900	El005G250150
OG0000040	jg25272, jg738, jg25360	El005G250180
OG0000041	jg6878	El004G204870, El005G265750, El007G355940, El001G013140, El002G131060
OG0000042	jg17939	El004G194460, El007G344540
OG0000044	jg21339, jg1555	El002G124130
OG0000044	jg17523, jg29315, jg14196	El007G357580, El007G365520, El003G186540
OG0000044	jg1834, jg309, jg32416, jg1035, jg17283, jg1573	El006G308910, El006G308940
OG0000044	jg13501, jg20886	El007G360870
OG0000045	jg21124	El002G101480
OG0000046	jg12463, jg12464	El003G188710
OG0000046	jg12337	El003G186960, El003G186970
OG0000046	jg10780	El003G168460
OG0000046	jg2154	El004G216670
OG0000046	jg2192, jg2152	El004G216620
OG0000046	jg2209, jg2212	El004G216850, El004G216660
OG0000046	jg12331	El003G186890
OG0000046	jg6601	El003G186880, El003G186940
OG0000047	jg14037	El002G123400
OG0000048	jg16525	El006G321480
OG0000052	jg29349	El002G116290
OG0000052	jg907	El006G286640
OG0000052	jg19552, jg19554	El006G286630
OG0000052	jg19558	El006G286590
OG0000052	jg19560	El006G286580
OG0000055	jg674, jg739	El004G198780
OG0000055	jg14491	El001G016330, El001G016310, El001G016300
OG0000055	jg748	El004G198830
OG0000055	jg726	El004G198610
OG0000055	jg728	El004G198640
OG0000055	jg1420	El004G208280
OG0000055	jg749	El004G198010, El004G198720, El004G198710, El004G198730, El004G198700
OG0000055	jg745	El004G198810
OG0000056	jg20178	El003G171800
OG0000056	jg11849, jg7332	El007G350500
OG0000057	jg8147	El001G001400
OG0000057	jg17788	El003G174270, El003G172630, El003G172690
OG0000057	jg25908	El005G254800
OG0000057	jg28057, jg28058	El005G276600, El005G276550
OG0000057	jg12073	El003G184060
OG0000058	jg1166	El005G263190, El006G310300
OG0000058	jg14086	El005G258260
OG0000058	jg13853	El001G046460
OG0000058	jg27469, jg29921	El002G122710, El003G177250
OG0000058	jg1167	El002G135580, El005G263200, El002G136300
OG0000058	jg11079	El005G276970, El001G065670, El001G046450
OG0000058	jg14182, jg13958, jg21898, jg21900, jg14025	El001G034170, El005G262760
OG0000061	jg1799	El006G308960, El006G308930, El002G121930
OG0000062	jg7377	El005G264970, El004G212620, El001G013750, El003G186180, El004G203440, El004G203430, El007G346680, El005G263100
OG0000063	jg14371	El006G292790
OG0000063	jg29139, jg21260	El001G024380
OG0000064	jg8362	El003G142390
OG0000064	jg18482	El006G298100
OG0000066	jg27126	El004G228220, El004G228230, El002G122920
OG0000066	jg13471	El001G071590, El001G071600
OG0000066	jg1404	El007G324780
OG0000067	jg24838, jg24839, jg4261, jg4260, jg4298	El001G050000
OG0000067	jg24035, jg24037	El001G015110, El001G015090
OG0000067	jg24042	El005G241220
OG0000067	jg4088	El001G019940, El001G019880, El003G151620, El001G050380, El007G338720
OG0000067	jg4679	El001G059350
OG0000067	jg4186	El001G080370, El001G080310, El001G080500, El001G079930, El001G080400, El001G080340, El001G080320, El001G080380
OG0000068	jg13873	El004G214260
OG0000069	jg13268	El001G064640
OG0000071	jg28233	El003G186380
OG0000071	jg25723	El003G186390, El001G051200, El006G305000
OG0000072	jg27454, jg2002, jg1859, jg13895, jg13896, jg17450, jg17336, jg27058, jg17478	El005G263040, El005G262970, El004G210970, El005G264060
OG0000072	jg16476, jg16484, jg29790, jg9963, jg13945, jg11738, jg2091	El003G180720
OG0000073	jg10924	El002G132380
OG0000073	jg7157, jg7084	El007G365480
OG0000074	jg30935	El002G109000
OG0000074	jg30933	El002G108980
OG0000074	jg30930	El002G108920
OG0000074	jg30929	El002G108910
OG0000074	jg30938	El002G109050
OG0000074	jg30934	El002G108990
OG0000074	jg30932, jg30931	El002G108950
OG0000074	jg30936	El002G109030
OG0000074	jg30922	El002G108840
OG0000074	jg30923, jg30924	El002G108850
OG0000074	jg30937	El002G109040
OG0000075	jg10637, jg14429	El001G065030, El001G025110
OG0000076	jg14731, jg14730	El001G018730, El001G018680
OG0000076	jg14733	El001G018720, El001G018710, El001G018740, El007G346890
OG0000076	jg15192	El001G023150
OG0000076	jg20912, jg15191	El001G023120
OG0000076	jg20913, jg15189, jg15188, jg15190	El001G023080
OG0000076	jg13373	El001G041500
OG0000077	jg21501	El007G346620, El007G346720, El007G346600, El004G208890, El007G346470, El006G315340, El007G346500, El007G346630, El007G346710, El007G346580
OG0000077	jg21500	El007G346750
OG0000077	jg8425	El003G143060
OG0000077	jg8426	El003G143070
OG0000077	jg26791	El004G229240
OG0000077	jg7664	El002G122000
OG0000077	jg32692, jg26472, jg32685, jg32682, jg8427	El003G143080
OG0000077	jg8424, jg8422	El003G143050, El006G313810, El003G143040
OG0000077	jg1000, jg934	El004G200660, El004G200690, El004G200720, El004G200650, El004G200820, El004G200840, El004G201230, El004G207520, El004G200870, El004G200890
OG0000077	jg8428	El003G143090
OG0000078	jg9173	El008G368270, El008G368260
OG0000079	jg24131	El005G237310
OG0000079	jg15924	El004G213350, El004G213320, El004G213370, El005G273970
OG0000079	jg15925	El004G207470
OG0000079	jg17321, jg17317, jg17322	El007G357730
OG0000079	jg12367, jg12366, jg11406	El003G187300, El003G187270, El003G187260, El003G187360
OG0000079	jg12369, jg12364	El003G187320, El003G187370, El003G187350, El003G187330
OG0000080	jg1961, jg32859, jg32843, jg32550, jg32855, jg32866	El002G131320, El002G131270
OG0000080	jg32915	El002G131930
OG0000080	jg5088	El001G069000, El001G068960
OG0000080	jg375	El004G194020
OG0000080	jg12023	El004G194360
OG0000080	jg18020, jg18016	El007G345310
OG0000080	jg18005	El006G302980, El006G300900, El006G303280
OG0000080	jg18012, jg25262	El001G043770, El001G041340
OG0000081	jg5637	El001G062660
OG0000081	jg5657	El001G062500
OG0000083	jg27544, jg27541	El005G265380
OG0000083	jg26539	El005G263710
OG0000083	jg26554	El005G263680
OG0000083	jg27213	El005G271190, El005G271150
OG0000083	jg32422	El005G271260, El005G271250, El005G271160, El005G265390
OG0000083	jg24440, jg16886, jg16884	El006G317480, El006G317520, El006G317460, El006G317530
OG0000083	jg2772	El006G317470, El006G317450
OG0000083	jg16885	El006G313440
OG0000084	jg17390	El006G315720
OG0000084	jg16997	El006G313930, El001G048100, El006G316280, El006G316240, El006G316260
OG0000084	jg17005, jg20640	El006G315730, El006G315630, El006G315610, El006G315700, El006G317190, El006G312100, El006G312130, El006G317170, El006G315060, El006G315050, El006G312110, El006G317200, El006G317180
OG0000084	jg16996	El006G313950
OG0000084	jg17272	El006G316300
OG0000084	jg16984	El006G316350
OG0000084	jg17289	El006G316420
OG0000084	jg16989, jg17288	El006G316360, El006G316460, El006G316430, El006G316470, El006G316370, El006G316400
OG0000086	jg1275, jg1277, jg1270, jg1278, jg1271, jg1274, jg1272, jg1273, jg1280, jg1279, jg1276, jg1269	El004G210560
OG0000087	jg6235	El001G056180
OG0000087	jg17972	El006G303330
OG0000087	jg23223	El007G327940
OG0000087	jg5068	El001G069260
OG0000087	jg18593	El006G296420
OG0000087	jg20749	El007G360740
OG0000087	jg10485	El003G165170
OG0000087	jg30528	El002G104330
OG0000087	jg3235	El004G228430
OG0000088	jg14230, jg14231	El007G357210
OG0000088	jg14563	El001G017100
OG0000088	jg27525	El005G272510
OG0000088	jg14545, jg14558	El001G016960
OG0000088	jg14507	El001G016980, El001G017010
OG0000088	jg5910	El001G059590
OG0000088	jg21695	El001G059580
OG0000089	jg4799	El001G072250
OG0000089	jg26012, jg33022	El005G256100, El002G133200
OG0000089	jg19507	El006G287080
OG0000089	jg19508	El006G287070
OG0000089	jg19509	El006G287060
OG0000089	jg18920	El001G024400
OG0000089	jg22870	El001G015710
OG0000090	jg4483	El002G104490, El003G181590
OG0000090	jg21183	El007G355500
OG0000090	jg3251	El004G228750
OG0000090	jg16054	El001G031660
OG0000090	jg8905	El003G147970
OG0000090	jg13115	El001G038160, El001G038170, El001G049400
OG0000090	jg28225, jg28226, jg13116	El001G038180
OG0000090	jg29403	El002G093200
OG0000091	jg20823, jg20821, jg1412, jg2211, jg14179	El004G215550
OG0000093	jg15848, jg15846	El004G202240, El004G202270
OG0000093	jg27053, jg27051, jg27052	El005G270290, El005G270300, El005G270240, El004G214760, El005G270230
OG0000093	jg15851	El001G029840
OG0000093	jg15841	El001G029800, El007G352040
OG0000096	jg1247	El004G205300
OG0000096	jg13128	El001G038380
OG0000096	jg13131	El001G038400
OG0000096	jg1310	El004G205890, El004G205920, El004G205830, El004G205860, El004G205880, El004G205870, El004G205260, El004G205840, El007G356380
OG0000096	jg20644	El007G361830
OG0000096	jg20589	El007G362830
OG0000097	jg7810	El001G004470
OG0000097	jg7818	El001G004390
OG0000097	jg7820	El001G004380
OG0000097	jg7813, jg7812, jg7815, jg7814	El001G004460, El001G004420, El001G004430, El007G349700, El001G004410, El001G048890
OG0000097	jg21543, jg7817	El001G004400
OG0000098	jg29672	El002G095770
OG0000099	jg455, jg458, jg453, jg457	El004G194870, El001G011990, El004G194960, El004G194830, El004G194970, El004G204720, El004G194880, El004G194860, El006G303000, El004G214950, El004G214930
OG0000099	jg456	El004G194890, El004G195030, El004G194980
OG0000099	jg542	El004G194840
OG0000099	jg27475, jg7311, jg460	El004G194950
OG0000101	jg476	El007G349760, El004G213140, El004G201520
OG0000101	jg477	El004G211480, El007G346770
OG0000101	jg1001	El004G201590
OG0000104	jg29111	El002G090170
OG0000104	jg17897	El006G304210
OG0000104	jg33355, jg33352	El002G136420
OG0000104	jg33347	El002G136360
OG0000105	jg17571	El027G373450
OG0000106	jg25959, jg6741, jg26029, jg25961, jg6747, jg25960, jg6746, jg26030, jg26027, jg26079, jg27891	El005G259530
OG0000106	jg27435, jg14860	El001G010720, El005G256190, El005G255570
OG0000106	jg25967, jg25964, jg12059, jg25966	El005G256210, El005G255560
OG0000106	jg17690, jg17691, jg17695	El006G306450
OG0000106	jg26888, jg26886	El005G269060, El005G269030, El005G268940
OG0000107	jg17559, jg17556	El006G308310
OG0000107	jg26159	El005G257800
OG0000107	jg26158	El005G257780
OG0000107	jg26161	El005G257840
OG0000108	jg6402, jg6418	El001G053220
OG0000108	jg6403	El001G053160
OG0000108	jg6404	El001G053150, El001G053080, El001G053060, El001G053120, El001G053110, El001G053070, El001G053140
OG0000108	jg7433	El001G047240
OG0000108	jg17595, jg31284	El007G364310, El007G323300
OG0000108	jg16872	El001G009690, El006G281400
OG0000108	jg27264, jg27221, jg27229, jg27223	El006G309530
OG0000108	jg2306	El006G297420, El006G297320, El006G297490, El006G297230, El002G139550
OG0000109	jg17424	El001G049940, El008G368450, El002G127890
OG0000109	jg20882, jg6910, jg11931	El001G018880
OG0000110	jg15960	El001G030790
OG0000110	jg15959	El001G030780
OG0000110	jg27424, jg27428	El007G359610, El007G359400, El007G359370, El007G359570, El007G361570, El007G359600, El007G359510, El007G359520
OG0000110	jg15957, jg15956	El001G030740
OG0000111	jg12398, jg12393, jg12389, jg12394, jg12395	El003G187720, El001G009620, El003G183560
OG0000111	jg12396	El003G187730
OG0000111	jg23313	El007G327170
OG0000111	jg15428	El001G025790
OG0000112	jg16607, jg17599, jg27950, jg23041, jg20712	El007G329910
OG0000112	jg21770	El007G342990
OG0000113	jg509	El004G207200
OG0000113	jg1379	El004G207120
OG0000113	jg14194, jg14191	El002G128690
OG0000114	jg2542	El004G213600
OG0000114	jg4953, jg7114, jg1323	El001G070430
OG0000114	jg1324, jg1320, jg1319, jg1317, jg1326, jg1329, jg1330, jg27021	El004G206200, El004G206180, El004G205940, El004G206220
OG0000114	jg27601, jg1248	El002G128610
OG0000114	jg12353	El003G187140
OG0000115	jg6881	El002G126950, El002G121910, El006G311440, El006G308990
OG0000115	jg12949, jg10772, jg12951	El007G324900, El006G289920, El006G285120, El004G201560, El001G079750, El001G046700, El002G106750, El002G138260, El007G348280
OG0000116	jg1481, jg15996, jg6981, jg14689, jg7083, jg1902	El006G309080, El005G266280, El003G181290, El002G126330, El004G208040, El003G160430, El001G048920, El007G350210, El004G213450, El001G046840, El004G209170, El001G081080, El007G335700, El004G218070
OG0000118	jg13696, jg13697, jg13695	El001G001700, El001G001530
OG0000118	jg15265, jg26895, jg27877	El006G302550, El006G302540, El007G358680, El006G302560, El001G023930
OG0000118	jg3144	El002G084120
OG0000119	jg20878	El005G265760, El001G013130, El007G355930
OG0000119	jg13725, jg9836, jg1719, jg21576, jg27974, jg7024	El002G124220
OG0000120	jg889	El004G200260
OG0000120	jg11313	El003G174940, El003G174920
OG0000120	jg21600, jg21583, jg21561, jg21534, jg21584, jg21558	El007G345250, El007G346140, El006G307860
OG0000120	jg13317, jg4214	El001G077920
OG0000122	jg22508	El007G335590, El007G335600
OG0000122	jg22486, jg22506	El007G335620, El007G335610
OG0000123	jg31338	El002G113800
OG0000123	jg647	El001G013920
OG0000124	jg20993, jg25905, jg11327	El005G257490
OG0000124	jg33081, jg14104, jg9592	El006G297400, El006G297570, El004G206660, El006G307600, El001G057860
OG0000124	jg20179	El001G050120, El001G069630
OG0000125	jg15301	El001G024280
OG0000125	jg3993	El001G080460
OG0000125	jg21256	El002G090450
OG0000125	jg6123	El001G057350
OG0000125	jg14378	El001G015040
OG0000125	jg22931	El007G331030
OG0000125	jg14383	El001G015130
OG0000125	jg17851	El006G304720
OG0000127	jg11550, jg24833, jg1120, jg24836, jg29525, jg29526, jg29071	El001G001730
OG0000128	jg32874	El003G178890
OG0000129	jg14912	El001G046120
OG0000131	jg16945, jg14091, jg6734, jg10774, jg12947	El007G346920
OG0000132	jg21091, jg22360, jg6813, jg6561	El005G264200
OG0000133	jg7039	El005G265050
OG0000133	jg17431	El003G179460
OG0000135	jg27483	El004G202160
OG0000136	jg2126	El004G215940
OG0000136	jg12281	El004G209050, El004G209110
OG0000136	jg23234	El007G327820
OG0000136	jg12259	El007G355150, El007G356600
OG0000137	jg17603	El002G124820, El003G184880
OG0000137	jg12674	El003G191580
OG0000138	jg13824	El006G314590
OG0000138	jg23058	El001G050920
OG0000138	jg13818	El001G045840
OG0000138	jg13817, jg13821	El001G045810, El001G045830
OG0000140	jg14472, jg14471	El001G016150
OG0000140	jg14475	El001G016160
OG0000140	jg22850	El007G331970
OG0000140	jg22845	El007G332020
OG0000140	jg22800	El007G332560
OG0000140	jg21885	El007G332570
OG0000140	jg22801	El007G332540
OG0000140	jg22798, jg22799	El007G332580, El007G332590
OG0000140	jg22851, jg22847	El007G332010, El007G332000
OG0000142	jg17934, jg17935	El006G303740, El006G303770
OG0000142	jg17928	El006G303840
OG0000142	jg17933	El006G303780
OG0000142	jg17936	El006G303760, El006G303820
OG0000142	jg18114, jg18115	El006G301970, El006G301960
OG0000144	jg21692	El007G344160
OG0000144	jg4342	El007G351390
OG0000144	jg6805	El007G362000
OG0000145	jg2060	El001G043740
OG0000145	jg17724	El001G032500
OG0000146	jg22363	El007G336850
OG0000146	jg22365	El007G336810
OG0000146	jg22364	El007G336820
OG0000146	jg22362	El007G336870, El007G336880
OG0000146	jg32125, jg32130	El002G123070
OG0000147	jg28078	El005G277400
OG0000147	jg9392	El003G152940
OG0000147	jg22635	El007G334350
OG0000147	jg3697	El004G233720
OG0000147	jg13954	El001G047010
OG0000147	jg27288	El005G271430
OG0000147	jg16942	El006G316840
OG0000149	jg14423	El001G015560
OG0000150	jg22960	El006G312860
OG0000150	jg14330	El001G014460
OG0000150	jg14331	El006G312870, El001G014430
OG0000150	jg17260	El006G312840, El006G312880
OG0000150	jg17259, jg17257	El006G312950, El006G312930
OG0000150	jg14325	El001G011280
OG0000150	jg14313	El001G014390, El001G014400
OG0000150	jg14327	El001G012490, El001G014420
OG0000151	jg22050	El007G339860
OG0000151	jg24782	El005G243780
OG0000151	jg27769	El005G273960
OG0000151	jg22463	El007G336000
OG0000151	jg12793	El003G193180
OG0000152	jg21089	El003G177030
OG0000154	jg24871	El005G244620
OG0000154	jg3984	El004G209500
OG0000155	jg14971	El001G002450, El001G002560, El001G002510, El001G002610
OG0000155	jg2004	El004G214530, El004G213730, El004G214590
OG0000155	jg10428	El003G164690
OG0000155	jg25152	El005G247790
OG0000155	jg7743	El003G164700
OG0000156	jg16151	El001G032910
OG0000156	jg19951	El006G282820, El007G349010
OG0000156	jg19948	El006G282860
OG0000156	jg16152	El001G032920
OG0000157	jg26628, jg26631, jg26630, jg26627	El005G265510, El005G265480, El005G265460, El005G265550
OG0000157	jg7233	El005G238850
OG0000157	jg12773	El003G192550
OG0000157	jg19043, jg19019	El003G192860
OG0000158	jg11407	El003G184160
OG0000158	jg5270, jg28263	El003G176020
OG0000158	jg16699	El005G265720, El005G267190
OG0000158	jg7562, jg7551	El001G001370, El001G007170, El001G007140
OG0000162	jg15299	El003G183220
OG0000162	jg16105	El001G032200
OG0000162	jg2591	El005G268830
OG0000162	jg16104	El001G032190
OG0000162	jg2236, jg2036	El007G330500
OG0000162	jg19859	El006G283560, El006G283550
OG0000164	jg9497	El003G154300
OG0000164	jg8473	El003G143330
OG0000164	jg10651	El003G166760, El003G166780
OG0000164	jg1128, jg1129, jg6771, jg6767, jg6769, jg6762, jg6770, jg6761	El003G186050, El001G048320
OG0000164	jg1130	El001G048350
OG0000164	jg8472	El003G143320
OG0000165	jg11573	El006G319440
OG0000166	jg11859	El003G188790, El003G188850
OG0000166	jg27846	El004G197940
OG0000166	jg725	El003G170640, El003G170650, El006G307980
OG0000166	jg4758	El001G032810, El001G080610, El004G229180
OG0000167	jg12243	El007G348790
OG0000167	jg10621, jg10622	El003G182660, El003G182640
OG0000167	jg10624	El003G166350
OG0000167	jg12242	El003G186120
OG0000167	jg10623	El007G355560, El007G355650
OG0000169	jg3073	El004G226750
OG0000169	jg3070	El004G220680
OG0000169	jg3071	El004G226730
OG0000169	jg3068	El004G226720
OG0000169	jg3074	El006G316110
OG0000169	jg17125	El006G314450
OG0000169	jg17120	El006G314460
OG0000169	jg17505	El006G309570
OG0000169	jg21553	El006G309550
OG0000169	jg1187	El004G204650
OG0000171	jg5289	El001G066810
OG0000172	jg5387	El001G065760
OG0000172	jg15356	El001G024870, El001G024880
OG0000172	jg16316	El001G034720
OG0000172	jg16317	El001G034730
OG0000172	jg15926	El001G030560
OG0000174	jg11812, jg11810, jg11730	El005G261670
OG0000175	jg15013	El001G021550
OG0000175	jg3242	El004G228610
OG0000175	jg30537	El002G104420
OG0000175	jg8854	El003G147420
OG0000176	jg31640	El002G117480
OG0000176	jg31598	El002G116980, El002G116900, El002G117520
OG0000180	jg16351	El004G196870, El004G196830, El007G342850
OG0000181	jg13723	El001G037070, El007G362960, El001G081130, El003G164550, El006G294400
OG0000183	jg14745, jg7532, jg14541	El002G109930, El002G097230, El003G174400, El002G139010
OG0000183	jg27683, jg1699	El002G135320
OG0000183	jg17561	El001G029540, El007G356510
OG0000183	jg7194	El002G109940, El003G170170
OG0000183	jg19302	El006G283640
OG0000185	jg1441, jg14078, jg1761	El004G197640
OG0000185	jg12153	El001G013560
OG0000185	jg13730	El001G004120
OG0000185	jg33822	El006G317340, El007G342730, El007G358220
OG0000185	jg7346, jg6686	El001G004130
OG0000187	jg9234, jg9235	El003G151270
OG0000187	jg9230	El003G151220
OG0000189	jg3298	El004G229250
OG0000189	jg8545	El003G144190, El001G061400, El001G061930
OG0000189	jg13671	El001G047730
OG0000189	jg8547	El003G144180
OG0000190	jg7702	El001G005540
OG0000190	jg7704	El001G005520
OG0000190	jg7703	El001G005530
OG0000190	jg7707	El001G005500
OG0000190	jg7705	El001G005510
OG0000190	jg32186	El005G265350
OG0000191	jg2134	El005G254650
OG0000191	jg27860, jg27859	El005G274440, El005G274460, El005G274720
OG0000192	jg30670	El002G105680
OG0000192	jg8064	El001G002000
OG0000192	jg3362	El002G105660
OG0000192	jg30833	El002G107880
OG0000192	jg30665	El002G105610
OG0000192	jg30667, jg30662, jg30666	El002G105620
OG0000192	jg30668	El002G105690
OG0000193	jg26576, jg26577	El006G309730
OG0000193	jg26297	El005G259130
OG0000193	jg26298, jg26296	El002G132160, El002G132130, El005G259240
OG0000195	jg17567	El006G308260
OG0000195	jg19387, jg15712, jg15648	El001G028150
OG0000195	jg2098	El003G186220
OG0000195	jg12245	El004G215670
OG0000195	jg14060	El001G012120
OG0000196	jg31432	El002G115040
OG0000196	jg31559	El002G116380
OG0000196	jg31430	El002G115030
OG0000197	jg12792	El003G193160
OG0000197	jg28098	El005G275730, El005G275770, El005G276170
OG0000197	jg12682	El003G184300, El002G120020, El003G191670
OG0000197	jg12633	El003G190970, El003G190840
OG0000200	jg31833	El002G119250
OG0000200	jg28943	El004G214290
OG0000200	jg14818	El004G202190
OG0000200	jg9719	El003G156950
OG0000200	jg12382, jg12383	El003G187150, El003G187490, El001G041980, El003G187480, El003G180990
OG0000201	jg26412	El005G260650
OG0000201	jg26411	El005G260640
OG0000201	jg26413	El005G260660
OG0000201	jg26414	El005G260680, El005G260670
OG0000201	jg26422	El005G260820
OG0000201	jg26418	El005G260710
OG0000202	jg7315	El001G009350
OG0000202	jg25880	El005G254420
OG0000202	jg26502	El005G261620, El005G261760
OG0000202	jg26504, jg26509	El005G261630
OG0000203	jg24349	El005G239330, El005G239300
OG0000203	jg24346, jg24347	El005G239360, El005G239320, El005G239280, El007G349670
OG0000203	jg9421, jg9422	El003G153180
OG0000203	jg24303	El005G238860
OG0000204	jg15213	El002G082910, El002G082880
OG0000204	jg26496	El005G261570
OG0000204	jg26333	El005G259630
OG0000205	jg16530	El005G273080
OG0000205	jg16527, jg27591	El005G273070, El006G312030
OG0000205	jg11592, jg11594	El003G178380, El003G178560, El003G178400, El003G178460
OG0000205	jg32768	El002G129620
OG0000205	jg32767	El002G129730, El002G129760, El002G129780, El002G129740, El002G129710
OG0000206	jg33290	El001G018920
OG0000207	jg3556	El004G232160
OG0000207	jg30217	El002G100990
OG0000208	jg32803, jg32805	El002G130530, El002G130520
OG0000208	jg12428	El001G042580
OG0000208	jg8417	El006G317590
OG0000208	jg9182	El003G150670
OG0000208	jg8418	El003G143000
OG0000208	jg21871	El007G341810
