Orthogroup	Arabidopsis_arenosa	Brassica_oleracea
OG0000017	jg21095	XP_013632401.1, XP_013624672.1, XP_013613669.1, XP_013589042.1, XP_013608147.1, XP_013624038.1, XP_013601111.1, XP_013594657.1, XP_013603153.1, XP_013632846.1, XP_013616619.1, XP_013626814.1, XP_013632054.1, XP_013626793.1, XP_013601623.1, XP_013589244.1, XP_013624895.1, XP_013617516.1, XP_013632844.1, XP_013615448.1, XP_013633384.1, XP_013633218.1, XP_013601120.1, XP_013617481.1, XP_013624951.1
OG0000017	jg11431	XP_013607958.1, XP_013594902.1, XP_013601171.1
OG0000017	jg6883	XP_013632836.1, XP_013585421.1
OG0000017	jg6884	XP_013601147.1
OG0000018	jg25715	XP_013613761.1
OG0000019	jg26287	XP_013627832.1
OG0000019	jg13840	XP_013639582.1
OG0000019	jg13838, jg27639, jg22122, jg16702	XP_013601179.1, XP_013601186.1, XP_013639515.1, XP_013594913.1, XP_013624987.1
OG0000019	jg13487, jg13649, jg11481, jg20674	XP_013616817.1, XP_013586656.1
OG0000021	jg17386, jg13577	XP_013617855.1
OG0000021	jg12206	XP_013589622.1
OG0000022	jg6914	XP_013602970.1
OG0000023	jg10174	XP_013598807.1
OG0000023	jg10189, jg10184, jg10183	XP_013598658.1
OG0000023	jg10181	XP_013631155.1
OG0000023	jg7523	XP_013624060.1
OG0000023	jg7521	XP_013608654.1
OG0000023	jg7526	XP_013608656.1
OG0000023	jg7533, jg7537, jg7530	XP_013617506.1
OG0000023	jg10191	XP_013625142.1
OG0000023	jg10192	XP_013588839.1
OG0000023	jg10190	XP_013598637.1
OG0000024	jg2022	XP_013639775.1
OG0000025	jg22952	XP_013608214.1
OG0000025	jg22247, jg22250	XP_013618838.1, XP_013617013.1, XP_013617012.1, XP_013617023.1, XP_013619638.1, XP_013620896.1, XP_013615558.1
OG0000025	jg12583, jg12582, jg22219	XP_013619743.1, XP_013619793.1
OG0000025	jg8946, jg8944	XP_013629798.1, XP_013624984.1, XP_013609443.1, XP_013625644.1, XP_013629713.1, XP_013626427.1
OG0000025	jg22262, jg22279, jg22270, jg22269, jg22278, jg22242	XP_013617015.1, XP_013617014.1
OG0000025	jg8748	XP_013614695.1, XP_013624780.1, XP_013624779.1
OG0000025	jg8750	XP_013614694.1, XP_013624781.1, XP_013626875.1
OG0000025	jg4646	XP_013589427.1, XP_013625541.1
OG0000025	jg21837, jg4645	XP_013589429.1, XP_013615643.1, XP_013614785.1, XP_013626289.1
OG0000027	jg31665, jg31668, jg27402, jg18984	XP_013632478.1
OG0000027	jg14278, jg15770, jg15695, jg15696, jg15771	XP_013605203.1
OG0000028	jg13951, jg1780, jg13681, jg3965, jg11165, jg14797, jg11997, jg6737, jg2197, jg17461, jg12004, jg26958, jg13640, jg2465, jg27218, jg11460, jg33138, jg30060, jg20837	XP_013639720.1
OG0000028	jg21311	XP_013639737.1
OG0000029	jg5864, jg27798, jg17174, jg18126	XP_013624554.1
OG0000029	jg16768	XP_013593417.1
OG0000030	jg11609	XP_013589285.1
OG0000030	jg17129	XP_013624692.1, XP_013594980.1
OG0000030	jg900, jg26487, jg11586, jg11588	XP_013594894.1
OG0000031	jg663, jg481, jg538, jg645, jg586, jg583, jg572, jg642	XP_013606456.1
OG0000031	jg29724	XP_013601047.1
OG0000031	jg29711	XP_013604688.1
OG0000031	jg5495	XP_013611057.1
OG0000031	jg12744	XP_013635968.1
OG0000031	jg25741	XP_013609571.1
OG0000031	jg9770	XP_013590021.1
OG0000031	jg638	XP_013606166.1
OG0000031	jg372	XP_013603447.1
OG0000033	jg10203, jg10197, jg10193	XP_013603110.1, XP_013598717.1, XP_013595252.1, XP_013595253.1
OG0000033	jg10200	XP_013595249.1, XP_013595246.1
OG0000033	jg10425	XP_013594180.1, XP_013598071.1
OG0000033	jg10175	XP_013598971.1
OG0000033	jg10177	XP_013598676.1, XP_013598684.1
OG0000033	jg10198	XP_013595245.1
OG0000033	jg10195, jg10202	XP_013593131.1
OG0000033	jg7784	XP_013607897.1
OG0000034	jg32649, jg13995	XP_013589341.1, XP_013617400.1
OG0000035	jg25048	XP_013635393.1, XP_013635413.1, XP_013635714.1, XP_013585248.1, XP_013632139.1, XP_013635377.1, XP_013635430.1, XP_013635523.1, XP_013635414.1, XP_013635604.1, XP_013633670.1, XP_013634956.1
OG0000035	jg23606, jg20747, jg20748	XP_013634382.1
OG0000035	jg18309	XP_013589584.1, XP_013619895.1
OG0000035	jg12648, jg12649	XP_013624477.1
OG0000038	jg15287	XP_013601641.1, XP_013613512.1
OG0000038	jg25018, jg31052, jg32001	XP_013633414.1
OG0000038	jg12601, jg12599	XP_013607777.1
OG0000038	jg25017, jg25016, jg25015	XP_013583416.1, XP_013583423.1, XP_013586481.1
OG0000039	jg6819	XP_013588982.1, XP_013617440.1, XP_013632928.1, XP_013589052.1
OG0000040	jg31203	XP_013589717.1, XP_013593712.1, XP_013589720.1
OG0000040	jg25347	XP_013632678.1
OG0000040	jg25272	XP_013614569.1, XP_013634175.1
OG0000040	jg738, jg25360	XP_013633602.1, XP_013584822.1
OG0000040	jg2112	XP_013624262.1
OG0000040	jg2274	XP_013615042.1
OG0000042	jg17939	XP_013617799.1
OG0000044	jg1834, jg309, jg32416, jg1035, jg17283, jg1573	XP_013633382.1, XP_013596464.1, XP_013617808.1, XP_013617807.1, XP_013594734.1, XP_013594735.1, XP_013589296.1, XP_013617147.1, XP_013591267.1
OG0000044	jg13501, jg20886, jg12140	XP_013623958.1, XP_013589222.1, XP_013632674.1, XP_013639308.1
OG0000045	jg21124	XP_013583445.1, XP_013608007.1, XP_013608008.1
OG0000046	jg12463, jg12464	XP_013635767.1
OG0000046	jg12337	XP_013636750.1
OG0000046	jg10780	XP_013611234.1
OG0000046	jg2195, jg2209, jg2212	XP_013613580.1
OG0000046	jg2189	XP_013620167.1
OG0000046	jg2188, jg2193	XP_013620953.1, XP_013615300.1, XP_013613911.1
OG0000046	jg12331	XP_013634420.1
OG0000046	jg12330	XP_013592178.1
OG0000047	jg14037	XP_013625005.1
OG0000047	jg32532, jg14038	XP_013619235.1
OG0000048	jg5635	XP_013610082.1, XP_013621466.1, XP_013619534.1, XP_013621467.1, XP_013626627.1, XP_013625931.1
OG0000048	jg5646	XP_013608599.1, XP_013621007.1, XP_013609935.1, XP_013626973.1
OG0000048	jg5640	XP_013626494.1
OG0000048	jg5634, jg5644	XP_013621464.1, XP_013616580.1, XP_013608597.1, XP_013608598.1, XP_013609522.1
OG0000049	jg10344	XP_013615307.1
OG0000050	jg21178	XP_013589102.1, XP_013616821.1
OG0000052	jg29349	XP_013609148.1, XP_013623987.1, XP_013601904.1
OG0000052	jg19557	XP_013635946.1, XP_013623985.1
OG0000052	jg24823	XP_013597211.1
OG0000052	jg907	XP_013623984.1
OG0000052	jg19560	XP_013610546.1
OG0000053	jg32414, jg31675	XP_013601567.1, XP_013624930.1, XP_013639634.1, XP_013617450.1, XP_013594582.1, XP_013632782.1
OG0000053	jg1077, jg28178, jg4817, jg5943, jg25268, jg33384, jg11480, jg32839	XP_013597073.1, XP_013627758.1, XP_013610732.1
OG0000053	jg27640, jg13837	XP_013601178.1, XP_013605214.1, XP_013604150.1, XP_013585552.1, XP_013585426.1, XP_013597521.1, XP_013628178.1, XP_013585461.1, XP_013615848.1
OG0000055	jg14491	XP_013628196.1
OG0000055	jg728	XP_013634799.1
OG0000055	jg743	XP_013631517.1
OG0000056	jg12109	XP_013624988.1
OG0000056	jg20178	XP_013632615.1
OG0000056	jg12110, jg25787	XP_013639732.1, XP_013626954.1, XP_013638947.1, XP_013617766.1, XP_013627136.1, XP_013632954.1, XP_013629486.1, XP_013601558.1, XP_013607606.1, XP_013607741.1, XP_013633059.1, XP_013632733.1, XP_013623893.1, XP_013617628.1, XP_013607578.1, XP_013589124.1
OG0000057	jg25908	XP_013615287.1
OG0000057	jg25759, jg25744	XP_013614020.1
OG0000057	jg12073	XP_013583313.1, XP_013583310.1
OG0000057	jg1195, jg14633	XP_013585893.1
OG0000057	jg25886, jg26868	XP_013606594.1, XP_013593729.1
OG0000057	jg26780	XP_013589549.1
OG0000058	jg27469, jg29921, jg1167, jg13112, jg18866, jg12231, jg7250, jg7021, jg20411, jg13499, jg11079, jg14182, jg13958, jg21898, jg21900, jg14025, jg21057, jg8024	XP_013624813.1
OG0000061	jg1799, jg24928, jg17678, jg1125, jg28032, jg32127, jg20814	XP_013628529.1
OG0000061	jg5265, jg31440, jg25892, jg12998, jg302, jg26776, jg6463, jg14036	XP_013585220.1, XP_013616683.1, XP_013635812.1
OG0000062	jg7377	XP_013591442.1, XP_013594277.1, XP_013623728.1, XP_013624643.1, XP_013615594.1, XP_013624395.1, XP_013626489.1, XP_013632865.1, XP_013583449.1, XP_013624452.1, XP_013632428.1, XP_013633115.1
OG0000063	jg21249	XP_013632073.1, XP_013622579.1, XP_013631522.1, XP_013623511.1, XP_013633957.1, XP_013630704.1, XP_013615993.1, XP_013637962.1, XP_013605168.1, XP_013583915.1, XP_013588638.1, XP_013600442.1, XP_013602591.1, XP_013625358.1
OG0000064	jg8362	XP_013598018.1
OG0000066	jg1404	XP_013599938.1, XP_013618388.1, XP_013621521.1, XP_013606481.1, XP_013631332.1, XP_013627996.1, XP_013637372.1, XP_013609086.1
OG0000067	jg24838, jg24839, jg4261, jg4260, jg4298	XP_013623793.1, XP_013626885.1, XP_013606907.1, XP_013611652.1, XP_013610551.1
OG0000067	jg4679	XP_013623517.1, XP_013623813.1, XP_013627886.1, XP_013602672.1, XP_013629845.1, XP_013626915.1, XP_013623762.1
OG0000069	jg32690	XP_013632987.1, XP_013607595.1, XP_013617021.1, XP_013632443.1
OG0000069	jg32034	XP_013617425.1
OG0000071	jg17558	XP_013601126.1, XP_013601850.1, XP_013614231.1
OG0000071	jg28233	XP_013639677.1, XP_013589425.1, XP_013601846.1, XP_013617814.1, XP_013608108.1, XP_013601356.1, XP_013601674.1, XP_013639850.1, XP_013623769.1
OG0000071	jg15329	XP_013617293.1, XP_013607816.1
OG0000071	jg25723	XP_013624609.1, XP_013623159.1, XP_013624755.1
OG0000072	jg16476, jg16484, jg29790, jg9963, jg13945, jg11738, jg2091	XP_013607861.1, XP_013583419.1, XP_013639649.1, XP_013594521.1, XP_013633807.1, XP_013594821.1, XP_013615002.1, XP_013595200.1, XP_013597172.1
OG0000073	jg20416, jg20443, jg20442	XP_013628727.1
OG0000073	jg20412	XP_013619061.1, XP_013611210.1
OG0000074	jg30930	XP_013596256.1
OG0000074	jg17689	XP_013596253.1, XP_013596633.1
OG0000074	jg30936	XP_013586913.1
OG0000074	jg30922	XP_013603462.1, XP_013584900.1, XP_013586910.1
OG0000075	jg4863, jg4865	XP_013584290.1
OG0000075	jg17315	XP_013608862.1
OG0000075	jg29545, jg29543	XP_013615023.1
OG0000075	jg10637, jg14429	XP_013594256.1
OG0000076	jg20912, jg15191	XP_013607524.1
OG0000076	jg20913, jg15189	XP_013630964.1, XP_013615703.1
OG0000076	jg1458, jg1459, jg1457, jg13392, jg13393, jg13394	XP_013610604.1
OG0000076	jg13388, jg13373, jg13390	XP_013599445.1, XP_013594267.1, XP_013594927.1
OG0000077	jg8424, jg8422	XP_013602439.1, XP_013602527.1, XP_013622394.1, XP_013618964.1, XP_013596173.1
OG0000077	jg8428	XP_013596175.1
OG0000078	jg9173	XP_013621386.1, XP_013617746.1, XP_013632635.1, XP_013632608.1, XP_013594937.1, XP_013624880.1, XP_013591282.1, XP_013615431.1, XP_013632718.1, XP_013617720.1, XP_013629722.1, XP_013624329.1
OG0000079	jg24132, jg24131	XP_013632057.1
OG0000079	jg15929	XP_013622466.1, XP_013604174.1, XP_013634926.1
OG0000079	jg17321, jg17317, jg17322	XP_013604627.1
OG0000079	jg15922	XP_013604629.1
OG0000079	jg15911, jg15928	XP_013614702.1, XP_013614700.1
OG0000080	jg32551, jg32841, jg32864, jg32857	XP_013615702.1
OG0000080	jg18012	XP_013633314.1
OG0000081	jg5636	XP_013624720.1
OG0000083	jg32007, jg27544, jg27541	XP_013639459.1
OG0000083	jg2769	XP_013588052.1, XP_013588051.1, XP_013626917.1
OG0000083	jg26553	XP_013612566.1
OG0000083	jg24440, jg16886, jg16884	XP_013593181.1
OG0000084	jg17289	XP_013631674.1
OG0000084	jg16989, jg17288	XP_013633255.1, XP_013632293.1, XP_013633256.1, XP_013635632.1
OG0000085	jg27503	XP_013632932.1, XP_013617219.1
OG0000086	jg1275, jg1277, jg1270, jg1278, jg1271, jg1274, jg1272, jg1273, jg1280, jg1279, jg1276, jg1269, jg20985, jg20984, jg20982, jg20983, jg20981, jg20978, jg20980, jg20977, jg20975, jg20976, jg20974, jg20979, jg20973	XP_013589571.1, XP_013610622.1, XP_013610543.1, XP_013610576.1, XP_013610675.1, XP_013610335.1, XP_013607248.1, XP_013607956.1, XP_013607251.1, XP_013607249.1, XP_013610623.1, XP_013607250.1, XP_013610669.1
OG0000087	jg6235	XP_013598457.1
OG0000087	jg17972	XP_013637001.1, XP_013636732.1
OG0000087	jg23223	XP_013629087.1, XP_013629292.1, XP_013629400.1
OG0000087	jg5068	XP_013611442.1
OG0000087	jg18593	XP_013636563.1
OG0000087	jg20749	XP_013612217.1, XP_013620476.1, XP_013598244.1
OG0000087	jg10485	XP_013598013.1, XP_013621920.1, XP_013598364.1
OG0000087	jg3235	XP_013592047.1
OG0000088	jg14230, jg14231	XP_013603553.1
OG0000088	jg17633	XP_013629613.1, XP_013613460.1, XP_013612884.1, XP_013626980.1, XP_013626981.1, XP_013626984.1, XP_013610320.1, XP_013626983.1, XP_013626986.1, XP_013630073.1
OG0000088	jg5910	XP_013627653.1, XP_013607358.1
OG0000088	jg21695	XP_013631070.1
OG0000089	jg4799	XP_013629368.1, XP_013611822.1, XP_013620685.1
OG0000089	jg26012, jg33022	XP_013608560.1, XP_013629201.1, XP_013586823.1
OG0000089	jg22870, jg14433	XP_013623319.1
OG0000090	jg4483, jg30544, jg16631	XP_013628560.1
OG0000090	jg3251	XP_013591920.1, XP_013588434.1, XP_013616229.1
OG0000090	jg29403	XP_013620477.1
OG0000091	jg11947, jg19288, jg20822	XP_013616988.1, XP_013639594.1, XP_013607638.1, XP_013632442.1
OG0000093	jg15862	XP_013632132.1, XP_013632130.1, XP_013591322.1
OG0000093	jg15863	XP_013603307.1, XP_013600272.1, XP_013604009.1
OG0000093	jg15851	XP_013588854.1
OG0000093	jg15841, jg15850	XP_013609262.1
OG0000096	jg1247	XP_013630204.1
OG0000096	jg20644	XP_013613462.1
OG0000097	jg7810	XP_013599827.1, XP_013584794.1
OG0000097	jg21543, jg7817	XP_013631333.1
OG0000098	jg650	XP_013613822.1
OG0000098	jg649	XP_013608625.1
OG0000098	jg849, jg850	XP_013593751.1
OG0000098	jg29677	XP_013638907.1
OG0000098	jg29672	XP_013600689.1
OG0000098	jg29671	XP_013592465.1
OG0000098	jg11302, jg29664	XP_013604385.1
OG0000098	jg32282, jg12025	XP_013600631.1
OG0000099	jg459, jg7310	XP_013624375.1
OG0000099	jg455, jg458, jg453, jg457	XP_013610227.1, XP_013610529.1
OG0000101	jg476	XP_013611728.1
OG0000101	jg492	XP_013611226.1, XP_013611228.1, XP_013608605.1
OG0000101	jg1001	XP_013606369.1
OG0000104	jg29111	XP_013605923.1
OG0000104	jg33004	XP_013590329.1
OG0000104	jg26323	XP_013625710.1
OG0000104	jg33347	XP_013605120.1
OG0000104	jg17886, jg17879	XP_013634622.1
OG0000104	jg17885, jg17878	XP_013634487.1
OG0000105	jg2302, jg18124	XP_013617736.1
OG0000105	jg7189, jg11867, jg6721, jg13803, jg26770	XP_013617557.1
OG0000105	jg7236, jg13734	XP_013607814.1, XP_013616934.1, XP_013594384.1
OG0000105	jg7619	XP_013614052.1, XP_013601740.1, XP_013588946.1, XP_013639398.1, XP_013633046.1
OG0000105	jg27619, jg7054, jg7052	XP_013595039.1, XP_013595114.1, XP_013601685.1, XP_013623853.1, XP_013589516.1, XP_013624168.1, XP_013623812.1, XP_013589437.1, XP_013607963.1, XP_013617668.1, XP_013600961.1, XP_013594358.1, XP_013624287.1, XP_013617536.1, XP_013624545.1, XP_013601729.1, XP_013624772.1, XP_013633159.1
OG0000105	jg17571	XP_013617946.1, XP_013624642.1, XP_013608000.1, XP_013583464.1, XP_013614438.1, XP_013617683.1, XP_013607815.1, XP_013594393.1, XP_013583479.1, XP_013626528.1, XP_013617906.1, XP_013594536.1, XP_013628948.1, XP_013589455.1, XP_013617529.1, XP_013624596.1, XP_013589280.1, XP_013624369.1, XP_013594585.1, XP_013632695.1, XP_013589353.1, XP_013632746.1, XP_013594463.1, XP_013617871.1, XP_013628130.1, XP_013607669.1, XP_013624341.1, XP_013617462.1, XP_013607934.1, XP_013639404.1, XP_013608559.1
OG0000106	jg6740, jg25958	XP_013627729.1
OG0000106	jg26888, jg26886	XP_013627644.1
OG0000107	jg26157	XP_013586700.1
OG0000107	jg26159	XP_013635068.1, XP_013624257.1
OG0000107	jg26158	XP_013623726.1
OG0000107	jg26163	XP_013639727.1
OG0000107	jg26160	XP_013583762.1, XP_013615032.1
OG0000108	jg6402, jg6418, jg6403, jg6404, jg7433, jg17595, jg31284, jg16872	XP_013617934.1
OG0000108	jg2306	XP_013614188.1, XP_013615334.1
OG0000110	jg15960	XP_013592532.1
OG0000110	jg15959	XP_013590480.1
OG0000110	jg15966	XP_013591144.1, XP_013591210.1
OG0000110	jg15969	XP_013589380.1
OG0000111	jg12398, jg12393, jg12389, jg12394, jg12395	XP_013629621.1, XP_013592758.1
OG0000111	jg11226, jg11227	XP_013601291.1
OG0000111	jg15428	XP_013603252.1, XP_013605672.1, XP_013602151.1, XP_013605673.1, XP_013602872.1, XP_013603171.1, XP_013603836.1, XP_013603745.1
OG0000112	jg21770	XP_013623898.1, XP_013623897.1
OG0000113	jg12808	XP_013609521.1
OG0000113	jg509	XP_013607642.1
OG0000113	jg14194, jg14191	XP_013584232.1, XP_013624802.1, XP_013604666.1
OG0000114	jg1324, jg1320, jg1319, jg1317, jg1326, jg1329, jg1330, jg27021	XP_013586604.1, XP_013629019.1
OG0000115	jg12949, jg10772, jg12951	XP_013585404.1, XP_013595479.1, XP_013585516.1, XP_013604163.1, XP_013594696.1, XP_013583368.1, XP_013617805.1, XP_013603224.1, XP_013601527.1, XP_013600898.1, XP_013610632.1, XP_013627570.1, XP_013607945.1, XP_013608455.1, XP_013607573.1, XP_013633426.1, XP_013595063.1, XP_013631266.1, XP_013626459.1, XP_013635056.1, XP_013588975.1, XP_013603863.1, XP_013614570.1, XP_013639108.1, XP_013594310.1, XP_013633134.1, XP_013632434.1, XP_013614848.1, XP_013614295.1, XP_013596880.1, XP_013620116.1, XP_013597400.1, XP_013589543.1, XP_013596556.1, XP_013594823.1, XP_013617577.1, XP_013589523.1, XP_013596540.1, XP_013634477.1, XP_013590257.1, XP_013629354.1, XP_013633375.1, XP_013623931.1, XP_013617985.1, XP_013583922.1, XP_013589494.1, XP_013632694.1, XP_013589552.1, XP_013594993.1, XP_013635594.1, XP_013623774.1
OG0000116	jg1481, jg15996, jg6981, jg14689, jg7083, jg1902	XP_013614000.1, XP_013633764.1, XP_013586376.1, XP_013632656.1
OG0000118	jg13696, jg13697, jg13695	XP_013597065.1, XP_013591106.1, XP_013610702.1, XP_013585759.1, XP_013624096.1, XP_013603466.1
OG0000118	jg3144	XP_013624024.1, XP_013594861.1, XP_013594866.1, XP_013594868.1, XP_013588950.1, XP_013594869.1, XP_013594864.1
OG0000119	jg20878	XP_013617082.1, XP_013633329.1
OG0000119	jg13725, jg9836, jg1719, jg21576, jg27974, jg7024	XP_013612859.1
OG0000120	jg893, jg889	XP_013610889.1, XP_013607713.1
OG0000120	jg21600, jg21583, jg21561, jg21534, jg21584, jg21558	XP_013601021.1, XP_013601023.1, XP_013588993.1, XP_013588958.1, XP_013588961.1
OG0000120	jg13317, jg4214, jg4213, jg2215, jg14374	XP_013608535.1
OG0000122	jg22508	XP_013620024.1
OG0000122	jg32572	XP_013623863.1
OG0000122	jg22505	XP_013610314.1
OG0000122	jg22487, jg22488	XP_013627609.1, XP_013627567.1, XP_013623864.1
OG0000123	jg31338	XP_013627145.1
OG0000123	jg9826	XP_013597957.1, XP_013589486.1
OG0000124	jg27275, jg20993, jg25905, jg11327, jg33081, jg14104, jg9592, jg12111, jg17565	XP_013624994.1, XP_013608101.1
OG0000125	jg6123	XP_013625682.1, XP_013606602.1
OG0000125	jg14378, jg22931	XP_013606787.1
OG0000125	jg17851	XP_013631988.1, XP_013622502.1, XP_013631825.1
OG0000126	jg21202, jg10180, jg32086, jg12955, jg6735, jg10767	XP_013601325.1, XP_013617436.1, XP_013601221.1, XP_013613780.1, XP_013607983.1, XP_013594701.1, XP_013633290.1, XP_013589069.1, XP_013633097.1, XP_013617824.1, XP_013632703.1, XP_013624773.1, XP_013633300.1, XP_013614836.1, XP_013584923.1, XP_013632633.1, XP_013589165.1, XP_013589656.1, XP_013624240.1, XP_013624618.1, XP_013608091.1, XP_013594444.1, XP_013623946.1, XP_013617968.1, XP_013589470.1
OG0000126	jg13974	XP_013601019.1, XP_013613934.1, XP_013633096.1, XP_013617967.1
OG0000127	jg3917, jg3918	XP_013610892.1
OG0000127	jg20918, jg3920	XP_013610053.1
OG0000127	jg11550	XP_013583436.1
OG0000127	jg24836	XP_013583434.1, XP_013589633.1, XP_013634840.1
OG0000127	jg29526, jg29071	XP_013595164.1, XP_013639264.1
OG0000131	jg6733	XP_013626985.1, XP_013632447.1, XP_013639277.1, XP_013614501.1, XP_013632702.1
OG0000132	jg16608, jg16609	XP_013617424.1, XP_013584766.1, XP_013610162.1, XP_013636250.1, XP_013626247.1, XP_013594380.1, XP_013594379.1, XP_013615167.1, XP_013594376.1, XP_013589668.1, XP_013615592.1
OG0000132	jg21091, jg22360, jg6813, jg6561	XP_013617705.1, XP_013614960.1, XP_013624699.1, XP_013590002.1, XP_013615166.1, XP_013619242.1, XP_013624601.1, XP_013624600.1, XP_013617165.1, XP_013617423.1, XP_013637479.1
OG0000132	jg32304, jg32306, jg17285, jg2010	XP_013590735.1, XP_013623439.1
OG0000132	jg32193	XP_013589055.1
OG0000133	jg7039	XP_013639545.1, XP_013632529.1, XP_013590718.1
OG0000133	jg6891	XP_013601903.1, XP_013639346.1, XP_013608115.1, XP_013601604.1, XP_013583259.1
OG0000133	jg17431	XP_013594660.1, XP_013589370.1, XP_013591167.1, XP_013617109.1, XP_013589335.1, XP_013601241.1, XP_013608144.1, XP_013635354.1, XP_013627323.1, XP_013589606.1, XP_013631036.1, XP_013624677.1, XP_013633354.1
OG0000136	jg12260	XP_013633763.1
OG0000137	jg17603	XP_013607431.1, XP_013637635.1, XP_013635053.1, XP_013591446.1, XP_013624397.1, XP_013624662.1, XP_013593825.1, XP_013583307.1, XP_013620971.1, XP_013617333.1, XP_013624379.1, XP_013594691.1, XP_013594525.1, XP_013596613.1, XP_013630987.1, XP_013624674.1, XP_013599415.1, XP_013619803.1, XP_013631416.1, XP_013594338.1, XP_013628588.1, XP_013599145.1, XP_013638220.1, XP_013608176.1, XP_013636294.1, XP_013587564.1
OG0000137	jg27681	XP_013605989.1, XP_013615494.1
OG0000137	jg12674	XP_013633165.1
OG0000138	jg12474	XP_013634787.1
OG0000138	jg13819	XP_013607487.1
OG0000138	jg13817, jg13821	XP_013615083.1
OG0000139	jg6848, jg7487, jg11793	XP_013632773.1, XP_013633111.1, XP_013624770.1, XP_013631898.1
OG0000139	jg6850	XP_013601300.1, XP_013631642.1, XP_013601351.1, XP_013632921.1, XP_013632922.1
OG0000140	jg22845	XP_013626670.1
OG0000140	jg22800, jg21885, jg22801	XP_013620395.1, XP_013620391.1, XP_013618644.1, XP_013620392.1, XP_013620394.1
OG0000140	jg22851, jg22847	XP_013609630.1
OG0000142	jg17934, jg17935	XP_013633570.1
OG0000142	jg17933	XP_013622088.1
OG0000142	jg18114, jg18115	XP_013634388.1
OG0000143	jg19287, jg11883	XP_013617111.1, XP_013601166.1, XP_013624769.1
OG0000144	jg32527	XP_013597156.1
OG0000144	jg6805	XP_013635059.1
OG0000145	jg12283, jg27177	XP_013639773.1, XP_013607762.1, XP_013617441.1, XP_013632866.1
OG0000145	jg2060	XP_013632530.1, XP_013627239.1, XP_013590108.1, XP_013613646.1
OG0000145	jg27538	XP_013589184.1, XP_013601176.1, XP_013594499.1, XP_013594633.1, XP_013632546.1, XP_013639566.1, XP_013594686.1, XP_013624163.1
OG0000146	jg22363	XP_013608191.1
OG0000146	jg22365, jg22366	XP_013618766.1, XP_013610172.1, XP_013610274.1
OG0000146	jg22364	XP_013626781.1
OG0000147	jg28078	XP_013597841.1, XP_013611416.1
OG0000147	jg22635	XP_013620594.1
OG0000147	jg3697	XP_013588689.1
OG0000147	jg13954	XP_013622891.1
OG0000147	jg27288	XP_013623185.1
