Orthogroup	Arabidopsis_arenosa	Cardamine_glauca
OG0000052	jg19551, jg19550, jg19552, jg19554, jg18423	Cg005G173390, Cg013G330370
OG0000052	jg19564	Cg003G084890
OG0000052	jg19560	Cg005G163540
OG0000052	jg19563, jg19562, jg19561	Cg005G187360
OG0000053	jg1077, jg28178, jg4817, jg5943, jg25268, jg33384, jg11480, jg32839	Cg001G027560, Cg008G306580, Cg001G031950, Cg007G254370, Cg004G134350
OG0000053	jg27640, jg13837	Cg003G084420
OG0000055	jg674, jg739	Cg007G248480
OG0000055	jg14491	Cg002G060080
OG0000055	jg748	Cg007G248550
OG0000055	jg721	Cg007G248360
OG0000055	jg728	Cg007G248410
OG0000055	jg1420	Cg006G223020
OG0000055	jg745	Cg007G248540, Cg007G248530
OG0000056	jg12110	Cg007G262570, Cg007G263580
OG0000056	jg25787	Cg007G265440, Cg006G204190
OG0000057	jg25759, jg25744	Cg004G133200
OG0000058	jg1166, jg14086	Cg007G261210
OG0000061	jg1125, jg28032, jg32127, jg20814	Cg003G083990, Cg008G318200
OG0000062	jg7377	Cg007G260660, Cg005G180090
OG0000063	jg17853	Cg006G238240
OG0000064	jg8362	Cg001G000750
OG0000064	jg18482	Cg005G172820
OG0000066	jg27126	Cg007G276160
OG0000066	jg3219, jg3220	Cg014G331850, Cg002G064640, Cg003G077790, Cg002G064590, Cg007G254880
OG0000066	jg30515	Cg006G226080
OG0000066	jg13471	Cg008G290840
OG0000066	jg1404	Cg003G113360
OG0000067	jg24838, jg24839	Cg004G154470
OG0000067	jg30520, jg22052, jg22034, jg32039, jg24035, jg24037, jg24042, jg4088, jg4089, jg4055, jg14204, jg14390, jg14389	Cg008G283860, Cg008G284100, Cg008G284110, Cg008G284020, Cg008G283610
OG0000067	jg12213	Cg007G270520
OG0000067	jg4679	Cg008G318950
OG0000071	jg17558	Cg005G184980
OG0000071	jg28233	Cg006G240460
OG0000072	jg13895, jg13896	Cg001G029810, Cg001G029820
OG0000072	jg17450, jg17336, jg27058	Cg008G307970
OG0000073	jg21037	Cg004G150010
OG0000073	jg1752, jg6091	Cg008G302430
OG0000073	jg13687, jg20423	Cg008G315120
OG0000074	jg30935, jg30933	Cg006G222210
OG0000074	jg30929	Cg006G222290
OG0000074	jg30938	Cg006G222160
OG0000074	jg30932	Cg006G222200
OG0000074	jg30931	Cg006G222240, Cg006G222220
OG0000074	jg30936	Cg006G222190
OG0000074	jg30922	Cg006G222350
OG0000074	jg30923, jg30924	Cg006G222340
OG0000074	jg30937	Cg006G222180
OG0000075	jg4863, jg4865	Cg008G291500, Cg008G290800, Cg008G290770
OG0000075	jg10637	Cg008G323300
OG0000076	jg14762	Cg002G057890
OG0000076	jg20913, jg15189	Cg002G054100
OG0000076	jg1458, jg1459, jg1457	Cg007G272900
OG0000076	jg13373	Cg002G071650
OG0000077	jg26791	Cg004G151030
OG0000077	jg7664	Cg005G160440
OG0000078	jg9173	Cg002G071190
OG0000079	jg24132, jg24131	Cg004G118210
OG0000079	jg15929, jg15924, jg15925	Cg002G047470
OG0000079	jg17321, jg17317, jg17322	Cg005G185620
OG0000079	jg15922	Cg007G249140
OG0000079	jg15911, jg15928	Cg008G310600, Cg008G310560, Cg008G308930
OG0000080	jg12190	Cg005G158270
OG0000080	jg32548, jg32861, jg32845, jg32993	Cg004G149910
OG0000080	jg18020, jg18016	Cg005G177050, Cg005G176650
OG0000080	jg18012, jg25262	Cg005G177060
OG0000081	jg33221	Cg006G198910
OG0000081	jg5637	Cg008G298360
OG0000081	jg5657	Cg008G298500
OG0000083	jg27544, jg27541	Cg005G178780
OG0000083	jg2771	Cg008G322860
OG0000083	jg26543	Cg004G140410
OG0000083	jg26553	Cg004G140440
OG0000083	jg24440, jg16886, jg16884	Cg005G190480
OG0000083	jg2772	Cg005G190490
OG0000084	jg16996	Cg005G189580
OG0000084	jg16995, jg17274, jg17286, jg17001, jg16991	Cg005G189500
OG0000087	jg6235	Cg008G303510
OG0000087	jg17972	Cg005G177380
OG0000087	jg23223	Cg003G110470
OG0000087	jg5068	Cg008G292710
OG0000087	jg18593	Cg005G171830
OG0000087	jg20749	Cg008G320640
OG0000087	jg10485	Cg001G020160
OG0000087	jg30528	Cg006G225960
OG0000087	jg3235	Cg007G276340
OG0000088	jg17633	Cg005G181240
OG0000088	jg14563, jg27525	Cg002G059450
OG0000088	jg14507	Cg002G059900
OG0000088	jg5910	Cg001G039390, Cg008G300920
OG0000088	jg21695	Cg003G090240, Cg003G095710
OG0000089	jg4799	Cg008G290150
OG0000089	jg26012, jg33022	Cg004G135460
OG0000089	jg18920, jg15311	Cg005G168860
OG0000089	jg22870	Cg003G107020
OG0000090	jg4483, jg30544, jg16631	Cg006G225800
OG0000090	jg21183	Cg008G317760, Cg011G329140
OG0000090	jg3251	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700
OG0000090	jg15233, jg8905	Cg001G005770
OG0000090	jg29403	Cg006G235770
OG0000093	jg15862	Cg002G047960
OG0000093	jg15865	Cg002G047920
OG0000093	jg15861	Cg002G047970
OG0000093	jg27054, jg27053, jg27051, jg27052	Cg004G145440, Cg004G145260
OG0000093	jg15863	Cg002G047940
OG0000093	jg15851	Cg002G048030
OG0000093	jg15841	Cg002G048080
OG0000093	jg15850	Cg002G048040
OG0000096	jg1247	Cg007G252880
OG0000096	jg13128	Cg002G073940
OG0000096	jg13131	Cg002G073840
OG0000096	jg20589	Cg008G322180
OG0000096	jg29337	Cg006G236390
OG0000097	jg7810	Cg003G079780, Cg003G094240
OG0000097	jg7819	Cg003G079770, Cg003G094250
OG0000097	jg7818	Cg003G079750, Cg003G094280
OG0000097	jg11552	Cg001G029830, Cg001G029870
OG0000097	jg7820	Cg003G079730, Cg003G094300
OG0000097	jg7813, jg7812, jg7815, jg7814	Cg003G094290, Cg003G079740
OG0000098	jg849, jg850	Cg007G253040, Cg007G249450
OG0000099	jg7296, jg454, jg459, jg7310, jg27477, jg719, jg720	Cg007G246280, Cg007G246260, Cg007G246270
OG0000099	jg456, jg543, jg542, jg27475, jg7311, jg460, jg451	Cg007G249510
OG0000101	jg1405	Cg007G253920
OG0000104	jg29111	Cg006G238510
OG0000104	jg17896	Cg005G178080
OG0000104	jg17897	Cg005G177920
OG0000104	jg33004	Cg006G200560
OG0000104	jg26323	Cg004G138340
OG0000104	jg17893, jg17886, jg17879, jg17889	Cg005G178050
OG0000104	jg17885, jg17878	Cg005G178070
OG0000105	jg17571	Cg003G084510
OG0000106	jg25957	Cg004G135900, Cg004G134980, Cg004G134990
OG0000106	jg25959, jg6741, jg26029, jg25961, jg6747, jg25960, jg6746, jg26030, jg26027, jg26079, jg27891	Cg004G136130
OG0000106	jg26888, jg26886	Cg001G042030
OG0000107	jg17559, jg17556	Cg005G182320
OG0000107	jg26157	Cg004G136880
OG0000107	jg26159	Cg004G136910
OG0000108	jg17595, jg31284	Cg008G306430
OG0000108	jg27264, jg27221, jg27229, jg27223	Cg004G146470
OG0000108	jg2306	Cg007G245680, Cg007G245670
OG0000109	jg20882, jg6910, jg11931	Cg006G218300, Cg006G206180
OG0000110	jg15960	Cg002G047270
OG0000110	jg15959	Cg002G047280
OG0000110	jg15966	Cg002G047240
OG0000110	jg15957, jg15956	Cg002G047300, Cg002G047310, Cg005G186820
OG0000110	jg15969	Cg007G269260
OG0000111	jg15428	Cg002G051630
OG0000113	jg509, jg1379	Cg007G253910
OG0000114	jg20995, jg20998, jg20997, jg20999, jg20992, jg4953, jg7114, jg1323	Cg008G318090
OG0000114	jg20706	Cg008G320920
OG0000118	jg15265, jg26895, jg27877	Cg003G083280, Cg003G083300
OG0000119	jg13725, jg9836, jg1719, jg21576, jg27974, jg7024	Cg007G255080, Cg002G068550, Cg003G107770, Cg002G060400, Cg001G039470, Cg001G029640, Cg007G255680
OG0000120	jg893, jg889	Cg007G250010, Cg007G249930
OG0000120	jg11313	Cg001G027290
OG0000120	jg21600, jg21583, jg21561, jg21534, jg21584, jg21558	Cg008G308250, Cg008G308040, Cg008G308890, Cg008G310540
OG0000120	jg13317, jg4214	Cg008G285500
OG0000122	jg22508	Cg003G086890
OG0000122	jg22505	Cg003G103770
OG0000122	jg22507	Cg003G103780
OG0000122	jg32166	Cg003G103810
OG0000123	jg31338	Cg006G218510, Cg006G218490
OG0000123	jg29806	Cg001G014410
OG0000123	jg14270	Cg006G232300
OG0000123	jg9826	Cg001G014420
OG0000124	jg20179	Cg002G063920, Cg003G086460
OG0000125	jg15301	Cg002G052860
OG0000125	jg24874, jg3993	Cg008G283340
OG0000125	jg6123	Cg008G302630
OG0000125	jg29136	Cg006G238270
OG0000125	jg22931	Cg003G107610
OG0000125	jg14383	Cg002G061230, Cg002G061270
OG0000125	jg17851	Cg005G178390
OG0000127	jg3920	Cg007G262300, Cg007G263860
OG0000127	jg11550, jg24833	Cg004G124780
OG0000127	jg29525, jg29526, jg29071	Cg007G262280
OG0000133	jg7039	Cg005G185140
OG0000133	jg6891	Cg003G084500, Cg005G185150, Cg004G141220
OG0000136	jg12281	Cg001G037110
OG0000137	jg12674	Cg001G041290
OG0000138	jg12473, jg13824	Cg001G039000
OG0000138	jg12474	Cg008G324060
OG0000138	jg13817, jg13821	Cg002G067580, Cg002G067290
OG0000140	jg14472, jg14471	Cg002G060210
OG0000140	jg22850	Cg003G106820
OG0000140	jg22845	Cg003G106800
OG0000140	jg22800, jg21885, jg22801	Cg003G106450
OG0000140	jg22798, jg22799	Cg003G106440
OG0000140	jg22851, jg22847	Cg003G106810, Cg008G324860, Cg003G096950
OG0000142	jg17940	Cg005G177670
OG0000142	jg17936	Cg005G177630
OG0000142	jg18114, jg18115	Cg005G176030
OG0000144	jg32527, jg4342, jg1809, jg6805	Cg005G182040
OG0000145	jg27362	Cg008G324160, Cg008G308910, Cg001G039950, Cg003G096580, Cg001G035820
OG0000146	jg22363	Cg003G102600
OG0000146	jg21872	Cg003G098470, Cg003G098480
OG0000146	jg22365	Cg003G102620
OG0000146	jg22364	Cg003G102610
OG0000147	jg28078	Cg004G155250
OG0000147	jg9392	Cg001G010340
OG0000147	jg22635	Cg003G104960
OG0000147	jg3697	Cg007G280860
OG0000147	jg27288	Cg004G146670
OG0000147	jg16942	Cg005G189880
OG0000149	jg14423	Cg002G060900
OG0000149	jg14421	Cg002G060880
OG0000149	jg22904	Cg003G107320
OG0000149	jg22901	Cg001G028530
OG0000149	jg14420	Cg002G060920
OG0000150	jg14055	Cg002G064460
OG0000150	jg4290	Cg001G004220
OG0000150	jg14331	Cg002G061890
OG0000150	jg17260, jg17259, jg17257	Cg005G186200
OG0000150	jg14316, jg14315, jg14313	Cg002G061900
OG0000151	jg22050	Cg003G100170
OG0000151	jg24782	Cg004G124340
OG0000151	jg27769	Cg004G152640
OG0000151	jg22463	Cg003G103430
OG0000151	jg12793	Cg007G246070
OG0000154	jg30094	Cg006G229860
OG0000154	jg25213	Cg004G128290
OG0000154	jg24871	Cg004G125060
OG0000154	jg3985	Cg008G283240
OG0000154	jg3984	Cg008G283230
OG0000155	jg9725	Cg001G013440
OG0000155	jg10429	Cg001G019660
OG0000155	jg10428	Cg001G019650
OG0000155	jg25152	Cg004G127780
OG0000156	jg16151	Cg002G045690
OG0000156	jg19951	Cg005G160240
OG0000156	jg19948	Cg005G160250
OG0000157	jg26628, jg26631, jg26630, jg26627	Cg004G141270
OG0000158	jg10511	Cg008G283250
OG0000158	jg8688, jg8430	Cg001G008080
OG0000158	jg28264, jg5270, jg28263, jg16699	Cg005G184100
OG0000161	jg23140, jg23141, jg33435, jg33436	Cg003G109710, Cg003G109720, Cg003G109690
OG0000161	jg21823	Cg003G098030
OG0000161	jg17685, jg17683, jg17687	Cg005G179900, Cg005G180000, Cg005G179820
OG0000161	jg1832	Cg007G262070, Cg007G264010
OG0000161	jg31503	Cg006G215310
OG0000161	jg1847	Cg007G261320
OG0000161	jg1819	Cg008G312840, Cg007G257200
OG0000161	jg1820, jg1821, jg1704	Cg007G257190
OG0000162	jg16105	Cg002G046130
OG0000162	jg19860	Cg005G178220
OG0000162	jg2591	Cg002G046140
OG0000162	jg19859	Cg005G160860
OG0000164	jg1128, jg1129, jg6771, jg6767, jg6769, jg6762, jg6770, jg6761	Cg008G307470
OG0000167	jg10621, jg10622	Cg001G021150
OG0000167	jg10624	Cg001G021160
OG0000167	jg23232, jg10620	Cg001G021140
OG0000169	jg21553	Cg013G330250, Cg013G330280, Cg013G330310, Cg036G336840
OG0000171	jg5289	Cg008G294880
OG0000172	jg15356	Cg002G052400
OG0000172	jg16317	Cg007G250100, Cg007G250140
OG0000172	jg15932	Cg002G060680, Cg002G060150
OG0000173	jg1461, jg26673, jg7106, jg7127, jg7132, jg17518, jg1807, jg14356, jg7184, jg21355, jg2228, jg26653, jg14013	Cg003G091670
OG0000175	jg15013	Cg002G055540
OG0000175	jg3242	Cg007G276430
OG0000175	jg30537	Cg006G225880
OG0000175	jg8854	Cg001G005230
OG0000176	jg31636, jg31639	Cg006G215620
OG0000176	jg31643	Cg006G215540
OG0000178	jg33537	Cg002G069730, Cg002G066500
OG0000180	jg16351	Cg001G043140
OG0000185	jg1441, jg14078, jg1761	Cg003G088110
OG0000185	jg12153	Cg003G098770
OG0000185	jg21116, jg13897	Cg006G198800
OG0000187	jg9234, jg9235	Cg001G008920, Cg001G008910
OG0000189	jg8629	Cg001G007520
OG0000189	jg13671	Cg002G073510
OG0000189	jg8547	Cg001G002260, Cg001G002250
OG0000190	jg7702	Cg003G080590, Cg003G080580
OG0000190	jg7704	Cg006G210720
OG0000190	jg7703	Cg006G210710
OG0000190	jg32186	Cg003G087120, Cg003G087200
OG0000191	jg18960	Cg005G168430
OG0000191	jg2134	Cg004G134260
OG0000191	jg27860, jg27859	Cg004G153150, Cg004G153270
OG0000192	jg30670	Cg006G224780
OG0000192	jg30665	Cg006G224790
OG0000192	jg30668	Cg006G224760
OG0000193	jg26901, jg26894, jg26896, jg26893	Cg004G138060
OG0000193	jg26576, jg26577	Cg004G140730
OG0000195	jg17567	Cg005G182280
OG0000195	jg15712, jg15648	Cg005G164920
OG0000195	jg2098	Cg001G036760
OG0000195	jg12245	Cg007G265630
OG0000195	jg14060	Cg008G301610
OG0000196	jg31558, jg31560	Cg006G202640
OG0000196	jg28891	Cg006G240790
OG0000196	jg31559	Cg006G202630
OG0000196	jg28892	Cg006G240780
OG0000197	jg12176, jg14708, jg14696, jg15293, jg12792, jg11871, jg11778, jg28098, jg12682, jg12608, jg12633, jg12636	Cg001G041590
OG0000200	jg28943	Cg006G240250
OG0000200	jg12382, jg12383	Cg001G038160, Cg001G038180
OG0000200	jg26794, jg26858, jg26826	Cg003G084880, Cg004G143040, Cg004G143090
OG0000201	jg26412	Cg004G139100
OG0000201	jg26411	Cg004G139090
OG0000201	jg26410	Cg004G139080
OG0000201	jg26413	Cg004G139110
OG0000202	jg25806	Cg004G133650
OG0000202	jg25880	Cg004G134030
OG0000203	jg24346, jg24347	Cg004G120290
OG0000203	jg9421, jg9422, jg24303, jg5021, jg5008, jg5007, jg5020, jg5022	Cg004G126450, Cg004G126500, Cg004G126510, Cg002G062080
OG0000204	jg15213	Cg006G200670
OG0000204	jg26333	Cg004G138460
OG0000205	jg32764	Cg003G098990, Cg003G098960, Cg003G098910
OG0000209	jg416, jg418	Cg007G246040
OG0000209	jg12794, jg12796	Cg001G042590
OG0000210	jg26999, jg27000, jg27001	Cg004G144520
OG0000210	jg13160	Cg002G073630, Cg002G073600, Cg002G073620
OG0000210	jg18412, jg18409, jg18408	Cg005G173490
OG0000210	jg18404	Cg005G173520
OG0000213	jg16737	Cg005G191770
OG0000213	jg16741, jg16740	Cg005G191730
OG0000214	jg8001	Cg003G078170
OG0000216	jg33448	Cg001G018790
OG0000216	jg10319, jg10323	Cg001G018760
OG0000216	jg10315	Cg001G018780
OG0000217	jg1072	Cg007G251420
OG0000218	jg29979	Cg006G230920
OG0000218	jg29981	Cg006G230900, Cg006G230890
OG0000218	jg13337	Cg002G072370
OG0000218	jg11388, jg12942	Cg002G075340
OG0000219	jg2178, jg2182, jg2180, jg2179	Cg007G266520, Cg007G266510
OG0000219	jg23294	Cg003G095240, Cg003G111060
OG0000220	jg19245, jg19241	Cg005G192620
OG0000220	jg22415, jg22413, jg22416	Cg003G103090
OG0000221	jg23304	Cg005G182530
OG0000222	jg11713, jg23119	Cg008G315660, Cg004G151260, Cg001G038580
OG0000224	jg3422	Cg007G278180, Cg007G278170
OG0000224	jg3420	Cg007G278160
OG0000224	jg9231	Cg001G008870, Cg001G017640
OG0000224	jg571, jg570	Cg007G247160
OG0000226	jg19265	Cg004G156690
OG0000226	jg23338	Cg003G113210
OG0000226	jg30960	Cg004G128760
OG0000226	jg31379, jg31377	Cg006G218020
OG0000228	jg2702	Cg007G271320
OG0000228	jg6720, jg6718	Cg008G307350
OG0000228	jg2698	Cg007G271290
OG0000229	jg9443, jg9444, jg5645, jg5642, jg9442	Cg003G078340, Cg014G331290, Cg008G315850, Cg014G331310, Cg014G331300, Cg003G078330
OG0000229	jg32894, jg33326	Cg007G261570
OG0000230	jg3241	Cg008G323410
OG0000230	jg967, jg812	Cg007G276410
OG0000231	jg11881	Cg007G260410
OG0000232	jg24479	Cg004G121460
OG0000232	jg27540	Cg004G149470, Cg004G149480, Cg004G150500, Cg004G149520
OG0000233	jg32554	Cg005G186600
OG0000233	jg32629	Cg005G186460
OG0000234	jg15449	Cg002G051400
OG0000234	jg15448	Cg002G051410
OG0000234	jg15447	Cg002G051420
OG0000234	jg19118	Cg005G166930
OG0000234	jg5170	Cg008G293710
OG0000235	jg31894, jg31896	Cg006G213560
OG0000235	jg32770	Cg006G202900, Cg006G202870, Cg006G202910, Cg006G202830
OG0000235	jg25725	Cg004G133010
OG0000236	jg26494	Cg004G139220
OG0000236	jg7280	Cg003G086380
OG0000236	jg2555	Cg007G270040
OG0000239	jg18393, jg18428	Cg005G173350
OG0000239	jg18343	Cg005G173640
OG0000239	jg17113	Cg013G330340, Cg036G336860
OG0000240	jg17464, jg1772	Cg001G033750
OG0000242	jg27567	Cg004G150060, Cg004G150660, Cg004G150050, Cg004G150670, Cg004G150020, Cg004G150680
OG0000242	jg29880	Cg006G231900
OG0000242	jg29883	Cg006G231890
OG0000242	jg29879	Cg006G231910
OG0000244	jg10370	Cg001G019150
OG0000244	jg10371	Cg001G019160
OG0000248	jg7641	Cg003G081350
OG0000248	jg7640	Cg003G081360
OG0000248	jg7420, jg7421, jg7418	Cg003G081340
OG0000248	jg1267	Cg007G252860
OG0000249	jg18819	Cg005G169790
OG0000250	jg2612, jg2609, jg2608	Cg007G270460
OG0000250	jg2614	Cg007G270470
OG0000250	jg2620, jg2621, jg2622	Cg007G270580
OG0000252	jg4032	Cg004G136500
OG0000254	jg32916, jg16978, jg17665, jg1307, jg26917, jg983, jg985	Cg004G134710
OG0000254	jg16868	Cg005G190180
OG0000256	jg19308	Cg005G165640
OG0000257	jg33267	Cg006G198470, Cg006G198480
OG0000257	jg24983	Cg004G126080
OG0000257	jg8499	Cg001G001780
OG0000258	jg13315	Cg002G072350
OG0000258	jg13318, jg13319	Cg002G072340
OG0000258	jg22623	Cg003G104860
OG0000258	jg13320	Cg002G072320
OG0000260	jg7405	Cg003G083550
OG0000264	jg7787	Cg003G079930, Cg003G094080, Cg003G094890, Cg003G079050
OG0000264	jg7793	Cg003G094090, Cg003G079920, Cg003G094100, Cg003G079900, Cg003G094120, Cg003G094110, Cg003G079910, Cg003G079890
OG0000264	jg7885, jg7884, jg7892, jg7931, jg7886	Cg003G079060, Cg003G094880
OG0000265	jg5787	Cg005G179750, Cg005G186970
OG0000265	jg10834	Cg005G180900, Cg004G141100, Cg003G086590, Cg002G049430
OG0000266	jg16158, jg16157, jg15780	Cg003G098940, Cg003G099000
OG0000266	jg16268	Cg002G044180, Cg002G044170
OG0000267	jg17980, jg18002, jg17981, jg17978, jg18001, jg17979, jg17999	Cg005G177130, Cg005G177100, Cg005G177110, Cg005G177030, Cg005G177010, Cg005G177140, Cg005G177090, Cg005G177120
OG0000267	jg30474	Cg006G226540
OG0000267	jg16584	Cg005G193150
OG0000268	jg13018	Cg002G074810
OG0000268	jg716	Cg007G248330
OG0000268	jg3910	Cg008G282710
OG0000268	jg15354	Cg002G052420
OG0000269	jg27200, jg6559	Cg007G256050, Cg004G151220
OG0000269	jg11991	Cg004G148220
OG0000270	jg8879, jg27707	Cg001G000740
OG0000270	jg8360	Cg001G005510
OG0000270	jg30517	Cg006G226060
OG0000271	jg6298	Cg001G032910
OG0000271	jg7876	Cg003G079870
OG0000273	jg32950	Cg006G201150, Cg006G201180
OG0000273	jg32635, jg32647	Cg006G201130, Cg006G201120, Cg006G201160
OG0000273	jg32949	Cg006G201170
OG0000274	jg22908	Cg003G107390
OG0000274	jg33561	Cg002G061010
OG0000274	jg1015	Cg007G251180
OG0000274	jg17967	Cg005G177430
OG0000275	jg26401	Cg004G139010
OG0000275	jg26396	Cg004G138960
OG0000275	jg13712	Cg004G138970
OG0000275	jg26398, jg26400, jg26399, jg26397	Cg004G138980
OG0000275	jg26395	Cg004G138950, Cg004G138940
OG0000276	jg11537, jg11540	Cg001G029710
OG0000277	jg11136, jg11137	Cg001G025760
OG0000281	jg33130, jg33131	Cg006G199670
OG0000281	jg1290, jg1284	Cg006G220980
OG0000282	jg4604, jg4594	Cg008G288340
OG0000282	jg4597	Cg008G288360
OG0000282	jg4596	Cg008G288350, Cg008G323220
OG0000282	jg4598	Cg008G288380
OG0000282	jg4599	Cg008G288420, Cg008G288390, Cg008G288410, Cg008G288400
OG0000283	jg20896, jg20889, jg20890, jg20895, jg20892, jg20894	Cg008G318960, Cg008G318990, Cg008G318970
OG0000284	jg6565	Cg008G323450, Cg008G323400, Cg008G323440, Cg005G189010, Cg008G323430, Cg008G323380
OG0000284	jg1878	Cg008G306240, Cg008G306230
OG0000285	jg27336, jg12459, jg1615, jg32047, jg20828, jg32156, jg32318	Cg002G060650, Cg005G182020
OG0000287	jg26271	Cg007G251270
OG0000287	jg26276	Cg004G137950
OG0000287	jg26273, jg26272	Cg004G137930, Cg004G140040
OG0000287	jg26275	Cg004G137940
OG0000287	jg26274	Cg004G140030
OG0000287	jg26279	Cg004G137980
OG0000287	jg26277, jg26278	Cg004G137960
OG0000290	jg25996	Cg004G135310
OG0000290	jg12611, jg12549, jg12556	Cg001G040670, Cg001G040570, Cg001G040700
OG0000293	jg8476, jg7941, jg7460	Cg008G293400, Cg001G035010
OG0000294	jg25844	Cg004G133910
OG0000294	jg28558, jg8055	Cg006G243870
OG0000295	jg25482, jg25485, jg25483	Cg004G130770
OG0000296	jg28105, jg28076, jg2205	Cg007G280920, Cg007G280630
OG0000297	jg8679	Cg001G003600
OG0000297	jg22984	Cg003G108160
OG0000297	jg21254, jg21265, jg26115	Cg004G136450
OG0000298	jg3425	Cg004G131150
OG0000299	jg11189	Cg001G026540
OG0000299	jg13745	Cg002G070200
