Orthogroup	Arabidopsis_arenosa	Alyssum_gmelinii
OG0000057	jg28057, jg28058	Ag005G459510, Ag005G459380, Ag005G459480, Ag001G015510
OG0000057	jg25759, jg25744	Ag005G459490
OG0000057	jg26019	Ag005G459920
OG0000057	jg25886, jg26868	Ag003G289060
OG0000058	jg1166, jg14086	Ag007G619930, Ag003G293710, Ag008G700490, Ag004G386780, Ag007G613110
OG0000061	jg20814	Ag004G339650
OG0000061	jg5265, jg31440, jg25892, jg12998, jg302, jg26776, jg6463, jg14036	Ag003G281740, Ag004G369480, Ag007G641000, Ag005G463130, Ag003G220980, Ag002G137260, Ag006G514860
OG0000063	jg22905	Ag001G073100
OG0000063	jg17853	Ag004G307570
OG0000063	jg29139, jg21260	Ag004G307350
OG0000063	jg14419	Ag008G710470
OG0000064	jg8362	Ag003G295980
OG0000066	jg27126, jg7203, jg3219, jg3220	Ag003G225470
OG0000066	jg29279, jg13471	Ag007G604700
OG0000066	jg1404	Ag002G125900
OG0000067	jg24838, jg24839	Ag003G291740, Ag003G293500, Ag005G466230, Ag003G291820
OG0000067	jg4261, jg4260, jg4298	Ag005G407040, Ag005G407080, Ag005G407050
OG0000067	jg12213	Ag004G385490, Ag006G500760, Ag008G714910, Ag008G707340
OG0000067	jg4679	Ag007G607200, Ag007G607230, Ag003G227540
OG0000069	jg13268	Ag006G532130
OG0000069	jg30965	Ag001G019730
OG0000069	jg13828, jg32034, jg10937, jg11572, jg20466, jg32702, jg16551, jg30444, jg24432, jg11779, jg1433, jg26607, jg7033	Ag002G200250
OG0000071	jg17558	Ag006G563870, Ag005G485090, Ag002G107730, Ag002G139550, Ag005G451770, Ag005G451710
OG0000071	jg15329	Ag003G234950, Ag003G217580
OG0000072	jg27454, jg2002, jg1859, jg13895, jg13896, jg17450, jg17336, jg27058, jg17478, jg16476, jg16484, jg29790, jg9963, jg13945, jg11738, jg2091	Ag005G487550, Ag005G428140, Ag004G338760, Ag004G343840, Ag004G379550, Ag010G739530, Ag004G328310, Ag004G366340, Ag002G206610, Ag001G061570, Ag005G425640, Ag004G328300, Ag007G617420, Ag004G389340, Ag004G394320
OG0000073	jg10924	Ag006G576040
OG0000073	jg7157, jg7084	Ag002G116850
OG0000073	jg20412	Ag002G117280
OG0000073	jg20417	Ag002G120540
OG0000073	jg13687, jg20423	Ag002G116910
OG0000074	jg30938	Ag005G402710
OG0000074	jg30934	Ag003G241560, Ag003G242310
OG0000074	jg17689, jg30932, jg30931	Ag004G378820
OG0000074	jg30936	Ag006G514000
OG0000075	jg1344, jg21051	Ag004G320730
OG0000075	jg4863, jg4865	Ag006G502200, Ag006G502100, Ag006G501950, Ag006G502230, Ag006G501990, Ag006G502110, Ag006G502180, Ag007G604630, Ag007G604580, Ag007G604560, Ag007G604640
OG0000075	jg364	Ag004G337230, Ag004G337250, Ag004G349470
OG0000075	jg29545, jg29543	Ag004G313480, Ag004G313520, Ag007G599000, Ag007G598990, Ag003G269710
OG0000075	jg10637	Ag004G319650, Ag004G319660, Ag004G320140, Ag004G319070, Ag004G319080, Ag004G320150, Ag003G276440, Ag004G320110, Ag002G111120, Ag002G107550, Ag001G078420
OG0000076	jg1458, jg1459, jg1457, jg13392, jg13393, jg13394	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300
OG0000076	jg13388, jg13373, jg13390	Ag001G002030
OG0000077	jg8426	Ag003G286070, Ag003G286090, Ag003G286060
OG0000077	jg24794, jg20353	Ag003G215720
OG0000077	jg26791	Ag003G290220, Ag006G569300
OG0000077	jg32692, jg26472, jg32685, jg32682, jg8427	Ag006G508210
OG0000077	jg8424, jg8422	Ag001G010260, Ag001G010280, Ag001G010290, Ag004G315120, Ag003G222960, Ag003G281310, Ag003G281290, Ag003G281350, Ag003G281360, Ag003G281330, Ag003G281340, Ag003G281320, Ag003G281370, Ag003G281300
OG0000077	jg1000, jg934	Ag004G321630, Ag004G321620, Ag004G321600
OG0000078	jg13800, jg25795, jg13799, jg25794	Ag001G046650, Ag002G152760
OG0000079	jg15929	Ag001G089410, Ag006G550580, Ag003G233720
OG0000079	jg15921	Ag001G084480
OG0000079	jg15922	Ag001G071340
OG0000079	jg15911, jg15928	Ag001G089510, Ag001G089390, Ag001G071210, Ag001G071240, Ag001G089380, Ag001G089370
OG0000080	jg1961	Ag004G395720, Ag004G391220, Ag001G028440, Ag001G031860
OG0000080	jg32859, jg32843, jg32550, jg32855, jg32866	Ag001G028130, Ag001G028170, Ag001G028150, Ag001G028190, Ag001G028510, Ag001G028230, Ag001G028020, Ag004G395730
OG0000080	jg32551, jg32841, jg32864, jg32857	Ag001G028300
OG0000080	jg18014	Ag004G375350, Ag007G650150
OG0000080	jg18020, jg18016, jg18005, jg18012, jg25262	Ag007G593170, Ag007G596330, Ag007G593310, Ag007G593270, Ag007G593210
OG0000081	jg5636	Ag007G593730
OG0000081	jg5637	Ag007G628420
OG0000083	jg32007, jg27544, jg27541	Ag005G483950, Ag005G483960
OG0000084	jg16997	Ag002G111870, Ag004G395550, Ag002G108380, Ag004G395620
OG0000084	jg17005, jg20640	Ag002G186630, Ag002G189800, Ag002G189260, Ag002G189740, Ag002G189750, Ag002G189790, Ag002G189770
OG0000084	jg16996, jg16900, jg16897, jg16899	Ag008G724370
OG0000084	jg17289	Ag002G128280, Ag002G119860, Ag006G542390, Ag002G119500, Ag002G176420, Ag002G119390, Ag002G119370, Ag002G119740, Ag002G119780, Ag002G119750, Ag002G119670, Ag002G119890, Ag002G119900, Ag002G119710, Ag002G111650, Ag004G391010, Ag002G111880, Ag002G108390
OG0000086	jg1275, jg1277, jg1270, jg1278, jg1271, jg1274, jg1272, jg1273, jg1280, jg1279, jg1276, jg1269, jg20985, jg20984, jg20982, jg20983, jg20981, jg20978, jg20980, jg20977, jg20975, jg20976, jg20974, jg20979, jg20973	Ag008G709530
OG0000087	jg6235	Ag008G723440
OG0000087	jg17972	Ag007G593840
OG0000087	jg5068	Ag007G609260
OG0000087	jg18593	Ag002G161340
OG0000087	jg20749	Ag002G127940
OG0000087	jg10485	Ag006G562620
OG0000087	jg3235	Ag003G224140
OG0000088	jg17633	Ag007G581970
OG0000088	jg5910	Ag008G717820
OG0000089	jg4799	Ag007G603320
OG0000089	jg26012, jg33022	Ag005G453100, Ag001G021310
OG0000089	jg19507, jg19508, jg19509	Ag002G193060
OG0000089	jg18920, jg15311	Ag002G172950, Ag001G073120
OG0000089	jg22870, jg14433	Ag008G712440, Ag008G708620
OG0000090	jg4483, jg30544, jg16631	Ag004G333760
OG0000090	jg3251	Ag003G223190
OG0000090	jg8905	Ag005G471750, Ag001G092010, Ag001G091920, Ag001G091930
OG0000091	jg20823, jg20821, jg1412, jg2211, jg14179	Ag008G666220
OG0000093	jg15862	Ag001G087540
OG0000093	jg15861	Ag001G087410
OG0000093	jg15848, jg15846	Ag001G087190, Ag001G087160, Ag001G087050, Ag001G087110, Ag001G087130, Ag020G743230, Ag001G087290
OG0000093	jg27054, jg27053, jg27051, jg27052	Ag001G087200, Ag020G743290, Ag001G087240
OG0000093	jg15851	Ag001G083700, Ag001G087310
OG0000093	jg15841	Ag001G086540, Ag001G086510
OG0000093	jg15850	Ag001G086700, Ag001G086880, Ag001G086860, Ag001G086840
OG0000096	jg13128	Ag001G024200, Ag001G016650, Ag005G460360
OG0000096	jg20644	Ag002G102560
OG0000096	jg20589	Ag002G103250
OG0000096	jg1249	Ag004G380830
OG0000097	jg7810	Ag002G130220, Ag002G132530, Ag002G129480
OG0000097	jg7819	Ag002G129560, Ag002G130470, Ag002G129510, Ag002G129570, Ag002G129580, Ag002G129500, Ag002G129590, Ag002G129620, Ag002G130320, Ag002G130290, Ag002G130330, Ag002G129450
OG0000097	jg7820	Ag002G128740
OG0000097	jg7813, jg7812, jg7815, jg7814	Ag002G128960
OG0000097	jg21543, jg7817	Ag002G128810, Ag002G129430, Ag002G129130, Ag002G129340
OG0000098	jg29677	Ag004G315550, Ag004G315560
OG0000098	jg32282, jg12025	Ag006G506280, Ag004G316800, Ag004G315620
OG0000099	jg459, jg7310	Ag004G395880
OG0000099	jg455, jg458, jg453, jg457	Ag004G398340, Ag004G398430, Ag004G391240, Ag004G395750
OG0000099	jg456	Ag004G391150, Ag004G391000, Ag004G391130, Ag004G390970, Ag004G395610
OG0000099	jg543	Ag004G395780, Ag004G391250, Ag004G391340, Ag004G391360, Ag004G395820, Ag004G391310, Ag004G391330, Ag004G395840
OG0000099	jg542	Ag004G396600, Ag004G396870, Ag004G391030, Ag004G396100, Ag004G395920, Ag004G391570, Ag004G396210
OG0000099	jg7311	Ag015G742140, Ag015G742240
OG0000099	jg460	Ag004G391040
OG0000101	jg477	Ag004G389820, Ag004G389830
OG0000101	jg492	Ag004G394110
OG0000101	jg472	Ag004G395200, Ag004G395030, Ag004G390080
OG0000104	jg29111	Ag004G307220
OG0000104	jg17896	Ag007G594830
OG0000104	jg33004	Ag001G010320
OG0000104	jg26323	Ag005G441940
OG0000104	jg33354	Ag001G010240
OG0000106	jg27435, jg14860	Ag005G417510, Ag001G017220
OG0000107	jg17559, jg17556	Ag005G481150
OG0000107	jg26159	Ag005G446760
OG0000107	jg26161	Ag005G446720
OG0000107	jg26163	Ag005G446670
OG0000107	jg26160	Ag005G446680
OG0000108	jg17595, jg31284, jg16872	Ag005G459590, Ag008G727840
OG0000108	jg27107, jg27264, jg27221, jg27229, jg27223	Ag003G269110, Ag003G269200
OG0000108	jg2306	Ag005G414040
OG0000108	jg11987, jg17594, jg31283, jg16874	Ag007G609500, Ag002G145390
OG0000109	jg17424	Ag003G215310, Ag004G367180, Ag004G395250, Ag004G351540, Ag007G578520, Ag003G262230, Ag002G199280, Ag006G563280, Ag007G622830, Ag006G517090, Ag002G104980
OG0000109	jg20882	Ag006G532070
OG0000109	jg6910, jg11931	Ag001G038010
OG0000110	jg15960	Ag001G090130
OG0000110	jg15959	Ag001G090120
OG0000110	jg15966	Ag001G090270, Ag001G090260, Ag001G090170, Ag001G090700
OG0000110	jg15957, jg15956	Ag003G287900, Ag001G089820, Ag001G089800, Ag001G089810, Ag001G077870, Ag004G376010
OG0000110	jg11381	Ag001G077750, Ag001G089870, Ag001G089880, Ag001G089910
OG0000110	jg15969	Ag001G090290, Ag001G090300, Ag001G090310
OG0000111	jg12398, jg12393, jg12389, jg12394, jg12395	Ag002G181570, Ag002G181540, Ag002G181620
OG0000111	jg12396	Ag006G502330
OG0000111	jg23312, jg23313, jg7387, jg7388	Ag008G729450
OG0000113	jg12802, jg12815	Ag003G210260
OG0000113	jg509	Ag005G453300
OG0000113	jg1379	Ag004G396680, Ag007G597560
OG0000113	jg508	Ag004G394970
OG0000114	jg24299	Ag005G486540, Ag005G485930
OG0000114	jg2542	Ag006G573480
OG0000114	jg7114, jg1323	Ag003G284630
OG0000119	jg20878	Ag001G026190
OG0000119	jg12954	Ag007G641820
OG0000119	jg13725, jg9836, jg1719, jg21576, jg27974, jg7024	Ag005G433280, Ag007G606060, Ag008G734240, Ag005G486140, Ag002G179560, Ag005G477370, Ag003G228580, Ag003G279350, Ag005G409220
OG0000120	jg893, jg889	Ag004G373700, Ag001G094910
OG0000120	jg21600, jg21583, jg21561, jg21534, jg21584, jg21558	Ag003G277400, Ag003G279310, Ag003G275890
OG0000120	jg13317, jg4214, jg4213, jg2215, jg14374	Ag006G498650, Ag006G498600, Ag006G498610
OG0000122	jg22508, jg32572, jg22505	Ag008G698890
OG0000122	jg22485	Ag003G267460
OG0000122	jg32166	Ag008G699060
OG0000122	jg22487, jg22488	Ag008G698530
OG0000123	jg31338	Ag007G583620
OG0000123	jg29806	Ag001G067540
OG0000123	jg14270	Ag004G318570
OG0000123	jg29805	Ag006G564520
OG0000123	jg647	Ag004G318080
OG0000124	jg19874	Ag003G282630
OG0000124	jg27275, jg20993, jg25905, jg11327, jg33081, jg14104, jg9592, jg12111, jg17565	Ag003G242000
OG0000124	jg20179	Ag006G527550, Ag008G658090
OG0000125	jg24874, jg3993	Ag005G477020
OG0000125	jg6123	Ag008G713670
OG0000125	jg29136	Ag004G307540
OG0000125	jg17851	Ag007G595180
OG0000127	jg3917, jg3918	Ag008G679900, Ag004G381150
OG0000127	jg3915	Ag006G492190
OG0000127	jg3920	Ag006G492230
OG0000127	jg24833	Ag005G477990
OG0000127	jg24836	Ag005G477980
OG0000127	jg29525	Ag004G313220, Ag004G313200, Ag004G313180, Ag004G313170, Ag007G620490, Ag004G313150
OG0000127	jg29526, jg29071	Ag004G313210, Ag004G313190, Ag004G313250
OG0000133	jg7039	Ag004G314420, Ag001G083930, Ag005G455770, Ag008G708500, Ag004G391190, Ag003G285410, Ag001G074650
OG0000136	jg12270	Ag005G456830, Ag005G456800, Ag005G456810, Ag008G669100, Ag005G457140, Ag002G171850
OG0000137	jg17603	Ag001G020440, Ag001G062280, Ag002G130440, Ag007G624610, Ag004G355240, Ag003G264690, Ag007G648090, Ag004G309670, Ag008G662950, Ag001G102090, Ag004G373870, Ag004G346320, Ag006G521700
OG0000137	jg27681	Ag006G528160, Ag001G057880
OG0000138	jg12473	Ag005G453140
OG0000138	jg13819	Ag003G290790
OG0000139	jg6519, jg6518, jg27250, jg27251, jg26448	Ag002G105400
OG0000139	jg6848, jg7487, jg11793	Ag001G027020
OG0000139	jg6850	Ag002G170320
OG0000140	jg22800, jg21885, jg22801	Ag008G706820, Ag008G706850, Ag008G707550, Ag008G706830
OG0000140	jg22848	Ag008G707960
OG0000140	jg22851, jg22847	Ag001G080460, Ag008G707780
OG0000142	jg17934, jg17935	Ag007G594160, Ag007G594220
OG0000142	jg17940	Ag007G594480
OG0000142	jg17933	Ag007G594470
OG0000142	jg17936	Ag004G307050
OG0000145	jg2060	Ag006G535320, Ag004G370190
OG0000145	jg27362	Ag002G117940, Ag003G273300
OG0000145	jg17724	Ag003G230540, Ag004G392330, Ag001G060050, Ag007G610290, Ag004G392340
OG0000146	jg22363	Ag008G695350
OG0000146	jg21872	Ag002G188250
OG0000146	jg22365, jg22366	Ag008G695470, Ag008G695460
OG0000146	jg22364	Ag008G695380
OG0000147	jg28078	Ag005G408700
OG0000147	jg9392	Ag003G261030
OG0000147	jg22635	Ag008G702420
OG0000147	jg3697	Ag003G209560
OG0000149	jg14423	Ag006G570510, Ag006G570440, Ag006G570460
OG0000149	jg22904	Ag008G709420
OG0000149	jg22901	Ag008G709260
OG0000150	jg14326	Ag007G607130
OG0000150	jg14055	Ag006G518460, Ag007G625710
OG0000150	jg14331	Ag001G092600
OG0000150	jg14325	Ag004G332580
OG0000150	jg22962	Ag008G711310, Ag008G711350
OG0000151	jg22050	Ag008G685810
OG0000151	jg24782	Ag005G478640
OG0000151	jg27769	Ag005G417580
OG0000151	jg22463	Ag008G698280
OG0000154	jg1415	Ag003G268730, Ag005G477100, Ag005G477120
OG0000154	jg30094	Ag004G324480
OG0000154	jg25213	Ag005G471090
OG0000154	jg24871	Ag005G477170
OG0000154	jg3985	Ag006G493360
OG0000154	jg3984	Ag006G507750, Ag006G508580, Ag006G493020
OG0000155	jg12562, jg12564	Ag002G204050
OG0000155	jg2004, jg10428	Ag006G564870
OG0000155	jg25152	Ag005G471860
OG0000155	jg7743	Ag002G134830, Ag002G134820, Ag002G138260
OG0000156	jg19948	Ag002G201900
OG0000156	jg16152	Ag001G093780
OG0000157	jg24182	Ag006G537650, Ag002G142330, Ag002G143730
OG0000157	jg2031, jg2038, jg2030, jg2028, jg7426	Ag003G228360
OG0000157	jg12773, jg19021, jg19020, jg19023, jg19043, jg19019	Ag004G346210, Ag003G229150, Ag004G369290
OG0000158	jg10511	Ag005G443310, Ag005G444520, Ag005G443260
OG0000158	jg11407, jg28264, jg5270, jg28263, jg16699, jg7562, jg7551	Ag005G476710
OG0000161	jg31502, jg1832, jg31503	Ag007G588370
OG0000161	jg1847	Ag007G588360
OG0000161	jg1821	Ag007G601560, Ag007G601540, Ag007G601790
OG0000162	jg15299	Ag001G075290
OG0000162	jg19860	Ag001G092940
OG0000162	jg2591	Ag001G092930
OG0000162	jg16104	Ag001G092990, Ag001G093000, Ag001G093010, Ag001G092980, Ag001G092570
OG0000162	jg2036	Ag008G712070
OG0000162	jg19859	Ag002G200850, Ag002G200800
OG0000164	jg1130	Ag003G293780, Ag004G322100, Ag003G293750, Ag003G293810
OG0000164	jg8472	Ag003G293740, Ag003G293690, Ag003G293790
OG0000167	jg12243, jg10625	Ag006G570340
OG0000167	jg10624	Ag006G570320
OG0000167	jg12242	Ag006G570400, Ag006G570410
OG0000169	jg3074	Ag003G231880
OG0000171	jg5289	Ag007G614710
OG0000172	jg15356	Ag002G179650, Ag001G097540, Ag001G097520
OG0000172	jg16316	Ag001G097470
OG0000172	jg15918	Ag002G191380
OG0000172	jg15926	Ag003G233750, Ag006G550460
OG0000172	jg15937	Ag001G081750, Ag001G081700, Ag001G084760, Ag002G204930, Ag001G089480
OG0000172	jg15932	Ag001G089440
OG0000172	jg15930	Ag001G089420
OG0000175	jg15013	Ag001G067410
OG0000175	jg8854	Ag005G417590
OG0000176	jg31636, jg31639	Ag007G611080, Ag007G599330, Ag007G599310, Ag007G579980, Ag007G580670, Ag007G580020, Ag007G606560, Ag007G606540, Ag007G606550, Ag007G606580, Ag003G266210, Ag007G599350, Ag007G599300, Ag007G599320, Ag007G580010, Ag007G580050, Ag007G580060, Ag006G501180, Ag006G500850, Ag001G031780
OG0000176	jg31640	Ag007G580300, Ag005G449360
OG0000181	jg13723, jg28047	Ag003G251860
OG0000185	jg12153	Ag002G183070
OG0000185	jg13729, jg14412	Ag004G378920
OG0000186	jg17305, jg27206	Ag004G388160
OG0000187	jg9234, jg9235	Ag003G270350, Ag003G270310, Ag003G282640, Ag003G270250, Ag002G167770
OG0000187	jg9230	Ag003G270560
OG0000189	jg8491	Ag001G080600
OG0000189	jg3298	Ag003G293390
OG0000189	jg8629	Ag007G631560, Ag007G631600, Ag007G631490, Ag007G631520, Ag007G631710, Ag007G628720, Ag007G631540, Ag006G508880, Ag006G508840, Ag006G508810, Ag004G355860, Ag003G290270
OG0000189	jg8545	Ag003G276230
OG0000189	jg13671	Ag003G260770, Ag003G290210
OG0000190	jg7702	Ag002G140140
OG0000190	jg7704	Ag002G128880
OG0000190	jg7703	Ag002G128820
OG0000190	jg7707, jg7705, jg32186	Ag002G140040, Ag002G139950
OG0000191	jg25728	Ag004G324780, Ag007G605570, Ag007G605580, Ag005G460420
OG0000191	jg27860, jg27859	Ag005G457490, Ag005G457480
OG0000191	jg25713, jg25714, jg25718, jg25676, jg25675, jg25673	Ag005G461560, Ag005G461580, Ag005G461550, Ag005G461640, Ag005G460960
OG0000192	jg30670	Ag004G336350
OG0000192	jg3362	Ag008G727670
OG0000192	jg30665, jg30667, jg30662, jg30666, jg30668	Ag004G336340, Ag004G336360, Ag004G336330
OG0000193	jg26294	Ag002G194540
OG0000193	jg26297, jg26298, jg26296, jg26288, jg26290, jg26289, jg14328, jg14329	Ag004G342780
