Orthogroup	Arabidopsis_arenosa	Eutrema_salsugineum
OG0000036	jg16618	XP_024013600.1
OG0000036	jg299, jg1839, jg32415, jg11724, jg17278, jg1046, jg1567, jg11852, jg13931, jg6976, jg17098, jg1485, jg16419, jg27812, jg17384, jg21000, jg17522, jg31083	XP_024012609.1, XP_024009371.1
OG0000038	jg14795	XP_024013595.1
OG0000038	jg6336	XP_024013611.1
OG0000038	jg20757, jg20756	XP_006396333.1
OG0000038	jg31052	XP_024014404.1
OG0000038	jg12601, jg12599	XP_006405563.2, XP_024014668.1
OG0000038	jg25017, jg25016, jg25015	XP_024015270.1
OG0000040	jg30787, jg31202, jg31203, jg25536	XP_024008003.1
OG0000040	jg25272, jg738, jg25360	XP_024013353.1
OG0000040	jg2112	XP_024015244.1, XP_024010547.1
OG0000040	jg25382	XP_024009293.1
OG0000040	jg14799, jg17824, jg14802, jg14804, jg1537	XP_024016186.1
OG0000040	jg25377, jg1071	XP_006401009.1
OG0000040	jg26152, jg26153	XP_006391637.1
OG0000044	jg1572	XP_024009472.1, XP_024009471.1
OG0000044	jg32063	XP_024010419.1, XP_024009726.1
OG0000044	jg1834, jg309, jg32416, jg1035, jg17283, jg1573	XP_024006486.1, XP_006401889.2, XP_024009662.1, XP_024011380.1, XP_024013796.1, XP_024010208.1, XP_006389862.1, XP_006403918.2
OG0000044	jg13501, jg20886, jg12140	XP_024015030.1
OG0000045	jg21124	XP_024014022.1
OG0000045	jg21055	XP_024007913.1
OG0000046	jg12463, jg12464	XP_024014419.1
OG0000046	jg12337	XP_024014561.1
OG0000046	jg10780	XP_024004758.1
OG0000046	jg2195, jg2209, jg2212	XP_006391458.1
OG0000047	jg14037	XP_024014292.1
OG0000047	jg32532, jg14038	XP_024013907.1
OG0000048	jg24239	XP_024014979.1
OG0000048	jg5646	XP_006400349.1
OG0000048	jg5634, jg5644	XP_006400347.1, XP_006400352.1, XP_006400344.1, XP_006400348.1
OG0000049	jg28661	XP_024011200.1
OG0000050	jg7029, jg13871	XP_024011367.1, XP_024010366.1, XP_024010144.1, XP_024009344.1, XP_024010551.1, XP_024007910.1, XP_024010927.1
OG0000050	jg32622	XP_024011371.1, XP_024013346.1
OG0000052	jg29349	XP_024009195.1, XP_024008111.1, XP_006418389.2
OG0000052	jg19557	XP_006411503.1
OG0000052	jg24823	XP_024004386.1
OG0000052	jg19560	XP_024004184.1
OG0000053	jg27640, jg13837	XP_024006276.1, XP_024004801.1, XP_024016568.1, XP_024013967.1, XP_024013968.1, XP_024010380.1, XP_024013302.1, XP_024014239.1, XP_024014568.1, XP_024004842.1, XP_024004845.1, XP_024004831.1, XP_024004843.1, XP_024012732.1, XP_024006590.1, XP_024013675.1, XP_024009487.1, XP_024006533.1, XP_024010626.1
OG0000055	jg1420	XP_024016818.1
OG0000056	jg20178	XP_024009899.1, XP_024016377.1, XP_024014710.1
OG0000056	jg11849, jg7332, jg7100, jg12084, jg27349	XP_024013046.1, XP_024009725.1, XP_024013305.1
OG0000057	jg12073, jg27919	XP_024016535.1
OG0000057	jg1195, jg14633	XP_006406926.2
OG0000057	jg32513, jg25886, jg26868, jg26785, jg32786, jg26780, jg26196, jg26181	XP_024012536.1
OG0000058	jg27469, jg29921, jg1167, jg13112, jg18866, jg12231, jg7250, jg7021, jg20411, jg13499, jg11079, jg14182, jg13958, jg21898, jg21900, jg14025, jg21057, jg8024	XP_024007981.1, XP_024015913.1
OG0000061	jg1799, jg24928, jg17678, jg1125, jg28032, jg32127, jg20814	XP_024004223.1, XP_024014389.1
OG0000061	jg5265, jg31440, jg25892, jg12998, jg302, jg26776, jg6463, jg14036	XP_024013908.1, XP_024014942.1
OG0000062	jg7377	XP_024003982.1, XP_006414525.2, XP_024014161.1, XP_024014042.1
OG0000063	jg21249	XP_006410944.1, XP_006409907.1, XP_006403660.1, XP_006418920.1, XP_006417762.1, XP_006400894.1, XP_006400928.1, XP_006418982.1
OG0000064	jg8362	XP_006411683.1
OG0000064	jg18482	XP_006410525.1
OG0000065	jg21206	XP_024006661.1
OG0000066	jg27126	XP_024005718.1
OG0000066	jg1404	XP_024012002.1, XP_006394044.1, XP_006394194.1, XP_006396911.1
OG0000067	jg4261, jg4260, jg4298	XP_024014925.1
OG0000067	jg12213	XP_006406656.1
OG0000069	jg10937, jg11572, jg20466	XP_024016097.1
OG0000069	jg7033	XP_024006136.1
OG0000071	jg15329	XP_024004814.1, XP_024010468.1, XP_024004087.1
OG0000071	jg25723	XP_024005999.1, XP_024004736.1, XP_024012932.1, XP_024013941.1
OG0000072	jg27454, jg2002, jg1859, jg13895, jg13896, jg17450, jg17336, jg27058, jg17478, jg16476, jg16484, jg29790, jg9963, jg13945, jg11738, jg2091	XP_024009348.1, XP_024013914.1, XP_024006596.1, XP_024009952.1, XP_024014026.1, XP_024010244.1, XP_024006561.1, XP_024013107.1, XP_024015896.1, XP_024009380.1, XP_024009792.1, XP_024010384.1, XP_024009711.1
OG0000073	jg10924	XP_024004579.1
OG0000073	jg20416, jg20443, jg20442	XP_024013343.1
OG0000073	jg20412	XP_006398345.1
OG0000073	jg20417	XP_006398339.2
OG0000073	jg13687, jg20423	XP_024011128.1
OG0000074	jg30929	XP_006416064.2
OG0000074	jg30934	XP_024008031.1
OG0000074	jg17689	XP_006416070.2
OG0000074	jg30932, jg30931	XP_024010232.1
OG0000074	jg30922	XP_024008618.1
OG0000074	jg30923, jg30924	XP_024008035.1
OG0000075	jg4863, jg4865	XP_024015726.1
OG0000075	jg29550, jg33257, jg364	XP_024007719.1
OG0000075	jg10637, jg14429	XP_024006207.1
OG0000076	jg14729	XP_006404060.2, XP_006404061.2, XP_006404062.1
OG0000076	jg15039	XP_024008507.1
OG0000076	jg1458, jg1459, jg1457, jg13392, jg13393, jg13394	XP_024007553.1
OG0000077	jg21501, jg21500, jg8425, jg21503, jg8426	XP_006418924.1
OG0000077	jg7662, jg7663, jg933, jg32683, jg24861, jg24794, jg20353, jg26791, jg7664	XP_024014654.1
OG0000077	jg32692, jg26472, jg32685, jg32682, jg8427	XP_006396813.1, XP_006396818.1
OG0000077	jg8424, jg8422	XP_024009721.1, XP_024009720.1
OG0000077	jg1000	XP_006416449.2
OG0000078	jg13800, jg25795, jg13799, jg25794	XP_024010281.1, XP_024006501.1, XP_024004952.1, XP_024007906.1, XP_024010478.1, XP_024010375.1, XP_024006421.1
OG0000079	jg15929	XP_024012746.1, XP_006396702.1
OG0000079	jg15921	XP_024012843.1
OG0000079	jg15911, jg15928	XP_006402736.1
OG0000080	jg1961, jg32859, jg32843, jg32550, jg32855, jg32866	XP_006400395.1
OG0000080	jg5088	XP_024006267.1
OG0000081	jg32882, jg32881, jg32883, jg33223	XP_006393101.1, XP_024006236.1
OG0000081	jg33224	XP_024006147.1
OG0000081	jg33221, jg2643	XP_024004911.1
OG0000081	jg5636	XP_006415657.1, XP_024008000.1, XP_006415686.2
OG0000081	jg5637	XP_006400346.2
OG0000081	jg5657	XP_006400362.1
OG0000083	jg2773	XP_024014641.1
OG0000083	jg26539, jg26554, jg26543, jg26553	XP_006406083.1
OG0000083	jg32422	XP_024009012.1
OG0000083	jg16885	XP_006405511.2
OG0000084	jg17005, jg20640	XP_024013951.1, XP_006405002.1, XP_024014179.1, XP_006391426.1
OG0000084	jg17289	XP_006405019.2
OG0000086	jg1275, jg1277, jg1270, jg1278, jg1271, jg1274, jg1272, jg1273, jg1280, jg1279, jg1276, jg1269, jg20985, jg20984, jg20982, jg20983, jg20981, jg20978, jg20980, jg20977, jg20975, jg20976, jg20974, jg20979, jg20973	XP_006408761.1, XP_006408760.1, XP_006408781.1, XP_006408766.1, XP_024016075.1, XP_006408779.2, XP_006408769.1, XP_006408773.1, XP_006408774.1, XP_006408775.1, XP_006408759.1, XP_006408777.1, XP_006408780.1, XP_006408778.1, XP_006408763.1, XP_006408768.1, XP_006408765.1, XP_024015891.1, XP_006408757.1, XP_006408758.1
OG0000087	jg6235	XP_006394642.1
OG0000087	jg17972	XP_006410012.1
OG0000087	jg5068	XP_006399740.1
OG0000087	jg18593	XP_006410628.1
OG0000087	jg20749	XP_006403108.1
OG0000087	jg10485	XP_006413842.1
OG0000087	jg3235	XP_006390273.1
OG0000088	jg17633	XP_006404361.1, XP_006398111.1, XP_006398110.2
OG0000088	jg14563, jg27525	XP_006404364.1
OG0000088	jg14545, jg14558	XP_024011698.1
OG0000088	jg5910	XP_024011446.1
OG0000089	jg4799	XP_006399464.1
OG0000089	jg26012, jg33022	XP_006406564.1
OG0000089	jg22870, jg14433	XP_006418890.1
OG0000090	jg4483, jg30544, jg16631	XP_006416426.1
OG0000090	jg3251	XP_006390250.1
OG0000090	jg8905	XP_006402629.2
OG0000093	jg15848, jg15846	XP_024014492.1
OG0000093	jg27054, jg27053, jg27051, jg27052	XP_024006522.1, XP_024006521.1
OG0000093	jg15863	XP_006405456.2
OG0000093	jg15851	XP_024012757.1
OG0000096	jg13128	XP_006395727.1, XP_006395717.2
OG0000096	jg20644	XP_024004738.1
OG0000096	jg20589	XP_024011109.1
OG0000096	jg902, jg1249	XP_006392390.2
OG0000097	jg7810	XP_006417793.2
OG0000097	jg7819	XP_006396592.1
OG0000097	jg21543, jg7817	XP_006405546.1
OG0000098	jg651, jg658, jg654, jg653, jg650	XP_024004548.1, XP_006391848.1
OG0000098	jg852	XP_024013484.1
OG0000098	jg849, jg850	XP_006392038.2, XP_006392043.1, XP_006392032.1, XP_024004105.1, XP_024013492.1
OG0000098	jg29677	XP_006417248.1
OG0000098	jg29672	XP_024008234.1
OG0000098	jg32280	XP_024009431.1
OG0000099	jg456	XP_006391682.2
OG0000099	jg542	XP_024016396.1
OG0000101	jg471, jg2046	XP_024014029.1
OG0000101	jg1396, jg1381, jg1380	XP_006404831.1
OG0000104	jg17890, jg17887, jg17891	XP_024003754.1
OG0000104	jg33004	XP_024006051.1
OG0000104	jg26323	XP_006406282.1
OG0000104	jg33349	XP_024006009.1
OG0000104	jg33347	XP_024006272.1
OG0000104	jg17893	XP_024003673.1
OG0000104	jg17886, jg17879, jg17889	XP_024003751.1, XP_006409933.2
OG0000105	jg17571	XP_024011316.1
OG0000106	jg25959, jg6741, jg26029, jg25961, jg6747, jg25960, jg6746, jg26030, jg26027, jg26079, jg27891	XP_024014982.1, XP_006408882.1
OG0000106	jg6740, jg25958	XP_024004907.1, XP_024007223.1
OG0000106	jg17690, jg17691, jg17695, jg26888, jg26886	XP_024009294.1, XP_006418661.2, XP_006418628.2
OG0000107	jg26161	XP_024015177.1
OG0000107	jg26163	XP_006406420.1
OG0000108	jg17595, jg31284, jg16872	XP_006394690.1, XP_006404383.1, XP_006414046.1
OG0000108	jg27107	XP_006403292.2, XP_024009712.1
OG0000109	jg17424	XP_024014096.1
OG0000109	jg20882, jg6910, jg11931	XP_024004593.1
OG0000110	jg15960	XP_006402710.1
OG0000110	jg15959	XP_006402712.2
OG0000110	jg15966	XP_024009571.1
OG0000110	jg15965	XP_024012967.1
OG0000110	jg11381	XP_006402715.1
OG0000110	jg15969	XP_024012970.1
OG0000111	jg12398, jg12393, jg12389, jg12394, jg12395	XP_024014705.1, XP_024014617.1, XP_006405755.2, XP_024014786.1, XP_024014405.1, XP_006405613.2, XP_006405611.2, XP_006393001.2
OG0000111	jg12396	XP_024014624.1
OG0000111	jg11228	XP_024010064.1
OG0000111	jg15428	XP_006403516.1
OG0000112	jg21770	XP_024012107.1
OG0000113	jg508	XP_006414517.2
OG0000114	jg2542	XP_024006571.1
OG0000114	jg20995, jg20998, jg20997, jg20999, jg20992, jg4953, jg7114, jg1323	XP_006399626.1
OG0000114	jg20706	XP_024011055.1
OG0000115	jg6881, jg12949, jg10772, jg12951	XP_024013331.1
OG0000118	jg7195, jg7197, jg7196, jg7198	XP_006405203.2, XP_006405200.2
OG0000118	jg3144	XP_006409739.1, XP_006409778.1, XP_006391257.1
OG0000119	jg20878	XP_024009367.1
OG0000119	jg13725, jg9836, jg1719, jg21576, jg27974, jg7024	XP_024010311.1, XP_024010843.1, XP_024009910.1, XP_024004523.1
OG0000120	jg893, jg889	XP_006392103.1, XP_006392097.1
OG0000120	jg13317, jg4214, jg4213, jg2215, jg14374	XP_006409474.2, XP_006398920.1
OG0000122	jg22508	XP_006401333.2
OG0000122	jg21685	XP_024014445.1, XP_024014583.1
OG0000122	jg22507	XP_006401335.1
OG0000122	jg22506	XP_024012350.1
OG0000122	jg31888	XP_024012533.1
OG0000122	jg22487, jg22488	XP_006401346.1
OG0000123	jg29806	XP_024013225.1
OG0000123	jg9826	XP_006413192.2
OG0000123	jg29805	XP_006417123.1
OG0000124	jg19874	XP_024004501.1, XP_024004928.1
OG0000125	jg6123	XP_006400797.1
OG0000125	jg22931	XP_006400898.1
OG0000125	jg17851	XP_006409905.1
OG0000126	jg21202, jg10180, jg32086, jg12955, jg6735, jg10767	XP_024015956.1, XP_024006495.1, XP_024014536.1, XP_024008013.1, XP_024014488.1, XP_024013369.1, XP_024016282.1
OG0000126	jg13974	XP_024010260.1, XP_024014515.1, XP_024006138.1
OG0000127	jg11550	XP_024009346.1
OG0000127	jg24836	XP_024014032.1, XP_006390920.2, XP_024014379.1, XP_024007923.1
OG0000129	jg14912	XP_024004086.1, XP_024007750.1, XP_024006458.1, XP_024014815.1, XP_024013979.1, XP_024009941.1, XP_024008002.1, XP_024013304.1, XP_024010557.1, XP_024013929.1, XP_024013647.1, XP_024011259.1, XP_024009747.1, XP_024009366.1, XP_024009279.1, XP_024004932.1, XP_024013309.1, XP_024011242.1, XP_024014409.1
OG0000131	jg16945, jg14091, jg6734, jg10774, jg12947	XP_024013163.1
OG0000132	jg16608, jg16609	XP_024006877.1
OG0000132	jg21091, jg22360, jg6813, jg6561	XP_006415357.2, XP_006404698.2
OG0000133	jg7039	XP_024007614.1
OG0000133	jg6891	XP_024009779.1
OG0000136	jg2128, jg2129, jg2126, jg2127	XP_006390991.1
OG0000136	jg12281	XP_006405815.1, XP_024014475.1
OG0000136	jg12259	XP_006405821.2
OG0000136	jg12270, jg12260	XP_024014611.1, XP_006405827.1, XP_006405828.1, XP_006405825.1
OG0000137	jg12674	XP_024014203.1
OG0000138	jg13818	XP_006395269.1
OG0000138	jg13817, jg13821	XP_006395267.1
OG0000139	jg6848, jg7487, jg11793	XP_024006436.1, XP_024015078.1, XP_024013971.1
OG0000139	jg6850	XP_024004032.1
OG0000140	jg22850	XP_006400988.1
OG0000140	jg22845	XP_024011857.1
OG0000140	jg22800, jg21885, jg22801	XP_024011989.1, XP_024011966.1, XP_024012425.1
OG0000140	jg22798, jg22799	XP_024012145.1
OG0000140	jg22851, jg22847	XP_006400992.1
OG0000142	jg17932	XP_006409977.2
OG0000142	jg17933	XP_024003801.1
OG0000144	jg4342	XP_024004159.1, XP_024015297.1
OG0000144	jg6805	XP_024013228.1
OG0000146	jg22363	XP_006401465.2
OG0000146	jg21872	XP_006395415.1
OG0000146	jg22365, jg22366	XP_006401462.1
OG0000146	jg22364	XP_006401463.2
OG0000146	jg22362, jg32125, jg32130, jg22361	XP_006401466.1
OG0000147	jg28078	XP_006409094.1
OG0000147	jg9392	XP_024005341.1
OG0000147	jg22635	XP_024012572.1
OG0000147	jg3697	XP_006389820.1
OG0000147	jg13954	XP_006419170.1
OG0000147	jg27288	XP_006396088.1
OG0000147	jg16942	XP_006404985.2
OG0000149	jg14423	XP_024009527.1
OG0000149	jg14421	XP_024009508.1
OG0000149	jg22904	XP_006400931.1
OG0000149	jg22900	XP_024011593.1
OG0000149	jg14420	XP_024009365.1
OG0000150	jg14325	XP_006419033.2
OG0000151	jg22050	XP_006401722.1
OG0000151	jg24782	XP_006407751.1
OG0000151	jg27769	XP_006409398.1
OG0000151	jg22463	XP_006401372.1
OG0000151	jg12793	XP_006405318.1
OG0000154	jg30094	XP_006416851.1
OG0000154	jg25213	XP_006407319.1
OG0000154	jg24871	XP_006407676.1
OG0000154	jg3985	XP_006398709.1
OG0000155	jg9725	XP_006413094.1
OG0000155	jg14971	XP_024009917.1
OG0000155	jg10428	XP_024005112.1
OG0000155	jg25152	XP_024009272.1, XP_006407382.2
OG0000156	jg16151	XP_024012911.1
OG0000156	jg19951	XP_024010825.1
OG0000156	jg19948	XP_006410182.1
OG0000157	jg24305	XP_006408206.1
OG0000157	jg24182	XP_006410257.2
OG0000157	jg2031, jg2038, jg2030, jg2028, jg7426	XP_024010220.1, XP_024009977.1
OG0000157	jg12773, jg19021, jg19020, jg19023, jg19043, jg19019	XP_006416096.1
OG0000158	jg7562, jg7551	XP_006397112.2
OG0000161	jg21823, jg17685, jg17683, jg17687	XP_024007354.1, XP_006394457.2, XP_024006771.1
OG0000161	jg31502, jg1832, jg31503	XP_024011911.1
OG0000161	jg1820, jg1821, jg1704	XP_006408194.2
OG0000162	jg19860	XP_006395656.2
OG0000162	jg2591	XP_024012914.1
OG0000162	jg2236, jg2036	XP_024012462.1
OG0000162	jg19859	XP_024004704.1, XP_024010855.1
OG0000164	jg1128, jg1129, jg6771, jg6767, jg6769, jg6762, jg6770, jg6761	XP_024006417.1
OG0000164	jg8472	XP_006411772.1
OG0000166	jg13668	XP_024012275.1
OG0000166	jg10075, jg17325	XP_024014255.1
OG0000166	jg27846	XP_024010327.1, XP_024013972.1
OG0000166	jg725, jg4758	XP_024009948.1
OG0000167	jg12243, jg10625	XP_024005579.1
OG0000167	jg10624	XP_006393695.2
OG0000167	jg12242	XP_006413960.1
OG0000169	jg1552	XP_024013957.1
OG0000169	jg1187	XP_006392322.2
OG0000169	jg1192	XP_006392323.2
OG0000171	jg5289	XP_024012404.1
OG0000172	jg15356	XP_024015356.1, XP_006406628.2, XP_006402376.1
OG0000172	jg16317	XP_006402375.2
OG0000172	jg16315	XP_006405476.1
OG0000172	jg15926	XP_024012920.1
OG0000172	jg15937, jg15939, jg15917, jg15932	XP_024016620.1
OG0000173	jg1461, jg26673, jg7106, jg7127, jg7132, jg17518, jg1807, jg14356	XP_006397382.1
OG0000175	jg15013	XP_006409243.1
OG0000175	jg3242	XP_006390262.1
OG0000175	jg30537	XP_006416436.1
OG0000175	jg8854	XP_006409399.1, XP_006412162.1
OG0000176	jg31784, jg32028, jg31916	XP_006397212.2
OG0000176	jg31640	XP_006415425.1
OG0000180	jg16351	XP_006404944.1
OG0000181	jg13723	XP_024006411.1, XP_024009429.1, XP_024009258.1, XP_024016372.1, XP_024006632.1, XP_024015899.1
OG0000183	jg14745, jg7532, jg14541, jg27683, jg1699	XP_024013677.1, XP_024014473.1
OG0000183	jg21801, jg7194, jg19302	XP_024016526.1
OG0000185	jg1441, jg14078, jg1761, jg12153, jg21116, jg13897, jg17372, jg8836, jg32189, jg13730, jg11305, jg33822	XP_024009937.1
OG0000185	jg7346, jg6686, jg13729, jg14412	XP_024010233.1, XP_024014271.1, XP_024011288.1
OG0000186	jg17588	XP_024016126.1
OG0000186	jg27209	XP_024009113.1, XP_024009117.1
OG0000186	jg10477, jg10194	XP_024011103.1
OG0000187	jg9230	XP_024004600.1
OG0000189	jg3298	XP_006411787.1
OG0000189	jg8629	XP_006411932.1
OG0000189	jg8611	XP_006395058.1
OG0000189	jg8547	XP_006409103.1
OG0000190	jg7704, jg7703	XP_006396683.2
OG0000190	jg7707	XP_024009811.1
OG0000190	jg7705	XP_024010194.1, XP_006396684.1
OG0000191	jg2134	XP_024015686.1
OG0000191	jg27860, jg27859	XP_024012172.1
OG0000192	jg30670	XP_024008190.1
OG0000192	jg30833, jg26900, jg30665, jg30667, jg30662, jg30666, jg30668	XP_006416321.2
OG0000193	jg26576, jg26577	XP_024014930.1, XP_024015423.1, XP_024014935.1, XP_006406082.1, XP_006406087.1, XP_006406076.1
OG0000193	jg26297	XP_024014991.1, XP_024006548.1
OG0000193	jg26298, jg26296	XP_024015693.1
OG0000195	jg17567	XP_006408585.1
OG0000195	jg19387, jg15712, jg15648	XP_006402949.1
OG0000195	jg2098, jg12245	XP_006405835.1, XP_006391396.1
OG0000196	jg31558, jg31560	XP_006415507.2
OG0000196	jg28891	XP_006418015.2
OG0000196	jg31559	XP_006415505.2
OG0000196	jg31430	XP_006415606.2
OG0000197	jg28098	XP_024009776.1, XP_006391273.1, XP_024005932.1, XP_024005928.1
OG0000200	jg31833	XP_024016187.1, XP_024010305.1, XP_006397124.1, XP_006396952.1, XP_024010284.1
OG0000201	jg26412, jg26411, jg26410	XP_006406033.1, XP_024014915.1
OG0000201	jg26422	XP_006406220.1
OG0000201	jg26418, jg26417	XP_006406218.1, XP_006391352.1
OG0000202	jg7315	XP_006406722.1
OG0000202	jg25806	XP_006414663.1, XP_006414661.2
