Orthogroup	Arabidopsis_arenosa	Cardamine_amara
OG0000090	jg13115, jg28225, jg28226, jg13116	evm.model.RL_7.2545
OG0000090	jg29403	evm.model.RL_5.885
OG0000091	jg11947, jg19288, jg20822	evm.model.RL_6.574
OG0000093	jg15862	evm.model.RL_7.523
OG0000093	jg15841	evm.model.RL_7.532
OG0000096	jg1247	evm.model.RL_3.612
OG0000096	jg13128	evm.model.RL_7.2533
OG0000096	jg1310	evm.model.RL_3.627
OG0000096	jg20644	evm.model.RL_4.362
OG0000096	jg29337	evm.model.RL_5.825
OG0000097	jg7810	evm.model.RL_8.394
OG0000097	jg7818	evm.model.RL_8.392
OG0000097	jg11552	evm.model.RL_2.828
OG0000097	jg7820	evm.model.RL_8.388
OG0000097	jg7813, jg7812, jg7815, jg7814	evm.model.RL_8.395
OG0000098	jg651, jg658, jg654, jg653, jg650	evm.model.RL_3.229
OG0000098	jg23265	evm.model.RL_8.2377
OG0000099	jg7296, jg454, jg459, jg7310, jg27477, jg719, jg720	evm.model.RL_3.84, evm.model.RL_3.230, evm.model.RL_3.232
OG0000099	jg542	evm.model.RL_3.85
OG0000101	jg477	evm.model.RL_3.339
OG0000101	jg1381	evm.model.RL_3.664
OG0000104	jg17896	evm.model.RL_6.1001
OG0000104	jg17897	evm.model.RL_6.1006
OG0000104	jg33004	evm.model.RL_5.2109
OG0000104	jg26323	evm.model.RL_1.2055
OG0000104	jg33354	evm.model.RL_8.1054
OG0000104	jg33347	evm.model.RL_1.2425
OG0000104	jg17893	evm.model.RL_6.1000
OG0000105	jg2302, jg18124, jg11589, jg7189, jg11867, jg6721, jg13803, jg26770, jg7236, jg13734, jg13878, jg7238, jg21182, jg27677, jg21181, jg1858, jg11932, jg7202, jg7619, jg27619, jg7054, jg7052	evm.model.RL_1.2669
OG0000105	jg17571	evm.model.RL_6.453
OG0000106	jg25959, jg6741, jg26029, jg25961, jg6747, jg25960, jg6746, jg26030, jg26027, jg26079, jg27891	evm.model.RL_1.1887, evm.model.RL_1.1895, evm.model.RL_1.1845
OG0000106	jg14860	evm.model.RL_7.1393
OG0000107	jg26163	evm.model.RL_1.1929
OG0000108	jg7433	evm.model.RL_4.1209
OG0000108	jg17595, jg31284	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166
OG0000108	jg2306	evm.model.RL_3.231
OG0000108	jg27465, jg27461, jg1132, jg6405, jg11987, jg17594, jg31283, jg16874	evm.model.RL_1.3010
OG0000110	jg13485	evm.model.RL_7.771
OG0000110	jg15959	evm.model.RL_7.1925
OG0000110	jg15966	evm.model.RL_7.432
OG0000111	jg11228	evm.model.RL_8.2409
OG0000112	jg16607, jg17599, jg27950, jg23041	evm.model.RL_8.2167
OG0000113	jg12808	evm.model.RL_4.208
OG0000113	jg12802, jg12815	evm.model.RL_2.149
OG0000113	jg509	evm.model.RL_3.97, evm.model.RL_7.1875
OG0000113	jg12426	evm.model.RL_2.337
OG0000113	jg508	evm.model.RL_7.2287, evm.model.RL_4.763, evm.model.RL_4.318, evm.model.RL_4.346
OG0000114	jg24299	evm.model.RL_1.340
OG0000114	jg2542	evm.model.RL_3.2232, evm.model.RL_3.2202
OG0000114	jg20995	evm.model.RL_4.611
OG0000115	jg6881	evm.model.RL_4.2608, evm.model.RL_4.2425, evm.model.RL_2.2979
OG0000116	jg1481, jg15996, jg6981, jg14689, jg7083, jg1902	evm.model.RL_5.1553
OG0000118	jg15265, jg26895, jg27877	evm.model.RL_8.709, evm.model.RL_8.712
OG0000119	jg13725, jg9836, jg1719, jg21576, jg27974, jg7024	evm.model.RL_5.2397
OG0000120	jg893, jg889	evm.model.RL_3.399, evm.model.RL_3.395
OG0000120	jg11313	evm.model.RL_2.990, evm.model.RL_2.937
OG0000120	jg21600, jg21583, jg21561, jg21534, jg21584, jg21558	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932
OG0000120	jg13317, jg4214	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504
OG0000122	jg22485	evm.model.RL_5.2721
OG0000123	jg29806	evm.model.RL_5.1210
OG0000123	jg14270	evm.model.RL_5.1211
OG0000124	jg33081, jg14104, jg9592	evm.model.RL_4.540
OG0000125	jg15301	evm.model.RL_7.1020
OG0000125	jg24874, jg3993	evm.model.RL_4.3281
OG0000125	jg6123	evm.model.RL_4.1435
OG0000125	jg29136	evm.model.RL_5.630
OG0000125	jg22931	evm.model.RL_8.2069
OG0000125	jg14383	evm.model.RL_7.1769
OG0000125	jg17851	evm.model.RL_6.979
OG0000126	jg21202, jg10180, jg32086, jg12955, jg6735, jg10767	evm.model.RL_1.2513
OG0000126	jg13974	evm.model.RL_6.543, evm.model.RL_3.859
OG0000127	jg3918	evm.model.RL_4.3345
OG0000127	jg3915	evm.model.RL_4.3346
OG0000127	jg3920	evm.model.RL_4.3343
OG0000127	jg11550, jg24833	evm.model.RL_1.822
OG0000132	jg21091, jg22360, jg6813, jg6561	evm.model.RL_8.1179
OG0000135	jg27127	evm.model.RL_4.225
OG0000136	jg2128, jg2129, jg2126, jg2127	evm.model.RL_3.1028
OG0000137	jg17603	evm.model.RL_7.1543
OG0000137	jg12674	evm.model.RL_2.50
OG0000138	jg13822	evm.model.RL_7.2093
OG0000139	jg6850	evm.model.RL_8.982
OG0000140	jg14472, jg14471	evm.model.RL_7.1690
OG0000140	jg22845	evm.model.RL_8.2003
OG0000140	jg22848	evm.model.RL_7.1796
OG0000142	jg17933	evm.model.RL_6.1032
OG0000142	jg17936	evm.model.RL_6.1033, evm.model.RL_6.1034
OG0000144	jg32528, jg21692, jg13975	evm.model.RL_8.1451
OG0000145	jg2060	evm.model.RL_8.608
OG0000147	jg9392	evm.model.RL_2.2536
OG0000147	jg22635	evm.model.RL_8.1812
OG0000147	jg3697	evm.model.RL_3.2406
OG0000147	jg27288	evm.model.RL_1.2583
OG0000147	jg16942	evm.model.RL_6.348
OG0000149	jg14423	evm.model.RL_7.1738
OG0000149	jg14421	evm.model.RL_7.1737
OG0000149	jg14420	evm.model.RL_7.1739
OG0000150	jg14055, jg4290, jg14331	evm.model.RL_7.1807
OG0000150	jg14325	evm.model.RL_7.1810
OG0000151	jg22050	evm.model.RL_8.1422
OG0000151	jg24782	evm.model.RL_1.777
OG0000151	jg27769	evm.model.RL_1.2853
OG0000151	jg22463	evm.model.RL_8.1691
OG0000151	jg12793	evm.model.RL_3.61
OG0000154	jg30094	evm.model.RL_6.951, evm.model.RL_5.1456
OG0000154	jg24871	evm.model.RL_1.853
OG0000154	jg3984	evm.model.RL_2.489
OG0000155	jg9725	evm.model.RL_2.2243
OG0000156	jg19951	evm.model.RL_4.1065
OG0000156	jg19948	evm.model.RL_6.2692
OG0000157	jg2031, jg2038, jg2030, jg2028, jg7426	evm.model.RL_5.213
OG0000158	jg8653	evm.model.RL_2.3209, evm.model.RL_2.3204, evm.model.RL_2.3199
OG0000158	jg28264, jg5270, jg28263, jg16699	evm.model.RL_6.58
OG0000161	jg1847	evm.model.RL_3.891
OG0000161	jg1705, jg1715, jg1822	evm.model.RL_3.896
OG0000161	jg1821, jg1704	evm.model.RL_3.897
OG0000162	jg2236	evm.model.RL_3.1091
OG0000162	jg2036	evm.model.RL_3.978, evm.model.RL_3.979, evm.model.RL_3.975, evm.model.RL_3.977, evm.model.RL_3.976
OG0000162	jg19859	evm.model.RL_6.2628
OG0000165	jg11573	evm.model.RL_1.2284
OG0000167	jg10621, jg10622	evm.model.RL_2.1515
OG0000167	jg10624	evm.model.RL_2.1514
OG0000167	jg23232, jg10620	evm.model.RL_2.1516
OG0000169	jg17120	evm.model.RL_6.454
OG0000169	jg1192	evm.model.RL_3.574
OG0000171	jg5289	evm.model.RL_4.2162.1.687c86d7
OG0000172	jg16316	evm.model.RL_7.119
OG0000172	jg16317	evm.model.RL_3.406, evm.model.RL_3.423
OG0000172	jg15917	evm.model.RL_7.463
OG0000172	jg15932	evm.model.RL_7.1680, evm.model.RL_7.1683
OG0000173	jg1461, jg26673, jg7106, jg7127, jg7132, jg17518, jg1807, jg14356, jg7184, jg21355, jg2228, jg26653, jg14013	evm.model.RL_5.288
OG0000175	jg15013	evm.model.RL_7.1254
OG0000175	jg3242	evm.model.RL_3.1995
OG0000175	jg30537	evm.model.RL_5.1839
OG0000175	jg8854	evm.model.RL_2.3025
OG0000176	jg31636, jg31639	evm.model.RL_5.2856
OG0000181	jg28047	evm.model.RL_6.2564
OG0000185	jg12153	evm.model.RL_1.2420, evm.model.RL_7.527, evm.model.RL_3.588, evm.model.RL_1.1351, evm.model.RL_2.287
OG0000186	jg17369, jg17588	evm.model.RL_5.2354, evm.model.RL_8.2135
OG0000187	jg9234, jg9235	evm.model.RL_2.2676, evm.model.RL_2.2677
OG0000188	jg33027	evm.model.RL_1.2150, evm.model.RL_1.1078
OG0000189	jg8629	evm.model.RL_6.2240, evm.model.RL_6.2193, evm.model.RL_2.3227
OG0000190	jg7702	evm.model.RL_8.476, evm.model.RL_8.475
OG0000190	jg7704	evm.model.RL_8.473
OG0000190	jg7703	evm.model.RL_8.474.1.687c8557
OG0000190	jg32186	evm.model.RL_8.916
OG0000191	jg25728	evm.model.RL_1.1587
OG0000192	jg30670	evm.model.RL_5.3624
OG0000192	jg3362	evm.model.RL_3.2103
OG0000195	jg17567	evm.model.RL_6.761
OG0000195	jg15712, jg15648	evm.model.RL_7.686, evm.model.RL_6.2234
OG0000195	jg2098	evm.model.RL_2.437
OG0000195	jg12245	evm.model.RL_3.1018
OG0000195	jg14060	evm.model.RL_4.1537, evm.model.RL_7.1974
OG0000196	jg31558, jg31560	evm.model.RL_5.2252
OG0000196	jg31432	evm.model.RL_4.2554
OG0000196	jg31559	evm.model.RL_1.1858
OG0000197	jg12743	evm.model.RL_8.487
OG0000197	jg12179	evm.model.RL_2.70
OG0000197	jg12176, jg14708, jg14696, jg15293, jg12792, jg11871, jg11778, jg28098, jg12682, jg12608, jg12633, jg12636	evm.model.RL_2.911
OG0000200	jg28943	evm.model.RL_5.455
OG0000200	jg26794, jg26858, jg26826	evm.model.RL_1.2415, evm.model.RL_1.2410
OG0000201	jg26420	evm.model.RL_1.2115
OG0000203	jg24349, jg24348	evm.model.RL_1.381
OG0000203	jg24346, jg24347	evm.model.RL_1.380
OG0000204	jg15213, jg26496, jg26333	evm.model.RL_1.2062
OG0000205	jg16530	evm.model.RL_8.836
OG0000206	jg33290	evm.model.RL_6.475, evm.model.RL_8.541
OG0000207	jg3556, jg2081, jg1979, jg2083, jg12504, jg2076, jg17554, jg2082, jg2084	evm.model.RL_3.2271
OG0000208	jg8418	evm.model.RL_2.3387
OG0000209	jg416, jg418	evm.model.RL_3.58, evm.model.RL_3.243, evm.model.RL_6.273
OG0000209	jg415	evm.model.RL_3.240_evm.model.RL_3.241, evm.model.RL_6.275, evm.model.RL_3.242, evm.model.RL_6.274, evm.model.RL_6.276
OG0000209	jg413	evm.model.RL_7.2654
OG0000209	jg12794, jg12796	evm.model.RL_2.160
OG0000209	jg12797	evm.model.RL_2.161
OG0000210	jg13164	evm.model.RL_7.1999
OG0000213	jg16737	evm.model.RL_6.203
OG0000213	jg16741, jg16740	evm.model.RL_6.204
OG0000214	jg2493	evm.model.RL_7.215
OG0000214	jg8001	evm.model.RL_8.81, evm.model.RL_8.239
OG0000217	jg1148	evm.model.RL_7.1931
OG0000217	jg1022	evm.model.RL_3.599
OG0000218	jg29979	evm.model.RL_5.1346
OG0000218	jg29981	evm.model.RL_5.1347, evm.model.RL_5.1349
OG0000218	jg11388, jg12942	evm.model.RL_7.2697_evm.model.RL_7.2698
OG0000219	jg2178, jg2182, jg2180, jg2179	evm.model.RL_3.1053
OG0000219	jg23294	evm.model.RL_8.2397
OG0000220	jg19245, jg19241	evm.model.RL_3.318
OG0000224	jg3422	evm.model.RL_3.2157
OG0000224	jg3420	evm.model.RL_3.2156
OG0000225	jg31470	evm.model.RL_5.2983
OG0000225	jg31471	evm.model.RL_5.2977
OG0000225	jg31473	evm.model.RL_5.2981
OG0000225	jg31478, jg31472	evm.model.RL_5.2975
OG0000225	jg31468	evm.model.RL_5.2976, evm.model.RL_5.2985
OG0000226	jg23338	evm.model.RL_8.2609, evm.model.RL_8.2608
OG0000228	jg2702	evm.model.RL_3.1491
OG0000228	jg6720, jg6718	evm.model.RL_4.998
OG0000228	jg2698	evm.model.RL_3.1486
OG0000229	jg9443, jg9444, jg5645, jg5642, jg9442	evm.model.RL_8.305, evm.model.RL_8.256, evm.model.RL_8.257
OG0000229	jg32894, jg33326	evm.model.RL_2.330, evm.model.RL_7.1066
OG0000231	jg12412	evm.model.RL_2.361
OG0000231	jg11881	evm.model.RL_3.874
OG0000231	jg2248	evm.model.RL_3.1104
OG0000232	jg6484, jg6481	evm.model.RL_5.1311
OG0000233	jg32554	evm.model.RL_7.2092
OG0000233	jg24835	evm.model.RL_2.2480
OG0000234	jg15449	evm.model.RL_7.860
OG0000234	jg15448	evm.model.RL_7.861
OG0000234	jg15447	evm.model.RL_7.862
OG0000234	jg19118	evm.model.RL_6.2046
OG0000234	jg5170	evm.model.RL_4.2267
OG0000236	jg17600, jg17601, jg17602	evm.model.RL_6.790
OG0000237	jg12894	evm.model.RL_2.732
OG0000242	jg27567	evm.model.RL_1.2752, evm.model.RL_1.2751
OG0000244	jg10370	evm.model.RL_2.1690
OG0000248	jg7420, jg7421, jg7418	evm.model.RL_8.548
OG0000248	jg15619	evm.model.RL_7.722
OG0000249	jg18816	evm.model.RL_6.1769
OG0000249	jg18819	evm.model.RL_6.1770
OG0000250	jg2614	evm.model.RL_3.1397
OG0000251	jg1955	evm.model.RL_6.835
OG0000251	jg17509	evm.model.RL_8.2352
OG0000251	jg32810	evm.model.RL_1.2772
OG0000252	jg19739	evm.model.RL_4.802
OG0000252	jg4035	evm.model.RL_5.3777
OG0000252	jg4032	evm.model.RL_1.1880
OG0000252	jg4031	evm.model.RL_1.1879
OG0000252	jg4034	evm.model.RL_3.263
OG0000256	jg21390, jg21205, jg21204, jg27046	evm.model.RL_2.275
OG0000256	jg19308	evm.model.RL_6.2167, evm.model.RL_4.439
OG0000258	jg13318, jg13319	evm.model.RL_7.2389
OG0000258	jg13320	evm.model.RL_7.2388
OG0000260	jg4068	evm.model.RL_8.722
OG0000260	jg17320	evm.model.RL_2.1046
OG0000260	jg4074, jg21365	evm.model.RL_5.2925
OG0000260	jg14255	evm.model.RL_4.3199
OG0000264	jg7787	evm.model.RL_8.411, evm.model.RL_8.323
OG0000264	jg7793	evm.model.RL_8.410, evm.model.RL_8.409
OG0000264	jg7885, jg7884, jg7892, jg7931, jg7886	evm.model.RL_8.324
OG0000265	jg5787	evm.model.RL_4.1725
OG0000265	jg19783	evm.model.RL_5.3116
OG0000265	jg20789	evm.model.RL_6.1068
OG0000266	jg16158, jg16157	evm.model.RL_7.1038
OG0000266	jg31826	evm.model.RL_8.1428
OG0000266	jg15562, jg15586	evm.model.RL_7.884
OG0000266	jg15559	evm.model.RL_7.1153, evm.model.RL_7.1139.1.687c84b8
OG0000266	jg16268	evm.model.RL_7.114
OG0000266	jg15782, jg15779	evm.model.RL_7.607, evm.model.RL_7.609, evm.model.RL_4.61, evm.model.RL_7.608
OG0000268	jg13018	evm.model.RL_7.2613
OG0000268	jg716	evm.model.RL_3.272
OG0000268	jg3910	evm.model.RL_4.3350
OG0000268	jg15354	evm.model.RL_7.967
OG0000270	jg8360	evm.model.RL_2.3440
OG0000270	jg30517	evm.model.RL_5.1819
OG0000271	jg6298	evm.model.RL_4.3215
OG0000271	jg33663	evm.model.RL_1.889
OG0000271	jg7797, jg7876	evm.model.RL_4.3212
OG0000273	jg29043, jg32950, jg32635, jg32647, jg32948, jg32949	evm.model.RL_5.2635
OG0000274	jg22908	evm.model.RL_8.2049
OG0000274	jg1015	evm.model.RL_3.504
OG0000274	jg17967	evm.model.RL_6.1051
OG0000275	jg26395	evm.model.RL_3.456, evm.model.RL_1.2114
OG0000278	jg22742, jg22822, jg22743	evm.model.RL_8.1993
OG0000278	jg2988	evm.model.RL_3.1756
OG0000279	jg32173	evm.model.RL_2.847
OG0000280	jg32523	evm.model.RL_7.2051, evm.model.RL_5.404
OG0000281	jg1290, jg1284	evm.model.RL_2.1747
OG0000282	jg4604, jg4594	evm.model.RL_4.2795
OG0000282	jg4596	evm.model.RL_4.226, evm.model.RL_4.2794
OG0000282	jg4599	evm.model.RL_4.2792
OG0000284	jg6565	evm.model.RL_4.1106, evm.model.RL_4.1105
OG0000284	jg24512, jg11645, jg21432	evm.model.RL_4.572
OG0000285	jg27336, jg12459, jg1615, jg32047, jg20828, jg32156, jg32318	evm.model.RL_6.721
OG0000287	jg26271	evm.model.RL_1.2024
OG0000287	jg26276	evm.model.RL_4.2391
OG0000287	jg26279	evm.model.RL_1.2027
OG0000287	jg26277, jg26278	evm.model.RL_1.2026
OG0000288	jg31005, jg2458, jg25667, jg13147	evm.model.RL_1.2504
OG0000290	jg25996	evm.model.RL_1.1777
