Orthogroup	Arabidopsis_arenosa	Brassica_napus
OG0000061	jg5265, jg31440, jg25892, jg12998, jg302, jg26776, jg6463, jg14036	XP_048637558.1, XP_048596723.1, XP_013696292.3, XP_013739780.2, XP_048623330.1, XP_048624587.1, XP_048600681.1, XP_013732657.2, XP_022554064.1, XP_013743691.1, XP_013723290.2, XP_048595762.1, XP_048592686.1, XP_048592725.1, XP_048615070.1, XP_048630784.1, XP_048608631.1, XP_048630841.1, XP_013651771.2, XP_048618601.1, XP_048603650.1, XP_048606030.1, XP_048606466.1, XP_013706470.2, XP_013729547.2, XP_013687886.1, XP_013680970.2, XP_048622924.1, XP_048615428.1, XP_048602960.1, XP_022557143.1, XP_022556335.1, XP_013691840.1, XP_013662162.2, XP_048592595.1, XP_013677735.1, XP_013738633.2, XP_013700197.1, XP_048611597.1, XP_013739555.1, XP_013739489.3, XP_022552117.1, XP_048604597.1
OG0000062	jg7377	XP_048611761.1, XP_013701495.2, XP_048619707.1, XP_013703977.2, XP_022575147.1, XP_048602568.1, XP_048630018.1, XP_013741022.1, XP_022574457.1, XP_013723697.1, XP_013717352.1, XP_013745422.2, XP_013725743.2, XP_048636767.1, XP_048628779.1, XP_048602176.1, XP_048628782.1, XP_048613487.1, XP_048624175.1, XP_013694681.2, XP_048604692.1, XP_048623683.1, XP_013705125.2, XP_013658760.2, XP_048633093.1
OG0000063	jg21249	XP_013657574.1, XP_013676426.1, XP_013733729.1, XP_013729484.1, XP_013642542.1, XP_013734919.1, XP_013641159.1, XP_013723951.1, XP_013695902.1, XP_013691794.1, XP_013748348.1, XP_013744725.1, XP_013732634.1, XP_013641146.1, XP_013716269.1, XP_013708232.1, XP_013661167.1, XP_013708064.1, XP_013744194.1, XP_013678307.1, XP_013682107.2, XP_013702039.1, XP_013647689.1, XP_013699203.1, XP_013680787.1
OG0000064	jg8362	XP_013644911.1, XP_013706797.1
OG0000064	jg18482	XP_013679593.1
OG0000066	jg1404	XP_013750874.1, XP_013686753.1, XP_013709910.2, XP_022552886.1, XP_013678750.1, XP_013657686.1, XP_013726586.1, XP_013686743.2, XP_013731494.1, XP_013698649.1, XP_013712760.1, XP_048627501.1, XP_048626247.1, XP_048627503.1, XP_048626251.1, XP_048630526.1, XP_048601368.1, XP_013738537.1, XP_013718218.1, XP_013686742.1
OG0000067	jg24838, jg24839, jg4261, jg4260, jg4298	XP_013715412.1, XP_013670850.1, XP_048623178.1, XP_022548777.1, XP_048598519.1, XP_013668584.1
OG0000067	jg4679	XP_022566489.1, XP_022573196.2, XP_048624900.1, XP_048626836.1, XP_013716195.1, XP_048597874.1, XP_048607790.1, XP_048607781.1, XP_048607786.1, XP_048607791.1, XP_048624661.1, XP_048624657.1, XP_048607787.1, XP_048607782.1, XP_013722477.1, XP_013722478.1, XP_048607668.1
OG0000068	jg32484	XP_048623748.1, XP_013718384.1, XP_013704169.3, XP_048611398.1, XP_022562330.1, XP_048620191.1
OG0000069	jg13268	XP_013705347.1, XP_048620488.1
OG0000069	jg32690	XP_022557439.1, XP_048612804.1, XP_048612800.1, XP_013751106.1, XP_048635044.1
OG0000069	jg32034	XP_048632944.1, XP_048591440.1, XP_013673924.1, XP_048605823.1, XP_048605153.1
OG0000069	jg7033	XP_048632961.1
OG0000071	jg17558	XP_048599861.1, XP_048623054.1, XP_013699951.1
OG0000071	jg28233	XP_048593443.1, XP_013739437.1, XP_013728665.1, XP_013739111.2, XP_013709837.1, XP_048623943.1, XP_013694390.2, XP_048613267.1, XP_013678912.2, XP_022553097.1, XP_013668702.2
OG0000071	jg15329	XP_022567858.2, XP_013679363.1, XP_013679579.1, XP_013704441.1
OG0000071	jg25723	XP_013694349.1, XP_048605778.1
OG0000072	jg16476, jg16484, jg29790, jg9963, jg13945, jg11738, jg2091	XP_048635064.1, XP_013647323.1, XP_048593398.1, XP_048596351.1, XP_048603899.1, XP_048600599.1, XP_048594413.1, XP_048618310.1, XP_048604095.1, XP_048604094.1, XP_048596580.1, XP_048594542.1, XP_048604074.1, XP_048591382.1, XP_048627563.1, XP_048590810.1, XP_022567739.2, XP_048619385.1, XP_013689512.1, XP_013652914.1, XP_013719569.1, XP_048599139.1, XP_048594764.1, XP_048626217.1, XP_022549334.2, XP_048626215.1, XP_048591054.1
OG0000073	jg20419	XP_048616743.1, XP_048591931.1
OG0000073	jg20416, jg20443, jg20442	XP_048616162.1, XP_048629185.1, XP_048632242.1
OG0000073	jg7157, jg7084	XP_022548483.2
OG0000073	jg20415	XP_048616181.1
OG0000073	jg20412	XP_048603851.1, XP_048629187.1, XP_013705861.2
OG0000073	jg20417	XP_048637358.1
OG0000074	jg30930	XP_013650643.2, XP_013658370.2
OG0000074	jg17689	XP_048618642.1, XP_013650642.2, XP_048592695.1, XP_013659564.1, XP_048618639.1, XP_048592696.1
OG0000074	jg30936	XP_013693122.1, XP_013662871.2
OG0000074	jg30922	XP_048597301.1, XP_022564630.1, XP_013705955.1, XP_013658420.2, XP_013695922.2
OG0000075	jg4863, jg4865	XP_022547516.1, XP_048596886.1
OG0000075	jg364	XP_013711414.1, XP_013711416.2, XP_013716460.2
OG0000075	jg17315	XP_013642044.2, XP_013684680.1, XP_013642132.2, XP_048600513.1
OG0000075	jg29545, jg29543	XP_048602300.1, XP_048604150.1, XP_048600005.1, XP_048599914.1, XP_048591420.1
OG0000075	jg10637, jg14429	XP_048620324.1
OG0000076	jg20912, jg15191	XP_048625706.1
OG0000076	jg15039	XP_013662287.2
OG0000076	jg20913, jg15189	XP_013659850.2, XP_022549905.1, XP_048633975.1, XP_048633972.1, XP_048633971.1, XP_013645263.2
OG0000076	jg1458, jg1459, jg1457, jg13392, jg13393, jg13394	XP_048595244.1, XP_048625573.1
OG0000076	jg13388, jg13373, jg13390	XP_013644701.2, XP_022561919.2, XP_013672574.2
OG0000077	jg8424, jg8422	XP_013735884.1, XP_013735871.1, XP_013735860.1, XP_013707233.1
OG0000077	jg8428	XP_022543769.2, XP_013707234.1
OG0000078	jg13800, jg25795, jg13799, jg25794	XP_048619152.1, XP_048619079.1, XP_048610792.1, XP_048613318.1, XP_048622904.1, XP_048595356.1
OG0000078	jg9173	XP_013700526.1, XP_013650905.1, XP_013745380.1, XP_048637495.1, XP_013700179.1, XP_048605892.1, XP_048623590.1, XP_048611607.1, XP_013665097.1, XP_048622699.1, XP_022549656.1, XP_048609005.1, XP_048599720.1, XP_013739428.1, XP_048596368.1, XP_048623987.1, XP_048613524.1, XP_048620033.1, XP_022546375.1, XP_048628043.1, XP_048615664.1, XP_022576097.1, XP_048628042.1, XP_048603585.1, XP_048630261.1, XP_048634207.1, XP_048609229.1, XP_048591498.1, XP_048591499.1, XP_013654184.1, XP_048623523.1, XP_013681787.1, XP_048634099.1, XP_048611376.1, XP_022551141.2, XP_048617967.1, XP_048634792.1, XP_048592898.1, XP_013728224.3
OG0000079	jg24132, jg24131	XP_013729190.1, XP_048595764.1
OG0000079	jg15929	XP_048612278.1, XP_013734091.1, XP_013683381.1, XP_048596518.1, XP_048597432.1, XP_048620983.1, XP_048612276.1
OG0000079	jg17321, jg17317, jg17322	XP_013663684.1, XP_013686218.2
OG0000079	jg15922	XP_013686220.2
OG0000079	jg15911, jg15928	XP_048593056.1, XP_048615760.1, XP_022573359.2, XP_013724447.1, XP_048593057.1, XP_013724445.1
OG0000080	jg1961, jg32859, jg32843, jg32550, jg32855, jg32866	XP_013715458.2, XP_048624999.1, XP_048625002.1, XP_048625005.1, XP_048599127.1
OG0000080	jg32551, jg32841, jg32864, jg32857	XP_048622513.1, XP_048601564.1, XP_048596444.1, XP_022552667.1, XP_048622020.1, XP_048622024.1
OG0000081	jg32882, jg32881, jg32883, jg33223	XP_048614723.1
OG0000081	jg5636	XP_013679962.2, XP_048593909.1, XP_022545884.1, XP_022553576.2, XP_048624358.1, XP_048607762.1, XP_013714080.1, XP_048596074.1, XP_022553568.1, XP_022545889.2
OG0000083	jg32007, jg27544, jg27541	XP_013694863.1
OG0000083	jg2769	XP_013678470.2, XP_013674778.2, XP_022544744.2
OG0000083	jg26553	XP_048595388.1
OG0000083	jg24440, jg16886, jg16884	XP_013732405.3, XP_013732131.3
OG0000084	jg16996	XP_048612342.1
OG0000084	jg16995, jg17274, jg17286, jg17001, jg16991	XP_022558586.1, XP_048633679.1, XP_022574379.2
OG0000084	jg17289	XP_013716110.2, XP_048627361.1, XP_013729540.1
OG0000084	jg16989, jg17288	XP_048611942.1, XP_048634134.1, XP_013688312.2, XP_022574378.2, XP_048633678.1
OG0000085	jg27503, jg21532	XP_022569788.1
OG0000086	jg1275, jg1277, jg1270, jg1278, jg1271, jg1274, jg1272, jg1273, jg1280, jg1279, jg1276, jg1269, jg20985, jg20984, jg20982, jg20983, jg20981, jg20978, jg20980, jg20977, jg20975, jg20976, jg20974, jg20979, jg20973	XP_048596830.1, XP_013654149.2, XP_048596828.1, XP_048596826.1, XP_048596831.1, XP_048596838.1, XP_048596825.1, XP_013670270.2, XP_048625411.1, XP_048625797.1, XP_048624818.1, XP_048624742.1, XP_048623032.1, XP_048624743.1, XP_048625421.1, XP_013670272.1, XP_048625417.1, XP_048596836.1, XP_048596827.1, XP_048596835.1, XP_013654809.1, XP_048596829.1, XP_048596834.1, XP_048596833.1, XP_048596839.1, XP_013654148.2, XP_048596832.1, XP_048596823.1, XP_013654807.2, XP_048596837.1, XP_013654814.2, XP_048596824.1
OG0000087	jg6235	XP_022562884.1
OG0000087	jg17972	XP_013744215.1, XP_048609898.1, XP_013748897.2, XP_048630422.1, XP_013748912.1
OG0000087	jg23223	XP_013647839.1, XP_013642755.1, XP_013706649.2, XP_013642584.1, XP_048606695.1, XP_013642908.2
OG0000087	jg5068	XP_013727135.1, XP_013668012.1
OG0000087	jg18593	XP_048636624.1, XP_022571399.1, XP_013692248.1
OG0000087	jg20749	XP_048623521.1, XP_013730319.2, XP_048615524.1, XP_048595999.1, XP_013685704.1, XP_013723718.1, XP_048637415.1
OG0000087	jg10485	XP_013735145.1, XP_013671115.1, XP_013717468.1, XP_013737534.1
OG0000087	jg3235	XP_013702315.1, XP_013717905.1
OG0000088	jg14230, jg14231	XP_013744164.1, XP_048633769.1, XP_013662951.2
OG0000088	jg17633	XP_013691478.1, XP_013642657.2, XP_013696082.2, XP_048604148.1, XP_048596586.1, XP_013640522.2, XP_013682377.2, XP_013732525.1, XP_048600910.1, XP_013663313.2, XP_013682378.2
OG0000088	jg14545, jg14558	XP_022570880.1, XP_013681867.2
OG0000088	jg5910	XP_013667304.2, XP_013703852.2
OG0000088	jg21695	XP_048637102.1, XP_013686530.2
