Orthogroup	Arabidopsis_arenosa	Aethionema_saxatile
OG0000123	jg9826	As008G183750
OG0000123	jg29805, jg647	As008G183720
OG0000125	jg24874, jg3993	As005G107620
OG0000125	jg6123	As005G113770
OG0000125	jg22931	As005G114700, As010G224880
OG0000125	jg17851	As006G129500
OG0000127	jg29525, jg29526, jg29071	As008G186430, As008G186390, As008G185640
OG0000133	jg7039	As004G090110, As010G227760, As002G038290, As007G165020
OG0000133	jg6891, jg17431	As007G167120, As007G166850, As004G092840, As011G261830
OG0000135	jg27483	As001G005020
OG0000135	jg27127	As008G186340
OG0000136	jg2128, jg2129, jg2126, jg2127	As001G028730
OG0000136	jg12281	As005G116580, As005G116570
OG0000138	jg13824	As010G224060
OG0000138	jg13817, jg13821	As001G027950, As001G027940, As007G161530
OG0000139	jg27251, jg26448	As001G010560
OG0000140	jg22850	As005G115230
OG0000140	jg22845, jg22800, jg21885, jg22801, jg22798, jg22799, jg22848, jg22851, jg22847	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370
OG0000145	jg17724	As003G069750
OG0000146	jg22363, jg21872	As002G047180
OG0000146	jg22365, jg22366, jg22364	As002G047190
OG0000147	jg28078	As011G265720
OG0000147	jg9392	As001G002190
OG0000147	jg22635	As002G049060
OG0000147	jg3697	As010G243490
OG0000147	jg13954	As010G227330
OG0000147	jg27288	As011G259420
OG0000149	jg14423	As010G224590
OG0000149	jg22898, jg22904, jg22901, jg22900, jg14420	As010G224610
OG0000150	jg22960	As010G225230
OG0000150	jg14055, jg4290, jg14331, jg17260, jg17259, jg17257, jg14325	As010G225180, As010G225220, As010G225210
OG0000151	jg24782	As006G141980, As006G133740
OG0000151	jg27769	As011G263600
OG0000151	jg22463	As002G047900
OG0000151	jg12793	As001G030700
OG0000154	jg30094	As007G152520
OG0000154	jg25213	As009G210670
OG0000154	jg24871	As002G034300
OG0000154	jg3985	As005G107550
OG0000155	jg9725, jg14971, jg12562, jg12564, jg12983, jg10429, jg2004, jg10428	As003G059350
OG0000156	jg16151	As012G287040, As012G287050
OG0000156	jg19948	As005G101590, As008G189910, As005G101570, As005G101560, As005G101580
OG0000156	jg16152	As001G028010
OG0000161	jg23140, jg23141, jg33435, jg33436, jg21823, jg17685, jg17683, jg17687, jg31502, jg1832, jg31503, jg1847	As001G013550, As001G029600, As001G029610
OG0000162	jg15299	As012G286460
OG0000162	jg19860	As012G286440
OG0000162	jg16104	As012G286400, As012G286420, As012G286480, As012G286450, As012G286430, As012G286540, As012G286510, As012G286530, As012G286410, As012G286470, As012G286550, As012G286570
OG0000162	jg19859	As005G102210
OG0000164	jg9497, jg31608	As011G264140, As011G262780
OG0000166	jg11859	As011G260470, As002G040840
OG0000166	jg10075, jg17325	As010G228020
OG0000166	jg27846	As004G081580, As001G006820, As003G064800, As010G230400, As010G226530, As002G041150, As009G205490, As001G005350, As008G194830, As002G036330, As008G185730, As010G227240, As009G213530, As001G028210, As006G147470, As012G278710, As009G209860, As012G278700, As009G212490, As003G065570, As004G089950, As010G228950, As010G228940, As005G111670, As004G092330, As003G068080
OG0000168	jg19451	As010G230090
OG0000169	jg3074	As010G239290
OG0000171	jg29462, jg955, jg30921	As004G097180
OG0000171	jg5289	As009G200410
OG0000175	jg15013	As010G220360
OG0000175	jg30537	As007G156270
OG0000175	jg8854	As011G263590
OG0000187	jg16968, jg9234, jg9235	As001G003940
OG0000187	jg9230	As001G003960
OG0000190	jg7702, jg7704, jg7703, jg7707, jg7705, jg32186	As004G085680
OG0000191	jg25728	As007G152760
OG0000192	jg3362	As007G157190
OG0000192	jg30663	As007G157180, As007G157200, As007G157210
OG0000195	jg2098, jg12245	As001G028840
OG0000195	jg14060	As002G033300
OG0000200	jg14818	As008G194290
OG0000203	jg24303, jg5021, jg5008, jg5007, jg5020, jg5022	As006G136770
OG0000204	jg26496	As011G254640, As011G254620, As011G254600, As011G254610, As011G254630, As011G254590
OG0000206	jg33290	As003G068620, As001G006580
OG0000207	jg2551, jg3555, jg3556, jg2081, jg1979, jg2083, jg12504, jg2076, jg17554, jg2082, jg2084, jg11400, jg3554, jg16693, jg30217	As003G061070
OG0000208	jg8418, jg21871	As003G075160
OG0000213	jg16737, jg16738, jg16741, jg16740	As002G038840
OG0000217	jg1353, jg1150, jg1143, jg1140, jg1148, jg1145, jg7386, jg1031	As001G019850
OG0000217	jg1027, jg1032, jg1047, jg7385	As007G177020
OG0000218	jg29979, jg29981, jg29982, jg13337, jg11388, jg12942	As001G022650
OG0000219	jg2178, jg2182, jg2180, jg2179	As001G028500, As001G028480
OG0000219	jg23294, jg23293	As003G064990
OG0000224	jg3422, jg3420	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880
OG0000224	jg9231, jg571, jg570	As001G031540
OG0000225	jg31470, jg31479, jg31471, jg31469, jg31473, jg31478, jg31472, jg31468	As003G069680, As003G070050
OG0000228	jg6720, jg6718	As007G159250
OG0000228	jg2708, jg2698	As010G233770, As011G262150, As010G233790, As010G233800
OG0000231	jg12412	As004G077900
OG0000231	jg2322, jg11881, jg2248	As001G028220
OG0000232	jg24479, jg24480, jg25056, jg27540, jg27543, jg6484, jg6481, jg25050	As002G036540, As006G139020
OG0000233	jg1869	As007G163840
OG0000233	jg32629	As005G111800
OG0000234	jg15448	As012G281460
OG0000234	jg15447, jg19118	As006G143800
OG0000234	jg5170	As009G210340
OG0000237	jg12894	As010G229740
OG0000237	jg1321	As011G257810
OG0000242	jg27565, jg27567, jg29880, jg29882, jg29883, jg29879	As008G183340, As008G183330
OG0000244	jg10370	As003G059930
OG0000244	jg7736	As004G085870
OG0000244	jg10373, jg10374, jg10376, jg10372, jg10371	As003G059920, As003G059880, As003G059910, As003G059890, As003G059900
OG0000244	jg7734, jg7735	As004G085860, As004G085850
OG0000248	jg1267	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420
OG0000249	jg18816	As006G145310
OG0000249	jg18819	As006G145330, As008G193990, As006G145350, As006G145320
OG0000257	jg24983, jg8499	As002G035710, As012G268510
OG0000258	jg22623	As002G048970
OG0000264	jg7787	As004G086270, As010G229170
OG0000268	jg13018	As001G023230
OG0000268	jg716	As001G023220, As001G023200
OG0000268	jg3910	As005G106920
OG0000268	jg15354	As012G278370
OG0000270	jg8879, jg27707	As003G075960
OG0000270	jg8360	As001G014420
OG0000270	jg3222	As007G156110
OG0000271	jg7876	As004G086280
OG0000272	jg13269	As006G146460
OG0000273	jg32948, jg32949	As012G273480
OG0000274	jg22908	As005G114920
OG0000274	jg17967	As006G128840, As006G128830
OG0000276	jg11537, jg11540	As009G205840, As009G205860, As003G058460, As001G005010, As004G093920
OG0000276	jg10545	As007G163350, As007G163430
OG0000277	jg11133, jg11132	As004G096710
OG0000279	jg14913, jg32174	As001G004840, As010G237280
OG0000279	jg32173	As007G165600
OG0000282	jg4598	As002G055220
OG0000283	jg20896, jg20889, jg20890, jg20895, jg20892, jg20894	As006G125160, As006G125170, As006G125120, As006G125130
OG0000284	jg6565	As006G139300
OG0000284	jg24512, jg11645, jg21432	As006G139290
OG0000293	jg13739, jg17397	As003G062500
OG0000293	jg17741	As011G259530
OG0000293	jg16745	As008G188650, As004G094780, As002G042500, As003G064050
OG0000293	jg2108, jg17742, jg16229, jg17720, jg33715, jg13084, jg2107, jg12203, jg8476, jg7941, jg7460	As008G183660, As010G232130, As005G108620, As004G086880, As002G041480, As001G006100, As010G228040, As012G281040, As007G178790, As004G092500, As002G035750, As012G280660, As001G012420, As008G183780, As010G226290, As003G071470, As002G038540, As007G178480, As009G209600, As001G010260, As008G190530, As004G096370, As001G004210, As008G187190, As010G221940, As003G075280
OG0000294	jg25844	As011G249490
OG0000294	jg18827	As006G145420
OG0000294	jg28558, jg8055	As008G198060
OG0000297	jg8679	As008G198730
OG0000297	jg22984, jg21254, jg21265, jg26115	As005G114280
OG0000299	jg11188	As010G241870, As010G241880
OG0000299	jg3528, jg3526	As004G094650, As004G094810, As004G094790, As004G094750, As004G094730, As004G094760, As004G094670, As004G094660, As004G094800
OG0000299	jg574	As010G241860, As009G207860
OG0000299	jg33778	As012G267900
OG0000308	jg20698, jg1474, jg2927, jg2926, jg12613, jg12614, jg30285, jg2110, jg2919	As010G240850, As010G240840, As010G240940, As010G240920
OG0000310	jg22857, jg22859, jg30710	As005G115910, As001G004860, As001G003850, As005G113880
OG0000311	jg5485	As009G202530
OG0000311	jg25896	As011G249880
OG0000311	jg12214	As004G077290
OG0000311	jg2061	As001G029000
OG0000313	jg10548	As003G058420
OG0000313	jg10546	As007G163450, As007G163440
OG0000313	jg16779, jg11100	As003G064930
OG0000314	jg28796	As008G195840
OG0000314	jg28797	As006G125760
OG0000314	jg18340	As006G125440
OG0000316	jg24355	As008G187440, As008G187910
OG0000319	jg29154, jg29153, jg22981	As006G129730, As005G114310, As008G191530
OG0000321	jg12172, jg12224, jg10987, jg10984, jg12178, jg12174, jg12175, jg12188, jg12186	As001G010170
OG0000321	jg12173	As010G230550
OG0000322	jg3516	As009G214030
OG0000322	jg19279, jg7268, jg32496, jg19283	As007G153590
OG0000323	jg9679	As005G112480
OG0000327	jg30941	As008G195090, As008G195100, As011G263130
OG0000328	jg11299	As001G029880
OG0000329	jg19826, jg16118	As007G180560
OG0000332	jg1712	As001G030000
OG0000332	jg5839, jg5838	As002G033230
OG0000332	jg33133	As011G251780
OG0000334	jg15317	As012G277630
OG0000334	jg18934, jg7974, jg7975, jg7976	As006G146780
OG0000339	jg10163	As003G061400
OG0000339	jg8201	As006G121550
OG0000339	jg19995, jg16199	As005G101130, As012G287430
OG0000340	jg2171, jg19687	As005G103820
OG0000340	jg19689	As005G103800, As005G103810
OG0000348	jg6911, jg20347	As002G041810
OG0000348	jg7177, jg27094	As002G040050
OG0000350	jg31515	As003G070220, As003G070200
OG0000351	jg32030, jg32031, jg32032, jg25465, jg25470	As009G207800
OG0000351	jg25466, jg23092	As011G246680
OG0000351	jg25469, jg25468	As011G246700, As011G246690
OG0000351	jg23093, jg25467	As009G207810, As011G246650
OG0000351	jg25462	As007G177900
OG0000352	jg30216	As007G153380
OG0000358	jg28744, jg4767	As006G124930, As008G196330
OG0000358	jg20849, jg4766, jg4765	As008G196390
OG0000359	jg18545	As012G275420
OG0000360	jg23699, jg23698	As005G119730
OG0000362	jg27678	As006G134970
OG0000368	jg8600, jg8601	As003G073560, As003G073580
OG0000368	jg2119, jg8599, jg8598	As003G073600, As003G073590
OG0000370	jg30223, jg30222, jg9938, jg9939	As007G153440
OG0000371	jg31101, jg20131, jg28645, jg29567	As005G099710, As005G099720
OG0000372	jg9737, jg9736, jg9735	As006G132540, As006G132550
OG0000374	jg10334	As012G273470, As012G273550
OG0000378	jg12392, jg6729, jg7062	As003G067400
OG0000382	jg16322, jg28568, jg8018	As006G122900
OG0000382	jg29276	As008G188710
OG0000383	jg31387, jg31388, jg31780, jg17641	As003G069230
OG0000383	jg31386	As003G069340, As003G069370, As003G069310, As003G069390, As003G069380
OG0000384	jg33477, jg33475, jg33476	As011G247740
OG0000386	jg13305, jg13304	As001G025230, As001G025220, As011G256850
OG0000386	jg15261, jg15262	As012G276900, As012G276880
OG0000390	jg6196	As001G012620
OG0000390	jg27023, jg26105, jg26106, jg25857	As011G251840
OG0000391	jg30797, jg30796	As007G158340, As007G158380, As007G158390, As007G158370, As007G158360
OG0000392	jg12312, jg12313, jg14893	As010G221200, As010G221190, As010G221180
OG0000396	jg13602	As001G026970
OG0000396	jg13605, jg13608, jg13604, jg13609	As001G026990, As001G027000, As001G027010
OG0000398	jg33681	As012G268810
OG0000402	jg17326	As001G032230, As003G065580, As005G099570, As012G279030, As011G256760, As002G038770, As002G036320, As008G185740, As009G212360, As007G178600, As002G037860, As007G176730, As007G176740, As007G176750, As005G112780, As012G277040, As008G191550, As009G207420, As009G210350
OG0000403	jg978	As001G020780, As001G020790
OG0000404	jg18747, jg25103, jg15180	As012G276100
OG0000406	jg5527, jg5528, jg5529, jg16033, jg12288, jg12293, jg12284, jg24137	As006G136090
OG0000407	jg7548, jg7545, jg5391, jg5390, jg31104, jg31105, jg31107, jg5315	As009G201130, As009G201860
OG0000410	jg806, jg814, jg805, jg807, jg816, jg815, jg820, jg826, jg821, jg823, jg818, jg817	As001G021670, As001G021680
OG0000411	jg731	As001G022090
OG0000411	jg27082	As011G261620
OG0000411	jg10342	As003G060010
OG0000412	jg22288	As002G046400
OG0000413	jg25335	As011G245460
OG0000413	jg22533	As002G048240
OG0000414	jg31120, jg31118, jg31122, jg31119, jg31117, jg10496, jg10495	As003G058750, As003G058770, As003G058760
OG0000415	jg5048, jg6651, jg19571	As005G104640
OG0000416	jg18234, jg18250	As006G125710
OG0000416	jg28902, jg16969	As006G127220, As008G194210
OG0000417	jg26720, jg26719, jg26718, jg30053, jg7721, jg7722, jg7726, jg7304	As007G163710, As008G186410
OG0000420	jg28285	As001G015280
OG0000421	jg12475, jg12477, jg12476, jg12332, jg12479, jg12478	As004G078160, As004G078150
OG0000422	jg29314, jg29316	As008G188280, As008G188290, As008G188300
OG0000423	jg2908	As010G241040
OG0000429	jg6415	As009G215310
OG0000429	jg9154, jg17131	As001G004910
OG0000430	jg27751	As011G263500
OG0000430	jg16516	As007G181940
OG0000431	jg1153	As001G019780
OG0000431	jg29378, jg29377	As008G187750
OG0000432	jg21967	As002G044400
OG0000432	jg9794	As006G134280
OG0000432	jg22448, jg22447	As002G047750
OG0000433	jg1283	As003G075370, As003G075380, As003G075360, As003G075330, As003G075320, As003G075390, As011G250230, As008G187390, As008G187380, As008G187400
OG0000436	jg9831, jg22554, jg28169	As011G266430, As002G048360
OG0000437	jg32008	As003G062850
OG0000439	jg28950	As008G194170
OG0000439	jg15993	As012G285510
OG0000439	jg18200	As006G127290
OG0000440	jg32381, jg18749, jg5580, jg24181	As006G136440
OG0000441	jg25701	As011G248660
OG0000441	jg25700, jg25699	As011G248650
OG0000446	jg23206	As009G219000
OG0000446	jg13074	As001G023650
OG0000447	jg25527	As011G247170
OG0000447	jg18497	As004G081330
OG0000447	jg31384	As003G069220
OG0000448	jg20366, jg20367, jg20368, jg20365	As004G089550
OG0000449	jg14381	As010G224860
OG0000449	jg22929	As005G114720
OG0000449	jg14380	As010G224870
OG0000449	jg22927, jg22928	As005G114730
OG0000452	jg21310	As001G002300, As001G002310
OG0000453	jg33353	As002G033360
OG0000454	jg21978, jg21979, jg21980	As002G044440, As002G044430, As002G043530, As002G043510, As002G043520
OG0000455	jg17607	As007G178440
OG0000459	jg10462, jg10471, jg26914, jg10468	As003G058960
OG0000460	jg990, jg976	As005G099100
OG0000461	jg28395	As008G199680
OG0000462	jg19077, jg12377, jg32516	As009G214710
OG0000463	jg14457, jg14450, jg14453	As010G224360, As010G224370
OG0000466	jg4077, jg2479	As002G032990, As003G058720, As003G058680, As007G181090, As007G181100, As007G181730, As007G181390, As002G038080, As009G205530, As002G045940, As002G033580, As002G036910, As002G036900, As002G036920, As009G205540, As009G206460, As009G202280, As009G202290, As002G033670
OG0000468	jg15405	As012G280020
OG0000468	jg18363	As006G125920
OG0000468	jg19076	As006G144160
OG0000471	jg31418, jg31424	As003G069540, As003G069550
OG0000472	jg12627	As004G097070, As004G097040, As004G097060, As004G097030, As004G097050
OG0000472	jg12626	As004G097020
OG0000474	jg14718, jg9330, jg16878	As009G216860, As011G261780, As010G222300
OG0000477	jg22754	As003G057970
OG0000477	jg4536, jg27864	As004G084280, As009G211280
OG0000480	jg17441	As001G013010
OG0000481	jg775	As001G021880
OG0000482	jg2227	As004G077750, As001G028390
OG0000483	jg22371	As002G047220
OG0000484	jg8715, jg20575	As009G203850
OG0000486	jg28823, jg28822	As001G013050, As001G013370
OG0000486	jg28821	As001G013380, As001G013070, As001G013260
OG0000486	jg26047	As001G013270, As001G013060
OG0000487	jg28766	As006G137570, As008G196100
OG0000495	jg17057, jg17059	As001G001610, As001G001580, As001G001640, As001G001650
OG0000495	jg9446, jg16811	As007G179430, As007G177930
OG0000496	jg11876	As002G041620, As001G004760, As001G012100, As004G090800
OG0000496	jg17937	As002G041610
OG0000498	jg22061	As002G045150
OG0000499	jg10760	As003G056720
OG0000500	jg20612	As004G087530, As004G087510, As004G087540, As004G087560, As004G087480
OG0000501	jg32175	As010G232220
OG0000504	jg3998, jg19114	As006G143860
OG0000504	jg24877	As002G037010, As002G034340
OG0000505	jg6390, jg6386, jg6385	As009G215510
OG0000506	jg27491, jg2122, jg2123, jg4379, jg2817	As010G234690
OG0000510	jg948, jg949, jg945, jg947, jg944	As001G020890, As001G020900
OG0000511	jg26431	As011G254140
OG0000511	jg26433, jg673	As001G032060
OG0000512	jg10170, jg10168, jg10169, jg10167, jg10166, jg28227, jg10164, jg12984, jg10165	As003G061390
OG0000513	jg15295	As006G146210
OG0000513	jg14385, jg22921	As005G114770
OG0000514	jg26191	As011G252640, As011G252630
OG0000515	jg33807, jg33806	As012G267810
OG0000521	jg32168	As003G063570
OG0000521	jg7215	As004G080410
OG0000521	jg3506	As007G158420
OG0000522	jg31946, jg31949, jg31947, jg7403, jg7401, jg7404	As004G083810
OG0000523	jg20055	As005G100530
OG0000523	jg16235	As012G287730
OG0000524	jg24739, jg21346	As006G141600, As006G141560, As006G141590
OG0000525	jg25495	As011G246900
OG0000525	jg33557	As012G269710
OG0000526	jg14581	As010G223400
OG0000526	jg14578	As010G223440
OG0000529	jg6072, jg6070, jg6067	As005G113510, As005G113490, As005G113470
OG0000530	jg5539, jg5540, jg5538	As009G203010, As009G203020, As009G203100, As009G203060, As009G202740
OG0000533	jg16575	As007G180830
OG0000534	jg708, jg713, jg712, jg742, jg710, jg741, jg709	As007G167300, As001G022180, As001G022190, As001G022170, As001G016060
OG0000535	jg868	As001G023320
OG0000535	jg13028	As001G023310
OG0000536	jg7064, jg12390, jg32655	As010G228630, As004G090520
OG0000537	jg7925	As006G124070
OG0000537	jg11657	As004G093070
OG0000537	jg24704	As006G141200
OG0000538	jg19699, jg19696, jg19698	As005G103710, As005G103700
OG0000539	jg23802	As005G120910
OG0000540	jg17964, jg17962, jg17961	As006G128870, As006G128860, As006G128850
OG0000542	jg32967	As012G273170
OG0000543	jg16929, jg16931, jg17291, jg17003, jg16987, jg17292, jg16935, jg20923, jg16934	As007G177800
OG0000544	jg28859, jg28860	As008G195020, As008G195030, As008G195070, As008G195140, As008G195120
OG0000545	jg3158	As010G238530
OG0000546	jg27825, jg27824, jg27811, jg27820, jg27810, jg27823	As011G264020, As011G264080, As011G264050, As011G264010, As011G264090, As011G264000, As011G264100, As011G263960, As011G264110, As011G263990, As011G264030, As011G264060, As011G263920, As011G264120, As011G263950, As011G263980
OG0000550	jg15181, jg18748, jg33622	As006G144690
OG0000551	jg23481	As005G117770
OG0000551	jg8404	As003G075520
OG0000551	jg16592	As007G180690
OG0000551	jg4806	As002G053470
OG0000552	jg30914, jg32005	As012G288190, As005G099880, As007G159560, As003G061630
OG0000553	jg32059, jg32066	As003G063020, As003G063040
OG0000553	jg32050, jg32429, jg32427, jg32045, jg32424, jg32049, jg32060, jg32058, jg32057, jg32051, jg32065	As003G063070, As003G063050
OG0000554	jg1218	As007G157590
OG0000555	jg7626, jg7624, jg1372, jg1387, jg1382, jg1384, jg1385, jg1383, jg1386, jg7625, jg29414	As003G067180
OG0000556	jg11579	As004G093660
OG0000556	jg21449, jg21453	As006G140800
OG0000557	jg16084, jg16085	As012G286190
OG0000559	jg4024, jg4025, jg4012	As005G107810
OG0000560	jg22886, jg22887	As005G115530
OG0000560	jg28751	As008G196260, As008G196230
OG0000561	jg3374, jg23514, jg23512, jg23516, jg23515	As005G118160
OG0000562	jg24508	As006G139230
OG0000562	jg5286	As009G200380
OG0000562	jg6572	As009G205610
OG0000563	jg30082	As007G152350
OG0000564	jg16981	As007G177180
OG0000565	jg30995, jg2333	As010G233040
OG0000566	jg5898, jg5899, jg31971	As011G250840
