Orthogroup	Arabidopsis_arenosa	Cardamine_hirsuta
OG0000025	jg22236	CARHR269260
OG0000025	jg22237	CARHR269250
OG0000025	jg29584	CARHR203510
OG0000025	jg8748	CARHR244240
OG0000025	jg23436, jg23431, jg23430, jg23437, jg23433	CARHR242060
OG0000027	jg17071	CARHR030460, CARHR030420, CARHR030890, CARHR031230
OG0000027	jg31673	CARHR126510, CARHR030870
OG0000027	jg31709, jg31711, jg31710, jg31713	CARHR174240
OG0000027	jg31855, jg31856, jg31953, jg31952	CARHR113190
OG0000027	jg31708	CARHR031540
OG0000027	jg33002, jg33003	CARHR213730
OG0000027	jg31665, jg31668, jg27402, jg18984	CARHR062310
OG0000027	jg14278	CARHR168020
OG0000027	jg15770, jg15695, jg15696	CARHR167830
OG0000028	jg21311, jg32932, jg1778	CARHR116610, CARHR153140
OG0000029	jg1946	CARHR287660
OG0000029	jg17949	CARHR213600
OG0000030	jg32380, jg32294, jg33373, jg6978, jg12236, jg6977	CARHR181500
OG0000030	jg2222	CARHR260310
OG0000030	jg2223	CARHR154720
OG0000031	jg611, jg588, jg582, jg580	CARHR048440, CARHR047970
OG0000031	jg645, jg586, jg583, jg572	CARHR048810, CARHR051050
OG0000031	jg642	CARHR049170
OG0000031	jg618, jg613, jg617, jg616, jg643	CARHR048190, CARHR051150
OG0000031	jg29724	CARHR013000
OG0000031	jg29711	CARHR012910
OG0000031	jg29675	CARHR048220
OG0000031	jg5495	CARHR196550
OG0000031	jg12744	CARHR213210
OG0000031	jg25741	CARHR091960
OG0000031	jg9770	CARHR234420
OG0000031	jg638	CARHR049120
OG0000031	jg372	CARHR046360
OG0000033	jg10203, jg10197	CARHR230290
OG0000033	jg10186	CARHR230320
OG0000033	jg10200	CARHR230240, CARHR055320
OG0000033	jg10426	CARHR228010, CARHR228050, CARHR228080, CARHR228070, CARHR228060
OG0000033	jg10425	CARHR289950
OG0000033	jg10177	CARHR230650, CARHR230570, CARHR230590, CARHR230540, CARHR230620
OG0000033	jg10208	CARHR230200
OG0000033	jg10195, jg10202	CARHR230230
OG0000033	jg7784	CARHR252350
OG0000035	jg18270	CARHR125800
OG0000035	jg18207, jg18210	CARHR125110
OG0000035	jg740	CARHR126110
OG0000035	jg33607	CARHR042940
OG0000035	jg12649	CARHR261660
OG0000035	jg16185	CARHR171670, CARHR219290
OG0000035	jg18469	CARHR127720
OG0000038	jg549	CARHR141500
OG0000038	jg31063, jg31071, jg31062, jg31070, jg31999, jg31068, jg31060	CARHR024990
OG0000038	jg14792	CARHR158480, CARHR158470, CARHR158440
OG0000038	jg14795, jg11019	CARHR222700
OG0000038	jg21941	CARHR265450
OG0000038	jg28841	CARHR174900, CARHR175950
OG0000038	jg20757, jg20756	CARHR178840
OG0000040	jg30787	CARHR162370
OG0000040	jg25536	CARHR260760, CARHR260790
OG0000040	jg25347	CARHR223790
OG0000040	jg11085	CARHR088850
OG0000040	jg25272, jg738, jg25360	CARHR088870
OG0000040	jg14799, jg17824, jg14802, jg14804, jg1537	CARHR158510, CARHR158520
OG0000040	jg25377, jg1071	CARHR088150
OG0000040	jg2274	CARHR059990, CARHR060010
OG0000041	jg6878	CARHR260230, CARHR034730, CARHR104160
OG0000044	jg1572, jg21339, jg1555	CARHR117470
OG0000044	jg13501, jg20886	CARHR286710, CARHR217190, CARHR273180, CARHR150330, CARHR152970, CARHR258020, CARHR104690, CARHR159300, CARHR215510, CARHR037550, CARHR118760
OG0000044	jg12140	CARHR057390, CARHR183570, CARHR116100, CARHR107370
OG0000046	jg12463, jg12464	CARHR263410
OG0000046	jg12335, jg12333	CARHR214350
OG0000046	jg12337	CARHR214340
OG0000046	jg10780	CARHR225000, CARHR225010
OG0000046	jg2154	CARHR059320, CARHR059230, CARHR124320
OG0000046	jg2192, jg2152	CARHR059090
OG0000046	jg2195	CARHR059270
OG0000046	jg2209, jg2212	CARHR059250
OG0000046	jg2188, jg2193	CARHR059080
OG0000046	jg6601	CARHR214430
OG0000048	jg24239	CARHR077940
OG0000048	jg5635, jg5646	CARHR195020
OG0000048	jg16525	CARHR112070
OG0000048	jg5639, jg5648	CARHR195030, CARHR195060, CARHR194990
OG0000048	jg5640	CARHR195040
OG0000052	jg29349	CARHR002800
OG0000052	jg19555	CARHR137510
OG0000052	jg19551, jg19550, jg19552, jg19554, jg18423	CARHR127280
OG0000052	jg19558	CARHR137530
OG0000052	jg19560	CARHR137550, CARHR137540
OG0000053	jg32414, jg31675	CARHR148640, CARHR293330, CARHR118340, CARHR151940
OG0000053	jg1077, jg28178, jg4817, jg5943, jg25268, jg33384, jg11480, jg32839	CARHR152130, CARHR102470, CARHR286550
OG0000055	jg674, jg739	CARHR050220
OG0000055	jg14491	CARHR155600
OG0000055	jg748	CARHR050320
OG0000055	jg721	CARHR049970
OG0000055	jg1420	CARHR050060
OG0000055	jg745	CARHR049980, CARHR050290, CARHR050280
OG0000055	jg746	CARHR050160
OG0000056	jg16912, jg12160, jg20957, jg21612, jg13720, jg21424	CARHR153090
OG0000057	jg8147	CARHR213520
OG0000057	jg28057, jg28058	CARHR111010
OG0000057	jg25759, jg25744	CARHR092150, CARHR092000
OG0000057	jg25830	CARHR092620, CARHR092630
OG0000057	jg12073	CARHR108270
OG0000057	jg27919	CARHR108260, CARHR108320, CARHR108330, CARHR135370, CARHR108730
OG0000057	jg1195, jg14633, jg25647	CARHR090170
OG0000057	jg25886, jg26868	CARHR100810, CARHR192030, CARHR177430, CARHR107470
OG0000057	jg26780	CARHR100840
OG0000058	jg1166, jg14086	CARHR154060
OG0000061	jg5265, jg31440, jg25892, jg12998, jg302, jg26776, jg6463, jg14036	CARHR264280
OG0000062	jg7377	CARHR218140, CARHR115840, CARHR100910
OG0000063	jg21249	CARHR273610
OG0000063	jg22905	CARHR154290
OG0000063	jg14371	CARHR132050
OG0000063	jg14419	CARHR121870
OG0000064	jg8362	CARHR247830
OG0000064	jg18482	CARHR127180, CARHR260300
OG0000066	jg27126	CARHR069000, CARHR096450, CARHR058350
OG0000066	jg3219, jg3220	CARHR068990
OG0000066	jg13471	CARHR202910
OG0000066	jg1404	CARHR279310
OG0000067	jg30520, jg22052, jg22034, jg32039, jg24035, jg24037, jg24042, jg4088, jg4089, jg4055, jg14204, jg14390, jg14389	CARHR210190
OG0000067	jg12213	CARHR064230
OG0000068	jg32484	CARHR153260, CARHR182390
OG0000068	jg13873	CARHR216710
OG0000073	jg21037, jg1752, jg6091	CARHR116330
OG0000073	jg12610	CARHR175070, CARHR176980
OG0000073	jg7157, jg7084	CARHR292230
OG0000073	jg13687, jg20423	CARHR175090, CARHR175840, CARHR175230
OG0000073	jg20420	CARHR175260
OG0000074	jg30935, jg30933	CARHR024070
OG0000074	jg30938	CARHR024100
OG0000074	jg30932	CARHR024020
OG0000074	jg30931	CARHR024000
OG0000074	jg30922	CARHR023940
OG0000074	jg30923, jg30924	CARHR023950
OG0000075	jg1344, jg21051	CARHR014880
OG0000076	jg14762	CARHR157840
OG0000076	jg15192	CARHR162560
OG0000076	jg20912	CARHR162500
OG0000076	jg15191	CARHR162510, CARHR162540
OG0000076	jg20913, jg15189	CARHR162490
OG0000076	jg15188, jg15190	CARHR162550
OG0000076	jg1458, jg1459, jg1457	CARHR065210, CARHR065340
OG0000076	jg13392, jg13393, jg13394	CARHR150860
OG0000076	jg13373	CARHR148060, CARHR148030
OG0000077	jg21501, jg21500	CARHR286200, CARHR286190, CARHR286160
OG0000077	jg21503	CARHR285960
OG0000077	jg8426	CARHR247160
OG0000077	jg24861	CARHR083750
OG0000077	jg24794, jg20353	CARHR103020
OG0000077	jg7664	CARHR286150, CARHR286180, CARHR286090
OG0000077	jg1000, jg934	CARHR247180
OG0000077	jg8428	CARHR247140
OG0000079	jg15925	CARHR169300
OG0000079	jg15921	CARHR169400
OG0000079	jg15922	CARHR051200, CARHR051170
OG0000079	jg12362, jg12361, jg12363, jg12370	CARHR136780, CARHR214200
OG0000079	jg15911, jg15928	CARHR186450, CARHR286030, CARHR217340
OG0000080	jg12190	CARHR215660
OG0000080	jg32859, jg32843, jg32550, jg32855, jg32866	CARHR270010
OG0000080	jg32915, jg32919, jg32548, jg32861, jg32845, jg32993	CARHR038000
OG0000080	jg32551, jg32841, jg32864, jg32857	CARHR038010, CARHR039590
OG0000080	jg12023	CARHR151510, CARHR219570
OG0000080	jg18020, jg18016	CARHR123150, CARHR123070
OG0000080	jg18012, jg25262	CARHR123140
OG0000081	jg32882, jg32881, jg32883	CARHR037720, CARHR037850, CARHR037710
OG0000081	jg33221	CARHR040900
OG0000081	jg2643	CARHR040920
OG0000081	jg5657	CARHR194900
OG0000083	jg32007	CARHR121440
OG0000083	jg2771	CARHR176300
OG0000083	jg26554, jg26543	CARHR099030
OG0000083	jg26553	CARHR099020
OG0000083	jg2772	CARHR118100, CARHR292140, CARHR291340
OG0000083	jg16885	CARHR118080, CARHR118040
OG0000084	jg16997	CARHR117870, CARHR117890, CARHR116980, CARHR116700
OG0000084	jg17005, jg20640	CARHR116880, CARHR117860
OG0000084	jg16996	CARHR117220, CARHR116970
OG0000084	jg17272	CARHR116870
OG0000084	jg17289	CARHR117030, CARHR118620
OG0000084	jg16989, jg17288	CARHR117020
OG0000085	jg27503, jg21532	CARHR259820
OG0000086	jg1275, jg1277, jg1270, jg1278, jg1271, jg1274, jg1272, jg1273, jg1280, jg1279, jg1276, jg1269, jg20985, jg20984, jg20982, jg20983, jg20981, jg20978, jg20980, jg20977, jg20975, jg20976, jg20974, jg20979, jg20973	CARHR054410, CARHR289710, CARHR289730, CARHR289690, CARHR054420, CARHR250760, CARHR201430, CARHR201440, CARHR250740, CARHR250750
OG0000087	jg6235	CARHR189700
OG0000087	jg17972	CARHR122890
OG0000087	jg14482	CARHR276490
OG0000087	jg5068	CARHR200860
OG0000087	jg18593	CARHR128920
OG0000087	jg20749	CARHR178800
OG0000087	jg10485	CARHR227450
OG0000087	jg30528	CARHR020480
OG0000087	jg3235	CARHR069200
OG0000088	jg14507	CARHR155740
OG0000088	jg5910	CARHR192340, CARHR192330
OG0000088	jg21695	CARHR262970
OG0000089	jg4799	CARHR203590
OG0000089	jg26012, jg33022	CARHR094190
OG0000089	jg18920	CARHR131960
OG0000089	jg22870, jg14433	CARHR285740
OG0000090	jg4483, jg30544, jg16631	CARHR020650
OG0000090	jg21183	CARHR284690
OG0000090	jg3251	CARHR069500
OG0000090	jg15233, jg8905	CARHR288810
OG0000090	jg13115, jg28225, jg28226, jg13116	CARHR145520, CARHR145510
OG0000090	jg29403	CARHR010350
OG0000091	jg20823, jg20821, jg1412, jg2211, jg14179	CARHR055470
OG0000091	jg11947, jg19288, jg20822	CARHR221560
OG0000093	jg15862	CARHR168740
OG0000093	jg15865	CARHR168770
OG0000093	jg15861	CARHR168690
OG0000093	jg15851	CARHR168640
OG0000093	jg15841	CARHR168590, CARHR259860, CARHR168580
OG0000096	jg13131	CARHR288740
OG0000096	jg1310	CARHR054510
OG0000096	jg1311	CARHR177190, CARHR158180, CARHR054500
OG0000096	jg20644	CARHR177990
OG0000096	jg20589	CARHR177040
OG0000097	jg7819	CARHR252090, CARHR252110
OG0000097	jg7818	CARHR252060
OG0000097	jg7820	CARHR252050
OG0000097	jg7813, jg7812, jg7815, jg7814	CARHR252100
OG0000098	jg651, jg658, jg654, jg653	CARHR049580, CARHR049700, CARHR049380, CARHR049340, CARHR049330, CARHR049720, CARHR049640, CARHR049620, CARHR049710, CARHR049690, CARHR049260, CARHR048830
OG0000098	jg650	CARHR048210
OG0000098	jg649	CARHR156260
OG0000098	jg852	CARHR052100, CARHR052120, CARHR052080
OG0000098	jg849, jg850	CARHR052090, CARHR052140, CARHR051470, CARHR052110
OG0000098	jg29677	CARHR220990, CARHR220970
OG0000098	jg29672	CARHR012600
OG0000098	jg29671	CARHR012590
OG0000098	jg11302	CARHR220850
OG0000098	jg29664	CARHR012520
OG0000098	jg32282, jg12025	CARHR013070
OG0000099	jg459, jg7310	CARHR046920
OG0000099	jg27477	CARHR051070
OG0000099	jg719, jg720	CARHR046940
OG0000099	jg542	CARHR046950
OG0000099	jg27475	CARHR051080
OG0000099	jg7311	CARHR046970
OG0000099	jg460	CARHR051510
OG0000101	jg476	CARHR047300, CARHR047090, CARHR047120, CARHR047210, CARHR047270, CARHR047080
OG0000101	jg477	CARHR050870
OG0000101	jg1396, jg1381, jg1380	CARHR055030
OG0000101	jg777	CARHR047060
OG0000101	jg472	CARHR047460
OG0000104	jg29111	CARHR007350
OG0000104	jg17896	CARHR122140
OG0000104	jg17897	CARHR122240
OG0000104	jg33004	CARHR039100
OG0000104	jg26323	CARHR097260
OG0000104	jg33349	CARHR258870
OG0000104	jg17893, jg17886, jg17879, jg17889	CARHR122150, CARHR122160
OG0000106	jg25957	CARHR093690
OG0000106	jg25959, jg6741, jg26029, jg25961, jg6747, jg25960, jg6746, jg26030, jg26027, jg26079, jg27891	CARHR094390, CARHR099980, CARHR094810, CARHR094850, CARHR094840, CARHR094860
OG0000106	jg27435	CARHR101790, CARHR101800
OG0000106	jg14860	CARHR159090
OG0000106	jg17695	CARHR266870
OG0000106	jg26888, jg26886	CARHR084920
OG0000107	jg17559, jg17556	CARHR119260, CARHR119250
OG0000107	jg26157	CARHR095610
OG0000107	jg26159	CARHR095650
OG0000107	jg26158	CARHR095640
OG0000107	jg26161	CARHR095660
OG0000107	jg26163	CARHR097220, CARHR095680
OG0000108	jg17593	CARHR253270
OG0000108	jg7433	CARHR188180
OG0000108	jg17595, jg31284	CARHR174970
OG0000108	jg2306	CARHR046250
OG0000108	jg27465, jg27461, jg1132, jg6405, jg11987, jg17594, jg31283, jg16874	CARHR000040, CARHR188170
OG0000110	jg12826	CARHR103650
OG0000110	jg15960	CARHR169600
OG0000110	jg15959	CARHR169580
OG0000110	jg15966	CARHR169630
OG0000110	jg15965	CARHR061840
OG0000110	jg14751	CARHR123020
OG0000110	jg15957, jg15956	CARHR150810, CARHR169560
OG0000110	jg15969	CARHR061850
OG0000111	jg12398	CARHR214020, CARHR214040
OG0000111	jg12396	CARHR214030
OG0000111	jg11228	CARHR221770
OG0000111	jg11226, jg11227	CARHR221750
OG0000111	jg23313	CARHR277270
OG0000111	jg15428	CARHR164880
OG0000113	jg12808	CARHR256490, CARHR256450, CARHR175630
OG0000113	jg12802, jg12815	CARHR288500
OG0000113	jg509	CARHR149270
OG0000113	jg1379	CARHR047480
OG0000113	jg12426	CARHR263770
OG0000113	jg508	CARHR215710, CARHR047550, CARHR175180, CARHR175270
OG0000113	jg14194, jg14191	CARHR104310
OG0000114	jg24299	CARHR078370, CARHR078360
OG0000114	jg2542	CARHR071840, CARHR251920, CARHR071800
OG0000114	jg4953	CARHR202010
OG0000114	jg7114, jg1323	CARHR214250
OG0000114	jg17682	CARHR120620
OG0000114	jg1324, jg1320, jg1319, jg1317, jg1326, jg1329, jg1330, jg27021	CARHR054550, CARHR054640, CARHR054580
OG0000114	jg2013	CARHR106050
OG0000115	jg6881	CARHR059960, CARHR284490
OG0000118	jg15265, jg26895, jg27877	CARHR148290
OG0000119	jg20878, jg12954, jg1495, jg13634, jg13504	CARHR115250
OG0000119	jg13725, jg9836, jg1719, jg21576, jg27974, jg7024	CARHR292260, CARHR102990
OG0000120	jg893, jg889	CARHR285170
OG0000120	jg11313	CARHR221010
OG0000120	jg21600, jg21583, jg21561, jg21534, jg21584, jg21558	CARHR293630, CARHR283580, CARHR059500, CARHR058390, CARHR116680, CARHR186430
OG0000120	jg13317, jg4214	CARHR208650
OG0000122	jg22508	CARHR269930
OG0000122	jg32572	CARHR033430, CARHR033520
OG0000122	jg22485	CARHR129080, CARHR269910, CARHR269890, CARHR031770
OG0000122	jg32166	CARHR269750, CARHR269900, CARHR031760, CARHR036560, CARHR031790
OG0000122	jg22486	CARHR269730
OG0000123	jg31338	CARHR024520, CARHR027640, CARHR027660, CARHR027650
OG0000123	jg29806	CARHR014050, CARHR014060
OG0000123	jg9826	CARHR233830
OG0000124	jg19874	CARHR182430
OG0000124	jg12111	CARHR183650
OG0000124	jg17565	CARHR043800, CARHR123710
OG0000125	jg15301	CARHR163570
OG0000125	jg24874, jg3993	CARHR210790
OG0000125	jg6123	CARHR190650
OG0000125	jg29136	CARHR007600
OG0000125	jg22931	CARHR273520
OG0000125	jg14383	CARHR154390, CARHR154340
OG0000125	jg17851	CARHR121850
OG0000127	jg3916	CARHR211440
OG0000127	jg3918	CARHR211450
OG0000127	jg24833	CARHR083490
OG0000127	jg24836	CARHR107060, CARHR107080, CARHR107070, CARHR107090, CARHR107050, CARHR107100
OG0000131	jg6733	CARHR150440
OG0000132	jg27190	CARHR101930
OG0000133	jg6891	CARHR184120
OG0000136	jg2128, jg2129, jg2126, jg2127	CARHR058600
OG0000136	jg12281	CARHR214760, CARHR214790
OG0000136	jg23234	CARHR276580
OG0000136	jg12259	CARHR272990
OG0000136	jg12260	CARHR214830, CARHR214840
OG0000137	jg17603	CARHR180340
OG0000137	jg12674	CARHR261370
OG0000138	jg13824	CARHR113950
OG0000138	jg12474	CARHR174950
OG0000138	jg23058	CARHR274880, CARHR274890, CARHR274860
OG0000138	jg13818	CARHR153120
OG0000138	jg13817, jg13821	CARHR153070, CARHR153150, CARHR254660, CARHR113960, CARHR113980
OG0000140	jg14472, jg14471	CARHR155420
OG0000140	jg22850	CARHR285530
OG0000140	jg22845	CARHR285410
OG0000140	jg22800, jg21885, jg22801	CARHR272760, CARHR272770, CARHR053670
OG0000140	jg22798, jg22799	CARHR272750
OG0000140	jg22851, jg22847	CARHR285460, CARHR285480
OG0000142	jg17940	CARHR122610
OG0000142	jg17932	CARHR122560
OG0000142	jg17933	CARHR122540
OG0000142	jg17936	CARHR122600, CARHR122570, CARHR122580, CARHR119640
OG0000142	jg18114, jg18115	CARHR119630
OG0000146	jg22363	CARHR268680
OG0000146	jg22365	CARHR268700
OG0000146	jg22364	CARHR268690
OG0000147	jg9392	CARHR238090
OG0000147	jg22635	CARHR271150
OG0000147	jg3697	CARHR073860
OG0000147	jg13954	CARHR153650
OG0000147	jg27288	CARHR104060
OG0000147	jg16942	CARHR117520
OG0000149	jg14423	CARHR154790, CARHR154820
OG0000149	jg14421	CARHR154830
OG0000149	jg22901	CARHR219850
OG0000149	jg22900	CARHR273130
OG0000149	jg14420	CARHR154780
OG0000150	jg14055	CARHR263010, CARHR256190
OG0000150	jg4290	CARHR207890, CARHR143200
OG0000150	jg14331	CARHR150140
OG0000150	jg17260, jg17259, jg17257	CARHR114860
OG0000150	jg14325	CARHR059580, CARHR150110
OG0000150	jg14316, jg14315, jg14313	CARHR150200
OG0000151	jg22050	CARHR266340
OG0000151	jg24782	CARHR082990
OG0000151	jg27769	CARHR107000
OG0000151	jg22463	CARHR269520
OG0000151	jg12793	CARHR046700
OG0000154	jg30094	CARHR016540
OG0000154	jg25213	CARHR087080
OG0000154	jg24871	CARHR083850
OG0000154	jg3985	CARHR210880
OG0000154	jg3984	CARHR210890
OG0000155	jg9725	CARHR234950
OG0000155	jg12562, jg12564	CARHR164960
OG0000155	jg12983	CARHR249150, CARHR164950
OG0000155	jg10428	CARHR227980
OG0000155	jg25152	CARHR086560
OG0000155	jg7743	CARHR227950
OG0000156	jg19951	CARHR140760, CARHR186310
OG0000156	jg19948	CARHR140740
OG0000156	jg16152	CARHR171350
OG0000157	jg26628, jg26631, jg26630, jg26627	CARHR099660
OG0000157	jg24304	CARHR189820, CARHR078400
OG0000157	jg7233	CARHR133040, CARHR180020
OG0000157	jg26523, jg24182, jg2031, jg2038, jg2030, jg2028, jg7426, jg26990	CARHR102680
OG0000157	jg19021, jg19020	CARHR133050
OG0000157	jg19023	CARHR115930, CARHR115970, CARHR115940, CARHR133070, CARHR133060
OG0000157	jg19043, jg19019	CARHR101240
OG0000158	jg10511	CARHR210870
OG0000161	jg23140, jg23141, jg33435, jg33436	CARHR275720, CARHR275710
OG0000161	jg17685, jg17683, jg17687	CARHR120610, CARHR120240, CARHR120250
OG0000161	jg1832	CARHR056760
OG0000161	jg1847	CARHR056690
OG0000161	jg1705, jg1715, jg1822	CARHR056640
OG0000161	jg1819	CARHR038540, CARHR038530, CARHR056610
OG0000161	jg1821, jg1704	CARHR056630
OG0000162	jg15299	CARHR170850
OG0000162	jg19860	CARHR069160, CARHR059610
OG0000162	jg2591	CARHR170840
OG0000162	jg2236	CARHR059620
OG0000162	jg2036	CARHR057970
OG0000162	jg19859	CARHR140170
OG0000164	jg1130	CARHR185060, CARHR185040
OG0000164	jg8472	CARHR246950
OG0000167	jg10623	CARHR215060
OG0000169	jg3074	CARHR019250, CARHR067410, CARHR067450
OG0000169	jg21554	CARHR067380
OG0000169	jg1552	CARHR067340
OG0000169	jg21553	CARHR067370, CARHR115410, CARHR183960
OG0000169	jg1192	CARHR053840, CARHR053860
OG0000171	jg5289	CARHR198650
OG0000172	jg16316	CARHR053570
OG0000172	jg16317	CARHR052000
OG0000172	jg15926	CARHR169320
OG0000172	jg15932	CARHR169390
OG0000172	jg15923	CARHR169270
OG0000172	jg15930	CARHR169360
OG0000173	jg17518	CARHR035170
OG0000173	jg1807	CARHR036310, CARHR180960, CARHR225740
OG0000173	jg14356	CARHR261170, CARHR292670, CARHR286110, CARHR216170, CARHR055060, CARHR225730, CARHR036300
OG0000173	jg14013	CARHR293270
OG0000175	jg15013	CARHR160880
OG0000175	jg3242	CARHR069390
OG0000175	jg30537	CARHR020570
OG0000175	jg8854	CARHR243300
OG0000176	jg12097	CARHR029970
OG0000185	jg1441, jg14078, jg1761	CARHR146770
OG0000185	jg12153	CARHR116590
OG0000186	jg17305, jg27206	CARHR184740, CARHR217430
OG0000186	jg17369, jg17588	CARHR103200
OG0000186	jg1403	CARHR098000, CARHR034340
OG0000186	jg17368	CARHR128520, CARHR257270, CARHR116070, CARHR178380
OG0000186	jg27207	CARHR257160, CARHR048790
OG0000186	jg27209	CARHR128510
OG0000187	jg16968	CARHR117260
OG0000187	jg9234, jg9235	CARHR037460, CARHR239530, CARHR239540
OG0000187	jg9230	CARHR239600
OG0000189	jg8491, jg3298	CARHR246590
OG0000190	jg7702	CARHR253020
OG0000190	jg7704	CARHR250370
OG0000190	jg7703	CARHR250360
OG0000190	jg7707	CARHR252970, CARHR263930
OG0000190	jg7705	CARHR252960
OG0000191	jg25728	CARHR091820
OG0000191	jg27860, jg27859	CARHR293580, CARHR148110
OG0000191	jg25713, jg25714, jg25718, jg25676, jg25675, jg25673	CARHR091750
OG0000192	jg30670	CARHR059110
OG0000192	jg3362	CARHR181970
OG0000192	jg30663	CARHR021670
OG0000192	jg30668	CARHR181980, CARHR256500
OG0000193	jg26901	CARHR096990
OG0000193	jg26576, jg26577	CARHR099220
OG0000193	jg26297	CARHR097030
OG0000193	jg14328, jg14329	CARHR150060
OG0000195	jg17567	CARHR119300
OG0000195	jg15712, jg15648	CARHR136200
OG0000195	jg2098	CARHR058380
OG0000195	jg12245	CARHR215030
OG0000195	jg14060	CARHR191680
OG0000196	jg31558, jg31560	CARHR037160
OG0000196	jg31559	CARHR037140
OG0000197	jg12743	CARHR037370
OG0000197	jg12179	CARHR272960
OG0000200	jg14818	CARHR291830, CARHR263700
OG0000200	jg12382, jg12383	CARHR291820
OG0000200	jg26794, jg26858, jg26826	CARHR101580, CARHR101880, CARHR101530
OG0000201	jg26423	CARHR097900
OG0000201	jg26420	CARHR097910
OG0000201	jg26421	CARHR097890
OG0000201	jg26416, jg26419	CARHR097880
OG0000202	jg7315	CARHR092830, CARHR151680
OG0000202	jg26501	CARHR099690
OG0000202	jg26502	CARHR024770
OG0000203	jg24349, jg24348	CARHR078880, CARHR078860
OG0000203	jg24303, jg5021, jg5008, jg5007, jg5020, jg5022	CARHR201470
OG0000204	jg15213	CARHR044120
OG0000204	jg26496	CARHR098530
OG0000204	jg26333	CARHR097380
OG0000205	jg16530	CARHR041580, CARHR040020, CARHR149530, CARHR042890, CARHR042510, CARHR043190, CARHR260050
OG0000205	jg16527	CARHR042520, CARHR042900, CARHR041590, CARHR043210
OG0000205	jg27591	CARHR263740, CARHR043200
OG0000205	jg32764	CARHR148260, CARHR265180, CARHR265400, CARHR149520
OG0000205	jg32768	CARHR219990
OG0000207	jg3555	CARHR072300
OG0000207	jg3556, jg2081, jg1979, jg2083, jg12504, jg2076, jg17554, jg2082, jg2084	CARHR180390
OG0000207	jg3554	CARHR072290
OG0000207	jg30217	CARHR017450
OG0000208	jg32800	CARHR247230
OG0000208	jg12428	CARHR181000
OG0000208	jg8418	CARHR247220
OG0000208	jg21871	CARHR264830
OG0000210	jg26999, jg27000, jg27001	CARHR102810, CARHR103310
OG0000210	jg13160	CARHR145910, CARHR145930
OG0000210	jg13155, jg13158	CARHR145900
OG0000210	jg18412, jg18409, jg18408	CARHR127190
OG0000210	jg18404	CARHR127170
OG0000213	jg2971	CARHR066320, CARHR066310, CARHR066300, CARHR066340, CARHR066330, CARHR066290, CARHR066360
OG0000213	jg24982	CARHR084950
OG0000213	jg16737	CARHR292800, CARHR292790
OG0000213	jg16738	CARHR292750, CARHR257100
OG0000213	jg16741, jg16740	CARHR292760, CARHR285920
OG0000214	jg7249	CARHR101750
OG0000214	jg8001	CARHR250390, CARHR248840, CARHR250400, CARHR250050
OG0000216	jg10317	CARHR229000, CARHR229580
OG0000216	jg33448	CARHR229020
OG0000216	jg10319, jg10323	CARHR229730
OG0000216	jg10266	CARHR229570
OG0000216	jg10315	CARHR229010, CARHR229070, CARHR229050, CARHR229110
OG0000217	jg1353, jg1150, jg1143, jg1140	CARHR284020, CARHR284130, CARHR283760, CARHR283910, CARHR284060
OG0000217	jg1148, jg1145	CARHR284070
OG0000217	jg7386, jg1031	CARHR284010, CARHR284050
OG0000217	jg1072	CARHR283730
OG0000217	jg1022	CARHR053930
