Orthogroup	Arabidopsis_arenosa	Arabidopsis_lyrata_Rawat
OG0000027	jg31696, jg31707, jg31681	AL1G45340
OG0000027	jg31709	AL1G45540
OG0000027	jg31711, jg31710	AL1G45550
OG0000027	jg31713	AL1G45590, nbis-gene-188
OG0000027	jg31714	AL1G45600, AL1G45570
OG0000027	jg2233	nbis-gene-553
OG0000027	jg16932	nbis-gene-966
OG0000027	jg16933	AL4G14930
OG0000027	jg31705	AL1G45510
OG0000027	jg31715	AL1G45610
OG0000027	jg31855	AL1G46260
OG0000027	jg31856	AL1G46270
OG0000027	jg31953, jg31952	AL1G47320
OG0000027	jg31701	AL1G45480
OG0000027	jg31702, jg31695	AL1G45490
OG0000027	jg31700	AL1G45470
OG0000027	jg31706	AL1G45520
OG0000027	jg31682	AL1G45350
OG0000027	jg31678	AL1G45280
OG0000027	jg31679	AL1G45290, AL1G45300
OG0000027	jg31677	AL1G45270
OG0000027	jg31708	AL1G45530
OG0000027	jg31857	AL1G46280
OG0000027	jg27402	AL3G45420
OG0000027	jg18984	AL4G35160
OG0000027	jg14278	AL5G23680
OG0000027	jg15770	AL5G39160
OG0000027	jg15696	AL5G38280
OG0000027	jg15771	AL5G39170
OG0000028	jg1778	nbis-gene-1243
OG0000029	jg27510	AL1G60890
OG0000029	jg27798, jg17174, jg18126	AL4G17400
OG0000030	jg32294, jg33373, jg6978, jg12236	AL1G54660
OG0000030	jg33374	AL1G42210
OG0000030	jg900, jg26487, jg11586, jg11588	AL4G45380, AL3G35100, AL8G39990, AL7G36770, AL2G36380, AL6G22280, AL6G40680, AL1G51440
OG0000030	jg2222	AL103U10010, AL8G23430, AL4G17850
OG0000031	jg612	AL2G13150
OG0000031	jg610	AL2G13130
OG0000031	jg611	AL2G12780
OG0000031	jg588, jg582	AL2G12460
OG0000031	jg663	AL2G13280
OG0000031	jg538	AL2G11830
OG0000031	jg645, jg586, jg583	AL2G12470
OG0000031	jg642	AL2G13120
OG0000031	jg618	AL2G13170
OG0000031	jg613	AL2G12830
OG0000031	jg617	AL2G13140
OG0000031	jg616	AL2G12820
OG0000031	jg643	AL2G18840
OG0000031	jg29724	AL1G24190
OG0000031	jg29708, jg29704	AL1G23970
OG0000031	jg29712	AL1G24080
OG0000031	jg26478	AL3G36780
OG0000031	jg29722, jg29734	AL1G23630, AL1G24180
OG0000031	jg29678, jg29676	AL1G23620
OG0000031	jg5495	AL6G27650
OG0000031	jg12744	AL7G48260
OG0000031	jg25741	AL3G29640
OG0000031	jg638	AL2G13070
OG0000031	jg372	AL2G10190
OG0000033	jg10193	AL7G30290
OG0000033	jg10207	AL7G30340
OG0000033	jg10206	AL7G30330
OG0000033	jg10426	AL7G32680
OG0000033	jg10425	AL7G32670
OG0000033	jg10208	AL7G30350
OG0000033	jg10195, jg10202	AL7G30310
OG0000033	jg7784	AL6G48800
OG0000034	jg17413, jg17411	AL5G21550
OG0000034	jg32391, jg32356, jg32339, jg32338	AL8G19760
OG0000035	jg740	AL2G14000, AL2G14020
OG0000035	jg23606	AL8G43560
OG0000035	jg18271	AL4G27390
OG0000035	jg18309	AL4G27770
OG0000035	jg33607	AL1G62520
OG0000035	jg16185	AL5G43600
OG0000036	jg16618	AL5G26550, AL920U10010
OG0000036	jg11724, jg17278, jg1046	AL4G17610
OG0000036	jg1567	AL6G45120
OG0000036	jg21000	AL1G60100
OG0000036	jg17522	AL3G30200
OG0000038	jg549	AL2G12050
OG0000038	jg31063, jg31071, jg31062, jg31070	AL1G38800, AL1G38860
OG0000038	jg14792	nbis-gene-1329
OG0000038	jg18146	AL4G25900
OG0000038	jg12694	AL7G48990
OG0000038	jg12670	nbis-gene-1928
OG0000038	jg6336	AL6G35130, AL6G36280
OG0000038	jg15287	nbis-gene-1360
OG0000038	jg21941	AL8G26900
OG0000038	jg28841	AL1G14840
OG0000038	jg20757, jg20756	AL8G15660
OG0000038	jg31052	AL1G38680
OG0000038	jg12601, jg12599	AL7G50040
OG0000038	jg25017	AL3G22250
OG0000038	jg25016, jg25015	AL3G22230
OG0000039	jg6819	nbis-gene-244
OG0000040	jg11086	AL7G39300
OG0000040	jg30787	AL1G35700
OG0000040	jg31202	AL1G40170
OG0000040	jg31203	AL1G40180
OG0000040	jg25536	AL3G27510
OG0000040	jg29499	AL1G21870
OG0000040	jg25272	AL3G24770
OG0000040	jg738	AL3G25710
OG0000040	jg25360	AL3G25690
OG0000040	jg2112	AL2G23050
OG0000040	jg14799	AL5G29320
OG0000040	jg17824	AL5G29310
OG0000040	jg14802	AL5G29340
OG0000040	jg26152	AL275U10020, AL3G33690
OG0000041	jg6878	AL7G44740
OG0000044	jg17523	AL8G24550, AL3G45110, AL3G45080, AL6G44180
OG0000044	jg29315	AL6G43460
OG0000044	jg14196	AL1G51180, AL4G17640
OG0000044	jg1035	AL6G40760, AL3G44690, AL4G20190
OG0000044	jg13501	AL5G16920
OG0000044	jg20886	AL7G43910, AL3G42580
OG0000045	jg21124	AL6G36560
OG0000046	jg12463	AL7G51420
OG0000046	jg12337	AL7G52590
OG0000046	jg10780	nbis-gene-1820
OG0000046	jg2195	AL2G25210
OG0000046	jg2209, jg2212	AL2G25320
OG0000046	jg2188	AL2G25180
OG0000046	jg2193	AL2G25200
OG0000047	jg5264	AL1G31430
OG0000047	jg14038	AL3G45170
OG0000048	jg24237	AL3G13720
OG0000048	jg16525	AL4G10310
OG0000048	jg5643	AL6G29210, AL6G29240
OG0000048	jg5639	AL6G29190
OG0000048	jg5648	AL6G29180
OG0000048	jg5634	AL6G29120
OG0000048	jg5644	AL6G29220
OG0000049	jg28661	AL6G37950
OG0000050	jg7029, jg13871	AL2G19460, AL7G40460, AL8G34860, AL8G13000
OG0000052	jg29349	AL1G20340
OG0000052	jg19555	AL4G40940
OG0000052	jg497	AL2G11470
OG0000052	jg24823	AL3G20080
OG0000052	jg907	AL2G15770
OG0000052	jg19551	AL4G40920
OG0000052	jg19550	AL4G40910
OG0000052	jg19554	AL4G40930
OG0000052	jg19558	AL4G40960
OG0000052	jg19564	AL4G41020
OG0000052	jg19562	AL4G41010
OG0000052	jg19561	AL4G41000
OG0000053	jg1077	AL8G40920
OG0000053	jg28178	AL2G10380, AL1G59190
OG0000053	jg4817, jg5943, jg25268, jg33384, jg11480, jg32839	AL7G34190
OG0000053	jg27640, jg13837	AL5G34630
OG0000055	jg674	AL2G13390
OG0000055	jg739	AL2G13990
OG0000055	jg14491	AL5G26170
OG0000055	jg748	AL2G14100
OG0000055	jg726	AL2G13820
OG0000055	jg721	AL2G13770
OG0000055	jg728	AL2G13840
OG0000055	jg1420	AL1G66000
OG0000055	jg749	AL2G14110
OG0000055	jg743	AL2G14050
OG0000055	jg744	AL2G14060
OG0000055	jg745	AL2G14070
OG0000055	jg746	AL2G14080
OG0000055	jg747	AL2G14090
OG0000056	jg16912	AL8G19010
OG0000056	jg12160, jg20957, jg21612, jg13720, jg21424	AL8G19360
OG0000056	jg11849, jg7332	AL3G47230
OG0000057	jg8147	AL6G52510
OG0000057	jg17788	AL4G21820
OG0000057	jg28057	AL3G53160
OG0000057	jg28058	AL3G53140
OG0000057	jg25759, jg25744	AL3G29670
OG0000057	jg25830	AL3G30370
OG0000057	jg1195	AL2G18120
OG0000057	jg25753	AL3G29740
OG0000057	jg25886	nbis-gene-725
OG0000057	jg26868	AL3G41130
OG0000057	jg26785	AL3G40140
OG0000057	jg32786	nbis-gene-248
OG0000057	jg26196, jg26181	AL3G33990, AL3G34120
OG0000058	jg13853	AL4G27890
OG0000061	jg17678	AL2G21910
OG0000061	jg5265	AL8G29100, AL1G31420
OG0000061	jg31440	AL8G26420
OG0000061	jg25892, jg12998	AL6G33330
OG0000062	jg7377	nbis-gene-221
OG0000063	jg21249	AL5G34700
OG0000063	jg29139, jg21260	AL1G18100
OG0000064	jg8362	AL7G10840
OG0000064	jg18482	AL4G29500
OG0000065	jg21206	AL6G41840, AL1G46690, AL1G38210, AL4G24090
OG0000066	jg27126	AL2G35580
OG0000066	jg7203	AL6G41640
OG0000066	jg3219, jg3220	AL2G35590
OG0000066	jg30515	AL1G32620
OG0000066	jg4871, jg4870, jg29279, jg13471	AL6G20900
OG0000066	jg1404	AL5G16700
OG0000067	jg24838	AL3G20250
OG0000067	jg24839	AL3G20260
OG0000067	jg4261, jg4260	AL6G14890
OG0000067	jg4298	AL6G15310
OG0000067	jg22052	AL8G28020
OG0000067	jg22034	AL8G27750
OG0000067	jg32039	AL1G48230
OG0000067	jg24035, jg24037	AL3G11550
OG0000067	jg4088	AL6G12890
OG0000067	jg4089	AL6G12860
OG0000067	jg4055	AL6G12550
OG0000067	jg14204, jg14390, jg14389	AL5G24850
OG0000067	jg4679	AL6G18740
OG0000068	jg13724	AL2G19330, AL4G18050, AL1G57000
OG0000068	jg11910	AL7G52740
OG0000068	jg7415	nbis-gene-1381
OG0000068	jg23144, jg1081, jg11470, jg12280	AL782U10010
OG0000068	jg13873	AL3G42660, AL7G46520, AL4G33750
OG0000069	jg13828, jg32034	AL5G31050
OG0000069	jg10937, jg11572, jg20466	nbis-gene-12
OG0000069	jg16551, jg30444	AL1G60290
OG0000069	jg11779, jg1433, jg26607	AL5G25100
OG0000071	jg727	AL2G13830
OG0000071	jg15329	AL5G27290, AL1G43970, nbis-gene-561
OG0000071	jg25723	AL6G40690
OG0000072	jg17478	AL2G19590
OG0000072	jg16476, jg16484, jg29790, jg9963, jg13945, jg11738, jg2091	AL8G24560, AL4G13100, AL8G26200, AL7G48370, AL1G49480, AL3G45860, AL3G47220, AL5G17870
OG0000073	jg10924	AL7G37760
OG0000073	jg20419	AL8G11950
OG0000073	jg20416	AL8G11920
OG0000073	jg20443	AL8G12190
OG0000073	jg21037	AL8G18470
OG0000073	jg1752	AL2G19370
OG0000073	jg7157, jg7084	AL6G42230
OG0000073	jg20415	AL8G11900
OG0000073	jg20412	AL8G11840
OG0000073	jg20417	AL8G11930
OG0000073	jg13687	AL5G18720
OG0000074	jg30935	AL1G37410
OG0000074	jg30930	AL1G37350
OG0000074	jg30929	AL1G37340
OG0000074	jg30938	AL1G37440
OG0000074	jg30934	AL1G37400
OG0000074	jg17689	AL4G22700
OG0000074	jg30932	AL1G37380
OG0000074	jg30931	AL1G37360
OG0000074	jg30936	AL1G37420
OG0000074	jg30922	AL1G37270
OG0000074	jg30923, jg30924	AL1G37280
OG0000074	jg30937	AL1G37430
OG0000075	jg4863	AL6G20830
OG0000075	jg29636	AL1G23150
OG0000075	jg29550	nbis-gene-69
OG0000075	jg33257	AL1G58940
OG0000075	jg17315	AL4G18870
OG0000075	jg29545, jg29543	AL1G22300
OG0000075	jg12227	AL7G46450
OG0000075	jg29834, jg21571	AL8G23030
OG0000075	jg29335	AL1G20200
OG0000075	jg10637, jg14429	AL5G25310
OG0000076	jg13389	AL5G15910
OG0000076	jg14731, jg14730	AL5G28550
OG0000076	jg14729	AL5G28540
OG0000076	jg14762	AL5G28950
OG0000076	jg20912	AL8G17190
OG0000076	jg15039	AL5G31970
OG0000076	jg1458, jg1459	AL1G65610
OG0000076	jg13388	AL5G15900
OG0000077	jg21500	AL34U10100, AL8G22340
OG0000077	jg8425	AL7G11600
OG0000077	jg21503	AL34U10110
OG0000077	jg8426	AL7G11690
OG0000077	jg7662	AL6G47540
OG0000077	jg7663	AL6G47530
OG0000077	jg32692	AL1G52780
OG0000077	jg32685	AL1G52760
OG0000077	jg32682	AL1G52750
OG0000077	jg8424, jg8422	AL7G11590
OG0000077	jg1000	AL2G16730
OG0000077	jg934	AL2G16030
OG0000077	jg8428	nbis-gene-1691
OG0000078	jg13799, jg25794	AL7G11640, AL1G50710, AL4G20710, AL6G41920, AL8G21920, AL9U11500, AL2G19920, AL2G22250, AL5G12710
OG0000079	jg24131	AL3G12540
OG0000079	jg15929	AL5G40790
OG0000079	jg15924	AL5G40730
OG0000079	jg15925	AL5G40740
OG0000079	jg17321	AL4G18900
OG0000079	jg17317, jg17322	AL4G18910
OG0000079	jg15921	AL5G40710
OG0000079	jg15934	AL5G40830
OG0000079	jg12362	AL7G52200
OG0000079	jg12361	AL7G52210
OG0000079	jg12363	AL7G52190
OG0000079	jg15911	AL5G40610
OG0000079	jg15928	AL5G40780
OG0000080	jg12190	AL7G46170
OG0000080	jg32859, jg32843, jg32550, jg32855, jg32866	AL1G54400
OG0000080	jg32915	AL1G55000
OG0000080	jg32919	AL1G55020
OG0000080	jg32548, jg32861, jg32845	AL1G54370
OG0000080	jg32993	AL1G25040, AL1G25030
OG0000080	jg5088	AL6G23340
OG0000080	jg32551, jg32841, jg32864, jg32857	nbis-gene-1510, AL6G23310
OG0000080	jg25262	AL3G24690
OG0000081	jg32881	AL1G54580
OG0000081	jg32883	AL1G54620
OG0000081	jg461	AL2G11100
OG0000081	jg33221	nbis-gene-277
OG0000081	jg5636	nbis-gene-1537
OG0000081	jg1070, jg1395	nbis-gene-419, nbis-gene-330
OG0000081	jg5637	AL6G29160
OG0000081	jg5657	AL6G29360, AL6G29140
OG0000083	jg32007, jg27544, jg27541	AL57U10030
OG0000083	jg2769	AL2G31040
OG0000083	jg2770, jg2771	AL2G31050
OG0000083	jg2773	AL158U10020, AL2G31060
OG0000083	jg26554	AL3G37570
OG0000083	jg26553	AL3G37560
OG0000083	jg27213	AL3G43940
OG0000083	jg32422	AL1G47960
OG0000083	jg24440	AL3G15890
OG0000084	jg17270, jg17392, jg16998, jg17271	AL4G15620
OG0000084	jg17390	nbis-gene-975
OG0000084	jg16997	nbis-gene-1002
OG0000084	jg1743	nbis-gene-1001
OG0000084	jg16996	AL4G15550
OG0000084	jg16897	AL4G14510
OG0000084	jg16899	AL4G14520
OG0000084	jg16995, jg17274	AL4G18510
OG0000084	jg17286, jg17001, jg16991	AL4G15660
OG0000084	jg17290, jg16988	AL4G15530
OG0000084	jg17272	AL4G18500
OG0000084	jg16984	AL4G15500
OG0000084	jg17289	AL4G18560
OG0000084	jg16989, jg17288	AL4G18550
OG0000085	jg27503	AL3G40380, AL3G29370
OG0000085	jg21532	AL4G20860, AL2G17230
OG0000086	jg1275, jg1277, jg1270, jg1278, jg1271, jg1274, jg1272, jg1273, jg1280, jg1279, jg1276, jg1269	nbis-gene-344, nbis-gene-348, nbis-gene-349, nbis-gene-343, nbis-gene-440, AL2G18870, nbis-gene-342, nbis-gene-436, nbis-gene-1420, nbis-gene-434, nbis-gene-435, nbis-gene-439, nbis-gene-347, nbis-gene-1421, nbis-gene-438, nbis-gene-437, nbis-gene-1419
OG0000086	jg20985	nbis-gene-2027, nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028
OG0000086	jg20984, jg20982, jg20983, jg20981	nbis-gene-2044
OG0000086	jg20978, jg20980, jg20977, jg20975, jg20976, jg20974, jg20979, jg20973	nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023
OG0000087	jg6235	AL6G35120
OG0000087	jg17972	AL4G24260
OG0000087	jg23223	AL8G39670
OG0000087	jg5068	AL6G23060
OG0000087	jg18593	AL4G30750
OG0000087	jg20749	AL8G15560
OG0000087	jg10485	AL7G33260
OG0000087	jg30528	AL1G32740
OG0000087	jg3235	AL2G35770
OG0000088	jg14230, jg14231	AL5G23250
OG0000088	jg14563	AL5G26870
OG0000088	jg27525	AL3G46650
OG0000088	jg14558	AL5G26810
OG0000088	jg14507	AL5G26360
OG0000088	jg14562	AL5G26860
OG0000088	jg5910	AL6G32010
OG0000088	jg21695	AL8G24400
OG0000089	jg4799	AL6G20220
OG0000089	jg26012, jg33022	AL3G32160, AL1G56110
OG0000089	jg19507	AL4G40450
OG0000089	jg19508	AL4G40460
OG0000089	jg19509	AL4G40470
OG0000089	jg15311	AL4G34130, AL4G34190
OG0000089	jg22870	AL5G25390
OG0000089	jg14433	AL8G35810
OG0000090	jg4483	AL2G24470
OG0000090	jg30544, jg16631	AL4G11370
OG0000090	jg21183	AL8G19640
OG0000090	jg3251	AL2G35960
OG0000090	jg16054	AL5G42190
OG0000090	jg8905	AL7G16760
OG0000090	jg13115	AL5G12830
OG0000090	jg28225, jg28226	AL3G47920
OG0000090	jg13116	AL5G12840
OG0000090	jg29403	AL1G20940
OG0000091	jg20821, jg1412	AL8G16330
OG0000091	jg2211	nbis-gene-1790, nbis-gene-1053
OG0000091	jg14179	AL7G47240
OG0000091	jg11947	AL2G13330
OG0000091	jg19288	AL3G42630, AL8G16340
OG0000093	jg15862	AL5G40110
OG0000093	jg15865	AL5G40140
OG0000093	jg15861	AL5G40100
OG0000093	jg15846	AL5G39960
OG0000093	jg27054	AL3G42900
OG0000093	jg27051	AL3G42870
OG0000093	jg27052	AL3G42880
OG0000093	jg15863	AL5G40120
OG0000093	jg15851	AL5G39980, AL5G40000
OG0000093	jg15841	AL5G39910
OG0000096	jg1261	AL2G18750
OG0000096	jg13128	AL5G12940, AL5G12970
OG0000096	jg1310	AL1G67300
OG0000096	jg2240	AL2G25710
OG0000096	jg29337	AL1G20220
OG0000096	jg902	AL2G15700
OG0000097	jg7810	AL6G49050
OG0000097	jg7819	AL6G49140
OG0000097	jg11552	AL9U10540
OG0000097	jg7820	AL6G49150
OG0000097	jg7813, jg7812	AL320U10020
OG0000097	jg7815	AL6G49090
OG0000097	jg7814	AL6G49080, AL6G45160, AL320U10010
OG0000097	jg7817	AL6G49120
OG0000098	jg651, jg658, jg654, jg653	AL2G13240
OG0000098	jg849, jg850	AL2G15160
OG0000098	jg29677	nbis-gene-1028
OG0000098	jg29672	AL1G23600
OG0000098	jg29671	AL1G23590
OG0000098	jg11302	AL7G41510
OG0000098	jg29664	AL1G23500
OG0000098	jg32282, jg12025	AL1G23480
OG0000099	jg7296	AL6G43420
OG0000099	jg459, jg7310	nbis-gene-368
OG0000099	jg27477	AL3G46110
OG0000099	jg719, jg720	AL2G13760
OG0000099	jg458, jg453	AL2G11060
OG0000099	jg456	AL6G43560, nbis-gene-367
OG0000099	jg543	AL2G11960
OG0000099	jg27475	AL3G46090
OG0000099	jg460	nbis-gene-369
OG0000099	jg451	AL2G11030
OG0000101	jg2046	AL2G23700
OG0000101	jg492	AL2G11380
OG0000101	jg1381, jg1380	AL1G66350
OG0000101	jg1001	AL2G16740
OG0000101	jg777	AL2G14410
OG0000101	jg27782	AL3G49580
OG0000101	jg472	AL2G11210
OG0000102	jg32522	AL7G44340
OG0000104	jg29111	AL1G17740
OG0000104	jg17877, jg17884	AL4G23510
OG0000104	jg17897	AL4G23570
OG0000104	jg33004	AL1G55940
OG0000104	jg33347	AL1G59850
OG0000104	jg17885, jg17878	AL4G23520
OG0000105	jg2302, jg18124, jg11589, jg7189, jg11867, jg6721, jg13803, jg26770, jg7236, jg13734	AL5G25560
OG0000105	jg13878, jg7238, jg21182, jg27677, jg21181, jg1858, jg11932, jg7202, jg7619, jg27619, jg7054, jg7052	AL4G16170
OG0000105	jg17571	AL1G53250, AL1G56270, AL3G45200
OG0000106	jg25957	AL3G31580
OG0000106	jg25959, jg6741	AL3G31600
OG0000106	jg26029, jg25961, jg6747	AL3G31620
OG0000106	jg25960, jg6746	AL3G31610
OG0000106	jg26030	AL3G32310
OG0000106	jg26079	AL3G32820
OG0000106	jg27891	AL3G50560
OG0000106	jg27435	AL3G22030
OG0000106	jg25967, jg25964, jg12059, jg25966	AL439U10010
OG0000106	jg6740, jg25958	AL3G31590
OG0000106	jg17690	nbis-gene-1025
OG0000106	jg17691	AL4G22680
OG0000106	jg17695	AL4G22640
OG0000106	jg26888	AL3G41350
OG0000106	jg26886	AL3G41340
OG0000107	jg26157	AL3G33760
OG0000107	jg26159	AL3G33780
OG0000107	jg26158	AL3G33770
OG0000107	jg26161	AL3G33810
OG0000107	jg26163	AL3G33830, AL3G42780
OG0000108	jg27471, jg27452	nbis-gene-844
OG0000108	jg16875	AL4G14150
OG0000108	jg6402, jg6418	AL6G37130
OG0000108	jg6403	AL6G37020
OG0000108	jg7433	AL6G44880
OG0000108	jg17595	AL1G41020, AL1G41010, AL1G41000
OG0000108	jg31284	AL1G40990
OG0000108	jg16872	AL4G14170
OG0000108	jg27107	nbis-gene-805
OG0000108	jg27264	AL3G44060
OG0000108	jg27221	AL3G44020
OG0000108	jg27229	AL3G44030
OG0000108	jg27223	AL3G43980
OG0000108	jg2306	AL2G26330
OG0000109	jg17424	AL4G12030, AL1G50070
OG0000110	jg20835	AL8G16450
OG0000110	jg1161	AL2G18450
OG0000110	jg13485	AL164U10020, AL5G16810
OG0000110	jg15960	AL5G41090
OG0000110	jg15959	AL5G41080
OG0000110	jg15964	AL5G41120
OG0000110	jg15965	AL5G41130
OG0000110	jg15957	AL5G41040
OG0000110	jg11381	AL7G42310
OG0000111	jg12398	AL315U10010, AL7G51940
OG0000111	jg12393	AL7G52000
OG0000111	jg12389	AL7G52020
OG0000111	jg11226	AL7G40650
OG0000111	jg33739, jg33731	AL1G63730
OG0000111	jg23313	AL8G40480
OG0000111	jg7387	AL6G44360, AL6G44330
OG0000111	jg15428	AL5G36020
OG0000112	jg29450	nbis-gene-64
OG0000112	jg17599	nbis-gene-1017
OG0000112	jg27950, jg23041	AL8G37620
OG0000112	jg20712	nbis-gene-2004
OG0000112	jg21770	AL8G25360
OG0000114	jg20995	AL8G17980, AL20U10050, AL20U10060
OG0000114	jg20998	AL20U10040
OG0000114	jg20997, jg20999	AL20U10020
OG0000114	jg4953	AL6G21880
OG0000114	jg17682	AL4G22780
OG0000114	jg20706	AL8G15310
OG0000114	jg1324, jg1320, jg1319, jg1317, jg1326, jg1329, jg1330	AL1G67280
OG0000114	jg27021	AL3G42680
OG0000114	jg27601, jg1248	AL1G52710
OG0000114	jg2013	AL2G23230
OG0000114	jg12354	AL686U10020, AL7G52290, AL7G52440, AL7G52360, AL7G52380, AL7G52310, AL7G52410
OG0000115	jg6881	AL1G16160
OG0000115	jg12949, jg10772, jg12951	AL2G19110
OG0000116	jg1481, jg15996, jg6981, jg14689, jg7083, jg1902	AL4G42280
OG0000118	jg13696, jg13697, jg13695	AL5G18800
OG0000118	jg7195, jg7197, jg7196	AL6G41700, AL6G41690
OG0000118	jg7198	AL6G51870, AL496U10020, AL496U10010, AL6G51840
OG0000118	jg26895	AL5G34240
OG0000118	jg27877	AL3G50380
OG0000118	jg3144	AL2G34810
OG0000119	jg1495	AL1G41050
OG0000119	jg13725	AL1G56990, AL4G18060
OG0000119	jg21576	AL5G24470
OG0000119	jg27974	AL6G38890
OG0000119	jg7024	AL3G40990, AL6G49470
OG0000120	jg893	nbis-gene-408
OG0000120	jg889	AL2G15570
OG0000120	jg13317, jg4214	nbis-gene-1458
OG0000122	jg22485	AL8G31960
OG0000122	jg22487	nbis-gene-2149
OG0000123	jg31338	AL1G41700
OG0000123	jg9826	AL7G26670
OG0000123	jg29805	AL1G25180
OG0000123	jg647	AL2G13220
OG0000124	jg12111	nbis-gene-2009
OG0000124	jg17565	AL1G47640
OG0000124	jg20179	AL3G43990
OG0000124	jg11471	nbis-gene-2162
OG0000125	jg24874	AL3G20660
OG0000125	jg3993	AL6G11840
OG0000125	jg6123	AL6G34020
OG0000125	jg29136	AL1G18070
OG0000125	jg14378	AL5G24690
OG0000125	jg22931	AL189U10030, AL8G36480
OG0000125	jg14383	AL5G24750
OG0000125	jg17851	AL4G23250
OG0000126	jg21202, jg10180, jg32086	AL3G44880
OG0000126	jg12955, jg6735, jg10767	AL4G19050
OG0000127	jg3916	AL6G11060
OG0000127	jg3915	AL6G11050
OG0000127	jg20918	AL428U10020, AL8G17250
OG0000127	jg3920	AL6G11080
OG0000127	jg24833	AL3G20190
