Orthogroup	Arabidopsis_arenosa	Cochlearia_excelsa
OG0000004	jg27616	g42097, g41297, g24112, g31979, g17136, g25958, g25963, g36901, g52887, g2537, g48210, g53103, g41102, g52585, g51512, g35331, g17773, g42634, g39612, g1968, g10247, g52913, g10640, g36272, g53835, g11809, g16248, g25088, g34228, g25325, g35012, g43391, g51567, g39820, g53930, g25678, g32406, g30140, g42743, g43491, g46292, g5096, g22548, g39581, g13962, g36499, g42759, g10639, g27558, g45059, g29019, g28838, g26174, g47720, g23412, g53102, g25957, g25962, g53418, g4285, g41471, g53645, g14079, g48508, g20088, g38441, g18608, g25306, g42226, g42241, g42207, g37556, g16487, g3215, g24517, g26840, g25601, g54046, g36858, g4615, g36408, g23455, g43652, g3086, g24113, g70
OG0000005	jg12267, jg12278	g44250
OG0000005	jg1846, jg6872, jg23533	g47996, g36759, g22674, g50707, g1267, g22012, g54239, g2983, g43671, g6090
OG0000005	jg13854, jg1845, jg4267, jg10505	g43359
OG0000005	jg8025, jg11080, jg14183, jg14024, jg21899, jg13959, jg1165, jg13498, jg21058, jg18867, jg13113	g4402
OG0000005	jg27468	g43360
OG0000007	jg32942	g45448
OG0000007	jg11905	g22659
OG0000007	jg14512, jg5404, jg7218, jg32933, jg21574	g4482, g23875
OG0000008	jg20324	g49591
OG0000010	jg11731	g43027, g35985
OG0000011	jg27080, jg13807	g42924
OG0000011	jg27079	g26075, g4219, g9033
OG0000012	jg12454, jg31920	g6328
OG0000012	jg1757, jg32331, jg12319, jg3735	g21395
OG0000012	jg32597	g34756
OG0000012	jg7019, jg10010, jg11974, jg21172, jg12128, jg11895, jg21243, jg32109, jg17207, jg1599	g3443, g34444, g34449
OG0000013	jg11978	g24947, g35918, g53893, g41958
OG0000014	jg16959	g53053, g15956, g36000, g14332
OG0000014	jg22974	g17907, g43443, g40836, g15958, g51640, g52235
OG0000014	jg18640	g4147, g48939
OG0000015	jg32444	g42099
OG0000015	jg11869	g42908, g24843, g26998, g48095, g12672, g5446, g26670, g41116, g47966, g53567
OG0000015	jg27710	g10054
OG0000015	jg21314, jg11868	g26108, g43718, g42171, g26614, g12285
OG0000015	jg6954	g35684
OG0000017	jg6965	g5712, g5713
OG0000017	jg7335	g3672, g32994, g27829, g41994
OG0000017	jg11431	g3669, g48346, g48867
OG0000017	jg27353	g4186
OG0000017	jg1560	g14557, g17020, g39315
OG0000017	jg6883	g41997, g33121, g3359, g6214
OG0000017	jg1901, jg1479, jg11614, jg32221, jg11780, jg21044, jg1480, jg14690, jg6982	g44074, g47797, g33120, g7898, g14750, g3057, g43352, g14036, g15607, g52007, g51052, g52970, g32655, g4343, g43479, g2953, g50650, g41998, g23595, g2979
OG0000018	jg4400, jg32393, jg11989, jg32560, jg26774	g2213, g49590, g14568, g25751, g34956, g53077, g43442, g33130, g45148, g29629, g43760, g4386, g2331, g37069
OG0000018	jg25715	g14567, g33125, g25750
OG0000019	jg13651	g36529, g42561, g14492, g51080, g41576
OG0000019	jg26287	g16592, g1020, g46208, g40680, g40322, g46628, g9756
OG0000019	jg13838, jg27639, jg22122, jg16702	g11917, g53760, g9705, g35966, g50936, g40612, g52670, g3241, g43706
OG0000019	jg13839	g6080, g43707, g18316, g27825, g2481, g24975
OG0000019	jg13487, jg13649, jg11481, jg20674	g2721, g18071, g42559
OG0000020	jg21068	g20915
OG0000020	jg27281, jg27158, jg13794, jg18577, jg25717, jg19520	g25930, g51375
OG0000020	jg27186	g7451
OG0000021	jg17562	g14063
OG0000022	jg6914	g14716, g48861, g30038, g41612, g41591, g22553, g41917, g16197, g34207, g15505, g15658, g30512, g42689, g42347, g53204, g36242, g9174, g52595, g41878, g48194, g35110, g44393, g3109, g48690, g34790, g4455, g4155, g20849, g20863, g16650, g836, g3899, g26635, g40219, g17801, g52313, g38832, g9575, g4424, g8586, g42367, g42385, g24855, g3353, g28834, g33374, g35514, g53001, g43209, g43621, g3491, g33698, g33094, g53048, g50777, g33606, g1288, g47309, g26412, g49144, g48256, g26341, g9055, g4317, g25205, g14941, g2204, g26455, g4450, g15619, g26353, g11697, g22503, g42001, g41682, g26604, g26146, g35597, g16361, g49058, g8525, g38825, g19803, g3272, g43544, g52320, g33543, g33491, g33201, g46523, g35599, g25811, g20925, g22556, g53236, g43395, g8858, g15873, g15891, g16198, g15850, g43526, g15265, g3619, g42195, g6641, g11583, g26012, g22375, g53076, g35563, g35631, g7966, g41717, g17339, g34844, g22581, g4549, g43265, g42150, g52721, g30197, g42169, g35272, g42495, g26114, g35414, g34458, g34328, g52359, g25211, g32947, g32941, g34345, g42666, g42525, g3608, g16121, g38673, g48686, g33066, g30678, g19974, g52435, g30159, g48555, g43293, g53187, g52634, g26426, g52593, g16358, g15049, g35003, g34287, g52687, g8657, g48065, g25328, g8743, g14874, g15928, g33818, g8467, g48699, g32944, g15515, g42521, g21522, g14330, g41871, g30074, g34559, g30230, g9198, g16222, g29900, g3425, g42728, g38567, g15657, g34206, g22162, g33088, g30039, g15504, g44529, g35767, g33140, g3421, g3599, g35630, g35753, g34712, g22160, g35269, g48848, g33781, g20360, g2739, g6056, g45121, g33509, g8662, g21890, g15799, g16725, g41856, g21145, g22283, g42143, g21951, g34366, g52013, g16980, g37266, g12539, g49252, g8897, g1536, g43170, g25267, g37886, g26326, g25754, g26376, g21944, g53023, g42869, g36556, g48548, g53672, g37773, g42465, g42472, g8997, g26391, g53831, g25315, g6562, g15507, g48894, g30520, g21898, g15920, g34453, g21146, g7961, g38615, g53032, g33067, g35594, g33079, g33072, g35766, g16212, g3420, g8663, g35513, g15585, g43171, g22554, g4772, g53671, g25994, g22504, g22619, g8655, g35418, g35417, g20864, g42197, g30511, g30523, g2816, g16211, g17672, g25740, g4063, g52747, g49054, g48862, g20924, g5522, g41613, g41916, g21139, g33920, g28777, g2950, g39065, g52516, g20855, g33109, g46522, g35392, g33171, g14395, g32786, g8996, g38827, g48550, g20857, g42737, g41681, g26605, g35598, g8948, g42657, g4156, g16241, g12540, g2876, g15800, g20686, g11839, g14715, g16726, g41486, g21428, g26733, g36555, g33446, g30395, g38830, g20860, g43543, g4545, g34838, g52708, g34286, g52924, g9294, g48219, g16257, g48685, g15656, g21482, g33487, g21478, g33534, g16163, g35406, g35604, g8669, g15757, g8249, g5413, g15559, g48698, g22284, g20923, g42870, g25755, g1537, g43815, g24915, g44528, g48863, g25277, g8530, g22159, g15892, g53022, g37887, g3898, g25954, g25295, g35268, g4587, g24479, g16979, g20850, g15841, g16196, g34205, g21473, g35762, g34364, g30532, g15503, g21383, g1442, g29899, g2849, g21449, g3598, g25204, g53244, g33430, g15636, g34733, g45122, g54407, g8816, g30526, g3286, g41307, g42881, g53605, g8570, g2208, g11205, g41874, g51747, g14768, g15981, g9054, g25714, g3300, g30485, g38796, g33697, g32778, g32771, g33244, g47571, g38901, g27843, g26315, g33276, g34724, g35165, g14959, g26354, g33306, g48374, g15588, g9141, g24854, g14699, g3667, g30070, g42386, g52442, g15584, g4118, g8531, g53693, g38773, g22539, g22282, g33087, g4586, g42729, g42730, g20856, g38826, g16242, g8524, g7962, g11840, g33445, g48237, g42045, g17098, g14933, g34865, g14771, g8805, g22163, g26738, g4773, g48218, g53863
OG0000023	jg10181	g47441
OG0000023	jg7523	g25717, g25713
OG0000023	jg7521	g25723
OG0000023	jg7526	g25720
OG0000023	jg7533, jg7537, jg7530	g40374
OG0000023	jg10192	g23907, g24643
OG0000024	jg13862, jg2022	g45320, g32515
OG0000025	jg22247, jg22250	g39418, g24597
OG0000026	jg27352	g14806, g32688
OG0000027	jg17071	g43469
OG0000027	jg14278, jg15770, jg15695, jg15696, jg15771	g2269
OG0000029	jg27510	g48832, g8633, g29966, g24593, g30702, g9123, g29976, g30667, g13591, g10196
OG0000029	jg5864, jg27798, jg17174, jg18126	g46975
OG0000029	jg1946	g49276, g4525, g37385, g6082
OG0000029	jg17443	g30549, g9121, g30700
OG0000029	jg17949	g1672
OG0000030	jg32294, jg33373	g40103
OG0000030	jg6978	g6175, g48553, g8527
OG0000030	jg12236	g31187
OG0000030	jg6977	g53556
OG0000030	jg20585	g37182
OG0000030	jg17129	g6340, g37181, g16111
OG0000030	jg2222	g43791, g44909
OG0000031	jg663, jg481, jg538, jg645, jg586, jg583, jg572, jg642	g40889
OG0000031	jg618, jg613, jg617, jg616, jg643	g40881, g40949, g40859, g40857, g40951, g6403, g40794
OG0000031	jg5495	g5030
OG0000031	jg25741	g13269
OG0000031	jg9770	g17118
OG0000031	jg638	g40888
OG0000033	jg10203, jg10197, jg10193	g23911
OG0000033	jg10425	g24014
OG0000033	jg10177	g23905
OG0000033	jg10195, jg10202	g23912
OG0000033	jg7784	g40468
OG0000034	jg32357	g34448
OG0000035	jg740	g29294, g52064, g52069, g52073
OG0000036	jg16618	g3196
OG0000036	jg299, jg1839, jg32415, jg11724, jg17278, jg1046, jg1567	g23185, g33000
OG0000036	jg21000, jg17522, jg31083	g49100
OG0000038	jg14792, jg14795, jg11019	g24239
OG0000038	jg21941, jg22515	g1070
OG0000038	jg11068	g52037
OG0000038	jg25017, jg25016, jg25015	g44982, g44984, g44985
OG0000040	jg30787, jg31202, jg31203, jg25536	g38367, g38376, g38372, g38380
OG0000040	jg29499, jg25408, jg25347, jg10900, jg11085	g44631
OG0000040	jg2112, jg25382	g13193, g13194
OG0000040	jg14799, jg17824, jg14802, jg14804, jg1537	g13797, g13799
OG0000041	jg6878	g28599, g36073
OG0000044	jg21339, jg1555	g33267
OG0000044	jg32063	g11589, g26196
OG0000044	jg13501, jg20886	g14749, g15027, g4490, g17910, g17917, g16165, g31981, g43446, g3382, g2931
OG0000044	jg12140	g36166, g25959
OG0000046	jg12463, jg12464	g46717
OG0000046	jg2192, jg2152	g46719
OG0000046	jg2195, jg2209, jg2212	g18042
OG0000047	jg20815, jg24929, jg1126, jg28031, jg17679	g25473, g27561, g41540, g28657, g32593, g13831, g36935, g2942, g14554, g51362
OG0000047	jg14037	g4320, g7910, g17624, g3384, g3851
OG0000047	jg32532	g49160, g47659, g43703, g25474, g28245, g53765, g45296
OG0000047	jg14038	g42772
OG0000048	jg5634, jg5644	g4946, g4940, g29028, g29029
OG0000049	jg10344	g23452
OG0000049	jg28661	g11828
OG0000052	jg19560	g37450
OG0000052	jg19563, jg19562, jg19561	g53934
OG0000053	jg32414, jg31675	g43705, g16122
OG0000055	jg743	g44205
OG0000057	jg8147, jg17788, jg25908	g50182, g50184, g50186
OG0000057	jg28057, jg28058	g48153, g33319, g33329, g48170, g15766, g33340
OG0000057	jg25886, jg26868	g27361, g5648
OG0000058	jg13853	g19665
OG0000061	jg1799	g11094, g32135, g50796, g25177
OG0000062	jg7377	g50114, g32823, g13726, g11246, g41835
OG0000063	jg15309, jg29139, jg21260, jg29120, jg22936	g37221, g27015, g39226, g28784, g49595, g28756, g2918, g31080, g1296, g51647
OG0000066	jg27126, jg7203, jg3219, jg3220	g5393
OG0000066	jg13471	g45535, g29501
OG0000066	jg1404	g156
OG0000067	jg12213	g27232, g27237, g27241, g27135, g46783, g25385, g25390, g25381, g27956, g9895, g5011
OG0000069	jg13268	g10672, g13435, g10819, g37685, g16623, g14359, g43051, g31936, g11177, g40367, g37837, g24092, g24404, g53393
OG0000069	jg7434	g37235, g35439
OG0000069	jg32690	g4931
OG0000069	jg30965	g41469
OG0000072	jg1859, jg13895, jg13896, jg17450, jg17336, jg27058	g33477, g30198
OG0000073	jg20412	g18482
OG0000073	jg13687, jg20423	g54289
OG0000074	jg30930	g50301
OG0000074	jg30936	g27549, g27550
OG0000075	jg29545, jg29543	g36278
OG0000075	jg29693, jg29335	g2157
OG0000076	jg13391, jg13389	g3195, g1602
OG0000076	jg14762	g44053
OG0000076	jg15039	g2410
OG0000076	jg20913, jg15189	g19225
OG0000077	jg933	g46525
OG0000077	jg8428	g25975, g22716
OG0000078	jg9173	g46791, g24881
OG0000079	jg15911, jg15928	g18915
OG0000080	jg1961, jg32859, jg32843, jg32550, jg32855, jg32866	g41322
OG0000080	jg18012	g50013
OG0000081	jg2643	g36469
OG0000081	jg5636	g6399
OG0000081	jg5637	g18040
OG0000083	jg26539, jg26554, jg26543, jg26553	g46885
OG0000083	jg32422	g7705
OG0000084	jg16996, jg16900, jg16897, jg16899	g51024
OG0000087	jg6235	g9991
OG0000087	jg23223	g9845, g2817, g339
OG0000087	jg5068	g5316
OG0000087	jg20749	g40485, g11055
OG0000087	jg10485	g17371, g24042
OG0000087	jg30528, jg3235	g46232
OG0000088	jg14230, jg14231	g11453
OG0000088	jg17633	g19510, g40516, g11030
OG0000088	jg14545, jg14558	g46886
OG0000088	jg5910	g28933, g28934
OG0000089	jg4799	g5448, g29544, g45521
OG0000089	jg26012, jg33022	g13323, g11989
OG0000089	jg19509	g52029
OG0000089	jg25167	g28730
OG0000090	jg4483, jg30544, jg16631	g50123
OG0000090	jg3251	g46242
OG0000090	jg16054, jg15233, jg8905, jg13115, jg28225, jg28226, jg13116, jg29403	g10675
OG0000091	jg20823, jg20821, jg1412, jg2211, jg14179	g3977
OG0000093	jg15862	g2360
OG0000093	jg15851	g18958
OG0000096	jg1261, jg1247, jg13128	g1538, g1535
OG0000096	jg20644	g18473
OG0000096	jg902, jg1249	g44008, g44009, g44007
OG0000097	jg7810	g45186, g45201
OG0000097	jg7820, jg7813, jg7812, jg7815, jg7814	g40477, g40479, g40476, g40480, g1561
OG0000098	jg852	g24753
OG0000098	jg29677	g49817
OG0000099	jg455, jg458, jg453, jg457	g24889
OG0000099	jg543	g46874, g4737
OG0000101	jg1373	g13564
OG0000101	jg471, jg2046	g13563
OG0000101	jg492	g40795
OG0000102	jg32522	g46693, g45401, g3397, g25742, g18404, g50268, g46262
OG0000104	jg29111	g31072
OG0000104	jg17896	g51118
OG0000104	jg26323	g6675
OG0000104	jg33349, jg33354	g54236
OG0000104	jg33347	g54244, g54237, g54238
OG0000104	jg17893	g37858
OG0000104	jg17885, jg17878	g51119
OG0000105	jg2302, jg18124	g42819
OG0000105	jg11589	g43845
OG0000105	jg17571	g43456
OG0000106	jg6740, jg25958	g49764
OG0000106	jg17690, jg17691, jg17695, jg26888, jg26886	g6393
OG0000107	jg26159	g11936
OG0000107	jg26161	g6757
OG0000108	jg27107	g11756
OG0000108	jg27465, jg27461, jg1132, jg6405, jg11987, jg17594, jg31283, jg16874	g41770
OG0000110	jg15960	g2009
OG0000110	jg11381	g50627
OG0000110	jg15969	g2010
OG0000112	jg21770	g1342
OG0000113	jg12808, jg12802, jg12815	g43820
OG0000113	jg508	g14463, g14267
OG0000113	jg14194, jg14191	g11211
OG0000114	jg2542	g17433
OG0000114	jg20706	g4924
OG0000114	jg1324, jg1320, jg1319, jg1317, jg1326, jg1329, jg1330, jg27021, jg27601, jg1248, jg2013, jg12353, jg12354	g18420
OG0000118	jg13696, jg13697, jg13695	g14347, g14348, g14394, g45220, g45247
OG0000118	jg15265, jg26895, jg27877	g45031, g45096, g45028, g11628, g36890, g45092, g45097, g11625, g45033, g17750, g17551, g17566, g17567, g24578
OG0000119	jg13725, jg9836, jg1719, jg21576, jg27974, jg7024	g50178
OG0000120	jg893, jg889	g40996
OG0000120	jg21600, jg21583, jg21561, jg21534, jg21584, jg21558	g6424
OG0000120	jg13317, jg4214, jg4213, jg2215, jg14374	g32414, g29781
OG0000122	jg21685	g18088
OG0000122	jg22487, jg22488	g1066
OG0000123	jg29806	g25911
OG0000123	jg9826	g17137
OG0000123	jg647	g25904
OG0000125	jg15301	g19182
OG0000125	jg6123	g41348
OG0000125	jg14378, jg22931, jg14383	g2919, g1294, g28781
OG0000125	jg17851	g39998
OG0000126	jg21202, jg10180, jg32086, jg12955, jg6735, jg10767	g53241, g45978, g37471, g16077, g52267, g32913, g35883, g25977, g19802, g14393, g26747, g1643, g32916, g42286, g45979, g53240, g32663, g19828, g19824, g42291, g3278, g42811, g28336, g49079, g28773, g17732
OG0000126	jg13974	g27841
OG0000127	jg24836	g7513
OG0000127	jg29525	g49766
OG0000128	jg32874	g26382
OG0000129	jg14912	g4526, g26706, g4684, g11032, g26785, g24533, g54350, g32853, g17644, g52103, g27870, g4667, g18265, g52232, g27388, g6863, g11123, g6327, g23862, g47169, g27185, g24485, g3423
OG0000132	jg16608, jg16609	g32782, g32775, g18438, g27853
OG0000132	jg32193, jg27190	g50629
OG0000133	jg7039	g19947, g43640, g35382, g42719, g43495
OG0000136	jg12281	g43995, g46769, g46768, g46770
OG0000136	jg12259	g25040, g25067
OG0000138	jg12473, jg13824, jg12474	g46708
OG0000138	jg13818	g10345
OG0000138	jg13817, jg13821	g10340
OG0000139	jg27251	g15900, g14666
OG0000139	jg6848, jg7487, jg11793	g33069, g33073, g33080, g14660, g43403
OG0000139	jg6850, jg12852	g25175
OG0000140	jg14475	g19536
OG0000140	jg22845	g1248
OG0000140	jg22800, jg21885, jg22801	g28714
OG0000140	jg22851, jg22847	g1252, g28702, g28701
OG0000142	jg17932	g51131
OG0000142	jg17933	g37876, g37875
OG0000142	jg18114, jg18115	g51155, g51154, g51130, g51156
OG0000143	jg19287, jg11883	g3826
OG0000144	jg21692	g32634, g26627, g450
OG0000145	jg27362	g47338, g44486, g14472, g33147, g21632, g42257, g21852, g21844, g36809, g10312
OG0000145	jg17724	g45298
OG0000147	jg28078	g5985
OG0000147	jg9392	g23426
OG0000147	jg22635	g1105
OG0000147	jg3697	g46563
OG0000147	jg13954	g11547
OG0000147	jg27288	g6339
OG0000147	jg16942	g50994
OG0000149	jg14423	g2887
OG0000149	jg14425	g36974
OG0000149	jg22904	g1282
OG0000149	jg22900	g1278
OG0000149	jg14420	g2888
OG0000150	jg14325	g11441, g11440
OG0000151	jg22050	g915, g28415
OG0000151	jg24782	g7540
OG0000151	jg27769	g14078
OG0000151	jg22463	g28546
OG0000152	jg21089, jg13815	g22192, g30253, g4143
OG0000154	jg30094	g27332
OG0000154	jg25213	g12277
OG0000154	jg24871	g7492
OG0000154	jg3985	g54073, g45315, g5784
OG0000155	jg9725	g23645
OG0000155	jg10428	g47372
OG0000155	jg25152	g7340
OG0000156	jg19951	g52257
OG0000157	jg24305	g46122, g12809
OG0000157	jg26523, jg24182, jg2031, jg2038, jg2030, jg2028, jg7426, jg26990	g1395
OG0000161	jg21823, jg17685, jg17683, jg17687	g392, g9880
OG0000161	jg31503	g24222, g24219
OG0000161	jg1847	g45103, g45101
OG0000161	jg1820, jg1821, jg1704	g45131
OG0000162	jg19860	g1914
OG0000162	jg2036	g26821
OG0000164	jg31608	g23474
OG0000164	jg10651	g14196, g38017, g38015, g38013, g38019, g32493
OG0000164	jg1130	g22735
OG0000165	jg13270	g11180, g53396, g31934, g52929, g53395, g43054, g10670, g12347
OG0000166	jg10075, jg17325	g32988, g18507, g12785, g438, g473, g49225, g30202, g30203, g20814
OG0000167	jg12242	g17408
OG0000168	jg19451	g43053
OG0000169	jg21554	g46166
OG0000169	jg21553	g46162
OG0000170	jg1519	g22573, g22570, g48659, g33158, g33387, g42569, g33161, g15842, g33616, g35581, g15846, g3497, g35939, g14834, g30174, g22565, g53212, g8538, g36925, g40028, g15494, g20894, g18471, g8347, g30377, g33294, g47597, g34830, g48265, g52453, g16046, g20639, g44883, g33192, g53162, g22322, g15579, g20568, g42486, g26279, g15738, g15472, g52327, g52413, g49242, g13929, g52872, g15613, g38592, g52628, g3592, g48263, g26399, g32830, g14944, g42491, g8470, g21124, g26495, g5035, g23262, g16429, g52466, g3534, g48816, g30214, g8477, g15745, g9162, g8325, g21617, g3516, g15222, g40873, g20697, g19972, g3520, g3531, g556, g34922, g27040, g3806, g612, g14983, g20638, g12232, g32843, g43273, g19971, g32806, g24605, g20928, g53668, g9042, g41989, g15610, g54129, g35835, g9210, g50317, g21981, g53211, g8579, g36305, g30480, g33253, g33290, g52473, g35113, g21534, g30475, g32832, g53230, g4601, g21499, g25308, g33772, g8791, g52468, g53147, g42991, g3481, g42011, g42983, g22579, g23934, g44461, g42451, g48833, g19432, g4722, g14595, g30365, g21386, g42388, g16721, g34240, g34235, g48890, g38610, g4453, g30042, g30370, g48086, g53403, g52331, g48199, g21447, g22186, g16880, g39194, g34889, g8571, g8557, g51041, g15508, g9184, g52632, g8184, g35819, g14982, g30035, g43272, g21848, g19889, g44995, g26398, g53256, g53205, g25183, g49049, g53454, g47596, g32764, g25768, g43096, g14799, g43735, g15775, g4487, g26148, g20846, g30502, g53862, g16430, g22578, g8597, g17427, g52829, g20844, g25945, g35135, g35138, g43276, g3589, g20553
OG0000171	jg16299	g37719, g50814
OG0000171	jg30921	g50297, g32098, g27548
OG0000171	jg5289	g29297
OG0000173	jg1461	g52822, g25282, g31108
OG0000173	jg26673	g41537, g37373, g50635
OG0000173	jg1807	g15729, g49146
OG0000173	jg14356	g17352, g17357, g17341, g1801, g25289, g14575, g15732, g18062, g46682, g32984
OG0000173	jg7184, jg21355	g10113
OG0000173	jg2228, jg26653, jg14013	g26535
OG0000174	jg11812, jg11810	g3544
OG0000175	jg8854	g23036
OG0000176	jg31640	g27714
OG0000178	jg33537	g16431, g16432, g1623, g34290
OG0000180	jg16351	g13531
OG0000183	jg14745, jg7532, jg14541, jg27683, jg1699	g45042
OG0000183	jg19302	g11496, g11193
OG0000185	jg12153	g35118, g49472, g24428
OG0000186	jg17305, jg27206	g16332, g41273, g35916, g41907
OG0000186	jg17369, jg17588	g1666
OG0000186	jg1403, jg17368	g11646
OG0000186	jg27207	g27940
OG0000186	jg10477, jg10194	g52652, g16333, g52922
OG0000187	jg16968, jg9234, jg9235	g35037
OG0000188	jg33027	g34416, g52896, g52964, g16064, g34537, g43011, g25804, g34406
OG0000190	jg7702	g40442
OG0000190	jg7707	g45158
OG0000190	jg7705	g45173
OG0000191	jg29662	g31359
OG0000192	jg3362	g50732, g27488
OG0000194	jg13997	g39193, g14594, g3480, g3485, g52657, g21533, g40027, g48264, g35112, g42450, g33771, g23935
OG0000195	jg17567	g40143
OG0000195	jg2098, jg12245	g18117
OG0000196	jg28891	g40674
OG0000196	jg31559	g27686
OG0000196	jg31430	g32383
OG0000196	jg28892	g40675
OG0000197	jg28098	g18526, g7663
OG0000197	jg12633, jg12636	g27764, g39817
OG0000200	jg31833	g27759, g27721
OG0000201	jg26412, jg26411, jg26410	g6534, g11758
OG0000201	jg26413, jg26414	g17326, g17323, g17324, g17327, g17336, g17334, g17322, g17332
OG0000201	jg26423, jg26420, jg26421, jg26422, jg26418, jg26417, jg26416, jg26419	g11846
OG0000202	jg26502	g27177
OG0000204	jg26496	g11805
OG0000204	jg26333	g36933
OG0000205	jg16530	g32507
OG0000205	jg32768, jg32767, jg32765	g53988
OG0000206	jg33290	g41308, g29004, g33054, g1573, g22730, g23072, g45047, g16729, g36171, g52105, g17791, g2449, g32347, g27139, g38106, g44429, g37022, g13752, g51222, g23924, g6223, g37934, g11812, g6224, g29003, g53538, g9977, g41828, g33055, g53539, g14640, g9978
OG0000207	jg16693	g4046
OG0000208	jg12428	g18133
OG0000208	jg8417, jg9182	g6217, g6207
OG0000209	jg415	g40830
OG0000209	jg413	g40827
OG0000209	jg419	g40828
OG0000209	jg12797	g32745
OG0000213	jg2970, jg2971	g46059, g46056
OG0000213	jg24982	g7432
OG0000213	jg16741	g38464
OG0000214	jg2493	g36825, g36830
OG0000214	jg8000, jg7249	g1023, g25454, g25477
OG0000216	jg10317	g53737
OG0000216	jg33448, jg10319, jg10323	g47412
OG0000216	jg10266	g53736
OG0000217	jg1353, jg1150, jg1143, jg1140, jg1148, jg1145	g31539, g1718
OG0000217	jg7386, jg1031	g44052
OG0000218	jg29979	g31564
OG0000218	jg29981	g49926
OG0000218	jg12942	g10793
OG0000219	jg2178, jg2182, jg2180, jg2179	g28368
OG0000219	jg23294, jg23293	g311
OG0000219	jg22095, jg22096	g18634
OG0000220	jg3970	g14029
OG0000221	jg23304	g22946, g6183, g17356
OG0000222	jg11713, jg23119	g2261, g45344, g10741, g44563, g51060, g5898, g28476, g32750, g41189, g41204
OG0000224	jg3420	g46370
OG0000224	jg9231, jg571, jg570	g40852
OG0000225	jg31473, jg31478, jg31472	g27682
OG0000226	jg26094	g32332, g32334, g32337
OG0000226	jg30960, jg31379, jg31377	g11864
OG0000228	jg6720, jg6718	g32057
OG0000228	jg2708	g44676
OG0000230	jg3241	g46235
OG0000230	jg1401	g18589
OG0000231	jg12412	g46733
OG0000231	jg2322, jg11881, jg2248	g18039
OG0000233	jg32554	g53346, g43307, g27732, g16269, g19533, g14957, g52369, g43031, g35549, g48287, g53347, g1483, g14787, g26102, g3184, g53946, g26599, g34930, g48282, g35561, g16294, g33166, g33170, g33200, g34779, g16144, g6202, g26600, g16293, g32898, g33199, g4655, g25229
OG0000233	jg32629	g53703
OG0000233	jg24835, jg1346	g53753, g43144, g15838
OG0000234	jg15449	g19127
OG0000234	jg15448	g19128
OG0000234	jg15447	g2235
OG0000234	jg19118	g51765
OG0000234	jg5170	g29346
OG0000237	jg12894	g33179, g33208
OG0000237	jg1321	g52606, g16443
OG0000238	jg11559	g4264, g4260, g16017, g37418, g28616, g34276, g15805
OG0000238	jg11581	g22405, g22409, g22252, g25326
OG0000239	jg27121, jg18342	g39775
OG0000240	jg23298	g26214, g10490, g22460
OG0000240	jg32293	g24726
OG0000240	jg17464, jg1772	g11360, g13978
OG0000242	jg27567	g14272, g6162
OG0000242	jg29880	g31494
OG0000242	jg29883	g31496, g31497, g31498, g31499
OG0000244	jg10370, jg7736, jg10373, jg10374, jg10376, jg10372, jg10371, jg7734, jg7735	g17320
OG0000247	jg12066	g28137
OG0000248	jg7640	g25664
OG0000248	jg1267	g41086, g41090, g41083
OG0000249	jg18816	g51603
OG0000249	jg18819	g37185
OG0000251	jg1955	g53444
OG0000251	jg21610	g53852, g33562, g32888, g26702
OG0000251	jg32810	g35942
OG0000252	jg4035	g45347
