Orthogroup	Arabidopsis_arenosa	Brassica_rapa
OG0000017	jg21095	XP_033139110.1, XP_033128603.1, XP_033128598.1, XP_033130670.1, XP_033136846.1, XP_009128749.2, XP_033133948.1, XP_033131231.1, XP_033144078.1, XP_033148833.1, XP_033141176.1, XP_033140693.1, XP_033136828.1, XP_033146804.1, XP_033148581.1, XP_009119107.3, XP_009138630.2, XP_033133950.1, XP_033139108.1, XP_033144661.1, XP_033135041.1, XP_033133264.1
OG0000017	jg11431	XP_033132853.1, XP_033139109.1
OG0000019	jg13651	XP_033144010.1
OG0000019	jg26287	XP_018509279.1
OG0000019	jg13840	XP_033128807.1
OG0000019	jg13838, jg27639, jg22122, jg16702	XP_033136826.1, XP_033143864.1, XP_033143559.1, XP_033130890.1, XP_033128834.1
OG0000019	jg28177	XP_033131994.1, XP_033139088.1
OG0000019	jg13487, jg13649, jg11481, jg20674	XP_033130854.1, XP_033144009.1, XP_033140208.1, XP_033129445.1, XP_033136844.1
OG0000021	jg17386, jg13577	XP_033146211.1, XP_033131873.1, XP_033142170.1, XP_033143214.1
OG0000023	jg10174	XP_009136778.1, XP_009136797.2
OG0000023	jg10189, jg10184, jg10183	XP_009136911.1
OG0000023	jg10181	XP_009139620.1
OG0000023	jg7523	XP_033142132.1
OG0000023	jg7521	XP_033142038.1
OG0000023	jg7533, jg7537, jg7530	XP_009108162.1
OG0000023	jg10191	XP_033144191.1
OG0000023	jg10192	XP_009114807.1
OG0000023	jg10190	XP_009136791.2
OG0000025	jg22247, jg22250	XP_033140823.1, XP_009127106.1
OG0000025	jg12583, jg12582, jg22219	XP_009127105.2, XP_033140818.1
OG0000025	jg8946, jg8944	XP_009107001.1, XP_033132404.1, XP_033132412.1
OG0000025	jg22445	XP_009119972.1
OG0000025	jg22262, jg22279, jg22270, jg22269, jg22278, jg22242	XP_033140822.1, XP_033140827.1
OG0000025	jg22074	XP_033138713.1
OG0000025	jg8748	XP_018509211.2
OG0000025	jg8750	XP_009148196.2
OG0000025	jg4646	XP_009105560.1, XP_009102308.1, XP_009133872.1
OG0000025	jg21837, jg4645	XP_009102299.1, XP_009133873.1
OG0000027	jg31665, jg31668, jg27402, jg18984	XP_009144063.2, XP_033148397.1, XP_018514372.2
OG0000027	jg14278, jg15770, jg15695, jg15696, jg15771	XP_009116539.1
OG0000028	jg13951, jg1780, jg13681, jg3965, jg11165, jg14797, jg11997, jg6737, jg2197, jg17461, jg12004, jg26958, jg13640, jg2465, jg27218, jg11460, jg33138, jg30060, jg20837	XP_009119478.1
OG0000029	jg5864, jg27798, jg17174, jg18126	XP_033135931.1
OG0000029	jg1946	XP_033130775.1
OG0000030	jg11609	XP_009120611.1
OG0000030	jg17129	XP_009138234.2, XP_033131226.1
OG0000031	jg663, jg481, jg538, jg645, jg586, jg583, jg572, jg642	XP_009112698.1
OG0000031	jg29724	XP_033134453.1
OG0000031	jg29675	XP_009112843.1
OG0000031	jg5495	XP_009121467.1
OG0000031	jg12744	XP_009140073.1
OG0000031	jg25741	XP_009114567.1
OG0000031	jg9770	XP_009142868.1
OG0000031	jg638	XP_009112701.1
OG0000031	jg372	XP_009118532.1
OG0000033	jg10203, jg10197, jg10193	XP_009108047.1, XP_009109092.2, XP_009136929.1, XP_009137321.1
OG0000033	jg10200	XP_033135404.1, XP_009137324.1
OG0000033	jg10425	XP_009137188.1, XP_009134716.1
OG0000033	jg10175	XP_033143973.1
OG0000033	jg10177	XP_033143795.1
OG0000033	jg10198	XP_033143970.1
OG0000033	jg10195, jg10202	XP_009137317.1
OG0000033	jg7784	XP_033136442.1
OG0000035	jg18270	XP_033147664.1
OG0000035	jg25048	XP_033145355.1, XP_018513876.1, XP_009146516.2, XP_018513390.1, XP_033145288.1, XP_009141229.2, XP_033145293.1, XP_009141452.3, XP_009141227.2, XP_033145356.1, XP_033145756.1, XP_033145751.1, XP_033145292.1, XP_018514111.1, XP_009141011.2
OG0000035	jg23606, jg20747, jg20748	XP_033145357.1, XP_009141214.1
OG0000035	jg18309	XP_033139568.1, XP_009127532.1
OG0000036	jg16618	XP_033147285.1
OG0000036	jg11852, jg13931, jg6976, jg17098, jg1485, jg16419, jg27812, jg17384	XP_033139240.1
OG0000036	jg21000, jg17522, jg31083	XP_033148558.1, XP_009150325.2, XP_033133377.1, XP_033131067.1, XP_033136880.1
OG0000038	jg15287	XP_033137120.1, XP_033145125.1
OG0000038	jg20757, jg20756	XP_009137794.1
OG0000038	jg12601, jg12599	XP_033134198.1
OG0000038	jg25017, jg25016, jg25015	XP_033147875.1, XP_009146809.1, XP_033148625.1, XP_033147883.1, XP_033147863.1, XP_009147163.1
OG0000040	jg31203	XP_033131947.1
OG0000040	jg25347	XP_033131797.1
OG0000040	jg25272	XP_018510426.1
OG0000040	jg738, jg25360	XP_009123103.2, XP_033146117.1, XP_033130762.1, XP_033145302.1, XP_009141585.2
OG0000040	jg2112	XP_033143643.1
OG0000040	jg26152, jg26153	XP_009145735.1
OG0000040	jg2274	XP_033138328.1, XP_033137984.1, XP_009141814.1
OG0000041	jg6878	XP_033132315.1, XP_009129192.2, XP_033148527.1, XP_033135950.1
OG0000042	jg17939, jg26952	XP_018513078.1
OG0000044	jg1834, jg309, jg32416, jg1035, jg17283, jg1573	XP_009129598.2, XP_033148784.1, XP_033131827.1, XP_033139854.1, XP_033131463.1, XP_033140741.1, XP_033146209.1, XP_033136827.1, XP_033147039.1, XP_033132745.1, XP_033146848.1, XP_033141133.1
OG0000044	jg13501, jg20886, jg12140	XP_033141811.1, XP_033147696.1, XP_009145895.1
OG0000045	jg21124	XP_033143302.1, XP_009148796.1
OG0000046	jg12463, jg12464	XP_009151130.2, XP_009140101.2
OG0000046	jg12337	XP_009140044.1
OG0000046	jg10780	XP_033142550.1
OG0000046	jg2195, jg2209, jg2212	XP_009127512.1
OG0000046	jg2189	XP_009127499.1
OG0000046	jg2188, jg2193	XP_009127507.1
OG0000046	jg12331	XP_009140168.2
OG0000046	jg12330	XP_009125065.1
OG0000047	jg6462, jg31439, jg5264	XP_009127952.2
OG0000047	jg14037	XP_018508607.1
OG0000047	jg32532, jg14038	XP_009139668.1
OG0000048	jg5635	XP_033138094.1, XP_009126234.1, XP_033141462.1, XP_009126236.1, XP_009126230.1, XP_009131625.1, XP_009131629.1
OG0000048	jg5646	XP_009121030.1, XP_009121023.1, XP_009131631.1
OG0000048	jg5640	XP_009131641.1
OG0000048	jg5634, jg5644	XP_009121020.1, XP_009121024.1, XP_009121026.2, XP_009121021.2
OG0000049	jg28661	XP_009120440.2, XP_033138682.1
OG0000052	jg29349	XP_009119376.1, XP_009121616.2, XP_009118690.1
OG0000052	jg19557	XP_009142066.1
OG0000052	jg19552, jg19554	XP_018513039.2
OG0000052	jg19560	XP_033148410.1, XP_009142840.1, XP_033138797.1, XP_033138543.1
OG0000053	jg32414, jg31675	XP_033143368.1, XP_033134209.1, XP_033131162.1, XP_033128794.1, XP_033129455.1, XP_033139340.1, XP_009139344.2
OG0000053	jg1077, jg28178, jg4817, jg5943, jg25268, jg33384, jg11480, jg32839	XP_033139374.1, XP_033132002.1, XP_033134279.1, XP_033139086.1, XP_009150163.1
OG0000053	jg27640, jg13837	XP_009150809.1, XP_009124471.1, XP_033143409.1, XP_033134211.1, XP_033133426.1, XP_009101327.1
OG0000055	jg14491	XP_009149950.1
OG0000055	jg743	XP_009113405.2
OG0000056	jg20178	XP_033138069.1, XP_009111623.2, XP_009119460.3
OG0000056	jg12110, jg25787	XP_033148496.1, XP_033129519.1, XP_033128162.1, XP_033146737.1, XP_009145557.2, XP_033134361.1, XP_033128616.1, XP_009122875.1, XP_009115922.2, XP_033141779.1
OG0000057	jg25886, jg26868	XP_009121596.1, XP_033131219.1
OG0000058	jg13853	XP_009142124.1, XP_033141200.1
OG0000061	jg5265, jg31440, jg25892, jg12998, jg302, jg26776, jg6463, jg14036	XP_009107884.2, XP_033132815.1, XP_033129160.1, XP_033139711.1, XP_033142712.1, XP_009107885.2, XP_009136781.1
OG0000062	jg7377	XP_033134233.1, XP_033138187.1, XP_033145404.1, XP_033140709.1, XP_033132651.1, XP_033140705.1
OG0000063	jg21249	XP_009143480.1, XP_033128652.1, XP_009126676.2, XP_009131981.1, XP_009133863.1, XP_009133191.2, XP_009118417.1, XP_009116068.1, XP_009150050.2, XP_009148029.2, XP_009140937.1, XP_009141673.1, XP_009103711.2, XP_009110918.2
OG0000064	jg8362	XP_009101919.1
OG0000066	jg1404	XP_009125303.1, XP_009114048.1, XP_009110843.1, XP_009131154.1, XP_009129719.2, XP_009112178.1
OG0000067	jg24838, jg24839, jg4261, jg4260, jg4298	XP_033144949.1, XP_033144954.1, XP_009122279.3, XP_033137765.1
OG0000067	jg4679	XP_033144956.1, XP_009131006.1, XP_033144664.1, XP_033136756.1, XP_009130959.2, XP_009130957.1
OG0000068	jg32484	XP_018515237.2, XP_033129317.1, XP_033129319.1, XP_033148603.1, XP_033129460.1
OG0000069	jg32690	XP_018511891.1
OG0000072	jg16476, jg16484, jg29790, jg9963, jg13945, jg11738, jg2091	XP_033129717.1, XP_033139404.1, XP_033133988.1, XP_033135850.1, XP_033142467.1, XP_033139430.1, XP_033138987.1, XP_033134841.1, XP_018511390.2, XP_033134038.1
OG0000073	jg10924	XP_009136811.1
OG0000073	jg20419	XP_009105239.1
OG0000073	jg20416, jg20443, jg20442	XP_018512047.1, XP_009134864.2
OG0000073	jg7157, jg7084	XP_018510070.1
OG0000073	jg20415	XP_009128863.1
OG0000073	jg20412	XP_009128859.1
OG0000073	jg13687, jg20423	XP_033128241.1
OG0000073	jg20420	XP_033136809.1
OG0000074	jg30930	XP_033130333.1
OG0000074	jg17689	XP_009103161.1, XP_009103162.1, XP_033130331.1
OG0000074	jg30936	XP_009115511.1
OG0000074	jg30922	XP_033135734.1, XP_009115048.1, XP_009115516.1
OG0000075	jg4863, jg4865	XP_018509924.1, XP_033135419.1
OG0000075	jg364	XP_018510505.2, XP_033134684.1, XP_018509673.2
OG0000075	jg17315	XP_009112833.1, XP_009113469.1
OG0000075	jg29545, jg29543	XP_009129136.1, XP_033142692.1
OG0000076	jg13391, jg13389	XP_033138197.1
OG0000076	jg15039	XP_009114878.1
OG0000076	jg20913, jg15189	XP_009115966.1, XP_033146756.1, XP_033146757.1, XP_033146252.1, XP_033145801.1
OG0000076	jg1458, jg1459, jg1457, jg13392, jg13393, jg13394	XP_033139477.1, XP_033135650.1
OG0000076	jg13388, jg13373, jg13390	XP_009152006.1
OG0000077	jg32683	XP_033144015.1
OG0000077	jg8424, jg8422	XP_033141207.1, XP_009124954.2, XP_009101861.1
OG0000077	jg8428	XP_009101862.1
OG0000078	jg13800, jg25795, jg13799, jg25794	XP_033147814.1
OG0000078	jg9173	XP_033148565.1, XP_033138831.1, XP_033140785.1, XP_033144149.1, XP_033135355.1, XP_033142711.1, XP_018512940.2, XP_033147279.1, XP_033143194.1, XP_033143619.1, XP_033148618.1, XP_033148616.1, XP_009119775.3
OG0000079	jg24132, jg24131	XP_018510392.1
OG0000079	jg15929	XP_009132838.1, XP_009117247.1
OG0000079	jg17321, jg17317, jg17322	XP_009116567.1
OG0000079	jg15922	XP_009116566.1
OG0000079	jg15911, jg15928	XP_033130624.1, XP_009104177.1
OG0000080	jg1961, jg32859, jg32843, jg32550, jg32855, jg32866	XP_009120970.2
OG0000080	jg32551, jg32841, jg32864, jg32857	XP_033137465.1
OG0000080	jg18012	XP_033145280.1
OG0000081	jg5636	XP_033133852.1, XP_033135481.1
OG0000083	jg2769	XP_009105094.1, XP_009104915.1
OG0000083	jg24440, jg16886, jg16884	XP_009124082.1
OG0000084	jg16996	XP_033145265.1
OG0000084	jg16995, jg17274, jg17286, jg17001, jg16991	XP_033145730.1, XP_033145267.1
OG0000084	jg17289	XP_009134223.1, XP_009140586.1
OG0000084	jg16989, jg17288	XP_033145760.1, XP_033145266.1
OG0000085	jg27503, jg21532	XP_033136961.1
OG0000086	jg1275, jg1277, jg1270, jg1278, jg1271, jg1274, jg1272, jg1273, jg1280, jg1279, jg1276, jg1269, jg20985, jg20984, jg20982, jg20983, jg20981, jg20978, jg20980, jg20977, jg20975, jg20976, jg20974, jg20979, jg20973	XP_033135741.1, XP_033136271.1, XP_033135743.1, XP_009124087.2, XP_009124650.2, XP_033135477.1, XP_033135744.1, XP_033135687.1, XP_033136269.1, XP_009124058.2, XP_033135742.1, XP_033136268.1, XP_033136272.1, XP_033135685.1, XP_033135749.1, XP_033135747.1, XP_033135746.1, XP_033136270.1, XP_033135748.1, XP_033134284.1, XP_033134283.1, XP_033135684.1, XP_033135688.1, XP_033135686.1, XP_033134282.1
OG0000087	jg6235	XP_009150907.1
OG0000087	jg17972	XP_009141007.2, XP_009144365.1
OG0000087	jg23223	XP_009151388.1, XP_009150241.1
OG0000087	jg5068	XP_009121863.1
OG0000087	jg18593	XP_018514901.1
OG0000087	jg20749	XP_009123590.1, XP_009113926.1, XP_009101721.2
OG0000087	jg10485	XP_009134084.2, XP_009108485.1, XP_009137158.2
OG0000087	jg3235	XP_009106234.1
OG0000088	jg14230, jg14231	XP_009140910.1, XP_009140909.1, XP_009144708.1, XP_018509698.1
OG0000088	jg17633	XP_009149894.1, XP_009113892.3, XP_009131995.2, XP_009116363.1, XP_033142283.1
OG0000088	jg14545, jg14558	XP_009119422.1
OG0000088	jg5910	XP_009131797.1, XP_009120802.1
OG0000088	jg21695	XP_033147614.1, XP_009143939.1
OG0000089	jg4799	XP_009131124.2, XP_033138402.1, XP_009125344.2
OG0000089	jg26012, jg33022	XP_009145858.2, XP_009135599.1, XP_018513774.1
OG0000090	jg4483, jg30544, jg16631	XP_009149503.1
OG0000090	jg3251	XP_009104691.1, XP_009106248.2, XP_009128146.1
OG0000090	jg29403	XP_009123589.1
OG0000091	jg11947, jg19288, jg20822	XP_033137946.1, XP_033148506.1, XP_033132966.1, XP_033137727.1, XP_033133706.1, XP_033130644.1, XP_033138320.1, XP_033134828.1, XP_033135499.1, XP_033134512.1, XP_033147054.1, XP_033129517.1, XP_033143445.1, XP_033146393.1, XP_033143677.1, XP_033139198.1, XP_033136415.1, XP_033134353.1, XP_033138755.1, XP_033141149.1, XP_033143319.1, XP_033128894.1, XP_033130640.1, XP_033143668.1, XP_033141419.1, XP_033133993.1, XP_033137249.1, XP_033138754.1, XP_033138330.1, XP_033140612.1, XP_033147189.1, XP_033129542.1, XP_033138315.1, XP_033143504.1, XP_033133746.1, XP_033148508.1, XP_033143443.1, XP_033129516.1, XP_033146386.1, XP_033143320.1, XP_033141422.1, XP_033137941.1, XP_033130638.1, XP_033134506.1, XP_033137725.1, XP_033138287.1, XP_033147048.1, XP_033133699.1, XP_033141217.1, XP_033145272.1, XP_033147178.1, XP_033129433.1, XP_033138180.1, XP_033133992.1, XP_033147184.1, XP_033139199.1, XP_033143447.1, XP_033140621.1, XP_033134045.1, XP_033138337.1, XP_033143514.1, XP_033129559.1
OG0000093	jg15862	XP_009138966.1, XP_009138965.1
OG0000093	jg15863	XP_033136042.1, XP_009116516.1, XP_033136014.1
OG0000093	jg15851	XP_033131129.1
OG0000096	jg1247	XP_033134075.1
OG0000097	jg7810	XP_009110937.1, XP_033135887.1
OG0000097	jg7819	XP_009121666.1
OG0000097	jg21543, jg7817	XP_009140229.1
OG0000098	jg849, jg850	XP_009138198.1
OG0000098	jg29677	XP_033133736.1, XP_009148793.2
OG0000098	jg29672	XP_033135443.1
OG0000098	jg29671	XP_018510931.2
OG0000098	jg11302, jg29664	XP_009110666.1
OG0000098	jg32282, jg12025	XP_033134902.1, XP_009118092.2
OG0000099	jg455, jg458, jg453, jg457	XP_033135357.1
OG0000099	jg456	XP_033129523.1
OG0000099	jg542	XP_033135394.1
OG0000101	jg476	XP_009112782.1
OG0000101	jg492	XP_018509586.1
OG0000101	jg1001	XP_009113265.2
OG0000102	jg32522	XP_033134130.1
OG0000104	jg29111	XP_009118428.1
OG0000104	jg17890, jg17887, jg17891, jg17877, jg17884, jg17896, jg17897	XP_033145187.1, XP_033131572.1
OG0000104	jg33004	XP_033146903.1
OG0000104	jg26323	XP_009135746.2
OG0000104	jg17886, jg17879	XP_009140956.1
OG0000105	jg7236, jg13734	XP_009137116.1
OG0000105	jg7619	XP_033133953.1, XP_009136059.1
OG0000105	jg27619, jg7054, jg7052	XP_033134262.1, XP_009137083.1, XP_033138770.1, XP_033148598.1
OG0000105	jg17571	XP_009119485.2, XP_033141126.1, XP_009137046.1, XP_033131858.1, XP_009150028.1, XP_033132166.1, XP_033131743.1, XP_009118878.2, XP_009113856.1, XP_009144601.1, XP_009123474.1, XP_009110701.2, XP_009139671.2, XP_009140190.1, XP_033134358.1, XP_009113848.2, XP_009145726.1, XP_009150330.1, XP_009115110.2, XP_033139996.1, XP_009126886.2
OG0000106	jg14860	XP_033146796.1
OG0000106	jg26888, jg26886	XP_009136113.1
OG0000107	jg17559, jg17556	XP_033131954.1, XP_009113964.1
OG0000107	jg26157	XP_033147102.1
OG0000107	jg26159	XP_009140112.1, XP_033142636.1
OG0000107	jg26161	XP_018514730.2
OG0000107	jg26163	XP_009111243.1
OG0000107	jg26160	XP_009145675.1, XP_009136238.1
OG0000108	jg17595, jg31284, jg16872	XP_009150964.1
OG0000108	jg2306	XP_033144223.1, XP_009137095.2, XP_033143042.1
OG0000108	jg11987, jg17594, jg31283, jg16874	XP_033141220.1
OG0000109	jg6910	XP_033147238.1
OG0000110	jg15960	XP_009104193.2
OG0000110	jg15959	XP_009116587.1, XP_018508692.1
OG0000110	jg15966	XP_033130960.1
OG0000110	jg15969	XP_009104190.1
OG0000111	jg12398, jg12393, jg12389, jg12394, jg12395	XP_009144883.2
OG0000111	jg11228	XP_033136550.1
OG0000111	jg11226, jg11227	XP_033133707.1, XP_033133941.1
OG0000111	jg15428	XP_009116244.2, XP_009116184.2, XP_009116245.1, XP_033137144.1, XP_018510613.1
OG0000112	jg21770	XP_033142284.1, XP_009132628.1
OG0000113	jg12808	XP_009113081.1, XP_033135475.1, XP_033135474.1
OG0000114	jg17682	XP_033130500.1
OG0000114	jg1324, jg1320, jg1319, jg1317, jg1326, jg1329, jg1330, jg27021	XP_018508210.2
OG0000115	jg12949, jg10772, jg12951	XP_033133352.1, XP_033137116.1, XP_009117684.2, XP_009138128.2, XP_018515327.2, XP_033135265.1, XP_009144129.1, XP_033138000.1, XP_033143489.1, XP_033145250.1, XP_033137256.1, XP_009106231.2, XP_009119135.2, XP_018508038.2, XP_033135408.1, XP_033137091.1
OG0000116	jg1481, jg15996, jg6981, jg14689, jg7083, jg1902	XP_033143155.1, XP_033140094.1, XP_033144252.1, XP_033142122.1, XP_033128680.1, XP_033134536.1, XP_018509424.1, XP_033143756.1, XP_033139777.1, XP_033134845.1
OG0000118	jg13696, jg13697, jg13695	XP_009102969.1, XP_009104069.1, XP_009121559.1, XP_009119630.1, XP_009116825.1
OG0000118	jg3144	XP_009133886.1, XP_033128640.1, XP_033146399.1, XP_033146035.1, XP_033129028.1
OG0000119	jg20878	XP_009139373.1, XP_009111365.1, XP_009123003.1
OG0000119	jg12954	XP_009130013.1
OG0000120	jg893, jg889	XP_033136614.1, XP_033135828.1
OG0000120	jg21600, jg21583, jg21561, jg21534, jg21584, jg21558	XP_033133710.1, XP_009107578.2, XP_033128024.1
OG0000120	jg13317, jg4214, jg4213, jg2215, jg14374	XP_009122928.1
OG0000122	jg22508	XP_033139821.1
OG0000122	jg32572	XP_018512820.2, XP_033142009.1
OG0000122	jg22505	XP_033137394.1
OG0000122	jg22485	XP_033142107.1
OG0000122	jg22487, jg22488	XP_033144567.1, XP_009132310.1
OG0000123	jg31338	XP_009109753.1
OG0000123	jg9826	XP_009124814.1, XP_009142142.1
OG0000124	jg27275, jg20993, jg25905, jg11327, jg33081, jg14104, jg9592, jg12111, jg17565	XP_033130441.1, XP_009107043.1
OG0000125	jg6123	XP_009131894.1, XP_009120626.1
OG0000125	jg14378, jg22931	XP_009120513.1
OG0000125	jg17851	XP_009133865.1, XP_009103710.2, XP_009140934.1
OG0000126	jg21202, jg10180, jg32086, jg12955, jg6735, jg10767	XP_033143378.1, XP_033148321.1, XP_033128667.1, XP_033148285.1, XP_033143377.1, XP_033146924.1, XP_033148306.1, XP_033147791.1, XP_009121383.1, XP_033148593.1, XP_033148614.1, XP_033131093.1, XP_033148497.1, XP_033139481.1, XP_033136965.1, XP_009139315.2, XP_033135969.1, XP_009151987.2, XP_033131789.1
OG0000126	jg13974	XP_033148541.1, XP_009123429.1
OG0000127	jg3917, jg3918	XP_033137562.1
OG0000127	jg20918, jg3920	XP_009122823.2
OG0000127	jg24833	XP_033147907.1
OG0000127	jg24836	XP_033147889.1, XP_033145685.1
OG0000131	jg6733	XP_033146920.1, XP_033138821.1, XP_033148341.1, XP_033148327.1, XP_033136660.1, XP_033144705.1
OG0000132	jg16608, jg16609	XP_033137857.1, XP_018510163.1, XP_018509848.2, XP_018511518.1, XP_033143201.1, XP_033134594.1
OG0000132	jg21091, jg22360, jg6813, jg6561	XP_009122979.1, XP_033134167.1, XP_033135118.1, XP_009134460.2, XP_009115039.1, XP_033132498.1, XP_009137034.2, XP_033135204.1
OG0000133	jg6891	XP_033139533.1, XP_033130755.1, XP_033128569.1, XP_033147093.1, XP_009115089.3, XP_033137203.1
OG0000133	jg17431	XP_033129350.1, XP_033134137.1, XP_033133914.1, XP_009144918.2, XP_033131816.1, XP_033136624.1, XP_033148101.1
OG0000136	jg12281	XP_033147599.1
OG0000136	jg12260	XP_009140166.1
OG0000137	jg17603	XP_033137251.1, XP_009144927.1, XP_009139448.1, XP_009145189.1, XP_033139475.1, XP_009150285.1, XP_033144074.1, XP_009103633.1, XP_033128191.1, XP_033146613.1, XP_009144615.1
OG0000137	jg12674	XP_033145235.1
OG0000138	jg12474	XP_033145245.1
OG0000138	jg13818	XP_009129283.2, XP_018515342.1
OG0000138	jg13817, jg13821	XP_009151767.2
OG0000139	jg6848, jg7487, jg11793	XP_033134250.1, XP_033138766.1, XP_033133921.1, XP_033131895.1, XP_033138936.1, XP_033139081.1
OG0000139	jg6850	XP_033139082.1, XP_033139319.1, XP_033139091.1, XP_033139398.1, XP_033138913.1
OG0000140	jg22845	XP_033142717.1
OG0000140	jg22800, jg21885, jg22801	XP_009126729.2, XP_033141242.1, XP_009126731.2, XP_009145270.2, XP_033141241.1, XP_033141237.1
OG0000140	jg22851, jg22847	XP_033142716.1, XP_009120430.1
OG0000142	jg17934, jg17935	XP_033147142.1
OG0000142	jg17932	XP_009133859.1
OG0000142	jg17936	XP_033148630.1
OG0000142	jg18114, jg18115	XP_009140985.1, XP_009140992.3
OG0000143	jg19287, jg11883	XP_018514421.1
OG0000144	jg32527	XP_009152174.1
OG0000144	jg6805	XP_018512770.1
OG0000145	jg12283, jg27177	XP_033140698.1, XP_033135524.1, XP_033131681.1, XP_033141093.1
OG0000145	jg2060	XP_033137037.1
OG0000145	jg27538	XP_033135245.1, XP_033131899.1, XP_033145291.1, XP_033136915.1, XP_018511618.2, XP_033148623.1, XP_018510874.2
OG0000146	jg22363	XP_009120051.1, XP_009132642.1
OG0000146	jg22365, jg22366	XP_033138715.1
OG0000146	jg22364	XP_009132393.1
OG0000147	jg28078	XP_009102205.2, XP_009112568.1
OG0000147	jg9392	XP_009109000.1
OG0000147	jg22635	XP_033141904.1, XP_009120261.2
OG0000147	jg3697	XP_009106729.2, XP_018508569.2
OG0000147	jg13954	XP_009128205.1
OG0000147	jg27288	XP_018513014.1
OG0000147	jg16942	XP_009117122.1
OG0000149	jg14421	XP_033129346.1
OG0000149	jg22898	XP_018510745.1
OG0000149	jg22904	XP_009126683.1
OG0000149	jg14420	XP_009150292.1
OG0000150	jg14319	XP_033131888.1
OG0000150	jg14002	XP_009102480.1
OG0000150	jg14325	XP_033139673.1
OG0000150	jg14324, jg14316, jg14315, jg14313	XP_009140726.1
OG0000151	jg22050	XP_009119874.1
OG0000151	jg24782	XP_009135093.1, XP_009146989.1, XP_009123804.1
OG0000151	jg27769	XP_009136334.1, XP_009121200.1
OG0000151	jg22463	XP_018510771.1, XP_018512593.2
OG0000152	jg21089, jg13815	XP_033148198.1, XP_033147971.1, XP_033133696.1, XP_033144131.1, XP_033133396.1, XP_033147396.1, XP_033135350.1, XP_033148073.1, XP_033136129.1, XP_033148068.1, XP_033142141.1
OG0000154	jg30094	XP_009110463.1, XP_009149047.1
OG0000154	jg25213	XP_009120551.1
OG0000154	jg3985	XP_009115390.1, XP_033143098.1, XP_033134270.1
OG0000154	jg3984	XP_033137307.1, XP_009122772.2, XP_009122774.3
OG0000155	jg9725	XP_009143289.2, XP_009137650.1
OG0000155	jg10429	XP_009105220.1, XP_009124785.2
OG0000155	jg2004	XP_009133539.2, XP_018508817.2, XP_033130819.1, XP_033130815.1
OG0000155	jg10428	XP_009134691.2
OG0000155	jg25152	XP_009135203.2
OG0000155	jg7743	XP_009150399.2, XP_009105221.2
OG0000156	jg16151	XP_033146706.1
OG0000156	jg19951	XP_009142347.1
OG0000156	jg16152	XP_009116769.1
OG0000157	jg7233	XP_033143226.1
OG0000157	jg12773, jg19021, jg19020, jg19023, jg19043, jg19019	XP_009113644.3, XP_009115539.2, XP_033135169.1, XP_033135170.1, XP_033135012.1, XP_009135990.1, XP_033135900.1
OG0000158	jg28264	XP_033134979.1
OG0000161	jg21823, jg17685, jg17683, jg17687	XP_009130179.2, XP_009130183.1
OG0000161	jg31502, jg1832, jg31503	XP_033145048.1
OG0000161	jg1847	XP_009127389.1
OG0000161	jg1820, jg1821, jg1704	XP_033146830.1, XP_033146831.1
OG0000162	jg16105	XP_009138832.1, XP_033145512.1, XP_009138923.1
OG0000162	jg19860	XP_033134420.1
OG0000162	jg2591	XP_009104263.2
OG0000162	jg19859	XP_009143082.1
OG0000164	jg9497, jg31608	XP_018513023.1
OG0000164	jg1130	XP_018509849.2
